,https://roic.ai/company/SPNS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,100000,-1678000,-1949000,726000,1408000,-19000,217000,1798000,325000,338000,584000,260000,177000,-230000,435000,811000,454000,4213000,5772000,-2564000,5031000,8610000,7041000,9964000
23,Net Income,4700000,- -,300000,-6600000,4500000,9700000,13068000,-38086000,-17970000,-5153000,-2187000,-4842000,-9099000,-3825000,-2544000,-344000,4201000,6152000,5897000,11780000,11604000,14463000,20016000,19336000,352000,13785000,26247000,33775000,47171000
24,Net Income ratio,0.0733,- -,0.0075,-0.1692,0.1009,0.1366,0.1423,-0.5236,-0.2833,-0.0795,-0.0418,-0.1013,-0.2309,-0.0863,-0.0600,-0.0079,0.0919,0.1178,0.0843,0.1034,0.0857,0.0919,0.1078,0.0894,0.0013,0.0476,0.0806,0.0882,0.1023
25,EPS,1.90,- -,1.00,-15.50,3.50,12.00,3.05,-8.45,-3.90,-5.15,-0.20,-0.46,-0.76,-0.29,-0.14,-0.02,0.19,0.28,0.21,0.29,0.29,0.31,0.42,0.40,0.01,0.28,0.78,0.67,0.92
26,EPS Diluted,1.85,- -,1.00,-15.50,3.00,10.75,2.65,-8.45,-3.90,-5.15,-0.20,-0.46,-0.76,-0.29,-0.14,-0.02,0.19,0.27,0.19,0.28,0.27,0.30,0.41,0.40,0.01,0.28,0.77,0.65,0.92
27,Weighted Average Shares Outstanding,12403000,- -,300000,503226,600000,758333,825000,909800,959480,1452800,10693000,11273000,11982000,13395000,18218000,21550000,21591000,21912000,28461000,39953000,40024000,47210000,48121000,48947000,49170000,49827000,50031000,51208000,51208000
28,Weighted Average Shares Outstanding Diluted,12403000,- -,300000,503226,700000,846512,942857,909800,959480,1452800,10693000,11273000,11982000,13395000,18218000,21550000,21592000,22499000,30361000,41671000,42316000,48637000,49327000,49780000,49926000,50106000,50653000,52159000,51208000
29,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885740/000117891305000853/zk51620.htm,https://www.sec.gov/Archives/edgar/data/885740/000117891306001209/zk62591.htm,https://www.sec.gov/Archives/edgar/data/885740/000117891307001285/zk73828.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/885740/000117891310001105/zk1008211.htm,https://www.sec.gov/Archives/edgar/data/885740/000117891311000815/zk1109609.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420412020126/v305277_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420413014158/0001144204-13-014158-index.html,https://www.sec.gov/Archives/edgar/data/885740/000114420414024230/v372465_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420415019286/v404561_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420416090761/0001144204-16-090761-index.html,https://www.sec.gov/Archives/edgar/data/885740/000114420417022625/v461410_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420418019906/tv489080_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000121390019004920/0001213900-19-004920-index.html,https://www.sec.gov/Archives/edgar/data/885740/000121390020008747/f20f2019_sapiensinternation.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,6900000,10300000,20200000,8735000,17038000,16087000,22001000,31775000,10942000,6699000,3108000,13125000,7938000,11172000,16182000,21460000,29050000,70313000,47400000,54351000,60908000,71467000,64628000,66295000,152561000,190243000
32,Short-Term Investments,- -,- -,- -,13700000,12800000,12800000,8055000,2872000,50000,1652000,1039000,11157000,5337000,32000,- -,- -,- -,- -,- -,- -,- -,- -,8776000,18220000,- -,- -,22890000,30000000,20000000
33,Cash and Short-Term Investments,- -,- -,- -,20600000,23100000,33000000,16790000,19910000,16137000,23653000,32814000,22099000,12036000,3140000,13125000,7938000,11172000,16182000,21460000,29050000,70313000,47400000,63127000,79128000,71467000,64628000,89185000,182561000,210243000
34,Net Receivables,- -,- -,- -,13200000,17300000,20500000,31943000,35100000,24647000,12695000,11444000,11698000,8805000,11237000,7684000,6882000,5132000,5511000,14484000,18084000,27795000,32502000,35216000,41073000,59506000,65383000,58038000,84797000,90102000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-100000,- -,100000,7118000,4276000,2500000,3552000,3336000,2343000,1155000,1462000,1746000,2543000,3008000,3031000,3685000,3286000,2420000,2319000,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,33700000,40400000,53600000,55851000,59286000,43284000,39900000,47594000,36140000,21996000,15839000,22555000,17363000,19312000,24724000,39629000,50420000,100528000,82221000,98343000,120201000,130973000,130011000,147223000,267358000,300345000
38,PP&E,- -,- -,- -,4800000,4400000,5100000,5207000,6707000,4097000,3426000,3060000,2382000,1716000,1495000,1219000,1055000,897000,1161000,1814000,2243000,5263000,4763000,5675000,9807000,10695000,8515000,66140000,71360000,58123000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8621000,8621000,8621000,8621000,8621000,9604000,66715000,68087000,72438000,67698000,70035000,73597000,158559000,166094000,170703000,- -,- -
40,Intangible Assets,- -,- -,- -,500000,400000,3100000,10056000,9197000,7579000,8621000,8621000,8621000,12219000,13467000,14957000,14391000,13540000,13822000,31592000,29212000,30014000,27060000,27540000,28354000,65170000,65254000,57988000,- -,- -
41,Intangible Assets,- -,- -,- -,500000,400000,3100000,10056000,9197000,7579000,8621000,8621000,8621000,20840000,22088000,23578000,23012000,22161000,23426000,98307000,97299000,102452000,94758000,97575000,101951000,223729000,231348000,228691000,363597000,343283000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33098000,30875000,17228000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3768000,3573000,2747000,2598000,2159000,1806000,1824000,1782000,608000,396000,695000,2779000,2261000,2620000,2965000,2808000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,11200000,12400000,11500000,13991000,17210000,15503000,13205000,17448000,17823000,3741000,3450000,2582000,1588000,1598000,3934000,11936000,12014000,13789000,13288000,7024000,6403000,5602000,6026000,7559000,11846000,13242000
45,Total Non-Current Assets,- -,- -,- -,16500000,17200000,19700000,29254000,33114000,27179000,25252000,29129000,32594000,29870000,29780000,29977000,27814000,26462000,30345000,113839000,112164000,121900000,146602000,143928000,137650000,242646000,248854000,305198000,446803000,414648000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,50200000,57600000,73300000,85105000,92400000,70463000,65152000,76723000,68734000,51866000,45619000,52532000,45177000,45774000,55069000,153468000,162584000,222428000,228823000,242271000,257851000,373619000,378865000,452421000,714161000,714993000
48,Accounts Payable,- -,- -,- -,3200000,2400000,3100000,3495000,6112000,3242000,2578000,2619000,2718000,1910000,2019000,1088000,1500000,1197000,1693000,2559000,4382000,6517000,2952000,4721000,6562000,7044000,6149000,5107000,5389000,5008000
49,Short-Term Debt,- -,- -,- -,8200000,7900000,14000000,3657000,16981000,16454000,9483000,9579000,18873000,19112000,15603000,9456000,5745000,- -,- -,- -,- -,- -,- -,- -,- -,- -,9898000,9898000,19796000,30623000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,3172000,1633000,3683000,3254000,3224000,4867000,3463000,4203000,4908000,6991000,6517000,9603000,7301000,9928000,9272000,10268000,9137000,16513000,18057000,21021000,34548000,39614000
52,Other Current Liabilities,- -,- -,- -,12700000,9400000,15500000,18380000,25131000,20318000,14541000,11054000,8558000,6742000,7370000,8375000,9716000,10199000,11646000,19731000,20014000,21248000,25159000,32012000,32049000,46612000,46999000,68886000,85043000,76450000
53,Total Current Liabilities,- -,- -,- -,24100000,19700000,32600000,25532000,51396000,41647000,30285000,26506000,33373000,32631000,28455000,23122000,21869000,18387000,19856000,31893000,31697000,37693000,37383000,47001000,47748000,70169000,81103000,104912000,144776000,151695000
54,Long-Term Debt,- -,- -,- -,17000000,16100000,7300000,7930000,7433000,7365000,7552000,23606000,18246000,14019000,11796000,6428000,174000,15000,1095000,10954000,- -,- -,- -,- -,- -,78281000,68577000,58850000,98676000,117737000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9171000,11681000,5082000,16010000,15360000
57,Other Non-Current Liabilities,- -,- -,- -,1900000,1700000,300000,229000,14675000,10711000,11335000,12613000,5035000,1584000,1439000,1132000,1258000,957000,- -,374000,12448000,14327000,15244000,13461000,15712000,15124000,15020000,58079000,71005000,21481000
58,Total Non-Current Liabilities,- -,- -,- -,18900000,17800000,7600000,8159000,22108000,18076000,18887000,36219000,23281000,15603000,13235000,7560000,1432000,972000,1095000,11328000,12448000,14327000,15244000,13461000,15712000,102576000,95278000,122011000,185691000,154578000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000,117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51706000,58697000,49578000
61,Total Liabilities,- -,- -,- -,43000000,37500000,40200000,33691000,73504000,59723000,49172000,62725000,56654000,48234000,41690000,30682000,23301000,19359000,20951000,43221000,44145000,52020000,52627000,60462000,63460000,172745000,176381000,226923000,330467000,306273000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,4600000,7500000,8000000,8694000,9364000,10020000,23773000,23788000,142000,155000,185000,275000,276000,276000,282000,534000,547000,645000,667000,678000,681000,689000,695000,697000,- -,- -
64,Retained Earnings,- -,- -,- -,-47100000,-43900000,-34600000,-21971000,-60164000,-78134000,-83287000,-85474000,-90615000,-99714000,-103539000,-106383000,-106727000,-102526000,-96374000,-90477000,-78697000,-67093000,-52630000,-32614000,-13278000,-12926000,2674000,17912000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-5600000,-5900000,-6700000,-7950000,-10115000,-11108000,-11439000,-13388000,-14505000,-13426000,-13426000,-16510000,-15787000,-16472000,-1000000,-6000000,-5000000,1000000,-10000000,-12000000,-11000000,1000000,-8000000,-2000000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,55300000,62400000,66400000,72641000,79811000,89962000,86848000,89003000,117058000,116617000,120709000,144468000,143981000,145004000,131056000,205230000,200754000,235219000,237470000,224878000,217192000,211280000,205675000,207210000,383694000,- -
67,Total Stockholders Equity,- -,- -,- -,7200000,20100000,33100000,51414000,18896000,10740000,15895000,13929000,12080000,3632000,3929000,21850000,21743000,26282000,33964000,109287000,117604000,169771000,175507000,180942000,193595000,200043000,201044000,223819000,381690000,408720000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,50200000,57600000,73300000,85105000,92400000,70463000,65067000,76654000,68734000,51866000,45619000,52532000,45044000,45641000,54915000,152508000,161749000,221791000,228134000,241404000,257055000,372788000,377425000,450742000,712157000,714993000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000,69000,- -,- -,- -,- -,133000,133000,154000,960000,835000,637000,689000,867000,796000,831000,1440000,1679000,2004000,- -
70,Total Liabilities & Equity,- -,- -,- -,50200000,57600000,73300000,85105000,92400000,70463000,65152000,76723000,68734000,51866000,45619000,52532000,45177000,45774000,55069000,153468000,162584000,222428000,228823000,242271000,257851000,373619000,378865000,452421000,714161000,714993000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885740/000117891305000853/zk51620.htm,https://www.sec.gov/Archives/edgar/data/885740/000117891306001209/zk62591.htm,https://www.sec.gov/Archives/edgar/data/885740/000117891307001285/zk73828.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/885740/000117891310001105/zk1008211.htm,https://www.sec.gov/Archives/edgar/data/885740/000117891311000815/zk1109609.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420412020126/v305277_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420413014158/0001144204-13-014158-index.html,https://www.sec.gov/Archives/edgar/data/885740/000114420414024230/v372465_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420415019286/v404561_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420416090761/0001144204-16-090761-index.html,https://www.sec.gov/Archives/edgar/data/885740/000114420417022625/v461410_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420418019906/tv489080_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000121390019004920/0001213900-19-004920-index.html,https://www.sec.gov/Archives/edgar/data/885740/000121390020008747/f20f2019_sapiensinternation.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-6600000,4500000,9700000,13068000,-38086000,-17970000,-5153000,-2187000,-4842000,-9099000,-3825000,-2544000,-344000,4201000,6152000,5897000,11780000,11604000,14463000,20016000,19336000,352000,13785000,26247000,33775000,47171000
74,Depreciation and Amortization,- -,- -,- -,2900000,3600000,5100000,5864000,7289000,9659000,4865000,3902000,4845000,5606000,6257000,5176000,5122000,5365000,6649000,7776000,7393000,7887000,8717000,9625000,10021000,15871000,19862000,19138000,23383000,28669000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-1443000,-2636000,50000,407000,110000,- -,- -,160000,103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165000,259000,724000,803000,690000,933000,1067000,1349000,1955000,2035000,1942000,1405000,3987000,4801000
77,Change in Working Capital,- -,- -,- -,-3900000,-8300000,3300000,-17340000,12399000,5350000,4810000,-1606000,-3688000,3864000,-3354000,3419000,3536000,3027000,-1369000,-6124000,-1221000,-3146000,-2574000,9619000,-5022000,-10489000,-8298000,18992000,-3801000,-1735000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127000,1932000,267000,-3333000,-1649000,-6677000,-6637000,1893000,-5435000,-5253000,-7588000,10514000,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382000,-295000,195000,-1279000,1746000,1874000,-3297000,1511000,1101000,-1388000,-1870000,-1476000,-1344000,-529000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,547000,- -,- -,- -,- -,73000,- -,- -,4098000,1429000,-1831000,-1512000,-2566000,3641000,-1243000,3469000,629000,-7591000,782000,-3694000,2976000,3403000
82,Other Non-Cash Items,- -,- -,- -,5600000,-200000,-500000,-176000,-99000,293000,24000,62000,699000,-70000,-91000,965000,1290000,686000,-48000,61000,150000,-12000,-112000,-169000,-251000,713000,409000,375000,911000,1636000
83,Cash Provided by Operating Activities,- -,- -,- -,-2000000,-400000,17600000,-27000,-21133000,-2618000,4953000,281000,-2986000,301000,-853000,7119000,9769000,13538000,12108000,8413000,18792000,17266000,21561000,40440000,26039000,8482000,27700000,66157000,58255000,80542000
84,CAPEX,- -,- -,- -,-500000,-1600000,-2400000,-2174000,-3663000,-508000,-1011000,-750000,-442000,-4689000,-4975000,-3359000,-4264000,-4016000,-6049000,-5217000,-4791000,-9521000,-7562000,-8847000,-10209000,-8189000,-7074000,-17139000,-11241000,-11848000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-3360000,-840000,-107000,-957000,-496000,- -,- -,- -,- -,- -,- -,-1416000,2687000,- -,- -,-2064000,-2934000,-4382000,-100381000,-18507000,-1554000,-109052000,831000
86,Purchases of Investments,- -,- -,- -,-5400000,-3300000,-4600000,-3253000,-6763000,-2883000,-1618000,-3000000,-13622000,-4683000,-16000,- -,-23000,- -,- -,- -,- -,- -,-34906000,-7678000,-9017000,- -,- -,-1119000,-30397000,- -
87,Sales/Maturities of Investments,- -,- -,- -,5500000,4800000,4300000,8124000,12078000,5573000,- -,3541000,3353000,10318000,5319000,41000,- -,- -,- -,- -,- -,- -,1543000,1499000,13898000,35369000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-2800000,-2800000,-4600000,-3586000,-4533000,-6371000,-104000,-4500000,-4820000,-3000,-166000,- -,-3067000,-3692000,-5470000,-4735000,-3532000,-5602000,-5855000,-6925000,-4152000,-5567000,-5160000,-27721000,14294000,3080000
89,Cash Used for Investing Activites,- -,- -,- -,-3200000,-2900000,-7300000,-4249000,-3721000,-4296000,-3690000,-5205000,-15531000,943000,162000,-3318000,-3858000,-4016000,-7548000,-2530000,-4859000,-9731000,-42750000,-18853000,-8317000,-73201000,-25581000,-41868000,-127788000,125000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11015000,-6451000,-15000,- -,- -,- -,- -,- -,-824000,-56000,-237000,-9902000,-29898000,-19796000
91,Common Stock Issued,- -,- -,- -,100000,9000000,2200000,3637000,15494000,9879000,10012000,44000,1512000,2000000,2000000,19484000,- -,- -,- -,- -,- -,37791000,- -,- -,- -,- -,- -,- -,108737000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44000,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-900000,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5802000,- -,-15668000,-11226000,-9851000,-9978000,-11009000,-7044000,-20255000
94,Other Financing Activites,- -,- -,- -,1900000,-1100000,-2300000,-10622000,17949000,-3453000,-5697000,14237000,-4448000,-6856000,-5373000,-13428000,87000,- -,24000,73000,1017000,1532000,1463000,1491000,817000,80682000,787000,257000,84711000,91000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1100000,7100000,-100000,-6985000,33443000,6426000,4315000,14237000,-2936000,-4856000,-3373000,6056000,-10928000,-6451000,9000,73000,-5983000,33521000,1463000,-14177000,-11233000,70775000,-9428000,-20654000,156506000,-39960000
96,Effect of Forex Changes on Cash,- -,- -,- -,-100000,-300000,-300000,-226000,-286000,-463000,336000,461000,620000,-631000,473000,160000,-170000,163000,441000,-678000,-360000,207000,-3187000,-459000,68000,4503000,470000,-1968000,-707000,-3025000
97,Net Change In Cash,- -,- -,- -,-4200000,3400000,9900000,-11487000,8303000,-951000,5914000,9774000,-20833000,-4243000,-3591000,10017000,-5187000,3234000,5010000,5278000,7590000,41263000,-22913000,6951000,6557000,10559000,-6839000,1667000,86266000,37682000
98,Cash at the End of Period,- -,- -,- -,6900000,10300000,20200000,8735000,17038000,16087000,22001000,31775000,10942000,6699000,3108000,13125000,7938000,11172000,16182000,21460000,29050000,70313000,47400000,54351000,60908000,71467000,64628000,66295000,152561000,190243000
99,Cash at the Beginning of Period,- -,- -,- -,11100000,6900000,10300000,20222000,8735000,17038000,16087000,22001000,31775000,10942000,6699000,3108000,13125000,7938000,11172000,16182000,21460000,29050000,70313000,47400000,54351000,60908000,71467000,64628000,66295000,152561000
100,Free Cash Flow,- -,- -,- -,-2500000,-2000000,15200000,-2201000,-24796000,-3126000,3942000,-469000,-3428000,-4388000,-5828000,3760000,5505000,9522000,6059000,3196000,14001000,7745000,13999000,31593000,15830000,293000,20626000,49018000,47014000,68694000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/885740/000117891305000853/zk51620.htm,https://www.sec.gov/Archives/edgar/data/885740/000117891306001209/zk62591.htm,https://www.sec.gov/Archives/edgar/data/885740/000117891307001285/zk73828.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/885740/000117891310001105/zk1008211.htm,https://www.sec.gov/Archives/edgar/data/885740/000117891311000815/zk1109609.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420412020126/v305277_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420413014158/0001144204-13-014158-index.html,https://www.sec.gov/Archives/edgar/data/885740/000114420414024230/v372465_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420415019286/v404561_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420416090761/0001144204-16-090761-index.html,https://www.sec.gov/Archives/edgar/data/885740/000114420417022625/v461410_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000114420418019906/tv489080_20f.htm,https://www.sec.gov/Archives/edgar/data/885740/000121390019004920/0001213900-19-004920-index.html,https://www.sec.gov/Archives/edgar/data/885740/000121390020008747/f20f2019_sapiensinternation.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
