,https://roic.ai/company/CPT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7373000,9771000,8804000,4736000,2826000,8584000,4649000,-710000,1217000,842000,597000,2202000,3011000,2101000,3090000,2949000,1223000
13,Interest Expense (Gain),1300000,8800000,13800000,17336000,28537000,50467000,57856000,69036000,69841000,71499000,75414000,79214000,111548000,118344000,116281000,132399000,128296000,125893000,112414000,104992000,98129000,93263000,97312000,93145000,86750000,84263000,80706000,91526000,97297000
14,Depreciation and Amortization,3600000,16200000,20300000,23894000,44836000,78113000,89516000,96966000,101660000,103342000,108076000,103528000,171254000,159860000,157137000,169151000,172415000,174465000,181791000,209872000,219650000,235634000,257082000,250146000,263974000,300946000,336274000,367162000,420692000
15,EBITDA,8400000,34500000,46400000,49943000,111811000,185913000,208995000,240426000,232793000,249453000,212920000,224083000,481888000,511050000,413198000,362314000,257878000,332155000,352804000,602313000,655969000,622889000,605581000,1164731000,548370000,542761000,637692000,584571000,823789000
16,EBITDA ratio,0.5153,0.5172,0.5557,0.5291,0.6202,0.6834,0.6619,0.6829,0.6609,0.7340,0.6195,0.6319,0.8168,0.8322,0.7980,0.7416,0.4949,0.6454,0.6669,0.8275,0.8315,0.7380,0.6782,1.3289,0.6087,0.5686,0.6200,0.5600,0.7204
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31007000,-74897000,69384000,13741000,211579000,-34009000,-74326000,-24927000,-69519000,- -
20,Income Before Tax,- -,- -,- -,8713000,40093000,58655000,71915000,89730000,77679000,57192000,44414000,44527000,166243000,152131000,50130000,-12862000,-61464000,19628000,35348000,170545000,157442000,303217000,260134000,457001000,202084000,162118000,225359000,130551000,314269000
21,Income Before Tax Ratio,- -,- -,- -,0.0923,0.2224,0.2156,0.2278,0.2549,0.2205,0.1683,0.1292,0.1256,0.2818,0.2477,0.0968,-0.0263,-0.1180,0.0381,0.0668,0.2343,0.1996,0.3593,0.2913,0.5214,0.2243,0.1698,0.2191,0.1251,0.2748
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3052000,843000,967000,1581000,2220000,1208000,1826000,1903000,1872000,1617000,1224000,1424000,1089000,1972000,1893000
23,Net Income,3500000,9500000,12300000,8713000,38438000,57333000,61623000,74424000,61292000,74612000,29430000,41341000,199086000,232846000,136728000,59921000,-43800000,30216000,56379000,286241000,336364000,292089000,249315000,819823000,196422000,156128000,219623000,123911000,303907000
24,Net Income ratio,0.2147,0.1424,0.1473,0.0923,0.2132,0.2107,0.1952,0.2114,0.1740,0.2195,0.0856,0.1166,0.3375,0.3792,0.2641,0.1226,-0.0841,0.0587,0.1066,0.3932,0.4264,0.3461,0.2792,0.9354,0.2180,0.1636,0.2135,0.1187,0.2657
25,EPS,0.39,0.77,0.86,0.58,1.46,1.16,1.27,1.71,1.48,1.84,0.75,1.00,3.83,4.11,2.55,1.28,-0.80,0.33,0.67,3.35,3.82,3.29,2.77,9.08,2.14,1.63,2.23,1.24,2.97
26,EPS Diluted,0.39,0.77,0.86,0.58,1.41,1.12,1.23,1.63,1.41,1.73,0.71,0.98,3.58,3.96,2.51,1.28,-0.80,0.33,0.66,3.30,3.78,3.27,2.76,9.05,2.13,1.63,2.22,1.24,2.96
27,Weighted Average Shares Outstanding,8974359,12337662,14302326,14940000,26257000,41174000,41236000,38112000,39796000,40441000,39355000,41430000,52000000,56660000,58135000,55272000,62359000,68608000,72756000,83772000,87204000,88084000,89120000,89580000,91499000,95208000,98460000,99385000,101999000
28,Weighted Average Shares Outstanding Diluted,8974359,12337662,14302326,14940000,28356000,44183000,44291000,41388000,41603000,44216000,41354000,42426000,56313000,59524000,59125000,55272000,62359000,68957000,75928000,85556000,88494000,88468000,89490000,89903000,92515000,95366000,99384000,99438000,102829000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906345/000090634504000036/cpt_10k-03.htm,https://www.sec.gov/Archives/edgar/data/906345/000095013405004960/d23390e10vk.htm,https://www.sec.gov/Archives/edgar/data/906345/000110465906015666/a06-2520_110k.htm,https://www.sec.gov/Archives/edgar/data/906345/000095012907001000/h43928e10vk.htm,https://www.sec.gov/Archives/edgar/data/906345/000136231008001094/c72500e10vk.htm,https://www.sec.gov/Archives/edgar/data/906345/000136231009002467/0001362310-09-002467-index.html,https://www.sec.gov/Archives/edgar/data/906345/000095012310017017/0000950123-10-017017-index.html,https://www.sec.gov/Archives/edgar/data/906345/000095012311017763/c12701e10vk.htm,https://www.sec.gov/Archives/edgar/data/906345/000119312512067347/0001193125-12-067347-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634513000003/0000906345-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634514000005/cpt-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/906345/000090634515000007/cpt12312014-10k.htm,https://www.sec.gov/Archives/edgar/data/906345/000090634516000044/0000906345-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634517000009/0000906345-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634518000007/0000906345-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634519000006/0000906345-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634520000008/0000906345-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634521000010/0000906345-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/906345/000090634522000009/0000906345-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5400000,200000,200000,2366000,6468000,5647000,5517000,4936000,5625000,405000,3357000,2253000,1576000,1034000,897000,7407000,64156000,170575000,55159000,26669000,17794000,153918000,10617000,237364000,368492000,34378000,23184000,420441000,613391000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5400000,200000,200000,2366000,6468000,5647000,5517000,4936000,5625000,405000,3357000,2253000,1576000,1034000,897000,7407000,64156000,170575000,55159000,26669000,17794000,153918000,10617000,337364000,368492000,34378000,23184000,420441000,613391000
34,Net Receivables,600000,2600000,3500000,3698000,2746000,2631000,38470000,77929000,6386000,26257000,76430000,86294000,59261000,79503000,97863000,103819000,81959000,35089000,31035000,33625000,27724000,25977000,25100000,24028000,24038000,22920000,21833000,20158000,18664000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31035000,36508000,6599000,33041000,5971000,8462000,9313000,9225000,4315000,4092000,5589000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55159000,96802000,52117000,212936000,41688000,369854000,401843000,66523000,49332000,444691000,637644000
38,PP&E,293200000,492600000,570800000,590176000,1287384000,2287898000,2402620000,2297006000,2314320000,2521808000,2487135000,2398685000,4144149000,4370211000,4650863000,4495438000,4312570000,4354753000,4397872000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,15089000,32484000,21869000,22612000,87056000,15386000,11033000,9641000,6096000,9245000,8466000,15106000,43542000,27632000,44844000,45092000,42155000,36429000,33698000,30254000,27237000,22283000,20688000,18994000,13730000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124200000,5243278000,5537869000,5807542000,5962226000,5628044000,5744668000,6130780000,6678484000,6735267000,7325410000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4566916000,5288370000,5580024000,5843971000,5995924000,5658298000,5771905000,6153063000,6699172000,6754261000,7339140000
46,Other Assets,304300000,504300000,582400000,603510000,1323620000,2347982000,2487932000,2430881000,2449665000,2609899000,2625561000,2629364000,4487799000,4586050000,4890760000,4730342000,4607999000,4699737000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,304300000,504300000,582400000,603510000,1323620000,2347982000,2487932000,2430881000,2449665000,2609899000,2625561000,2629364000,4487799000,4586050000,4890760000,4730342000,4607999000,4699737000,4622075000,5385172000,5632141000,6056907000,6037612000,6028152000,6173748000,6219586000,6748504000,7198952000,7976784000
48,Accounts Payable,5800000,11400000,14900000,7512000,13698000,24180000,20323000,13592000,13337000,36189000,26150000,31904000,- -,- -,- -,- -,- -,- -,- -,101896000,113307000,157232000,133353000,137813000,128313000,146866000,171719000,175608000,191651000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2832396000,49710000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,26827000,27407000,27324000,26070000,23306000,24943000,23600000,- -,- -,- -,28452000,35648000,39149000,45223000,49041000,51383000,54358000,54408000,66156000,66673000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,28688000,112602000,147320000,282477000,303008000,311063000,307211000,304850000,282496000,483800000,520700000,531300000,-2345996000,402690000,449500000,431300000,78421000,92435000,99535000,109498000,118202000,124326000,129340000,135381000,150303000,155459000
53,Total Current Liabilities,- -,- -,- -,36200000,126300000,171500000,302800000,316600000,324400000,343400000,331000000,314400000,483800000,520700000,531300000,486400000,452400000,449500000,431300000,180317000,205742000,256767000,242851000,256015000,252639000,276206000,307100000,325911000,347110000
54,Long-Term Debt,111500000,197300000,279500000,244182000,480754000,1002568000,1165090000,1138117000,1207047000,1427016000,1509677000,1576405000,2633091000,2330976000,2828095000,2832396000,2625199000,2563754000,2432112000,2510468000,2530766000,2743539000,2724687000,2480588000,2204598000,2321576000,2524099000,3166625000,3170367000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,27718000,6046000,3532000,3410000,1983000,-47000,-16000,23000,-5000,9000,24000,5000,4000,1000,46000,-12000,67679000,88272000,100058000,97814000,118959000,154567000,184026000,215581000,189829000,193052000
58,Total Non-Current Liabilities,111500000,197300000,279500000,271900000,486800000,1006100000,1168500000,1140100000,1207000000,1427000000,1509700000,1576400000,2633100000,2331000000,2828100000,2832400000,2625200000,2563800000,2432100000,2578147000,2619038000,2843597000,2822501000,2599547000,2359165000,2505602000,2739680000,3356454000,3363419000
59,Other Liabilities,237800000,422000000,592100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,126300000,224700000,312600000,308082000,549731000,1105811000,1274405000,1246321000,1325335000,1569717000,1644291000,1731282000,2895873000,2628183000,3139495000,3131061000,2998986000,2942364000,2794307000,2758464000,2824780000,3100364000,3065352000,2855562000,2611804000,2781808000,3046780000,3682365000,3710529000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,165000,317000,447000,448000,450000,476000,479000,483000,486000,608000,650000,654000,660000,770000,824000,845000,962000,967000,976000,976000,978000,1028000,1031000,1069000,1069000,1126000
64,Retained Earnings,-2700000,-15500000,-29600000,-49515000,-63526000,-98897000,-132198000,-153972000,-194718000,-224756000,-297808000,-361973000,-295074000,-213665000,-227025000,-312309000,-492571000,-595317000,-690466000,-598951000,-494167000,-453777000,-458577000,-289180000,-368703000,-495496000,-584167000,-791079000,-829453000
65,Other Comprehensive Income/Loss,- -,- -,- -,-56369000,-94665000,-167560000,-253545000,-326723000,-422154000,-498776000,-601688000,-688333000,-716650000,-762011000,-16123000,-51056000,-41155000,-33458000,-683000,-1062000,-1106000,-2419000,-1913000,-1863000,-57000,6929000,-6529000,-5383000,-3739000
66,Other Total Stockholders Equity,180700000,295100000,299400000,401147000,931763000,1508181000,1598822000,1664805000,1740726000,1562506000,1683898000,1788335000,2382019000,2709382000,1773807000,1774199000,2063367000,2314370000,2449021000,3162150000,3233022000,3338956000,3355435000,3381975000,3850325000,3851633000,4218312000,4240298000,- -
67,Total Stockholders Equity,178000000,279600000,269800000,295428000,773889000,1242171000,1213527000,1184560000,1124330000,839453000,784885000,738515000,1370903000,1734356000,1531313000,1411494000,1530411000,1686419000,1758717000,2563099000,2738716000,2883736000,2895921000,3091910000,3482593000,3364097000,3628685000,3444905000,4197490000
68,Total Liabilities And Stockholders Equity,304300000,504300000,582400000,603510000,1323620000,2347982000,2487932000,2430881000,2449665000,2409170000,2429176000,2469797000,4266776000,4362539000,4670808000,4542555000,4529397000,4628783000,4553024000,5321563000,5563496000,5984100000,5961273000,5947472000,6094397000,6145905000,6675465000,7127270000,7908019000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,200729000,196385000,159567000,221023000,223511000,219952000,187787000,78602000,70954000,69051000,63609000,68645000,72807000,76339000,80680000,79351000,73681000,73039000,71682000,68765000
70,Total Liabilities & Equity,304300000,504300000,582400000,603510000,1323620000,2347982000,2487932000,2430881000,2449665000,2609899000,2625561000,2629364000,4487799000,4586050000,4890760000,4730342000,4607999000,4699737000,4622075000,5385172000,5632141000,6056907000,6037612000,6028152000,6173748000,6219586000,6748504000,7198952000,7976784000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906345/000090634504000036/cpt_10k-03.htm,https://www.sec.gov/Archives/edgar/data/906345/000095013405004960/d23390e10vk.htm,https://www.sec.gov/Archives/edgar/data/906345/000110465906015666/a06-2520_110k.htm,https://www.sec.gov/Archives/edgar/data/906345/000095012907001000/h43928e10vk.htm,https://www.sec.gov/Archives/edgar/data/906345/000136231008001094/c72500e10vk.htm,https://www.sec.gov/Archives/edgar/data/906345/000136231009002467/0001362310-09-002467-index.html,https://www.sec.gov/Archives/edgar/data/906345/000095012310017017/0000950123-10-017017-index.html,https://www.sec.gov/Archives/edgar/data/906345/000095012311017763/c12701e10vk.htm,https://www.sec.gov/Archives/edgar/data/906345/000119312512067347/0001193125-12-067347-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634513000003/0000906345-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634514000005/cpt-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/906345/000090634515000007/cpt12312014-10k.htm,https://www.sec.gov/Archives/edgar/data/906345/000090634516000044/0000906345-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634517000009/0000906345-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634518000007/0000906345-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634519000006/0000906345-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634520000008/0000906345-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/906345/000090634521000010/0000906345-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/906345/000090634522000009/0000906345-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3500000,9500000,12300000,8713000,38438000,57333000,61623000,74424000,61292000,74612000,29430000,41341000,199086000,232846000,136728000,59921000,-43800000,30216000,56379000,286241000,336364000,292089000,249315000,819823000,196422000,156128000,219623000,123911000,303907000
74,Depreciation and Amortization,3600000,16200000,20300000,23894000,44836000,78113000,89516000,96966000,101660000,103342000,108076000,103528000,171254000,159860000,157137000,169151000,172415000,174465000,181791000,209872000,219650000,235634000,257082000,250146000,263974000,300946000,336274000,367162000,420692000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7547000,7663000,9053000,11306000,12039000,13086000,14063000,15552000,17674000,20123000,17547000,16749000,15235000,13942000,15397000
77,Change in Working Capital,- -,- -,- -,-36200000,-90100000,-45200000,-131300000,-13800000,-7800000,-19000000,12400000,16600000,-169400000,-36900000,-10600000,44900000,34000000,2900000,73359000,292626000,-70110000,109794000,-157332000,315002000,35365000,-358887000,-48085000,376548000,3518000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-1085000,- -,-839000,-570000,- -,456000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-3768000,- -,-255000,22624000,-10039000,5653000,- -,- -,- -,- -,- -,- -,- -,2320000,-8138000,19296000,-15528000,-2309000,-2300000,-4133000,19713000,-62000,14786000
81,Other Working Capital,- -,- -,- -,-36200000,-126300000,-171500000,-302800000,-316600000,-324400000,-343400000,-331000000,-314400000,-483800000,-520700000,-531300000,-486400000,-452400000,-449500000,-376141000,-83515000,-153625000,-43831000,-201163000,113839000,149204000,-209683000,-257768000,118780000,3742000
82,Other Non-Cash Items,9500000,7900000,5000000,44860000,72800000,48173000,144182000,6231000,43061000,25970000,-11944000,-1432000,-95000,-124237000,-67706000,-64677000,46020000,5149000,-78734000,-477558000,-95676000,-234541000,56499000,-962031000,-78652000,388811000,32550000,-362244000,-166047000
83,Cash Provided by Operating Activities,16600000,33600000,37600000,41267000,65974000,138419000,164021000,163821000,198213000,184924000,137962000,160037000,200845000,231569000,223106000,216958000,217688000,224036000,244834000,324267000,404291000,418528000,423238000,443063000,434656000,503747000,555597000,519319000,577467000
84,CAPEX,- -,- -,- -,-71288000,-133206000,-335567000,-213352000,-120636000,- -,- -,- -,- -,- -,- -,-500820000,-199269000,-72779000,-63739000,-227755000,-290728000,-356815000,-503328000,-425574000,-342952000,-299086000,-359230000,-407558000,-427247000,-428714000
85,Acquisitions Net,- -,- -,- -,- -,14471000,10650000,4958000,-2702000,-1881000,51810000,- -,23179000,315868000,213720000,510000,42065000,-22997000,-6467000,-26727000,-7006000,-1886000,-1000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-7249000,-240000,-39000,- -,- -,-3147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,2910000,69983000,8917000,1748000,104076000,49524000,623000,- -,- -,- -,4510000,- -,- -,- -,- -,- -,100000000,- -,- -,- -,- -
88,Other Investing Activites,-237300000,-198100000,-97000000,29591000,45026000,269904000,-12177000,110202000,-113407000,-345372000,-100825000,-93857000,-627505000,-312164000,-264900000,-79439000,26260000,105356000,62608000,-520679000,-257099000,-324886000,-293308000,790412000,-289754000,-640921000,-792445000,-429602000,-804391000
89,Cash Used for Investing Activites,-237300000,-198100000,-97000000,-41697000,-73709000,-55013000,-220571000,-13136000,-119627000,-223819000,-91947000,-68930000,-207561000,-52067000,-346798000,-37374000,-69516000,35150000,-187364000,-527685000,-258985000,-325886000,-293308000,690412000,-189754000,-640921000,-792445000,-429602000,-804391000
90,Debt Repayment,-200000,-12800000,-4700000,-2253000,-207085000,-161655000,-25178000,-107376000,-219359000,-85088000,-67871000,-292590000,-268253000,-227284000,-213376000,-379213000,-648705000,-343692000,-635623000,-1170575000,-1183188000,-2282340000,-253043000,-3077000,-278999000,-381438000,-746730000,-502000000,- -
91,Common Stock Issued,- -,- -,- -,27591000,142627000,- -,- -,- -,- -,- -,- -,- -,- -,254931000,- -,- -,272112000,231651000,106571000,693355000,40044000,66225000,- -,- -,445038000,- -,353213000,- -,759209000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-20704000,-128929000,-31203000,-26922000,-62675000,- -,-35681000,-23188000,-170000,-200467000,-33133000,-21000,-26000,- -,- -,- -,- -,- -,- -,- -,-14668000,- -,- -,- -
93,Dividends Paid,-2600000,-19700000,-26100000,-27457000,-55514000,-89115000,-108253000,-112850000,-119226000,-123412000,-121075000,-123841000,-148318000,-166234000,-178142000,-172332000,-152687000,-135626000,-152242000,-189018000,-220083000,-236514000,-253129000,-663363000,-280761000,-298005000,-317253000,-333360000,-343039000
94,Other Financing Activites,229000000,191900000,90200000,4679000,131809000,187247000,318780000,100163000,287610000,307296000,145883000,359901000,445798000,-41287000,715540000,411604000,437878000,94926000,508408000,841166000,1209046000,2496111000,232941000,-237797000,1799000,497083000,931514000,1142677000,5201000
95,Cash Used/Provided by Financing Activities,226200000,159400000,59400000,2560000,11837000,-84227000,56420000,-151266000,-77897000,36121000,-43063000,-92211000,6039000,-180044000,123555000,-173074000,-91423000,-152767000,-172886000,174928000,-154181000,43482000,-273231000,-904237000,-112923000,-197028000,220744000,307317000,421371000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,226200000,159400000,59400000,2130000,4102000,-821000,-130000,-581000,689000,-2774000,2952000,-1104000,-677000,-542000,-137000,6510000,56749000,106419000,-115416000,-28490000,-8875000,136124000,-143301000,229238000,131979000,-334202000,-16104000,397034000,194447000
98,Cash at the End of Period,- -,- -,- -,2366000,6468000,5647000,5517000,4936000,5625000,405000,3357000,2253000,1576000,1034000,897000,7407000,64156000,170575000,55159000,26669000,17794000,153918000,10617000,245826000,377805000,43603000,27499000,424533000,618980000
99,Cash at the Beginning of Period,- -,5400000,200000,236000,2366000,6468000,5647000,5517000,4936000,3179000,405000,3357000,2253000,1576000,1034000,897000,7407000,64156000,170575000,55159000,26669000,17794000,153918000,16588000,245826000,377805000,43603000,27499000,424533000
100,Free Cash Flow,16600000,33600000,37600000,-30021000,-67232000,-197148000,-49331000,43185000,198213000,184924000,137962000,160037000,200845000,231569000,-277714000,17689000,144909000,160297000,17079000,33539000,47476000,-84800000,-2336000,100111000,135570000,144517000,148039000,92072000,148753000
