,https://roic.ai/company/SBS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,75883440,121117000,130055000,133443000,146901000,159865000,141492000,- -,112962000,- -,- -,129849000,- -,- -,- -,36754000,261242000,433996000,320716000,283739000
57,Other Non-Current Liabilities,- -,395308060,837023000,1047433000,1222001000,1258380000,1321647000,- -,3175387000,3027236000,3734135000,3460917000,3432129000,3991820000,4654354000,6305739000,6870590000,7304372000,7549731000,7179911000,6963741000
58,Total Non-Current Liabilities,- -,7064176000,7225405000,6731331000,7260652000,6879535000,6424633000,5557740000,8723410000,10162670000,10700420000,11162846000,12371112000,13570461000,16249692000,17023315000,17261555000,18614798000,18368593000,21724802000,23140699000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,13106817000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382492000,482590000,534895000,552516000,561617000,568666000,534124000,474619000,- -
61,Total Liabilities,- -,9085461000,8953727000,8832220000,8952618000,8981471000,8879370000,10565996000,11804540000,13668784000,14669088000,14960216000,15343493000,17051037000,19990008000,21325823000,22033435000,24013430000,24822017000,27624932000,28233626000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,49506900,50530775,65308384,- -,- -,- -,- -,- -,- -,6203688000,6203688000,6203688000,10000000000,10000000000,10000000000,10000000000,15000000000,15000000000,15000000000,15000000000
64,Retained Earnings,- -,- -,1398796000,1863389000,2470269000,3080605000,- -,966960000,2110641000,3353857000,4217953000,- -,6736389000,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,2857965000,2723720000,2619220000,2529771000,2427499000,6256063000,-7305232000,-53673000,-165913000,-179631000,5511889000,6727113000,3304403000,3716606000,5419211000,7513009000,4551688000,6635783000,7793704000,9931859000
66,Other Total Stockholders Equity,- -,4339004100,3403896225,3403670616,- -,- -,- -,- -,- -,- -,303886000,- -,-6736389000,- -,- -,- -,- -,- -,- -,- -,- -
