,https://roic.ai/company/FUN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,21200000,22000000,23900000,24100000,25400000,29800000,35600000,36300000,41500000,48100000,53000000,80000000,86000000,94139000,114441000,112142000,115216000,125359000,130136000,191427000,320723000,676270000,238120000,260797000,264231000,717053000,747243000,777229000,814747000,852587000,905094000,933212000,1034908000,613449000,1066803000
11,COGS and Expenses,72700000,73000000,80400000,81600000,85500000,103800000,121500000,130300000,145200000,169500000,187800000,306900000,321300000,349577000,378699000,381659000,384827000,424142000,431385000,611893000,832402000,766896000,725788000,758818000,787139000,812101000,839015000,872437000,919574000,959195000,1015905000,1047945000,1161172000,641440000,1179269000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,177000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129561000,124706000,150285000,157185000,110619000,103071000,96286000,86849000,83863000,85603000,85687000,100364000,150669000,184032000
14,Depreciation and Amortization,8800000,9100000,9200000,9700000,10300000,12400000,14500000,15000000,16700000,19100000,21500000,32100000,35100000,39572000,42486000,41682000,44693000,50690000,55765000,90703000,130623000,125838000,132745000,126796000,123805000,127339000,122487000,124286000,125631000,131876000,153222000,155529000,170456000,157549000,148803000
15,EBITDA,21600000,31700000,40800000,42900000,46300000,55300000,65400000,77800000,82800000,93300000,90000000,130000000,136500000,133731000,116900000,130258000,148499000,147720000,167341000,217267000,140361000,260170000,307858000,248759000,437143000,370539000,354005000,334672000,346894000,464845000,455413000,402612000,485974000,-419940000,304352000
16,EBITDA ratio,0.2101,0.3072,0.3400,0.3516,0.3617,0.3614,0.3656,0.3921,0.3795,0.3725,0.3408,0.3099,0.3116,0.2828,0.2449,0.2590,0.2912,0.2726,0.2942,0.2613,0.1422,0.2612,0.3361,0.2545,0.4250,0.3468,0.3120,0.2886,0.2807,0.3607,0.3445,0.2986,0.3295,-2.3130,0.2274
17,Operating Income,30100000,30200000,39600000,40400000,42500000,49200000,57400000,68100000,73000000,81000000,76300000,112600000,116700000,123343000,98557000,121192000,125149000,117830000,137322000,219496000,154571000,133923000,185543000,153729000,238768000,232642000,301761000,278332000,295331000,316939000,295211000,290519000,309439000,-572008000,148335000
18,Operating Income ratio,0.2928,0.2926,0.3300,0.3311,0.3320,0.3216,0.3208,0.3432,0.3346,0.3234,0.2889,0.2684,0.2664,0.2608,0.2065,0.2410,0.2454,0.2174,0.2415,0.2640,0.1566,0.1344,0.2025,0.1573,0.2322,0.2177,0.2660,0.2400,0.2390,0.2459,0.2233,0.2154,0.2098,-3.1506,0.1108
19,Total Other Income Expenses (Gains),-2600000,- -,- -,- -,- -,- -,-6500000,2100000,- -,- -,- -,-14700000,-15300000,-29184000,-24143000,-32616000,-21343000,-20800000,-25746000,-92932000,-144833000,-129152000,-135136000,-182051000,-154773000,-100061000,-173314000,-164232000,-160917000,-67833000,-78623000,-129123000,-94285000,-156150000,-176818000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,50900000,- -,- -,- -,- -,97900000,101400000,94159000,74414000,88576000,103806000,97030000,111576000,126564000,9738000,4771000,50407000,-28322000,83995000,132581000,128447000,114100000,134414000,249106000,216588000,161396000,215154000,-728158000,-28483000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.2845,- -,- -,- -,- -,0.2334,0.2315,0.1991,0.1559,0.1761,0.2036,0.1790,0.1962,0.1522,0.0099,0.0048,0.0550,-0.0290,0.0817,0.1241,0.1132,0.0984,0.1088,0.1933,0.1638,0.1197,0.1459,-4.0107,-0.0213
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,-11000000,- -,- -,- -,- -,14500000,15600000,16353000,16520000,17159000,17918000,18715000,-49276000,39087000,14229000,-935000,14978000,3245000,11837000,31365000,20243000,9885000,22192000,71418000,1112000,34743000,42789000,-137915000,20035000
23,Net Income,12800000,22600000,31600000,33200000,36000000,42900000,61900000,62800000,66100000,74200000,68500000,83400000,85800000,77806000,57894000,71417000,85888000,78315000,160852000,87477000,-4491000,5706000,35429000,-31567000,144316000,101216000,108204000,104215000,112222000,177688000,215476000,126653000,172365000,-590243000,-48518000
24,Net Income ratio,0.1245,0.2190,0.2633,0.2721,0.2813,0.2804,0.3460,0.3165,0.3029,0.2962,0.2594,0.1988,0.1959,0.1645,0.1213,0.1420,0.1684,0.1445,0.2828,0.1052,-0.0046,0.0057,0.0387,-0.0323,0.1403,0.0947,0.0954,0.0899,0.0908,0.1379,0.1630,0.0939,0.1169,-3.2510,-0.0363
25,EPS,0.40,0.53,0.74,0.78,0.84,0.98,1.38,1.40,1.45,1.59,1.48,1.62,1.64,1.51,1.14,1.41,1.70,1.51,3.00,1.62,-0.08,0.10,0.64,-0.57,1.30,1.82,1.95,1.88,2.01,3.18,3.84,2.25,3.04,-10.41,-0.50
26,EPS Diluted,0.40,0.53,0.74,0.78,0.84,0.98,1.38,1.40,1.45,1.59,1.47,1.58,1.63,1.50,1.13,1.39,1.67,1.47,2.93,1.59,-0.08,0.10,0.63,-0.57,1.29,1.81,1.94,1.86,1.99,3.14,3.79,2.23,3.04,-10.41,-0.50
27,Weighted Average Shares Outstanding,32000000,42641509,42702703,42564103,42857143,43775510,44855072,44534000,45214000,46116000,45965000,51161000,51928000,51369000,50745000,50523000,50615000,51968000,53659000,53957000,54200000,54811000,55186000,55316000,55345000,55518000,55476000,55548000,55745000,55933000,56061000,56212000,56666000,56706000,56628000
28,Weighted Average Shares Outstanding Diluted,32000000,42641509,42702703,42564103,42857143,43775510,44855072,44909091,45862069,46595745,46265000,52414000,52390000,51679000,51113000,51263000,51334000,53315000,54950000,54872000,54200000,55446000,55906000,55316000,55886000,55895000,55825000,55992000,56356000,56562000,56800000,56860000,56666000,56706000,57009000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811532/000081153295000010/0000811532-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153296000003/0000811532-96-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811532/000081153201500004/ex1017.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153202000002/a123101k.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153203000033/r10k2002doc.htm,- -,https://www.sec.gov/Archives/edgar/data/811532/000081153205000026/r10k_2004-filing.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153206000034/filing10-k_2005.htm,https://www.sec.gov/Archives/edgar/data/811532/000095015207001685/l24898ae10vk.htm,https://www.sec.gov/Archives/edgar/data/811532/000119312508043745/d10k.htm,https://www.sec.gov/Archives/edgar/data/811532/000119312509042534/0001193125-09-042534-index.html,https://www.sec.gov/Archives/edgar/data/811532/000119312510043175/0001193125-10-043175-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153211000019/cedarfair10k2010.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153212000037/0000811532-12-000037-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153213000018/0000811532-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153214000042/cedarfair-10kx2013.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153215000057/cedarfair-10kx2014.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153216000223/0000811532-16-000223-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153217000062/0000811532-17-000062-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153218000040/0000811532-18-000040-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153219000037/0000811532-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153220000029/0000811532-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153221000033/0000811532-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153222000029/0000811532-22-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,400000,100000,1300000,2500000,1100000,600000,2400000,2300000,2200000,2194000,3400000,4400000,30200000,5500000,13900000,11900000,9800000,35500000,78800000,118100000,131840000,119557000,122716000,166245000,105349000,182252000,376736000,61119000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,400000,100000,1300000,2500000,1100000,600000,2400000,2300000,2200000,2194000,3400000,4400000,30200000,5500000,13900000,11900000,9800000,35500000,78800000,118100000,131840000,119557000,122716000,166245000,105349000,182252000,376736000,61119000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,1400000,2500000,3000000,6500000,6300000,7500000,5300000,4700000,6600000,6560000,4800000,7300000,21800000,16500000,8500000,6500000,12300000,7600000,18200000,21300000,27395000,29494000,35414000,37722000,51518000,63106000,103549000,146160000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,3400000,4400000,4400000,9100000,10200000,12000000,13400000,14100000,13900000,14905000,17600000,17700000,26400000,26900000,28600000,27300000,32100000,33100000,27800000,26100000,25883000,25029000,26276000,29719000,30753000,32902000,47479000,32113000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,3000000,2800000,3000000,3900000,3400000,4100000,4300000,5800000,6500000,6118000,7200000,11200000,26100000,13800000,13500000,15600000,16100000,22300000,16300000,21000000,18599000,9946000,11270000,13297000,12589000,15921000,26747000,24249000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,8200000,9800000,11700000,22000000,21000000,24200000,25400000,26900000,29200000,29777000,33000000,40600000,104500000,62700000,64500000,61300000,70300000,98500000,141100000,186500000,203717000,184026000,195676000,246983000,200209000,294181000,554511000,263641000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,204300000,253800000,281600000,567100000,600000000,674600000,728900000,771900000,781500000,777039000,947000000,967300000,1985700000,1933600000,1825100000,1781100000,1676600000,1638100000,1544300000,1505800000,1526551000,1514878000,1539220000,1585772000,1599438000,1855932000,1815508000,1727037000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,314100000,325400000,222600000,240000000,246300000,243500000,246200000,238100000,228291000,210811000,179660000,183830000,178719000,359654000,266961000,267232000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,11500000,11100000,10700000,10500000,10300000,10100000,9800000,11400000,11500000,12525000,13300000,1000000,64800000,66100000,54100000,42200000,40600000,40300000,40700000,39500000,38191000,35895000,37837000,38064000,36376000,59899000,50288000,49994000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,11500000,11100000,10700000,10500000,10300000,10100000,9800000,11400000,11500000,12525000,13300000,10100000,378900000,391500000,276700000,282200000,286900000,283800000,286900000,277600000,266482000,246706000,217497000,221894000,215095000,419553000,317249000,317226000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146800000,158300000,124300000,138100000,131800000,135400000,153800000,158100000,152513000,129763000,104885000,74798000,81717000,82046000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,100000,- -,- -,100000,- -,-100000,6800000,-105000000,-127400000,-104500000,-117300000,-83200000,-81200000,-106200000,-113400000,-110944000,-112353000,-84097000,-65288000,-72276000,-70567000,6144000,5116000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,215800000,264900000,292400000,577600000,610300000,684800000,738700000,783300000,793100000,789564000,960200000,984200000,2406400000,2356000000,2121600000,2084100000,2012100000,1976100000,1878800000,1828100000,1834602000,1778994000,1777505000,1817176000,1823974000,2286964000,2138901000,2049379000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,224000000,274700000,304100000,599600000,631300000,709000000,764100000,810200000,822300000,819341000,993200000,1024800000,2510900000,2418700000,2186100000,2145400000,2082400000,2074600000,2019900000,2014600000,2038319000,1963020000,1973181000,2064159000,2024183000,2581145000,2693412000,2313020000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,5700000,6400000,5300000,15600000,17000000,21600000,16600000,21200000,28000000,20757000,21700000,16600000,19800000,18600000,14600000,10000000,10800000,12900000,10700000,13200000,23933000,17122000,20851000,24621000,23314000,29344000,14272000,53912000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38550000,10000000,10000000,20000000,20000000,20000000,17450000,17450000,17450000,15959000,- -,15921000,- -,- -,- -,2475000,2775000,- -,5625000,7500000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16581000,17930000,15144000,16008000,17813000,19481000,21800000,41937000,58958000,43975000,29591000,39237000,10775000,9075000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10794000,19490000,18844000,17590000,23176000,26328000,29594000,39485000,44521000,61161000,69514000,82765000,86131000,107074000,151377000,183354000,187599000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,27900000,31200000,33900000,46800000,60200000,65000000,58850000,65500000,68300000,70937000,79800000,83306000,102560000,67806000,65560000,82365000,131772000,144985000,88015000,101079000,113125000,109560000,136292000,114742000,98706000,135917000,102355000,140003000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,33600000,37600000,39200000,62400000,77200000,86600000,114000000,96700000,106300000,111694000,121500000,130700000,159300000,122700000,115200000,131500000,168900000,203400000,138200000,158800000,198219000,198671000,242683000,225494000,234719000,324138000,299981000,381514000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,71400000,80000000,87600000,189800000,200400000,261200000,300000000,373000000,365200000,348647000,442100000,450900000,1759700000,1735500000,1706600000,1610400000,1579700000,1540500000,1532200000,1520600000,1558850000,1536676000,1534211000,1660515000,1657568000,2145883000,2964727000,2532281000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131830000,135446000,156740000,158113000,152513000,141951000,104885000,74798000,81717000,82046000,39595000,66483000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,3900000,5600000,7300000,10300000,11700000,11200000,19600000,32300000,45400000,50109000,59100000,9000000,181300000,275400000,257500000,275700000,64870000,36454000,38260000,37987000,32520000,28713000,30883000,20406000,17763000,39044000,55546000,31230000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,75300000,85600000,94900000,200100000,212100000,272400000,319600000,405300000,410600000,398756000,501200000,459900000,1941000000,2010900000,1964100000,1886100000,1776400000,1712400000,1727200000,1716700000,1743883000,1707340000,1669979000,1755719000,1757048000,2266973000,3059868000,2629994000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10600000,10483000,13345000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,108900000,123200000,134100000,262500000,289300000,359000000,433600000,502000000,516900000,510450000,622700000,590600000,2100300000,2133600000,2079300000,2017600000,1945300000,1915800000,1865400000,1875500000,1942102000,1906011000,1912662000,1981213000,1991767000,2591111000,3359849000,3011508000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,109400000,145700000,164000000,279700000,336200000,344100000,325200000,297400000,285700000,303536000,365200000,428900000,440500000,334700000,242100000,209900000,165600000,182400000,177700000,148800000,101556000,48428000,52288000,81589000,5845000,-25001000,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,10600000,10600000,10600000,10600000,10600000,10600000,10600000,21600000,20235000,5355000,5290000,5291000,-29901000,-49648000,-140626000,-87281000,-33708000,-29008000,-28500000,-15008000,-10630000,3291000,2941000,-3933000,21282000,9746000,2599000,8943000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46900000,- -,- -,- -,- -,-615000,- -,-7000,43000,16000,40000,-207283000,4962000,5536000,5320000,10560000,5331000,5661000,5581000,5231000,5357000,5571000,5035000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,115100000,151500000,170000000,337200000,342000000,350000000,330589000,308250000,305320000,308891000,370483000,434234000,410615000,285092000,-105809000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,224000000,274700000,304100000,599700000,631300000,709000000,764189000,810250000,822220000,819341000,993183000,1024834000,2510915000,2418692000,1973491000,2145462000,2082436000,2074520000,2024660000,2014631000,2038319000,1963020000,1973181000,2064159000,2024183000,2581145000,2693412000,3011508000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-89000,-50000,80000,- -,17000,-34000,-15000,8000,212609000,-62000,-36000,80000,-4760000,-31000,- -,- -,- -,- -,- -,- -,- -,-698488000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,224000000,274700000,304100000,599600000,631300000,709000000,764100000,810200000,822300000,819341000,993200000,1024800000,2510900000,2418700000,2186100000,2145400000,2082400000,2074600000,2019900000,2014600000,2038319000,1963020000,1973181000,2064159000,2024183000,2581145000,2693412000,2313020000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/811532/000081153295000010/0000811532-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153296000003/0000811532-96-000003-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811532/000081153201500004/ex1017.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153202000002/a123101k.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153203000033/r10k2002doc.htm,- -,https://www.sec.gov/Archives/edgar/data/811532/000081153205000026/r10k_2004-filing.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153206000034/filing10-k_2005.htm,https://www.sec.gov/Archives/edgar/data/811532/000095015207001685/l24898ae10vk.htm,https://www.sec.gov/Archives/edgar/data/811532/000119312508043745/d10k.htm,https://www.sec.gov/Archives/edgar/data/811532/000119312509042534/0001193125-09-042534-index.html,https://www.sec.gov/Archives/edgar/data/811532/000119312510043175/0001193125-10-043175-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153211000019/cedarfair10k2010.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153212000037/0000811532-12-000037-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153213000018/0000811532-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153214000042/cedarfair-10kx2013.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153215000057/cedarfair-10kx2014.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153216000223/0000811532-16-000223-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153217000062/0000811532-17-000062-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153218000040/0000811532-18-000040-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153219000037/0000811532-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153220000029/0000811532-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/811532/000081153221000033/0000811532-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/811532/000081153222000029/0000811532-22-000029-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,31600000,33200000,36000000,42900000,61900000,62800000,66100000,74200000,68500000,83400000,85800000,77806000,57894000,71417000,85888000,78315000,160852000,87477000,-4491000,5706000,35429000,-31567000,144316000,101216000,108204000,104215000,112222000,177688000,215476000,126653000,172365000,-590243000,-48518000
74,Depreciation and Amortization,- -,- -,9200000,9700000,10300000,12400000,14500000,15000000,16700000,19100000,21500000,32100000,35100000,39572000,42486000,41682000,44693000,50690000,55765000,90703000,130623000,125838000,132745000,126796000,123805000,127339000,122487000,124286000,125631000,131876000,153222000,155529000,170456000,157549000,148803000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-11000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3071000,12573000,19141000,-17827000,-5684000,-14140000,4637000,27110000,3348000,-2961000,- -,10662000,-35770000,11259000,-4106000,-41933000,26888000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000,-89000,-239000,4476000,6391000,9668000,- -,10958000,13434000,11243000,11910000,-209000,15431000
77,Change in Working Capital,- -,- -,300000,- -,- -,- -,- -,-25400000,-2400000,300000,-12900000,-15800000,-6200000,-26200000,18800000,-7300000,-4817000,-6583000,-1600000,35300000,-5200000,9300000,-19500000,-28400000,-6300000,107800000,24800000,-22202000,-20143000,-32362000,68496000,-55999000,4553000,284487000,44722000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28729000,-27651000
79,Inventory,- -,- -,- -,- -,- -,- -,400000,100000,700000,- -,-200000,100000,-1700000,-1407000,-274000,221000,-1010000,-1679000,-46000,- -,- -,- -,- -,- -,- -,- -,1535000,46000,607000,-1208000,-3332000,-1203000,-211000,-14499000,15384000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5101000,-2635000,652000,-1144000,170000,174000,884000,3243000,-407000,1906000,549000,-1107000,-9917000,34515000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-25400000,-27800000,-27500000,-40400000,-56200000,-62400000,-88600000,-69800000,-77100000,-81917000,-88500000,-90100000,-54800000,-60000000,-50700000,-70200000,-98600000,-104900000,2900000,27700000,5498000,-14645000,-47007000,21489000,-34510000,-29957000,254530000,3622000
82,Other Non-Cash Items,- -,- -,-100000,800000,- -,700000,3800000,28700000,4200000,600000,19400000,29200000,9300000,22939000,5788000,40669000,9154000,25739000,-51398000,-59629000,41638000,92571000,42233000,129515000,-48042000,-82008000,59227000,124097000,124507000,58605000,-83679000,102055000,47863000,-226188000,13900000
83,Cash Provided by Operating Activities,- -,- -,41000000,43700000,46300000,56000000,69200000,81100000,84600000,94200000,96500000,128900000,124000000,114117000,124968000,146468000,134918000,148161000,160548000,166424000,181711000,215588000,185197000,182115000,218177000,285933000,324457000,337103000,342217000,357427000,331179000,350740000,403041000,-416537000,201226000
