,https://roic.ai/company/SKX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,33200000,38200000,80947000,88487000,82792000,-1347000,49245000,76296000,112544000,112930000,57892000,72582000,196740000,-133793000,22319000,93609000,209071000,350824000,370518000,382880000,437765000,518443000,133684000,598187000
18,Operating Income ratio,0.0891,0.0900,0.1199,0.0921,0.0877,-0.0016,0.0535,0.0758,0.0934,0.0810,0.0402,0.0505,0.0978,-0.0829,0.0143,0.0507,0.0879,0.1115,0.1040,0.0919,0.0943,0.0993,0.0291,0.0952
19,Total Other Income Expenses (Gains),-8100000,-5500000,-8596000,-12532000,-7451000,-9026000,-10525000,-3499000,104000,5375000,2851000,-1472000,-137000,2746000,-11846000,-11394000,-17691000,-17327000,-11034000,1380000,-5881000,-2438000,21045000,-28430000
20,Income Before Tax,25100000,32700000,72351000,75955000,75341000,-10373000,38720000,72797000,112648000,118305000,60743000,71110000,196603000,-131047000,10473000,82215000,191380000,333497000,359484000,384260000,431884000,516005000,154729000,569757000
21,Income Before Tax Ratio,0.0673,0.0770,0.1072,0.0791,0.0798,-0.0124,0.0421,0.0723,0.0935,0.0849,0.0422,0.0494,0.0977,-0.0812,0.0067,0.0445,0.0805,0.1060,0.1009,0.0923,0.0930,0.0989,0.0337,0.0907
22,Income Tax expense (Gain),700000,12900000,28600000,28685000,28305000,1494000,15167000,28080000,41654000,42619000,7258000,20228000,60198000,-63467000,-39000,21347000,39184000,72450000,74125000,149156000,60611000,88753000,8502000,-245875000
23,Net Income,24400000,19800000,43751000,47270000,47036000,-11867000,23553000,44717000,70994000,75686000,55396000,54699000,136148000,-67484000,9512000,54788000,138811000,231912000,243493000,179190000,301041000,346560000,98564000,741503000
24,Net Income ratio,0.0655,0.0466,0.0648,0.0492,0.0498,-0.0142,0.0256,0.0444,0.0589,0.0543,0.0384,0.0380,0.0677,-0.0418,0.0061,0.0297,0.0584,0.0737,0.0683,0.0430,0.0649,0.0664,0.0214,0.1180
25,EPS,-0.18,0.21,0.41,0.43,0.42,-0.10,0.20,0.38,0.58,0.56,0.40,0.39,0.96,-0.46,0.06,0.36,0.91,1.52,1.58,1.15,1.93,2.26,0.64,5.23
26,EPS Diluted,-0.18,0.20,0.40,0.41,0.40,-0.10,0.20,0.35,0.53,0.54,0.40,0.39,0.93,-0.46,0.06,0.36,0.91,1.50,1.57,1.14,1.92,2.25,0.64,5.19
27,Weighted Average Shares Outstanding,127500000,95295000,105426000,109227000,111825000,113520000,115914000,119058000,123237000,135786000,138093000,139023000,142299000,145473000,148485000,151089000,151839000,152847000,154169000,155651000,155815000,153392000,154184000,155835000
28,Weighted Average Shares Outstanding Diluted,146400000,99054000,109689000,114177000,122562000,113520000,119400000,133554000,138417000,140223000,140124000,141315000,147150000,145473000,149826000,151689000,153078000,154200000,155084000,156523000,156450000,154151000,154894000,157123000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1065837/000095014800000574/0000950148-00-000574-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1065837/000095014803000702/0000950148-03-000702-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095014804000577/0000950148-04-000577-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012905002481/0000950129-05-002481-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012906002711/0000950129-06-002711-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012407001540/0000950124-07-001540-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012408000975/0000950124-08-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095013409004222/0000950134-09-004222-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012310021687/0000950123-10-021687-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012311020586/0000950123-11-020586-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312512088845/0001193125-12-088845-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312513087817/0001193125-13-087817-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312514077061/0001193125-14-077061-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312515068511/0001193125-15-068511-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459016013515/0001564590-16-013515-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459017003040/0001564590-17-003040-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459018004045/0001564590-18-004045-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459019005775/0001564590-19-005775-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459020007744/0001564590-20-007744-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459021009442/0001564590-21-009442-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459022007170/0001564590-22-007170-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10800000,8781000,15554000,124830000,113479000,137653000,197007000,160485000,199516000,114941000,265675000,233558000,351144000,325826000,372011000,466685000,507991000,718536000,736431000,872237000,824876000,1370826000,796283000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,60000000,104500000,- -,30000000,- -,- -,- -,- -,- -,- -,- -,- -,100029000,112037000,100767000,98580000
33,Cash and Short-Term Investments,- -,10800000,8781000,15554000,124830000,113479000,137653000,197007000,220485000,304016000,114941000,295675000,233558000,351144000,325826000,372011000,466685000,507991000,718536000,736431000,972266000,936913000,1471593000,894863000
34,Net Receivables,- -,66700000,98184000,123114000,105180000,103284000,123189000,141488000,185775000,177926000,182880000,232101000,275707000,182654000,221188000,236540000,288613000,362591000,346035000,433004000,557596000,699235000,689022000,812836000
35,Inventory,- -,69000000,111708000,157659000,147984000,137917000,149757000,136171000,200877000,204211000,261209000,224050000,398588000,226407000,339012000,358168000,453837000,620247000,700515000,873016000,863260000,1069863000,1016774000,1470994000
36,Other Current Assets,- -,7900000,10871000,22499000,15482000,17987000,14004000,17383000,24811000,22587000,42977000,37183000,65511000,127146000,54286000,48209000,75879000,79638000,62680000,62573000,79018000,113580000,166962000,193547000
37,Total Current Assets,- -,154400000,229544000,318826000,393476000,372667000,424603000,492049000,631948000,708740000,602007000,789009000,973364000,887351000,940312000,1014928000,1285014000,1570467000,1827766000,2105024000,2472140000,2819591000,3344351000,3372240000
38,PP&E,- -,21400000,70405000,85739000,83666000,86324000,82564000,72945000,87645000,98400000,157757000,171667000,293802000,376446000,362446000,361755000,373183000,435907000,494473000,541601000,585457000,1812585000,2106962000,2353489000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1575000,1575000,1575000,- -,- -,- -,- -,- -,93497000,93497000
40,Intangible Assets,- -,700000,559000,458000,927000,2006000,1641000,1131000,633000,78000,5407000,9011000,7367000,4148000,1667000,802000,55000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,700000,559000,458000,927000,2006000,1641000,1131000,633000,78000,5407000,9011000,7367000,4148000,3242000,2377000,1630000,- -,- -,- -,- -,- -,93497000,93497000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93745000,94589000,108412000,145590000
43,Tax Assets,- -,- -,- -,- -,- -,- -,4906000,9337000,11984000,13983000,18158000,13660000,12323000,530000,16387000,9950000,2044000,- -,26043000,29922000,39431000,49088000,63884000,451355000
44,Other Non-Current Assets,- -,1400000,2892000,2463000,5087000,5536000,4939000,6495000,4842000,6776000,92987000,12205000,17938000,13413000,17833000,19560000,13047000,41034000,45388000,58535000,37482000,117090000,95263000,75109000
45,Total Non-Current Assets,- -,23500000,73856000,88660000,89680000,93866000,94050000,89908000,105104000,119237000,274309000,206543000,331430000,394537000,399908000,393642000,389904000,476941000,565904000,630058000,756115000,2073352000,2468018000,3119040000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,177900000,303400000,407486000,483156000,466533000,518653000,581957000,737052000,827977000,876316000,995552000,1304794000,1281888000,1340220000,1408570000,1674918000,2047408000,2393670000,2735082000,3228255000,4892943000,5812369000,6491280000
48,Accounts Payable,- -,47700000,72865000,77498000,88578000,78725000,93694000,108395000,161150000,164466000,164643000,196163000,246595000,231000000,241525000,258183000,352815000,473983000,520437000,505334000,679553000,764844000,744077000,876342000
49,Short-Term Debt,- -,31400000,52206000,86315000,2442000,3226000,3123000,1040000,576000,437000,572000,2535000,30330000,60472000,14093000,12115000,103217000,15712000,7869000,9812000,8888000,72023000,259917000,303820000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,10300000,11168000,15041000,15696000,12881000,13903000,21404000,19435000,19949000,23021000,31843000,30385000,16994000,36923000,40124000,49705000,87318000,93424000,82202000,161781000,401364000,208712000,265420000
53,Total Current Liabilities,- -,89400000,136239000,178854000,106716000,94832000,110720000,130839000,181161000,184852000,188236000,230541000,307310000,308466000,292541000,310422000,505737000,577013000,621730000,597348000,850222000,1238231000,1212706000,1445582000
54,Long-Term Debt,- -,2500000,33115000,29616000,117204000,116047000,113038000,107288000,106805000,16462000,16188000,15641000,51650000,76531000,128517000,116488000,15081000,68942000,67159000,71103000,88119000,49183000,1744484000,1358193000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4364000,73000,- -,- -,- -,412000,161000,451000,322000,11439000,11820000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -,- -,- -,- -,1740000,19993000,25719000,18855000,118259000,100188000,1069100000,118077000,133613000
58,Total Non-Current Liabilities,- -,2500000,33115000,29616000,117204000,116047000,113038000,107288000,106804000,16462000,16188000,15641000,51650000,80895000,128590000,118228000,35074000,94661000,86426000,189523000,188758000,1118605000,1874000000,1503626000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1157140000,1269439000,1320406000
61,Total Liabilities,- -,91900000,169354000,208470000,223920000,210879000,223758000,238127000,287965000,201314000,204424000,246182000,358960000,389361000,421131000,428650000,540811000,671674000,708156000,786871000,1038980000,2356836000,3086706000,2949208000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,35000,36000,37000,38000,39000,40000,42000,46000,46000,47000,48000,49000,50000,51000,50000,153000,154000,156000,153000,153000,155000,156000
64,Retained Earnings,- -,16000000,59768000,107038000,154074000,142207000,165760000,210477000,281471000,353770000,409166000,463865000,600013000,532529000,542041000,596829000,735640000,967552000,1211045000,1390235000,1691276000,2037836000,2136400000,2877903000
65,Other Comprehensive Income/Loss,- -,-8900000,-14650000,-29379000,-46416000,-65882000,-85339000,7000000,11000000,15000000,-5000000,9000000,4000000,-1000000,-2000000,-9000000,-16000000,-26000000,-27000000,-15000000,-31000000,-30000000,-27285000,-48323000
66,Other Total Stockholders Equity,- -,78900000,88893000,121321000,151541000,179291000,214435000,126313000,156574000,257847000,264481000,273010000,304142000,320983000,335878000,342442000,355559000,385851000,419434000,453673000,374529000,306676000,372165000,429608000
67,Total Stockholders Equity,- -,86000000,134046000,199016000,259236000,255654000,294895000,343830000,449087000,626663000,668693000,745922000,908203000,852561000,875969000,930322000,1075249000,1327556000,1603633000,1829064000,2034958000,2314665000,2481435000,3259344000
68,Total Liabilities And Stockholders Equity,- -,177900000,303400000,407486000,483156000,466533000,518653000,581957000,737052000,827977000,873117000,992104000,1267163000,1241922000,1297100000,1358972000,1616060000,1999230000,2311789000,2615935000,3073938000,4671501000,5568141000,6208552000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3199000,3448000,37631000,39966000,43120000,49598000,58858000,48178000,81881000,119147000,154317000,221442000,244228000,282728000
70,Total Liabilities & Equity,- -,177900000,303400000,407486000,483156000,466533000,518653000,581957000,737052000,827977000,876316000,995552000,1304794000,1281888000,1340220000,1408570000,1674918000,2047408000,2393670000,2735082000,3228255000,4892943000,5812369000,6491280000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1065837/000095014800000574/0000950148-00-000574-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1065837/000095014803000702/0000950148-03-000702-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095014804000577/0000950148-04-000577-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012905002481/0000950129-05-002481-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012906002711/0000950129-06-002711-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012407001540/0000950124-07-001540-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012408000975/0000950124-08-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095013409004222/0000950134-09-004222-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012310021687/0000950123-10-021687-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012311020586/0000950123-11-020586-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312512088845/0001193125-12-088845-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312513087817/0001193125-13-087817-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312514077061/0001193125-14-077061-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312515068511/0001193125-15-068511-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459016013515/0001564590-16-013515-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459017003040/0001564590-17-003040-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459018004045/0001564590-18-004045-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459019005775/0001564590-19-005775-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459020007744/0001564590-20-007744-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459021009442/0001564590-21-009442-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459022007170/0001564590-22-007170-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,24400000,19800000,43751000,47270000,47036000,-11867000,23553000,44717000,70994000,75686000,55396000,54699000,136148000,-67484000,9512000,54788000,138811000,231912000,243493000,179190000,301041000,346560000,98564000,741503000
74,Depreciation and Amortization,3000000,3900000,5998000,15303000,18070000,22363000,21778000,23358000,17470000,17752000,17743000,20629000,26390000,35232000,42448000,43309000,48304000,52960000,66083000,82764000,98966000,111515000,142810000,139577000
75,Deferred Income Tax,- -,-2800000,-1604000,-390000,4101000,-4918000,-3150000,-6322000,-6382000,-1102000,-1988000,1873000,-5170000,-8503000,-7538000,11583000,22411000,-4844000,-11936000,-3947000,-9767000,-7568000,-19568000,-387250000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5736000,13739000,14320000,11527000,2388000,8684000,18296000,23081000,28902000,30468000,41076000,65240000,60108000
77,Change in Working Capital,-33500000,65000000,28305000,46667000,146788000,-8925000,36048000,47327000,89577000,73101000,-110117000,144697000,107586000,-87169000,68886000,56735000,74771000,214177000,212582000,301640000,114242000,-40558000,550285000,-204987000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-19600000,-3600000,-42749000,-45951000,9825000,11852000,-11560000,13202000,-64364000,-3045000,-58240000,39362000,-172417000,160241000,-111813000,-22589000,-100162000,-176062000,-58152000,-158628000,-7212000,-171903000,78632000,-458002000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28136000,32828000,-18074000,9958000,17596000,98686000,130075000,38247000,-12806000,174352000,154464000,-37714000,135140000
81,Other Working Capital,- -,65000000,93305000,139972000,286760000,277835000,313883000,361210000,450787000,523888000,413771000,558468000,666054000,578885000,647771000,704506000,779277000,993454000,1206036000,1507676000,1621918000,1581360000,2131645000,1926658000
82,Other Non-Cash Items,1800000,-72800000,-77459000,-110570000,-99181000,15666000,-45183000,-33182000,-145620000,-64082000,17137000,-112525000,-326072000,278523000,-128282000,-69826000,-129099000,-280287000,-171681000,-429212000,33602000,-24473000,-505878000,-136799000
83,Cash Provided by Operating Activities,-4300000,13100000,-1009000,-1720000,116814000,12319000,33046000,75898000,26039000,101355000,-21829000,115109000,-47379000,164919000,-3447000,98977000,163882000,232214000,361622000,159337000,568552000,426552000,331453000,212152000
84,CAPEX,-9400000,-10800000,-21897000,-31519000,-14520000,-21789000,-16000000,-14029000,-27560000,-31175000,-72461000,-39841000,-82310000,-122248000,-52452000,-41381000,-56905000,-118199000,-119471000,-136190000,-143036000,-236111000,-309916000,-309674000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,- -,- -,- -,- -,- -,-23000000,- -,- -,-101000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-113100000,-249450000,-11725000,-30000000,- -,- -,- -,- -,- -,-8428000,-3810000,-2344000,-446127000,-189624000,-166614000,-215164000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,53100000,204950000,20600000,375000,30000000,- -,- -,- -,- -,144000,170000,284000,269749000,176773000,164062000,180172000
88,Other Investing Activites,- -,- -,51000,- -,- -,-2328000,35000,- -,- -,- -,5000000,95250000,- -,17100000,- -,- -,- -,- -,466000,- -,- -,5889000,-309916000,-309674000
89,Cash Used for Investing Activites,-9400000,-10800000,-21846000,-31519000,-14520000,-24117000,-15965000,-14029000,-87560000,-75675000,-63586000,25784000,-52310000,-105148000,-52452000,-41381000,-56905000,-126483000,-145645000,-138250000,-319414000,-344073000,-312468000,-344666000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-413000,-9121000,-14287000,-10243000,-11667000,-12028000,-32656000,-15653000,-1783000,-1683000,-4108000,-88849000,-487441000
91,Common Stock Issued,- -,70000000,2572000,9369000,6452000,1509000,8905000,6916000,18963000,- -,- -,- -,- -,3321000,3425000,2947000,3363000,4318000,5120000,5479000,5297000,6173000,- -,- -
92,Common Stock Repurchased,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99977000,-30019000,- -,- -
93,Dividends Paid,-8300000,-35400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,32100000,-37000000,18228000,30610000,-453000,-2420000,-3042000,-7660000,3958000,9911000,8557000,8813000,76542000,71399000,36572000,-1190000,-378000,-29838000,7009000,-18237000,-23352000,-104019000,622151000,53523000
95,Cash Used/Provided by Financing Activities,23200000,-2400000,20800000,39979000,5999000,-911000,5863000,-744000,22921000,9911000,8557000,8400000,67421000,60433000,29754000,-9910000,-9043000,-58176000,-3524000,-14541000,-119715000,-131973000,533302000,-433918000
96,Effect of Forex Changes on Cash,- -,- -,- -,33000,983000,1358000,1230000,-1771000,2078000,3440000,-3077000,1441000,151000,-2618000,827000,-1501000,-3260000,-6249000,-1908000,11349000,6383000,2133000,-6337000,-8111000
97,Net Change In Cash,23200000,-100000,-2055000,6773000,109276000,-11351000,24174000,59354000,-36522000,39031000,-84575000,150734000,-32117000,117586000,-25318000,46185000,94674000,41306000,210545000,17895000,135806000,-47361000,545950000,-574543000
98,Cash at the End of Period,- -,10800000,8781000,15554000,124830000,113479000,137653000,197007000,160485000,199516000,114941000,265675000,233558000,351144000,325826000,372011000,466685000,507991000,718536000,736431000,872237000,824876000,1370826000,796283000
99,Cash at the Beginning of Period,1500000,10900000,10836000,8781000,15554000,124830000,113479000,137653000,197007000,160485000,199516000,114941000,265675000,233558000,351144000,325826000,372011000,466685000,507991000,718536000,736431000,872237000,824876000,1370826000
100,Free Cash Flow,-13700000,2300000,-22906000,-33239000,102294000,-9470000,17046000,61869000,-1521000,70180000,-94290000,75268000,-129689000,42671000,-55899000,57596000,106977000,114015000,242151000,23147000,425516000,190441000,21537000,-97522000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1065837/000095014800000574/0000950148-00-000574-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1065837/000095014803000702/0000950148-03-000702-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095014804000577/0000950148-04-000577-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012905002481/0000950129-05-002481-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012906002711/0000950129-06-002711-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012407001540/0000950124-07-001540-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012408000975/0000950124-08-000975-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095013409004222/0000950134-09-004222-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012310021687/0000950123-10-021687-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000095012311020586/0000950123-11-020586-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312512088845/0001193125-12-088845-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312513087817/0001193125-13-087817-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312514077061/0001193125-14-077061-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000119312515068511/0001193125-15-068511-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459016013515/0001564590-16-013515-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459017003040/0001564590-17-003040-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459018004045/0001564590-18-004045-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459019005775/0001564590-19-005775-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459020007744/0001564590-20-007744-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459021009442/0001564590-21-009442-index.htm,https://www.sec.gov/Archives/edgar/data/1065837/000156459022007170/0001564590-22-007170-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
