,https://roic.ai/company/MS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.1176,-0.1945,Infinity,-0.2072,0.3345,0.2522,0.3754,- -,0.1206,0.1334,0.1334,0.0893,0.1584,0.1860,0.2126,0.2001,0.1534,0.1461,0.1712,0.1817,0.1806,0.2159,0.1145,0.0850,0.0576,0.1487,0.1268,0.0028,0.0955,0.1068,0.1842,0.1828,0.1705,0.2320,0.2323,0.2429,0.2665
25,EPS,0.89,1.41,1.50,2.57,2.81,1.69,2.97,- -,1.12,0.98,1.15,1.40,2.13,2.80,4.33,4.95,3.21,2.76,3.52,4.15,4.70,7.38,3.13,1.54,-0.76,2.64,1.25,-0.06,1.44,3.02,2.97,2.98,3.16,4.81,5.26,6.55,9.38
26,EPS Diluted,0.89,1.41,1.50,2.57,2.81,1.69,2.81,- -,1.10,0.97,1.13,1.39,2.08,2.67,4.10,4.73,3.11,2.69,3.45,4.06,4.57,7.07,2.98,1.45,-0.76,2.63,1.23,-0.06,1.41,2.95,2.90,2.92,3.09,4.73,5.19,6.46,9.38
27,Weighted Average Shares Outstanding,117865169,142056738,153933333,147704280,151067616,148224852,150471380,- -,538928571,756020408,744695652,682400000,1188365770,1151645450,1096789720,1095858438,1086121508,1083270783,1076754740,1080121708,1049896047,1010254255,1001878651,1028180275,1193421053,1361363636,1655000000,1886000000,1906000000,1924000000,1909000000,1849000000,1780000000,1708000000,1617000000,1603000000,1751000000
28,Weighted Average Shares Outstanding Diluted,117865169,142056738,153933333,147704280,151067616,148224852,159039146,- -,548727273,763814433,757876106,686600000,1218087848,1212588130,1159500670,1145011515,1121764086,1109637953,1099117972,1105185480,1079936315,1054796062,1054240169,1095704880,1193421053,1366539924,1675000000,1886000000,1957000000,1971000000,1953000000,1887000000,1821000000,1738000000,1640000000,1624000000,1785000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895421/000095013003001275/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312504029127/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312505025463/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312506028736/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312507027693/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312508013719/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/895421/000119312510042763/0001193125-10-042763-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312511050049/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312512081807/0001193125-12-081807-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312513077191/0001193125-13-077191-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312514067354/d639242d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312515071980/d869080d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312516473553/0001193125-16-473553-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312517059212/0001193125-17-059212-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312518060831/0001193125-18-060831-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312519051943/0001193125-19-051943-index.html,https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/0000895421-20-000265-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542121000286/0000895421-21-000286-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542122000400/0000895421-22-000400-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6544000000,8255000000,16878000000,12325000000,18819000000,26596000000,29212000000,29692000000,32811000000,29414000000,50171000000,25598000000,137742000000,55703000000,66795000000,76766000000,77874000000,99086000000,87591000000,85552000000,43381000000,46164000000,51840000000,49659000000,67452000000,91251000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39869000000,53430000000,69316000000,71983000000,80092000000,78802000000,- -,- -,110383000000,41407000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6544000000,8255000000,16878000000,12325000000,18819000000,26596000000,29212000000,29692000000,32811000000,29414000000,50171000000,25598000000,137742000000,55703000000,66795000000,76766000000,117743000000,152516000000,156907000000,157535000000,123473000000,124966000000,51840000000,49659000000,177835000000,132658000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39264000000,30227000000,26576000000,36922000000,7359000000,11745000000,7142000000,9912000000,18508000000,62146000000,17333000000,24331000000,45587000000,51736000000,54150000000,48669000000,64288000000,57104000000,48961000000,45407000000,46460000000,56187000000,53298000000,55646000000,97737000000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491696000000,561725000000,721892000000,804463000000,1049791000000,991409000000,285420000000,644740000000,-33891000000,-38184000000,-84502000000,-59775000000,-32449000000,-4317000000,35244000000,70997000000,142934000000,-37648000000,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528050000000,601329000000,773211000000,896023000000,1117295000000,1041338000000,468749000000,752179000000,87054000000,87251000000,97529000000,149845000000,173419000000,198625000000,205177000000,252150000000,248072000000,67657000000,- -,132658000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1705000000,1834000000,2204000000,2685000000,2579000000,2270000000,2433000000,2605000000,5878000000,4086000000,4372000000,5057000000,7067000000,6154000000,6457000000,5946000000,6019000000,6108000000,6373000000,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2243000000,7162000000,6739000000,6686000000,6650000000,6595000000,6588000000,6584000000,6577000000,6597000000,6688000000,7143000000,11635000000,16833000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,895000000,5054000000,4667000000,4285000000,3783000000,3286000000,3159000000,2984000000,2721000000,2448000000,2163000000,2107000000,4980000000,8360000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1449000000,1514000000,2199000000,2500000000,3350000000,4071000000,3138000000,12216000000,11406000000,10971000000,10433000000,9881000000,9747000000,9568000000,9298000000,9045000000,8851000000,9250000000,16615000000,25193000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169008000000,- -,- -,- -,- -,- -,398839000000,465315000000,505731000000,300745000000,325410000000,302484000000,181868000000,254449000000,290515000000,262616000000,276274000000,185357000000,201697000000,175788000000,189698000000,207349000000,237694000000,274449000000,362314000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-401109000000,-467748000000,-508336000000,-306623000000,-329496000000,-306856000000,- -,-254449000000,412569000000,382603000000,390778000000,481600000000,410539000000,397111000000,410776000000,383189000000,358914000000,427154000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1449000000,1514000000,2199000000,2500000000,3350000000,4071000000,190063000000,19283000000,720644000000,662647000000,683431000000,682857000000,628091000000,588840000000,609772000000,599583000000,605459000000,710853000000,- -,25193000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238860000000,302287000000,317590000000,366967000000,426794000000,482628000000,- -,- -,- -,- -,- -,- -,848875000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1115862000000,684670000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238860000000,302287000000,317590000000,366967000000,426794000000,482628000000,529499000000,602843000000,775410000000,898523000000,1120645000000,1045409000000,658812000000,771462000000,807698000000,749898000000,780960000000,832702000000,801510000000,787465000000,814949000000,851733000000,853531000000,778510000000,1115862000000,792135000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25560000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1724000000,120950000000,2597000000,2572000000,2292000000,127722000000,157125000000,181069000000,186626000000,190513000000,191510000000,179559000000,197834000000,227437000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120402000000,22614000000,28137000000,38242000000,27754000000,32842000000,50789000000,28386000000,36303000000,31120000000,427056000000,335530000000,10483000000,2378000000,3256000000,2843000000,2138000000,2142000000,2261000000,2173000000,941000000,1519000000,1545000000,2567000000,14144000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58554000000,240925000000,247499000000,282707000000,337318000000,378192000000,400454000000,481180000000,615615000000,727756000000,513247000000,486262000000,- -,526425000000,552202000000,498480000000,403693000000,453939000000,394508000000,369716000000,382670000000,388731000000,402519000000,420852000000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204516000000,263539000000,275636000000,320949000000,365072000000,411034000000,451243000000,509566000000,651918000000,758876000000,940303000000,823516000000,131433000000,531400000000,558030000000,503615000000,533553000000,613206000000,577838000000,558515000000,574124000000,581760000000,583623000000,621253000000,241581000000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22642000000,24792000000,27435000000,28604000000,42051000000,49668000000,55161000000,65600000000,95286000000,110465000000,190534000000,190624000000,163437000000,193374000000,202910000000,204953000000,169571000000,153575000000,152772000000,153768000000,164775000000,191063000000,188117000000,190060000000,218798000000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000000,400000000,400000000,1210000000,1210000000,2810000000,- -,- -,-45556000000,- -,- -,- -,-10453000000,-20719000000,15727000000,- -,- -,- -,- -,1519000000,1545000000,2567000000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22642000000,24792000000,27835000000,29004000000,42451000000,50878000000,56371000000,68410000000,95286000000,110465000000,144978000000,190624000000,163437000000,193374000000,192457000000,184234000000,185298000000,153575000000,152772000000,153768000000,164775000000,192582000000,189662000000,192627000000,218798000000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,639985000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,989930000000,1081542000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20262000000,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227158000000,287332000000,302072000000,349553000000,407123000000,460702000000,506404000000,575166000000,747204000000,869341000000,1085281000000,1014140000000,607981000000,718682000000,742291000000,679820000000,715532000000,763672000000,729406000000,711281000000,737772000000,773267000000,772125000000,812732000000,1012713000000,1081542000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000000,1100000000,19155000000,9597000000,9597000000,1508000000,1508000000,3220000000,6020000000,7520000000,7520000000,8520000000,8520000000,8520000000,9250000000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,- -,- -,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,12000000,15000000,16000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,-21455000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7070000000,9330000000,12080000000,16285000000,20802000000,23270000000,25250000000,28038000000,31426000000,35185000000,41422000000,38045000000,38096000000,35056000000,38603000000,40341000000,39912000000,42172000000,44625000000,49204000000,53679000000,57577000000,64175000000,70589000000,78694000000,89432000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000000,- -,- -,- -,- -,- -,- -,- -,- -,-190000000,-35000000,-199000000,-125000000,-560000000,-467000000,-157000000,-516000000,-1093000000,-1248000000,-1656000000,-2643000000,-3060000000,-2292000000,-2788000000,-1962000000,-3102000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4638000000,5625000000,3438000000,717000000,- -,- -,-3377000000,-3183000000,-3232000000,-5825000000,-7135000000,-7689000000,-6307000000,2580000000,9462000000,20337000000,21185000000,21602000000,21483000000,20094000000,17474000000,14334000000,9823000000,5208000000,15779000000,41723000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11702000000,14955000000,15518000000,17014000000,19271000000,20716000000,21885000000,24867000000,28206000000,29182000000,35364000000,31269000000,50831000000,46688000000,57211000000,62049000000,62109000000,65921000000,70900000000,75182000000,76050000000,77391000000,80246000000,81549000000,101781000000,106598000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238860000000,302287000000,317590000000,366567000000,426394000000,481418000000,528289000000,600033000000,775410000000,898523000000,1120645000000,1045409000000,658812000000,765370000000,799502000000,741869000000,777641000000,829593000000,800306000000,786463000000,813822000000,850658000000,852371000000,894281000000,1114494000000,1188140000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000000,400000000,1210000000,1210000000,2810000000,- -,- -,- -,- -,- -,6092000000,8196000000,8029000000,3319000000,3109000000,1204000000,1002000000,1127000000,1075000000,1160000000,-115771000000,1368000000,-396005000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238860000000,302287000000,317590000000,366967000000,426794000000,482628000000,529499000000,602843000000,775410000000,898523000000,1120645000000,1045409000000,658812000000,771462000000,807698000000,749898000000,780960000000,832702000000,801510000000,787465000000,814949000000,851733000000,853531000000,778510000000,1115862000000,792135000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895421/000095013003001275/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312504029127/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312505025463/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312506028736/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312507027693/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312508013719/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/895421/000119312510042763/0001193125-10-042763-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312511050049/d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312512081807/0001193125-12-081807-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312513077191/0001193125-13-077191-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312514067354/d639242d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312515071980/d869080d10k.htm,https://www.sec.gov/Archives/edgar/data/895421/000119312516473553/0001193125-16-473553-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312517059212/0001193125-17-059212-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312518060831/0001193125-18-060831-index.html,https://www.sec.gov/Archives/edgar/data/895421/000119312519051943/0001193125-19-051943-index.html,https://www.sec.gov/Archives/edgar/data/895421/000089542120000265/0000895421-20-000265-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542121000286/0000895421-21-000286-index.htm,https://www.sec.gov/Archives/edgar/data/895421/000089542122000400/0000895421-22-000400-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,443000000,270400000,475100000,- -,603600000,740900000,856400000,1980000000,2586000000,3276000000,4791000000,5456000000,3521000000,2988000000,3787000000,4486000000,4939000000,7472000000,3209000000,1707000000,1346000000,4703000000,4110000000,68000000,2932000000,3467000000,6127000000,5979000000,6111000000,8748000000,9042000000,10996000000,15034000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,51300000,58800000,70000000,83300000,338000000,575000000,541000000,727000000,729000000,787000000,637000000,805000000,815000000,876000000,475000000,794000000,1224000000,1419000000,1404000000,1581000000,1511000000,1161000000,1433000000,1736000000,1753000000,1844000000,2643000000,3769000000,4216000000
75,Deferred Income Tax,- -,- -,- -,- -,78800000,22700000,-70500000,- -,-102400000,-155600000,-93400000,-83400000,-77000000,-55000000,-160000000,-219000000,-427000000,55000000,205000000,-195000000,-1076000000,212000000,-2046000000,-1224000000,-932000000,-129000000,413000000,-639000000,-117000000,-231000000,1189000000,1579000000,2747000000,449000000,165000000,-250000000,4000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1955000000,1941000000,1878000000,1265000000,1260000000,1300000000,891000000,1180000000,1260000000,1104000000,1136000000,1026000000,920000000,1153000000,1312000000,2085000000
77,Change in Working Capital,- -,- -,- -,- -,902600000,- -,- -,- -,378800000,1375300000,-1558500000,-204711600000,-59023000000,-12097000000,-45313000000,-44123000000,-45962000000,487841000000,14956000000,29530000000,15854000000,39845000000,40830000000,-217822000000,220779000000,-691755000000,54612000000,-19660000000,-27337000000,58942000000,44529000000,-9057000000,39337000000,-5941000000,-218045000000,553596000000,132658000000
78,Accounts Receivable,- -,- -,- -,- -,-149200000,189800000,-4427700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38421000000,1786000000,54531000000,-2445000000,-9568000000,1519000000,-10200000000,6774000000,3608000000,-434000000,-2881000000,-9315000000,-728000000,233000000,-29774000000,- -
