,https://roic.ai/company/ANIK,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,2200000,2400000,2500000,3200000,4400000,5500000,8300000,8645768,10493944,8352694,6804000,10129000,10140000,10295280,12361401,18364542,18726883,24192304,24027495,20116698,19995876,23217637,23812000,28745000,40327000,52526000,51615000,83494000,101423000
11,COGS and Expenses,- -,4100000,6100000,5300000,3900000,8800000,10700000,13600000,17318587,18722695,16461389,14809000,20078000,21284000,21413141,24242390,31553058,32397111,48018908,50811233,49105319,42761280,44147955,44865000,52772000,67691000,83806000,80362000,144925000,166274000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194620,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-188000
14,Depreciation and Amortization,- -,300000,200000,300000,600000,300000,800000,1100000,1197740,1233843,1095217,1006000,710000,459000,384055,818727,1433012,1293468,3320352,4002391,4525247,4772491,4705602,3775000,3734000,4290000,5910000,5991000,13464000,6248000
15,EBITDA,- -,-1600000,-1200000,-1700000,-2100000,3700000,5200000,-1400000,1387234,-5514706,-1939750,1745000,7487000,10251000,7912277,9506821,6158253,6805727,10858038,17787405,24052668,37252022,66210623,52029000,54604000,50492000,29117000,42112000,-15160000,8487000
16,EBITDA ratio,- -,-0.7273,-0.2553,-0.5000,-1.7500,0.3083,0.3741,-0.1037,0.0849,-0.4875,-0.1471,0.1133,0.2829,0.3436,0.2948,0.3084,0.1721,0.1696,0.1954,0.2746,0.3371,0.4962,0.6270,0.5595,0.5282,0.4452,0.2758,0.3674,-0.1162,0.0574
17,Operating Income,- -,-1900000,-1400000,-1900000,-2700000,3200000,3200000,-100000,-983365,-7410741,-3274486,595000,6388000,8551000,5427473,6587431,4226729,5586739,7537686,13967402,19715198,32606717,61446884,48134000,50607000,45729000,21749000,34248000,-28322000,2615000
18,Operating Income ratio,- -,-0.8636,-0.2979,-0.5588,-2.2500,0.2667,0.2302,-0.0074,-0.0602,-0.6551,-0.2483,0.0386,0.2414,0.2866,0.2022,0.2137,0.1181,0.1392,0.1357,0.2156,0.2763,0.4343,0.5819,0.5176,0.4895,0.4032,0.2060,0.2988,-0.2171,0.0177
19,Total Other Income Expenses (Gains),- -,- -,100000,- -,100000,200000,1200000,200000,1172859,662192,239519,144000,389000,1241000,2100749,2100663,498512,-74480,-194620,-182388,-187777,-127186,58137,120000,263000,473000,1458000,1873000,-302000,-188000
20,Income Before Tax,- -,-1900000,- -,- -,- -,3400000,4400000,- -,189494,-6748549,-3034967,739000,6777000,9792000,7528222,8688094,4725241,5512259,7343066,13785014,19527421,32479531,61505021,48254000,50870000,46202000,23207000,36121000,-28624000,2427000
21,Income Before Tax Ratio,- -,-0.8636,- -,- -,- -,0.2833,0.3165,- -,0.0116,-0.5966,-0.2302,0.0480,0.2561,0.3282,0.2805,0.2818,0.1321,0.1373,0.1322,0.2128,0.2737,0.4326,0.5825,0.5189,0.4921,0.4074,0.2199,0.3152,-0.2194,0.0164
22,Income Tax expense (Gain),- -,-300000,- -,- -,- -,100000,100000,- -,15940,9084,4997,-88000,-4413000,3899000,2924006,2652840,1096046,1824692,3027071,5318334,7769961,11905010,23185542,17496000,18323000,14386000,4485000,8928000,-4642000,-1707000
23,Net Income,- -,-1600000,-1400000,-2000000,-2700000,3300000,4300000,-2500000,173554,-6757633,-3039964,827000,11190000,5893000,4604216,6035254,3629195,3687567,4315995,8466680,11757460,20574521,38319479,30758000,32547000,31816000,18722000,27193000,-23982000,4134000
24,Net Income ratio,- -,-0.7273,-0.2979,-0.5882,-2.2500,0.2750,0.3094,-0.1852,0.0106,-0.5974,-0.2305,0.0537,0.4228,0.1975,0.1715,0.1958,0.1014,0.0919,0.0777,0.1307,0.1648,0.2740,0.3629,0.3307,0.3148,0.2805,0.1774,0.2373,-0.1838,0.0280
25,EPS,- -,-0.51,-0.45,-0.61,-0.56,0.60,0.44,-0.26,0.02,-0.68,-0.31,0.08,1.11,0.57,0.43,0.55,0.32,0.32,0.34,0.65,0.89,1.46,2.61,2.06,2.22,2.18,1.30,1.93,-1.69,0.29
26,EPS Diluted,- -,-0.51,-0.45,-0.61,-0.56,0.44,0.40,-0.26,0.02,-0.68,-0.31,0.08,0.98,0.52,0.41,0.53,0.32,0.32,0.32,0.62,0.82,1.39,2.51,2.01,2.15,2.11,1.27,1.89,-1.69,0.29
27,Weighted Average Shares Outstanding,- -,3137255,3111111,3278689,4821429,5436474,9885724,9740560,9895725,9934280,9934280,9953733,10103835,10410920,10639028,11059582,11308124,11386989,12624495,13064051,13260739,14086912,14678240,14934000,14682000,14575000,14442000,14121000,14222000,14222000
28,Weighted Average Shares Outstanding Diluted,- -,3137255,3111111,3278689,4821429,7587393,11006276,10220584,10041855,9934280,9934280,10849610,11384155,11428201,11155249,11453600,11460801,11562304,13646533,13747813,14344577,14825599,15269435,15321000,15116000,15068000,14689000,14374000,14222000,14222000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898437/000104746903010610/0001047469-03-010610-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000104746904009837/0001047469-04-009837-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000104746905006795/0001047469-05-006795-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000110465906015388/0001104659-06-015388-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000110465907018715/0001104659-07-018715-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000104746908002593/0001047469-08-002593-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000104746909002371/0001047469-09-002371-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000115752310001609/0001157523-10-001609-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000115752311001610/0001157523-11-001610-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000115752312001365/0001157523-12-001365-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000115752313001397/0001157523-13-001397-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184314001240/0001171843-14-001240-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184315001395/0001171843-15-001395-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184316008487/0001171843-16-008487-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184317001121/0001171843-17-001121-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184318001450/0001171843-18-001450-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184319001243/0001171843-19-001243-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184320001536/0001171843-20-001536-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184321001573/0001171843-21-001573-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184322001790/0001171843-22-001790-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5100000,2600000,2800000,- -,22700000,10700000,6400000,8265936,9064977,11001596,14592000,39339000,44747000,47167432,35903569,43193655,24426990,28201932,35777222,44067477,63333160,100155864,110707000,104261000,133256000,89042000,157463000,95817000,94386000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,8200000,10039849,3994401,2500000,- -,- -,- -,- -,3501974,- -,- -,- -,- -,- -,- -,6750000,27751000,20500000,24000000,69972000,27480000,2501000,- -
33,Cash and Short-Term Investments,- -,5100000,2600000,2800000,- -,22700000,10700000,14600000,18305785,13059378,13501596,14592000,39339000,44747000,47167432,39405543,43193655,24426990,28201932,35777222,44067477,63333160,106905864,138458000,124761000,157256000,159014000,184943000,98318000,94386000
34,Net Receivables,- -,300000,200000,200000,- -,1900000,3000000,2100000,1692457,2240929,1198236,1421000,2354000,2066000,3509508,5795973,5418421,11831438,14819868,17307786,21462481,18736845,17152028,21652000,27598000,23825000,20775000,23079000,24102000,29843000
35,Inventory,- -,2600000,3400000,3300000,- -,2500000,3500000,5500000,4737645,3726982,2924067,3627000,4227000,3271000,5395596,4390118,5519754,8441079,8949745,7302483,8283472,10996785,12406776,14938000,15983000,22035000,25133000,21995000,46209000,36010000
36,Other Current Assets,- -,100000,100000,300000,- -,700000,12300000,700000,612890,540476,319898,899000,3163000,2326000,1533346,2851088,1698648,5105110,4350791,3750053,3571060,1524997,2560374,1385000,2098000,3211000,1854000,4289000,8754000,8289000
37,Total Current Assets,- -,8100000,6300000,6600000,- -,27800000,29500000,22900000,25348777,19567765,17943797,20539000,49083000,52410000,57605882,52442722,55830478,49804617,56322336,64137544,77384490,94591787,139025042,176433000,170440000,206327000,206776000,234306000,177383000,168528000
38,PP&E,- -,1500000,1400000,1400000,- -,800000,2600000,3500000,3123124,2946872,1940569,1191000,955000,2096000,3018008,19369716,32246683,35747615,36981394,36469878,35112981,32938711,31668883,40108000,52296000,56183000,54111000,73647000,73232000,68559000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7652253,9091960,8883407,9065891,9443894,8338699,7482000,7214000,8218000,7851000,7694000,8413000,7781000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,995098,936275,33577451,25764185,23148563,20334636,18998409,14894710,11656000,10227000,10635000,9191000,7585000,91157000,82382000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,995098,936275,41229704,34856145,32031970,29400527,28442303,23233409,19138000,17441000,18853000,17042000,15279000,99570000,90163000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,506787,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94386000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9357000,7969000,7296689,6256067,6300665,3506362,392005,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,100000,300000,6100000,506600,401160,202060,143000,143000,143000,193050,433081,- -,413228,384988,205042,171053,69080,69042,69000,69000,1254000,1064000,7478000,15420000,-74101000
45,Total Non-Current Assets,- -,1500000,1400000,1400000,- -,900000,2900000,9600000,3629724,3348032,2142629,1334000,10455000,10208000,10507747,27053962,39990410,80896909,72614532,68706890,64684561,61450094,54971334,59315000,69806000,76290000,72217000,96404000,188222000,179007000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,9600000,7700000,8000000,- -,28700000,32400000,32500000,28978501,22915797,20086426,21873000,59538000,62618000,68113629,79496684,95820888,130701526,128936868,132844434,142069051,156041881,193996376,235748000,240246000,282617000,278993000,330710000,365605000,347535000
48,Accounts Payable,- -,1000000,500000,400000,- -,1000000,900000,600000,870502,954585,845482,349000,791000,1277000,965180,4866619,2375340,6366944,9694355,4299680,2341838,2793911,1201226,8302000,2303000,6747000,3143000,3832000,8984000,7633000
49,Short-Term Debt,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1600000,1600000,1600000,1600000,- -,- -,- -,- -,- -,- -,1141000,1585000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450482,1798669,770276,- -,4198000,- -,- -,385000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,15001,147408,378000,4116000,2830000,2905099,2806778,2732293,2751467,2700000,2866667,2875067,180433,24510,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,300000,300000,300000,- -,1400000,1500000,3400000,1395677,1842399,2029688,1362000,2041000,1719000,1591088,2963964,2325219,5816170,5375585,5772076,7635713,6308157,4747526,8976000,6496000,6326000,8146000,11304000,26298000,22162000
53,Total Current Liabilities,- -,1300000,800000,1700000,- -,2400000,2400000,4000000,2266179,2811985,3022578,2089000,6948000,5826000,5461367,10637361,9032852,16534581,19369940,14538423,14452618,9282501,5973262,17278000,8799000,13073000,11289000,16277000,36867000,29795000
54,Long-Term Debt,- -,1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12800000,11200000,9600000,8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10800001,8099996,5399995,5019440,2152778,2054941,102192,66000,48000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9305064,6216582,7375141,6997397,7936864,8929890,6775000,6548000,5393000,3542000,4331000,11895000,10157000
57,Other Non-Current Liabilities,- -,600000,500000,500000,- -,100000,100000,2800000,- -,- -,- -,1800000,22227000,18900000,17164237,13898366,15231051,1818383,1560205,1548652,1541124,1133544,893935,781000,2078000,660000,550000,21724000,44443000,20498000
58,Total Non-Current Liabilities,- -,1600000,1500000,500000,- -,100000,100000,2800000,- -,- -,- -,1800000,22227000,18900000,17164237,13898366,26031052,32023443,24376782,23543233,18691299,11125349,9926017,7622000,8674000,6053000,4092000,26055000,56338000,30655000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22508000,22464000,- -
61,Total Liabilities,- -,2900000,2300000,2200000,- -,2500000,2500000,6800000,2266179,2811985,3022578,3889000,29175000,24726000,22625604,24535727,35063904,48558024,43746722,38081656,33143917,20407850,15899279,24900000,17473000,19126000,15381000,42332000,93205000,60450000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,100000,99919,99919,99919,100000,103000,105000,107727,112233,113776,134188,134823,136305,138659,142893,148517,150000,146000,147000,142000,143000,143000,144000
64,Retained Earnings,- -,-500000,-1900000,-3900000,- -,-6000000,-1700000,-4800000,-4598952,-11356585,-14396549,-13569000,-2379000,3514000,8117530,14152784,17781979,21469546,25785541,34252221,46009681,66584202,104903681,135662000,168209000,199511000,218233000,245426000,221444000,225578000
65,Other Comprehensive Income/Loss,- -,-2400000,-2600000,-2900000,- -,-3300000,-3800000,-4600000,-5498455,-6583175,-7678392,-8684000,-9394000,-9853000,-10237232,-8731706,-10190144,-11424788,-2547776,-3067181,-2654630,-1699095,-4494800,-6649000,-7317000,-4784000,-5526000,-5898000,-4542000,-5718000
66,Other Total Stockholders Equity,- -,9600000,9900000,12600000,- -,35500000,35400000,35000000,36709810,37943653,39038870,40137000,42033000,44126000,47500000,49427646,53051373,71964556,61817558,63441433,65431424,70606031,77539699,81685000,61735000,68617000,50763000,48707000,55355000,67081000
67,Total Stockholders Equity,- -,6700000,5400000,5800000,- -,26200000,29900000,25700000,26712322,20103812,17063848,17984000,30363000,37892000,45488025,54960957,60756984,82143502,85190146,94762778,108925134,135634031,178097097,210848000,222773000,263491000,263612000,288378000,272400000,287085000
68,Total Liabilities And Stockholders Equity,- -,9600000,7700000,8000000,- -,28700000,32400000,32500000,28978501,22915797,20086426,21873000,59538000,62618000,68113629,79496684,95820888,130701526,128936868,132844434,142069051,156041881,193996376,235748000,240246000,282617000,278993000,330710000,365605000,347535000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,9600000,7700000,8000000,- -,28700000,32400000,32500000,28978501,22915797,20086426,21873000,59538000,62618000,68113629,79496684,95820888,130701526,128936868,132844434,142069051,156041881,193996376,235748000,240246000,282617000,278993000,330710000,365605000,347535000
71,SEC Link,undefined,- -,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898437/000104746903010610/0001047469-03-010610-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000104746904009837/0001047469-04-009837-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000104746905006795/0001047469-05-006795-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000110465906015388/0001104659-06-015388-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000110465907018715/0001104659-07-018715-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000104746908002593/0001047469-08-002593-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000104746909002371/0001047469-09-002371-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000115752310001609/0001157523-10-001609-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000115752311001610/0001157523-11-001610-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000115752312001365/0001157523-12-001365-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000115752313001397/0001157523-13-001397-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184314001240/0001171843-14-001240-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184315001395/0001171843-15-001395-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184316008487/0001171843-16-008487-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184317001121/0001171843-17-001121-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184318001450/0001171843-18-001450-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184319001243/0001171843-19-001243-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184320001536/0001171843-20-001536-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184321001573/0001171843-21-001573-index.htm,https://www.sec.gov/Archives/edgar/data/898437/000117184322001790/0001171843-22-001790-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1600000,-1400000,-2000000,-2700000,3300000,4300000,-2500000,173554,-6757633,-3039964,827000,11190000,5893000,4604216,6035254,3629195,3687567,4315995,8466680,11757460,20574521,38319479,30758000,32547000,31816000,18722000,27193000,-23982000,4134000
74,Depreciation and Amortization,- -,300000,200000,300000,600000,300000,800000,1100000,1197740,1233843,1095217,1006000,710000,459000,384055,818727,1433012,1293468,3320352,4002391,4525247,4772491,4705602,3775000,3734000,4290000,5910000,5991000,13464000,6248000
75,Deferred Income Tax,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11181000,1911000,659976,696516,377045,1735947,1888512,1715518,-462740,1348778,-8810895,-1594000,-712000,-1198000,-1817000,794000,-3543000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1391704,958025,1102617,1190697,1151199,1268070,1607421,2225000,3392000,5807000,11046000,6087000,5386000,11085000
77,Change in Working Capital,- -,400000,-1300000,1300000,-600000,20500000,1700000,-8200000,4182598,-6326818,-1834561,3528781,23685000,4449000,5560515,-10339154,4992265,-13527590,3682360,12646725,13332751,22377414,47742494,26103220,2486000,31613000,2233000,22542000,-77513000,-1783000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,377552,-1697673,-3716478,-2998037,-4271129,2411247,897561,-4996000,-6201000,2674000,2914000,-1839000,5855000,- -
79,Inventory,- -,-1000000,-800000,100000,- -,-100000,-1000000,-2000000,756056,1010663,802915,-703000,-642000,826000,-2181298,850547,-1267926,-1871545,-1220359,224714,-2370318,-2823059,-1974423,-2939000,-1738000,-6521000,-7577000,-5585000,-14177000,6465000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-129662,141083,5784731,-6594292,-2879330,622928,-749601,5625000,-5059000,3890000,-1671000,767000,822000,- -
81,Other Working Capital,- -,6800000,5500000,6800000,4900000,25400000,27100000,18900000,23082598,16755780,14921219,18450000,42135000,46584000,52144515,41805361,46797626,33270036,36952396,49599121,62931872,85309286,133051780,159155000,161641000,193254000,195487000,218029000,140516000,138733000
82,Other Non-Cash Items,- -,-100000,100000,-1300000,1600000,-21500000,-3400000,10400000,-7437297,7536229,4111340,-3349781,-580000,-6260000,-9207590,7281299,-8415990,8947288,-6456375,-17848877,-19755240,-25176273,-43585726,-22203220,-17646000,-31516000,-1176000,-25602000,99253000,-19684000
83,Cash Provided by Operating Activities,- -,-500000,-2400000,-1700000,-1100000,2600000,3400000,800000,-1883405,-4314379,332032,2012000,23824000,6452000,2001172,4492642,3407231,3094705,7853461,10173134,10548677,25165001,39978375,39064000,23801000,40812000,34918000,37005000,13065000,- -
84,CAPEX,- -,-1400000,-200000,-300000,- -,-300000,-2200000,-1700000,-505346,-908468,-88914,-256000,-474000,-1600000,-1305801,-14755482,-16246494,-3962232,-2784977,-1400348,-1504707,-440890,-1552922,-9225000,-14014000,-8980000,-4656000,-2827000,-1628000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16255637,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94601000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-12000000,-35100000,-46211692,-13378240,-7500000,- -,- -,- -,- -,-3526985,- -,- -,- -,- -,- -,- -,-26750000,-45251000,-39249000,-45000000,-91601000,-103848000,-20035000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,38900000,49914742,19423688,8994401,2500000,- -,- -,- -,- -,3500000,- -,- -,- -,- -,- -,20000000,24250000,46500000,41500000,46000000,146366000,45000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-100000,-200000,-5800000,-29000,-23560,199100,-759000,818000,- -,- -,- -,-58058,- -,105300,- -,- -,187735,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-1400000,-200000,-300000,- -,-400000,-14400000,-3700000,3168704,5113420,1604587,1485000,344000,-1600000,-1305801,-18282467,-12804552,-20217869,-2679677,-1400348,-1504707,-253155,-8302922,-30226000,-6763000,-12480000,-50257000,39691000,-71264000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87721,-1674000,-1600000,-1600000,-1600000,-9600000,- -,- -,- -,- -,- -,- -,-50558000,- -
91,Common Stock Issued,- -,- -,100000,2300000,200000,17700000,1100000,500000,539932,- -,- -,93000,579000,556000,1219474,1882611,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2000000,-1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,-30000000,-30000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,6900000,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,505931,643351,16775128,30499,262680,434660,841146,3910771,5331871,1921000,1654000,314000,1096000,21858000,46784000,- -
95,Cash Used/Provided by Financing Activities,- -,6900000,100000,2300000,200000,17700000,-1000000,-1400000,539932,- -,- -,93000,579000,556000,1725405,2525962,16687407,-1643501,-1337320,-1165340,-758854,-5689229,5331871,1921000,-23346000,314000,-28904000,-8142000,-3774000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61522,-32156,5139,43066,-184620,-208000,-138000,349000,29000,-133000,327000,- -
97,Net Change In Cash,- -,6900000,100000,2300000,200000,17700000,-1000000,-4300000,1825230,799041,1936619,3590000,24747000,5408000,2420776,-11263863,7290086,-18766665,3774942,7575290,8290255,19265683,36822704,10551000,-6446000,28995000,-44214000,68421000,-61646000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,6400000,8265935,9064977,11001596,14592000,39339000,44747000,47167432,35903569,43193655,24426990,28201932,35777222,44067477,63333160,100155864,110707000,104261000,133256000,89042000,157463000,95817000,- -
