,https://roic.ai/company/HCA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,-5100000,-2800000,-9600000,-7000000,- -,- -,-29000000,25000000,-39000000,-119000000,90000000,-39000000,-88000000,32000000,-46000000,28000000,-12000000,-241000000,159000000,-191000000,-287000000,-18000000,-122000000,-19000000,-232000000,-314000000,-112000000,-69000000,-242000000,-158000000,-304000000,-540000000
80,Accounts Payable,7200000,10800000,32000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,783000000,1462000000,1467000000,1650000000,304000000,265000000,312000000,957000000,766000000,1654000000,1509000000,1320000000,2502000000,2356000000,2391000000,2264000000,2650000000,1679000000,1591000000,2342000000,3450000000,3716000000,3252000000,3819000000,2644000000,3439000000,3629000000,- -
82,Other Non-Cash Items,27500000,31500000,79600000,1418000000,-682000000,-382000000,-44000000,530000000,1636000000,-489000000,248000000,-1166000000,1098000000,-1166000000,698000000,550000000,-2088000000,-782000000,-359000000,355000000,39000000,948000000,827000000,-636000000,-435000000,356000000,887000000,-191000000,1529000000,109000000,2164000000,-717000000
83,Cash Provided by Operating Activities,14000000,25800000,66800000,1298000000,1301000000,2254000000,2621000000,1483000000,1916000000,1223000000,1547000000,1413000000,2750000000,2166000000,3049000000,3159000000,1845000000,1396000000,1797000000,2747000000,3085000000,3933000000,4175000000,3680000000,4448000000,4734000000,5653000000,5426000000,6761000000,7602000000,9232000000,8959000000
84,CAPEX,-18100000,-45800000,-103400000,-836000000,-975000000,-1527000000,-1400000000,-1422000000,-1255000000,-1287000000,-1155000000,-1370000000,-1718000000,-1838000000,-1513000000,-1592000000,-1865000000,-1444000000,-1600000000,-1317000000,-1325000000,-1679000000,-1862000000,-1943000000,-2176000000,-2375000000,-2760000000,-3015000000,-3573000000,-4158000000,-2835000000,-3577000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-816000000,-411000000,1845000000,805000000,-23000000,280000000,11000000,-745000000,4000000,194000000,539000000,735000000,108000000,-20000000,-196000000,-1401000000,-228000000,-448000000,-715000000,-278000000,-550000000,-1187000000,-445000000,-1621000000,-500000000,1055000000
86,Purchases of Investments,-8400000,-215100000,-177000000,- -,- -,-892000000,-220000000,-74000000,-294000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303000000,- -,- -,- -,- -,- -,- -,- -,- -,57000000,- -,- -,- -
88,Other Investing Activites,-63400000,144500000,148600000,99000000,-363000000,-1181000000,185000000,-839000000,674000000,1407000000,91000000,-210000000,-33000000,-279000000,-179000000,-283000000,19000000,230000000,25000000,-1000000,482000000,85000000,27000000,45000000,-27000000,70000000,70000000,-77000000,60000000,59000000,-58000000,-121000000
89,Cash Used for Investing Activites,-89900000,-116400000,-131800000,-737000000,-1338000000,-3600000000,-2251000000,-2746000000,970000000,925000000,-1087000000,-1300000000,-1740000000,-2862000000,-1688000000,-1681000000,-1307000000,-479000000,-1467000000,-1035000000,-1039000000,-2995000000,-2063000000,-2346000000,-2918000000,-2583000000,-3240000000,-4279000000,-3901000000,-5720000000,-3393000000,-2643000000
90,Debt Repayment,- -,- -,- -,- -,-2486000000,-1969000000,-882000000,-318000000,-2661000000,-1572000000,-2058000000,-1697000000,-816000000,-461000000,-912000000,-739000000,-3728000000,-750000000,-960000000,-4438000000,-379000000,-7089000000,-2441000000,-1662000000,-5164000000,-4920000000,-4585000000,-753000000,-1704000000,-5884000000,-5917000000,-3869000000
91,Common Stock Issued,- -,- -,- -,- -,18000000,42000000,- -,- -,- -,- -,- -,213000000,267000000,165000000,224000000,1009000000,108000000,100000000,- -,- -,- -,2506000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1082000000,- -,- -,- -,-1506000000,-282000000,-1114000000,-3109000000,-1856000000,-21017000000,-2000000,- -,- -,- -,- -,- -,-500000000,-1750000000,-2397000000,-2751000000,-2051000000,-1530000000,-1031000000,-441000000,-8215000000
93,Dividends Paid,-3900000,-3500000,-4000000,-40000000,-36000000,-50000000,-54000000,- -,- -,- -,-44000000,-42000000,-40000000,-39000000,-199000000,-258000000,-201000000,- -,- -,- -,-4257000000,-31000000,-3148000000,-16000000,-7000000,- -,- -,- -,-487000000,-550000000,-153000000,-624000000
94,Other Financing Activites,80600000,102900000,120100000,-514000000,2330000000,3487000000,447000000,2660000000,-38000000,-683000000,1766000000,2690000000,-63000000,2099000000,2649000000,444000000,24598000000,-506000000,702000000,2573000000,2689000000,3638000000,3809000000,553000000,5543000000,5341000000,4828000000,1743000000,646000000,5694000000,1834000000,6053000000
95,Cash Used/Provided by Financing Activities,76700000,99400000,116100000,-554000000,-174000000,1510000000,-489000000,1260000000,-2699000000,-2255000000,-336000000,-342000000,-934000000,650000000,-1347000000,-1400000000,-240000000,-1158000000,-258000000,-1865000000,-1947000000,-976000000,-1780000000,-1625000000,-1378000000,-1976000000,-2508000000,-1061000000,-3075000000,-1771000000,-4677000000,-6655000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,8000000,10000000,-3000000
97,Net Change In Cash,76700000,99400000,116100000,-554000000,-211000000,164000000,-119000000,-3000000,187000000,-107000000,124000000,-229000000,76000000,-46000000,14000000,78000000,298000000,-241000000,72000000,-153000000,99000000,-38000000,332000000,-291000000,152000000,175000000,-95000000,86000000,-230000000,119000000,1172000000,-342000000
98,Cash at the End of Period,- -,- -,- -,- -,13000000,232000000,113000000,110000000,297000000,190000000,314000000,85000000,161000000,115000000,129000000,336000000,634000000,393000000,465000000,312000000,411000000,373000000,705000000,414000000,566000000,741000000,646000000,732000000,502000000,621000000,1793000000,1451000000
99,Cash at the Beginning of Period,1100000,2000000,10800000,217000000,224000000,68000000,232000000,113000000,110000000,297000000,190000000,314000000,85000000,161000000,115000000,258000000,336000000,634000000,393000000,465000000,312000000,411000000,373000000,705000000,414000000,566000000,741000000,646000000,732000000,502000000,621000000,1793000000
100,Free Cash Flow,-4100000,-20000000,-36600000,462000000,326000000,727000000,1221000000,61000000,661000000,-64000000,392000000,43000000,1032000000,328000000,1536000000,1567000000,-20000000,-48000000,197000000,1430000000,1760000000,2254000000,2313000000,1737000000,2272000000,2359000000,2893000000,2411000000,3188000000,3444000000,6397000000,5382000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/860730/000095010995001034/0000950109-95-001034-index.html,https://www.sec.gov/Archives/edgar/data/860730/000093066196000230/0000930661-96-000230-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/860730/000095014403004080/g80778e10vk.htm,https://www.sec.gov/Archives/edgar/data/860730/000095014404002392/g87412e10vk.htm,https://www.sec.gov/Archives/edgar/data/860730/000095014405002397/g93199e10vk.htm,https://www.sec.gov/Archives/edgar/data/860730/000095014406002233/g99681e10vk.htm,https://www.sec.gov/Archives/edgar/data/860730/000095014407002713/g05969e10vk.htm,https://www.sec.gov/Archives/edgar/data/860730/000095014408002348/g12029e10vk.htm,https://www.sec.gov/Archives/edgar/data/860730/000095014409001868/0000950144-09-001868-index.html,https://www.sec.gov/Archives/edgar/data/860730/000095012310019197/0000950123-10-019197-index.html,https://www.sec.gov/Archives/edgar/data/860730/000095012311015233/0000950123-11-015233-index.html,https://www.sec.gov/Archives/edgar/data/860730/000119312512075882/0001193125-12-075882-index.html,- -,https://www.sec.gov/Archives/edgar/data/860730/000119312514070000/d660799d10k.htm,https://www.sec.gov/Archives/edgar/data/860730/000119312515065975/d852730d10k.htm,https://www.sec.gov/Archives/edgar/data/860730/000119312516482165/0001193125-16-482165-index.html,https://www.sec.gov/Archives/edgar/data/860730/000119312517052253/0001193125-17-052253-index.html,https://www.sec.gov/Archives/edgar/data/860730/000119312518056057/0001193125-18-056057-index.html,https://www.sec.gov/Archives/edgar/data/860730/000119312519047078/0001193125-19-047078-index.html,https://www.sec.gov/Archives/edgar/data/860730/000119312520043524/0001193125-20-043524-index.html,https://www.sec.gov/Archives/edgar/data/860730/000119312521048994/0001193125-21-048994-index.htm,https://www.sec.gov/Archives/edgar/data/860730/000119312522046707/0001193125-22-046707-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
