,https://roic.ai/company/MMC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.2411,0.2779,0.2642,0.2272,0.2131,0.1942,0.1896,0.1768,0.1766,0.1838,0.1723,0.1610,0.1102,0.1815,0.1362,0.1904,0.1599,0.2043,0.2015,0.0373,0.0490,0.1023,0.0746,0.0068,0.0270,0.0729,0.1218,0.1422,0.1609,0.1588,0.1789,0.1877,0.1885,0.1501,0.1465,0.1622,0.2123
22,Income Tax expense (Gain),166800000,258200000,265200000,220100000,222400000,224700000,221300000,215500000,226200000,249500000,246900000,208700000,263000000,509000000,521000000,753000000,599000000,747000000,770000000,259000000,192000000,388000000,295000000,137000000,41000000,204000000,422000000,492000000,594000000,586000000,671000000,685000000,1133000000,574000000,666000000,747000000,1034000000
23,Net Income,162900000,243200000,302100000,296300000,294900000,304100000,305500000,263700000,332400000,371500000,402900000,459300000,399400000,796000000,726000000,1181000000,974000000,1365000000,1540000000,176000000,404000000,990000000,2475000000,-73000000,227000000,855000000,993000000,1176000000,1357000000,1465000000,1599000000,1768000000,1492000000,1650000000,1742000000,2016000000,3143000000
24,Net Income ratio,0.1191,0.1348,0.1407,0.1304,0.1215,0.1117,0.1099,0.0898,0.1051,0.1082,0.1069,0.1107,0.0665,0.1107,0.0793,0.1163,0.0980,0.1307,0.1329,0.0145,0.0347,0.0830,0.2181,-0.0063,0.0216,0.0810,0.0862,0.0986,0.1107,0.1131,0.1240,0.1338,0.1064,0.1104,0.1046,0.1170,0.1586
25,EPS,0.38,0.55,0.68,0.69,0.69,0.69,0.69,0.61,0.76,0.84,0.92,1.06,0.82,1.55,1.38,2.17,1.77,2.52,2.89,0.33,0.75,1.80,4.60,-0.14,0.45,1.56,1.82,2.16,2.47,2.69,3.01,3.41,2.91,3.26,3.44,3.98,6.21
26,EPS Diluted,0.38,0.55,0.68,0.69,0.69,0.69,0.69,0.61,0.76,0.84,0.92,1.06,0.80,1.49,1.31,2.05,1.70,2.45,2.81,0.33,0.74,1.76,4.53,-0.14,0.45,1.55,1.79,2.13,2.43,2.65,2.98,3.38,2.87,3.23,3.41,3.94,6.21
27,Weighted Average Shares Outstanding,434400000,442181818,447555556,432554745,430510949,437553957,439568345,432295082,440264901,441600000,437400000,434400000,489000000,512000000,526000000,544000000,550000000,541000000,533000000,526000000,538000000,549000000,539000000,514000000,522000000,540000000,542000000,544000000,549000000,545000000,531000000,519000000,513000000,506000000,506000000,506000000,506000000
28,Weighted Average Shares Outstanding Diluted,434400000,442181818,447555556,432554745,430510949,437553957,439568345,432295082,440264901,441600000,437400000,442822086,501600000,528000000,544000000,568000000,572000000,557000000,548000000,535000000,543000000,557000000,546000000,514000000,524000000,544000000,551000000,552000000,558000000,553000000,536000000,524000000,519000000,511000000,511000000,512000000,506000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62709/000091205795001755/0000912057-95-001755-index.html,- -,https://www.sec.gov/Archives/edgar/data/62709/000100547797000915/0001005477-97-000915-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62709/000091205701505365/0000912057-01-505365-index.html,https://www.sec.gov/Archives/edgar/data/62709/000093041302001103/0000930413-02-001103-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62709/000114544306000555/d18669_10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000120677407000563/fscmarsh_10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000119312508043337/d10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000119312509040859/0001193125-09-040859-index.html,https://www.sec.gov/Archives/edgar/data/62709/000119312510042765/0001193125-10-042765-index.html,https://www.sec.gov/Archives/edgar/data/62709/000119312511047795/d10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270912000016/0000062709-12-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/62709/000006270914000008/mmc-1231201310k.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270915000005/mmc-1231201410k.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270916000040/0000062709-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270917000008/0000062709-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270918000007/0000062709-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270919000010/0000062709-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270920000010/0000062709-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270921000008/0000062709-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270922000009/0000062709-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,294900000,328100000,299600000,424300000,610000000,428000000,240000000,537000000,546000000,665000000,1396000000,2020000000,2089000000,2133000000,1685000000,1777000000,1894000000,2113000000,2301000000,2303000000,1958000000,1374000000,1026000000,1205000000,1066000000,1155000000,2089000000,1752000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,294900000,328100000,299600000,424300000,610000000,428000000,240000000,537000000,546000000,665000000,1396000000,2020000000,2089000000,2133000000,1685000000,1777000000,1894000000,2113000000,2301000000,2303000000,1958000000,1374000000,1026000000,1205000000,1066000000,1155000000,2089000000,1752000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,955000000,1132500000,1085800000,1498200000,1909000000,2323000000,2812000000,2692000000,2478000000,2703000000,2890000000,2730000000,3008000000,2874000000,2755000000,2855000000,3035000000,2906000000,3058000000,3310000000,3377000000,3471000000,3643000000,4133000000,4317000000,5236000000,5326000000,5586000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,196100000,218500000,363200000,646400000,726000000,532000000,587000000,563000000,640000000,533000000,601000000,512000000,737000000,447000000,344000000,299000000,347000000,629000000,604000000,687000000,720000000,199000000,215000000,224000000,551000000,677000000,740000000,926000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1446000000,1679100000,1748600000,2568900000,3245000000,3283000000,3639000000,3792000000,3664000000,3901000000,4887000000,5262000000,5834000000,5454000000,4784000000,4931000000,5276000000,5648000000,5963000000,6300000000,6055000000,5044000000,4884000000,5562000000,5934000000,7068000000,8155000000,8264000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,740300000,757500000,770100000,957300000,1287000000,1314000000,1360000000,1235000000,1308000000,1389000000,1387000000,1178000000,1043000000,992000000,969000000,952000000,822000000,804000000,809000000,828000000,809000000,773000000,725000000,712000000,701000000,2779000000,2750000000,2715000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7775000000,7759000000,7163000000,- -,- -,6562000000,6792000000,6893000000,7241000000,7889000000,8369000000,9089000000,9599000000,14671000000,15517000000,16317000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,701000000,729700000,545300000,2417100000,4826000000,5542000000,5476000000,5327000000,5404000000,5797000000,8139000000,7773000000,- -,- -,- -,- -,- -,401000000,469000000,472000000,692000000,1036000000,1126000000,1274000000,1437000000,2774000000,2699000000,2810000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,701000000,729700000,545300000,2417100000,4826000000,5542000000,5476000000,5327000000,5404000000,5797000000,8139000000,7773000000,7775000000,7759000000,7163000000,7173000000,6823000000,6963000000,7261000000,7365000000,7933000000,8925000000,9495000000,10363000000,11036000000,17445000000,18216000000,19127000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1242000000,1205000000,1205000000,1223000000,626000000,876000000,1138000000,1097000000,669000000,680000000,676000000,702000000,551000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,943300000,1163200000,1481200000,1970900000,2513000000,2882000000,3294000000,2939000000,3479000000,3966000000,3924000000,3402000000,3485000000,3154000000,2290000000,1039000000,1184000000,834000000,1032000000,1861000000,2167000000,2336000000,1989000000,3123000000,3227000000,3389000000,3226000000,3731000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2384600000,2650400000,2796600000,5345300000,8626000000,9738000000,10130000000,9501000000,10191000000,11152000000,13450000000,12630000000,12303000000,11905000000,10422000000,10406000000,10034000000,9806000000,10325000000,10680000000,11785000000,13172000000,13306000000,14867000000,15644000000,24289000000,24894000000,26124000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3830600000,4329500000,4545200000,7914200000,11871000000,13021000000,13769000000,13293000000,13855000000,15053000000,18337000000,17892000000,18137000000,17359000000,15206000000,15337000000,15310000000,15454000000,16288000000,16980000000,17840000000,18216000000,18190000000,20429000000,21578000000,31357000000,33049000000,34388000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,496700000,485400000,447500000,1275900000,1438000000,1721000000,1964000000,1347000000,1406000000,1511000000,1834000000,1733000000,2477000000,1670000000,1688000000,1826000000,1741000000,2016000000,1721000000,1861000000,1883000000,1886000000,1969000000,2083000000,2234000000,2746000000,3050000000,3165000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,403000000,571100000,392400000,236700000,2234000000,1131000000,337000000,757000000,543000000,447000000,636000000,498000000,1111000000,260000000,408000000,558000000,8000000,260000000,260000000,334000000,11000000,12000000,312000000,262000000,314000000,1215000000,859000000,349000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110000000,- -,- -,- -,- -,- -,- -,- -,247000000,198000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,492600000,513000000,716400000,866800000,1330000000,1466000000,1818000000,1834000000,1914000000,2131000000,2265000000,2120000000,1961000000,1563000000,1290000000,1319000000,1356000000,1463000000,1583000000,1614000000,1811000000,1810000000,1801000000,1917000000,2376000000,2718000000,2647000000,3140000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1392300000,1569500000,1556300000,2379400000,5002000000,4318000000,4119000000,3938000000,3863000000,4089000000,4735000000,4351000000,5549000000,3493000000,3386000000,3703000000,3105000000,3739000000,3564000000,3809000000,3705000000,3708000000,4082000000,4262000000,4924000000,6679000000,6556000000,6654000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,409400000,410600000,458200000,1239800000,1590000000,2357000000,2347000000,2334000000,2891000000,2910000000,4691000000,5044000000,3860000000,3604000000,3194000000,3034000000,3026000000,2668000000,2658000000,2621000000,3376000000,4402000000,4495000000,5225000000,5510000000,10741000000,12720000000,12813000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,568300000,683900000,642100000,1096200000,1620000000,2176000000,2075000000,1848000000,2083000000,2603000000,3855000000,3137000000,2909000000,2440000000,2904000000,2737000000,2764000000,3107000000,3460000000,2575000000,3626000000,3504000000,3341000000,3500000000,3560000000,5994000000,4513000000,3699000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,977700000,1094500000,1100300000,2336000000,3210000000,4533000000,4422000000,4182000000,4974000000,5513000000,8546000000,8181000000,6769000000,6044000000,6098000000,5771000000,5790000000,5775000000,6118000000,5196000000,7002000000,7906000000,7836000000,8725000000,9070000000,16735000000,17233000000,16512000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2268000000,2266000000,2212000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2370000000,2664000000,2656600000,4715400000,8212000000,8851000000,8541000000,8120000000,8837000000,9602000000,13281000000,12532000000,12318000000,9537000000,9484000000,9474000000,8895000000,9514000000,9682000000,9005000000,10707000000,11614000000,11918000000,12987000000,13994000000,23414000000,23789000000,23166000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269000000,278000000,280000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000,561000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1507700000,1688400000,1910600000,1975400000,2412000000,2674000000,3323000000,3723000000,4490000000,5386000000,5044000000,4989000000,5691000000,7732000000,7237000000,7033000000,7436000000,7949000000,8628000000,9452000000,10335000000,11302000000,12388000000,13140000000,14347000000,15199000000,16272000000,18389000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-574500000,-638500000,-695700000,-797600000,-820000000,-898000000,-961000000,-1022000000,-1275000000,-1448000000,-1661000000,-756000000,-1272000000,-351000000,-2098000000,-2171000000,-2300000000,-3188000000,-3307000000,-2621000000,-3847000000,-4220000000,-5093000000,-4043000000,-4647000000,-5055000000,-5110000000,-4575000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,527400000,615600000,673700000,2021000000,2067000000,2125000000,2588000000,2192000000,1242000000,952000000,1112000000,566000000,839000000,-120000000,22000000,405000000,671000000,561000000,660000000,513000000,5000000,-1130000000,-1664000000,-2299000000,-2750000000,-2912000000,-2619000000,-3366000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1460600000,1665500000,1888600000,3198800000,3659000000,4170000000,5228000000,5173000000,5018000000,5451000000,5056000000,5360000000,5819000000,7822000000,5722000000,5828000000,6368000000,5883000000,6542000000,7905000000,7054000000,6513000000,6192000000,7359000000,7511000000,7793000000,9104000000,11009000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3830600000,4329500000,4545200000,7914200000,11871000000,13021000000,13769000000,13293000000,13855000000,15053000000,18337000000,17892000000,18137000000,17359000000,15206000000,15302000000,15263000000,15397000000,16224000000,16910000000,17761000000,18127000000,18110000000,20346000000,21505000000,31207000000,32893000000,34175000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,47000000,57000000,64000000,70000000,79000000,89000000,80000000,83000000,73000000,150000000,156000000,213000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3830600000,4329500000,4545200000,7914200000,11871000000,13021000000,13769000000,13293000000,13855000000,15053000000,18337000000,17892000000,18137000000,17359000000,15206000000,15337000000,15310000000,15454000000,16288000000,16980000000,17840000000,18216000000,18190000000,20429000000,21578000000,31357000000,33049000000,34388000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/62709/000091205795001755/0000912057-95-001755-index.html,- -,https://www.sec.gov/Archives/edgar/data/62709/000100547797000915/0001005477-97-000915-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62709/000091205701505365/0000912057-01-505365-index.html,https://www.sec.gov/Archives/edgar/data/62709/000093041302001103/0000930413-02-001103-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62709/000114544306000555/d18669_10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000120677407000563/fscmarsh_10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000119312508043337/d10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000119312509040859/0001193125-09-040859-index.html,https://www.sec.gov/Archives/edgar/data/62709/000119312510042765/0001193125-10-042765-index.html,https://www.sec.gov/Archives/edgar/data/62709/000119312511047795/d10k.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270912000016/0000062709-12-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/62709/000006270914000008/mmc-1231201310k.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270915000005/mmc-1231201410k.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270916000040/0000062709-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270917000008/0000062709-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270918000007/0000062709-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270919000010/0000062709-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270920000010/0000062709-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/62709/000006270921000008/0000062709-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/62709/000006270922000009/0000062709-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,294900000,304100000,305500000,263700000,332400000,371500000,402900000,459300000,399400000,796000000,726000000,1181000000,974000000,1365000000,1540000000,176000000,404000000,990000000,2475000000,-73000000,227000000,855000000,993000000,1176000000,1357000000,1465000000,1599000000,1768000000,1492000000,1650000000,1742000000,2016000000,3143000000
74,Depreciation and Amortization,- -,- -,- -,- -,89300000,105000000,113100000,112000000,119900000,120600000,135100000,139900000,199100000,251000000,400000000,488000000,520000000,359000000,391000000,456000000,490000000,488000000,442000000,404000000,365000000,357000000,332000000,349000000,358000000,388000000,423000000,438000000,481000000,494000000,647000000,741000000,747000000
75,Deferred Income Tax,- -,- -,- -,- -,-3400000,-1400000,-6900000,-11100000,94200000,48000000,34700000,-20800000,-157100000,79000000,32000000,175000000,-67000000,176000000,90000000,-71000000,36000000,60000000,12000000,103000000,42000000,16000000,178000000,96000000,184000000,127000000,178000000,68000000,396000000,-39000000,84000000,40000000,-63000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,21000000,26000000,18000000,93000000,88000000,109000000,149000000,193000000,252000000,290000000,348000000
