,https://roic.ai/company/CSV,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,35700000,63300000,90100000,131300000,140686000,130896000,121929000,122413000,123063000,129330000,173880000,138039000,151997000,147512000,154306000,161090000,165732000,176954000,186409000,193854000,197996000,209198000,224685000,221818000,250779000,281560000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229000,228000,1068000,51000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18331000,18498000,18262000,18305000,17100000,12622000,12760000,14013000,15608000,17277000,23301000,25763000,32731000,25465000
14,Depreciation and Amortization,3600000,7800000,11400000,17000000,21407000,16968000,11108000,11112000,10830000,9224000,9402000,10240000,10372000,10339000,9976000,9613000,10054000,11748000,11945000,13780000,15421000,15979000,17430000,17771000,19389000,21805000
15,EBITDA,3400000,15800000,28400000,36200000,-118621000,28221000,23270000,21711000,20135000,10147000,10361000,23587000,30686000,40682000,41685000,40056000,46199000,52943000,47798000,62383000,63270000,66038000,58997000,65950000,76762000,91574000
16,EBITDA ratio,0.0844,0.2041,0.2432,0.2148,-0.7295,0.1737,0.1509,0.1440,0.1340,0.0655,0.0686,0.1405,0.1734,0.2290,0.2254,0.2101,0.2263,0.2474,0.2114,0.2572,0.2549,0.2558,0.2201,0.2406,0.2330,0.2436
17,Operating Income,4600000,14100000,26700000,37200000,21920000,31597000,32247000,28410000,27143000,25704000,-22794000,29785000,24931000,30115000,30641000,29546000,38417000,37003000,39715000,48648000,50204000,48941000,43307000,52289000,57227000,93660000
18,Operating Income ratio,0.1141,0.1822,0.2286,0.2208,0.1348,0.1945,0.2092,0.1884,0.1807,0.1658,-0.1509,0.1775,0.1409,0.1695,0.1657,0.1550,0.1882,0.1729,0.1756,0.2006,0.2023,0.1896,0.1616,0.1908,0.1737,0.2492
19,Total Other Income Expenses (Gains),-4300000,-5900000,-9700000,-17800000,-122955000,-20344000,-20085000,-17811000,-16118000,-25717000,28995000,-17192000,-21402000,-18270000,-17194000,-17408000,-19168000,-12541000,-17014000,-14058000,-17963000,-16159000,-25041000,-29873000,-32585000,-49356000
20,Income Before Tax,300000,8200000,17000000,19400000,-101035000,11253000,12162000,10599000,11025000,-13000,6201000,12593000,3529000,11845000,13447000,12138000,19249000,24462000,22701000,34590000,32241000,32782000,18266000,22416000,24642000,44304000
21,Income Before Tax Ratio,0.0074,0.1059,0.1455,0.1151,-0.6213,0.0693,0.0789,0.0703,0.0734,-0.0001,0.0410,0.0750,0.0199,0.0667,0.0727,0.0637,0.0943,0.1143,0.1004,0.1426,0.1299,0.1270,0.0682,0.0818,0.0748,0.1179
22,Income Tax expense (Gain),100000,3700000,7500000,8500000,-8032000,2251000,-8116000,3974000,71000,32000,2375000,5068000,1725000,4797000,5368000,5160000,7642000,9277000,7255000,13737000,12660000,-4411000,6621000,7883000,8552000,11145000
23,Net Income,-300000,4300000,9500000,10700000,-131996000,9002000,20278000,6625000,9234000,891000,-1416000,8279000,258000,7048000,8079000,6978000,11403000,19296000,15838000,20853000,19581000,37193000,11645000,14533000,16090000,33159000
24,Net Income ratio,-0.0074,0.0556,0.0813,0.0635,-0.8118,0.0554,0.1315,0.0439,0.0615,0.0057,-0.0094,0.0493,0.0015,0.0397,0.0437,0.0366,0.0559,0.0902,0.0700,0.0860,0.0789,0.1441,0.0435,0.0530,0.0488,0.0882
25,EPS,-0.19,0.33,0.67,0.67,-8.23,0.54,1.20,0.38,0.52,-1.19,-0.08,0.44,0.01,0.40,0.46,0.38,0.63,1.06,0.86,1.16,1.18,2.25,0.64,0.81,0.90,1.89
26,EPS Diluted,-0.19,0.32,0.65,0.66,-8.23,0.51,1.16,0.37,0.51,-1.19,-0.08,0.43,0.01,0.40,0.45,0.38,0.63,1.00,0.85,1.12,1.12,2.09,0.63,0.80,0.89,1.82
27,Weighted Average Shares Outstanding,4869000,10226000,13315000,15875000,16048238,16601852,16973000,17444000,17786000,18334000,18545000,19020000,19054000,17573000,17635000,18359000,18126000,17826000,18108000,17791000,16515000,16438000,17971000,17877000,17872000,17499000
28,Weighted Average Shares Outstanding Diluted,4869000,10485000,13808000,16136000,16048238,17578431,17433000,17808000,18260000,18334000,18912000,19507000,19362000,17749000,17938000,18397000,18226000,22393000,18257000,18313000,17460000,17715000,18374000,18005000,18077000,18246000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1016281/000089056697000478/0000890566-97-000478-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000089056698000469/0000890566-98-000469-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1016281/000091205701506194/0000912057-01-506194-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000091205702012564/0000912057-02-012564-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000104746903010631/0001047469-03-010631-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000104746904009546/0001047469-04-009546-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000110465905013679/0001104659-05-013679-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000095012906002498/0000950129-06-002498-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000095012907001286/h44426e10vk.htm,https://www.sec.gov/Archives/edgar/data/1016281/000095012908001708/h54963e10vk.htm,https://www.sec.gov/Archives/edgar/data/1016281/000095013409004837/0000950134-09-004837-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000095012310021564/0000950123-10-021564-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000095012311023052/h80414e10vk.htm,https://www.sec.gov/Archives/edgar/data/1016281/000119312512105896/0001193125-12-105896-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000144530513000649/0001445305-13-000649-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000101628114000055/csv-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1016281/000101628115000008/csv-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1016281/000101628116000161/0001016281-16-000161-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000101628117000018/0001016281-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000101628118000024/0001016281-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000101628119000042/0001016281-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000101628120000035/0001016281-20-000035-index.html,- -,https://www.sec.gov/Archives/edgar/data/1016281/000101628122000046/0001016281-22-000046-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1700000,6100000,2900000,2500000,3210000,2744000,2702000,2024000,1948000,7949000,22820000,3446000,5007000,3616000,1279000,1137000,1698000,1377000,413000,535000,3286000,952000,644000,716000,889000,1148000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,16908000,10303000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1700000,6100000,2900000,2500000,3210000,2744000,2702000,2024000,1948000,24857000,33123000,3446000,5007000,3616000,1279000,1137000,1698000,1377000,413000,535000,3286000,952000,644000,716000,889000,1148000
34,Net Receivables,6300000,12900000,21500000,28500000,19995000,16433000,15386000,16069000,12941000,13412000,13822000,16421000,14637000,15177000,15587000,16605000,17812000,17950000,22557000,18460000,20792000,20544000,20242000,25437000,25103000,25314000
35,Inventory,3300000,5700000,7500000,13300000,9152000,6983000,8777000,9797000,12815000,12883000,11883000,13686000,15144000,14683000,10828000,13530000,5133000,5300000,5294000,5654000,6147000,6519000,6751000,6989000,7259000,7346000
36,Other Current Assets,100000,- -,- -,- -,10018000,2287000,- -,- -,4021000,- -,2634000,- -,- -,- -,- -,- -,8496000,11490000,8441000,9112000,2742000,2125000,1666000,6708000,2076000,6404000
37,Total Current Assets,11400000,24700000,31900000,44300000,42375000,28447000,26865000,27890000,31725000,51152000,61462000,33553000,34788000,33476000,27694000,31272000,33139000,36117000,36705000,33761000,32967000,30140000,29303000,39850000,35327000,40212000
38,PP&E,46100000,85900000,131100000,153300000,119252000,175847000,178572000,175088000,167542000,105435000,157692000,193636000,196377000,196461000,199600000,208089000,227589000,233601000,261775000,290471000,311232000,323625000,335796000,388536000,391386000,387949000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148845000,167263000,164515000,166930000,183324000,193962000,218442000,221087000,257442000,264416000,275487000,287956000,303887000,398292000,392978000,391972000
40,Intangible Assets,- -,- -,- -,- -,- -,160576000,161095000,159672000,156983000,157358000,- -,- -,- -,- -,- -,- -,1931000,6729000,8819000,10768000,14957000,18117000,24425000,32116000,29491000,29378000
41,Intangible Assets,- -,- -,- -,- -,- -,160576000,161095000,159672000,156983000,157358000,148845000,167263000,164515000,166930000,183324000,193962000,220373000,227816000,266261000,275184000,290444000,306073000,328312000,430408000,422469000,421350000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,135000000,133000000,167000000,125843000,183484000,206569000,183716000,200398000,207827000,218249000,191971000,205825000,214764000,188577000,232764000,258667000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7133000,- -,- -,- -,- -,2220000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,73800000,167300000,303100000,342000000,548658000,307242000,337222000,336961000,208906000,121695000,63997000,42222000,38770000,38947000,53825000,55738000,54366000,41238000,44538000,45966000,44601000,46931000,35514000,38197000,37976000,329120000
45,Total Non-Current Assets,119900000,253200000,434200000,495300000,667910000,643665000,676889000,671721000,533431000,519488000,503534000,577254000,525505000,585822000,643318000,641505000,704946000,710482000,790823000,803592000,852102000,891393000,888199000,1089905000,1110498000,1138419000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,131300000,277900000,466100000,539600000,710285000,672112000,703754000,699611000,565156000,570640000,564996000,610807000,560293000,619298000,671012000,672777000,738085000,746599000,827528000,837353000,885069000,921533000,917502000,1129755000,1145825000,1178631000
48,Accounts Payable,2200000,9000000,4800000,4700000,4240000,26551000,26115000,22911000,22039000,22163000,7148000,6091000,5128000,6877000,9700000,13874000,18310000,7046000,6472000,7917000,10198000,6547000,9987000,8413000,11259000,14205000
49,Short-Term Debt,1100000,2300000,6400000,5500000,3236000,2488000,2348000,24400000,2155000,2074000,1610000,1256000,815000,558000,563000,628000,11218000,13424000,9838000,12236000,13267000,17251000,2327000,3150000,5970000,2809000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1734000,537000,604000,1490000,2123000,1866000,1079000,2141000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208000,241000,274000,- -,47846000,- -
52,Other Current Liabilities,3000000,7600000,9100000,12000000,21007000,- -,- -,- -,2598000,- -,16949000,14559000,20732000,14037000,14896000,17867000,12647000,27150000,16640000,17065000,20600000,18679000,22370000,24026000,-16708000,43773000
53,Total Current Liabilities,6300000,18900000,20300000,22200000,28483000,29039000,28463000,47311000,26792000,24237000,25707000,21906000,26675000,21472000,25159000,32369000,42175000,47620000,32950000,37218000,44273000,42718000,34958000,35589000,48367000,60787000
54,Long-Term Debt,43300000,126000000,216200000,182200000,181968000,148508000,141207000,105575000,207355000,228322000,227591000,226744000,226095000,225648000,132416000,224770000,253311000,232312000,266929000,314450000,324000000,336595000,357910000,489258000,472347000,576123000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173163000,218935000,250476000,243126000,103792000,86067000,88140000,88469000,89036000,90241000,75295000,75714000,75838000,80786000
56,Deferred Tax Liabilities,3700000,13100000,16500000,23000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11915000,36414000,39956000,40555000,31159000,31263000,41368000,48250000,45784000
57,Other Non-Current Liabilities,3700000,7300000,11000000,9100000,331497000,412778000,435593000,440795000,214571000,188595000,184136000,89550000,30850000,45021000,143288000,45734000,203789000,212712000,223220000,199666000,209216000,223164000,196584000,261257000,260521000,287136000
58,Total Non-Current Liabilities,50700000,146400000,243700000,214300000,513465000,561286000,576800000,546370000,421926000,416917000,411727000,316294000,430108000,489604000,526180000,513630000,560892000,543006000,614703000,642541000,662807000,681159000,661052000,867597000,856956000,989829000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,5539000,5504000,5424000,4775000,4728000,4663000,4572000,4418000,4289000,4155000,4013000,3786000,3098000,2875000,2876000,6685000,6455000,29231000,28238000,23677000
61,Total Liabilities,57000000,165300000,264000000,236500000,541948000,590325000,605263000,593681000,448718000,441154000,437434000,338200000,456783000,511076000,551339000,545999000,603067000,590626000,647653000,679759000,707080000,723877000,696010000,903186000,905323000,1050616000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,161000,168000,171000,175000,179000,185000,186000,192000,196000,205000,213000,217000,221000,222000,224000,225000,225000,226000,257000,259000,260000,263000
64,Retained Earnings,-7000000,-3600000,5300000,15900000,-116158000,-107193000,-86915000,-80290000,-71056000,-92921000,-94337000,-86298000,-86050000,-79016000,-70951000,-63987000,-52598000,-33306000,-17468000,3385000,22966000,57904000,71680000,86213000,102303000,135462000
65,Other Comprehensive Income/Loss,-4100000,-7100000,-11400000,-17300000,-19156000,-25837000,-265000,-634000,-714000,-1392000,-49338000,-53304000,-59324000,-66201000,-71700000,-78100000,-84291000,-88627000,-95249000,-133595000,-144703000,-153319000,-162613000,-136095000,- -,- -
66,Other Total Stockholders Equity,85400000,123300000,208200000,304400000,303490000,214649000,185100000,186679000,188029000,190502000,239862000,246310000,248688000,253234000,262111000,268648000,271486000,277684000,292368000,287579000,299501000,292845000,312168000,276192000,137939000,- -
67,Total Stockholders Equity,74300000,112600000,202100000,303100000,168337000,81787000,98091000,105930000,116438000,96374000,96373000,106900000,103510000,108222000,119673000,126778000,135018000,155973000,179875000,157594000,177989000,197656000,221492000,226569000,240502000,128015000
68,Total Liabilities And Stockholders Equity,131300000,277900000,466100000,539600000,710285000,672112000,703354000,699611000,565156000,537528000,533807000,445100000,560293000,619298000,671012000,672777000,738085000,746599000,827528000,837353000,885069000,921533000,917502000,1129755000,1145825000,1178631000
69,Minority Interest,- -,- -,- -,- -,- -,- -,400000,- -,- -,33112000,31189000,165707000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,131300000,277900000,466100000,539600000,710285000,672112000,703754000,699611000,565156000,570640000,564996000,610807000,560293000,619298000,671012000,672777000,738085000,746599000,827528000,837353000,885069000,921533000,917502000,1129755000,1145825000,1178631000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1016281/000089056697000478/0000890566-97-000478-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000089056698000469/0000890566-98-000469-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1016281/000091205701506194/0000912057-01-506194-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000091205702012564/0000912057-02-012564-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000104746903010631/0001047469-03-010631-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000104746904009546/0001047469-04-009546-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000110465905013679/0001104659-05-013679-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000095012906002498/0000950129-06-002498-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000095012907001286/h44426e10vk.htm,https://www.sec.gov/Archives/edgar/data/1016281/000095012908001708/h54963e10vk.htm,https://www.sec.gov/Archives/edgar/data/1016281/000095013409004837/0000950134-09-004837-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000095012310021564/0000950123-10-021564-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000095012311023052/h80414e10vk.htm,https://www.sec.gov/Archives/edgar/data/1016281/000119312512105896/0001193125-12-105896-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000144530513000649/0001445305-13-000649-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000101628114000055/csv-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1016281/000101628115000008/csv-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1016281/000101628116000161/0001016281-16-000161-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000101628117000018/0001016281-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000101628118000024/0001016281-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000101628119000042/0001016281-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/1016281/000101628120000035/0001016281-20-000035-index.html,- -,https://www.sec.gov/Archives/edgar/data/1016281/000101628122000046/0001016281-22-000046-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-300000,4300000,9500000,10700000,-131996000,9002000,20278000,6625000,9234000,891000,-1416000,8279000,258000,7048000,8079000,6978000,11403000,19296000,15838000,20853000,19581000,37193000,11645000,14533000,16090000,33159000
74,Depreciation and Amortization,3600000,7800000,11400000,17000000,21407000,16968000,11108000,11112000,10830000,9224000,9402000,10240000,10372000,10339000,9976000,9613000,10054000,11748000,11945000,13780000,15421000,15979000,17430000,17771000,19389000,21805000
75,Deferred Income Tax,100000,2200000,1700000,7100000,-6289000,3787000,-7003000,3829000,-70000,32000,2375000,5068000,1648000,4797000,1521000,-3462000,3930000,12572000,5295000,3035000,4855000,-11651000,3823000,10117000,4597000,-692000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1548000,1588000,1759000,1867000,2174000,3583000,4622000,4444000,3229000,3162000,6583000,2153000,3370000,5513000
77,Change in Working Capital,-4200000,700000,5800000,10500000,-8208000,-14484000,-1006000,-17823000,24354000,21982000,8840000,-24108000,-3534000,3891000,-9469000,-3632000,-7939000,-2467000,15258000,-7212000,-7849000,-1272000,6923000,9916000,-17301000,-2991000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2319000,-7241000,-4761000,-1921000,-4579000,-3329000,-4146000,-2310000,-5162000,-4254000,-5061000,-5801000,-4279000,-4090000
79,Inventory,-500000,-1200000,-700000,-4400000,2978000,1991000,-1715000,-43000,-899000,-1021000,335000,17000,857000,220000,1830000,-1513000,-20000,-337000,-2590000,2582000,1995000,1446000,-159000,-2762000,3516000,-4449000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1142000,-562000,1445000,2112000,-3649000,2044000,-580000,2702000,522000
81,Other Working Capital,5100000,5800000,11600000,22100000,13892000,-592000,-1598000,-19421000,4933000,26915000,35755000,11647000,8113000,12004000,2535000,-1097000,-9036000,-11503000,3755000,-3457000,-11306000,-12578000,-5655000,4261000,-13040000,34071000
82,Other Non-Cash Items,1100000,-5300000,-21800000,-28300000,152230000,12476000,-4432000,10937000,-20152000,-30390000,-1018000,20092000,9360000,-11568000,13813000,19791000,6139000,-4887000,-16393000,15004000,14220000,1819000,2590000,-11274000,56770000,27452000
83,Cash Provided by Operating Activities,300000,9700000,6600000,17000000,27144000,27749000,18945000,14680000,24196000,1739000,18183000,19571000,19652000,16095000,25679000,31155000,25761000,39845000,36565000,49904000,49457000,45230000,48994000,43216000,82915000,84246000
84,CAPEX,-4600000,-74800000,-153500000,-66700000,-10547000,-5046000,-6034000,-6204000,-5746000,-8212000,-6387000,-11650000,-12876000,-9370000,-10661000,-10644000,-12857000,-10695000,-23675000,-35824000,-23104000,-16395000,-13526000,-15379000,-15198000,-24883000
85,Acquisitions Net,- -,- -,- -,- -,-1983000,-212000,-2160000,1500000,- -,-1285000,-1072000,-48604000,- -,-3102000,-19007000,-18574000,-42709000,-9517000,-55682000,-9660000,-22171000,-23068000,-37970000,-144940000,-19470000,4590000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32724000,-50927000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,1000000,- -,- -,- -,- -,- -,- -,- -,- -,15816000,52533000,15303000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-42400000,- -,- -,- -,-5938000,12078000,2187000,2918000,4452000,2203000,4116000,6129000,-11847000,-9303000,-10261000,-10644000,-12265000,-10695000,-23675000,-29744000,-16846000,-16395000,-13526000,-13946000,-14950000,-17125000
89,Cash Used for Investing Activites,-46000000,-74800000,-153500000,-66700000,-18468000,6820000,-6007000,-1786000,-1294000,-24202000,-1737000,-38822000,-11847000,-12405000,-29268000,-29218000,-54974000,-20212000,-79357000,-45484000,-45275000,-39463000,-51496000,-158886000,-34420000,-12535000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1182000,-778000,-474000,-3199000,-3173000,-19019000,-5490000,-10389000,-109139000,-95812000,-417106000,-120575000,-152408000,-583155000
91,Common Stock Issued,47800000,800000,70000000,1000000,671000,697000,531000,536000,686000,936000,567000,970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-300000,-100000,-1700000,- -,-69000,- -,- -,- -,- -,- -,- -,- -,-5740000,-4260000,- -,-736000,-4531000,- -,- -,-44999000,- -,-16366000,-16266000,-9152000,- -,-140040000
93,Dividends Paid,-600000,-900000,-600000,-100000,-81000,-37000,- -,- -,- -,- -,- -,- -,-10000,-14000,-14000,-1390000,-1818000,-1821000,-1840000,-1819000,-2492000,-3709000,-5513000,-5398000,-6048000,-7264000
94,Other Financing Activites,-7100000,69700000,75900000,48500000,-8504000,-35695000,-13511000,-14108000,-23664000,27528000,-2142000,-1093000,688000,-29000,1740000,3246000,39296000,886000,49158000,52909000,110200000,107786000,441079000,250867000,110134000,659007000
95,Cash Used/Provided by Financing Activities,39800000,69500000,143600000,49400000,-7983000,-35035000,-12980000,-13572000,-22978000,28464000,-1575000,-123000,-6244000,-5081000,1252000,-2079000,29774000,-19954000,41828000,-4298000,-1431000,-8101000,2194000,115742000,-48322000,-71452000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,39800000,69500000,143600000,-400000,693000,-466000,-42000,-678000,-76000,6001000,14871000,-19374000,1561000,-1391000,-2337000,-142000,561000,-321000,-964000,122000,2751000,-2334000,-308000,72000,173000,259000
98,Cash at the End of Period,- -,- -,- -,2500000,3210000,2744000,2702000,2024000,1948000,7949000,22820000,3446000,5007000,3616000,1279000,1137000,1698000,1377000,413000,535000,3286000,952000,644000,716000,889000,1148000
99,Cash at the Beginning of Period,7600000,1700000,6100000,2900000,2517000,3210000,2744000,2702000,2024000,1948000,7949000,22820000,3446000,5007000,3616000,1279000,1137000,1698000,1377000,413000,535000,3286000,952000,644000,716000,889000
100,Free Cash Flow,-4300000,-65100000,-146900000,-49700000,16597000,22703000,12911000,8476000,18450000,-6473000,11796000,7921000,6776000,6725000,15018000,20511000,12904000,29150000,12890000,14080000,26353000,28835000,35468000,27837000,67717000,59363000
