,https://roic.ai/company/RCKY,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7500513,6464449,979511,650873,688502,943154,696827,616567,389586,- -,- -,- -,- -
14,Depreciation and Amortization,- -,500000,600000,800000,1200000,1000000,2400000,2900000,4200000,3800000,4698554,4409361,4032442,3556544,3407790,4929554,5270307,5761976,6430910,6337942,5638775,5659005,5897100,6264246,6941905,7188123,7720836,6507294,5375000,5037000,5240000,11342000
15,EBITDA,- -,1600000,2400000,2800000,3300000,200000,6100000,9800000,6500000,-3500000,4978560,5846745,7828742,12030037,15478182,24201440,12875838,-18782134,6970384,15689777,23360443,18672980,19635392,17768272,22626241,17572450,4718929,16258184,23274000,27268000,32205000,36711000
16,EBITDA ratio,- -,0.0537,0.0738,0.0680,0.0624,0.0055,0.0834,0.1032,0.0733,-0.0357,0.0486,0.0566,0.0880,0.1133,0.1170,0.0818,0.0489,-0.0682,0.0269,0.0684,0.0924,0.0779,0.0860,0.0726,0.0790,0.0653,0.0181,0.0642,0.0921,0.1008,0.1161,0.0714
17,Operating Income,- -,2400000,2700000,2600000,2800000,300000,5700000,9300000,3300000,-5200000,3185137,3575997,4768778,9503176,13024419,28064368,18931314,-13289759,-9884646,8773979,17069455,12797061,13606829,11018716,15762791,10489760,-3060927,11825256,18061000,22085000,27170000,35972000
18,Operating Income ratio,- -,0.0805,0.0831,0.0631,0.0529,0.0083,0.0780,0.0979,0.0372,-0.0530,0.0311,0.0346,0.0536,0.0895,0.0985,0.0948,0.0718,-0.0483,-0.0381,0.0382,0.0675,0.0534,0.0596,0.0450,0.0551,0.0390,-0.0118,0.0467,0.0715,0.0817,0.0980,0.0700
19,Total Other Income Expenses (Gains),- -,-1300000,-900000,-600000,-700000,-1100000,-2000000,-2400000,700000,-2100000,-2905131,-2138613,-972478,-1029683,-954027,-8792482,-11325783,-11254351,10424120,-6922657,-5812236,-762597,-519410,-203192,-1021609,-802260,-557547,-2463952,-162000,146000,-205000,-10603000
20,Income Before Tax,- -,1100000,1800000,2000000,2100000,-800000,3700000,6900000,- -,-7300000,280006,1437384,3796300,8473493,12070392,19271886,7605531,-24544110,539474,1851322,11257219,12034464,13087419,10815524,14741182,9687500,-3618474,9361304,17899000,22231000,26965000,25369000
21,Income Before Tax Ratio,- -,0.0369,0.0554,0.0485,0.0397,-0.0222,0.0506,0.0726,- -,-0.0744,0.0027,0.0139,0.0427,0.0798,0.0913,0.0651,0.0289,-0.0892,0.0021,0.0081,0.0445,0.0502,0.0573,0.0442,0.0515,0.0360,-0.0139,0.0370,0.0708,0.0822,0.0972,0.0493
22,Income Tax expense (Gain),- -,500000,200000,200000,300000,-300000,900000,2100000,- -,-2200000,183464,-93438,953000,2434250,3476000,6258047,2786249,-1439582,-627665,676515,3573487,3727569,4232654,3442768,4895884,3084343,-1479078,-225362,3346000,4769000,6001000,4810000
23,Net Income,- -,600000,1600000,1800000,1800000,-500000,2800000,4800000,2300000,-5100000,96542,1530822,2843300,6039243,8594392,13013839,4819282,-23104528,1167139,1174807,7683732,8306895,8854765,7372756,9845298,6603157,-2139396,9586666,14553000,17462000,20964000,20559000
24,Net Income ratio,- -,0.0201,0.0492,0.0437,0.0340,-0.0139,0.0383,0.0505,0.0259,-0.0520,0.0009,0.0148,0.0320,0.0569,0.0650,0.0440,0.0183,-0.0839,0.0045,0.0051,0.0304,0.0347,0.0388,0.0301,0.0344,0.0245,-0.0082,0.0379,0.0576,0.0646,0.0756,0.0400
25,EPS,- -,0.26,0.72,0.62,0.49,-0.13,0.74,1.16,0.42,-1.09,0.02,0.34,0.63,1.44,1.89,2.48,0.89,-4.22,0.21,0.21,1.14,1.11,1.18,0.98,1.30,0.87,-0.29,1.29,1.96,2.36,2.87,2.79
26,EPS Diluted,- -,0.26,0.72,0.59,0.48,-0.13,0.74,1.10,0.41,-1.09,0.02,0.34,0.62,1.32,1.74,2.33,0.86,-4.22,0.21,0.21,1.14,1.11,1.18,0.98,1.30,0.87,-0.29,1.29,1.95,2.35,2.86,2.79
27,Weighted Average Shares Outstanding,- -,2307692,2222222,2903226,3673469,3846154,3777200,4087682,5425026,4710039,4489215,4489322,4499741,4189794,4557283,5257530,5392390,5476281,5508614,5551382,6747847,7486655,7503494,7517364,7544936,7563205,7505219,7428176,7412000,7387000,7304000,7370000
28,Weighted Average Shares Outstanding Diluted,- -,2307692,2222222,3050847,3750000,3846154,3777200,4329907,5526863,4710039,4493304,4548632,4590095,4560763,4953529,5584771,5578176,5476281,5513430,5551382,6764190,7487196,7503494,7517364,7544936,7574172,7505219,7450312,7462000,7439000,7337000,7370000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895456/0000950152-98-002620-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895456/000095015206002176/0000950152-06-002176-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000095015207002160/0000950152-07-002160-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000095015208001732/0000950152-08-001732-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000095015209002130/0000950152-09-002130-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420410010990/0001144204-10-010990-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420411011432/0001144204-11-011432-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420412011569/0001144204-12-011569-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420413012622/0001144204-13-012622-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420414013708/0001144204-14-013708-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420415012563/0001144204-15-012563-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420416085772/0001144204-16-085772-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420417013522/0001144204-17-013522-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000089545618000011/0000895456-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000089545619000017/0000895456-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000089545620000010/0000895456-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000143774921006170/0001437749-21-006170-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000143774922006288/0001437749-22-006288-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,100000,200000,5100000,300000,- -,300000,8600000,7200000,2300000,2117994,2954935,4276722,2159050,5060859,1608680,3731253,6537884,4311313,1797093,4362531,3650291,4022579,4215617,4616694,3407140,4480505,3680776,10173000,15518000,28353000,5909000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,100000,200000,5100000,300000,- -,300000,8600000,7200000,2300000,2117994,2954935,4276722,2159050,5060859,1608680,3731253,6537884,4311313,1797093,4362531,3650291,4022579,4215617,4616694,3407140,4480505,3680776,10173000,15518000,28353000,5909000
34,Net Receivables,- -,5600000,6900000,8600000,14300000,- -,13100000,18300000,17300000,20100000,21012781,17316598,16456332,20362418,30561688,64202750,70051832,67325744,61603209,47308201,48504910,47120143,45131041,49637784,56283583,45261385,42776512,47682707,46300000,50847000,53544000,132405000
35,Inventory,- -,9200000,13500000,17300000,25400000,- -,25400000,32900000,47100000,32600000,32035237,27713664,23181989,38068187,32959124,75386732,77948976,75403664,70302174,55420467,58852556,65019048,67196245,78171670,85237042,76991059,69168442,65622432,72822000,76731000,77576000,232464000
36,Other Current Assets,- -,- -,200000,500000,500000,- -,1700000,2200000,2600000,6100000,1831299,1668801,1851608,2005048,818769,2978014,5484078,4179456,3623124,2784833,3011953,3715981,3379756,3633457,3845349,3562335,3987460,2199648,1890000,3030000,3713000,4507000
37,Total Current Assets,- -,14900000,20800000,31500000,40500000,- -,40500000,62000000,74200000,61100000,56997311,49653998,45766651,62594703,69400440,144176176,157216139,153446748,139839820,107310594,114731950,119505463,119729621,135658528,149982668,129221919,120412919,119185563,131185000,146126000,163186000,375285000
38,PP&E,- -,3300000,4000000,5900000,10200000,- -,15500000,17600000,20500000,26100000,24330319,20766094,19049287,17610238,20179486,24342250,24349674,24484050,23549319,22669876,22129282,23557102,24252465,26205080,26264641,27836527,26511493,23781001,23056000,29166000,35322000,71417000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24874368,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50641000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1557861,62284465,37105291,36509690,31020478,30516910,30495485,30493107,30498802,36807099,36681644,36547873,33415694,30314749,30273000,30240000,30209000,126315000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1557861,62284465,61979659,36509690,31020478,30516910,30495485,30493107,30498802,36807099,36681644,36547873,33415694,30314749,30273000,30240000,30209000,176956000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295784,153495,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,900000,800000,1100000,1200000,- -,2100000,1400000,1900000,2100000,4723542,3943938,3447581,5969895,5567867,5331483,2810340,2284039,2452501,2892683,1222712,510293,363527,354051,299490,258812,232509,197977,148000,294000,374000,917000
45,Total Non-Current Assets,- -,4200000,4800000,7000000,11400000,- -,17600000,19000000,22400000,28200000,29053861,25005816,22650363,23580133,27305214,91958198,89139673,63277779,57022298,56079469,53847479,54560502,55114794,63366230,63245775,64643212,60159696,54293727,53477000,59700000,65905000,249290000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,19100000,25600000,38500000,51900000,- -,58100000,81000000,96600000,89300000,86051172,74659814,68417014,86174836,96705654,236134374,246355812,216724527,196862118,163390063,168579429,174065965,174844415,199024758,213228443,193865131,180572615,173479290,184662000,205826000,229091000,624575000
48,Accounts Payable,- -,1700000,4000000,4200000,3800000,- -,3000000,2400000,2200000,2100000,3502296,1559444,1642306,2810161,4349248,12721214,10162291,11908902,9869948,6781534,9024851,5696363,9930518,11486473,15116131,9118555,11589040,12982535,13543000,15776000,20090000,114632000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,3600000,1200000,2900000,8600000,1070374,469143,486161,503934,6492020,6400416,7288474,324648,480723,511870,487480,- -,- -,- -,- -,- -,- -,- -,- -,- -,487480,3250000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1019000,849000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2602000,4746000,5582000,1062000
52,Other Current Liabilities,- -,7900000,11100000,6200000,6400000,- -,3300000,2500000,1600000,1900000,2223676,3358516,1886897,5070570,2947122,5776877,4196285,5937121,4903359,5693214,7063410,5234159,4363942,5929966,10093609,5629661,6130871,7043316,8873000,11012000,13823520,21192000
53,Total Current Liabilities,- -,9600000,15100000,10400000,10200000,- -,9900000,6100000,6700000,12600000,6796346,5387103,4015364,8384665,13788390,24898507,21647050,18170671,15254030,12986618,16575741,10930522,14294460,17416439,25209740,14748216,17719911,20025851,25018000,31534000,39983000,140136000
54,Long-Term Debt,- -,1900000,1900000,5300000,17300000,- -,19500000,13400000,26900000,25200000,26445276,16976023,10488388,17514994,10044544,98972190,103203107,103220384,87258939,55079776,34608338,35000000,23461340,38388198,36270373,23700089,14584008,2199423,- -,- -,- -,275603000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1900000,1600000,300000,- -,- -,1300000,2000000,2300000,500000,- -,- -,- -,- -,1205814,12567208,17009025,13247953,9438921,9071639,9374685,10987395,11148333,11750718,12928048,13000609,12999153,7726234,7780000,8108000,8271000,10293000
57,Other Non-Current Liabilities,- -,1200000,900000,900000,1800000,- -,1000000,300000,1100000,800000,2483878,1253355,1520338,1890500,296108,603347,368580,360928,3960472,3774356,3017107,488437,303406,255906,472364,295676,176219,2434920,290000,1528000,1332000,688000
58,Total Non-Current Liabilities,- -,5000000,4400000,6500000,19100000,- -,21800000,15700000,30300000,26500000,28929154,18229378,12008726,19405494,11546466,112142745,120580712,116829265,100658332,67925771,47000130,46475832,34913079,50394822,49670785,36996374,27759380,12360577,8070000,9636000,9603000,286584000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1744000,1573000,8809000
61,Total Liabilities,- -,14600000,19500000,16900000,29300000,- -,31700000,21800000,37000000,39100000,35725500,23616481,16024090,27790159,25334856,137041252,142227762,134999936,115912362,80912389,63575871,57406354,49207539,67811261,74880525,51744590,45479291,32386428,33088000,41170000,49586000,426720000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,35300000,35284159,35302159,35289038,34880199,38399114,52030013,- -,- -,- -,- -,- -,- -,69694770,70153570,70460672,70882392,69291637,68973927,68387000,67993000,65971000,68061000
64,Retained Earnings,- -,4400000,5900000,7500000,9300000,- -,13100000,17800000,20100000,14900000,15041513,16572335,19415635,25454878,34049270,47063109,51882391,28777863,29921907,31096714,38780446,47087341,55942106,61059927,67887246,71238149,65801687,72118935,83188000,96663000,113534000,129794000
65,Other Comprehensive Income/Loss,- -,-2400000,-3000000,-3700000,-4800000,- -,-10000000,-12900000,-16800000,-18900000,-23070696,-22258125,-26189579,-29180470,-32553410,-36621461,-1000000,-1000000,-3000000,-3000000,-3000000,-39003014,-40564300,-43087577,-47544527,-52390053,-58797842,-62051356,-55660000,-56508000,- -,- -
66,Other Total Stockholders Equity,- -,2500000,3200000,17800000,18100000,- -,23300000,54300000,56300000,18900000,23070696,21426964,23877830,27230070,31475824,36621461,53245659,53946728,54027849,54380960,69223112,108575284,40564300,43087577,47544527,52390053,58797842,62051356,55660000,56508000,- -,- -
67,Total Stockholders Equity,- -,4500000,6100000,21600000,22600000,- -,26400000,59200000,59600000,50200000,50325672,51043333,52392924,58384677,71370798,99093122,104128050,81724591,80949756,82477674,105003558,116659611,125636876,131213497,138347918,142120541,135093324,141092862,151575000,164656000,179505000,197855000
68,Total Liabilities And Stockholders Equity,- -,19100000,25600000,38500000,51900000,- -,58100000,81000000,96600000,89300000,86051172,74659814,68417014,86174836,96705654,236134374,246355812,216724527,196862118,163390063,168579429,174065965,174844415,199024758,213228443,193865131,180572615,173479290,184663000,205826000,229091000,624575000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -,- -,- -
70,Total Liabilities & Equity,- -,19100000,25600000,38500000,51900000,- -,58100000,81000000,96600000,89300000,86051172,74659814,68417014,86174836,96705654,236134374,246355812,216724527,196862118,163390063,168579429,174065965,174844415,199024758,213228443,193865131,180572615,173479290,184662000,205826000,229091000,624575000
71,SEC Link,undefined,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/895456/0000950152-98-002620-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895456/000095015206002176/0000950152-06-002176-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000095015207002160/0000950152-07-002160-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000095015208001732/0000950152-08-001732-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000095015209002130/0000950152-09-002130-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420410010990/0001144204-10-010990-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420411011432/0001144204-11-011432-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420412011569/0001144204-12-011569-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420413012622/0001144204-13-012622-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420414013708/0001144204-14-013708-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420415012563/0001144204-15-012563-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420416085772/0001144204-16-085772-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000114420417013522/0001144204-17-013522-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000089545618000011/0000895456-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000089545619000017/0000895456-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000089545620000010/0000895456-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000143774921006170/0001437749-21-006170-index.htm,https://www.sec.gov/Archives/edgar/data/895456/000143774922006288/0001437749-22-006288-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,600000,1600000,1800000,1800000,-500000,2800000,4800000,2300000,-5100000,96542,1530822,2843300,6039243,8594392,13013839,4819282,-23104528,1167139,1174807,7683732,8306895,8854765,7372756,9845298,6603157,-2139396,9586666,14553000,17462000,20964000,20559000
74,Depreciation and Amortization,- -,500000,600000,800000,1200000,1000000,2400000,2900000,4200000,3800000,4698554,4409361,4032442,3556544,3407790,4929554,5270307,5761976,6430910,6337942,5638775,5659005,5897100,6264246,6941905,7188123,7720836,6507294,5375000,5037000,5240000,11342000
75,Deferred Income Tax,- -,400000,-300000,-400000,-100000,-600000,100000,200000,- -,-1100000,-46954,-52152,749171,-113761,1316065,1134840,345350,-1778154,-2772194,322111,339200,584512,62948,750363,989473,332650,-602991,-3639566,617000,328000,164000,2022000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158477,129900,122500,122500,458800,307102,412978,359359,356391,588000,662000,780000,1265000
77,Change in Working Capital,- -,-200000,400000,-400000,400000,9200000,300000,25300000,11600000,-19000000,1700965,-5934070,-2515608,12458751,1402012,63665619,16291420,-293012,-10690287,-30261814,3832233,10418732,-3139780,12806928,6530839,-10299225,-11780695,-3533296,7007288,8425000,8611000,-90779000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,824438,-3182751,-6888027,11150897,3273852,-6074903,2165000,- -,-2697000,-41943000
79,Inventory,- -,600000,-4300000,-3800000,-8100000,8900000,-7100000,-7500000,-14200000,14500000,537830,4321573,4531675,-12846128,5109063,-7787064,-2562244,2545312,5101490,14881707,-3432089,-6166492,-2177197,-9813065,-7065372,8245983,7822617,4046981,-7199000,-3909000,-845000,-114226000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3769551,-4779055,4004111,-6004991,2346865,1359795,61000,456000,4459000,78626000
81,Other Working Capital,- -,5300000,5700000,5300000,5700000,30300000,30600000,55900000,67500000,48500000,50200965,44266895,41751287,54210038,55612050,119277669,135569089,135276077,124585790,94323976,98156209,108574941,105435161,118242089,124772928,114473703,102693008,99159712,106167000,114592000,123203000,-4520000
82,Other Non-Cash Items,- -,-100000,-3700000,-5500000,-14000000,-2500000,-5800000,-39600000,-26000000,26500000,2673487,12099877,4974999,-23652520,-7116775,-74278689,-26035842,35872348,24198267,58185477,-3568639,-18562086,6196020,-30106311,-11634569,19004882,27741228,7829847,-10570288,-13826000,-4318000,716000
83,Cash Provided by Operating Activities,- -,1200000,-1400000,-3700000,-10700000,6600000,-200000,-6400000,-7900000,5100000,9122594,12053838,10084304,-1711743,7603484,8465163,690517,16458630,18333835,35917000,14055201,6529558,17993553,-2453218,12980048,23242565,21298341,17107336,17570000,18088000,31441000,-54875000
84,CAPEX,- -,-600000,-1200000,-2100000,-5500000,-700000,-3300000,-4500000,-6800000,-9700000,-3113529,-1172365,-2338388,-2154829,-5466041,-6052483,-5747409,-5910402,-4849860,-4998274,-4769146,-7605944,-6201003,-7785554,-7451532,-8655818,-5906479,-4308346,-4238000,-7719000,-11716000,-21055000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93000000,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,-212408000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-328522,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39770,7952,59609,-4826639,- -,-57166,1853336,250002,61885,-38034,2867,16197,62785,-249827,53566,16319,44764,2729385,19000,19000,5000,- -
89,Cash Used for Investing Activites,- -,-600000,-1200000,-2100000,-5500000,-700000,-3300000,-4500000,-6800000,-9700000,-3073759,-1164413,-2278779,-6981468,-5466041,-99438171,-3894073,-5660400,-4787975,-4956850,-4740586,-7543649,-6082605,-9966929,-7388520,-8638323,-5861715,-1578961,-4219000,-7700000,-11711000,-233463000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-246346313,-252315426,-76472262,-74679475,-63696111,-77308793,-80993956,-80371505,-74164078,-9971000,- -,-20000000,-36438000
91,Common Stock Issued,- -,- -,- -,14100000,400000,- -,- -,28100000,- -,- -,- -,18000,71419,2637317,2246730,1090510,411604,372275,32938,- -,14105600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-100000,-300000,- -,- -,- -,-2000000,-4300000,- -,- -,- -,-3106156,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1950114,-688337,-1310000,-1500000,-2938000,- -
93,Dividends Paid,- -,- -,-100000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2254935,-3017979,-3252254,-3297066,-3269418,-3484000,-3987000,-4093000,-4299000
94,Other Financing Activites,- -,-600000,2800000,-3200000,11300000,-4300000,2000000,-9100000,15400000,4000000,-6261165,-10070484,-6555157,7044378,-1482364,86430319,4914525,-8363874,-15805369,212871943,231460649,76774113,63140815,78564231,75136321,68432414,71255424,61793729,7907000,444000,20136000,306631000
