,https://roic.ai/company/KO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.12,0.15,0.15,0.18,0.28,0.26,0.30,0.32,0.42,0.49,0.59,0.70,0.83,0.71,0.49,0.44,0.80,0.61,0.89,1.00,1.02,1.08,1.29,1.25,1.48,2.56,1.89,2.00,1.94,1.62,1.69,1.51,0.29,1.51,2.09,1.80,2.27
26,EPS Diluted,0.12,0.15,0.15,0.17,0.27,0.25,0.30,0.31,0.41,0.49,0.59,0.70,0.82,0.71,0.49,0.44,0.80,0.61,0.89,1.00,1.02,1.08,1.28,1.25,1.47,2.53,1.84,1.97,1.90,1.60,1.67,1.49,0.29,1.50,2.07,1.79,2.26
27,Weighted Average Shares Outstanding,6019166667,6027741935,5910322581,5768333333,4337818182,5347843137,5303278689,5283809524,5180952381,5160000000,5048000000,4988000000,4954000000,4934000000,4938000000,4954000000,4974000000,4956000000,4918000000,4852000000,4784000000,4696000000,4626000000,4632000000,4628000000,4616000000,4526000000,4504000000,4434000000,4387000000,4352000000,4317000000,4272000000,4259000000,4276000000,4295000000,4318000000
28,Weighted Average Shares Outstanding Diluted,6019166667,6027741935,5910322581,5933142857,4418148148,5454800000,5391666667,5369032258,5243373494,5172000000,5064000000,4994000000,5030000000,4992000000,4974000000,4974000000,4974000000,4966000000,4924000000,4858000000,4786000000,4700000000,4662000000,4672000000,4658000000,4666000000,4646000000,4584000000,4509000000,4450000000,4405000000,4367000000,4324000000,4299000000,4314000000,4323000000,4344000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21344/0000021344-95-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/21344/000002134498000004/0000021344-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/21344/000002134499000005/0000021344-99-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/21344/000002134401000005/0000021344-01-000005-index.html,https://www.sec.gov/Archives/edgar/data/21344/000002134402000011/0000021344-02-000011-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/21344/000104746905005411/0001047469-05-005411-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000104746906002588/0001047469-06-002588-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000104746907001328/0001047469-07-001328-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000119312508041768/0001193125-08-041768-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000104746909001875/0001047469-09-001875-index.htm,- -,https://www.sec.gov/Archives/edgar/data/21344/000104746911001506/0001047469-11-001506-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134412000007/0000021344-12-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134413000007/0000021344-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134414000008/0000021344-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134415000005/0000021344-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134416000050/0000021344-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134417000009/0000021344-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134418000008/0000021344-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134419000014/0000021344-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134420000006/0000021344-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134421000008/0000021344-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/21344/000002134422000009/0000021344-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1386000000,1167000000,1433000000,1737000000,1648000000,1611000000,1819000000,1866000000,2126000000,3362000000,6707000000,4701000000,2440000000,4093000000,4701000000,7021000000,8517000000,12803000000,8442000000,10414000000,8958000000,7309000000,8555000000,6006000000,8926000000,6480000000,6795000000,9684000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159000000,201000000,73000000,68000000,219000000,120000000,61000000,66000000,150000000,215000000,278000000,2192000000,2820000000,1232000000,8109000000,9854000000,12717000000,12591000000,13646000000,14669000000,7038000000,4695000000,4119000000,2941000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1386000000,1167000000,1433000000,1737000000,1807000000,1812000000,1892000000,1934000000,2345000000,3482000000,6768000000,4767000000,2590000000,4308000000,4979000000,9213000000,11337000000,14035000000,16551000000,20268000000,21675000000,19900000000,22201000000,20675000000,15964000000,11175000000,10914000000,12625000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1525000000,1750000000,1641000000,1639000000,1666000000,1798000000,1757000000,1882000000,2097000000,2091000000,2171000000,2281000000,2587000000,3317000000,3090000000,3758000000,4430000000,4920000000,4759000000,4873000000,4466000000,3941000000,3856000000,3667000000,3396000000,3971000000,3144000000,3512000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1047000000,1117000000,952000000,959000000,890000000,1076000000,1066000000,1055000000,1294000000,1252000000,1420000000,1424000000,1641000000,2220000000,2187000000,2354000000,2650000000,3092000000,3264000000,3277000000,3100000000,2902000000,2675000000,2655000000,2766000000,3379000000,3266000000,3414000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1247000000,1416000000,1884000000,1634000000,2017000000,1794000000,1905000000,2300000000,1616000000,1571000000,1735000000,1778000000,1623000000,2260000000,1920000000,2226000000,3162000000,3450000000,5754000000,2886000000,3745000000,6652000000,5278000000,9548000000,8508000000,1886000000,1916000000,2994000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5205000000,5450000000,5910000000,5969000000,6380000000,6480000000,6620000000,7171000000,7352000000,8396000000,12094000000,10250000000,8441000000,12105000000,12176000000,17551000000,21579000000,25497000000,30328000000,31304000000,32986000000,33395000000,34010000000,36545000000,30634000000,20411000000,19240000000,22545000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,4080000000,4336000000,3550000000,3743000000,3669000000,4267000000,4168000000,4453000000,5911000000,6097000000,6091000000,5786000000,6903000000,8493000000,8326000000,9561000000,14727000000,14939000000,14476000000,14967000000,14633000000,12571000000,10635000000,8203000000,8232000000,10838000000,10777000000,9920000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1403000000,4256000000,4029000000,4224000000,11665000000,12219000000,12255000000,12312000000,12100000000,11289000000,10629000000,9401000000,10263000000,16764000000,17506000000,19363000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,660000000,944000000,753000000,727000000,547000000,1960000000,1917000000,2579000000,3553000000,3989000000,3836000000,3821000000,3732000000,7963000000,8476000000,8604000000,15244000000,15450000000,15082000000,15299000000,14272000000,12843000000,10499000000,7235000000,7007000000,10002000000,11044000000,15250000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,660000000,944000000,753000000,727000000,547000000,1960000000,1917000000,2579000000,3553000000,3989000000,3836000000,3821000000,5135000000,12219000000,12505000000,12828000000,26909000000,27669000000,27337000000,27611000000,26372000000,24132000000,21128000000,16636000000,17270000000,26766000000,28550000000,34613000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5779000000,6755000000,7585000000,8374000000,10448000000,11512000000,13625000000,15788000000,17249000000,21952000000,20274000000,19879000000,20085000000,18416000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2667000000,2412000000,2460000000,2129000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3928000000,4311000000,5948000000,6501000000,8549000000,8916000000,8129000000,8214000000,7685000000,8860000000,9306000000,9570000000,9484000000,10452000000,1733000000,1976000000,2121000000,3495000000,3585000000,4661000000,4407000000,4207000000,4248000000,4560000000,4139000000,6075000000,6184000000,6731000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8668000000,9591000000,10251000000,10971000000,12765000000,15143000000,14214000000,15246000000,17149000000,18946000000,19233000000,19177000000,21522000000,31164000000,28343000000,31120000000,51342000000,54477000000,55846000000,58751000000,59037000000,56698000000,53260000000,51351000000,52582000000,65970000000,68056000000,71809000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13873000000,15041000000,16161000000,16940000000,19145000000,21623000000,20834000000,22417000000,24501000000,27342000000,31327000000,29427000000,29963000000,43269000000,40519000000,48671000000,72921000000,79974000000,86174000000,90055000000,92023000000,90093000000,87270000000,87896000000,83216000000,86381000000,87296000000,94354000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,2564000000,2894000000,2972000000,3249000000,3141000000,3714000000,3905000000,3679000000,3692000000,4058000000,4283000000,4493000000,929000000,1380000000,1370000000,1410000000,1887000000,2172000000,1969000000,1933000000,2089000000,2795000000,2682000000,2288000000,2498000000,3804000000,3517000000,4602000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2083000000,2923000000,3397000000,3074000000,4462000000,5373000000,4816000000,156000000,2655000000,2906000000,6021000000,4546000000,3268000000,6052000000,6531000000,6800000000,9376000000,14912000000,17874000000,17925000000,22682000000,15806000000,16025000000,16503000000,18191000000,15247000000,2668000000,4645000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000000,264000000,273000000,362000000,860000000,759000000,911000000,775000000,679000000,757000000,693000000,856000000,1231000000,686000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1530000000,1531000000,1037000000,1056000000,1037000000,769000000,600000000,4594000000,994000000,922000000,667000000,797000000,4693000000,5793000000,5087000000,5511000000,7245000000,7199000000,7978000000,7953000000,7603000000,8329000000,7825000000,8403000000,8534000000,7922000000,8416000000,10703000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6177000000,7348000000,7406000000,7379000000,8640000000,9856000000,9321000000,8429000000,7341000000,7886000000,10971000000,9836000000,8890000000,13225000000,12988000000,13721000000,18508000000,24283000000,27821000000,27811000000,32374000000,26930000000,26532000000,27194000000,29223000000,26973000000,14601000000,19950000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1426000000,1141000000,1116000000,801000000,687000000,854000000,835000000,1219000000,2701000000,2517000000,1157000000,1154000000,1314000000,3277000000,2781000000,5059000000,14041000000,13656000000,14736000000,19154000000,19063000000,28407000000,29684000000,31182000000,25364000000,27516000000,40125000000,38116000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,180000000,194000000,301000000,448000000,424000000,498000000,358000000,442000000,399000000,337000000,450000000,352000000,608000000,1890000000,877000000,1580000000,4261000000,4694000000,4981000000,6152000000,5636000000,4691000000,3753000000,2522000000,1933000000,2284000000,1833000000,2821000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,855000000,966000000,1182000000,1001000000,991000000,902000000,1004000000,961000000,2260000000,2512000000,2814000000,1730000000,2231000000,3133000000,3401000000,2965000000,4794000000,5420000000,5468000000,3498000000,4389000000,4301000000,4081000000,8021000000,7638000000,8510000000,9453000000,8607000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2461000000,2301000000,2599000000,2250000000,2102000000,2254000000,2197000000,2622000000,5360000000,5366000000,4421000000,3236000000,4153000000,8300000000,7059000000,9604000000,23096000000,23770000000,25185000000,28804000000,29088000000,37399000000,37518000000,41725000000,34935000000,38310000000,51411000000,49544000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8638000000,9649000000,10005000000,9629000000,10742000000,12110000000,11518000000,11051000000,12701000000,13252000000,15392000000,13072000000,13043000000,21525000000,20047000000,23325000000,41604000000,48053000000,53006000000,56615000000,61462000000,64329000000,64050000000,68919000000,64158000000,65283000000,66012000000,69494000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,867000000,870000000,873000000,873000000,874000000,875000000,877000000,878000000,880000000,880000000,880000000,880000000,880000000,1760000000,1760000000,1760000000,1760000000,1760000000,1760000000,1760000000,1760000000,1760000000,1760000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,11006000000,12882000000,15127000000,17869000000,19922000000,20773000000,21265000000,23443000000,24506000000,26687000000,29105000000,31299000000,33468000000,36235000000,38513000000,41537000000,49278000000,53550000000,58045000000,61660000000,63408000000,65018000000,65502000000,60430000000,63234000000,65855000000,66555000000,69094000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2077000000,-2321000000,-2031000000,-2028000000,-2016000000,-2204000000,-2446000000,-2652000000,-3047000000,-1995000000,-1348000000,-1669000000,-1291000000,626000000,-2674000000,-757000000,-1450000000,-2703000000,-3385000000,-3432000000,-5777000000,-10174000000,-11205000000,-10305000000,-12814000000,-13544000000,-14601000000,-14330000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10532000000,-11476000000,-12697000000,-14152000000,-16135000000,-15997000000,-16247000000,- -,-17705000000,-20092000000,-23630000000,-26815000000,-29071000000,-31050000000,-32995000000,-34813000000,-35199000000,-35090000000,-34415000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5235000000,5392000000,6156000000,7311000000,8403000000,9513000000,9316000000,11366000000,11800000000,14090000000,15935000000,16355000000,16920000000,21744000000,20472000000,24799000000,31003000000,31635000000,32790000000,33173000000,30320000000,25554000000,23062000000,17072000000,16981000000,18981000000,19299000000,22999000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13873000000,15041000000,16161000000,16940000000,19145000000,21623000000,20834000000,22417000000,24501000000,27342000000,31327000000,29427000000,29963000000,43269000000,40519000000,48124000000,72607000000,79688000000,85796000000,89788000000,91782000000,89883000000,87112000000,85991000000,81139000000,84264000000,85311000000,92493000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,547000000,314000000,286000000,378000000,267000000,241000000,210000000,158000000,1905000000,2077000000,2117000000,1985000000,1861000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13873000000,15041000000,16161000000,16940000000,19145000000,21623000000,20834000000,22417000000,24501000000,27342000000,31327000000,29427000000,29963000000,43269000000,40519000000,48671000000,72921000000,79974000000,86174000000,90055000000,92023000000,90093000000,87270000000,87896000000,83216000000,86381000000,87296000000,94354000000
