,https://roic.ai/company/LPL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-266000000000,297082228800,1178750000000,1700000000000,472588188430,-841146985825,1479139516244,1735441000000,1067241000000,1310472000000,-924336000000,912368000000,1163314000000,1357255000000,1625566000000,1311416000000,2461618000000,92891000000,-1359382000000,-29117000000,2230608000000
18,Operating Income ratio,-0.1138,0.0833,0.1843,0.2114,0.0474,-0.0830,0.1030,0.1067,0.0533,0.0514,-0.0381,0.0310,0.0430,0.0513,0.0573,0.0495,0.0886,0.0038,-0.0579,-0.0012,0.0747
19,Total Other Income Expenses (Gains),-96000000000,68965517400,-66250000000,-17000000000,-71946637379,-50584582477,75008427125,-423942000000,-52148000000,-44903000000,-156623000000,-453843000000,-333009000000,-115298000000,-191584000000,4817000000,-128986000000,-184257000000,-1984860000000,-565981000000,-511723000000
20,Income Before Tax,-362000000000,366047746200,1112500000000,1683000000000,400641551052,-891731568302,1554147943370,1311499000000,1015093000000,1265569000000,-1080959000000,458525000000,830305000000,1241957000000,1433982000000,1316233000000,2332632000000,-91366000000,-3344242000000,-595098000000,1718885000000
21,Income Before Tax Ratio,-0.1548,0.1026,0.1739,0.2093,0.0402,-0.0880,0.1082,0.0806,0.0507,0.0496,-0.0445,0.0156,0.0307,0.0469,0.0505,0.0497,0.0839,-0.0038,-0.1425,-0.0246,0.0575
22,Income Tax expense (Gain),- -,18567639300,57500000000,37000000000,-135270310829,-230928767151,209008427409,224721000000,-95584000000,106335000000,-293064000000,222180000000,411332000000,324553000000,410526000000,384725000000,395580000000,88077000000,-472164000000,-524462000000,385341000000
23,Net Income,-295000000000,347480106900,1055000000000,1646000000000,535911861881,-660802801151,1345139515960,1086896000000,1110677000000,1156343000000,-771223000000,233204000000,426118000000,904268000000,966553000000,906713000000,1802756000000,-207239000000,-2829705000000,-89342000000,1186182000000
24,Net Income ratio,-0.1262,0.0974,0.1649,0.2047,0.0538,-0.0652,0.0937,0.0668,0.0554,0.0453,-0.0317,0.0079,0.0158,0.0342,0.0341,0.0342,0.0649,-0.0085,-0.1205,-0.0037,0.0397
25,EPS,-509.00,600.00,1820.71,2698.03,788.88,-923.32,1878.06,1518.63,1484.50,1616.00,-1077.50,326.00,595.50,1263.50,1350.50,1267.00,2519.00,-289.50,-3954.00,-125.00,1657.50
26,EPS Diluted,-509.00,600.00,1820.71,2698.03,788.88,-923.32,1854.55,1518.63,1469.50,1576.00,-1077.50,326.00,595.50,1263.50,1350.50,1267.00,2519.00,-289.50,-3954.00,-125.00,1565.00
27,Weighted Average Shares Outstanding,579567780,580000000,579444681,610074871,679330584,715680303,716238510,715631400,715631400,715631400,715631400,715631400,715631400,715631400,715631400,715631400,715631400,715631400,715631400,715631400,715645249
28,Weighted Average Shares Outstanding Diluted,579567780,580000000,579444681,610074871,679330584,715680303,725317047,736692924,736915102,722160448,715631400,715631400,715631400,715631400,715631400,715631400,715631400,715631400,715631400,715631400,757943770
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1290109/000119312505073307/0001193125-05-073307-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312506133034/0001193125-06-133034-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312507078363/0001193125-07-078363-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312508082238/0001193125-08-082238-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312509135362/0001193125-09-135362-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312510136028/0001193125-10-136028-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312511123762/0001193125-11-123762-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312512194129/0001193125-12-194129-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312513175481/0001193125-13-175481-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312514168917/0001193125-14-168917-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312515158760/0001193125-15-158760-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312516565839/0001193125-16-565839-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312517145079/0001193125-17-145079-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312518136619/0001193125-18-136619-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312519127046/0001193125-19-127046-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312520124760/0001193125-20-124760-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,70291777350,528750000000,1315000000000,1562720096469,910313134821,1197100189804,1367752000000,817982000000,3134009000000,2332977000000,2338661000000,1021870000000,889839000000,751662000000,1558696000000,2602560000000,2365022000000,3336003000000,4218099000000,3541597000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,785443821890,2055074000000,2500000000000,35370000000,3297000000,318920000000,1302458000000,1529732000000,1777241000000,1191766000000,768564000000,21444000000,11091000000,10520000000,811508000000
33,Cash and Short-Term Investments,- -,70291777350,528750000000,1315000000000,1562720096469,910313134821,1982544011694,3422826000000,3317982000000,3169379000000,2336274000000,2657581000000,2324328000000,2419571000000,2528903000000,2750462000000,3371124000000,2386466000000,3347094000000,4228619000000,4353105000000
34,Net Receivables,384000000000,539787799650,1216250000000,922000000000,1318978715352,926642417127,2438166671836,2041018000000,3030223000000,3256689000000,2952977000000,3793701000000,3405508000000,3999802000000,4576166000000,5361393000000,4655064000000,3450782000000,4482176000000,4390046000000,4696688000000
35,Inventory,252000000000,397877985000,352500000000,777000000000,682272409548,1003053310180,824390451186,1136673000000,1667780000000,2215217000000,2317370000000,2390007000000,1933241000000,2754098000000,2351669000000,2287785000000,2350084000000,2691203000000,2051155000000,2170656000000,3350375000000
36,Other Current Assets,89000000000,71618037300,153750000000,269000000000,242042570284,168703095380,512530899963,417493000000,435450000000,199148000000,251444000000,73396000000,68711000000,67158000000,74896000000,84546000000,97431000000,271676000000,367890000000,310149000000,786899000000
37,Total Current Assets,725000000000,1079575599300,2251250000000,3283000000000,3806013791652,3008711957509,5757632034678,7018010000000,8451435000000,8840433000000,7858065000000,8914685000000,7731788000000,9240629000000,9531634000000,10484186000000,10473703000000,8800127000000,10248315000000,11099470000000,13187067000000
38,PP&E,2927000000000,3259946957100,4167500000000,6341000000000,9136281606012,9047355601016,7595950390635,9270262000000,9666540000000,12815401000000,14696849000000,13107511000000,11808334000000,11402866000000,10546020000000,12031449000000,16201960000000,21600220000000,22087645000000,20147051000000,20558446000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14593000000,14593000000,14593000000,104455000000,110072000000,103048000000,104311000000,47419000000,45531000000,- -
40,Intangible Assets,- -,22546419150,31250000000,36000000000,42914959543,59053490462,77530899041,199697000000,226990000000,539901000000,535114000000,483009000000,453592000000,562077000000,734275000000,784865000000,809773000000,883331000000,826029000000,974557000000,- -
41,Intangible Assets,- -,22546419150,31250000000,36000000000,42914959543,59053490462,77530899041,199697000000,226990000000,539901000000,535114000000,497602000000,468185000000,576670000000,838730000000,894937000000,912821000000,987642000000,873448000000,1020088000000,1644898000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,190227000000,404942000000,408778000000,385145000000,488590000000,452795000000,441255000000,434487000000,247316000000,181501000000,258203000000,205481000000,166349000000,282930000000
43,Tax Assets,- -,156498674100,137500000000,172000000000,353666433618,581943580243,160555243786,443877000000,681383000000,1074853000000,1424005000000,1294813000000,1037000000000,1036507000000,930629000000,867011000000,985352000000,1136166000000,1727122000000,2273677000000,2307692000000
44,Other Non-Current Assets,237000000000,54376657950,65000000000,82000000000,133429599326,176361216532,260866105422,266293000000,288321000000,178292000000,263753000000,152310000000,217182000000,269096000000,295660000000,359437000000,404350000000,393352000000,432552000000,364888000000,173482000000
45,Total Non-Current Assets,3164000000000,3493368708300,4401250000000,6631000000000,9666292598499,9864713888253,8094902638884,10370356000000,11268176000000,15017225000000,17304866000000,15540826000000,13983496000000,13726394000000,13045526000000,14400150000000,18685984000000,24375583000000,25326248000000,23972053000000,24967448000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3889000000000,4572944307600,6652500000000,9914000000000,13472306390151,12873425845761,13852534673562,17388366000000,19719611000000,23857658000000,25162931000000,24455511000000,21715284000000,22967023000000,22577160000000,24884336000000,29159687000000,33175710000000,35574563000000,35071523000000,38154515000000
48,Accounts Payable,555000000000,189655172850,320000000000,474000000000,2145176377272,1640333535336,1174241575523,3032982000000,3628036000000,2592527000000,7775298000000,4147036000000,2999522000000,3391635000000,2764694000000,2877326000000,2875090000000,3087461000000,2618261000000,3779290000000,4814055000000
49,Short-Term Debt,- -,274535809650,758750000000,762000000000,743151793999,777170227392,414130150691,1171392000000,2000275000000,2100979000000,894972000000,1015272000000,907942000000,967909000000,1416112000000,667909000000,1452926000000,1553907000000,1977084000000,3136149000000,4069712000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,294494000000,145326000000,153890000000,58259000000,56521000000,46777000000,227714000000,91726000000,257082000000,321978000000,105900000000,120034000000,25004000000,179335000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,616351000000,490200000000,661507000000,500773000000,60971000000,70594000000,206354000000,877851000000,969995000000,333821000000,67046000000
52,Other Current Liabilities,- -,925729445100,1283750000000,1251000000000,223314679801,679787986936,862312735911,581508000000,901627000000,4188323000000,624813000000,3553650000000,2219948000000,2689239000000,2364935000000,3442390000000,4444312000000,4435264000000,5419636000000,3757688000000,5044004000000
53,Total Current Liabilities,- -,1389920427600,2362500000000,2487000000000,3111642851072,3097291749664,2450684462124,4785882000000,6529938000000,8881829000000,9911434000000,9206158000000,6788919000000,7549556000000,6606712000000,7058219000000,8978682000000,9954483000000,10984976000000,11006948000000,13994817000000
54,Long-Term Debt,- -,1427055706200,1382500000000,1925000000000,2821147197930,3139164365522,3045974725559,2733101000000,3069809000000,3488187000000,3722364000000,3440585000000,2994837000000,3279477000000,2808119000000,4110861000000,4150192000000,7004870000000,11592318000000,11016096000000,8702745000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1061904000000,434891000000,8623000000,- -,- -,830335000000,1116432000000,327434000000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6640000000,240000000,- -,119000000,245000000,34663000000,32108000000,24646000000,15087000000,11210000000,9530000000,6636000000
57,Other Non-Current Liabilities,- -,15915119400,22500000000,31000000000,45552113536,80652887185,102427902839,580760000000,165927000000,420035000000,1397865000000,506684000000,699098000000,345712000000,422710000000,220760000000,194322000000,198592000000,170344000000,302010000000,687816000000
58,Total Non-Current Liabilities,- -,1442970825600,1405000000000,1956000000000,2866699311466,3219817252707,3148402628397,3313861000000,3235736000000,3914862000000,5120469000000,5009173000000,4128945000000,3634057000000,3265492000000,4363729000000,5199495000000,8334981000000,12101306000000,11327636000000,9397197000000
59,Other Liabilities,2496000000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88512000000,83431000000,- -
61,Total Liabilities,2496000000000,2832891253200,3767500000000,4443000000000,5978342162538,6317109002371,5599087090522,8099743000000,9765674000000,12796691000000,15031903000000,14215331000000,10917864000000,11183613000000,9872204000000,11421948000000,14178177000000,18289464000000,23086282000000,22334584000000,23392014000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1449602125350,1521250000000,1571000000000,1770124913168,1706502256859,1790090827765,1789079000000,1789078000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000,1789079000000
64,Retained Earnings,- -,290450929050,1360000000000,2899000000000,3505161388231,2718373095621,4196664802904,5001934000000,5763097000000,6995865000000,6063359000000,6238989000000,6662655000000,7455063000000,8158526000000,9004283000000,10621571000000,10239965000000,7503312000000,7524297000000,8541521000000
65,Other Comprehensive Income/Loss,- -,-2736074276850,3750000000,33000000000,-1352053563,-11796327472,15694756588,173938000000,144423000000,- -,- -,-69370000000,-91674000000,-63843000000,-5766000000,-88478000000,-288280000000,-300968000000,-203021000000,-163446000000,537142000000
66,Other Total Stockholders Equity,1393000000000,2736074276850,- -,968000000000,2220029979776,2143237818382,2250911053461,2311071000000,2257339000000,2251113000000,2263294000000,2251113000000,2251113000000,2251113000000,2251113000000,2251113000000,2251113000000,2251113000000,2251113000000,2251113000000,2251113000000
67,Total Stockholders Equity,1393000000000,1740053054400,2885000000000,5471000000000,7493964227613,6556316843390,8253361440718,9276022000000,9953937000000,11036057000000,10115732000000,10209811000000,10611173000000,11431412000000,12192952000000,12955997000000,14373483000000,13979189000000,11340483000000,11401043000000,13118855000000
68,Total Liabilities And Stockholders Equity,3889000000000,4572944307600,6652500000000,9914000000000,13472306390151,12873425845761,13852448531240,17375765000000,19719611000000,23832748000000,25147635000000,24425142000000,21529037000000,22615025000000,22065156000000,24377945000000,28551660000000,32268653000000,34426765000000,33735627000000,36510869000000
69,Minority Interest,- -,- -,- -,- -,- -,-0,86142322,12601000000,- -,24910000000,15296000000,30369000000,186247000000,351998000000,512004000000,506391000000,608027000000,907057000000,1147798000000,1335896000000,1643646000000
70,Total Liabilities & Equity,3889000000000,4572944307600,6652500000000,9914000000000,13472306390151,12873425845761,13852534673562,17388366000000,19719611000000,23857658000000,25162931000000,24455511000000,21715284000000,22967023000000,22577160000000,24884336000000,29159687000000,33175710000000,35574563000000,35071523000000,38154515000000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1290109/000119312505073307/0001193125-05-073307-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312506133034/0001193125-06-133034-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312507078363/0001193125-07-078363-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312508082238/0001193125-08-082238-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312509135362/0001193125-09-135362-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312510136028/0001193125-10-136028-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312511123762/0001193125-11-123762-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312512194129/0001193125-12-194129-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312513175481/0001193125-13-175481-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312514168917/0001193125-14-168917-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312515158760/0001193125-15-158760-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312516565839/0001193125-16-565839-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312517145079/0001193125-17-145079-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312518136619/0001193125-18-136619-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312519127046/0001193125-19-127046-index.htm,https://www.sec.gov/Archives/edgar/data/1290109/000119312520124760/0001193125-20-124760-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-295000000000,347480106900,1055000000000,1646000000000,535911861881,-660802801151,1345139515960,1086896000000,1110677000000,1156343000000,-771223000000,233204000000,426118000000,904268000000,966553000000,906713000000,1802756000000,-207239000000,-2829705000000,-89342000000,1186182000000
74,Depreciation and Amortization,- -,957559683900,1015000000000,1192000000000,1742217448384,2488632122310,2799937271853,2541021000000,2826853000000,2925378000000,3651446000000,4469412000000,3834518000000,3492311000000,3375856000000,3021571000000,3214576000000,3554565000000,3695051000000,4134843000000,4500701000000
75,Deferred Income Tax,- -,17241379350,12500000000,-42000000000,-179383431659,-237908275690,122430711870,- -,-284223000000,106335000000,- -,222180000000,411332000000,324553000000,410526000000,384725000000,395580000000,88077000000,-472164000000,-524462000000,385341000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-210875332050,-373750000000,-79000000000,-87595683052,178953250588,-1264715358486,114997000000,291694000000,302675000000,818772000000,-721333000000,-1566832000000,-2526662000000,-2530622000000,-1051336000000,1236129000000,746262000000,-68848000000,-1691647000000,-1015987000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,241441000000,-911820000000,-13442000000,206293000000,-1456943000000,-251063000000,-921928000000,-1061400000000,-553756000000,484448000000,1306118000000,-1007356000000,-936475000000,-964130000000
79,Inventory,- -,-145888594500,65000000000,-452000000000,113326671369,-345303822246,227794944303,-312749000000,-531108000000,-510332000000,-102153000000,-72637000000,245403000000,-1156196000000,41107000000,-98435000000,-262106000000,-763081000000,159474000000,-342427000000,-1123239000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,170689000000,1067080000000,-30419000000,889814000000,440883000000,-1110098000000,390046000000,-670565000000,-114977000000,113590000000,267358000000,-394564000000,1387084000000,1037950000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,-38288000000,619184000000,44921000000,255949000000,218097000000,-334893000000,-526503000000,-422900000000,-436921000000,547531000000,505957000000,-296105000000,-796577000000,-713874000000
82,Other Non-Cash Items,768000000000,-58355437800,45000000000,-67000000000,75217347882,11034329781,308044944473,858167000000,206398000000,392801000000,-33137000000,366235000000,479637000000,670051000000,504264000000,379233000000,115160000000,302458000000,2382211000000,457556000000,697209000000
83,Cash Provided by Operating Activities,473000000000,1053050400300,1753750000000,2650000000000,2086367543436,1779908625837,3310837085671,4601081000000,4151399000000,4883532000000,3665858000000,4569695000000,3584773000000,2864521000000,2726577000000,3640906000000,6764201000000,4484123000000,2706545000000,2286948000000,5753446000000
84,CAPEX,- -,-1116710877900,-1508750000000,-3754000000000,-4134585791365,-2941881477804,-1596873598891,-2901315000000,-3887675000000,-5170023000000,-4278356000000,-4258367000000,-3657813000000,-3335847000000,-2659626000000,-4141115000000,-7046883000000,-8422817000000,-7467981000000,-2956858000000,-3777235000000
85,Acquisitions Net,- -,- -,-5000000000,-8000000000,- -,- -,- -,- -,- -,-270536000000,- -,-2661000000,-13721000000,17053000000,-293477000000,29745000000,-7181000000,-10205000000,16738000000,2400000000,4363000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-785443821890,-1399862000000,-4215723000000,-124521000000,-112670000000,-468788000000,-2649614000000,-1889662000000,-2550294000000,-2687169000000,-1803991000000,-775670000000,-115286000000,-81679000000,-728731000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,1000000,3555000000000,31947000000,2045000000,978147000000,1700874000000,1666758000000,2308935000000,3297913000000,2209657000000,1454567000000,114759000000,103130000000,90746000000
88,Other Investing Activites,-804000000000,-9283819650,-10000000000,2000000000,-18817827527,16255655056,-1103932587,-129223000000,-110770000000,790303000000,679234000000,-222404000000,-68801000000,-262879000000,167895000000,-93723000000,-287122000000,-401821000000,155381000000,260378000000,-488028000000
89,Cash Used for Investing Activites,-804000000000,-1125994697550,-1523750000000,-3760000000000,-4153403618892,-2925625822748,-2383421353367,-4304986000000,-4550151000000,-4515167000000,-3494461000000,-3688185000000,-4504321000000,-3451279000000,-2731929000000,-3189182000000,-6481072000000,-7675339000000,-6755393000000,-2319316000000,-4263080000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-503916000000,-957612000000,-2452047000000,-3484984000000,-4309483000000,-2941286000000,-1405661000000,-1292984000000,-1867980000000,-650595000000,-2411982000000,-2787299000000,-3846819000000,-6836266000000
91,Common Stock Issued,- -,- -,- -,1187000000000,1406906166167,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-268362000000,-178908000000,-178908000000,-178908000000,- -,- -,- -,-178908000000,-178908000000,-178908000000,-178908000000,- -,- -,- -
94,Other Financing Activites,352000000000,90185676600,225000000000,753000000000,876317577996,549991127577,-682844570736,647512000000,1019499000000,3039081000000,3385643000000,4261359000000,2550302000000,1810320000000,1297394000000,2354835000000,1691745000000,5543809000000,7775201000000,4778648000000,4370130000000
95,Cash Used/Provided by Financing Activities,352000000000,90185676600,225000000000,1940000000000,2283223744163,549991127577,-682844570736,-124766000000,-117021000000,408126000000,-278249000000,-48124000000,-390984000000,404659000000,-174498000000,307947000000,862242000000,2952919000000,4987902000000,931829000000,-2466136000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-2000000000,-286799241,-511842454,-2458801503,- -,-21679000000,36536000000,-6180000000,-12702000000,-6259000000,50068000000,41673000000,47363000000,-101507000000,759000000,31927000000,-17365000000,299268000000
97,Net Change In Cash,352000000000,17241379350,455000000000,828000000000,215901868766,-596237911788,242112360064,171329000000,-534770000000,813027000000,-113032000000,820684000000,-1316791000000,-132031000000,-138177000000,807034000000,1043864000000,-237538000000,970981000000,882096000000,-676502000000
98,Cash at the End of Period,- -,70291777350,528750000000,1315000000000,1562720096469,910313134821,1197100189804,1367752000000,817982000000,1631009000000,1517977000000,2338661000000,1021870000000,889839000000,751662000000,1558696000000,2602560000000,2365022000000,3336003000000,4218099000000,3541597000000
99,Cash at the Beginning of Period,- -,53050398000,73750000000,487000000000,1346818227703,1506551046609,954987829740,1196423000000,1352752000000,817982000000,1631009000000,1517977000000,2338661000000,1021870000000,889839000000,751662000000,1558696000000,2602560000000,2365022000000,3336003000000,4218099000000
100,Free Cash Flow,473000000000,-63660477600,245000000000,-1104000000000,-2048218247929,-1161972851967,1713963486780,1699766000000,263724000000,-286491000000,-612498000000,311328000000,-73040000000,-471326000000,66951000000,-500209000000,-282682000000,-3938694000000,-4761436000000,-669910000000,1976211000000
