,https://roic.ai/company/MSFT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,101500000,152700000,271400000,381300000,583800000,906800000,1408600000,1945000000,2397000000,3291000000,4885000000,5700000000,7371000000,7900000000,9673000000,10121000000,11264000000,13284000000,21085000000,19027000000,20160000000,21905000000,26330000000,25919000000,25932000000,27205000000,28237000000,30836000000,32013000000,32370000000,31248000000,33057000000,36949000000,39974000000,43978000000,45940000000
11,COGS and Expenses,136600000,219000000,403400000,561300000,790200000,1193600000,1762700000,2427000000,2923000000,3899000000,5593000000,6228000000,7544000000,9704000000,11927000000,13576000000,16455000000,18970000000,27801000000,25227000000,27810000000,32598000000,37928000000,38074000000,38327000000,42782000000,45767000000,51085000000,58947000000,65408000000,64028000000,67318000000,75302000000,82884000000,90056000000,98172000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888000000,706000000,843000000,900000000,- -,- -,- -,- -,- -,- -,- -,2762000000,2680000000,2131000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000000,295000000,380000000,429000000,597000000,781000000,1243000000,2222000000,2733000000,2686000000,2591000000,2346000000
14,Depreciation and Amortization,5800000,7600000,16000000,24200000,46300000,75800000,112300000,151000000,237000000,269000000,480000000,557000000,1024000000,1010000000,748000000,1536000000,1084000000,1439000000,1186000000,855000000,903000000,1440000000,2056000000,2562000000,2673000000,2766000000,2967000000,3755000000,5212000000,5957000000,6622000000,8778000000,10261000000,11682000000,12796000000,11686000000
15,EBITDA,71800000,129000000,199700000,275000000,456900000,746400000,1153600000,1552000000,1959000000,2436000000,3859000000,5871000000,8141000000,12901000000,15023000000,12686000000,12597000000,16165000000,13382000000,17483000000,19165000000,21541000000,25870000000,22383000000,27837000000,31132000000,25614000000,31236000000,33629000000,25245000000,27616000000,34149000000,49468000000,58056000000,68423000000,85134000000
16,EBITDA ratio,0.3635,0.3729,0.3380,0.3423,0.3861,0.4049,0.4182,0.4135,0.4214,0.4103,0.4450,0.5169,0.5621,0.6533,0.6544,0.5015,0.4441,0.5022,0.3633,0.4394,0.4328,0.4214,0.4282,0.3830,0.4455,0.4451,0.3474,0.4012,0.3873,0.2698,0.3237,0.3796,0.4482,0.4613,0.4784,0.5065
17,Operating Income,60900000,126900000,187400000,242200000,393200000,649800000,996000000,1326000000,1726000000,2038000000,3078000000,5130000000,6940000000,10043000000,11029000000,11720000000,11910000000,13217000000,9034000000,14561000000,16472000000,18524000000,22492000000,20363000000,24098000000,27161000000,21763000000,26764000000,27759000000,18161000000,20182000000,22326000000,35058000000,42959000000,52959000000,69916000000
18,Operating Income ratio,0.3084,0.3669,0.3172,0.3014,0.3323,0.3525,0.3610,0.3533,0.3713,0.3433,0.3550,0.4517,0.4791,0.5086,0.4804,0.4633,0.4199,0.4106,0.2453,0.3660,0.3720,0.3623,0.3723,0.3485,0.3857,0.3883,0.2952,0.3438,0.3197,0.1941,0.2365,0.2482,0.3177,0.3414,0.3703,0.4159
19,Total Other Income Expenses (Gains),5100000,-5500000,-3700000,8600000,17400000,20800000,45300000,75000000,-4000000,129000000,301000000,184000000,177000000,1848000000,3246000000,-195000000,-397000000,1509000000,3162000000,2067000000,1790000000,1577000000,1322000000,-542000000,915000000,910000000,504000000,288000000,61000000,346000000,-431000000,823000000,1416000000,729000000,77000000,1186000000
20,Income Before Tax,66000000,121400000,183700000,250800000,410600000,670600000,1041300000,1401000000,1722000000,2167000000,3379000000,5314000000,7117000000,11891000000,14275000000,11525000000,11513000000,14726000000,12196000000,16628000000,18262000000,20101000000,23814000000,19821000000,25013000000,28071000000,22267000000,27052000000,27820000000,18507000000,19751000000,23149000000,36474000000,43688000000,53036000000,71102000000
21,Income Before Tax Ratio,0.3342,0.3510,0.3109,0.3121,0.3470,0.3638,0.3775,0.3733,0.3704,0.3650,0.3897,0.4679,0.4914,0.6022,0.6218,0.4556,0.4059,0.4575,0.3311,0.4179,0.4124,0.3932,0.3941,0.3392,0.4003,0.4013,0.3020,0.3475,0.3204,0.1978,0.2315,0.2574,0.3305,0.3472,0.3708,0.4230
22,Income Tax expense (Gain),26700000,49500000,59800000,80300000,131400000,207900000,333200000,448000000,576000000,714000000,1184000000,1860000000,2627000000,4106000000,4854000000,3804000000,3684000000,4733000000,4028000000,4374000000,5663000000,6036000000,6133000000,5252000000,6253000000,4921000000,5289000000,5189000000,5746000000,6314000000,2953000000,1945000000,19903000000,4448000000,8755000000,9831000000
23,Net Income,39300000,71900000,123900000,170500000,279200000,462700000,708100000,953000000,1146000000,1453000000,2195000000,3454000000,4490000000,7785000000,9421000000,7346000000,7829000000,9993000000,8168000000,12254000000,12599000000,14065000000,17681000000,14569000000,18760000000,23150000000,16978000000,21863000000,22074000000,12193000000,16798000000,21204000000,16571000000,39240000000,44281000000,61271000000
24,Net Income ratio,0.1990,0.2079,0.2097,0.2122,0.2359,0.2510,0.2567,0.2539,0.2465,0.2447,0.2531,0.3041,0.3100,0.3942,0.4104,0.2904,0.2760,0.3105,0.2217,0.3080,0.2845,0.2751,0.2926,0.2493,0.3002,0.3310,0.2303,0.2808,0.2542,0.1303,0.1969,0.2357,0.1502,0.3118,0.3096,0.3645
25,EPS,0.01,0.01,0.02,0.03,0.04,0.06,0.08,0.10,0.12,0.14,0.21,0.33,0.46,0.77,0.91,0.69,0.72,0.93,0.76,1.13,1.21,1.44,1.90,1.63,2.13,2.73,2.02,2.61,2.66,1.49,2.12,2.74,2.15,5.11,5.82,8.12
26,EPS Diluted,0.01,0.01,0.02,0.03,0.04,0.06,0.08,0.10,0.12,0.14,0.21,0.33,0.42,0.71,0.85,0.66,0.70,0.92,0.75,1.12,1.20,1.42,1.87,1.62,2.10,2.69,2.00,2.58,2.63,1.48,2.10,2.71,2.13,5.06,5.76,8.05
27,Weighted Average Shares Outstanding,7342400000,7190000000,6195000000,6820000000,7977142857,8412727273,8851250000,9530000000,9760000000,10032000000,10240000000,10496000000,9728000000,10056000000,10378000000,10682000000,10812000000,10723000000,10803000000,10839000000,10438000000,9742000000,9328000000,8945000000,8813000000,8490000000,8396000000,8375000000,8299000000,8177000000,7925000000,7746000000,7700000000,7673000000,7610000000,7547000000
28,Weighted Average Shares Outstanding Diluted,7342400000,7190000000,6195000000,6820000000,7977142857,8412727273,8851250000,9530000000,9760000000,10032000000,10240000000,10496000000,10724000000,10964000000,11072000000,11148000000,11106000000,10882000000,10894000000,10906000000,10531000000,9886000000,9470000000,8996000000,8927000000,8593000000,8506000000,8470000000,8399000000,8254000000,8013000000,7832000000,7794000000,7753000000,7683000000,7608000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789019/000089102094000175/0000891020-94-000175-index.html,https://www.sec.gov/Archives/edgar/data/789019/000089102095000433/0000891020-95-000433-index.html,https://www.sec.gov/Archives/edgar/data/789019/000089102096001130/0000891020-96-001130-index.html,https://www.sec.gov/Archives/edgar/data/789019/000101706297001764/0001017062-97-001764-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/789019/000103221000001961/0001032210-00-001961-index.html,https://www.sec.gov/Archives/edgar/data/789019/000103221001501099/0001032210-01-501099-index.html,https://www.sec.gov/Archives/edgar/data/789019/000103221002001351/0001032210-02-001351-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312503045632/0001193125-03-045632-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312504150689/0001193125-04-150689-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312505174825/0001193125-05-174825-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312506180008/0001193125-06-180008-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312507170817/0001193125-07-170817-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312508162768/0001193125-08-162768-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/0001193125-09-158735-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312510171791/0001193125-10-171791-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312511200680/0001193125-11-200680-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312512316848/0001193125-12-316848-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312513310206/0001193125-13-310206-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312514289961/0001193125-14-289961-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312515272806/0001193125-15-272806-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000119312516662209/0001193125-16-662209-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459017014900/0001564590-17-014900-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459018019062/0001564590-18-019062-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459019027952/0001564590-19-027952-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,102700000,132500000,183200000,192400000,246300000,417200000,791400000,1013000000,1477000000,1962000000,2601000000,3706000000,3839000000,4975000000,4846000000,3922000000,3016000000,6438000000,15982000000,4851000000,6714000000,6111000000,10339000000,6076000000,5505000000,9610000000,6938000000,3804000000,8669000000,5595000000,6510000000,7663000000,11946000000,11356000000,13576000000,11748000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12261000000,18952000000,27678000000,35636000000,42610000000,44610000000,32900000000,27447000000,17300000000,13323000000,25371000000,31283000000,43162000000,56102000000,73218000000,77040000000,90931000000,106730000000,125318000000,121822000000,122463000000,122951000000,118586000000
33,Cash and Short-Term Investments,102700000,132500000,183200000,192400000,246300000,417200000,791400000,1013000000,1477000000,1962000000,2601000000,3706000000,3839000000,17236000000,23798000000,31600000000,38652000000,49048000000,60592000000,37751000000,34161000000,23411000000,23662000000,31447000000,36788000000,52772000000,63040000000,77022000000,85709000000,96526000000,113240000000,132981000000,133768000000,133819000000,136527000000,130334000000
34,Net Receivables,34500000,55100000,93600000,111200000,181000000,243300000,823700000,338000000,475000000,581000000,639000000,980000000,1460000000,2245000000,3250000000,3671000000,5129000000,5196000000,5890000000,7180000000,9316000000,11338000000,13589000000,11192000000,13014000000,14987000000,15780000000,17486000000,19544000000,17908000000,18277000000,19792000000,26481000000,29524000000,32011000000,38043000000
35,Inventory,8000000,16600000,53500000,37800000,55600000,47100000,85900000,127000000,102000000,88000000,- -,- -,- -,- -,- -,- -,673000000,640000000,421000000,491000000,1478000000,1127000000,985000000,717000000,740000000,1372000000,1137000000,1938000000,2660000000,2902000000,2251000000,2181000000,2662000000,2063000000,1895000000,2636000000
36,Other Current Assets,2800000,8800000,15000000,127500000,237000000,320900000,68700000,1372000000,2258000000,2989000000,4599000000,5687000000,10590000000,752000000,3260000000,4366000000,4122000000,4089000000,3663000000,3315000000,4055000000,4292000000,5006000000,5924000000,5134000000,5787000000,5127000000,5020000000,6333000000,7376000000,5892000000,4897000000,6751000000,10146000000,11482000000,13393000000
37,Total Current Assets,148000000,213000000,345300000,468900000,719900000,1028500000,1769700000,2850000000,4312000000,5620000000,7839000000,10373000000,15889000000,20233000000,30308000000,39637000000,48576000000,58973000000,70566000000,48737000000,49010000000,40168000000,43242000000,49280000000,55676000000,74918000000,85084000000,101466000000,114246000000,124712000000,139660000000,159851000000,169662000000,175552000000,181915000000,184406000000
38,PP&E,19500000,70000000,130100000,198800000,325400000,530200000,766600000,867000000,930000000,1192000000,1326000000,1465000000,1505000000,1611000000,1903000000,2309000000,2268000000,2223000000,2326000000,2346000000,3044000000,4350000000,6242000000,7535000000,7630000000,8162000000,8269000000,9991000000,13011000000,14731000000,18356000000,23734000000,36146000000,43856000000,52904000000,70803000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3866000000,4760000000,12108000000,12503000000,12394000000,12581000000,13452000000,14655000000,20127000000,16939000000,17872000000,35122000000,35683000000,42026000000,43351000000,49711000000
40,Intangible Assets,- -,- -,7900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1669000000,3512000000,3684000000,3808000000,539000000,878000000,1973000000,1759000000,1158000000,744000000,3170000000,3083000000,6981000000,4835000000,3733000000,10106000000,8053000000,7750000000,7038000000,7800000000
41,Intangible Assets,- -,- -,7900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1669000000,3512000000,3684000000,3808000000,4405000000,5638000000,14081000000,14262000000,13552000000,13325000000,16622000000,17738000000,27108000000,21774000000,21605000000,45228000000,43736000000,49776000000,50389000000,57511000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6588000000,4933000000,7754000000,10865000000,9776000000,10844000000,14597000000,12053000000,10431000000,6023000000,1862000000,2649000000,2965000000,5984000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1829000000,3621000000,2611000000,1389000000,949000000,279000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3200000,4800000,9700000,52900000,60000000,85500000,103600000,88000000,121000000,398000000,928000000,2549000000,4963000000,15312000000,19939000000,17311000000,15133000000,14863000000,13984000000,12303000000,10527000000,11626000000,1691000000,1599000000,1501000000,1434000000,1520000000,2392000000,3422000000,2953000000,3642000000,6250000000,7442000000,14723000000,13138000000,15075000000
45,Total Non-Current Assets,22700000,74800000,147700000,251700000,385400000,615700000,870200000,955000000,1051000000,1590000000,2254000000,4014000000,6468000000,16923000000,21842000000,19620000000,19070000000,20598000000,21823000000,22078000000,20587000000,23003000000,29551000000,28608000000,30437000000,33786000000,36187000000,40965000000,58138000000,51511000000,54034000000,81235000000,89186000000,111004000000,119396000000,149373000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,170700000,287800000,493000000,720600000,1105300000,1644200000,2639900000,3805000000,5363000000,7210000000,10093000000,14387000000,22357000000,37156000000,52150000000,59257000000,67646000000,79571000000,92389000000,70815000000,69597000000,63171000000,72793000000,77888000000,86113000000,108704000000,121271000000,142431000000,172384000000,176223000000,193694000000,241086000000,258848000000,286556000000,301311000000,333779000000
48,Accounts Payable,- -,- -,- -,42000000,51000000,85900000,187500000,239000000,324000000,563000000,808000000,721000000,759000000,874000000,1083000000,1188000000,1208000000,1573000000,1717000000,2086000000,2909000000,3247000000,4034000000,3324000000,4025000000,4197000000,4175000000,4828000000,7432000000,6591000000,6898000000,7390000000,8617000000,9382000000,12530000000,15163000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000000,1000000000,- -,1231000000,2999000000,2000000000,7484000000,12904000000,10121000000,3998000000,5516000000,3749000000,8072000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3248000000,725000000,1074000000,580000000,789000000,592000000,782000000,606000000,580000000,718000000,2121000000,5665000000,2130000000,2174000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5614000000,5920000000,7225000000,6514000000,7502000000,9138000000,10779000000,13397000000,13003000000,13652000000,15722000000,18653000000,20639000000,23150000000,23223000000,27468000000,34102000000,28905000000,32676000000,36000000000,41525000000
52,Other Current Liabilities,29500000,46600000,117600000,116800000,135800000,207500000,259400000,324000000,589000000,784000000,1617000000,2889000000,4971000000,7844000000,8672000000,4330000000,5616000000,5176000000,6738000000,7289000000,10395000000,9728000000,12455000000,8707000000,7470000000,8855000000,8629000000,8951000000,13043000000,12560000000,12087000000,12914000000,16968000000,21846000000,20031000000,23897000000
53,Total Current Liabilities,29500000,46600000,117600000,158800000,186800000,293400000,446900000,563000000,913000000,1347000000,2425000000,3610000000,5730000000,8718000000,9755000000,11132000000,12744000000,13974000000,14969000000,16877000000,22442000000,23754000000,29886000000,27034000000,26147000000,28774000000,32688000000,37417000000,45625000000,49858000000,59357000000,64527000000,58488000000,69420000000,72310000000,88657000000
54,Long-Term Debt,1900000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3746000000,4939000000,11921000000,10713000000,12601000000,20645000000,27808000000,40783000000,76073000000,77810000000,72850000000,67249000000,59703000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000000,1281000000,1178000000,1398000000,1406000000,1760000000,2008000000,2095000000,6441000000,10377000000,3815000000,4530000000,3180000000,2616000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1027000000,836000000,398000000,1731000000,- -,- -,- -,- -,- -,- -,229000000,1456000000,1893000000,1709000000,2728000000,2835000000,1476000000,531000000,541000000,233000000,204000000,198000000
57,Other Non-Current Liabilities,- -,100000,-100000,- -,-100000,- -,- -,- -,- -,405000000,635000000,- -,- -,1385000000,- -,- -,2324000000,2846000000,2595000000,5823000000,7051000000,8320000000,4721000000,6269000000,7445000000,8072000000,8208000000,10000000000,11594000000,13544000000,13640000000,17184000000,35476000000,37193000000,40064000000,40617000000
58,Total Non-Current Liabilities,1900000,2100000,-100000,- -,-100000,- -,- -,- -,- -,405000000,635000000,- -,- -,1385000000,1027000000,836000000,2722000000,4577000000,2595000000,5823000000,7051000000,8320000000,6621000000,11296000000,13791000000,22847000000,22220000000,26070000000,36975000000,46282000000,62340000000,104165000000,117642000000,114806000000,110697000000,103134000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5568000000,6188000000,7671000000,9629000000
61,Total Liabilities,31400000,48700000,117500000,158800000,186700000,293400000,446900000,563000000,913000000,1752000000,3060000000,3610000000,5730000000,8718000000,10782000000,11968000000,15466000000,18551000000,17564000000,22700000000,29493000000,32074000000,36507000000,38330000000,39938000000,51621000000,54908000000,63487000000,82600000000,96140000000,121697000000,168692000000,176130000000,184226000000,183007000000,191791000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13844000000,23195000000,28390000000,31647000000,35344000000,56396000000,60413000000,59005000000,60557000000,62849000000,62382000000,62856000000,63415000000,65797000000,67306000000,68366000000,68465000000,68178000000,69315000000,71223000000,78520000000,80552000000,83111000000
64,Retained Earnings,89200000,161100000,285000000,455600000,688900000,956300000,1536100000,2156000000,2950000000,3328000000,3984000000,5288000000,7622000000,13614000000,18173000000,18899000000,20533000000,25676000000,18429000000,-13724000000,-20130000000,-31114000000,-27703000000,-23793000000,-16681000000,-8195000000,566000000,9895000000,17710000000,9096000000,2282000000,2648000000,13682000000,24150000000,34566000000,57055000000
65,Other Comprehensive Income/Loss,-11000000,-18600000,-30100000,-49800000,-73900000,-118500000,-210600000,-314000000,-515000000,-715000000,-1020000000,-1312000000,-1547000000,-1905000000,-2411000000,-2966000000,-3623000000,-3855000000,-4163000000,1426000000,1229000000,1654000000,1140000000,969000000,-8629000000,1863000000,1422000000,1743000000,3708000000,2522000000,1537000000,431000000,-2187000000,-340000000,3186000000,1822000000
66,Other Total Stockholders Equity,61100000,96600000,120600000,156000000,303600000,513000000,867500000,1400000000,2015000000,2720000000,3944000000,6801000000,10552000000,2885000000,2411000000,2966000000,3623000000,3855000000,4163000000,- -,- -,- -,- -,- -,8629000000,- -,-1422000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,139300000,239100000,375500000,561800000,918600000,1350800000,2193000000,3242000000,4450000000,5333000000,6908000000,10777000000,16627000000,28438000000,41368000000,47289000000,52180000000,61020000000,74825000000,48115000000,40104000000,31097000000,36286000000,39558000000,46175000000,57083000000,66363000000,78944000000,89784000000,80083000000,71997000000,72394000000,82718000000,102330000000,118304000000,141988000000
68,Total Liabilities And Stockholders Equity,170700000,287800000,493000000,720600000,1105300000,1644200000,2639900000,3805000000,5363000000,7085000000,9968000000,14387000000,22357000000,37156000000,52150000000,59257000000,67646000000,79571000000,92389000000,70815000000,69597000000,63171000000,72793000000,77888000000,86113000000,108704000000,121271000000,142431000000,172384000000,176223000000,193694000000,241086000000,258848000000,286556000000,301311000000,333779000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,125000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,170700000,287800000,493000000,720600000,1105300000,1644200000,2639900000,3805000000,5363000000,7210000000,10093000000,14387000000,22357000000,37156000000,52150000000,59257000000,67646000000,79571000000,92389000000,70815000000,69597000000,63171000000,72793000000,77888000000,86113000000,108704000000,121271000000,142431000000,172384000000,176223000000,193694000000,241086000000,258848000000,286556000000,301311000000,333779000000
