,https://roic.ai/company/INFI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1200000,4200000,6700000,10000000,8648382,30549334,30923510,70206810,17033108,19409893,24724614,45256561,47826866,64302951,97313177,120301693,131301045,146284000,127676000,172918000,236174000,161830000,42445000,34006000,41405000,39179000,46941000
11,COGS and Expenses,1200000,4400000,8000000,12800000,16522918,40445443,55779878,105694450,48702094,48848989,49832582,45256561,47826866,64302951,97313177,120301693,131301045,146284000,127676000,172918000,236174000,161830000,42445000,34075000,48713000,40216000,- -
12,Interest Income ,- -,- -,- -,- -,- -,2776620,3531104,2181614,1797980,1424860,2023836,2459952,6580664,3342424,2044430,463014,326752,559000,- -,339000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,300000,- -,1529578,279580,144470,40745,6136,4808,1507102,188035,21368,1300184,1909726,1840970,1908000,- -,9649000,1368000,1225000,1010000,93000,2563000,2445000,180000
14,Depreciation and Amortization,- -,- -,200000,600000,671710,13201427,12596133,57039573,5293929,6708692,6230258,3686711,2807376,1971937,2153916,2183997,2099116,1643000,1823000,1773000,2292000,3418000,1715000,191000,219000,483000,480000
15,EBITDA,-1200000,-4000000,-4600000,-5400000,-2698654,3034266,1727483,-4928799,6393587,10673184,-7916428,-22166200,-13902476,25647662,-29380731,-45590257,-36102015,-50413000,-125853000,-5811000,-124381000,-25458000,-39825000,-10969000,-44329000,-37564000,-44603000
16,EBITDA ratio,-Infinity,-10.0000,-1.4839,-0.8710,-0.2064,0.0837,0.0420,-0.1193,0.1283,0.2070,-0.2272,-1.1985,-0.5666,0.3074,-0.5931,-0.6391,-0.3891,-1.0700,-Infinity,-0.0352,-1.1404,-1.3597,-6.6375,-0.4953,-14.5389,-21.8522,-Infinity
17,Operating Income,-1200000,-4000000,-4800000,-6600000,-3447083,-4181793,-14646010,-64379402,-748488,2715059,-16035863,-26762003,-23290516,19137715,-47774463,-48970706,-38527883,-52808000,-127676000,-7923000,-127108000,-30891000,-36445000,-11929000,-45664000,-38497000,-45083000
18,Operating Income ratio,-Infinity,-10.0000,-1.5484,-1.0645,-0.2636,-0.1153,-0.3561,-1.5583,-0.0150,0.0527,-0.4603,-1.4470,-0.9492,0.2294,-0.9644,-0.6865,-0.4153,-1.1209,-Infinity,-0.0480,-1.1654,-1.6499,-6.0742,-0.5387,-14.9767,-22.3950,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,300000,-133923,-8866938,-14246,-51229449,-1822820,1243297,2328571,-598010,6392629,4516642,14939632,-713274,-1514218,-1156000,896000,-9310000,-933000,790000,-6105000,676000,-1447000,-1995000,-179000
20,Income Before Tax,-1200000,-4000000,-4800000,-6300000,- -,- -,- -,- -,- -,3958356,-13707292,-27360013,-16897887,23654357,-32834831,-49683980,-40042101,-53964000,-126780000,-17233000,-128041000,-30101000,-42550000,-11253000,-47111000,-40492000,-45262000
21,Income Before Tax Ratio,-Infinity,-10.0000,-1.5484,-1.0161,- -,- -,- -,- -,- -,0.0768,-0.3935,-1.4794,-0.6887,0.2835,-0.6628,-0.6965,-0.4316,-1.1454,-Infinity,-0.1044,-1.1740,-1.6077,-7.0917,-0.5081,-15.4513,-23.5556,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,55584,13243,1087960,- -,- -,-329566,-700321,- -,- -,- -,183000,335000,- -,-720000,- -,-54000,- -,- -
23,Net Income,-1200000,-4000000,-4800000,-6300000,-3370364,-11696739,-11148230,-62112842,1058913,3902772,-14164737,-28447973,-16897887,23654357,-32505265,-48983659,-40042101,-53964000,-126780000,-17416000,-128376000,-30101000,-41830000,-11253000,-47057000,-40492000,-45262000
24,Net Income ratio,-Infinity,-10.0000,-1.5484,-1.0161,-0.2578,-0.3225,-0.2710,-1.5034,0.0213,0.0757,-0.4066,-1.5382,-0.6887,0.2835,-0.6562,-0.6867,-0.4316,-1.1454,-Infinity,-0.1056,-1.1770,-1.6077,-6.9717,-0.5081,-15.4336,-23.5556,-Infinity
25,EPS,-0.01,-40.00,-48.00,-31.50,-12.00,-3.56,-1.84,-10.20,0.16,0.60,-2.20,-3.81,-0.87,1.17,-1.25,-1.86,-1.50,-1.70,-2.64,-0.36,-2.62,-0.61,-0.83,-0.20,-0.83,-0.68,-0.76
26,EPS Diluted,-0.01,-40.00,-48.00,-31.50,-12.00,-3.56,-1.84,-10.20,0.16,0.60,-2.20,-3.81,-0.87,1.14,-1.25,-1.86,-1.50,-1.70,-2.64,-0.36,-2.62,-0.61,-0.83,-0.20,-0.83,-0.68,-0.76
27,Weighted Average Shares Outstanding,89015401,100000,100000,200000,281260,3294144,6003966,6078722,6085930,6329734,6479848,7463426,19511485,20236743,26198415,26321398,26620278,31711264,47936001,48561653,49083479,49608234,50560195,55411370,56983652,59857860,59857860
28,Weighted Average Shares Outstanding Diluted,89015401,100000,100000,200000,281260,3294144,6003966,6078722,6269201,6567906,6479848,7463426,19511485,20765536,26198415,26321398,26620278,31711264,47936001,48561653,49083479,49608234,50560195,55411370,56983652,59857860,59857860
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1113148/000093639202000361/0000936392-02-000361-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000116923203002196/0001169232-03-002196-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000104746904007352/0001047469-04-007352-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000110465905010218/0001104659-05-010218-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000110465906016998/a06-1937_110k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312507054193/d10k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312508057110/d10k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312509053137/0001193125-09-053137-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000119312510054995/0001193125-10-054995-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000119312511068690/d10k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312512111977/0001193125-12-111977-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000119312513091650/0001193125-13-091650-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000119312514066107/d644881d10k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312515060050/d850830d10k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312516473445/0001193125-16-473445-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000111314817000003/0001113148-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000111314818000004/0001113148-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000111314819000002/0001113148-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000111314820000004/0001113148-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000111314821000007/0001113148-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1113148/000111314822000007/0001113148-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,10700000,2884639,97690236,50915481,8309269,7846026,13148242,24231257,74147479,23164721,16574549,16287229,20416997,24196974,175742000,68114000,307405000,188170000,74060000,34607000,48616000,22260000,28593000,80726000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,26349756,61326678,64728243,66870268,59254873,27549305,91024747,110197138,113758778,79804921,91080819,150276000,145772000,25321000,57061000,18004000,23002000,9975000,20184000,5515000,- -
33,Cash and Short-Term Investments,- -,- -,- -,10700000,2884639,97690236,77265237,69635947,72574269,80018510,83486130,101696784,114189468,126771687,130046007,100221918,115277793,326018000,213886000,332726000,245231000,92064000,57609000,58591000,42444000,34108000,80726000
34,Net Receivables,- -,- -,- -,1600000,2785618,9395097,10143648,9816462,11874784,14626179,5673509,42222067,5153650,7456768,55059,35057,218193,- -,- -,647000,1185000,85000,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,1100000,1517297,9787005,8174755,4607941,4148230,2841687,578842,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,400000,201284,1685914,1401914,1333173,1583262,2455963,2695745,2179702,2496814,2389411,3511968,2872000,2484309,3731000,11055000,11195000,8281000,9511000,777000,1227000,2137000,1912000,1542000
37,Total Current Assets,- -,- -,- -,13800000,7388838,118558252,96985554,85393523,90180545,99942339,92434226,146098553,121839932,136617866,133613034,103128975,117980295,329749000,224941000,344568000,254697000,101660000,58386000,59818000,44581000,36020000,82268000
38,PP&E,- -,- -,- -,1400000,4655227,9567871,10641664,9819577,8408028,7206160,7950765,6539930,5984711,5320439,5694150,5147545,4581928,4079000,4010000,18970000,28240000,23424000,219000,28000,3903000,3129000,2305000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1200000,7343455,45154516,57318357,7219564,8655482,7114472,717707,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,1200000,7343455,45154516,57318357,7219564,8655482,7114472,717707,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,690506,736739,659179,617000,582000,519000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,200000,2264200,6499674,2076536,2010761,1939947,1379770,1176983,2009399,1899961,18679203,17320143,15552663,1268667,1215000,1177000,5087000,5884000,571000,748000,369000,530000,170000,212000
45,Total Non-Current Assets,- -,- -,- -,2800000,14262882,61222061,70036557,19049902,19003457,15700402,9845455,8549329,7884672,23999642,23704799,21436947,6509774,5911000,5769000,24576000,34124000,23995000,967000,397000,4433000,3299000,2517000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,16600000,21651720,179780313,167022111,104443425,109184002,115642741,102279681,154647882,129724604,160617508,157317833,124565922,124490069,335660000,230710000,369144000,288821000,125655000,59353000,60215000,49014000,39319000,84785000
48,Accounts Payable,- -,- -,- -,- -,2348226,3574534,2409872,2377117,2372051,3197186,2093095,892184,2097190,2759288,1441231,2606303,5951759,2148000,6375000,5947000,9628000,2413000,459000,1197000,1621000,2982000,2320000
49,Short-Term Debt,- -,- -,- -,- -,1184921,661160,738170,722892,- -,- -,- -,1362930,375618,5953,6459,- -,- -,- -,6667000,- -,416000,442000,6000000,- -,381000,1337000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,3880817,2290566,4305936,1072237,2357915,13750000,13750000,1702860,2987512,4780418,4214703,- -,- -,24495000,35408000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,4800000,7518944,7335313,1406260,2110437,4161118,2811076,2226315,8829206,8519754,11562641,8542923,20363884,18819167,16515000,9164000,24435000,24604000,21008000,5136000,6521000,7696000,6728000,10980000
53,Total Current Liabilities,- -,- -,- -,4800000,11052091,11571007,8435119,7501012,10839105,7080499,6677325,24834320,24742562,16030742,12978125,27750605,28985629,18663000,22206000,54877000,70056000,23863000,11595000,7718000,9698000,11047000,13300000
54,Long-Term Debt,- -,- -,- -,100000,1910177,944123,1082257,- -,- -,- -,- -,374205,20400,- -,- -,- -,37552795,- -,6456000,- -,- -,- -,- -,- -,29626000,51016000,917000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21939251,35855463,46361745,42147045,- -,- -,85510000,95531000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,51906,74583,95300,410910,97964,155159,528067,67014402,53818739,2352048,2224713,970057,371144,6792000,773000,19285000,24677000,19338000,28000,38000,1964000,245000,48997000
58,Total Non-Current Liabilities,- -,- -,- -,200000,1962083,1018706,1177557,410910,97964,155159,528067,67388607,53839139,24291299,38080176,47331802,80070984,6792000,7229000,104795000,120208000,19338000,28000,38000,31590000,51261000,49914000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,305970,- -,- -,- -,- -,- -,17902,11948,- -,- -,- -,- -,15456000,20007000,19591000,- -,- -,2307000,1925000,- -
61,Total Liabilities,- -,- -,- -,5000000,13014174,12589713,9612676,7911922,10937069,7235658,7205392,92222927,78581701,40322041,51058301,75082407,109056613,25455000,29435000,159672000,190264000,43201000,11623000,7756000,41288000,62308000,63214000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1612,23931,24262,24371,24745,26118,26442,19523,19711,24065,26239,26519,26722,48000,48000,49000,49000,50000,51000,57000,57000,64000,89000
64,Retained Earnings,- -,- -,- -,-16400000,-19732429,-31429168,-42577398,-104690240,-103631327,-99728555,-113893292,-155305106,-172546266,-148891909,-181397174,-229009563,-269051664,-323016000,-449796000,-467212000,-595588000,-625689000,-667519000,-678772000,-725829000,-766321000,-811583000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1000000,-1161603,-8170505,-13670260,625259,943173,1098873,741062,-76559,202956,715356,37291,53979,22425,134000,156000,114000,45000,-3000,-15000,-4000,12000,-1000,- -
66,Other Total Stockholders Equity,- -,- -,- -,29000000,29529966,206766342,213632831,200572113,200910342,207010647,208200077,217787097,223466502,268447955,287593176,278412580,284435973,633039000,650867000,676521000,694051000,708096000,715213000,731178000,733486000,743269000,833065000
67,Total Stockholders Equity,- -,- -,- -,11600000,8637546,167190600,157409435,96531503,98246933,108407083,95074289,62424955,51142903,120295467,106259532,49483515,15433456,310205000,201275000,209472000,98557000,82454000,47730000,52459000,7726000,-22989000,21571000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,16600000,21651720,179780313,167022111,104443425,109184002,115642741,102279681,154647882,129724604,160617508,157317833,124565922,124490069,335660000,230710000,369144000,288821000,125655000,59353000,60215000,49014000,39319000,84785000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,16600000,21651720,179780313,167022111,104443425,109184002,115642741,102279681,154647882,129724604,160617508,157317833,124565922,124490069,335660000,230710000,369144000,288821000,125655000,59353000,60215000,49014000,39319000,84785000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1113148/000093639202000361/0000936392-02-000361-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000116923203002196/0001169232-03-002196-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000104746904007352/0001047469-04-007352-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000110465905010218/0001104659-05-010218-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000110465906016998/a06-1937_110k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312507054193/d10k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312508057110/d10k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312509053137/0001193125-09-053137-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000119312510054995/0001193125-10-054995-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000119312511068690/d10k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312512111977/0001193125-12-111977-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000119312513091650/0001193125-13-091650-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000119312514066107/d644881d10k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312515060050/d850830d10k.htm,https://www.sec.gov/Archives/edgar/data/1113148/000119312516473445/0001193125-16-473445-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000111314817000003/0001113148-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000111314818000004/0001113148-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000111314819000002/0001113148-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000111314820000004/0001113148-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1113148/000111314821000007/0001113148-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1113148/000111314822000007/0001113148-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-4800000,-6300000,-3370364,-11696739,-11148230,-62112842,1058913,3902772,-14164737,-28447973,-16897887,23654357,-32505265,-48983659,-40042101,-53964000,-126780000,-17416000,-128376000,-30101000,-41830000,-11253000,-47057000,-40492000,-45262000
74,Depreciation and Amortization,- -,- -,200000,600000,671710,13201427,12596133,57039573,5293929,6708692,6230258,3686711,2807376,1971937,2153916,2183997,2099116,1643000,1823000,1773000,2292000,3418000,1715000,191000,219000,483000,480000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5840065,7037253,7883519,5441593,7811000,12155000,12588000,14700000,13714000,6972000,3448000,2133000,1456000,2695000
77,Change in Working Capital,- -,- -,-700000,9000000,-12663253,110650498,-18436810,-10657924,1448929,13520400,-7104939,35507332,-24166863,23489754,47785,-45256539,13616296,222091334,-108351000,86956000,-105050000,-106844000,-31006000,5309000,-17217000,-9910000,43995000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2314334,7414570,- -,-218193,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-357037,-1415559,-4019982,-2213657,459709,1324475,1782596,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12395000,3565000,6815000,10517000,-20418000,-17799000,2833000,- -,882000,- -
81,Other Working Capital,- -,- -,- -,9000000,-3663253,106987245,88550435,77892511,79341440,92861840,85756901,121264233,97097370,120587124,120634909,75378370,88994666,311086000,202735000,289691000,184641000,77797000,46791000,52100000,34883000,24973000,68968000
82,Other Non-Cash Items,- -,- -,- -,-6600000,9626526,-108690442,15460320,13596653,325615,-19381890,21095993,-1090363,50339669,-65378530,18509389,57587632,-14223859,-257716334,107246000,33814000,132781000,-34543000,27438000,-2409000,20392000,12724000,180000
83,Cash Provided by Operating Activities,- -,- -,-5300000,-3300000,-5735381,3464744,-1528587,-2134540,8127386,4749974,6056575,9655707,12082295,-10422417,-4756922,-26585050,-33108955,-80135000,-113907000,117715000,-83653000,-154356000,-36711000,-4714000,-41530000,-35739000,-40618000
84,CAPEX,- -,- -,-500000,-800000,-1112191,-6468540,-19696936,-2710281,-2171896,-2193476,-2846344,-946565,-2405677,-1392377,-2527627,-1948592,-1542113,-1301000,-1754000,-1362000,-6426000,-661000,-43000,- -,-2327000,-43000,-11000
85,Acquisitions Net,- -,- -,- -,- -,-4963444,-1721775,- -,- -,- -,- -,-1477487,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-25894015,-54103167,-63285857,-57982297,-45953012,-1745374,-208173692,-172033407,-166565338,-201094734,-150587364,-180498000,-249764000,-21789000,-121456000,-66503000,-23985000,-15686000,-41864000,-43006000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,19126245,59189385,54860404,53340885,16131708,148559370,155184832,161517539,233523165,138441895,119801000,252124000,141004000,89979000,105353000,19000000,28790000,31950000,57680000,5500000
88,Other Investing Activites,- -,- -,- -,-1300000,181313,-1014020,141444,-1958637,-1829642,-50928,1687419,- -,15000,57113,79256,- -,- -,- -,- -,- -,- -,2140000,750000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-500000,-2100000,-5894322,-9204335,-45449507,-39645840,-8098010,-5366297,4751461,13439769,-62004999,-18183839,-7496170,30479839,-13687582,-61998000,606000,117853000,-37903000,40329000,-4278000,13104000,-12241000,14631000,5489000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-383902,-65954,-16459,-5489,- -,- -,- -,-509000,-415000,-292000,-4000000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,5433,99942936,424456,157555,711304,5616711,454151,5864614,342151,21873115,12031726,224796,582003,272292000,- -,- -,2830000,332000,146000,9619000,112000,7869000,931000
92,Common Stock Repurchased,- -,- -,1900000,13600000,- -,- -,-119250,- -,-289000,-18354,-80915,-287588,-10640,-8115,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-100000,2200000,3794020,510185,172251,-767792,-1056270,- -,-244656,36032221,-1391565,534986,- -,26642,50000000,21386000,5673000,3723000,- -,- -,1682000,- -,27618000,19572000,86174000
95,Cash Used/Provided by Financing Activities,- -,- -,1800000,15800000,3799453,100453121,477457,-610237,-633966,5598357,128580,41609247,-1060054,22016084,11965772,234979,50576514,293678000,5673000,3723000,2321000,-83000,1536000,5619000,27730000,27441000,87105000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,92067,-274118,-215595,141347,320182,146399,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-3900000,10400000,-7830250,94805597,-46774755,-42606212,-463243,5302216,11083015,64704723,-50982758,-6590172,-287320,4129768,3779977,151545000,-107628000,239291000,-119235000,-114110000,-39453000,14009000,-26041000,6333000,51976000
98,Cash at the End of Period,- -,- -,44716000,10400000,2884639,97690236,50915481,8309269,7846026,13148242,24231257,74147479,23164721,16574549,16287229,20416997,24196974,175742000,68114000,307405000,188170000,74060000,34607000,48616000,22575000,28908000,80884000
99,Cash at the Beginning of Period,- -,- -,48616000,- -,10714889,2884639,97690236,50915481,8309269,7846026,13148242,9442756,74147479,23164721,16574549,16287229,20416997,24197000,175742000,68114000,307405000,188170000,74060000,34607000,48616000,22575000,28908000
100,Free Cash Flow,- -,- -,-5800000,-4100000,-6847572,-3003796,-21225523,-4844821,5955490,2556498,3210231,8709142,9676618,-11814794,-7284549,-28533642,-34651068,-81436000,-115661000,116353000,-90079000,-155017000,-36754000,-4714000,-43857000,-35782000,-40629000
