,https://roic.ai/company/SGU,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,9800000,10400000,11600000,23000000,35242000,45133000,60496000,55392000,60989000,38020000,34853000,31277000,29123000,22157000,18425000,20324000,18029000,19047000,23237000,26748000,27777000,29163000,32863000,33933000,35622000,34457000
15,EBITDA,12500000,12400000,10600000,-21400000,37087000,41382000,47871000,57104000,56651000,12788000,-18933000,71520000,16281000,113440000,76703000,83101000,74704000,81338000,98345000,107880000,109400000,82300000,98346000,70251000,115055000,163685000
16,EBITDA ratio,0.1045,0.0917,0.0949,-0.0955,0.0498,0.0381,0.0467,0.0390,0.0390,0.0102,-0.0146,0.0564,0.0106,0.0940,0.0632,0.0522,0.0499,0.0467,0.0501,0.0644,0.0942,0.0622,0.0586,0.0401,0.0784,0.1093
17,Operating Income,10000000,9400000,7300000,-28900000,30966000,29247000,26324000,48607000,44826000,-101780000,-23198000,55111000,3305000,80122000,58584000,62047000,53866000,66005000,79855000,93613000,87404000,55332000,66068000,37350000,92968000,130200000
18,Operating Income ratio,0.0836,0.0695,0.0654,-0.1290,0.0416,0.0269,0.0257,0.0332,0.0308,-0.0808,-0.0179,0.0435,0.0021,0.0664,0.0483,0.0390,0.0360,0.0379,0.0407,0.0559,0.0753,0.0418,0.0394,0.0213,0.0634,0.0870
19,Total Other Income Expenses (Gains),-7300000,-300000,-300000,-15500000,-29121000,-34464000,-38949000,-42994000,-49549000,-76460000,-30244000,-13807000,-16147000,-6681000,-14632000,-14980000,-11301000,-16178000,-18456000,-23222000,-8732000,-8056000,-2961000,-12196000,-16425000,-8788000
20,Income Before Tax,2700000,- -,- -,-44400000,1845000,-5217000,-12625000,5613000,-4723000,-178240000,-53442000,41304000,-12842000,73441000,43952000,47067000,42565000,49827000,61399000,70391000,78672000,47276000,63107000,25154000,76543000,121412000
21,Income Before Tax Ratio,0.0226,- -,- -,-0.1982,0.0025,-0.0048,-0.0123,0.0038,-0.0032,-0.1415,-0.0412,0.0326,-0.0083,0.0609,0.0362,0.0296,0.0284,0.0286,0.0313,0.0420,0.0677,0.0357,0.0376,0.0143,0.0522,0.0811
22,Income Tax expense (Gain),100000,- -,- -,-14800000,492000,1498000,-1456000,1500000,1525000,696000,477000,2002000,566000,-57597000,15632000,22723000,16576000,19921000,25315000,32835000,33738000,20376000,7602000,7517000,20625000,33675000
23,Net Income,2600000,2000000,-1000000,-29600000,1353000,-5249000,-11169000,212000,-5863000,-25928000,-54263000,38241000,-13408000,131038000,28320000,24344000,25989000,27896000,32889000,34238000,40400000,25986000,49165000,17637000,49106000,87737000
24,Net Income ratio,0.0217,0.0148,-0.0090,-0.1321,0.0018,-0.0048,-0.0109,0.0001,-0.0040,-0.0206,-0.0419,0.0302,-0.0087,0.1086,0.0234,0.0153,0.0174,0.0160,0.0168,0.0204,0.0348,0.0196,0.0293,0.0101,0.0335,0.0586
25,EPS,0.11,0.37,-0.16,-2.53,0.07,-0.23,-0.38,0.01,-0.16,-0.72,-1.02,0.50,-0.18,1.43,0.38,0.35,0.40,0.47,0.57,0.59,0.70,0.46,0.89,0.35,1.07,2.15
26,EPS Diluted,0.11,0.37,-0.16,-2.53,0.07,-0.23,-0.38,0.01,-0.17,-0.72,-1.02,0.50,-0.18,1.43,0.38,0.35,0.40,0.47,0.57,0.59,0.70,0.46,0.89,0.35,1.07,2.15
27,Weighted Average Shares Outstanding,2875000,5271000,6035000,11447000,18288000,22439000,28790000,32659000,35205000,35821000,52944000,75774000,75774000,75738000,70019000,66822000,61931000,59409000,57476000,57285000,57022000,55888000,54764000,50814000,45656000,40553000
28,Weighted Average Shares Outstanding Diluted,2875000,5378788,6035000,11447000,18288000,22439000,28790000,32767000,35205000,35821000,52944000,75774000,75774000,75738000,70019000,66822000,61931000,59409000,57476000,57285000,57022000,55888000,54764000,50814000,45656000,40553000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1002590/000095010996007614/0000950109-96-007614-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000094018097001082/0000940180-97-001082-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1002590/000095013002008691/0000950130-02-008691-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312503098171/0001193125-03-098171-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312504212581/0001193125-04-212581-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312505241373/d10k.htm,https://www.sec.gov/Archives/edgar/data/1002590/000119312507007246/d10k.htm,https://www.sec.gov/Archives/edgar/data/1002590/000119312507260790/0001193125-07-260790-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312508251288/0001193125-08-251288-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312509249998/0001193125-09-249998-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312510277488/0001193125-10-277488-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312511333567/0001193125-11-333567-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312512496931/0001193125-12-496931-index.html,- -,https://www.sec.gov/Archives/edgar/data/1002590/000119312514439000/0001193125-14-439000-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312515398913/0001193125-15-398913-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312516787480/0001193125-16-787480-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312517362837/0001193125-17-362837-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000156459018030539/0001564590-18-030539-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000156459019045389/0001564590-19-045389-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000156459020056309/0001564590-20-056309-index.htm,https://www.sec.gov/Archives/edgar/data/1002590/000156459021059752/0001564590-21-059752-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,900000,1100000,4500000,10910000,17228000,61481000,10111000,16058000,99148000,91121000,112886000,178808000,195160000,61062000,86789000,108091000,85057000,48999000,100508000,139188000,52458000,14531000,4899000,56911000,4767000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1100000,900000,1100000,4500000,10910000,17228000,61481000,10111000,16058000,99148000,91121000,112886000,178808000,195160000,61062000,86789000,108091000,85057000,48999000,100508000,139188000,52458000,14531000,4899000,56911000,4767000
34,Net Receivables,7200000,5700000,5300000,42300000,66858000,104973000,83452000,105639000,103432000,89703000,87393000,78923000,95691000,58854000,70443000,92967000,88267000,96124000,123800000,89230000,78650000,96603000,132668000,120245000,83594000,99680000
35,Inventory,8500000,6600000,10600000,26300000,34407000,41130000,39453000,42391000,47624000,52461000,75859000,85968000,44759000,62636000,66734000,80536000,47465000,68150000,59240000,55671000,45894000,59596000,56377000,64788000,50256000,61183000
36,Other Current Assets,1000000,1000000,900000,13800000,14815000,21931000,37815000,52968000,67057000,70120000,41507000,42726000,25041000,60248000,48624000,39125000,57696000,56549000,64426000,63902000,31126000,32584000,53161000,36898000,35584000,56362000
37,Total Current Assets,17800000,14200000,17900000,86900000,126990000,185262000,222201000,211109000,234171000,311432000,295880000,320503000,344299000,376898000,246863000,299417000,301519000,305880000,296465000,309311000,294858000,241241000,256737000,226830000,226345000,221992000
38,PP&E,97700000,95300000,110300000,155000000,171300000,235371000,241892000,262301000,247524000,50022000,42377000,41721000,38829000,37494000,44712000,47131000,52608000,51323000,67419000,68123000,70410000,79673000,87618000,98239000,193271000,194962000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166522000,181496000,182011000,182942000,199052000,199296000,201103000,201130000,209331000,211045000,212760000,225915000,228436000,244574000,240327000,253398000
40,Intangible Assets,41300000,38000000,51400000,291900000,313404000,471434000,473001000,480641000,456376000,248867000,61007000,48468000,30861000,20468000,58894000,52348000,74712000,66790000,100783000,107317000,97656000,105218000,98444000,107688000,90293000,95474000
41,Intangible Assets,41300000,38000000,51400000,291900000,313404000,471434000,473001000,480641000,456376000,248867000,227529000,229964000,212872000,203410000,257946000,251644000,275815000,267920000,310114000,318362000,310416000,331133000,326880000,352262000,330620000,348872000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11777000,45419000,58490000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36265000,26551000,17646000,- -,- -,- -,- -,5353000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,- -,- -,5500000,7282000,6752000,6672000,21559000,22905000,18940000,15422000,9916000,9433000,10059000,6436000,10291000,9405000,7381000,11109000,11236000,11933000,10093000,13317000,16885000,88380000,88037000
45,Total Non-Current Assets,139100000,133300000,161700000,452400000,491986000,713557000,721565000,764501000,726805000,317829000,285328000,281601000,261134000,287228000,335645000,326712000,337828000,326624000,388642000,397721000,398112000,432676000,473234000,525876000,612271000,631871000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,156900000,147500000,179600000,539300000,618976000,898819000,943766000,975610000,960976000,629261000,581208000,602104000,605433000,664126000,582508000,626129000,639347000,632504000,685107000,707032000,692970000,673917000,729971000,752706000,838616000,853863000
48,Accounts Payable,2000000,3200000,3100000,12900000,27874000,35800000,20360000,31026000,35940000,19780000,21544000,18797000,16887000,17103000,16626000,18569000,22583000,18681000,21644000,25322000,25690000,26739000,35796000,33973000,30827000,37291000
49,Short-Term Debt,2400000,- -,5500000,4500000,40915000,25752000,98308000,34847000,32418000,7358000,96000,- -,- -,- -,- -,- -,- -,- -,- -,10000000,16200000,10000000,9000000,33000000,13000000,42685000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,30549000,32036000,36768000,36602000,36634000,37219000,39085000,111274000,108872000,40903000,40799000,110804000,116496000,122626000,141892000,126856000,121956000,129483000,141901000,143800000
52,Other Current Liabilities,5900000,7600000,9300000,88200000,96007000,167460000,140027000,160755000,157330000,121867000,150304000,141865000,157266000,65111000,70440000,146964000,164947000,91141000,115292000,120564000,106140000,108738000,116436000,129101000,159127000,121221000
53,Total Current Liabilities,10300000,10800000,17900000,105600000,164796000,229012000,289244000,258664000,262456000,185607000,208578000,197881000,213238000,193488000,195938000,206436000,228329000,220626000,253432000,278512000,289922000,272333000,283188000,325557000,344855000,344997000
54,Long-Term Debt,85000000,85000000,104300000,276600000,310414000,457086000,396733000,499341000,503668000,267417000,174056000,173941000,173752000,133112000,82770000,124263000,124357000,124460000,124572000,90000000,76300000,65717000,91780000,120447000,109805000,176404000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8436000,19292000,25181000,21524000,- -,6140000,21206000,20116000,17227000,29014000
57,Other Non-Current Liabilities,200000,100000,100000,6900000,4588000,14457000,25525000,27829000,25081000,31129000,25249000,13951000,18466000,31192000,23889000,22797000,18080000,8845000,8677000,27110000,25255000,23659000,24012000,25746000,110909000,25244000
58,Total Non-Current Liabilities,85200000,85100000,104400000,283500000,315002000,471543000,422258000,527170000,528749000,298546000,199305000,187892000,192218000,164304000,106659000,147060000,150873000,152597000,158430000,138634000,101555000,95516000,136998000,166309000,237941000,230662000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105047000,100465000
61,Total Liabilities,95500000,95900000,122300000,389100000,479798000,700555000,711502000,785834000,791205000,484153000,407883000,385773000,405456000,357792000,302597000,353496000,379202000,373223000,411862000,417146000,391477000,367849000,420186000,491866000,582796000,575659000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,134672000,209911000,243091000,210636000,167367000,144312000,194818000,232895000,219358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,-1584000,-2220000,-10827000,-17721000,12874000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-12500000,-19400000,-26900000,-37700000,-50684000,-67062000,-89270000,-112794000,-136715000,-70822000,-21000000,-16000000,-19000000,-26000000,-27000000,-27000000,-27000000,-23011000,-24000000,-23000000,-21000000,-19000000,-18000000,-17000000,-15000000,-14038000
66,Other Total Stockholders Equity,73900000,71000000,84200000,187900000,56774000,57635000,89270000,109655000,126245000,71618000,-493000,-564000,-381000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,61400000,51600000,57300000,150200000,139178000,198264000,232264000,189776000,169771000,145108000,173325000,216331000,199977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,156900000,147500000,179600000,539300000,618976000,898819000,943766000,975610000,960976000,629261000,581208000,602104000,605433000,357792000,302597000,353496000,379202000,373223000,411862000,417146000,391477000,367849000,420186000,491866000,582796000,575659000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306334000,279911000,272633000,260145000,259281000,273245000,289886000,301493000,306068000,309785000,260840000,255820000,278204000
70,Total Liabilities & Equity,156900000,147500000,179600000,539300000,618976000,898819000,943766000,975610000,960976000,629261000,581208000,602104000,605433000,664126000,582508000,626129000,639347000,632504000,685107000,707032000,692970000,673917000,729971000,752706000,838616000,853863000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1002590/000095010996007614/0000950109-96-007614-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000094018097001082/0000940180-97-001082-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1002590/000095013002008691/0000950130-02-008691-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312503098171/0001193125-03-098171-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312504212581/0001193125-04-212581-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312505241373/d10k.htm,https://www.sec.gov/Archives/edgar/data/1002590/000119312507007246/d10k.htm,https://www.sec.gov/Archives/edgar/data/1002590/000119312507260790/0001193125-07-260790-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312508251288/0001193125-08-251288-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312509249998/0001193125-09-249998-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312510277488/0001193125-10-277488-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312511333567/0001193125-11-333567-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312512496931/0001193125-12-496931-index.html,- -,https://www.sec.gov/Archives/edgar/data/1002590/000119312514439000/0001193125-14-439000-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312515398913/0001193125-15-398913-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312516787480/0001193125-16-787480-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000119312517362837/0001193125-17-362837-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000156459018030539/0001564590-18-030539-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000156459019045389/0001564590-19-045389-index.html,https://www.sec.gov/Archives/edgar/data/1002590/000156459020056309/0001564590-20-056309-index.htm,https://www.sec.gov/Archives/edgar/data/1002590/000156459021059752/0001564590-21-059752-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2600000,2000000,-1000000,-29600000,1353000,-5249000,-11169000,212000,-5863000,-25928000,-54263000,38241000,-13408000,131038000,28320000,24344000,25989000,27896000,32889000,34238000,40400000,25986000,49165000,17637000,49106000,87737000
74,Depreciation and Amortization,9800000,10400000,11600000,23000000,35242000,45133000,60496000,55392000,60989000,38020000,34853000,31277000,29123000,22157000,18425000,20324000,18029000,19047000,23237000,26748000,27777000,29163000,32863000,33933000,35622000,34457000
75,Deferred Income Tax,- -,- -,- -,-14900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61355000,13331000,15831000,12913000,1676000,658000,-4101000,9670000,10134000,14685000,-5126000,-3544000,11361000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-2900000,-4100000,-3400000,-18700000,-19106000,-5944000,-23293000,19488000,19270000,154110000,-38523000,35320000,8439000,52349000,-132485000,42056000,-19791000,12064000,-42221000,-12234000,-25863000,-36028000,4641000,-72276000,-19783000,-28292000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14074000,12771000,30141000,10965000,-19844000,-37149000,10137000,- -,- -
79,Inventory,-2300000,1900000,-3700000,-2000000,-6272000,-3824000,2805000,-224000,-8613000,-18248000,-23830000,-8222000,41368000,-17747000,-2012000,-13189000,34335000,-20664000,14057000,4326000,9979000,-10598000,4177000,-6306000,14588000,-11472000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216000,-1784000,1943000,3372000,-4555000,-8091000,3189000,-705000,2169000,9703000,-2918000,-3199000,6939000
81,Other Working Capital,7500000,3400000,- -,-18700000,-37806000,-43750000,-67043000,-47555000,-28285000,125825000,87302000,122622000,131061000,183410000,50925000,92981000,73190000,85254000,43033000,30799000,4936000,-31092000,-26451000,-98727000,-118510000,3054000
82,Other Non-Cash Items,500000,10700000,2100000,51000000,2875000,29204000,39421000,-17871000,-8556000,-232483000,76297000,-53723000,47401000,-65734000,116838000,-63153000,68688000,-42191000,80592000,92202000,49973000,-8197000,-43894000,123214000,114267000,-36386000
83,Cash Provided by Operating Activities,10000000,19000000,9300000,10800000,20364000,63144000,65455000,57221000,65840000,-66281000,18364000,51115000,71555000,78455000,44429000,39402000,105828000,18492000,95155000,136853000,101957000,21058000,57460000,97382000,175668000,68877000
84,CAPEX,-5300000,-5300000,-15400000,-22400000,-7560000,-17687000,-15070000,-18473000,-9424000,-3153000,-5433000,-4850000,-4145000,-4334000,-5567000,-6361000,-5803000,-5994000,-9112000,-9555000,-10134000,-12164000,-13590000,-11301000,-14127000,-15083000
85,Acquisitions Net,- -,- -,- -,- -,-59624000,-239043000,-49224000,-84391000,-17471000,- -,- -,-26352000,-1876000,-3393000,-68658000,-9659000,-39217000,-1376000,-98463000,-21130000,-9815000,-43304000,-16923000,-60904000,-4228000,-40708000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11647000,-35242000,-11058000,-10417000,-1052000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1700000,400000,2100000,19400000,2012000,596000,1882000,1707000,14746000,470584000,2162000,1948000,533000,-4175000,-5298000,-6269000,-5300000,-5584000,-8855000,-9255000,-9816000,-11430000,-13087000,-10204000,-13496000,-8566000
89,Cash Used for Investing Activites,-7000000,-4900000,-13300000,-3000000,-65172000,-256134000,-62412000,-101157000,-12149000,467431000,-3271000,-29254000,-5488000,-7568000,-73956000,-15928000,-44517000,-6960000,-107318000,-30385000,-19631000,-66381000,-65252000,-82166000,-28141000,-50326000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30230000,-87608000,-170915000,-86252000,-111542000,-195482000,-137296000,-7500000,-16200000,-236404000,-86831000,-250702000,-79536000
91,Common Stock Issued,55900000,- -,16100000,136100000,22611000,123846000,100244000,34180000,34996000,- -,50174000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-8600000,- -,- -,-11700000,- -,- -,- -,-8917000,- -,- -,- -,- -,- -,-2336000,-33234000,-10949000,-19648000,-15217000,-1663000,-691000,-12017000,- -,-26714000,-51353000,-38431000,-42824000
93,Dividends Paid,-27600000,-11800000,-13400000,-19600000,-35611000,-50631000,- -,-72592000,-79819000,- -,- -,- -,- -,-15411000,-20353000,-20677000,-19525000,-19313000,-19850000,-21298000,-23092000,-24322000,-25603000,-25593000,-24451000,-23448000
94,Other Financing Activites,-22300000,-2500000,1500000,-109200000,64226000,126093000,-59034000,39895000,-2854000,-306694000,-73294000,-96000,-145000,-6558000,36624000,204794000,85416000,111506000,193100000,104326000,-1037000,-635000,258586000,138929000,218069000,75113000
95,Cash Used/Provided by Financing Activities,-2600000,-14300000,4200000,-4400000,51226000,199308000,41210000,-7434000,-47677000,-306694000,-23120000,-96000,-145000,-54535000,-104571000,2253000,-40009000,-34566000,-23895000,-54959000,-43646000,-41157000,-30135000,-24848000,-95515000,-70695000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2600000,-14300000,4200000,3400000,6418000,6318000,44253000,-51370000,6014000,94456000,-8027000,21765000,65922000,16352000,-134098000,25727000,21302000,-23034000,-36058000,51509000,38680000,-86480000,-37927000,-9632000,52012000,-52144000
98,Cash at the End of Period,- -,- -,- -,4500000,10910000,17228000,61481000,10111000,16058000,99148000,91121000,112886000,178808000,195160000,61062000,86789000,108091000,85057000,48999000,100508000,139188000,52708000,14781000,5149000,57161000,5017000
99,Cash at the Beginning of Period,700000,1100000,900000,1100000,4492000,10910000,17228000,61481000,10044000,4692000,99148000,91121000,112886000,178808000,195160000,61062000,86789000,108091000,85057000,48999000,100508000,139188000,52708000,14781000,5149000,57161000
100,Free Cash Flow,4700000,13700000,-6100000,-11600000,12804000,45457000,50385000,38748000,56416000,-69434000,12931000,46265000,67410000,74121000,38862000,33041000,100025000,12498000,86043000,127298000,91823000,8894000,43870000,86081000,161541000,53794000
