,https://roic.ai/company/TEX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,5700000,14900000,21900000,39400000,50200000,-37300000,-26200000,-29200000,10800000,24900000,5100000,68500000,119900000,175700000,194800000,100400000,68600000,73500000,214600000,375000000,709500000,961400000,402600000,-459900000,-73800000,81200000,398600000,419100000,423100000,355200000,-147800000,173600000,293300000,335000000,68400000,328000000
18,Operating Income ratio,0.1743,0.0744,0.0637,0.0498,0.0491,-0.0476,-0.0259,-0.0436,0.0137,0.0242,0.0075,0.0813,0.0972,0.0946,0.0942,0.0554,0.0245,0.0189,0.0428,0.0588,0.0928,0.1052,0.0407,-0.1137,-0.0167,0.0125,0.0542,0.0592,0.0579,0.0543,-0.0333,0.0398,0.0572,0.0770,0.0222,0.0844
19,Total Other Income Expenses (Gains),1000000,-3700000,-7600000,-18200000,-32300000,4800000,-38000000,-35700000,-8800000,-13100000,-47300000,-37500000,-45400000,-77300000,-35200000,-75800000,-94400000,-108800000,-67200000,-85200000,-94800000,-42100000,-88500000,-121800000,-164500000,3300000,-243000000,-127800000,-125900000,-128600000,-122900000,-61600000,-144600000,-87500000,-57400000,-64200000
20,Income Before Tax,6700000,11200000,14300000,21200000,17900000,-32500000,-64200000,-64900000,2000000,- -,-42200000,31000000,74500000,98400000,159600000,24600000,-25800000,-35300000,147400000,289800000,614700000,919300000,314100000,-581700000,-238300000,84500000,155600000,291300000,297200000,226600000,-270700000,112000000,148700000,247500000,11000000,263800000
21,Income Before Tax Ratio,0.2049,0.0559,0.0416,0.0268,0.0175,-0.0414,-0.0634,-0.0968,0.0025,- -,-0.0622,0.0368,0.0604,0.0530,0.0771,0.0136,-0.0092,-0.0091,0.0294,0.0454,0.0804,0.1006,0.0318,-0.1439,-0.0539,0.0130,0.0212,0.0411,0.0407,0.0346,-0.0609,0.0257,0.0290,0.0569,0.0036,0.0679
22,Income Tax expense (Gain),3300000,400000,1100000,2400000,2400000,900000,-3100000,200000,800000,- -,12100000,700000,1700000,-74500000,55700000,7900000,-8300000,-9800000,-176700000,101300000,218200000,305400000,242200000,-132100000,-26800000,50400000,54200000,87400000,37700000,81000000,-77400000,52000000,37400000,37800000,-2000000,46300000
23,Net Income,3400000,10800000,13200000,18800000,15500000,-33400000,-61100000,-66600000,500000,-35200000,47700000,15500000,34500000,172900000,95100000,12800000,-132500000,-25500000,324100000,188500000,400500000,613900000,71900000,-398400000,358500000,45200000,105800000,226000000,319000000,145900000,-176100000,128700000,113700000,54400000,-10000000,220900000
24,Net Income ratio,0.1040,0.0539,0.0384,0.0238,0.0151,-0.0426,-0.0604,-0.0994,0.0006,-0.0342,0.0703,0.0184,0.0280,0.0931,0.0460,0.0071,-0.0474,-0.0065,0.0646,0.0295,0.0524,0.0672,0.0073,-0.0985,0.0811,0.0069,0.0144,0.0319,0.0436,0.0223,-0.0396,0.0295,0.0222,0.0125,-0.0033,0.0568
25,EPS,0.10,0.28,0.29,0.38,0.39,-0.84,-1.53,-1.68,-0.27,-2.04,0.93,0.33,0.83,3.57,1.75,0.23,-1.53,-0.27,3.30,1.90,3.97,6.00,0.73,-3.88,3.30,0.41,0.96,2.03,2.91,1.36,-1.63,1.39,1.51,0.77,-0.15,3.17
26,EPS Diluted,0.10,0.28,0.29,0.38,0.39,-0.84,-1.53,-1.68,-0.27,-2.04,0.93,0.30,0.77,3.38,1.71,0.22,-1.53,-0.27,3.17,1.84,3.88,5.85,0.72,-3.88,3.30,0.41,0.93,1.93,2.79,1.33,-1.63,1.36,1.48,0.76,-0.15,3.15
27,Weighted Average Shares Outstanding,17310000,17310000,19424000,19486000,19786000,19846000,19890000,20606000,20606000,20800000,26600000,32400000,41400000,48400000,54400000,56200000,86400000,95400000,98200000,99400000,100700000,102400000,98100000,102600000,108700000,109500000,110300000,111100000,109700000,107400000,107900000,92800000,75400000,71100000,69600000,69600000
28,Weighted Average Shares Outstanding Diluted,17310000,17310000,19424000,19486000,19786000,19846000,19890000,20606000,41212000,20800000,26600000,35400000,44800000,51200000,55800000,57800000,86400000,95400000,102200000,102200000,103000000,104900000,99700000,102600000,108700000,110700000,113900000,117000000,114200000,109600000,107900000,94900000,76900000,71800000,70100000,70100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97216/000112528206001131/0001125282-06-001131-index.html,https://www.sec.gov/Archives/edgar/data/97216/000093041307001796/c47041.htm,https://www.sec.gov/Archives/edgar/data/97216/000114420408012125/v105140_10k.htm,https://www.sec.gov/Archives/edgar/data/97216/000114420409011131/0001144204-09-011131-index.html,https://www.sec.gov/Archives/edgar/data/97216/000110465910009153/0001104659-10-009153-index.html,- -,https://www.sec.gov/Archives/edgar/data/97216/000009721612000047/0000097216-12-000047-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721613000040/0000097216-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721614000027/tex201310-k.htm,https://www.sec.gov/Archives/edgar/data/97216/000009721615000030/tex201410-k.htm,https://www.sec.gov/Archives/edgar/data/97216/000009721616000245/0000097216-16-000245-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721617000029/0000097216-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721618000024/0000097216-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721619000024/0000097216-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721620000027/0000097216-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721621000030/0000097216-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/97216/000009721622000009/0000097216-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7600000,28900000,33500000,37400000,5500000,13400000,28700000,9200000,9700000,7800000,72000000,28700000,25100000,133300000,181400000,250400000,352200000,467500000,418800000,553600000,676700000,1272400000,484400000,929500000,894200000,774100000,678000000,408100000,478200000,466500000,428500000,626500000,368000000,535100000,665000000,266900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,521400000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7600000,28900000,33500000,37400000,5500000,13400000,28700000,9200000,9700000,7800000,72000000,28700000,25100000,133300000,181400000,250400000,352200000,467500000,418800000,553600000,676700000,1272400000,484400000,929500000,1415600000,777100000,678000000,408100000,478200000,466500000,428500000,626500000,368000000,535100000,665000000,266900000
34,Net Receivables,11600000,41800000,65200000,106500000,111900000,86000000,119300000,74000000,91700000,127100000,110300000,139300000,249800000,429200000,360200000,351100000,578600000,540200000,683600000,735000000,950500000,1195800000,967500000,610000000,782500000,1178100000,1077700000,1176800000,1086400000,939200000,512500000,579900000,659900000,401900000,381200000,507700000
35,Inventory,64000000,117500000,152600000,312800000,332500000,251800000,252000000,163800000,164200000,249300000,190600000,232100000,472800000,665600000,598100000,704800000,1106300000,1009700000,1281300000,1318200000,1502000000,1934300000,2234800000,1418500000,1448700000,1758100000,1715600000,1613200000,1460900000,1445700000,853800000,969600000,1212000000,847700000,610400000,813500000
36,Other Current Assets,7700000,2400000,3300000,38000000,4900000,34000000,22000000,10300000,12600000,42000000,17300000,26400000,23900000,87200000,102700000,76700000,184000000,176600000,263400000,296700000,303600000,374400000,354200000,956600000,322100000,300200000,326100000,441300000,330700000,292800000,905700000,207000000,183100000,235000000,222000000,179700000
37,Total Current Assets,90900000,190600000,254600000,494700000,454800000,385200000,422000000,257300000,278200000,426200000,390200000,426500000,771600000,1315300000,1242400000,1383000000,2221100000,2194000000,2647100000,2903500000,3432800000,4776900000,4040900000,3914600000,3968900000,4013500000,3797400000,3639400000,3356200000,3144200000,2700500000,2383000000,2423000000,2019700000,1878600000,1767800000
38,PP&E,4900000,21900000,27300000,109200000,137600000,121000000,182500000,97500000,86200000,101300000,31700000,47800000,99500000,172800000,153900000,173900000,309400000,370100000,362600000,329900000,338500000,419400000,481500000,629900000,573500000,835500000,813300000,789400000,690300000,675800000,304600000,311000000,345600000,389400000,406600000,429600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555700000,632800000,699000000,457000000,511100000,492900000,1258800000,1245300000,1245600000,1131000000,1023200000,259700000,273600000,265200000,269900000,275400000,280100000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,65800000,32400000,88400000,240900000,554700000,491400000,620100000,622900000,603500000,667100000,- -,- -,- -,- -,- -,- -,519500000,474400000,444800000,325400000,249500000,18400000,13800000,13200000,9700000,8300000,13400000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,65800000,32400000,88400000,240900000,554700000,491400000,620100000,622900000,603500000,667100000,555700000,632800000,699000000,457000000,511100000,492900000,1778300000,1719700000,1690400000,1456400000,1272700000,278100000,287400000,278400000,279600000,283700000,293500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75400000,153500000,238900000,226000000,159800000,172500000,143100000,84500000,153400000,90500000,70200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,5300000,9200000,74400000,113600000,91300000,149500000,35900000,37200000,33600000,16900000,25800000,39200000,134700000,96000000,134600000,318800000,317300000,276300000,251400000,209300000,277900000,381500000,504800000,390600000,353200000,415800000,417500000,425100000,544400000,1723600000,481100000,438900000,506900000,462900000,372600000
45,Total Non-Current Assets,5200000,27200000,36500000,183600000,251200000,212300000,332000000,133400000,123400000,200700000,81000000,162000000,379600000,862200000,741300000,1004000000,1404600000,1529800000,1532000000,1296800000,1353100000,1539400000,1404500000,1799200000,1547500000,3037200000,2948800000,2897300000,2571800000,2492900000,2306300000,1079500000,1062900000,1175900000,1153200000,1095700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,96100000,217800000,291100000,678300000,706000000,597500000,754000000,390700000,401600000,626900000,471200000,588500000,1151200000,2177500000,1983700000,2387000000,3625700000,3723800000,4179100000,4200300000,4785900000,6316300000,5445400000,5713800000,5516400000,7050700000,6746200000,6536700000,5928000000,5637100000,5006800000,3462500000,3485900000,3195600000,3031800000,2863500000
48,Accounts Payable,- -,- -,- -,- -,73200000,83600000,138600000,85400000,112200000,161000000,104400000,138100000,226900000,297000000,311200000,291000000,542900000,608600000,895800000,913400000,1034300000,1212900000,983900000,540900000,570000000,764600000,635500000,689100000,736100000,737700000,522700000,592400000,788200000,508100000,369900000,537700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,27900000,9100000,19200000,26600000,44700000,57600000,20500000,34700000,74100000,86800000,84600000,48100000,227000000,32500000,39400000,73700000,346800000,77000000,83800000,86800000,152500000,80200000,13800000,5200000,4700000,6900000,7600000,5600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186800000,185300000,83500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95800000,223200000,312900000,302100000,197400000,142700000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,46100000,82100000,102000000,227200000,113300000,134500000,280100000,102400000,81500000,124600000,71400000,71400000,153800000,224900000,243900000,301400000,489200000,464000000,549100000,563100000,765900000,929900000,801300000,940100000,661600000,826900000,676600000,646700000,557100000,498000000,870500000,437900000,421800000,357400000,345800000,366600000
53,Total Current Liabilities,46100000,82100000,102000000,227200000,186500000,218100000,418700000,187800000,221600000,294700000,195000000,236100000,425400000,579500000,575600000,627100000,1106200000,1159400000,1529500000,1524600000,2027200000,2175300000,1824600000,1554700000,1674200000,1891700000,1708800000,1724700000,1643100000,1458600000,1407000000,1035500000,1214700000,872400000,723300000,909900000
54,Long-Term Debt,19300000,79500000,111300000,276000000,259100000,189300000,208300000,195300000,163000000,328400000,262100000,273500000,586600000,1098800000,882000000,1020700000,1487100000,1274800000,1114200000,1075800000,536100000,1319500000,1396400000,1892700000,1339500000,2223400000,2014900000,1889900000,1636300000,1751000000,1562000000,979600000,1214700000,1168800000,1166200000,668500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,11100000,10700000,9300000,92200000,145700000,90100000,135800000,59400000,55400000,68600000,29600000,18700000,41100000,66400000,74600000,143800000,263200000,412900000,400200000,438900000,471600000,478300000,502700000,592000000,391300000,751100000,991200000,707300000,609500000,515500000,516600000,224900000,195500000,222100000,220800000,175500000
58,Total Non-Current Liabilities,30400000,90200000,120600000,368200000,404800000,279400000,344100000,254700000,218400000,397000000,291700000,292200000,627700000,1165200000,956600000,1164500000,1750300000,1687700000,1514400000,1514700000,1007700000,1797800000,1899100000,2484700000,1730800000,2974500000,3006100000,2597200000,2245800000,2266500000,2078600000,1204500000,1410200000,1390900000,1387000000,844000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,76500000,172300000,222600000,595400000,591300000,497500000,762800000,442500000,440000000,691700000,486700000,528300000,1053100000,1744700000,1532200000,1791600000,2856500000,2847100000,3043900000,3039300000,3034900000,3973100000,3723700000,4039400000,3405000000,4866200000,4714900000,4321900000,3888900000,3725100000,3485600000,2240000000,2624900000,2263300000,2110300000,1753900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,300000,400000,500000,500000,500000,500000,1000000,1100000,1100000,1200000,1200000,1200000,1200000,1200000,1200000,1300000,1300000,1300000,800000,800000,900000,900000
64,Retained Earnings,6000000,16800000,30000000,48400000,63400000,29400000,-40100000,-102900000,-108400000,-150900000,-126100000,-115400000,-80900000,92000000,187100000,199900000,67400000,41900000,118900000,307400000,707300000,1284700000,1356600000,958200000,1316700000,1361900000,1467700000,1688100000,1984900000,2104600000,1897900000,1995900000,749000000,771400000,750300000,936900000
65,Other Comprehensive Income/Loss,-6900000,-9200000,-11700000,-17500000,-19300000,-35900000,-43400000,-30200000,-37800000,-52600000,-33700000,-35200000,-49500000,-60200000,-73400000,-82800000,-53600000,57000000,206500000,26200000,155200000,256600000,-82300000,36000000,100400000,-129400000,-124100000,-116500000,-429800000,-649600000,-779400000,-239500000,-284800000,-257500000,-208400000,-228500000
66,Other Total Stockholders Equity,20500000,37900000,50200000,52000000,70600000,75900000,74700000,81300000,107800000,138700000,144300000,210200000,228500000,400700000,337500000,477900000,754900000,777300000,809300000,826900000,887500000,800800000,446300000,654800000,- -,672700000,662900000,617300000,449600000,421100000,364900000,-535700000,395500000,417600000,378700000,- -
67,Total Stockholders Equity,19600000,45500000,68500000,82900000,114700000,69400000,-8800000,-51800000,-38400000,-64800000,-15500000,59600000,98100000,432800000,451500000,595400000,769200000,876700000,1135200000,1161000000,1751000000,2343200000,1721700000,1650200000,2083200000,1906400000,2007700000,2190100000,2005900000,1877400000,1484700000,1222000000,860500000,932300000,921500000,1109600000
68,Total Liabilities And Stockholders Equity,96100000,217800000,291100000,678300000,706000000,566900000,754000000,390700000,401600000,626900000,471200000,587900000,1151200000,2177500000,1983700000,2387000000,3625700000,3723800000,4179100000,4200300000,4785900000,6316300000,5445400000,5689600000,5488200000,6772600000,6722600000,6512000000,5894800000,5602500000,4970300000,3462000000,3485400000,3195600000,3031800000,2863500000
69,Minority Interest,- -,- -,- -,- -,- -,30600000,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24200000,28200000,278100000,23600000,24700000,33200000,34600000,36500000,500000,500000,- -,- -,- -
70,Total Liabilities & Equity,96100000,217800000,291100000,678300000,706000000,597500000,754000000,390700000,401600000,626900000,471200000,588500000,1151200000,2177500000,1983700000,2387000000,3625700000,3723800000,4179100000,4200300000,4785900000,6316300000,5445400000,5713800000,5516400000,7050700000,6746200000,6536700000,5928000000,5637100000,5006800000,3462500000,3485900000,3195600000,3031800000,2863500000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97216/000112528206001131/0001125282-06-001131-index.html,https://www.sec.gov/Archives/edgar/data/97216/000093041307001796/c47041.htm,https://www.sec.gov/Archives/edgar/data/97216/000114420408012125/v105140_10k.htm,https://www.sec.gov/Archives/edgar/data/97216/000114420409011131/0001144204-09-011131-index.html,https://www.sec.gov/Archives/edgar/data/97216/000110465910009153/0001104659-10-009153-index.html,- -,https://www.sec.gov/Archives/edgar/data/97216/000009721612000047/0000097216-12-000047-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721613000040/0000097216-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721614000027/tex201310-k.htm,https://www.sec.gov/Archives/edgar/data/97216/000009721615000030/tex201410-k.htm,https://www.sec.gov/Archives/edgar/data/97216/000009721616000245/0000097216-16-000245-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721617000029/0000097216-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721618000024/0000097216-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721619000024/0000097216-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721620000027/0000097216-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/97216/000009721621000030/0000097216-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/97216/000009721622000009/0000097216-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,15500000,-33400000,-61100000,-66600000,500000,-35200000,47700000,15500000,34500000,172900000,95100000,12800000,-132500000,-25500000,324100000,188500000,400500000,613900000,71900000,-398400000,358500000,45200000,105800000,226000000,319000000,145900000,-176100000,128700000,113700000,54400000,-10000000,220900000
74,Depreciation and Amortization,- -,- -,- -,- -,17700000,15600000,18700000,22400000,17100000,27700000,13700000,14300000,18400000,32200000,41500000,40300000,45000000,70400000,65600000,75600000,73000000,76200000,97700000,96800000,104800000,126600000,153000000,152300000,155700000,128200000,96700000,66500000,59700000,49600000,49700000,50200000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33800000,- -,- -,-82800000,33500000,10700000,-35200000,-31800000,-203900000,19100000,65900000,2800000,20500000,-145000000,108000000,-2000000,-25200000,-2300000,-17800000,-2600000,-137600000,37600000,-9100000,-17600000,5600000,1200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58200000,31800000,34900000,23400000,29100000,43900000,46500000,38500000,37800000,38500000,36700000,43100000,23800000,33100000
77,Change in Working Capital,- -,- -,- -,- -,-50000000,-101200000,-163800000,66200000,-12900000,74900000,63700000,-4800000,155800000,389600000,-69000000,89100000,359000000,-80300000,83000000,261300000,26700000,1196000000,-385300000,143600000,-65200000,-172900000,-33200000,-173900000,-201600000,-27500000,-392100000,54000000,-139200000,-61000000,8000000,-54800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143600000,321000000,-201800000,-181200000,122500000,-153100000,-4200000,74100000,33000000,-500000,-107900000,176100000,16100000,-139000000
79,Inventory,- -,- -,- -,- -,22100000,45600000,92900000,30300000,100000,-10600000,-12700000,-11500000,-106100000,-48100000,43600000,-19600000,-52700000,189000000,-158300000,-128300000,-168500000,-326300000,-404900000,537700000,-153600000,-26100000,-55000000,-70400000,-27100000,-90600000,97300000,-33500000,-284200000,20300000,261600000,-229500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-137500000,-428800000,36100000,64600000,-126300000,86900000,85800000,41700000,-21000000,25000000,213200000,-220100000,-156900000,173000000
81,Other Working Capital,- -,- -,- -,- -,268300000,167100000,3300000,69500000,56600000,131500000,195200000,190400000,346200000,735800000,666800000,755900000,1114900000,1034600000,1117600000,1378900000,1405600000,2601600000,2216300000,2359900000,2294700000,2121800000,2088600000,1914700000,1713100000,1685600000,1293500000,1347500000,1208300000,1147300000,1155300000,140700000
