,https://roic.ai/company/SANM,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897723/0000891618-97-005030-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897723/000089161801502766/0000891618-01-502766-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089161802005406/f86269e10vk.htm,https://www.sec.gov/Archives/edgar/data/897723/000089161803006226/f94972e10vk.htm,https://www.sec.gov/Archives/edgar/data/897723/000104746904038573/a2147074z10-k.htm,https://www.sec.gov/Archives/edgar/data/897723/000110465905063029/a05-21815_410k.htm,https://www.sec.gov/Archives/edgar/data/897723/000110465907000416/a06-25805_310k.htm,https://www.sec.gov/Archives/edgar/data/897723/000104746907009573/0001047469-07-009573-index.html,https://www.sec.gov/Archives/edgar/data/897723/000104746908012528/0001047469-08-012528-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772309000007/0000897723-09-000007-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772310000011/0000897723-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772311000023/0000897723-11-000023-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772312000027/0000897723-12-000027-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772313000023/0000897723-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772314000022/0000897723-14-000022-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772315000026/0000897723-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772316000049/0000897723-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772317000029/0000897723-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772318000031/0000897723-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772319000034/0000897723-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772320000034/0000897723-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/897723/000089772321000028/0000897723-21-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1200000,3800000,600000,14700000,107300000,29600000,41400000,75300000,454600000,992842000,1388400000,1163700000,1083000000,1128700000,1125300000,491829000,933400000,869800000,899200000,592800000,640300000,409600000,402800000,466600000,412253000,398288000,406661000,419528000,454741000,480526000,650026000
32,Short-Term Investments,- -,- -,- -,- -,- -,85400000,80800000,77300000,- -,265308000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1200000,3800000,600000,14700000,107300000,115000000,122200000,152600000,454600000,1258150000,1388400000,1163700000,1083000000,1128700000,1125300000,491829000,933400000,869800000,899200000,592800000,640300000,409600000,402800000,466600000,412253000,398288000,406661000,419528000,454741000,480526000,650026000
34,Net Receivables,8900000,9800000,11200000,16900000,23800000,30400000,51300000,96900000,191100000,644236000,503000000,1428100000,1576400000,1669000000,1477400000,1526373000,1218400000,969600000,668500000,1018600000,1014100000,1001500000,944800000,979500000,936952000,973680000,1110334000,1177219000,1524679000,1439917000,1541175000
35,Inventory,7900000,5800000,9700000,10300000,19500000,32100000,49500000,69000000,206300000,572102000,503800000,1123000000,977800000,1064500000,1015000000,1318400000,1059900000,813400000,761400000,844300000,891300000,826500000,781600000,893200000,918728000,946239000,1051669000,1374004000,900557000,861281000,1036511000
36,Other Current Assets,2200000,2100000,1900000,13900000,11900000,7800000,11300000,23800000,33200000,110777000,188100000,444200000,531300000,400400000,129500000,154401000,203800000,143500000,146900000,134300000,83500000,88700000,75400000,111700000,55047000,57445000,47586000,43676000,40952000,37718000,53952000
37,Total Current Assets,20200000,21500000,23400000,55800000,162500000,185300000,234300000,342300000,885200000,2585265000,2583300000,4159000000,4168500000,4262600000,3747200000,3491003000,3415500000,2796300000,2476000000,2590000000,2629200000,2326300000,2204600000,2451000000,2322980000,2375652000,2616250000,3014427000,2920929000,2819442000,3281664000
38,PP&E,10500000,9000000,8200000,8500000,18800000,34900000,61200000,107900000,206800000,655942000,632600000,1084500000,902900000,782600000,662100000,620132000,609400000,599900000,543500000,570300000,588100000,569400000,540200000,563000000,590844000,617524000,640275000,642913000,630647000,559242000,532985000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,45700000,- -,209200000,2101700000,2223400000,2255000000,1689200000,1613230000,510700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,15200000,14500000,13800000,- -,4100000,8000000,6000000,16100000,- -,318512000,85200000,- -,- -,- -,35900000,29802000,22200000,14600000,9400000,15500000,11000000,7200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,15200000,14500000,13800000,- -,4100000,8000000,6000000,16100000,45700000,318512000,294400000,2101700000,2223400000,2255000000,1725100000,1643032000,532900000,14600000,9400000,15500000,11000000,7200000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,52900000,- -,98500000,74000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000000,17200000,90300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,476554000,- -,- -,273470000,235117000
44,Other Non-Current Assets,1300000,800000,200000,200000,2700000,2300000,1500000,1300000,11100000,79751000,-29500000,81700000,65200000,246400000,107400000,108263000,112200000,103200000,95000000,126000000,125700000,264900000,251000000,299100000,579440000,632046000,114284000,427793000,353937000,120502000,156953000
45,Total Non-Current Assets,27000000,24300000,22200000,8700000,25600000,45200000,68700000,125300000,316500000,1054205000,1057000000,3359100000,3281800000,3284000000,2494600000,2371427000,1254500000,717700000,647900000,711800000,724800000,841500000,791200000,862100000,1170284000,1249570000,1231113000,1070706000,984584000,953214000,925055000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,47200000,45800000,45600000,64500000,188100000,230500000,303000000,467600000,1201700000,3639470000,3640300000,7518100000,7450300000,7546600000,6241800000,5862430000,4670000000,3514000000,3123900000,3301800000,3354000000,3167800000,2995800000,3313100000,3493264000,3625222000,3847363000,4085133000,3905513000,3772656000,4206719000
48,Accounts Payable,5700000,7200000,9200000,10600000,21900000,24400000,42600000,68800000,154800000,488806000,332500000,1279500000,1507000000,1630800000,1559200000,1494603000,1450700000,891400000,780900000,923000000,984000000,937700000,956500000,1139800000,1035323000,1121135000,1280106000,1547399000,1336914000,1210049000,1464693000
49,Short-Term Debt,- -,- -,- -,- -,100000,- -,100000,2900000,- -,11728000,- -,- -,- -,- -,- -,100135000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88416000,- -,- -,18750000,18750000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41482000,54224000,65148000,54237000,51158000,55773000,- -,60787000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312184000,421478000,303965000,42767000,- -,- -,- -,- -,- -,- -,- -,- -,- -,422670000,514314000,- -,344124000,279803000,- -,- -
52,Other Current Liabilities,5500000,7300000,5800000,7100000,11600000,15600000,17600000,43100000,62600000,211961000,159800000,462316000,107622000,851335000,472233000,379511000,346400000,330500000,415000000,328300000,281900000,281800000,250200000,394300000,-77436000,-234186000,247521000,510372000,66305000,293790000,279544000
53,Total Current Liabilities,11200000,14500000,15000000,17700000,33600000,40000000,60300000,114800000,217400000,712495000,492300000,2054000000,2036100000,2786100000,2074200000,1974249000,1797100000,1221900000,1195900000,1251300000,1265900000,1219500000,1206700000,1534100000,1380557000,1401263000,1616043000,2401895000,1683022000,1522589000,1762987000
54,Long-Term Debt,34500000,31200000,4400000,- -,86300000,86300000,86300000,5800000,355300000,1143942000,1218600000,1975300000,1925600000,1311400000,1644700000,1507218000,1588100000,1482000000,1262000000,1240700000,1182300000,837400000,562500000,386700000,423949000,434059000,391447000,14346000,346971000,329249000,311572000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2969000,- -,181155000,5076000,422670000,514314000,- -,344124000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,100000,100000,1000000,500000,500000,2900000,2700000,81551000,88500000,74000000,165300000,94400000,143900000,110400000,111600000,114100000,122900000,148200000,132331000,147100000,-46055000,140424000,-254383000,-334217000,192189000,-148076000,232947000,290902000,253532000
58,Total Non-Current Liabilities,34500000,31200000,4500000,100000,87300000,86800000,86800000,8700000,358000000,1225493000,1307100000,2049300000,2090900000,1405800000,1788600000,1617618000,1699700000,1596100000,1384900000,1388900000,1317600000,984500000,697600000,532200000,592236000,614156000,583636000,210394000,579918000,620151000,565104000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,45700000,45700000,19500000,17800000,120900000,126800000,147100000,123500000,575400000,1937988000,1799400000,4103300000,4127000000,4191900000,3862800000,3591867000,3496800000,2818000000,2580800000,2640200000,2583500000,2204000000,1904300000,2066300000,1972793000,2015419000,2199679000,2612289000,2262940000,2142740000,2328091000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,200000,200000,500000,600000,1522000,3200000,5300000,5300000,5400000,5500000,5519000,5500000,5500000,5500000,800000,800000,800000,800000,800000,- -,730000,717000,678000,697000,650000,643000
64,Retained Earnings,-3600000,-5100000,- -,-3100000,13900000,42000000,82900000,148600000,335400000,570576000,631400000,-2065400000,-2202500000,-2213900000,-3219900000,-3544060000,-4685900000,-5172200000,-5308400000,-5210100000,-5141100000,-4960900000,-4881600000,-4684400000,- -,-4119291000,-3980458000,-4032722000,-3863077000,-3723364000,-3454366000
65,Other Comprehensive Income/Loss,-6200000,-9200000,-12900000,-16500000,-18200000,-24300000,-34600000,-116500000,-1000000,-751157000,-27400000,-20600000,32600000,65400000,37000000,43000000,61000000,56000000,52000000,54000000,71000000,63000000,84000000,83000000,67000000,65000000,77000000,74000000,42000000,35000000,40690000
66,Other Total Stockholders Equity,11300000,14400000,39000000,66300000,71500000,85800000,107400000,311500000,291300000,1880541000,1233800000,5495400000,5487854000,5497811000,5556418000,5766104000,5792547000,5806658000,5794040000,5816901000,5839817000,5860881000,5888364000,5847355000,1453471000,5663364000,5550425000,5430888000,5462953000,5317630000,5291661000
67,Total Stockholders Equity,1500000,100000,26100000,46700000,67200000,103700000,155900000,344100000,626300000,1701482000,1841000000,3414700000,3323254000,3354711000,2379018000,2270563000,1173147000,695958000,543140000,661601000,770517000,963781000,1091564000,1246755000,1520471000,1609803000,1647684000,1472844000,1642573000,1629916000,1878628000
68,Total Liabilities And Stockholders Equity,47200000,45800000,45600000,64500000,188100000,230500000,303000000,467600000,1201700000,3639470000,3640400000,7518000000,7450254000,7546611000,6241818000,5862430000,4669947000,3513958000,3123940000,3301801000,3354017000,3167781000,2995864000,3313055000,3493264000,3625222000,3847363000,4085133000,3905513000,3772656000,4206719000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,46000,-11000,-18000,- -,53000,42000,-40000,-1000,-17000,19000,-64000,45000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,47200000,45800000,45600000,64500000,188100000,230500000,303000000,467600000,1201700000,3639470000,3640300000,7518100000,7450300000,7546600000,6241800000,5862430000,4670000000,3514000000,3123900000,3301800000,3354000000,3167800000,2995800000,3313100000,3493264000,3625222000,3847363000,4085133000,3905513000,3772656000,4206719000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897723/0000891618-97-005030-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/897723/000089161801502766/0000891618-01-502766-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089161802005406/f86269e10vk.htm,https://www.sec.gov/Archives/edgar/data/897723/000089161803006226/f94972e10vk.htm,https://www.sec.gov/Archives/edgar/data/897723/000104746904038573/a2147074z10-k.htm,https://www.sec.gov/Archives/edgar/data/897723/000110465905063029/a05-21815_410k.htm,https://www.sec.gov/Archives/edgar/data/897723/000110465907000416/a06-25805_310k.htm,https://www.sec.gov/Archives/edgar/data/897723/000104746907009573/0001047469-07-009573-index.html,https://www.sec.gov/Archives/edgar/data/897723/000104746908012528/0001047469-08-012528-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772309000007/0000897723-09-000007-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772310000011/0000897723-10-000011-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772311000023/0000897723-11-000023-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772312000027/0000897723-12-000027-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772313000023/0000897723-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772314000022/0000897723-14-000022-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772315000026/0000897723-15-000026-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772316000049/0000897723-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772317000029/0000897723-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772318000031/0000897723-18-000031-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772319000034/0000897723-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/897723/000089772320000034/0000897723-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/897723/000089772321000028/0000897723-21-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2000000,-1500000,5100000,-3100000,17000000,28100000,40900000,68200000,94000000,192334000,40000000,-2697000000,-137000000,-11000000,-1006000000,-141557000,-1135000000,-486000000,-136000000,122000000,69000000,180000000,79000000,197000000,377261000,187838000,138833000,-95533000,141515000,139713000,268998000
74,Depreciation and Amortization,4300000,4300000,4100000,5100000,4700000,8100000,12900000,27300000,45500000,157256000,180793000,249572000,222600000,190904000,178324000,138597000,117194000,96820000,89928000,89573000,104571000,99477000,96021000,97677000,100567000,111910000,118751000,118820000,116949000,114218000,109656000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48337000,-73725000,27682000,-46541000,-57373000,367239000,7949000,-3633000,-1478000,834000,3492000,-2163000,-155791000,-8355000,-69036000,-242274000,-16829000,37892000,173591000,54668000,13567000,33724000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15994000,15167000,18896000,17999000,17524000,18789000,20653000,26907000,37920000,32825000,30844000,26235000,34976000
77,Change in Working Capital,- -,-2000000,1400000,29700000,90800000,16400000,28700000,53500000,440300000,1204970000,218230000,14000000,27400000,-655900000,196500000,-156246000,101646000,-44000000,-294300000,58600000,24600000,-256500000,-108900000,-81000000,25523000,31966000,25818000,-387675000,625375000,58946000,-84378000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319754000,-332179000,6061000,12896000,56840000,-35769000,40207000,-36913000,-136072000,-69076000,54947000,83623000,-146516000
79,Inventory,-400000,2100000,-3900000,-600000,-4300000,-9000000,-11900000,-3800000,-98100000,-221036000,142534000,777186000,214048000,-61107000,57889000,-283885000,260085000,197792000,80325000,-60129000,-46803000,63365000,44334000,-81238000,-13726000,5614000,-104468000,-324168000,121383000,39564000,-167186000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119110000,93801000,71248000,-48412000,22307000,174336000,-116899000,95193000,130648000,268421000,-182521000,-106640000,236270000
81,Other Working Capital,9000000,7000000,8400000,38100000,128900000,145300000,174000000,227500000,667800000,1872770000,2091000000,2105000000,2132400000,1476500000,1673000000,1516754000,1618400000,1574400000,1280100000,1338700000,1363300000,1106800000,997900000,916900000,942423000,974389000,1000207000,612532000,1237907000,1296853000,- -
82,Other Non-Cash Items,2500000,7000000,-900000,-19900000,-89300000,-25800000,-34100000,-65800000,-464700000,-1418841000,36229000,3229065000,484996000,727213000,679931000,-183047000,1405727000,473923000,520774000,-367166000,20004000,330228000,242599000,143952000,-106834000,48324000,-108253000,314396000,-586386000,-52124000,-24634000
83,Cash Provided by Operating Activities,4800000,7800000,9700000,11800000,23200000,26800000,48400000,83200000,115100000,87382000,401527000,823319000,551455000,193844000,415994000,-334304000,485934000,39265000,197230000,-78334000,234908000,215413000,317889000,307382000,174896000,390116000,250961000,156424000,382965000,300555000,338342000
84,CAPEX,-3300000,-2100000,-3100000,-11200000,-9900000,-21800000,-30200000,-29000000,-65300000,-198667000,-187531000,-92991000,-70747000,-87198000,-74549000,-139195000,-88358000,-121478000,-65931000,-81416000,-107574000,-78631000,-75950000,-69507000,-119097000,-120400000,-111833000,-118881000,-134674000,-65982000,-73296000
85,Acquisitions Net,- -,- -,- -,- -,- -,-5300000,- -,-5700000,-75100000,-172194000,-71667000,-319941000,-223748000,-78475000,-95235000,-44651000,17783000,84830000,-29712000,-14908000,-14656000,-5023000,- -,-79508000,-13887000,-58878000,- -,- -,- -,- -,-21408000
86,Purchases of Investments,- -,- -,- -,-4100000,-13700000,-169700000,-123400000,-103000000,-472000000,-313523000,-2120678000,-488652000,-91482000,-70496000,-80804000,-19578000,-4310000,-726000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,-2019000,-499000,-30000000,-2705000
87,Sales/Maturities of Investments,- -,- -,- -,- -,18000000,91200000,128000000,106600000,194200000,366672000,1530493000,1202903000,151687000,82853000,40426000,74796000,7790000,18193000,- -,1182000,59000,799000,- -,1104000,- -,- -,- -,- -,- -,30000000,- -
88,Other Investing Activites,- -,- -,- -,- -,-8500000,-100000,-17600000,2600000,100000,-2861000,3957000,3973000,27100000,27667000,40112000,42461000,50231000,30564000,3927000,30847000,24066000,4828000,33080000,6021000,30561000,4740000,3935000,4722000,7532000,1573000,6084000
