,https://roic.ai/company/J,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,21000000,16000000,12900000,11200000,22900000,20200000,14300000,7800000,7200000,5400000,12900000,42600000,39800000,61000000,88700000,61500000,180300000,199766000,259482000,238072000,211716000,374447000,421429000,382204000,269274000,449916000,507000000,586000000,667998000,1370000000,1173000000,1634000000,1513015000,1247154000,1026280000,3645757000,2674314000,3557089000,5447848000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,899514000,930772000
61,Total Liabilities,56000000,87000000,70900000,49100000,86400000,142700000,153900000,170700000,153200000,176900000,177200000,304000000,295100000,289100000,414400000,429800000,765300000,883629000,960141000,978489000,823130000,1060361000,1206524000,1423399000,1545708000,2026913000,1803000000,1825000000,2726043000,3117000000,3061000000,3984000000,3494181000,3029840000,2952507000,6791450000,5748020000,6498686000,8657772000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,8000000,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26100000,26386000,26872000,54765000,55836000,56699000,58130000,58996000,120222000,122701000,124000000,126000000,127785000,130000000,132000000,132000000,123153000,120951000,120386000,142218000,132879000,129748000,128893000
64,Retained Earnings,- -,- -,18300000,18800000,22300000,21700000,31800000,45700000,64700000,89400000,118600000,136200000,168200000,207600000,249800000,300300000,359000000,400791000,472010000,568957000,692943000,820468000,947519000,1023968000,1272352000,1620673000,2009000000,2251000000,2564281000,2920000000,3301000000,3527000000,3496212000,3586647000,3721698000,3809991000,3939174000,4020575000,4015578000
65,Other Comprehensive Income/Loss,-18000000,-19000000,-20200000,-20600000,-19500000,-21800000,-24900000,-29500000,-35300000,-39400000,-49800000,-58100000,-68900000,-83500000,-91000000,-100900000,-115900000,-153605000,-172590000,-182144000,-50669000,-46703000,-104183000,-77655000,-9380000,-129270000,-211515000,-285741000,-237538000,-281887000,-304127000,-363549000,-464764000,-610594000,-653514000,-806703000,-916812000,-933057000,-794442000
66,Other Total Stockholders Equity,44000000,34000000,28700000,28800000,28200000,37600000,51900000,66800000,77500000,89800000,105000000,122300000,139500000,159300000,171000000,178300000,185700000,227175000,270607000,253917000,143973000,174563000,239176000,417905000,460468000,631043000,704428000,767789000,858460000,954360000,1084224000,1173804000,1137144000,1168272000,1239782000,2708839000,2559450000,2598446000,2590012000
67,Total Stockholders Equity,34000000,24000000,26800000,27000000,31000000,37500000,58800000,83000000,106900000,139800000,173800000,200400000,238800000,283400000,329800000,377700000,454900000,500747000,596899000,695495000,842083000,1005027000,1140642000,1423214000,1843662000,2245147000,2625913000,2859048000,3312988000,3722473000,4213097000,4469255000,4291745000,4265276000,4428352000,5854345000,5714691000,5815712000,5940041000
68,Total Liabilities And Stockholders Equity,90000000,111000000,97700000,76100000,117400000,180200000,212700000,253700000,260100000,316700000,351000000,504400000,533900000,572500000,744200000,807500000,1220200000,1384376000,1557040000,1673984000,1665213000,2065388000,2347166000,2846613000,3389370000,4272060000,4428913000,4684048000,6039031000,6839473000,7274097000,8453255000,7785926000,7295116000,7380859000,12645795000,11462711000,12314398000,14597813000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5297000,5656000,6555000,7271000,51000,6178000,87000,-48000,10397000,-473000,-97000,745000,- -,64906000,- -,- -,- -,39955000,34796000
70,Total Liabilities & Equity,90000000,111000000,97700000,76100000,117400000,180200000,212700000,253700000,260100000,316700000,351000000,504400000,533900000,572500000,744200000,807500000,1220200000,1384376000,1557040000,1673984000,1670510000,2071044000,2353721000,2853884000,3389421000,4278238000,4429000000,4684000000,6049428000,6839000000,7274000000,8454000000,7785926000,7360022000,7380859000,12645795000,11462711000,12354353000,14632609000
