,https://roic.ai/company/CYH,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.0155,0.0072,0.0264,0.0454,0.0464,0.0454,0.0448,0.0385,0.0042,0.0201,0.0201,0.0216,0.0148,0.0204,0.0109,0.0049,0.0081,-0.0933,-0.1602,-0.0557,-0.0511,0.0433,0.0186
25,EPS,-0.31,0.14,0.51,1.02,1.34,1.58,1.89,1.77,0.32,2.34,2.68,3.05,2.24,2.98,1.52,0.82,1.38,-15.54,-22.00,-6.99,-5.93,4.43,1.74
26,EPS Diluted,-0.31,0.14,0.50,1.00,1.30,1.51,1.79,1.75,0.32,2.32,2.66,3.01,2.23,2.96,1.51,0.82,1.37,-15.54,-22.00,-6.99,-5.93,4.39,1.74
27,Weighted Average Shares Outstanding,54545030,67610399,88382443,98421052,98391849,95643733,88601168,94983646,93517337,93372000,90615000,91719000,89966933,89243000,92633000,112000000,114000000,111000000,112000000,113000000,114000000,115000000,132116005
28,Weighted Average Shares Outstanding Diluted,54545030,69187191,90251428,108378131,108094956,105863790,98579977,96232910,94642294,94289000,91517000,92946000,90666348,89807000,93815000,113000000,115000000,111000000,112000000,113000000,114000000,117000000,132116005
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1108109/000091205701505417/0000912057-01-505417-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000091205702011997/0000912057-02-011997-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000104746903010578/0001047469-03-010578-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000104746904007574/0001047469-04-007574-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000104746905006211/0001047469-05-006211-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000095014406001468/g99757e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000095014407001425/g05606e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000095014408001501/g12003e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000095014409001722/0000950144-09-001722-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000095012310017194/0000950123-10-017194-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000095012311018885/g25604e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000119312512074190/0001193125-12-074190-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312513080110/0001193125-13-080110-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312514070022/d671548d10k.htm,https://www.sec.gov/Archives/edgar/data/1108109/000119312515062634/d878245d10k.htm,https://www.sec.gov/Archives/edgar/data/1108109/000119312516467152/0001193125-16-467152-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312517050460/0001193125-17-050460-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312518064091/0001193125-18-064091-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312519047042/0001193125-19-047042-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312520043702/0001193125-20-043702-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000156459021006686/0001564590-21-006686-index.htm,https://www.sec.gov/Archives/edgar/data/1108109/000156459022005570/0001564590-22-005570-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4282000,13740000,8386000,132844000,16331000,82498000,104108000,40566000,132874000,220655000,344541000,299169000,129865000,387813000,373403000,509000000,184000000,238000000,563000000,196000000,216000000,1676000000,507000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4282000,13740000,8386000,132844000,16331000,82498000,104108000,40566000,132874000,220655000,344541000,299169000,129865000,387813000,373403000,509000000,184000000,238000000,563000000,196000000,216000000,1676000000,507000000
34,Net Receivables,226350000,309826000,370052000,400442000,559097000,597261000,656029000,773984000,1533798000,1706669000,1663317000,1833006000,1935556000,2067379000,2353308000,3409000000,3611000000,3176000000,2384000000,2352000000,2258000000,1927000000,2062000000
35,Inventory,32134000,39679000,47466000,60456000,77418000,88267000,95200000,113320000,262903000,272937000,302609000,329114000,346611000,368172000,377005000,557000000,580000000,480000000,444000000,402000000,354000000,335000000,355000000
36,Other Current Assets,37730000,45332000,68655000,53984000,43234000,47423000,58872000,93514000,623323000,404789000,364528000,409904000,434057000,595778000,644247000,1091000000,791000000,772000000,677000000,599000000,599000000,572000000,555000000
37,Total Current Assets,300496000,408577000,494559000,647726000,696080000,815449000,914209000,1021384000,2552898000,2605050000,2674995000,2871193000,2846089000,3419142000,3747963000,5566000000,5166000000,4666000000,4068000000,3549000000,3427000000,4510000000,3479000000
38,PP&E,623343000,708081000,866534000,1029337000,1395345000,1484548000,1610991000,1986577000,5512574000,5869059000,6132246000,6457466000,6855976000,7151873000,7114463000,10169000000,10112000000,8149000000,7052000000,6139000000,5608000000,5322000000,5553000000
39,Goodwill,- -,- -,1000918000,- -,- -,- -,1259816000,1336525000,4247714000,4166091000,4157927000,4199905000,4264845000,4408138000,4444135000,8951000000,8965000000,6521000000,4723000000,4559000000,4328000000,4219000000,4219000000
40,Intangible Assets,877890000,985568000,- -,1029975000,1155797000,1213783000,- -,- -,- -,- -,1056304000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,877890000,985568000,1000918000,1029975000,1155797000,1213783000,1259816000,1336525000,4247714000,4166091000,5214231000,4199905000,4264845000,4408138000,4444135000,8951000000,8965000000,6521000000,4723000000,4559000000,4328000000,4219000000,4219000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000000,69000000,38000000,59000000,53000000
44,Other Non-Current Assets,93355000,111611000,98653000,102458000,102989000,118828000,149202000,162093000,1180457000,1178054000,- -,1169559000,1241930000,1627182000,1810734000,2735000000,2618000000,2608000000,1545000000,1543000000,2208000000,1896000000,1913000000
45,Total Non-Current Assets,1594588000,1805260000,1966105000,2161770000,2654131000,2817159000,3020009000,3485195000,10940745000,11213204000,11346477000,11826930000,12362751000,13187193000,13369332000,21855000000,21695000000,17278000000,13382000000,12310000000,12182000000,11496000000,11738000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1895084000,2213837000,2460664000,2809496000,3350211000,3632608000,3934218000,4506579000,13493643000,13818254000,14021472000,14698123000,15208840000,16606335000,17117295000,27421000000,26861000000,21944000000,17450000000,15859000000,15609000000,16006000000,15217000000
48,Accounts Payable,57392000,83191000,91096000,299901000,154711000,162638000,189940000,247747000,492693000,529429000,428565000,526338000,748997000,825914000,958593000,1293000000,1258000000,995000000,967000000,887000000,811000000,783000000,830000000
49,Short-Term Debt,27029000,17433000,58691000,18529000,29677000,26867000,19124000,35396000,20710000,29462000,66470000,63139000,63706000,89911000,166902000,235000000,229000000,455000000,33000000,204000000,156000000,265000000,178000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,150856000,140249000,149785000,- -,213676000,172854000,228339000,292140000,934532000,975079000,962761000,1052563000,1098436000,1227395000,1331988000,2061000000,1585000000,1437000000,1356000000,1301000000,1315000000,1767000000,1356000000
53,Total Current Liabilities,235277000,240873000,299572000,318430000,398064000,362359000,437403000,575283000,1447935000,1533970000,1457796000,1642040000,1911139000,2143220000,2457483000,3589000000,3072000000,2887000000,2356000000,2392000000,2282000000,2815000000,2364000000
54,Long-Term Debt,1407604000,1201590000,980083000,1173929000,1444981000,1804868000,1648500000,1905781000,9077367000,8937984000,8844638000,8808382000,8782798000,9451394000,9286495000,16681000000,16822000000,14789000000,13880000000,13392000000,13385000000,12617000000,12644000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,44675000,102832000,110341000,142260000,157579000,141472000,407947000,460793000,475812000,608177000,704725000,808489000,906101000,845000000,593000000,411000000,19000000,26000000,200000000,29000000,192000000
57,Other Non-Current Liabilities,22495000,15200000,20669000,- -,46236000,83130000,126159000,160370000,483459000,1212642000,858952000,1001675000,949990000,1406711000,1335746000,2223000000,2269000000,2129000000,1887000000,1512000000,1883000000,2083000000,827000000
58,Total Non-Current Liabilities,1430099000,1216790000,1045427000,1276761000,1601558000,2030258000,1932238000,2207623000,9968773000,10611419000,10179402000,10418234000,10437513000,11666594000,11528342000,19749000000,19684000000,17329000000,15786000000,14930000000,15468000000,14729000000,13663000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,623000000,666000000,682000000
61,Total Liabilities,1665376000,1457663000,1344999000,1595191000,1999622000,2392617000,2369641000,2782906000,11416708000,12145389000,11637198000,12060274000,12348652000,13809814000,13985825000,23338000000,22756000000,20216000000,18142000000,17322000000,17750000000,17544000000,16027000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,566000,871000,994000,998000,997000,886000,945000,950000,966000,925000,940000,936000,915000,929000,960000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,-245352000,-235783000,-191040000,-91056000,40416000,191849000,359393000,527656000,557945000,776249000,1019399000,1299382000,1501330000,1743992000,1885195000,1977000000,2135000000,-299000000,-2761000000,-3543000000,-4218000000,-3707000000,-3477000000
65,Other Comprehensive Income/Loss,-108499000,-142120000,-200425000,-8329000,-105000,6046000,1987000,5798000,-81737000,-295575000,-221385000,-230927000,-184479000,-145310000,-67505000,-63000000,-73000000,-62000000,-21000000,-10000000,-9000000,-13000000,-14000000
66,Other Total Stockholders Equity,582993000,1133206000,1506136000,1312692000,1309281000,1041210000,1202252000,1189269000,1233630000,1191266000,1151681000,1120073000,1079330000,1131596000,1249177000,2088000000,1956000000,1975000000,2014000000,2017000000,2008000000,2094000000,2118000000
67,Total Stockholders Equity,229708000,756174000,1115665000,1214305000,1350589000,1239991000,1564577000,1723673000,1710804000,1672865000,1950635000,2189464000,2397096000,2731207000,3067827000,4003000000,4019000000,1615000000,-767000000,-1535000000,-2218000000,-1625000000,-1372000000
68,Total Liabilities And Stockholders Equity,1895084000,2213837000,2460664000,2809496000,3350211000,3632608000,3934218000,4506579000,13127512000,13818254000,13587833000,14249738000,14745748000,16541021000,17053652000,27341000000,26775000000,21831000000,17375000000,15787000000,15532000000,15919000000,14655000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,366131000,- -,433639000,448385000,463092000,65314000,63643000,80000000,86000000,113000000,75000000,72000000,77000000,87000000,562000000
70,Total Liabilities & Equity,1895084000,2213837000,2460664000,2809496000,3350211000,3632608000,3934218000,4506579000,13493643000,13818254000,14021472000,14698123000,15208840000,16606335000,17117295000,27421000000,26861000000,21944000000,17450000000,15859000000,15609000000,16006000000,15217000000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1108109/000091205701505417/0000912057-01-505417-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000091205702011997/0000912057-02-011997-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000104746903010578/0001047469-03-010578-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000104746904007574/0001047469-04-007574-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000104746905006211/0001047469-05-006211-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000095014406001468/g99757e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000095014407001425/g05606e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000095014408001501/g12003e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000095014409001722/0000950144-09-001722-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000095012310017194/0000950123-10-017194-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000095012311018885/g25604e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000119312512074190/0001193125-12-074190-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312513080110/0001193125-13-080110-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312514070022/d671548d10k.htm,https://www.sec.gov/Archives/edgar/data/1108109/000119312515062634/d878245d10k.htm,https://www.sec.gov/Archives/edgar/data/1108109/000119312516467152/0001193125-16-467152-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312517050460/0001193125-17-050460-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312518064091/0001193125-18-064091-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312519047042/0001193125-19-047042-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312520043702/0001193125-20-043702-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000156459021006686/0001564590-21-006686-index.htm,https://www.sec.gov/Archives/edgar/data/1108109/000156459022005570/0001564590-22-005570-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-16789000,9569000,44743000,99984000,131472000,151433000,167544000,168263000,30289000,218304000,243150000,279983000,201948000,265640000,141203000,92000000,158000000,-1721000000,-2459000000,-788000000,-675000000,511000000,230000000
74,Depreciation and Amortization,81651000,97624000,119668000,118218000,143766000,158380000,166162000,188771000,332580000,506694000,566543000,609839000,657665000,725558000,782675000,1187000000,1174000000,1100000000,861000000,700000000,608000000,558000000,540000000
75,Deferred Income Tax,-3799000,17210000,25280000,38172000,61574000,41902000,9889000,-25228000,-39894000,159870000,34268000,97370000,107032000,53407000,69284000,107000000,103000000,-116000000,-454000000,-3000000,203000000,-187000000,170000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,52105000,44501000,38779000,42542000,40896000,38403000,54000000,59000000,46000000,24000000,13000000,10000000,13000000,25000000
77,Change in Working Capital,-86322000,102485000,27283000,134309000,-31280000,155074000,23716000,-30705000,658862000,-33883000,146119000,11954000,-294203000,340972000,14558000,686520000,117000000,-315000000,-67000000,-555000000,-12000000,550000000,-295000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57437000,58390000,-27049000,-138332000,-204151000,-285437000,-306000000,-219000000,-96000000,732000000,31000000,93000000,309000000,-136000000
79,Inventory,-17598000,-15604000,1999000,-12566000,-13727000,-13549000,-16838000,-4544000,-31977000,-34711000,-34535000,-39904000,-42858000,-99799000,-8453000,28000000,-68000000,25000000,-33000000,16000000,38000000,-15000000,1000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67000000,16000000
81,Other Working Capital,65219000,167704000,194987000,329296000,298016000,453090000,476806000,446101000,1104963000,1071080000,1217199000,1229153000,934950000,1275922000,1290480000,1977000000,2094000000,1779000000,1712000000,1157000000,1145000000,1695000000,-176000000
82,Other Non-Cash Items,13513000,-203903000,-62587000,-105184000,-61828000,-181039000,43738000,49154000,-294099000,154191000,41848000,150805000,546924000,-146353000,42596000,-511520000,-690000000,2143000000,2868000000,907000000,251000000,733000000,-801000000
83,Cash Provided by Operating Activities,-11746000,22985000,154387000,285499000,243704000,325750000,411049000,350255000,687738000,1057281000,1076429000,1188730000,1261908000,1280120000,1088719000,1615000000,921000000,1137000000,773000000,274000000,385000000,2178000000,-131000000
84,CAPEX,-80255000,-63005000,-83232000,-103975000,-596951000,-297319000,-188365000,-609137000,-522785000,-692233000,-576888000,-667378000,-1192073000,-1091105000,-657735000,-3944000000,-1010000000,-867000000,-570000000,-553000000,-451000000,-441000000,-472000000
85,Acquisitions Net,-59699000,-148216000,-150941000,- -,- -,- -,-158379000,- -,-6908052000,203729000,-263773000,-248251000,173387000,- -,- -,88000000,155000000,546000000,1692000000,405000000,604000000,648000000,120000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-137082000,-188249000,-297994000,-339942000,-774000000,-367000000,-747000000,-268000000,-219000000,-250000000,-228000000,-284000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229000000,156000000,464000000,208000000,114000000,92000000,194000000,102000000
88,Other Investing Activites,-15587000,-33220000,-30938000,-187165000,-23819000,-21160000,19472000,-31120000,-68021000,-176967000,-26521000,8401000,11160000,5897000,6409000,50000000,15000000,1234000000,7000000,8000000,3000000,4000000,10000000
89,Cash Used for Investing Activites,-155541000,-244441000,-265111000,-291140000,-620770000,-318479000,-327272000,-640257000,-7498858000,-665471000,-867182000,-1044310000,-1195775000,-1383202000,-991268000,-4351000000,-1051000000,630000000,1069000000,-245000000,-2000000,177000000,-524000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-234918000,-258173000,-61476000,-1651533000,-7529503000,-1621985000,-9980000000,-5050000000,-6715000000,-5391000000,-2033000000,-3557000000,-5493000000,-4426000000
91,Common Stock Issued,2215000,515160000,309059000,2541000,4264000,9900000,49580000,14573000,8214000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-2780000,- -,-91000,- -,-14708000,-290520000,-79853000,-176316000,- -,-90188000,- -,-113961000,-99101000,-9314000,-42029000,-20000000,-179000000,-6000000,-5000000,-1000000,-1000000,-1000000,-5000000
93,Dividends Paid,- -,- -,- -,- -,- -,-1238000,- -,- -,- -,- -,- -,- -,- -,-22535000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,165415000,-284246000,-203598000,127558000,270997000,340754000,-31894000,388203000,6895214000,21077000,172812000,-14355000,1515197000,7922382000,1552153000,12872000000,5034000000,5008000000,3879000000,1638000000,3195000000,4599000000,3917000000
95,Cash Used/Provided by Financing Activities,164850000,230914000,105370000,130099000,260553000,58896000,-62167000,226460000,6903428000,-304029000,-85361000,-189792000,-235437000,361030000,-111861000,2872000000,-195000000,-1713000000,-1517000000,-396000000,-363000000,-895000000,-514000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2437000,9458000,-5354000,124458000,-116513000,66167000,21610000,-63542000,92308000,87781000,123886000,-45372000,-169304000,257948000,-14410000,136000000,-325000000,54000000,325000000,-367000000,20000000,1460000000,-1169000000
98,Cash at the End of Period,4282000,13740000,8386000,132844000,16331000,82498000,104108000,40566000,132874000,220655000,344541000,299169000,129865000,387813000,373403000,509000000,184000000,238000000,563000000,196000000,216000000,1676000000,507000000
99,Cash at the Beginning of Period,6719000,4282000,13740000,8386000,132844000,16331000,82498000,104108000,40566000,132874000,220655000,344541000,299169000,129865000,387813000,373000000,509000000,184000000,238000000,563000000,196000000,216000000,1676000000
100,Free Cash Flow,-92001000,-40020000,71155000,181524000,-353247000,28431000,222684000,-258882000,164953000,365048000,499541000,521352000,69835000,189015000,430984000,-2329000000,-89000000,270000000,203000000,-279000000,-66000000,1737000000,-603000000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1108109/000091205701505417/0000912057-01-505417-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000091205702011997/0000912057-02-011997-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000104746903010578/0001047469-03-010578-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000104746904007574/0001047469-04-007574-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000104746905006211/0001047469-05-006211-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000095014406001468/g99757e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000095014407001425/g05606e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000095014408001501/g12003e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000095014409001722/0000950144-09-001722-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000095012310017194/0000950123-10-017194-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000095012311018885/g25604e10vk.htm,https://www.sec.gov/Archives/edgar/data/1108109/000119312512074190/0001193125-12-074190-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312513080110/0001193125-13-080110-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312514070022/d671548d10k.htm,https://www.sec.gov/Archives/edgar/data/1108109/000119312515062634/d878245d10k.htm,https://www.sec.gov/Archives/edgar/data/1108109/000119312516467152/0001193125-16-467152-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312517050460/0001193125-17-050460-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312518064091/0001193125-18-064091-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312519047042/0001193125-19-047042-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000119312520043702/0001193125-20-043702-index.html,https://www.sec.gov/Archives/edgar/data/1108109/000156459021006686/0001564590-21-006686-index.htm,https://www.sec.gov/Archives/edgar/data/1108109/000156459022005570/0001564590-22-005570-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
