,https://roic.ai/company/SCVL,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
11,COGS and Expenses,118200000,147000000,211800000,234900000,238200000,225700000,233400000,262600000,319000000,398900000,454200000,493800000,537478000,569300000,624800000,644000000,639500000,639197000,657300000,696800000,720400000,806500000,841100000,898309000,937335000,963190000,981453000,979890000,982342000,954900000,1122740000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000,165000,79000,32000,12000,14000,39000,6000,4000,747000,730000,97000,24000
13,Interest Expense (Gain),- -,- -,- -,- -,-1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174000,258000,266000,273000,173000,165000,168000,169000,292000,150000,191000,412000,478000
14,Depreciation and Amortization,1400000,1700000,3400000,4700000,4710000,5200000,5800000,6600000,8378000,10346000,11172000,12484000,13833000,14428000,14766000,14468000,15806000,16845000,14982000,13735000,14450000,15955000,17428000,20063000,23078000,23699000,23804000,21843000,16950000,16114000,18752000
15,EBITDA,9100000,11400000,5500000,-6900000,-8490000,12100000,18000000,23600000,28378000,26346000,31272000,37584000,33564000,34606000,45258000,53217000,35357000,25215000,40185000,56264000,56684000,64443000,61136000,61930000,69750000,61617000,61509000,72350000,71889000,38076000,226430000
16,EBITDA ratio,0.0716,0.0725,0.0256,-0.0302,-0.0372,0.0517,0.0730,0.0842,0.0835,0.0630,0.0656,0.0723,0.0602,0.0586,0.0690,0.0781,0.0537,0.0389,0.0589,0.0761,0.0743,0.0754,0.0691,0.0659,0.0709,0.0615,0.0604,0.0703,0.0694,0.0390,0.1702
17,Operating Income,8900000,10300000,2700000,-6600000,-10000000,7700000,13100000,17600000,20944000,8893000,22395000,26129000,20445000,20865000,30836000,37630000,19132000,8375000,25130000,42385000,42137000,48494000,43667000,41853000,46633000,37912000,37701000,49760000,54209000,21865000,207654000
18,Operating Income ratio,0.0700,0.0655,0.0126,-0.0289,-0.0438,0.0329,0.0531,0.0628,0.0616,0.0213,0.0470,0.0503,0.0366,0.0354,0.0470,0.0552,0.0290,0.0129,0.0368,0.0573,0.0553,0.0567,0.0494,0.0445,0.0474,0.0379,0.0370,0.0483,0.0523,0.0224,0.1561
19,Total Other Income Expenses (Gains),-1200000,-600000,-600000,-5000000,-1600000,-700000,-900000,-600000,-1044000,7207000,-2295000,-1029000,-714000,-665000,-336000,1070000,468000,-5000,-130000,-85000,-137000,-194000,-167000,-151000,-129000,-163000,-288000,597000,539000,-315000,-454000
20,Income Before Tax,7700000,9700000,2100000,-11600000,-11600000,7000000,12200000,17000000,19900000,16100000,20100000,25100000,19731000,20200000,30500000,38700000,19600000,8370000,25000000,42300000,42000000,48300000,43500000,41702000,46504000,37749000,37413000,50357000,54748000,21550000,207200000
21,Income Before Tax Ratio,0.0606,0.0617,0.0098,-0.0508,-0.0508,0.0299,0.0495,0.0607,0.0585,0.0385,0.0422,0.0483,0.0354,0.0342,0.0465,0.0568,0.0298,0.0129,0.0366,0.0572,0.0551,0.0565,0.0492,0.0444,0.0473,0.0377,0.0367,0.0489,0.0528,0.0221,0.1557
22,Income Tax expense (Gain),3200000,3800000,900000,-4400000,-4400000,2800000,4800000,6800000,8000000,6300000,7500000,9400000,7498000,7678000,11692000,14949000,6751000,3051000,9829000,15471000,15568000,18915000,16635000,16175000,17737000,14232000,18480000,12222000,11834000,5559000,52319000
23,Net Income,4500000,5900000,1200000,-7200000,-7200000,4100000,7400000,10200000,12000000,9700000,12600000,15700000,12233000,12500000,18800000,23800000,12800000,5319000,15200000,26800000,26400000,29300000,26900000,25527000,28767000,23517000,18933000,38135000,42914000,15991000,154881000
24,Net Income ratio,0.0354,0.0375,0.0056,-0.0315,-0.0315,0.0175,0.0300,0.0364,0.0353,0.0232,0.0264,0.0302,0.0219,0.0212,0.0287,0.0349,0.0194,0.0082,0.0223,0.0363,0.0346,0.0343,0.0304,0.0272,0.0292,0.0235,0.0186,0.0370,0.0414,0.0164,0.1164
25,EPS,0.18,0.18,0.03,-0.18,-0.18,0.11,0.19,0.26,0.30,0.26,0.35,0.42,0.32,0.33,0.48,0.59,0.33,0.14,0.40,0.70,0.66,0.72,0.67,0.64,0.72,0.64,0.57,1.25,1.49,0.57,5.51
26,EPS Diluted,0.18,0.18,0.03,-0.18,-0.18,0.11,0.19,0.25,0.29,0.26,0.34,0.41,0.31,0.32,0.47,0.58,0.32,0.14,0.40,0.68,0.66,0.71,0.66,0.64,0.72,0.64,0.57,1.23,1.46,0.56,5.51
27,Weighted Average Shares Outstanding,24545455,31363636,40000000,39272727,39000000,38437500,39147000,39230769,39852000,37062000,36372000,37683000,38031000,38460000,39384000,40119000,38766000,37218000,37539000,38172000,39972727,39822000,39852000,39554000,38834000,36034000,32440000,30222000,28854000,28132000,28132000
28,Weighted Average Shares Outstanding Diluted,24545455,31363636,40000000,39272727,39000000,38437500,39714000,40263158,40734000,37365000,37449000,38928000,39147000,39153000,40371000,41232000,39474000,37476000,37980000,39180000,40175635,39944000,39894000,39582000,38854000,36044000,32454000,30998000,29372000,28496000,28132000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895447/000089544704000032/scvl10k03.htm,https://www.sec.gov/Archives/edgar/data/895447/000120677405000596/sc911277.htm,https://www.sec.gov/Archives/edgar/data/895447/000120677406000760/sc101266.htm,https://www.sec.gov/Archives/edgar/data/895447/000120677407001037/0001206774-07-001037-index.html,https://www.sec.gov/Archives/edgar/data/895447/000120677408000811/0001206774-08-000811-index.html,https://www.sec.gov/Archives/edgar/data/895447/000120677409000791/0001206774-09-000791-index.html,https://www.sec.gov/Archives/edgar/data/895447/000120677410000980/0001206774-10-000980-index.html,https://www.sec.gov/Archives/edgar/data/895447/000120677411000882/0001206774-11-000882-index.html,https://www.sec.gov/Archives/edgar/data/895447/000114036112020221/form10k.htm,https://www.sec.gov/Archives/edgar/data/895447/000117494713000180/0001174947-13-000180-index.html,https://www.sec.gov/Archives/edgar/data/895447/000117494714000163/0001174947-14-000163-index.html,https://www.sec.gov/Archives/edgar/data/895447/000117494715000634/0001174947-15-000634-index.html,https://www.sec.gov/Archives/edgar/data/895447/000117494716002383/0001174947-16-002383-index.html,https://www.sec.gov/Archives/edgar/data/895447/000117494717000491/0001174947-17-000491-index.html,https://www.sec.gov/Archives/edgar/data/895447/000117494718000534/0001174947-18-000534-index.html,https://www.sec.gov/Archives/edgar/data/895447/000156459019010585/0001564590-19-010585-index.html,https://www.sec.gov/Archives/edgar/data/895447/000156459020014433/0001564590-20-014433-index.html,https://www.sec.gov/Archives/edgar/data/895447/000156459021015810/0001564590-21-015810-index.htm,https://www.sec.gov/Archives/edgar/data/895447/000095017022004674/0000950170-22-004674-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1700000,11400000,1800000,- -,900000,1600000,1600000,1900000,1700000,3200000,5500000,5800000,4071000,4900000,20300000,34800000,9200000,24817000,44200000,60200000,70600000,45800000,48300000,61376000,68814000,62944000,48254000,67021000,61899000,106532000,117443000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14961000
33,Cash and Short-Term Investments,1700000,11400000,1800000,- -,900000,1600000,1600000,1900000,1700000,3200000,5500000,5800000,4071000,4900000,20300000,34800000,9200000,24817000,44200000,60200000,70600000,45800000,48300000,61376000,68814000,62944000,48254000,67021000,61899000,106532000,132404000
34,Net Receivables,800000,1300000,800000,- -,1000000,900000,800000,600000,700000,1100000,1300000,1100000,587000,1000000,300000,900000,400000,1607000,700000,1600000,2600000,2200000,4300000,2928000,2131000,4424000,6270000,1219000,2724000,7096000,14159000
35,Inventory,27100000,48600000,68400000,- -,62700000,59200000,59400000,75400000,104700000,123000000,135600000,146100000,165110000,180600000,184000000,196700000,200800000,189494000,197500000,212900000,237700000,272300000,284800000,287877000,292878000,279646000,260500000,257539000,259495000,233266000,285205000
36,Other Current Assets,500000,900000,3400000,- -,6500000,1400000,1800000,2000000,2000000,2200000,2300000,2800000,8707000,2000000,3400000,4700000,9500000,6939000,5700000,6700000,5400000,7700000,5100000,6948000,6254000,4737000,5562000,11534000,5529000,8411000,10264000
37,Total Current Assets,30100000,62200000,74400000,- -,71100000,63100000,63600000,79900000,109100000,129500000,144700000,155800000,178475000,188500000,208000000,237100000,219900000,222857000,248100000,281400000,316300000,328000000,342500000,359129000,370077000,351751000,320586000,337313000,329647000,355305000,442032000
38,PP&E,9800000,17400000,30700000,- -,31200000,30800000,32000000,40900000,53700000,57900000,57200000,63500000,69246000,68500000,66800000,74000000,71700000,70217000,62200000,62400000,69200000,77400000,90200000,101294000,103386000,96216000,86276000,70605000,282788000,267964000,309485000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11384000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43984000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,900000,1100000,- -,2100000,3300000,4400000,4200000,5000000,- -,4500000,2200000,800000,400000,- -,1100000,700000,1900000,- -,- -,4227000,- -,- -,- -,- -,7833000,5635000,2699000
44,Other Non-Current Assets,300000,- -,100000,- -,-900000,-1100000,- -,-2100000,-3200000,-4400000,-4200000,-5000000,- -,-4600000,-2200000,-700000,-400000,- -,200000,600000,-800000,1800000,4200000,366000,7630000,10511000,8718000,10081000,8106000,13843000,14064000
45,Total Non-Current Assets,10100000,17400000,30800000,- -,31200000,30800000,32000000,40900000,53800000,57900000,57200000,63500000,69246000,68400000,66800000,74100000,71700000,70217000,63500000,63700000,70300000,79200000,94400000,105887000,111016000,106727000,94994000,80686000,298727000,287442000,370232000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,40200000,79600000,105200000,- -,102300000,93900000,95600000,120800000,162900000,187400000,201900000,219300000,247721000,256900000,274800000,311200000,291600000,293074000,311600000,345100000,386600000,407200000,436900000,465016000,481093000,458478000,415580000,417999000,628374000,642747000,812264000
48,Accounts Payable,4600000,5500000,7200000,- -,12800000,12200000,9500000,25700000,33800000,33000000,42100000,49800000,53181000,62300000,64800000,70400000,67800000,60320000,57200000,55200000,61200000,65000000,62700000,67999000,72086000,67808000,41739000,48715000,60665000,57717000,69092000
49,Short-Term Debt,1500000,300000,600000,- -,- -,- -,700000,- -,- -,- -,- -,- -,222000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43146000,48794000,51563000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2317000,3172000,2270000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,413000,1075000,2088000,2340000,- -,3255000,4275000,2496000,2914000,1208000,- -,1061000,9600000,8182000,9622000,- -,- -,- -
52,Other Current Liabilities,8300000,4600000,5900000,- -,8100000,5800000,4500000,6500000,7000000,8800000,9200000,9800000,8208000,10287000,10325000,12412000,8360000,11600000,11145000,11225000,12104000,14086000,13792000,15123000,14787000,8888000,6863000,12447000,18695000,24390000,33053000
53,Total Current Liabilities,14400000,10400000,13700000,- -,20900000,18000000,14700000,32200000,40800000,41800000,51300000,59600000,61611000,73000000,76200000,84900000,78500000,71920000,71600000,70700000,75800000,82000000,77700000,83122000,87934000,86296000,56784000,70784000,122506000,130901000,153708000
54,Long-Term Debt,21500000,800000,20600000,- -,18900000,9600000,6100000,1400000,22300000,41100000,27700000,15500000,21956000,7300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194108000,182622000,194788000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1300000,1600000,- -,- -,- -,1800000,- -,- -,- -,- -,- -,7544000,- -,- -,- -,- -,1144000,- -,- -,1930000,- -,- -,- -,- -,- -,- -,9622000,- -,- -,- -
57,Other Non-Current Liabilities,600000,800000,1700000,- -,2900000,2600000,1400000,4500000,6400000,8100000,10800000,13300000,12059000,19700000,17500000,16300000,16500000,15374000,18200000,20100000,25170000,32800000,42300000,50696000,53357000,53300000,51494000,33160000,14397000,19048000,11235000
58,Total Non-Current Liabilities,22100000,2900000,23900000,- -,21800000,12200000,9300000,5900000,28700000,49200000,38500000,28800000,41559000,27000000,17500000,16300000,16500000,16518000,18200000,20100000,27100000,32800000,42300000,50696000,53357000,53300000,51494000,42782000,208505000,201670000,206023000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237254000,231416000,246351000
61,Total Liabilities,36500000,13300000,37600000,- -,42700000,30200000,24000000,38100000,69500000,91000000,89800000,88400000,103170000,100000000,93700000,101200000,95000000,88438000,89800000,90800000,102900000,114800000,120000000,133818000,141291000,139596000,108278000,113566000,331011000,332571000,359731000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1300000,- -,- -,100000,100000,100000,100000,100000,134000,100000,100000,100000,100000,137000,100000,100000,200000,200000,200000,207000,206000,206000,205000,205000,205000,205000,410000
64,Retained Earnings,2600000,5000000,6200000,- -,-1800000,2400000,9800000,20000000,32000000,41700000,54300000,70100000,82324000,93300000,112100000,135900000,148500000,153866000,169000000,195900000,222200000,228100000,250100000,270686000,294308000,312641000,326738000,360443000,395761000,406655000,553487000
65,Other Comprehensive Income/Loss,-5200000,-6900000,-9200000,- -,-13100000,-17600000,-22100000,-28000000,-35900000,-39900000,-50200000,-59500000,-63952000,-73900000,-2200000,-81900000,-89400000,-96015000,-103000000,-109900000,-115000000,-122900000,-130700000,-139187000,-150175000,-168962000,-180535000,-196815000,-199228000,- -,- -
66,Other Total Stockholders Equity,6300000,68200000,70600000,- -,73200000,79000000,83900000,90600000,97100000,94400000,107900000,120191000,126045000,137419000,71155000,155849000,137412000,146648000,155729000,168243000,176284000,186968000,197272000,199492000,195463000,174997000,160894000,140600000,100625000,-96684000,- -
67,Total Stockholders Equity,3700000,66300000,67600000,- -,59600000,63800000,71600000,82700000,93300000,96300000,112100000,130891000,144551000,156919000,181155000,209949000,196612000,204636000,221829000,254343000,283684000,292368000,316872000,331198000,339802000,318882000,307302000,304433000,297363000,310176000,452533000
68,Total Liabilities And Stockholders Equity,40200000,79600000,105200000,- -,102300000,94000000,95600000,120800000,162800000,187300000,201900000,219291000,247721000,256919000,274855000,311149000,291612000,293074000,311629000,345143000,386584000,407168000,436872000,465016000,481093000,458478000,415580000,417999000,628374000,642747000,812264000
69,Minority Interest,- -,- -,- -,- -,- -,-100000,- -,- -,100000,100000,- -,9000,- -,-19000,-55000,51000,-12000,- -,-29000,-43000,16000,32000,28000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,40200000,79600000,105200000,- -,102300000,93900000,95600000,120800000,162900000,187400000,201900000,219300000,247721000,256900000,274800000,311200000,291600000,293074000,311600000,345100000,386600000,407200000,436900000,465016000,481093000,458478000,415580000,417999000,628374000,642747000,812264000
71,SEC Link,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/895447/000089544704000032/scvl10k03.htm,https://www.sec.gov/Archives/edgar/data/895447/000120677405000596/sc911277.htm,https://www.sec.gov/Archives/edgar/data/895447/000120677406000760/sc101266.htm,https://www.sec.gov/Archives/edgar/data/895447/000120677407001037/0001206774-07-001037-index.html,https://www.sec.gov/Archives/edgar/data/895447/000120677408000811/0001206774-08-000811-index.html,https://www.sec.gov/Archives/edgar/data/895447/000120677409000791/0001206774-09-000791-index.html,https://www.sec.gov/Archives/edgar/data/895447/000120677410000980/0001206774-10-000980-index.html,https://www.sec.gov/Archives/edgar/data/895447/000120677411000882/0001206774-11-000882-index.html,https://www.sec.gov/Archives/edgar/data/895447/000114036112020221/form10k.htm,https://www.sec.gov/Archives/edgar/data/895447/000117494713000180/0001174947-13-000180-index.html,https://www.sec.gov/Archives/edgar/data/895447/000117494714000163/0001174947-14-000163-index.html,https://www.sec.gov/Archives/edgar/data/895447/000117494715000634/0001174947-15-000634-index.html,https://www.sec.gov/Archives/edgar/data/895447/000117494716002383/0001174947-16-002383-index.html,https://www.sec.gov/Archives/edgar/data/895447/000117494717000491/0001174947-17-000491-index.html,https://www.sec.gov/Archives/edgar/data/895447/000117494718000534/0001174947-18-000534-index.html,https://www.sec.gov/Archives/edgar/data/895447/000156459019010585/0001564590-19-010585-index.html,https://www.sec.gov/Archives/edgar/data/895447/000156459020014433/0001564590-20-014433-index.html,https://www.sec.gov/Archives/edgar/data/895447/000156459021015810/0001564590-21-015810-index.htm,https://www.sec.gov/Archives/edgar/data/895447/000095017022004674/0000950170-22-004674-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4500000,5900000,1200000,-7200000,-7200000,4100000,7400000,10200000,12000000,9700000,12600000,15700000,12233000,12500000,18800000,23800000,12800000,5319000,15200000,26800000,26400000,29300000,26900000,25527000,28767000,23517000,18933000,38135000,42914000,15991000,154881000
74,Depreciation and Amortization,1400000,1700000,3400000,4700000,4710000,5200000,5800000,6600000,8378000,10346000,11172000,12484000,13833000,14428000,14766000,14468000,15806000,16845000,14982000,13735000,14450000,15955000,17428000,20063000,23078000,23699000,23804000,21843000,16950000,16114000,18752000
75,Deferred Income Tax,- -,900000,100000,-1800000,-1820000,1600000,200000,400000,1131000,1237000,116000,296000,1520000,304000,-3824000,-2383000,-387000,780000,-1042000,-1403000,3040000,-3347000,-721000,-550000,-3035000,-1381000,1418000,-1440000,2619000,2198000,2936000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1648000,5468000,2135000,4049000,3295000,1064000,3702000,3822000,5017000,10162000,6486000,3883000,5531000
77,Change in Working Capital,-6200000,- -,36100000,8900000,-10500000,-5100000,3800000,-1200000,20600000,19400000,5700000,2800000,20664000,-1364000,16300000,20400000,-10800000,9537000,25563000,34200000,29800000,5500000,18800000,11207000,6136000,-16688000,-1653000,2727000,-47084000,-21641000,-83188000
78,Accounts Receivable,- -,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,961000,-804000,-971000,470000,-2135000,1409000,588000,-2293000,-951000,3905000,-1505000,-4372000,-6196000
79,Inventory,-2700000,-21500000,- -,7700000,7700000,3500000,-200000,-15300000,-29340000,-18305000,-12613000,-10443000,-19019000,-15480000,-3403000,-12669000,-4119000,11287000,-7958000,-15477000,-24726000,-34627000,-12519000,-3076000,-5001000,13232000,19146000,2961000,-1956000,26229000,-24281000
80,Accounts Payable,- -,- -,- -,- -,-2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,15700000,15700000,51800000,60700000,50200000,45100000,48900000,47700000,68300000,87700000,93400000,96200000,116864000,115500000,131800000,152200000,141400000,150937000,176500000,210700000,240500000,246000000,264800000,276007000,282143000,265455000,263802000,266529000,-7158000,-7531000,-9930000
82,Other Non-Cash Items,2600000,-20000000,-54700000,2800000,22240000,10800000,-6600000,2600000,-41754000,-37573000,-7258000,-3559000,-40390000,3264000,-12357000,-27018000,2460000,-403000,-28454000,-49377000,-44950000,-25607000,-27082000,343000,-93000,30820000,-7171000,2714000,45061000,46850000,48981000
83,Cash Provided by Operating Activities,2300000,-11500000,-13900000,7400000,7430000,16600000,10600000,18600000,355000,3110000,22330000,27721000,7860000,29132000,33685000,29267000,19879000,32078000,27897000,29423000,30875000,25850000,38620000,57654000,58555000,63789000,40348000,74141000,66946000,63395000,147893000
84,CAPEX,-2100000,-8700000,-14900000,-5100000,-5070000,-6300000,-7500000,-14100000,-20478000,-14029000,-10395000,-19144000,-20549000,-14213000,-14747000,-24952000,-18434000,-18204000,-9794000,-14412000,-21260000,-25977000,-30966000,-33543000,-27901000,-21832000,-19653000,-7413000,-18501000,-12396000,-31387000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70685000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18975000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000
88,Other Investing Activites,-100000,500000,1200000,600000,520000,-300000,- -,1600000,1037000,1050000,1026000,1420000,3619000,59000,223000,7204000,393000,3000,109000,412000,5000,200000,200000,1086000,250000,- -,- -,2998000,750000,303000,- -
89,Cash Used for Investing Activites,-2200000,-8200000,-13700000,-4500000,-4550000,-6600000,-7500000,-12500000,-19441000,-12979000,-9369000,-17724000,-16930000,-14154000,-14524000,-17748000,-18041000,-18201000,-9685000,-14000000,-21155000,-25777000,-30766000,-32457000,-27651000,-21832000,-19653000,-4415000,-17751000,-12093000,-119247000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88600000,- -,-20000000,-24903000,- -
91,Common Stock Issued,- -,58200000,- -,- -,- -,100000,300000,800000,1140000,821000,3214000,2949000,1112000,662000,3610000,2777000,700000,1540000,1148000,738000,2654000,2420000,278000,287000,391000,223000,259000,177000,182000,195000,160000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-2424000,-7576000,- -,- -,- -,- -,- -,-241000,-28499000,-1000,-394000,-656000,-3219000,-4675000,- -,-7533000,-18824000,-42604000,-29798000,-46046000,-37768000,- -,-7147000
93,Dividends Paid,-2500000,-6100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23460000,-4867000,-4828000,-5037000,-5028000,-4819000,-4763000,-5671000,-5128000,-7998000
94,Other Financing Activites,3000000,-22700000,18000000,-3700000,-3750000,-9400000,-3500000,-6600000,20101000,18176000,-13943000,-12623000,6247000,-14822000,-7356000,480000,299000,224000,385000,520000,1254000,796000,-768000,- -,4000,-418000,87573000,-327000,8940000,23167000,-2750000
95,Cash Used/Provided by Financing Activities,500000,29400000,18000000,-3700000,-3750000,-9300000,-3200000,-5800000,18817000,11421000,-10729000,-9674000,7359000,-14160000,-3746000,3016000,-27500000,1763000,1139000,602000,689000,-24919000,-5357000,-12074000,-23466000,-47827000,-35385000,-50959000,-54317000,-6669000,-17735000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
