,https://roic.ai/company/LZB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,72400000,94500000,105600000,120500000,125300000,129200000,137700000,145000000,164700000,158600000,174400000,187200000,205500000,234100000,288900000,382400000,410000000,331700000,413903000,391298000,426400000,386438000,416000000,442600000,335000000,323314000,330200000,357300000,380000000,401088000,459140000,475961000,493378000,605567000,606783000,603524000
11,COGS and Expenses,301100000,375300000,443500000,504700000,541900000,564700000,576000000,637300000,744600000,787800000,879800000,931900000,1030800000,1180800000,1573100000,2135400000,2057300000,1949000000,1969740000,1964142000,1884365000,1577685000,1467700000,1320700000,1137300000,1156113000,1182000000,1264900000,1268000000,1322230000,1402502000,1386718000,1454578000,1648398000,1589320000,1597508000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2504000,724000,944000,611000,621000,761000,1030000,827000,981000,1709000,2103000,2785000,1101000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5581000,2972000,2346000,1384000,746000,548000,523000,486000,1073000,538000,1542000,1291000,1390000
14,Depreciation and Amortization,6800000,9000000,14200000,13600000,13700000,14000000,14800000,14100000,14000000,15200000,20100000,20400000,21000000,22100000,30342000,45697000,43988000,30695000,29112000,28329000,29234000,27204000,24696000,71156000,25246000,24302000,23486000,23140000,23182000,22283000,26517000,29131000,31767000,31147000,98865000,98592000
15,EBITDA,48500000,54000000,56200000,57600000,59300000,52400000,54700000,59400000,75500000,77200000,86300000,94200000,100300000,129300000,170642000,157697000,132988000,125895000,43076000,85798000,38667000,41433000,4196000,-20263000,73418000,59288000,90770000,93786000,110230000,130533000,150335000,159882000,154966000,126449000,213814000,244827000
16,EBITDA ratio,0.1419,0.1286,0.1154,0.1041,0.1001,0.0862,0.0883,0.0868,0.0938,0.0908,0.0911,0.0937,0.0905,0.1004,0.0994,0.0699,0.0617,0.0596,0.0216,0.0419,0.0202,0.0256,0.0029,-0.0165,0.0623,0.0499,0.0737,0.0704,0.0812,0.0916,0.0986,0.1052,0.0978,0.0724,0.1255,0.1412
17,Operating Income,40600000,44700000,43300000,48500000,50400000,43300000,43500000,46800000,60300000,62400000,67500000,73900000,77200000,106700000,144300000,120794000,96700000,162874000,29136000,63651000,19126000,31955000,-16746000,-94066000,41943000,25909000,49631000,67627000,89296000,103165000,122389000,130581000,129369000,129674000,118762000,136736000
18,Operating Income ratio,0.1188,0.1064,0.0889,0.0877,0.0851,0.0712,0.0702,0.0684,0.0749,0.0734,0.0713,0.0735,0.0697,0.0829,0.0840,0.0535,0.0449,0.0771,0.0146,0.0311,0.0100,0.0198,-0.0115,-0.0767,0.0356,0.0218,0.0403,0.0508,0.0658,0.0724,0.0802,0.0859,0.0817,0.0743,0.0697,0.0788
19,Total Other Income Expenses (Gains),1100000,300000,-1300000,-4500000,-4800000,-4900000,-3600000,-1500000,-2200000,-400000,-1300000,-100000,2100000,500000,-4000000,-8794000,-7800000,-7874000,-6848000,-10272000,-9693000,-2097000,2246000,-2934000,2757000,57000,17269000,3073000,2304000,2463000,2654000,159000,-479000,-34347000,-3589000,9177000
20,Income Before Tax,41700000,45000000,42000000,44000000,45600000,38400000,39900000,45300000,58100000,62000000,66200000,73800000,79300000,107200000,140300000,112000000,88900000,155000000,22288000,53379000,9433000,29858000,-14500000,-97000000,44700000,25966000,66900000,70700000,91600000,105628000,125043000,130740000,128890000,95327000,115173000,145913000
21,Income Before Tax Ratio,0.1220,0.1071,0.0863,0.0795,0.0770,0.0632,0.0644,0.0662,0.0722,0.0729,0.0699,0.0734,0.0716,0.0833,0.0817,0.0496,0.0413,0.0734,0.0112,0.0261,0.0049,0.0185,-0.0100,-0.0791,0.0379,0.0219,0.0543,0.0531,0.0675,0.0741,0.0820,0.0860,0.0814,0.0546,0.0676,0.0841
22,Income Tax expense (Gain),18700000,20300000,15500000,16500000,17300000,15000000,14800000,18000000,23400000,25700000,26900000,28500000,29400000,41100000,52700000,43700000,27200000,58900000,19760000,20284000,12474000,10090000,-7000000,24300000,12700000,8593000,-22100000,23500000,31400000,36954000,44080000,43756000,41795000,25186000,36189000,38384000
23,Net Income,23000000,24700000,26500000,27500000,28300000,23400000,25100000,27300000,38100000,36300000,39300000,45300000,49900000,66100000,87600000,68300000,61800000,36300000,-5796000,37185000,-3041000,4139000,-13500000,-121300000,32500000,24047000,88000000,46400000,55100000,70773000,79252000,85922000,80866000,68574000,77469000,106461000
24,Net Income ratio,0.0673,0.0588,0.0544,0.0497,0.0478,0.0385,0.0405,0.0399,0.0473,0.0427,0.0415,0.0450,0.0450,0.0513,0.0510,0.0303,0.0287,0.0172,-0.0029,0.0182,-0.0016,0.0026,-0.0093,-0.0989,0.0276,0.0203,0.0714,0.0348,0.0406,0.0497,0.0520,0.0565,0.0511,0.0393,0.0455,0.0614
25,EPS,0.42,0.45,0.48,0.51,0.53,0.43,0.46,0.50,0.69,0.67,0.71,0.83,0.93,1.25,1.61,1.13,1.02,0.64,-0.11,0.71,-0.06,0.08,-0.26,-2.36,0.63,0.46,1.66,0.87,1.06,1.39,1.57,1.77,1.73,1.46,1.67,2.31
26,EPS Diluted,0.42,0.45,0.48,0.51,0.53,0.43,0.46,0.50,0.69,0.67,0.71,0.83,0.93,1.24,1.60,1.13,1.01,0.63,-0.11,0.71,-0.06,0.08,-0.26,-2.36,0.62,0.45,1.64,0.85,1.02,1.34,1.55,1.73,1.67,1.44,1.66,2.30
27,Weighted Average Shares Outstanding,54761905,54888889,55208333,53921569,53396226,54418605,54565217,54600000,54804000,54132000,55494000,54324000,53655000,52890000,54488000,60550000,60739000,57120000,53508000,52082000,51801000,51475000,51408000,51460000,51533000,51849000,51944000,52351000,51981000,50747000,50194000,48472000,46788000,46828000,46399000,45983000
28,Weighted Average Shares Outstanding Diluted,54761905,54888889,55208333,53921569,53396226,54418605,54565217,54600000,54893617,54883721,56000000,55000000,53848921,53148000,54860000,60692000,61125000,57435000,53679000,52138000,51801000,51606000,51408000,51460000,51732000,52279000,52478000,53685000,53829000,52346000,50765000,49470000,48135000,47333000,46736000,46367000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57131/000005713194000013/0000057131-94-000013-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713195000048/0000057131-95-000048-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713196000034/0000057131-96-000034-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713197000021/0000057131-97-000021-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713198000032/0000057131-98-000032-index.html,- -,https://www.sec.gov/Archives/edgar/data/57131/000005713100000017/0000057131-00-000017-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713101500015/0000057131-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713102000017/0000057131-02-000017-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57131/000095012408002750/0000950124-08-002750-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420409032651/0001144204-09-032651-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420410033393/0001144204-10-033393-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420411036816/0001144204-11-036816-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420412035439/v314673_10k.htm,https://www.sec.gov/Archives/edgar/data/57131/000114036113025602/0001140361-13-025602-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114036114025965/0001140361-14-025965-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746915005489/0001047469-15-005489-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746916013932/0001047469-16-013932-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746917004131/0001047469-17-004131-index.html,https://www.sec.gov/Archives/edgar/data/57131/000110465918041060/0001104659-18-041060-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746919003700/0001047469-19-003700-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713120000035/0000057131-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/57131/000005713121000049/0000057131-21-000049-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,15700000,22600000,16900000,18200000,6700000,13000000,21700000,28800000,25900000,8000000,7100000,5800000,10700000,33600000,14400000,23600000,26800000,28800000,33882000,37705000,24089000,51721000,14500000,17400000,108400000,115262000,152400000,131100000,149700000,98302000,112358000,141860000,134515000,129819000,261553000,391213000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,20000000,19600000,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,17900000,- -,16913000,16266000,21357000,21971000,- -
33,Cash and Short-Term Investments,15700000,22600000,16900000,18200000,6700000,13000000,21700000,28800000,25900000,27000000,27100000,25400000,28700000,33600000,14400000,23600000,26800000,28800000,33882000,37705000,24089000,51721000,14500000,17400000,108400000,115262000,152400000,131100000,167400000,116202000,112358000,158773000,150781000,151176000,283524000,391213000
34,Net Receivables,103800000,113800000,130600000,143100000,154000000,153600000,160600000,175100000,183100000,192900000,206400000,215000000,239200000,265200000,394500000,380900000,385300000,340500000,299801000,283915000,270578000,230399000,200400000,147900000,165000000,161299000,167200000,160000000,152600000,158548000,146545000,150846000,154055000,143288000,99351000,139341000
35,Inventory,35200000,45500000,66800000,65600000,69600000,60400000,57800000,60500000,67200000,81100000,79200000,78800000,91900000,96500000,245800000,257900000,208700000,252500000,250568000,260556000,238826000,197790000,178400000,140200000,134200000,138444000,143800000,146300000,147000000,156789000,175589000,175114000,184841000,196899000,181643000,226137000
36,Other Current Assets,3300000,5000000,5100000,8900000,10100000,11200000,13500000,14600000,19400000,24400000,24400000,23600000,23200000,30300000,37700000,46400000,50900000,57700000,69423000,56189000,51066000,60888000,34200000,42300000,20500000,17218000,36600000,63500000,55700000,44912000,47480000,32689000,28541000,49755000,61808000,169469000
37,Total Current Assets,158000000,186900000,219400000,235800000,240400000,238200000,253600000,279000000,295600000,325400000,337100000,342800000,383000000,425600000,692400000,708800000,671700000,679500000,653674000,638365000,584559000,540798000,427500000,347800000,428100000,432223000,500000000,500900000,522700000,476451000,481972000,517422000,518218000,541118000,626326000,926160000
38,PP&E,56900000,73500000,84200000,79800000,89100000,95500000,93400000,90400000,94300000,117200000,116200000,114700000,121800000,126000000,227900000,230300000,205500000,209400000,212739000,210565000,209986000,183218000,171000000,150200000,138900000,120603000,114400000,118100000,127500000,174036000,171590000,169132000,180882000,200523000,533414000,562994000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,41700000,40400000,38700000,49400000,47000000,116700000,112800000,108200000,78800000,- -,- -,56926000,55659000,47200000,- -,- -,- -,- -,12800000,13900000,15164000,37193000,74245000,75254000,185867000,161017000,175814000
40,Intangible Assets,- -,- -,26300000,25600000,24700000,23800000,22900000,21700000,20800000,- -,- -,- -,- -,- -,135300000,134700000,116800000,71100000,96005000,100846000,18794000,9472000,9000000,3100000,3100000,3100000,3000000,4800000,4500000,5458000,8558000,18489000,18190000,29907000,28653000,30431000
41,Intangible Assets,- -,- -,26300000,25600000,24700000,23800000,22900000,21700000,20800000,41700000,40400000,38700000,49400000,47000000,252000000,247500000,225000000,149900000,96005000,100846000,75720000,65131000,56200000,3100000,3100000,3100000,3000000,17600000,18400000,20622000,45751000,92734000,93444000,215774000,189670000,206245000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,6700000,6300000,5500000,5700000,50300000,45700000,46100000,36900000,- -,- -,- -,15380000,- -,700000,- -,2883000,- -,- -,- -,- -,41683000,- -,- -,- -,- -,11915000
44,Other Non-Current Assets,18100000,9500000,6700000,7800000,7700000,5600000,6800000,10000000,19600000,12900000,17100000,25900000,20700000,25500000,-4300000,-9800000,12500000,47400000,85078000,76581000,100909000,74164000,114200000,50700000,38700000,34646000,68300000,83800000,102700000,103495000,59033000,109567000,100423000,102375000,85479000,79008000
45,Total Non-Current Assets,75000000,83000000,117200000,113200000,121500000,124900000,123100000,122100000,134700000,178400000,180400000,185600000,197400000,204200000,525900000,513700000,489100000,443600000,393822000,387992000,386615000,337893000,341400000,204700000,180700000,161232000,185700000,219500000,248600000,298153000,318057000,371433000,374749000,518672000,808563000,860162000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,233000000,269900000,336600000,349000000,361900000,363100000,376700000,401100000,430300000,503800000,517500000,528400000,580400000,629800000,1218300000,1222500000,1160800000,1123100000,1047496000,1026357000,971174000,878691000,768900000,552500000,608800000,593455000,685700000,720400000,771300000,774604000,800029000,888855000,892967000,1059790000,1434889000,1786322000
48,Accounts Payable,- -,- -,- -,- -,19300000,15800000,18400000,20000000,21600000,29300000,31000000,28600000,36700000,45400000,90400000,92800000,68500000,78900000,93298000,82792000,85561000,68089000,56400000,41600000,54700000,49537000,56600000,50500000,56200000,46168000,44661000,51282000,62403000,65365000,55511000,94152000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2900000,- -,- -,- -,- -,- -,8000000,10400000,- -,1619000,42563000,12760000,10844000,37688000,4792000,8724000,1066000,5120000,1829000,513000,7497000,397000,290000,219000,223000,180000,139376000,67614000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12398000,795000,2305000,11203000,19081000,20640000,15037000,11255000,20961000,40131000,21265000,17038000,20839000,289226000
52,Other Current Liabilities,51600000,71600000,72400000,76900000,50800000,49500000,50700000,57500000,47000000,58800000,65500000,69100000,71600000,87000000,138600000,146700000,158400000,134081000,147460000,133172000,132005000,122433000,90310000,74881000,89229000,66244000,72290000,78547000,88666000,97071000,91515000,107044000,97456000,156053000,134443000,160678000
53,Total Current Liabilities,51600000,71600000,72400000,76900000,70100000,65300000,69100000,77500000,71500000,88100000,96500000,97700000,108300000,132400000,237000000,249900000,226900000,214600000,283321000,228724000,228410000,228210000,163900000,126000000,147300000,132104000,149800000,150200000,167400000,154891000,157427000,198676000,181347000,238636000,350169000,611670000
54,Long-Term Debt,24500000,23300000,76200000,70600000,69100000,62200000,55900000,55400000,52500000,76400000,61300000,54700000,67300000,62700000,236100000,199400000,139400000,222400000,181807000,213549000,173368000,111714000,99600000,52100000,46900000,29937000,7900000,7600000,300000,433000,- -,296000,199000,19000,- -,295023000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,9900000,9700000,9200000,7200000,8100000,6400000,5300000,4900000,6900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,20219000,5389000,14548000,- -,26922000,- -,458000,- -,19081000,20640000,15037000,35072000,- -,40131000,21265000,20670000,20839000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-100000,8500000,15700000,16400000,16700000,16500000,19800000,82100000,78100000,81000000,76100000,39821000,51409000,44503000,53419000,27878000,68700000,72042000,67274000,67019000,57060000,66663000,60062000,85390000,59833000,77975000,117957000,363128000,97483000
58,Total Non-Current Liabilities,34400000,33000000,85400000,77800000,77200000,68600000,61200000,60200000,67900000,92100000,77700000,71400000,83800000,82500000,318200000,277500000,220400000,298500000,241847000,270347000,232419000,165133000,154400000,120800000,119400000,97211000,94000000,85300000,82000000,95567000,85390000,100260000,99439000,138646000,383967000,392506000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1272000,819000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,830000,803000,515000,422000,199000,334538000,362637000
61,Total Liabilities,86000000,104600000,157800000,154700000,147300000,133900000,130300000,137700000,139400000,180200000,174200000,169100000,192100000,214900000,555200000,527400000,447300000,513100000,525168000,499071000,460829000,393343000,318300000,246800000,266700000,229315000,243800000,235500000,249400000,250458000,242817000,298936000,280786000,377282000,734136000,1004176000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,18600000,18400000,17900000,17900000,52300000,61300000,60500000,60000000,55000000,52031000,52225000,51782000,51377000,51400000,51500000,51800000,51909000,52200000,52400000,52000000,50747000,49331000,48472000,46788000,46955000,45857000,45361000
64,Retained Earnings,138900000,156500000,161600000,180900000,189600000,203900000,220500000,236800000,263300000,277700000,297800000,314700000,342100000,332900000,392500000,427600000,444200000,342600000,253012000,273143000,246387000,223896000,190200000,70800000,108700000,126622000,189600000,226000000,238400000,235506000,252472000,284698000,291644000,325847000,343633000,399010000
65,Other Comprehensive Income/Loss,-41100000,-49700000,-55200000,-66600000,-69500000,-78400000,-92300000,-92300000,-92300000,-1400000,-1600000,-2000000,-2000000,-3800000,-4200000,-7800000,-11400000,-3797000,1129000,-12169000,1350000,1792000,-435000,-22459000,-20251000,-18804000,-31281000,-35496000,-31380000,-32139000,-34000000,-32883000,-25199000,-3462000,-6952000,-1521000
66,Other Total Stockholders Equity,49200000,58500000,72400000,80000000,94500000,103700000,118200000,118900000,119900000,28700000,28800000,28700000,30200000,33500000,213500000,214800000,220700000,216136000,- -,- -,- -,- -,209431000,205892000,201850000,201589000,231385000,241924000,262866000,270032000,279339000,289632000,298948000,313168000,318215000,330648000
67,Total Stockholders Equity,147000000,165300000,178800000,194300000,214600000,229200000,246400000,263400000,290900000,323600000,343400000,359300000,388200000,414900000,663100000,695100000,713500000,609939000,522328000,527286000,510345000,485348000,450596000,305733000,342099000,361316000,441904000,484828000,521886000,524146000,547142000,589919000,612181000,682508000,700753000,773498000
68,Total Liabilities And Stockholders Equity,233000000,269900000,336600000,349000000,361900000,363100000,376700000,401100000,430300000,503800000,517600000,528400000,580300000,629800000,1218300000,1222500000,1160800000,1123039000,1047496000,1026357000,971174000,878691000,768896000,552533000,608799000,590631000,685704000,720328000,771286000,774604000,789959000,888855000,892967000,1059790000,1434889000,1777674000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,100000,- -,- -,- -,- -,61000,- -,- -,- -,- -,4000,-33000,1000,2824000,-4000,72000,14000,- -,10070000,- -,- -,- -,- -,8648000
70,Total Liabilities & Equity,233000000,269900000,336600000,349000000,361900000,363100000,376700000,401100000,430300000,503800000,517500000,528400000,580400000,629800000,1218300000,1222500000,1160800000,1123100000,1047496000,1026357000,971174000,878691000,768900000,552500000,608800000,593455000,685700000,720400000,771300000,774604000,800029000,888855000,892967000,1059790000,1434889000,1786322000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57131/000005713194000013/0000057131-94-000013-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713195000048/0000057131-95-000048-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713196000034/0000057131-96-000034-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713197000021/0000057131-97-000021-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713198000032/0000057131-98-000032-index.html,- -,https://www.sec.gov/Archives/edgar/data/57131/000005713100000017/0000057131-00-000017-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713101500015/0000057131-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713102000017/0000057131-02-000017-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57131/000095012408002750/0000950124-08-002750-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420409032651/0001144204-09-032651-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420410033393/0001144204-10-033393-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420411036816/0001144204-11-036816-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114420412035439/v314673_10k.htm,https://www.sec.gov/Archives/edgar/data/57131/000114036113025602/0001140361-13-025602-index.html,https://www.sec.gov/Archives/edgar/data/57131/000114036114025965/0001140361-14-025965-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746915005489/0001047469-15-005489-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746916013932/0001047469-16-013932-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746917004131/0001047469-17-004131-index.html,https://www.sec.gov/Archives/edgar/data/57131/000110465918041060/0001104659-18-041060-index.html,https://www.sec.gov/Archives/edgar/data/57131/000104746919003700/0001047469-19-003700-index.html,https://www.sec.gov/Archives/edgar/data/57131/000005713120000035/0000057131-20-000035-index.htm,https://www.sec.gov/Archives/edgar/data/57131/000005713121000049/0000057131-21-000049-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,28300000,23400000,25100000,27300000,38100000,36300000,39300000,45300000,49900000,66100000,87600000,68300000,61800000,36300000,-5796000,37185000,-3041000,4139000,-13500000,-121300000,32500000,24047000,88000000,46400000,55100000,70773000,79252000,85922000,80866000,68574000,77469000,106461000
74,Depreciation and Amortization,- -,- -,- -,- -,13700000,14000000,14800000,14100000,14000000,15200000,20100000,20400000,21000000,22100000,30342000,45697000,43988000,30695000,29112000,28329000,29234000,27204000,24696000,71156000,25246000,24302000,23486000,23140000,23182000,22283000,26517000,29131000,31767000,31147000,98865000,98592000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-5400000,-2000000,- -,-2600000,-1000000,-2000000,3200000,-3100000,-5797000,-8365000,-8431000,6004000,-11843000,11632000,-3403000,-16390000,-6027000,- -,- -,-120000,-42146000,3198000,-216000,1030000,4581000,569000,17261000,-1668000,719000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3819000,5236000,3720000,5718000,11458000,8739000,6780000,8292000,8864000,9474000,10981000,8371000,12671000
77,Change in Working Capital,- -,- -,- -,- -,-23900000,2600000,11600000,17000000,22600000,13200000,3300000,4500000,29600000,18500000,162200000,3500000,-14100000,20100000,-94547000,39288000,-53492000,-43561000,-48988000,-41800000,59000000,19319000,50081000,500000,4600000,-33740000,2985000,-5799000,18125000,-34389000,-26325000,95285000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-3900000,9200000,2600000,-2700000,-6700000,-4100000,1900000,400000,-6900000,-4600000,-4703000,-3159000,39848000,-41028000,16309000,-10633000,25132000,4486000,23471000,36995000,5991000,-10531000,-7414000,391000,-9444000,-7644000,-14621000,12517000,-8009000,3135000,14900000,-40727000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7470000,-6088000,1704000,-5206000,-1007000,4541000,6602000,-2388000,-9913000,- -
