,https://roic.ai/company/EPC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,1.57,1.62,0.78,1.89,-0.42,2.05,1.98,3.32,4.03,4.26,5.67,5.71,4.77,5.76,3.75,6.30,6.55,5.74,-4.44,3.02,0.10,1.90,-6.52,1.25,2.15
26,EPS Diluted,1.57,1.62,0.78,1.88,-0.42,2.01,1.93,3.21,3.90,4.14,5.51,5.59,4.72,5.72,3.72,6.22,6.47,5.69,-4.44,2.99,0.10,1.90,-6.52,1.24,2.12
27,Weighted Average Shares Outstanding,102100000,101600000,102564103,95978836,92857143,90926829,85808081,80542169,71066998,61244131,56684303,57600000,62400000,70000000,69600000,64900000,62100000,62000000,62000000,59200000,57300000,54400000,54100000,54300000,54400000
28,Weighted Average Shares Outstanding Diluted,102100000,101600000,102564103,96489362,92857143,92736318,88031088,83302181,73435897,63019324,58330309,58900000,63100000,70500000,70300000,65700000,62900000,62600000,62000000,59700000,57500000,54500000,54100000,54600000,55200000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096752/000109675203000119/form10k2003.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675204000134/form10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675205000157/form10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675206000125/form10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677407002751/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677408001935/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677409002217/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677410002425/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675211000063/enr10k2011.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675212000123/enr10k2012.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675213000159/enr10k2013.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675214000141/enr10kq42014.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675215000088/epc10k93015.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675216000118/epc10k93016.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675217000040/epc10k93017.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675218000043/epc10k93018.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675219000041/epc10k93019.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675220000059/0001096752-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675221000032/0001096752-21-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,49100000,27800000,11900000,23000000,33900000,71700000,109100000,84500000,134300000,363200000,171200000,359300000,629700000,471200000,718500000,998300000,1129000000,712100000,738900000,502900000,266400000,341600000,364700000,479200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,49100000,27800000,11900000,23000000,33900000,71700000,109100000,84500000,134300000,363200000,171200000,359300000,629700000,471200000,718500000,998300000,1129000000,712100000,738900000,502900000,266400000,341600000,364700000,479200000
34,Net Receivables,- -,480100000,441900000,180600000,189100000,189000000,489200000,628500000,724100000,735400000,829400000,970300000,864300000,875000000,952200000,811700000,626000000,688500000,434300000,351500000,290900000,281600000,277500000,229800000,230600000
35,Inventory,- -,404400000,383000000,459100000,361300000,359000000,430600000,459700000,491000000,553900000,582300000,674600000,667300000,666300000,653400000,672400000,616300000,616900000,332800000,309200000,333500000,329500000,357200000,314100000,345700000
36,Other Current Assets,- -,63600000,121300000,278700000,209900000,306000000,251600000,179400000,164400000,211500000,236500000,210700000,234900000,258500000,315800000,320000000,327800000,295200000,157400000,52400000,58900000,73700000,68100000,75000000,80200000
37,Total Current Assets,- -,997200000,974000000,930300000,783300000,887900000,1243100000,1376700000,1464000000,1635100000,2011400000,2026800000,2125800000,2429500000,2392600000,2522600000,2568400000,2729600000,1636600000,1452000000,1186200000,951200000,1044400000,983600000,1135700000
38,PP&E,- -,476900000,472800000,485400000,476100000,455700000,701200000,705600000,682500000,659900000,649900000,835500000,863400000,840600000,885400000,848500000,755600000,751700000,476100000,486100000,453400000,424100000,396000000,370900000,362600000
39,Goodwill,- -,235200000,- -,- -,- -,- -,- -,- -,- -,364500000,380100000,1206400000,1326200000,1316400000,1475300000,1469500000,1475800000,1487400000,1421800000,1420300000,1445900000,1450800000,1032800000,1159700000,1162800000
40,Intangible Assets,- -,105500000,- -,- -,- -,- -,639000000,669400000,664000000,306700000,310400000,1663200000,1788600000,1774200000,1878200000,1853700000,1835500000,1847300000,1408500000,1385100000,1071700000,1099000000,912900000,928100000,906400000
41,Intangible Assets,- -,340700000,- -,- -,- -,- -,639000000,669400000,664000000,671200000,690500000,2869600000,3114800000,3090600000,3353500000,3323200000,3311300000,3334700000,2830300000,2805400000,2517600000,2549800000,1945700000,2087800000,2069200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,78300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,262800000,386900000,377800000,238200000,244500000,148800000,164000000,149800000,88100000,201200000,84800000,45000000,27200000,31900000,36900000,82100000,112700000,48700000,28000000,31600000,28200000,34800000,98600000,107100000
45,Total Non-Current Assets,- -,1080400000,859700000,863200000,714300000,700200000,1489000000,1539000000,1496300000,1497500000,1541600000,3789900000,4023200000,3958400000,4270800000,4208600000,4149000000,4199100000,3355100000,3319500000,3002600000,3002100000,2376500000,2557300000,2538900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2077600000,1833700000,1793500000,1497600000,1588100000,2732100000,2915700000,2960300000,3132600000,3553000000,5816700000,6149000000,6387900000,6663400000,6731200000,6717400000,6928700000,4991700000,4771500000,4188800000,3953300000,3420900000,3540900000,3674600000
48,Accounts Payable,- -,149000000,128600000,145000000,109200000,119400000,213200000,220500000,231800000,246600000,255600000,262400000,231600000,271000000,289600000,325200000,340400000,397100000,236900000,196500000,223600000,238400000,222800000,181900000,209500000
49,Short-Term Debt,- -,114400000,118800000,135000000,110300000,15000000,86100000,182300000,116200000,148600000,253000000,370400000,270100000,290900000,162000000,393900000,239000000,519500000,17500000,300300000,19400000,193100000,131400000,30200000,37500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25200000,- -,42500000,25300000,44700000,24100000,24300000,15100000,20200000,14400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,600000
52,Other Current Liabilities,- -,255300000,248500000,248600000,275700000,400200000,428200000,505100000,490100000,531700000,614300000,728900000,657800000,691600000,707700000,588400000,574000000,657100000,412400000,371400000,281400000,285500000,305400000,297000000,289200000
53,Total Current Liabilities,- -,518700000,495900000,528600000,495200000,534600000,727500000,907900000,838100000,926900000,1122900000,1361700000,1159500000,1253500000,1159300000,1307500000,1153400000,1573700000,666800000,868200000,524400000,717000000,659600000,510500000,536800000
54,Long-Term Debt,- -,1300000,1900000,370000000,225000000,160000000,913600000,1059600000,1295000000,1625000000,1372000000,2589500000,2288500000,2022500000,2206500000,2138600000,1998800000,1768900000,1704000000,1544200000,1525400000,1103800000,1097800000,1237900000,1281100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,28800000,- -,- -,- -,- -,- -,450800000,449400000,453800000,455000000,541700000,471100000,335800000,255300000,181800000,176100000,101100000,102500000,129000000
57,Other Non-Current Liabilities,- -,26300000,23000000,156700000,169500000,188700000,254200000,366000000,374100000,368300000,404200000,869200000,487900000,562900000,742500000,760600000,569900000,592700000,421000000,274800000,215500000,211800000,258900000,257100000,143400000
58,Total Non-Current Liabilities,- -,27600000,24900000,526700000,394500000,348700000,1196600000,1425600000,1669100000,1993300000,1776200000,3458700000,3227200000,3034800000,3402800000,3354200000,3110400000,2832700000,2460800000,2074300000,1922700000,1491700000,1457800000,1597500000,1553500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43700000,57900000
61,Total Liabilities,- -,546300000,520800000,1055300000,889700000,883300000,1924100000,2333500000,2507200000,2920200000,2899100000,4820400000,4386700000,4288300000,4562100000,4661700000,4263800000,4406400000,3127600000,2942500000,2447100000,2208700000,2117400000,2108000000,2090300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1100000,1100000,1100000,1100000,700000,700000,700000,700000,700000,700000,700000,700000,700000
64,Retained Earnings,- -,- -,- -,59800000,17500000,202400000,367100000,625800000,878500000,1073200000,1362700000,1671800000,1963200000,2353900000,2613000000,2993200000,1144100000,1373000000,772900000,946000000,952900000,1083100000,714800000,782400000,865700000
65,Other Comprehensive Income/Loss,- -,3062600000,-537300000,-534400000,-553900000,-584600000,-83900000,-60500000,-88900000,-57800000,46800000,7900000,-54900000,-157300000,-180700000,-217800000,-172900000,-271100000,-171500000,-197200000,-131400000,-148300000,-235900000,-191600000,-136900000
66,Other Total Stockholders Equity,- -,- -,1850200000,1211800000,1143300000,1086000000,523800000,15900000,-337500000,-804000000,-756600000,-684400000,-147100000,-98100000,-332100000,-707000000,1481700000,1419700000,1262000000,1079500000,919500000,809100000,823900000,841400000,854800000
67,Total Stockholders Equity,- -,1531300000,1312900000,738200000,607900000,704800000,808000000,582200000,453100000,212400000,653900000,996300000,1762300000,2099600000,2101300000,2069500000,2453600000,2522300000,1864100000,1829000000,1741700000,1744600000,1303500000,1432900000,1584300000
68,Total Liabilities And Stockholders Equity,- -,2077600000,1833700000,1793500000,1497600000,1588100000,2732100000,2915700000,2960300000,3132600000,3553000000,5816700000,6149000000,6387900000,6663400000,6731200000,6717400000,6928700000,4991700000,4771500000,4188800000,3953300000,3420900000,3540900000,3674600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2077600000,1833700000,1793500000,1497600000,1588100000,2732100000,2915700000,2960300000,3132600000,3553000000,5816700000,6149000000,6387900000,6663400000,6731200000,6717400000,6928700000,4991700000,4771500000,4188800000,3953300000,3420900000,3540900000,3674600000
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096752/000109675203000119/form10k2003.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675204000134/form10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675205000157/form10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675206000125/form10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677407002751/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677408001935/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677409002217/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677410002425/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675211000063/enr10k2011.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675212000123/enr10k2012.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675213000159/enr10k2013.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675214000141/enr10kq42014.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675215000088/epc10k93015.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675216000118/epc10k93016.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675217000040/epc10k93017.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675218000043/epc10k93018.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675219000041/epc10k93019.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675220000059/0001096752-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675221000032/0001096752-21-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,159800000,164700000,80000000,181400000,-39000000,186400000,169900000,267400000,286400000,260900000,321400000,329300000,297800000,403000000,261200000,408900000,407000000,356100000,-275300000,178700000,5700000,103300000,-372200000,67600000,117000000
74,Depreciation and Amortization,112300000,101200000,94900000,82000000,79800000,57400000,83200000,115800000,116300000,117500000,115000000,141300000,130400000,139200000,181300000,162200000,144500000,136200000,115300000,92600000,94400000,97600000,93800000,88800000,87100000
75,Deferred Income Tax,-43000000,-36600000,70400000,5900000,300000,6700000,-24700000,-14400000,-12300000,-23300000,-28600000,27000000,-8200000,-1300000,26400000,-2900000,43300000,3200000,-190400000,7800000,-87400000,2300000,-59600000,-2900000,9600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25600000,22200000,17000000,17800000,19200000,27300000
77,Change in Working Capital,31900000,478500000,-400000,-76400000,-113600000,65200000,162300000,-46800000,157100000,82300000,180300000,-223400000,301200000,209700000,57300000,-18200000,199900000,-259100000,-186100000,-386000000,78000000,-427600000,150600000,88300000,-26900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106700000,-26400000,-22500000,38200000,181800000,-34700000,21700000,23300000,41400000,-5400000,-1900000,66300000,3700000
79,Inventory,- -,- -,22100000,-90800000,90200000,500000,148000000,-21900000,-30300000,-54200000,-7100000,29500000,21800000,-2300000,65100000,-17600000,45100000,22400000,-35700000,28200000,-15500000,-12300000,-35000000,37100000,-28800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28100000,41300000,-12000000,47100000,17500000,57400000,-73400000,-29300000,23700000,11500000,-15100000,-42900000,25400000
81,Other Working Capital,- -,478500000,478100000,401700000,288100000,353300000,515600000,468800000,625900000,708200000,888500000,665100000,966300000,1176000000,1233300000,1215100000,1415000000,1155900000,969800000,583800000,661800000,234200000,384800000,473100000,- -
82,Other Non-Cash Items,21200000,-466500000,107400000,151400000,394600000,-109600000,51400000,163700000,-230700000,-64400000,-142800000,192300000,-232000000,-98200000,-113700000,81600000,-44700000,335600000,685300000,257700000,183300000,472100000,360200000,-28400000,14900000
83,Cash Provided by Operating Activities,282200000,241300000,352300000,344300000,322100000,206100000,442100000,485700000,316800000,373000000,445300000,466500000,489200000,652400000,412500000,631600000,750000000,572000000,148800000,176400000,296200000,264700000,190600000,232600000,229000000
84,CAPEX,-98800000,-102800000,-69200000,-72800000,-77900000,-40700000,-73000000,-121400000,-103000000,-94900000,-88600000,-160000000,-139700000,-108700000,-98000000,-111000000,-90600000,-85300000,-99400000,-69500000,-69000000,-62000000,-58000000,-47700000,-56800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-960900000,- -,- -,- -,- -,-1882100000,-275000000,- -,-267100000,- -,- -,-187100000,-12100000,- -,-34000000,-71200000,- -,-137800000,7200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13800000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-33400000,5500000,-2800000,13800000,12600000,7300000,8900000,10100000,5900000,-20700000,6300000,47600000,2500000,-4600000,1600000,16100000,1500000,9000000,-63300000,- -,18400000,4700000,12500000,-44800000,-55900000
89,Cash Used for Investing Activites,-132200000,-97300000,-72000000,-59000000,-65300000,-33400000,-1025000000,-111300000,-97100000,-115600000,-82300000,-1994500000,-412200000,-113300000,-363500000,-94900000,-89100000,-263400000,-174800000,-69500000,-84600000,-128500000,-45500000,-196400000,-48700000
90,Debt Repayment,- -,- -,-13300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-408000000,-252900000,-576000000,-441000000,-231500000,-140100000,-1900000000,-631000000,-568000000,-788000000,-509000000,-767000000,-500000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,26400000,20700000,39700000,21400000,35700000,12900000,515800000,12600000,8200000,3000000,18200000,9900000,4400000,- -,- -,- -,- -,750000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-79600000,-103300000,-131400000,-542900000,-461200000,-600700000,-53000000,- -,- -,- -,-276000000,-417800000,- -,-94400000,-175200000,-196600000,-165400000,-124400000,- -,- -,-9200000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24900000,-105600000,-123900000,-93200000,- -,- -,- -,- -,- -,-25600000
94,Other Financing Activites,-127800000,-133000000,-290100000,-301000000,-164900000,-58900000,716800000,183300000,179300000,367800000,-120100000,1327200000,3200000,5800000,641800000,597400000,-58600000,200800000,1836800000,744600000,272800000,537200000,445200000,-1700000,469400000
95,Cash Used/Provided by Financing Activities,-127800000,-133000000,-303400000,-301000000,-244500000,-162200000,611800000,-338900000,-242200000,-211500000,-137400000,1340100000,111000000,-234500000,-202000000,-283300000,-377500000,-147700000,-327200000,-83000000,-460600000,-375200000,-63800000,-18700000,-65400000
96,Effect of Forex Changes on Cash,-1800000,-4600000,1800000,-200000,-1200000,400000,8900000,1900000,-2100000,3900000,3300000,-4100000,100000,-34200000,-5500000,-6100000,-3600000,-30200000,-63700000,2900000,13000000,2500000,-6100000,5600000,-400000
97,Net Change In Cash,20400000,6400000,-21300000,-15900000,11100000,10900000,37800000,37400000,-24600000,49800000,228900000,-192000000,188100000,270400000,-158500000,247300000,279800000,130700000,-416900000,26800000,-236000000,-236500000,75200000,23100000,114500000
98,Cash at the End of Period,286800000,6400000,27800000,11900000,23000000,33900000,71700000,109100000,84500000,134300000,363200000,171200000,359300000,629700000,471200000,718500000,998300000,1129000000,712100000,738900000,502900000,266400000,341600000,364700000,479200000
99,Cash at the Beginning of Period,266400000,- -,49100000,27800000,11900000,23000000,33900000,71700000,109100000,84500000,134300000,363200000,171200000,359300000,629700000,471200000,718500000,998300000,1129000000,712100000,738900000,502900000,266400000,341600000,364700000
100,Free Cash Flow,183400000,138500000,283100000,271500000,244200000,165400000,369100000,364300000,213800000,278100000,356700000,306500000,349500000,543700000,314500000,520600000,659400000,486700000,49400000,106900000,227200000,202700000,132600000,184900000,172200000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096752/000109675203000119/form10k2003.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675204000134/form10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675205000157/form10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675206000125/form10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677407002751/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677408001935/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677409002217/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000120677410002425/energizer_10k.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675211000063/enr10k2011.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675212000123/enr10k2012.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675213000159/enr10k2013.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675214000141/enr10kq42014.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675215000088/epc10k93015.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675216000118/epc10k93016.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675217000040/epc10k93017.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675218000043/epc10k93018.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675219000041/epc10k93019.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675220000059/0001096752-20-000059-index.htm,https://www.sec.gov/Archives/edgar/data/1096752/000109675221000032/0001096752-21-000032-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
