,https://roic.ai/company/PCAR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,74800000,- -,- -,- -,- -,1919900000,181700000,766800000,-585400000,111600000,419400000,339200000,9500000,238900000,343900000,926300000,3822500000,-2909200000,612100000,-115700000,-442000000,183400000,-273800000,1427700000,1711900000,84700000,374300000,-320100000,880500000,950000000,1195500000,539700000,-351500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117900000,-299400000,-437200000,-174700000,455900000,-407300000,-781300000,-592500000,993000000,-322100000
79,Inventory,- -,- -,- -,- -,-2100000,33900000,39500000,-5200000,-44700000,-68200000,26000000,33900000,-44900000,-88000000,7500000,65900000,23800000,-15900000,23600000,-142100000,-30100000,-168500000,114400000,-85200000,53400000,96600000,-187100000,-61500000,-39600000,-189500000,64300000,64100000,-149900000,-332700000,24600000,-48200000,-610300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-303600000,240800000,252300000,-162600000,-8600000,333600000,528900000,-27600000,-53600000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1919900000,2101600000,2868400000,2283000000,2394600000,2814000000,3153200000,3162700000,3401600000,3745500000,4671800000,8494300000,5585100000,6197200000,6081500000,5639500000,5822900000,5549100000,6976800000,8688700000,8773400000,9147700000,8827600000,9708100000,10658100000,11853600000,12393300000,-82400000
82,Other Non-Cash Items,- -,- -,- -,- -,-80300000,-10300000,53900000,35700000,17000000,-1828800000,-204000000,-691600000,567200000,1500000,-309700000,-416900000,262700000,-33700000,-319200000,-1257100000,-4339000000,2831300000,-310400000,-377700000,905600000,240900000,-73800000,-1872900000,-1415500000,-139600000,-274200000,1075200000,-773500000,-1224400000,-1871200000,100600000,-4300000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,281900000,103500000,137900000,139700000,201900000,334500000,298300000,358300000,438400000,653800000,840200000,519600000,625700000,795400000,818700000,891000000,986800000,1852700000,2055400000,1304900000,1373300000,1551400000,1592600000,1519000000,2375700000,2123600000,2556000000,2300800000,2715800000,2992300000,2860300000,2987200000,2186700000
84,CAPEX,- -,- -,- -,- -,-46200000,-54200000,-39700000,-100200000,-82400000,-80600000,-93700000,-588400000,-133000000,-298000000,-306400000,-220100000,-309300000,-340200000,-369300000,-633500000,-848500000,-954300000,-1267400000,-1550000000,-971000000,-883800000,-1647300000,-1803400000,-1872800000,-1537300000,-1725200000,-1964900000,-1846600000,-1952300000,-1970800000,-1638400000,-1632800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1087000000,-843000000,-715000000,- -,- -,- -,-1239000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-26600000,-50200000,-52900000,-12900000,-21400000,-1518000000,-2357100000,-2036500000,-2307900000,-1286300000,-907400000,-268600000,-636800000,-659300000,-945600000,-876300000,-1172400000,-1458200000,-1282900000,-667300000,-288300000,-757500000,-1614200000,-1048900000,-990100000,-1122500000,-1329800000,-1031900000,-970300000,-615900000,-850600000,-842400000,-903100000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1523700000,2167000000,2183300000,2256500000,1265300000,773300000,408500000,628600000,537100000,1097900000,710500000,1135100000,1225400000,1345500000,1239400000,245500000,523800000,1142400000,768300000,888900000,997900000,1035500000,1304800000,779500000,931500000,715500000,597800000,727000000
88,Other Investing Activites,- -,- -,- -,- -,100000,11200000,103800000,-56400000,-422700000,-341400000,-436300000,-46900000,-74900000,-641000000,-792300000,-497400000,392600000,-130600000,-22300000,-406800000,-616800000,-639000000,-92000000,1813000000,2167400000,1365400000,-299900000,-504000000,-177000000,1369000000,44600000,127700000,72800000,-294000000,-101500000,7200000,446200000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-72700000,-93200000,11200000,-169500000,-526500000,-416300000,-720100000,-488500000,-259300000,-960000000,-1232800000,-577600000,75100000,-593000000,-239300000,-1206100000,-1502600000,-1826100000,-1296800000,-251900000,310600000,-467100000,-2419000000,-2588000000,-2151000000,-1531900000,-1974900000,-1564300000,-1964600000,-1930700000,-2207400000,-1875800000,-1362700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2184900000,-889600000,-1317900000,-668100000,-568900000,-1883000000,-1580100000,-1625100000,-1897100000,-1755300000,-1790000000,-1898500000,-2336700000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,13000000,12000000,22400000,23800000,15700000,11900000,37700000,30800000,11500000,- -,22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-46600000,-31800000,- -,- -,-1200000,- -,- -,- -,- -,- -,- -,-105800000,- -,- -,- -,-107700000,-367200000,-312000000,-360500000,-230600000,- -,- -,-337600000,-162100000,- -,-42700000,-201600000,-70500000,- -,-354400000,-110200000,-42100000,-1500000
93,Dividends Paid,- -,- -,- -,- -,-88800000,-87000000,-33800000,-37200000,-44000000,-74500000,- -,-155500000,-103100000,-163600000,-188100000,-217500000,-168400000,-123000000,-171900000,-270900000,-496900000,-530400000,-736700000,-629200000,-232100000,-251700000,-217400000,-809500000,-283100000,-623800000,-680500000,-829300000,-558300000,-804300000,-1138600000,-1239800000,-708000000
94,Other Financing Activites,- -,- -,- -,- -,76400000,-28700000,-149800000,23400000,341300000,263600000,304900000,327400000,7600000,576100000,709900000,388400000,-396100000,-58500000,17400000,879200000,1573200000,847200000,227900000,-19800000,600800000,158900000,2819000000,1849200000,1125800000,2029000000,2265700000,1701400000,2061600000,2985100000,3122200000,1371900000,2163300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-59000000,-147500000,-183600000,-13800000,296100000,189100000,304900000,171900000,-95500000,412500000,526500000,78100000,-552500000,-159100000,-130700000,516300000,721000000,42500000,-838500000,-868100000,-1816200000,-960400000,946100000,209500000,273800000,-520500000,-196500000,-823500000,-393800000,71100000,83400000,-1808500000,-882900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-2400000,9400000,100000,-900000,1300000,-19200000,-10400000,-2800000,31400000,-11800000,-37900000,-11800000,-29800000,74500000,125300000,66500000,-121000000,84500000,85500000,-87800000,89100000,4900000,-53800000,25200000,-20800000,-83700000,-105800000,-13700000,91600000,-61500000,2900000,61600000,-52400000
97,Net Change In Cash,- -,- -,- -,- -,-59000000,-147500000,-183600000,-13800000,296100000,- -,- -,- -,- -,- -,96000000,8300000,118500000,117800000,574000000,267700000,84200000,153600000,5600000,97100000,-43200000,128800000,65900000,-834300000,477700000,-12500000,278800000,-100700000,449000000,1071200000,739200000,-635500000,-111300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528400000,536700000,655200000,773000000,1347000000,1614700000,1698900000,1852500000,1858100000,1955200000,1912000000,2040800000,2106700000,1272400000,1750100000,1737600000,2016400000,1915700000,2364700000,3435900000,4175100000,3539600000,3428300000
99,Cash at the Beginning of Period,- -,- -,- -,- -,309300000,457100000,329300000,294900000,250400000,223200000,311300000,184000000,222900000,337900000,432400000,528400000,536700000,655200000,773000000,1347000000,1614700000,1698900000,1852500000,1858100000,1955200000,1912000000,2040800000,2106700000,1272400000,1750100000,1737600000,2016400000,1915700000,2364700000,3435900000,4175100000,3539600000
100,Free Cash Flow,- -,- -,- -,- -,235700000,49300000,98200000,39500000,119500000,253900000,204600000,-230100000,305400000,355800000,533800000,299500000,316400000,455200000,449400000,257500000,138300000,898400000,788000000,-245100000,402300000,667600000,-54700000,-284400000,502900000,586300000,830800000,335900000,869200000,1040000000,889500000,1348800000,553900000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75362/000091205701504547/a2040860z10-k405.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465902000837/j3169_10k405.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465903003908/j8019_10k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465904007210/ba_10k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465905009484/a05-1783_110k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465906012138/a06-2326_110k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465907013855/a07-4930_110k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465908013201/a08-2420_110k.htm,https://www.sec.gov/Archives/edgar/data/75362/000110465909012954/0001104659-09-012954-index.html,https://www.sec.gov/Archives/edgar/data/75362/000119312510042642/0001193125-10-042642-index.html,https://www.sec.gov/Archives/edgar/data/75362/000119312511051678/d10k.htm,https://www.sec.gov/Archives/edgar/data/75362/000119312512086978/0001193125-12-086978-index.html,https://www.sec.gov/Archives/edgar/data/75362/000119312513080215/0001193125-13-080215-index.html,https://www.sec.gov/Archives/edgar/data/75362/000119312514073103/d628678d10k.htm,https://www.sec.gov/Archives/edgar/data/75362/000119312515065702/d823556d10k.htm,https://www.sec.gov/Archives/edgar/data/75362/000119312516465258/0001193125-16-465258-index.html,https://www.sec.gov/Archives/edgar/data/75362/000119312517050405/0001193125-17-050405-index.html,https://www.sec.gov/Archives/edgar/data/75362/000156459018002675/0001564590-18-002675-index.html,https://www.sec.gov/Archives/edgar/data/75362/000156459019003670/0001564590-19-003670-index.html,https://www.sec.gov/Archives/edgar/data/75362/000156459020005276/0001564590-20-005276-index.html,https://www.sec.gov/Archives/edgar/data/75362/000156459021006370/0001564590-21-006370-index.htm,https://www.sec.gov/Archives/edgar/data/75362/000156459022006237/0001564590-22-006237-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
