,https://roic.ai/company/COO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-12800000,-60700000,117800000,-164000000,-3900000,9300000,5600000,4800000,-10200000,-4500000,-7900000,-4700000,-4100000,-6700000,-6100000,-4742000,-2630000,-1802000,-4755000,-4262000,-27377000,-39563000,-45182000,-50756000,-35028000,-65486000,-34792000,-7946000,6326000,-9952000,-21186000,-28447000,-35100000,-71200000,-69300000,-45300000,-14300000
20,Income Before Tax,37600000,-22900000,126500000,-141100000,-18500000,-4000000,-24600000,-16100000,-33700000,-9300000,200000,12100000,21800000,23100000,32700000,42127000,52128000,65169000,90487000,112489000,108457000,73337000,672000,76207000,114828000,124426000,192764000,275452000,312271000,296534000,215485000,295633000,394000000,331900000,477400000,266500000,491500000
21,Income Before Tax Ratio,0.1136,-0.0498,0.2016,-0.2308,-0.3504,-0.0830,-0.6930,-0.2543,-0.3635,-0.0973,0.0021,0.1109,0.1541,0.1569,0.1978,0.2135,0.2222,0.2067,0.2197,0.2295,0.1345,0.0854,0.0007,0.0717,0.1063,0.1074,0.1448,0.1906,0.1967,0.1726,0.1199,0.1503,0.1842,0.1310,0.1799,0.1096,0.1682
22,Income Tax expense (Gain),2400000,2200000,58200000,10900000,-2200000,-3000000,200000,100000,400000,-4600000,100000,-4500000,-26600000,-34700000,10700000,12727000,14992000,16294000,21717000,19664000,16735000,7103000,11864000,10731000,14280000,11623000,17334000,26808000,15365000,24705000,10341000,20699000,21100000,192000000,10700000,28100000,-2453200000
23,Net Income,35200000,-38700000,68300000,-151700000,-16300000,-1700000,-24800000,-24900000,-46900000,-4700000,100000,16600000,31400000,39800000,25100000,28968000,37136000,48875000,68770000,92825000,91722000,66234000,-11192000,65476000,100548000,112803000,175430000,248339000,296151000,269856000,203523000,273917000,372900000,139900000,466700000,238400000,2944700000
24,Net Income ratio,0.1063,-0.0841,0.1088,-0.2482,-0.3087,-0.0353,-0.6986,-0.3934,-0.5059,-0.0492,0.0010,0.1522,0.2219,0.2704,0.1518,0.1468,0.1583,0.1550,0.1670,0.1894,0.1137,0.0771,-0.0118,0.0616,0.0931,0.0974,0.1318,0.1718,0.1865,0.1571,0.1133,0.1393,0.1743,0.0552,0.1759,0.0981,1.0076
25,EPS,2.52,-2.65,4.46,-10.50,-1.84,-0.45,-1.57,-1.40,-2.34,-0.23,0.01,0.70,1.20,1.34,0.89,1.02,1.25,1.60,2.20,2.85,2.18,1.49,-0.25,1.46,2.22,2.46,3.63,5.13,6.17,5.61,4.22,5.61,7.64,2.84,9.51,4.86,60.08
26,EPS Diluted,2.52,-2.65,4.23,-10.50,-1.84,-0.45,-1.57,-1.40,-2.34,-0.23,0.01,0.70,1.20,1.30,0.88,1.00,1.22,1.57,2.13,2.59,2.04,1.44,-0.25,1.43,2.21,2.43,3.63,5.05,5.96,5.51,4.14,5.59,7.52,2.81,9.33,4.81,60.08
27,Weighted Average Shares Outstanding,13968254,14576271,15331089,15485714,15501355,17024000,17206349,19139785,20170940,20700612,23152000,23522000,26142000,29656000,28196000,28376000,29674000,30558000,31226000,32534000,42021000,44522000,44707000,44995000,45164000,45827000,48309000,48440000,47995000,48143000,48268000,48785000,48800000,49200000,49100000,49100000,49304090
28,Weighted Average Shares Outstanding Diluted,13968254,14576271,16146572,15485714,15501355,17024000,17206349,19139785,20170940,20700612,23152000,23522000,26142000,30538000,28624000,29020000,30492000,31189000,32274000,36613000,45983000,47569000,44707000,46844000,45478000,46505000,48309000,49152000,49685000,48960000,49179000,49026000,49600000,49700000,50000000,49600000,49900000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711404/000095011795000007/0000950117-95-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/711404/000095011797000110/0000950117-97-000110-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/711404/0000950117-00-000158-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711404/000119312506007300/d10k.htm,https://www.sec.gov/Archives/edgar/data/711404/000119312506259322/d10k.htm,https://www.sec.gov/Archives/edgar/data/711404/000119312507270797/0001193125-07-270797-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312508257120/0001193125-08-257120-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312509256112/0001193125-09-256112-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312510283357/0001193125-10-283357-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312511343993/0001193125-11-343993-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140412000011/0000711404-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140413000012/0000711404-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140414000017/0000711404-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140415000021/0000711404-15-000021-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140416000042/0000711404-16-000042-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140417000044/0000711404-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140418000047/0000711404-18-000047-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140419000051/0000711404-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140420000042/0000711404-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/711404/000071140421000038/0000711404-21-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,125200000,39400000,28500000,55300000,196900000,172800000,76700000,38100000,10100000,10300000,11200000,6800000,18200000,7300000,20900000,14608000,12928000,10255000,47433000,39368000,30826000,8224000,3226000,1944000,3932000,3573000,5175000,12840000,77393000,25222000,16426000,100817000,88800000,77700000,89000000,115900000,95900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7982000,2750000,5746000,1829000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,125200000,39400000,28500000,55300000,196900000,172800000,76700000,38100000,10100000,10300000,11200000,6800000,18200000,7300000,20900000,14608000,20910000,13005000,53179000,41197000,30826000,8224000,3226000,1944000,3932000,3573000,5175000,12840000,77393000,25222000,16426000,100817000,88800000,77700000,89000000,115900000,95900000
34,Net Receivables,119500000,167400000,301700000,227000000,39200000,14800000,17300000,27600000,14300000,18300000,17700000,21700000,27500000,24400000,26800000,33058000,55318000,74545000,84607000,99269000,152610000,146584000,164493000,159158000,170941000,197490000,214779000,234297000,229537000,276280000,282918000,291370000,316600000,374700000,435300000,435400000,515300000
35,Inventory,98100000,129500000,254000000,157600000,6700000,8300000,10900000,14900000,15000000,11700000,9600000,10400000,15100000,30300000,33400000,38219000,51153000,76279000,89718000,107607000,185693000,236512000,267914000,283454000,260846000,227902000,253584000,320199000,338917000,381474000,419692000,417696000,454100000,468800000,506900000,570400000,585600000
36,Other Current Assets,6000000,10100000,21800000,347300000,34000000,1200000,69000000,39600000,12500000,3200000,2700000,3600000,7800000,54100000,19400000,26800000,27824000,35081000,36720000,56425000,74585000,65631000,81889000,81476000,68159000,62375000,66809000,90524000,101394000,108641000,122782000,124575000,93700000,169700000,132200000,152500000,268500000
37,Total Current Assets,348800000,346400000,606000000,787200000,276800000,197100000,173900000,120200000,51900000,43500000,41200000,42500000,68600000,116100000,100500000,112685000,155205000,198910000,264224000,304498000,443714000,456951000,517522000,526032000,503878000,491340000,540347000,657860000,747241000,791617000,841818000,934458000,953200000,1090900000,1163400000,1274200000,1465300000
38,PP&E,58100000,84900000,195100000,129800000,3600000,3100000,3600000,39700000,39900000,34800000,34100000,34700000,39500000,34200000,40300000,47933000,61028000,87944000,116277000,151065000,379785000,496357000,604530000,602654000,602568000,593887000,609205000,640255000,739867000,937325000,967100000,877700000,910100000,976000000,1132100000,1542100000,1604600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1217084000,1253686000,1251699000,1257029000,1261976000,1276567000,1370247000,1387611000,2220921000,2197077000,2164748000,2354800000,2392100000,2428900000,2447300000,2574000000
40,Intangible Assets,125700000,297200000,468300000,151400000,- -,6200000,8800000,10100000,16300000,15300000,14900000,21500000,36700000,84300000,80500000,110854000,145622000,253617000,298522000,342368000,1320462000,147160000,145833000,130587000,114700000,114177000,128341000,214783000,198769000,453605000,411100000,441100000,504700000,1521300000,1405300000,1289000000,1271500000
41,Intangible Assets,125700000,297200000,468300000,151400000,- -,6200000,8800000,10100000,16300000,15300000,14900000,21500000,36700000,84300000,80500000,110854000,145622000,253617000,298522000,342368000,1320462000,1364244000,1399519000,1382286000,1371729000,1376153000,1404908000,1585030000,1586380000,2674526000,2608177000,2605848000,2859500000,3913400000,3834200000,3736300000,3845500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31246000,26806000,22367000,10315000,19716000,21479000,20015000,25645000,27781000,23072000,21828000,14434000,16279000,15732000,4510000,6107000,60300000,58400000,78000000,80100000,2546600000
44,Other Non-Current Assets,13000000,122900000,88400000,69200000,7600000,11000000,1300000,3900000,1400000,1500000,1800000,4200000,30500000,61400000,64600000,51093000,3748000,3838000,4174000,3315000,16153000,13570000,18685000,50999000,45951000,40566000,48230000,43805000,47494000,39140000,39005000,51805000,75600000,74100000,66800000,104800000,144200000
45,Total Non-Current Assets,196800000,505000000,751800000,350400000,11200000,20300000,13700000,53700000,57600000,51600000,50800000,60400000,106700000,179900000,185400000,209880000,241644000,372205000,441340000,507063000,1736116000,1895650000,2042749000,2061584000,2048029000,2033678000,2084171000,2283524000,2390020000,3666723000,3618792000,3541460000,3905500000,5021900000,5111100000,5463300000,8140900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,545600000,851400000,1357800000,1137600000,288000000,217400000,187600000,173900000,109500000,95100000,92000000,102900000,175300000,296000000,285900000,322565000,396849000,571115000,705564000,811561000,2179830000,2352601000,2560271000,2587616000,2551907000,2525018000,2624518000,2941384000,3137261000,4458340000,4460610000,4475918000,4858700000,6112800000,6274500000,6737500000,9606200000
48,Accounts Payable,- -,- -,- -,- -,5800000,- -,21400000,14600000,4300000,6600000,5800000,9200000,7900000,8400000,6300000,7733000,11149000,15212000,16227000,21684000,36042000,66080000,61377000,63636000,36878000,51792000,61755000,85056000,108172000,116353000,116912000,107386000,142100000,146400000,150100000,176000000,161400000
49,Short-Term Debt,36700000,83000000,307300000,352300000,1400000,1500000,1100000,5200000,5800000,1400000,3200000,800000,400000,11600000,4900000,8094000,8249000,36333000,20658000,20871000,72260000,61366000,46514000,43013000,9844000,19159000,52979000,25284000,42987000,101518000,244193000,226300000,23400000,37100000,563700000,442600000,118600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,4494000,2828000,3640000,2518000,4034000,14740000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,73800000,168500000,319000000,284700000,57200000,43700000,29200000,34100000,27500000,34300000,30600000,23300000,25300000,26700000,30700000,49448000,48575000,75136000,81429000,73954000,149320000,149184000,178589000,148758000,128692000,128569000,152472000,152212000,170094000,224311000,208067000,202769000,230600000,353000000,396800000,385800000,452100000
53,Total Current Liabilities,110500000,251500000,626300000,637000000,64400000,45200000,51700000,53900000,37600000,42300000,39600000,33300000,33600000,46700000,41900000,65275000,67973000,126681000,118314000,116509000,257622000,276630000,286480000,255407000,175414000,199520000,267206000,262552000,321253000,442182000,569172000,536455000,396100000,536500000,1110600000,1004400000,732100000
54,Long-Term Debt,224300000,361400000,371000000,337100000,102900000,70900000,48700000,58600000,48100000,46200000,43500000,47900000,9100000,78700000,57100000,40257000,60553000,127318000,165203000,144865000,632652000,681286000,830116000,861781000,771630000,591977000,327453000,348422000,301670000,1280833000,1105764000,1107400000,1149300000,1985700000,1262600000,1383900000,1627800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,6800000,17700000,36200000,37900000,19000000,15800000,15600000,15100000,23400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6026000,9118000,9494000,10678000,15196000,16456000,20202000,20127000,30971000,24883000,69525000,31016000,37532000,38800000,31000000,28000000,25800000,24100000
57,Other Non-Current Liabilities,-100000,-200000,66900000,77800000,- -,- -,-100000,- -,-100000,10300000,10600000,6400000,21100000,25300000,22800000,18595000,12039000,5674000,- -,- -,7213000,6682000,9408000,38156000,48065000,46543000,72244000,86281000,65961000,77360000,80754000,94496000,98700000,251800000,244700000,498600000,280200000
58,Total Non-Current Liabilities,231000000,378900000,474100000,452800000,121900000,86700000,64200000,73700000,71400000,56500000,54100000,54300000,30200000,104000000,79900000,58852000,72592000,132992000,165203000,150891000,648983000,697462000,850202000,915133000,836151000,658722000,419824000,465674000,392514000,1427718000,1217534000,1239428000,1286800000,2268500000,1535300000,1908300000,1932100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270100000,267400000
61,Total Liabilities,341500000,630400000,1100400000,1089800000,186300000,131900000,115900000,127600000,109000000,98800000,93700000,87600000,63800000,150700000,121800000,124127000,140565000,259673000,283517000,267400000,906605000,974092000,1136682000,1170540000,1011565000,858242000,687030000,728226000,713767000,1869900000,1786706000,1775883000,1682900000,2805000000,2645900000,2912700000,2664200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,1519000,1588000,3153000,3268000,3334000,4490000,4497000,4525000,4548000,4557000,4614000,4802000,4945000,5034000,5099000,5156000,5208000,5200000,5300000,5300000,5300000,5400000
64,Retained Earnings,116500000,116800000,158200000,-62400000,-99200000,-90700000,-110100000,-134900000,-181700000,-186600000,-186400000,-169800000,-138400000,-98600000,-74000000,-46210000,-10112000,37236000,104139000,195021000,284437000,348000000,334127000,402242000,500078000,600522000,773136000,1018618000,1311851000,1578823000,1779440000,2050443000,2434200000,2576000000,3026400000,3261800000,6202100000
65,Other Comprehensive Income/Loss,-31600000,-54100000,-78800000,-60800000,-7700000,-6700000,-5900000,-6300000,-8400000,-10700000,-12500000,-14600000,-17100000,-10800000,-13900000,-19283000,-24294000,-4474000,14119000,26971000,14114000,38711000,71882000,-25240000,-12920000,-17334000,-18110000,-31261000,-15762000,-106182000,-191643000,-489600000,-375300000,-430700000,-447100000,-472000000,-341300000
66,Other Total Stockholders Equity,119200000,158300000,178000000,171000000,208600000,182900000,187700000,187500000,190600000,193600000,197200000,199700000,267000000,254700000,250500000,262412000,289102000,275527000,300521000,318835000,970184000,987301000,1013055000,1035526000,1048627000,1078974000,1177660000,1200449000,1103412000,1092138000,1074556000,1133816000,1111600000,1157000000,1043800000,1029500000,1075600000
67,Total Stockholders Equity,204100000,221000000,257400000,47800000,101700000,85500000,71700000,46300000,500000,-3700000,-1700000,15300000,111500000,145300000,164100000,198438000,256284000,311442000,422047000,544161000,1273225000,1378509000,1423589000,1417076000,1540342000,1666776000,1937488000,2192751000,2404535000,2569878000,2667509000,2699867000,3175700000,3307600000,3628400000,3824600000,6941800000
68,Total Liabilities And Stockholders Equity,545600000,851400000,1357800000,1137600000,288000000,217400000,187600000,173900000,109500000,95100000,92000000,102900000,175300000,296000000,285900000,322565000,396849000,571115000,705564000,811561000,2179830000,2352601000,2560271000,2587616000,2551907000,2525018000,2624518000,2920977000,3118302000,4439778000,4454215000,4475750000,4858600000,6112600000,6274300000,6737300000,9606000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20407000,18959000,18562000,6395000,168000,100000,200000,200000,200000,200000
70,Total Liabilities & Equity,545600000,851400000,1357800000,1137600000,288000000,217400000,187600000,173900000,109500000,95100000,92000000,102900000,175300000,296000000,285900000,322565000,396849000,571115000,705564000,811561000,2179830000,2352601000,2560271000,2587616000,2551907000,2525018000,2624518000,2941384000,3137261000,4458340000,4460610000,4475918000,4858700000,6112800000,6274500000,6737500000,9606200000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711404/000095011795000007/0000950117-95-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/711404/000095011797000110/0000950117-97-000110-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/711404/0000950117-00-000158-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711404/000119312506007300/d10k.htm,https://www.sec.gov/Archives/edgar/data/711404/000119312506259322/d10k.htm,https://www.sec.gov/Archives/edgar/data/711404/000119312507270797/0001193125-07-270797-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312508257120/0001193125-08-257120-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312509256112/0001193125-09-256112-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312510283357/0001193125-10-283357-index.html,https://www.sec.gov/Archives/edgar/data/711404/000119312511343993/0001193125-11-343993-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140412000011/0000711404-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140413000012/0000711404-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140414000017/0000711404-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140415000021/0000711404-15-000021-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140416000042/0000711404-16-000042-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140417000044/0000711404-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140418000047/0000711404-18-000047-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140419000051/0000711404-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/711404/000071140420000042/0000711404-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/711404/000071140421000038/0000711404-21-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-16300000,- -,-24800000,-24900000,-46900000,-4700000,100000,16600000,31400000,39800000,25100000,28968000,37136000,48875000,68770000,92825000,91722000,66234000,-11192000,65476000,100548000,112803000,175430000,248339000,296151000,269856000,203523000,273917000,372900000,139900000,466700000,238400000,2944700000
74,Depreciation and Amortization,- -,- -,- -,- -,13700000,- -,1000000,1500000,4800000,4200000,3300000,3900000,4700000,8400000,8400000,8734000,10988000,11369000,12525000,15651000,48638000,61647000,84511000,82185000,92602000,94001000,98149000,111214000,125349000,138201000,191403000,198274000,188400000,275100000,280800000,287100000,309300000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,300000,-500000,400000,-100000,-200000,-4200000,-27100000,-35800000,6800000,10894000,12895000,11736000,7268000,12182000,2670000,-971000,-3943000,3864000,7292000,-1755000,-4420000,-6806000,-17188000,-16005000,5582000,-10725000,-7100000,2900000,-15900000,-900000,-2502200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12037000,9638000,13876000,21540000,28538000,36515000,32879000,29858000,37200000,43200000,35100000,37600000,43800000
77,Change in Working Capital,- -,- -,- -,- -,-3000000,- -,-29700000,-55900000,-52000000,-13100000,400000,7600000,25800000,34400000,-10800000,-11190000,39822000,-15003000,73681000,42079000,-1897000,-5771000,50721000,39583000,57839000,-36644000,-18679000,122167000,30680000,-76553000,-76789000,125357000,159097000,-2700000,-501600000,217000000,-149900000
