,https://roic.ai/company/FLOW,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,-13900000,-749100000,-34000000,-44800000,-40000000,17800000,-25500000,-23500000,-16600000,-28500000
89,Cash Used for Investing Activites,-45300000,-752000000,-34000000,-44800000,-40000000,17800000,-25500000,-23500000,-21900000,-122800000
90,Debt Repayment,-41400000,-25500000,-10600000,-180400000,-1088200000,-472600000,-306500000,-263900000,-308800000,-415500000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-19900000,-40200000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11400000
94,Other Financing Activites,43200000,413800000,-287200000,112300000,1109300000,254000000,170200000,208100000,-33000000,402700000
95,Cash Used/Provided by Financing Activities,1800000,388300000,-297800000,-68100000,21100000,-218600000,-136300000,-55800000,-361700000,-64400000
96,Effect of Forex Changes on Cash,5200000,-4800000,-12000000,-21400000,-34000000,44400000,5600000,2600000,13500000,-11100000
97,Net Change In Cash,112300000,-105200000,-41200000,79300000,-80800000,48600000,-50600000,89100000,138200000,-127700000
98,Cash at the End of Period,363000000,257800000,216600000,295900000,215100000,263700000,214300000,303400000,441600000,313900000
99,Cash at the Beginning of Period,250700000,363000000,257800000,216600000,295900000,215100000,264900000,214300000,303400000,441600000
100,Free Cash Flow,124300000,239900000,261900000,156600000,-71900000,185600000,80100000,144800000,90300000,38000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1641991/000164199116000021/0001641991-16-000021-index.html,https://www.sec.gov/Archives/edgar/data/1641991/000164199117000010/0001641991-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1641991/000164199118000004/0001641991-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1641991/000164199119000012/0001641991-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1641991/000164199120000004/0001641991-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1641991/000164199121000016/0001641991-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1641991/000164199122000015/0001641991-22-000015-index.htm
102,false,,,,,,,,,,
