,https://roic.ai/company/ROST,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,93800000,123000000,130900000,148300000,171500000,196700000,219300000,240800000,265200000,278000000,321000000,361000000,413600000,449000000,520000000,438000000,486000000,573000000,628359000,673000000,766000000,863000000,936000000,1034357000,1131000000,1230000000,1304000000,1438000000,1526000000,1615371000,1738755000,1890408000,2043698000,2216550000,2356704000,2503281000,2874469000
11,COGS and Expenses,363100000,526300000,539600000,586300000,680300000,765600000,875800000,983500000,1070800000,1198000000,1352000000,1555000000,1793200000,1963000000,2222000000,2456000000,2729000000,3203000000,3546294000,3960000000,4619000000,5181000000,5554000000,5990933000,6458000000,6960000000,7545000000,8449000000,8887000000,9553327000,10315628000,11064113000,12086336000,12942827000,13892891000,12341855000,16583376000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,1807000,1131000,678000,600000,500000,411000,678000,3081000,11171000,26569000,27846000,4651000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8343000,9400000,10700000,11000000,7500000,300000,3395000,13290000,19569000,18847000,16407000,9740000,88064000,- -
14,Depreciation and Amortization,5600000,8500000,8700000,11300000,12000000,13100000,15900000,18700000,29600000,29000000,32000000,35400000,39500000,43200000,48187000,55063000,62621000,66176000,76739000,94593000,110848000,108135000,120699000,141802000,159043000,160693000,159892000,185491000,206111000,232959000,274828000,302515000,313163000,330357000,350892000,364245000,360664000
15,EBITDA,16600000,-36900000,27600000,48300000,59200000,38300000,61300000,75400000,78400000,91000000,104000000,170400000,235300000,263200000,294187000,304063000,317621000,394176000,451290000,373593000,439848000,507135000,545699000,645508000,887443000,1068617000,1223866000,1458072000,1549417000,1721720000,1899877000,2108240000,2372730000,2397640000,2524920000,558606000,2619204000
16,EBITDA ratio,0.0442,-0.0700,0.0479,0.0771,0.0807,0.0480,0.0662,0.0723,0.0699,0.0721,0.0729,0.1008,0.1183,0.1206,0.1192,0.1122,0.1063,0.1116,0.1151,0.0881,0.0890,0.0910,0.0913,0.0995,0.1235,0.1359,0.1422,0.1500,0.1515,0.1559,0.1591,0.1639,0.1679,0.1600,0.1574,0.0446,0.1385
17,Operating Income,12800000,1200000,36400000,40100000,53200000,32800000,50600000,59600000,51200000,65000000,75000000,134000000,195500000,220000000,246000000,253000000,258000000,329000000,374289000,280000000,325000000,390000000,421000000,495206000,726000000,907000000,1063000000,1272000000,1343000000,1488350000,1624371000,1802644000,2048396000,2040714000,2146182000,189710000,-16583376
18,Operating Income ratio,0.0341,0.0023,0.0632,0.0640,0.0725,0.0411,0.0546,0.0571,0.0456,0.0515,0.0526,0.0793,0.0983,0.1008,0.0996,0.0934,0.0864,0.0932,0.0955,0.0660,0.0657,0.0700,0.0705,0.0763,0.1011,0.1153,0.1235,0.1309,0.1313,0.1348,0.1360,0.1401,0.1449,0.1362,0.1338,0.0151,-0.0009
19,Total Other Income Expenses (Gains),-1800000,-46600000,-17500000,-3100000,-6000000,-7600000,-5200000,-2900000,-2400000,-4000000,-3000000,1000000,300000,-1000000,- -,-4000000,-3000000,- -,262000,-1000000,3000000,8000000,4000000,157000,-7000000,-10000000,-10000000,-7000000,- -,-2984000,-12612000,-16488000,-7676000,10162000,18106000,-83413000,2275123376
20,Income Before Tax,11000000,-45400000,18900000,37000000,47200000,25200000,45400000,56700000,48800000,61000000,72000000,135000000,195800000,219000000,246000000,249000000,255000000,329000000,374551000,279000000,328000000,398000000,425000000,495363000,719000000,897000000,1053000000,1265000000,1343000000,1485366000,1611759000,1786156000,2040720000,2050876000,2164288000,106297000,2258540000
21,Income Before Tax Ratio,0.0293,-0.0861,0.0328,0.0591,0.0643,0.0316,0.0490,0.0544,0.0435,0.0483,0.0505,0.0799,0.0985,0.1004,0.0996,0.0919,0.0854,0.0932,0.0955,0.0658,0.0663,0.0715,0.0711,0.0764,0.1001,0.1140,0.1223,0.1301,0.1313,0.1345,0.1350,0.1388,0.1444,0.1369,0.1349,0.0085,0.1194
22,Income Tax expense (Gain),3900000,-4000000,7400000,10700000,17400000,8600000,17700000,22700000,19500000,25000000,29000000,54000000,78300000,86000000,96000000,97000000,100000000,128000000,146449000,109000000,129000000,157000000,164000000,189922000,276000000,342224000,395974000,478081000,506006000,560642000,591098000,668502000,677967000,463419000,503360000,20915000,535951000
23,Net Income,7100000,-41400000,11500000,26300000,29800000,16600000,27700000,34000000,29300000,37000000,43000000,81000000,117500000,134000000,150000000,152000000,155000000,200000000,228102000,170000000,200000000,242000000,261000000,305441000,443000000,555000000,657000000,787000000,837000000,924724000,1020661000,1117654000,1362753000,1587457000,1660928000,85382000,1722589000
24,Net Income ratio,0.0189,-0.0785,0.0200,0.0420,0.0406,0.0208,0.0299,0.0326,0.0261,0.0293,0.0302,0.0479,0.0591,0.0614,0.0608,0.0561,0.0519,0.0566,0.0582,0.0401,0.0405,0.0434,0.0437,0.0471,0.0617,0.0706,0.0763,0.0810,0.0818,0.0837,0.0855,0.0869,0.0964,0.1059,0.1036,0.0068,0.0911
25,EPS,0.01,-0.05,0.01,0.03,0.04,0.02,0.04,0.04,0.04,0.05,0.06,0.10,0.15,0.18,0.21,0.23,0.24,0.32,0.38,0.29,0.34,0.43,0.48,0.59,0.90,1.18,1.46,1.79,1.97,2.23,2.53,2.85,3.58,4.30,4.63,0.24,4.90
26,EPS Diluted,0.01,-0.05,0.01,0.03,0.04,0.02,0.04,0.04,0.04,0.05,0.06,0.10,0.15,0.17,0.20,0.23,0.24,0.32,0.37,0.28,0.34,0.42,0.47,0.58,0.89,1.16,1.43,1.76,1.94,2.21,2.51,2.83,3.55,4.26,4.60,0.24,4.87
27,Weighted Average Shares Outstanding,710000000,807804878,836363636,841600000,745000000,737777778,764137931,824242424,808275862,774736842,787272727,799012346,782848000,748531469,723328000,660952000,639088000,624984000,608660000,589872000,577300000,557952000,540372000,516940000,491548000,471284000,451830000,438260000,425762000,413554000,403034000,392124000,381174000,369533000,358462000,352392000,352392000
28,Weighted Average Shares Outstanding Diluted,710000000,807804878,836363636,841600000,769032258,737777778,791428571,824242424,808275862,774736842,787272727,819240506,800032000,764571429,733368000,666696000,649680000,637968000,620604000,601520000,586128000,567532000,548568000,525260000,500056000,479608000,459964000,445568000,431610000,418078000,406405000,394958000,384329000,372678000,361182000,354619000,354619000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745732/000074573296000004/0000745732-96-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745732/000091205700020304/0000912057-00-020304-index.html,https://www.sec.gov/Archives/edgar/data/745732/000091205701510903/0000912057-01-510903-index.html,https://www.sec.gov/Archives/edgar/data/745732/000091205702016435/0000912057-02-016435-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677403000339/d12512.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677404000332/rs907356.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677405000592/rs907928.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677406000745/rs101600.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677407000885/0001206774-07-000885-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677408000659/0001206774-08-000659-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677409000660/0001206774-09-000660-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677410000742/0001206774-10-000742-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677411000627/rossstores_10k.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677412001210/0001206774-12-001210-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573213000006/0000745732-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573214000006/0000745732-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573215000009/rost-20150131x10k.htm,https://www.sec.gov/Archives/edgar/data/745732/000074573216000037/0000745732-16-000037-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573217000009/0000745732-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573218000004/0000745732-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573219000009/0000745732-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573220000016/0000745732-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573221000017/0000745732-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/745732/000074573222000014/0000745732-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,23600000,23400000,44800000,56400000,80100000,79300000,37200000,30400000,150600000,201546000,115300000,191800000,367400000,257600000,321355000,768300000,833900000,649800000,646800000,423200000,696608000,761602000,1111599000,1290294000,1412912000,1351205000,4819293000,4922365000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67400000,12800000,5200000,6100000,798000,1800000,3200000,700000,1100000,12000000,500000,1737000,- -,512000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,23600000,23400000,44800000,56400000,80100000,79300000,37200000,30400000,150600000,201546000,182700000,204600000,372600000,263700000,322153000,770100000,837100000,650500000,647900000,435200000,697108000,763339000,1111599000,1290806000,1412912000,1351205000,4819293000,4922365000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,5400000,7600000,7800000,8100000,11600000,15700000,14400000,20500000,18300000,25292000,31200000,29100000,30100000,37500000,41170000,44200000,45400000,50800000,59600000,62600000,73278000,73627000,75154000,87868000,96711000,102236000,115067000,119247000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,275200000,296000000,373700000,418800000,466500000,500500000,559600000,623400000,716500000,841491000,853100000,938100000,1051700000,1025300000,881058000,872500000,1086900000,1130100000,1209200000,1257200000,1372675000,1419104000,1512886000,1641735000,1750442000,1832339000,1508982000,2262273000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12100000,13500000,13300000,15100000,15700000,17700000,19900000,40700000,53700000,52209000,60900000,57000000,60600000,71500000,69334000,58600000,73800000,93000000,114700000,112200000,119729000,116125000,113410000,130748000,143954000,147048000,249149000,169291000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,316300000,340500000,439600000,498400000,573900000,613200000,631100000,715000000,939100000,1120538000,1127900000,1228800000,1515000000,1398000000,1313715000,1745400000,2043200000,1924400000,2031400000,1867200000,2262790000,2372195000,2813049000,3151157000,3404019000,3432828000,6692491000,7473176000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,171300000,181400000,192600000,204700000,248700000,273200000,301700000,331600000,402700000,484199000,556200000,639900000,748200000,868300000,951656000,943000000,983800000,1241700000,1493300000,1875300000,2273752000,2342906000,2328048000,2382464000,2475201000,5707218000,5795315000,5925799000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2889000,- -,2900000,2900000,2900000,2900000,2889000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8082000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10971000,- -,2900000,2900000,2900000,2900000,2889000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38014000,16848000,14082000,5602000,4374000,3710000,3110000,1331000,1288000,712000,125000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,21100000,21100000,25900000,- -,42500000,51800000,43400000,41000000,41500000,- -,116700000,122900000,129300000,161200000,- -,174500000,190000000,203600000,246800000,287600000,- -,130088000,121385000,85806000,124308000,363765000,- -,137642000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,-1800000,1400000,34900000,5200000,9500000,-1200000,-4900000,-5300000,52473000,-59600000,-52900000,-33900000,-56200000,41155000,-111148000,-117782000,-77002000,-108174000,-139910000,160593000,22599000,45581000,101912000,70038000,-155444000,230061000,103639000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,189900000,200700000,219900000,239600000,296400000,334500000,343900000,367700000,438900000,536672000,613300000,709900000,843600000,973300000,1041796000,1023200000,1073000000,1376800000,1639200000,2029600000,2440344000,2496924000,2496302000,2570894000,2669672000,5915539000,6025376000,6167080000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,506200000,541200000,659500000,738000000,870300000,947700000,975000000,1082700000,1378000000,1657210000,1741200000,1938700000,2358600000,2371300000,2355511000,2768600000,3116200000,3301200000,3670600000,3896800000,4703134000,4869119000,5309351000,5722051000,6073691000,9348367000,12717867000,13640256000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,109600000,137700000,184100000,202000000,248100000,254300000,260100000,314500000,397200000,448044000,451900000,474600000,698100000,637200000,536745000,658300000,767500000,761700000,807500000,779500000,1000700000,945559000,1021735000,1059844000,1177104000,1296482000,2256928000,2372302000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,- -,- -,- -,- -,50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,663030000,630517000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11885000000,15790000000,- -,- -,25586000000,33577000000,21818000000,- -,51505000000,57661000,31129000,53504000,18349000,- -,- -,16153000,- -,37749000,14425000,54680000,10249000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42313000,36184000000,66473000000,- -,8968000000,100657000000,16242000000,19639000000,- -,2894000000,10003000000,5598000000,20407000000,10227000000,- -,130088000000,121385000000,85806000000,124308000000,149679000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,74900000,81100000,120700000,121700000,155000000,168200000,97687000,-36008900000,-66243500000,263800000,-8708300000,-100302600000,-15856800000,-19265600000,418514000,-2361800000,-9418200000,-5013600000,-19791900000,-9613400000,658668000,-129430712000,-120654229000,-84939442000,-123475620000,-148273548000,1047075000,1212110000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,184500000,218800000,304800000,323700000,403100000,422500000,434100000,489600000,626700000,711844000,711600000,879000000,1083300000,1010600000,955259000,1190500000,1352300000,1346100000,1422600000,1393100000,1659368000,1602847000,1752506000,1926402000,2009484000,2701934000,3967033000,4214929000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,46100000,9800000,- -,- -,- -,- -,30000000,- -,25000000,50000000,50000000,- -,150000000,150000000,150000000,150000000,150000000,150000000,150000000,150000000,398375000,396025000,396493000,311994000,312440000,312891000,5069769000,4991622000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137642000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42313000,36184000000,66473000000,79709000,- -,- -,- -,- -,97157000,- -,91203000,-108520000,-84301000,-58871000,86681000,130088000,121385000,85806000,124308000,149679000,158568000,137642000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,21100000,21000000,25800000,33600000,42500000,51700000,1087000,-36135300000,-66389900000,60238000,214000000,223600000,215500000,240100000,156726000,270800000,189997000,420620000,415401000,405271000,279500000,268168000,290950000,348541000,321713000,2824614000,231857000,98371000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,67200000,30800000,25800000,33600000,42500000,51700000,73400000,48700000,108100000,189947000,264000000,223600000,365500000,390100000,403883000,420800000,431200000,462100000,481100000,496400000,764556000,794281000,808828000,746341000,758461000,3287184000,5460194000,5365277000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3175009000,3219714000,3169814000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,251700000,249600000,330600000,357300000,445600000,474200000,507500000,538300000,734800000,901791000,975600000,1102600000,1448800000,1400700000,1359142000,1611300000,1783500000,1808200000,1903700000,1889500000,2423924000,2397128000,2561334000,2672743000,2767945000,5989118000,9427227000,9580206000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,500000,500000,- -,900000,900000,800000,800000,1600000,1512000,1500000,1400000,1400000,1300000,1273000,1200000,2400000,2300000,2200000,2100000,2075000,4023000,3919000,3796000,3682000,3568000,3565000,3517000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,128900000,157900000,164200000,184600000,208400000,237900000,230600000,253900000,301400000,370278000,351500000,359800000,384900000,416100000,400972000,510900000,636700000,763500000,989300000,1190700000,1421724000,1574982000,1801138000,2071400000,2298762000,2330702000,2185801000,2874898000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122000000,-140200000,-156100000,-179600000,-192400000,-226400000,-267100000,-307400000,-358700000,-419683000,-50600000,-58800000,-400000,1000000,-1000000,400000,1000000,1000000,1000000,800000,-1760346000,364000,182000,54000,-2781507000,-3048101000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,247500000,273300000,320200000,375700000,407800000,461000000,503200000,597200000,698888000,803312000,463169000,533772000,523930000,552249000,595124000,644793000,692592000,726212000,774363000,813702000,2615757000,892622000,942778000,974058000,3784809000,4073080000,1101274000,1181635000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,254600000,291500000,328800000,380700000,424700000,473400000,467500000,544500000,643188000,755419000,765569000,836172000,909830000,970649000,996369000,1157293000,1332692000,1493012000,1766863000,2007302000,2279210000,2471991000,2748017000,3049308000,3305746000,3359249000,3290640000,4060050000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,506300000,541100000,659400000,738000000,870300000,947600000,975000000,1082800000,1377988000,1657210000,1741169000,1938772000,2358630000,2371349000,2355511000,2768593000,3116192000,3301212000,3670563000,3896802000,4703134000,4869119000,5309351000,5722051000,6073691000,9348367000,12717867000,13640256000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,100000,100000,- -,- -,100000,- -,-100000,12000,- -,31000,-72000,-30000,-49000,- -,7000,8000,-12000,37000,-2000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,506200000,541200000,659500000,738000000,870300000,947700000,975000000,1082700000,1378000000,1657210000,1741200000,1938700000,2358600000,2371300000,2355511000,2768600000,3116200000,3301200000,3670600000,3896800000,4703134000,4869119000,5309351000,5722051000,6073691000,9348367000,12717867000,13640256000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/745732/000074573296000004/0000745732-96-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745732/000091205700020304/0000912057-00-020304-index.html,https://www.sec.gov/Archives/edgar/data/745732/000091205701510903/0000912057-01-510903-index.html,https://www.sec.gov/Archives/edgar/data/745732/000091205702016435/0000912057-02-016435-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677403000339/d12512.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677404000332/rs907356.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677405000592/rs907928.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677406000745/rs101600.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677407000885/0001206774-07-000885-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677408000659/0001206774-08-000659-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677409000660/0001206774-09-000660-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677410000742/0001206774-10-000742-index.html,https://www.sec.gov/Archives/edgar/data/745732/000120677411000627/rossstores_10k.htm,https://www.sec.gov/Archives/edgar/data/745732/000120677412001210/0001206774-12-001210-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573213000006/0000745732-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573214000006/0000745732-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573215000009/rost-20150131x10k.htm,https://www.sec.gov/Archives/edgar/data/745732/000074573216000037/0000745732-16-000037-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573217000009/0000745732-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573218000004/0000745732-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573219000009/0000745732-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573220000016/0000745732-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/745732/000074573221000017/0000745732-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/745732/000074573222000014/0000745732-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,29800000,16600000,27700000,34000000,29300000,37000000,43000000,81000000,117500000,134000000,150000000,152000000,155000000,200000000,228102000,170000000,200000000,242000000,261000000,305441000,443000000,555000000,657000000,787000000,837000000,924724000,1020661000,1117654000,1362753000,1587457000,1660928000,85382000,1722589000
74,Depreciation and Amortization,- -,- -,- -,- -,12000000,13100000,15900000,18700000,29600000,29000000,32000000,35400000,39500000,43200000,48187000,55063000,62621000,66176000,76739000,94593000,110848000,108135000,120699000,141802000,159043000,160693000,159892000,185491000,206111000,232959000,274828000,302515000,313163000,330357000,350892000,364245000,360664000
75,Deferred Income Tax,- -,- -,- -,- -,400000,700000,-2900000,2900000,700000,900000,-2900000,-7400000,-1700000,-4400000,-5296000,10015000,12633000,17375000,31946000,28101000,-2590000,-10684000,-10699000,23804000,16113000,-17977000,40762000,-9039000,12411000,54845000,98740000,14628000,-34903000,31777000,32009000,-27812000,15775000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22575000,25746000,36551000,40404000,48952000,46847000,53001000,70937000,74554000,87417000,95585000,95438000,101568000,134217000
