,https://roic.ai/company/FSS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,258200000,261000000,292100000,340100000,370600000,391900000,416400000,463000000,501300000,599000000,720300000,793500000,825300000,901100000,955400000,989473000,980171000,975258000,1140820000,1124100000,1087000000,1141700000,1204000000,900600000,718000000,715600000,792300000,750300000,780000000,825900000,664400000,647100000,828100000,966500000,1071700000,996000000,1073000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3500000,3200000,- -,6500000,7300000,5500000,5600000,6500000,6100000,8500000,13400000,15400000,- -,19300000,- -,31401000,26368000,20075000,19750000,20800000,23100000,25000000,25900000,15300000,11400000,10300000,16400000,21400000,8800000,3800000,2300000,1900000,7300000,9300000,7900000,5700000,4000000
14,Depreciation and Amortization,5400000,5400000,5700000,7300000,8100000,7800000,8200000,8700000,9200000,10300000,15900000,18400000,20600000,23600000,27200000,29057000,30258000,23995000,24435000,22400000,21500000,17900000,21200000,15500000,15300000,19200000,22500000,13200000,14200000,15000000,12300000,19100000,30000000,36400000,41500000,44800000,50000000
15,EBITDA,27400000,29100000,30600000,42800000,51400000,55900000,59300000,65100000,74100000,89000000,106600000,127200000,105500000,129100000,111600000,144754000,122063000,97188000,89833000,28300000,39000000,73900000,106200000,-69800000,54400000,-73900000,25800000,11000000,75800000,106800000,112200000,82200000,99400000,157600000,188100000,175200000,171000000
16,EBITDA ratio,0.0985,0.1026,0.0962,0.1140,0.1241,0.1272,0.1270,0.1256,0.1311,0.1314,0.1306,0.1419,0.1141,0.1287,0.1051,0.1309,0.1138,0.0919,0.0744,0.0248,0.0337,0.0610,0.0837,-0.0728,0.0723,-0.1017,0.0324,0.0137,0.0890,0.1163,0.1461,0.1161,0.1106,0.1447,0.1540,0.1549,0.1410
17,Operating Income,20100000,22500000,26100000,35300000,43600000,47500000,50500000,55200000,63900000,78200000,95800000,102900000,99600000,101700000,106500000,116654000,92004000,81943000,65978000,-500000,69200000,69900000,64100000,55500000,33000000,-76900000,3300000,51500000,70600000,92600000,103200000,57700000,67100000,121500000,147100000,131400000,130700000
18,Operating Income ratio,0.0722,0.0794,0.0820,0.0940,0.1053,0.1081,0.1082,0.1065,0.1131,0.1155,0.1174,0.1148,0.1077,0.1014,0.1003,0.1055,0.0858,0.0775,0.0547,-0.0004,0.0598,0.0577,0.0505,0.0579,0.0439,-0.1058,0.0041,0.0641,0.0829,0.1008,0.1344,0.0815,0.0747,0.1115,0.1204,0.1162,0.1077
19,Total Other Income Expenses (Gains),-1600000,-2000000,-1200000,-6300000,-7600000,-5000000,-5000000,-5300000,-5100000,-8000000,-18500000,-9500000,-14700000,-15500000,-22100000,-32240000,-27550000,-20841000,-19961000,-24800000,-22900000,-27200000,-30100000,-29200000,-10700000,-11500000,-16600000,-25600000,-17600000,-5300000,-3300000,-900000,-6100000,-9900000,-8500000,-6800000,-13700000
20,Income Before Tax,18500000,20500000,24900000,29000000,36000000,42500000,45500000,49900000,58800000,70200000,77300000,93400000,84900000,86200000,84400000,84414000,64454000,61102000,46017000,-25300000,46300000,42700000,34000000,26300000,22300000,-88400000,-13300000,25900000,53000000,87300000,99900000,56800000,61000000,111600000,138600000,124600000,117000000
21,Income Before Tax Ratio,0.0665,0.0723,0.0783,0.0773,0.0869,0.0967,0.0975,0.0963,0.1040,0.1037,0.0947,0.1042,0.0918,0.0860,0.0795,0.0763,0.0601,0.0578,0.0381,-0.0222,0.0400,0.0352,0.0268,0.0274,0.0296,-0.1217,-0.0167,0.0322,0.0623,0.0950,0.1301,0.0802,0.0679,0.1024,0.1135,0.1102,0.0965
22,Income Tax expense (Gain),6800000,8700000,10000000,10400000,13000000,14400000,14500000,15500000,19000000,23400000,25700000,31400000,25900000,26800000,26900000,26759000,17864000,14923000,8345000,-12600000,-1000000,8300000,4200000,-5000000,4600000,72300000,1100000,3900000,-107200000,24300000,34100000,17400000,500000,17900000,30200000,28500000,17000000
23,Net Income,11700000,11800000,14900000,18600000,23000000,28200000,31000000,34400000,39800000,46800000,51600000,62000000,59000000,59400000,57500000,57537000,47573000,38195000,37303000,-2300000,-4600000,22700000,54900000,-95600000,23100000,-175700000,-14200000,-27500000,160000000,63700000,63500000,43800000,61600000,94000000,108500000,96200000,100000000
24,Net Income ratio,0.0420,0.0416,0.0468,0.0495,0.0555,0.0642,0.0664,0.0664,0.0704,0.0691,0.0632,0.0692,0.0638,0.0592,0.0541,0.0520,0.0444,0.0361,0.0309,-0.0020,-0.0040,0.0187,0.0433,-0.0997,0.0307,-0.2418,-0.0178,-0.0342,0.1879,0.0694,0.0827,0.0619,0.0686,0.0863,0.0888,0.0851,0.0824
25,EPS,0.26,0.26,0.32,0.40,0.48,0.61,0.67,0.75,0.86,1.02,1.13,1.35,1.30,1.30,1.26,1.27,1.05,0.83,0.78,-0.05,-0.10,0.47,1.15,-2.01,0.47,-3.05,-0.23,-0.44,2.56,1.01,1.02,0.72,1.03,1.57,1.80,1.59,1.64
26,EPS Diluted,0.26,0.26,0.32,0.40,0.48,0.61,0.67,0.75,0.86,1.02,1.13,1.35,1.29,1.30,1.25,1.26,1.05,0.83,0.78,-0.05,-0.10,0.47,1.15,-2.01,0.47,-3.05,-0.23,-0.44,2.53,1.00,1.00,0.71,1.02,1.54,1.76,1.56,1.62
27,Weighted Average Shares Outstanding,45000000,45384615,46562500,46500000,47916667,46229508,46268657,45866667,46279070,45957000,45859000,45952000,45384615,45692308,45634921,45304724,45307619,46018072,47824359,46000000,46000000,48297872,47739130,47562189,48600000,57600000,62200000,62300000,62600000,62700000,62200000,60400000,59700000,59900000,60200000,60300000,60900000
28,Weighted Average Shares Outstanding Diluted,45000000,45384615,46562500,46500000,47916667,46229508,46268657,45866667,46279070,45957000,45862069,45952000,45736434,45692308,46000000,45664286,45307619,46018072,47824359,48200000,48300000,48297872,47739130,47562189,48600000,57600000,62200000,62700000,63200000,63600000,63400000,61200000,60400000,61200000,61600000,61700000,61700000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277509/000027750995000002/0000277509-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750996000004/0000277509-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750997000004/0000277509-97-000004-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277509/000027750902000002/0000277509-02-000002-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277509/000095013707002610/c12538e10vk.htm,https://www.sec.gov/Archives/edgar/data/277509/000095013708002837/c24027e10vk.htm,https://www.sec.gov/Archives/edgar/data/277509/000095013709001359/0000950137-09-001359-index.html,https://www.sec.gov/Archives/edgar/data/277509/000095012310017679/0000950123-10-017679-index.html,https://www.sec.gov/Archives/edgar/data/277509/000095012311025900/c62191e10vk.htm,https://www.sec.gov/Archives/edgar/data/277509/000119312512115045/0001193125-12-115045-index.html,https://www.sec.gov/Archives/edgar/data/277509/000119312513109337/0001193125-13-109337-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750914000007/fss10k20131231.htm,https://www.sec.gov/Archives/edgar/data/277509/000027750915000008/fss10k20141231.htm,https://www.sec.gov/Archives/edgar/data/277509/000027750916000096/0000277509-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750917000008/0000277509-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750918000006/0000277509-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750919000008/0000277509-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750920000006/0000277509-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750921000005/0000277509-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/277509/000027750922000006/0000277509-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2200000,4700000,2400000,900000,2500000,1500000,100000,2200000,2600000,4600000,9400000,12400000,10700000,15300000,8800000,13556000,16882000,9782000,10119000,14900000,91900000,19300000,16000000,23400000,21100000,62100000,9500000,29700000,23800000,30400000,76000000,50700000,37500000,37400000,31600000,81700000,40000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2200000,4700000,2400000,900000,2500000,1500000,100000,2200000,2600000,4600000,9400000,12400000,10700000,15300000,8800000,13556000,16882000,9782000,10119000,14900000,91900000,19300000,16000000,23400000,21100000,62100000,9500000,29700000,23800000,30400000,76000000,50700000,37500000,37400000,31600000,81700000,40000000
34,Net Receivables,64700000,61200000,74800000,60800000,65900000,65300000,72300000,70700000,81600000,108000000,122900000,141200000,143000000,159100000,165700000,167964000,158994000,181843000,196356000,200600000,170000000,192100000,176100000,153200000,120200000,100400000,126900000,96900000,95600000,107600000,73000000,81300000,118200000,124400000,134200000,127000000,136000000
35,Inventory,53200000,52500000,55500000,55000000,51900000,55500000,55200000,58200000,63000000,78900000,97400000,108300000,109400000,132000000,162700000,157619000,152841000,183802000,180688000,178200000,158000000,174200000,205500000,137100000,112100000,119600000,116100000,119900000,109800000,121000000,87200000,120100000,137200000,157300000,182900000,185000000,229000000
36,Other Current Assets,1200000,2900000,2600000,2500000,2900000,2800000,3600000,4600000,4600000,4800000,5800000,5100000,5500000,4800000,8900000,9797000,13608000,19390000,16389000,24700000,24800000,33200000,49100000,31600000,26000000,17900000,21800000,20700000,36300000,31500000,78900000,7500000,10900000,9400000,12000000,11800000,26000000
37,Total Current Assets,121300000,121300000,135300000,119200000,123200000,125100000,131200000,135700000,151800000,196300000,235500000,267000000,268600000,311200000,346100000,348936000,342325000,394817000,403552000,418400000,444700000,418800000,446700000,345300000,279400000,300000000,274300000,267200000,265500000,290500000,315100000,259600000,303800000,328500000,360700000,405500000,431000000
38,PP&E,42500000,42500000,50600000,51600000,53400000,54600000,59600000,61300000,62200000,72800000,78500000,82800000,84700000,97400000,115400000,112596000,113742000,143932000,125573000,110900000,92800000,85700000,97600000,65400000,65500000,63200000,62200000,59300000,63800000,69500000,52900000,123700000,147300000,158600000,234900000,242100000,170000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310600000,406700000,328100000,319600000,310400000,294100000,272300000,273800000,266300000,231600000,236500000,377300000,375100000,388800000,394200000,432000000
40,Intangible Assets,- -,- -,16600000,18900000,22900000,29500000,44800000,54300000,65400000,115300000,158500000,165900000,188000000,232200000,277200000,274925000,280888000,348435000,366414000,352500000,333400000,- -,66000000,47800000,52700000,84400000,70700000,700000,- -,- -,- -,10200000,151800000,143100000,162900000,153500000,205000000
41,Intangible Assets,- -,- -,16600000,18900000,22900000,29500000,44800000,54300000,65400000,115300000,158500000,165900000,188000000,232200000,277200000,274925000,280888000,348435000,366414000,352500000,333400000,310600000,472700000,375900000,372300000,394800000,364800000,273000000,273800000,266300000,231600000,246700000,529100000,518200000,551700000,547700000,637000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30300000,17500000,- -,- -,- -,33100000,25300000,20100000,8200000,6200000,12500000,10000000,9500000,8000000
44,Other Non-Current Assets,10700000,13600000,9500000,61400000,71800000,86600000,105600000,112400000,126300000,137200000,147500000,188200000,186600000,195200000,222300000,254661000,278659000,281226000,290870000,244100000,248600000,234300000,160100000,17100000,10200000,6500000,5400000,13700000,8600000,7100000,46800000,5000000,5900000,6000000,8200000,4000000,120000000
45,Total Non-Current Assets,53200000,56100000,76700000,131900000,148100000,170700000,210000000,228000000,253900000,325300000,384500000,436900000,459300000,524800000,614900000,642182000,673289000,773593000,782857000,707500000,674800000,630600000,730400000,488700000,465500000,464500000,432400000,346000000,379300000,368200000,351400000,383600000,688500000,695300000,804800000,803300000,935000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,174500000,177400000,212000000,251100000,271300000,295800000,341200000,363700000,405700000,521600000,620000000,703900000,727900000,836000000,961000000,991118000,1015614000,1168410000,1186409000,1125900000,1119500000,1049400000,1177100000,834000000,744900000,764500000,706700000,613200000,644800000,658700000,666500000,643200000,992300000,1023800000,1165500000,1208800000,1366000000
48,Accounts Payable,- -,- -,- -,- -,14200000,23300000,29100000,26100000,33400000,44900000,53300000,64100000,50400000,63000000,74300000,60878000,53292000,76082000,82525000,79600000,75600000,90000000,82700000,56400000,45200000,53500000,55600000,52500000,50500000,50700000,38000000,35300000,51500000,66100000,65000000,51600000,64000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,135500000,186500000,218200000,231600000,188800000,99200000,145813000,28849000,16432000,70837000,18900000,72600000,64700000,48000000,37700000,41900000,78000000,9200000,5000000,7400000,6200000,400000,500000,300000,200000,200000,8400000,24000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,16200000,11200000,12100000,- -,4500000,6500000,10100000,11500000,13300000,- -
52,Other Current Liabilities,46800000,44700000,79600000,59700000,45200000,99900000,121300000,132900000,141100000,72200000,74600000,92300000,90500000,95100000,96000000,82229000,97289000,129370000,131008000,131200000,131600000,119200000,128300000,92300000,79300000,83100000,72800000,75900000,63500000,70100000,78800000,44600000,58800000,82400000,83500000,75100000,82000000
53,Total Current Liabilities,46800000,44700000,79600000,59700000,59400000,123200000,150400000,159000000,174500000,252600000,314400000,374600000,372500000,346900000,269500000,288920000,179430000,221884000,284370000,229700000,279800000,273900000,259000000,186400000,166400000,214600000,147500000,149600000,132600000,139100000,117200000,84900000,117100000,158800000,160200000,148400000,170000000
54,Long-Term Debt,28900000,21900000,20800000,18600000,13400000,15800000,15600000,16200000,21000000,34900000,39700000,34300000,32100000,137200000,307000000,316932000,446595000,481566000,395477000,394100000,203700000,160300000,240700000,299200000,159700000,- -,- -,151600000,83800000,43400000,43400000,63200000,277000000,209400000,219900000,209400000,326000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24200000,23500000,21400000,19400000,16500000,14600000,12600000,10700000,8700000,6800000,- -,- -,- -
56,Deferred Tax Liabilities,7700000,8400000,8500000,8500000,9500000,10400000,10300000,9400000,10900000,13800000,17800000,22200000,23600000,30200000,30400000,27835000,29280000,33495000,44820000,55100000,26000000,20700000,45500000,- -,- -,45800000,47200000,35800000,- -,- -,- -,- -,45400000,46300000,52700000,53700000,53000000
57,Other Non-Current Liabilities,- -,- -,-100000,- -,58600000,- -,100000,100000,100000,- -,- -,- -,-100000,-100000,100000,- -,- -,32656000,38692000,34300000,233700000,208100000,186600000,63900000,65900000,259700000,315900000,109900000,60900000,90000000,87700000,90300000,86700000,72400000,91100000,95200000,33000000
58,Total Non-Current Liabilities,36600000,30300000,29200000,27100000,81500000,26200000,26000000,25700000,32000000,48700000,57500000,56500000,55600000,167300000,337500000,344767000,475875000,547717000,478989000,483500000,463400000,389100000,472800000,363100000,249800000,329000000,384500000,316700000,161200000,148000000,143700000,164200000,417800000,334900000,363700000,358300000,412000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260600000,213300000,1700000,1300000,1000000,700000,800000,700000,700000,22200000,24300000,- -
61,Total Liabilities,83400000,75000000,108800000,86800000,140900000,149400000,176400000,184700000,206500000,301300000,371900000,431100000,428100000,514200000,607000000,633687000,655305000,769601000,763359000,713200000,743200000,663000000,731800000,549500000,416200000,543600000,532000000,466300000,293800000,287100000,260900000,249100000,534900000,493700000,523900000,506700000,582000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46900000,47067000,47378000,48394000,48439000,48600000,48800000,49100000,49400000,49300000,49600000,63000000,63100000,63400000,63800000,64200000,64800000,65400000,66100000,66400000,66900000,67800000,68000000
64,Retained Earnings,19200000,23600000,16500000,8400000,22900000,43300000,62100000,82200000,105500000,133100000,184700000,190200000,226500000,253400000,277000000,299985000,312206000,313684000,317404000,295800000,278900000,290700000,333800000,226400000,240400000,50600000,36400000,8900000,168900000,227000000,274900000,301800000,346600000,432500000,528200000,605000000,683000000
65,Other Comprehensive Income/Loss,-23700000,-26800000,-34100000,-40300000,-48100000,-53900000,-60600000,-67200000,-72400000,-80800000,-80800000,-94600000,-102700000,-113700000,-126000000,-129440000,-143765000,-37101000,-20382000,-12500000,66700000,-23100000,-11000000,-61500000,-39300000,-41600000,-76400000,-80100000,-41900000,-79500000,-88800000,-92000000,-76900000,-97300000,-89100000,-91700000,-74000000
66,Other Total Stockholders Equity,95600000,105600000,120800000,196200000,155600000,157000000,163300000,164000000,166100000,168000000,144200000,177200000,176000000,182100000,156100000,139819000,144490000,73088000,77048000,- -,- -,69700000,73100000,70300000,78000000,148900000,151600000,154700000,160200000,159900000,154700000,118900000,121600000,128500000,135600000,121000000,107000000
67,Total Stockholders Equity,91100000,102400000,103200000,164300000,130400000,146400000,164800000,179000000,199200000,220300000,248100000,272800000,299800000,321800000,354000000,357431000,360309000,398065000,422509000,412700000,376300000,386400000,445300000,284500000,328700000,220900000,174700000,146900000,351000000,371600000,405600000,394100000,457400000,530100000,641600000,702100000,784000000
68,Total Liabilities And Stockholders Equity,174500000,177400000,212000000,251100000,271300000,295800000,341200000,363700000,405700000,521600000,620000000,703900000,727900000,836000000,961000000,991118000,1015614000,1167666000,1185868000,1125900000,1119500000,1049400000,1177100000,834000000,744900000,764500000,706700000,613200000,644800000,658700000,666500000,643200000,992300000,1023800000,1165500000,1208800000,1366000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744000,541000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,174500000,177400000,212000000,251100000,271300000,295800000,341200000,363700000,405700000,521600000,620000000,703900000,727900000,836000000,961000000,991118000,1015614000,1168410000,1186409000,1125900000,1119500000,1049400000,1177100000,834000000,744900000,764500000,706700000,613200000,644800000,658700000,666500000,643200000,992300000,1023800000,1165500000,1208800000,1366000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277509/000027750995000002/0000277509-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750996000004/0000277509-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750997000004/0000277509-97-000004-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277509/000027750902000002/0000277509-02-000002-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/277509/000095013707002610/c12538e10vk.htm,https://www.sec.gov/Archives/edgar/data/277509/000095013708002837/c24027e10vk.htm,https://www.sec.gov/Archives/edgar/data/277509/000095013709001359/0000950137-09-001359-index.html,https://www.sec.gov/Archives/edgar/data/277509/000095012310017679/0000950123-10-017679-index.html,https://www.sec.gov/Archives/edgar/data/277509/000095012311025900/c62191e10vk.htm,https://www.sec.gov/Archives/edgar/data/277509/000119312512115045/0001193125-12-115045-index.html,https://www.sec.gov/Archives/edgar/data/277509/000119312513109337/0001193125-13-109337-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750914000007/fss10k20131231.htm,https://www.sec.gov/Archives/edgar/data/277509/000027750915000008/fss10k20141231.htm,https://www.sec.gov/Archives/edgar/data/277509/000027750916000096/0000277509-16-000096-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750917000008/0000277509-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750918000006/0000277509-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750919000008/0000277509-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750920000006/0000277509-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/277509/000027750921000005/0000277509-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/277509/000027750922000006/0000277509-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,11700000,11800000,- -,18600000,23000000,28200000,31000000,34400000,39800000,46800000,51600000,62000000,59000000,59400000,57500000,57537000,47573000,38195000,37303000,-2300000,-4600000,22700000,54900000,-95600000,23100000,-175700000,-14200000,-27500000,160000000,63700000,63500000,43800000,61600000,94000000,108500000,96200000,100000000
74,Depreciation and Amortization,5400000,5400000,- -,7300000,8100000,7800000,8200000,8700000,9200000,10300000,15900000,18400000,20600000,23600000,27200000,29057000,30258000,23995000,24435000,22400000,21500000,17900000,21200000,15500000,15300000,19200000,22500000,13200000,14200000,15000000,12300000,19100000,30000000,36400000,41500000,44800000,50000000
75,Deferred Income Tax,- -,- -,- -,- -,-1000000,-200000,300000,2200000,-400000,3500000,2500000,4400000,4100000,4000000,800000,-220000,-458000,2387000,5035000,13800000,-4400000,-2700000,18300000,-14600000,3600000,-13700000,-500000,-4800000,-112000000,19300000,25900000,7900000,-14900000,-5600000,3300000,5800000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,2300000,2000000,2600000,4000000,6100000,6800000,4800000,4600000,7600000,8800000,8400000,7000000
77,Change in Working Capital,- -,-20900000,- -,3800000,4300000,-61900000,-21100000,-4100000,600000,-33600000,-22600000,-28700000,3700000,68200000,112300000,-16584000,102879000,10038000,-53751000,69518000,-23800000,-20000000,42800000,-28800000,-45900000,-27600000,41400000,-9200000,15300000,18500000,46500000,-23200000,12000000,-17000000,30800000,56600000,3900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17400000,19600000,-28300000,8700000,2600000,-16600000,-300000,-8000000,-11100000,-7900000,-4700000,8600000,2000000
79,Inventory,- -,- -,- -,- -,2800000,-1300000,7700000,1100000,-400000,-4500000,-6800000,-6200000,-800000,-13200000,-29600000,7522000,10085000,-2126000,6771000,-6100000,-700000,-15800000,-25300000,-17600000,20900000,-7900000,1900000,-14500000,10500000,-20000000,-3300000,-2300000,9400000,-22600000,-10400000,2500000,-24000000
