,https://roic.ai/company/MRTN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,21500000,24100000,35600000,40000000,45100000,48800000,54600000,55400000,109715000,126326000,139991000,159565000,177303000,201514000,242106000,267657000,281235000,314331000,348754000,417335000,477721000,532216000,246949000,231817000,221078000,282149000,45975000,50113000,56165000,62910000,67365000,70194000,76761000,79134000,87970000,87758000
11,COGS and Expenses,45500000,47400000,57300000,65800000,69500000,74700000,82300000,93200000,167390000,194439000,219749000,249049000,277891000,320513000,385654000,428407000,454531000,507742000,571966000,686411000,787368000,878696000,523576000,436723000,448485000,564449000,597905000,613191000,626310000,613619000,623343000,646757000,724490000,775453000,791579000,878250000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000,137000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1142000,169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,4700000,6900000,8900000,-9600000,-9800000,-10700000,-11400000,-12500000,12660000,14458000,16015000,17239000,18724000,20622000,25154000,26989000,27706000,30046000,32757000,38229000,44360000,47009000,49705000,53069000,51916000,57531000,60904000,64476000,68243000,75323000,82445000,85120000,88585000,95137000,102893000,102562000
15,EBITDA,9600000,11100000,10400000,-11500000,-6900000,-7300000,-5800000,-2500000,23285000,22806000,18731000,26084000,31348000,34486000,37941000,37495000,37340000,49146000,63470000,79716000,82303000,70878000,81474000,81981000,86600000,99778000,106308000,116779000,119916000,136014000,139511000,141593000,159614000,172825000,196279000,214294000
16,EBITDA ratio,0.1829,0.1927,0.1548,-0.1569,-0.0849,-0.0831,-0.0591,-0.0223,0.1897,0.1656,0.1282,0.1513,0.1619,0.1573,0.1455,0.1326,0.1274,0.1469,0.1670,0.1732,0.1586,0.1266,0.1342,0.1621,0.1675,0.1653,0.1665,0.1771,0.1782,0.2045,0.2079,0.2028,0.2027,0.2049,0.2245,0.2201
17,Operating Income,7000000,10200000,9900000,7500000,11800000,13100000,15900000,19000000,13015000,11378000,6160000,12847000,16345000,17686000,18691000,15107000,11861000,20336000,31294000,42867000,41169000,27801000,32705000,29359000,35289000,43030000,45853000,51995000,51006000,61063000,58303000,56862000,70348000,76498000,93246000,111689000
18,Operating Income ratio,0.1333,0.1771,0.1473,0.1023,0.1451,0.1492,0.1619,0.1693,0.1060,0.0826,0.0421,0.0745,0.0844,0.0807,0.0717,0.0534,0.0405,0.0608,0.0823,0.0931,0.0793,0.0496,0.0539,0.0580,0.0683,0.0713,0.0718,0.0789,0.0758,0.0918,0.0869,0.0815,0.0893,0.0907,0.1066,0.1147
19,Total Other Income Expenses (Gains),-2100000,-6000000,-8400000,-9400000,-8900000,-9700000,-10300000,-9900000,-2390000,-3030000,-3444000,-4002000,-3721000,-3822000,-5904000,-4601000,-2227000,-1236000,-581000,-1380000,-3226000,-3932000,-2078000,-32000,-605000,24000,48000,392000,667000,-372000,-1237000,-389000,681000,1190000,140000,43000
20,Income Before Tax,4900000,4200000,1500000,-1900000,2900000,3400000,5600000,9100000,10625000,8348000,2716000,8845000,12624000,13864000,12787000,10506000,9634000,19100000,30713000,41487000,37943000,23869000,30627000,29327000,34684000,43054000,45901000,52387000,51673000,60691000,57066000,56473000,71029000,77688000,93386000,111732000
21,Income Before Tax Ratio,0.0933,0.0729,0.0223,-0.0259,0.0357,0.0387,0.0570,0.0811,0.0866,0.0606,0.0186,0.0513,0.0652,0.0632,0.0490,0.0372,0.0329,0.0571,0.0808,0.0901,0.0731,0.0426,0.0504,0.0580,0.0671,0.0713,0.0719,0.0795,0.0768,0.0913,0.0850,0.0809,0.0902,0.0921,0.1068,0.1148
22,Income Tax expense (Gain),2000000,1800000,600000,-500000,1100000,1300000,2200000,3600000,4250000,3339000,1086000,3538000,5050000,5407000,4859000,3992000,3661000,7258000,13177000,16426000,13425000,8901000,12556000,12476000,14942000,17962000,18137000,22156000,21839000,24946000,23602000,-33811000,16002000,16617000,23886000,26304000
23,Net Income,2900000,2400000,900000,-1400000,1800000,2100000,3400000,6400000,6375000,5009000,1630000,5307000,7574000,8457000,7928000,6514000,5973000,11842000,17536000,25061000,24518000,14968000,18071000,16267000,19742000,24285000,27267000,30147000,29834000,35745000,33464000,90284000,55027000,61071000,69500000,85428000
24,Net Income ratio,0.0552,0.0417,0.0134,-0.0191,0.0221,0.0239,0.0346,0.0570,0.0519,0.0364,0.0112,0.0308,0.0391,0.0386,0.0304,0.0230,0.0204,0.0354,0.0461,0.0545,0.0473,0.0267,0.0298,0.0322,0.0382,0.0402,0.0427,0.0457,0.0443,0.0538,0.0499,0.1293,0.0699,0.0724,0.0795,0.0877
25,EPS,0.01,0.01,0.00,-0.00,0.01,0.01,0.01,0.02,0.11,0.09,0.03,0.06,0.13,0.15,0.15,0.12,0.11,0.19,0.22,0.31,0.30,0.18,0.22,0.20,0.24,0.29,0.33,0.36,0.36,0.43,0.41,1.11,0.67,0.75,0.84,1.04
26,EPS Diluted,0.01,0.01,0.00,-0.00,0.01,0.01,0.01,0.02,0.11,0.09,0.03,0.06,0.13,0.15,0.15,0.12,0.11,0.18,0.22,0.30,0.30,0.18,0.22,0.20,0.24,0.29,0.33,0.36,0.36,0.42,0.41,1.10,0.67,0.74,0.84,1.04
27,Weighted Average Shares Outstanding,64715544,64715544,64715544,64715544,64715544,64715544,64980927,64980927,60512707,56267901,56262795,284950286,56720980,55457994,53371686,52847967,53614040,62253517,78912016,81016180,81365061,81347842,81646101,82012516,82226266,82421266,82740016,83052516,83452516,83692516,81265016,81738000,81885000,81945000,82527000,82983000
28,Weighted Average Shares Outstanding Diluted,64715544,64715544,64715544,64715544,64715544,64715544,64980927,64980927,313956594,284438486,284182576,284950286,57400273,55746837,53371686,53534305,55179413,65305160,81520677,82437516,82091534,82544134,82641785,82440016,82616266,82781266,83062516,83572516,84195016,84287516,81692516,82275000,82723500,82669500,83164000,83420000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799167/000091205795001979/0000912057-95-001979-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799167/000091205701505159/0000912057-01-505159-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000091205702012536/0000912057-02-012536-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465903005212/0001104659-03-005212-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465904007404/0001104659-04-007404-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465905010810/0001104659-05-010810-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465906015641/0001104659-06-015641-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465907019535/0001104659-07-019535-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465908017602/0001104659-08-017602-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465909017144/0001104659-09-017144-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465910014083/0001104659-10-014083-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774911001540/0001437749-11-001540-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774912002256/0001437749-12-002256-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774913002815/0001437749-13-002815-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774914003910/0001437749-14-003910-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774915004791/0001437749-15-004791-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774916027411/0001437749-16-027411-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774917004526/0001437749-17-004526-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774918004257/0001437749-18-004257-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774919003693/0001437749-19-003693-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774920003828/0001437749-20-003828-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774921004453/0001437749-21-004453-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774922004503/0001437749-22-004503-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,2500000,3500000,2300000,9200000,6600000,5900000,5300000,3129000,3330000,3028000,2052000,1116000,- -,- -,1990000,- -,- -,- -,1080000,2988000,3618000,2395000,5410000,5306000,20821000,3473000,13650000,123000,434000,488000,15791000,56763000,31461000,66127000,56995000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19219000,62000,494000,300000,350000,2604000,118000,138000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1100000,2500000,3500000,2300000,9200000,6600000,5900000,5300000,3129000,3330000,3028000,2052000,1116000,- -,- -,1990000,- -,19219000,62000,1574000,3288000,3968000,4999000,5528000,5444000,20821000,3473000,13650000,123000,434000,488000,15791000,56763000,31461000,66127000,56995000
34,Net Receivables,5500000,6900000,7600000,9200000,8200000,8300000,11400000,15200000,16497000,17463000,19433000,18872000,19754000,27673000,33487000,31772000,37188000,41919000,47462000,54358000,54463000,57714000,57528000,49816000,64062000,62815000,73416000,75011000,90003000,81482000,73635000,81017000,88664000,103496000,89173000,105974000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,2100000,2400000,2800000,3200000,1800000,3400000,4700000,6600000,7177000,8715000,9795000,11091000,11115000,11637000,10471000,10785000,12143000,13082000,17725000,17137000,18759000,18476000,19845000,17500000,18200000,14824000,18645000,18689000,20059000,18134000,19307000,19810000,18101000,19209000,20358000,23980000
37,Total Current Assets,8700000,11800000,13900000,14700000,19200000,18300000,22000000,27100000,26803000,29508000,32256000,32015000,31985000,39310000,43958000,44547000,49331000,74220000,65249000,73069000,76510000,80158000,82372000,72844000,87706000,101800000,95534000,107350000,110185000,100050000,93430000,116618000,163528000,154166000,175658000,186949000
38,PP&E,26900000,42300000,46300000,46100000,44000000,50100000,59200000,69600000,78705000,93633000,105879000,112676000,123757000,145720000,166385000,161735000,159828000,169818000,215698000,269938000,329888000,325184000,314301000,341457000,372059000,368200000,394476000,415009000,465749000,528009000,557825000,571920000,588230000,640394000,654173000,682277000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,900000,100000,100000,200000,200000,200000,200000,100000,140000,- -,- -,575000,967000,889000,1730000,4011000,6859000,5557000,7127000,6726000,4424000,2048000,770000,537000,543000,579000,613000,3443000,3726000,3469000,2493000,1865000,2146000,2026000,1805000,1464000
45,Total Non-Current Assets,27800000,42400000,46400000,46300000,44200000,50300000,59400000,69700000,78845000,93633000,105879000,113251000,124724000,146609000,168115000,165746000,166687000,175375000,222825000,276664000,334312000,327232000,315071000,341994000,372602000,368779000,395089000,418452000,469475000,531478000,560318000,573785000,590376000,642420000,655978000,683741000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,36500000,54200000,60300000,61000000,63400000,68600000,81400000,96800000,105648000,123141000,138135000,145266000,156709000,185919000,212073000,210293000,216018000,249595000,288074000,349733000,410822000,407390000,397443000,414838000,460308000,470579000,490623000,525802000,579660000,631528000,653748000,690403000,753904000,796586000,831636000,870690000
48,Accounts Payable,- -,- -,- -,1500000,2100000,1900000,1900000,2600000,3106000,3225000,3822000,4472000,3687000,6316000,5530000,5431000,4919000,3683000,4579000,7646000,12690000,14653000,15785000,16308000,17800000,17912000,16081000,19373000,17065000,12007000,14391000,16478000,15704000,22917000,25702000,20150000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,14963000,17914000,20100000,21628000,8899000,5659000,1685000,3571000,3701000,5549000,7849000,6446000,5804000,5000000,1428000,1428000,19346000,- -,- -,- -,745000,- -,- -,- -,- -,- -,745000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121098000,- -
52,Other Current Liabilities,7300000,13300000,15500000,18800000,18900000,19000000,22900000,28200000,15742000,19206000,20760000,20211000,18619000,20839000,16779000,18160000,23540000,25431000,25946000,31683000,40928000,35162000,40302000,36481000,31443000,28473000,30819000,33655000,26708000,37869000,46279000,47799000,56269000,53409000,-57751000,73409000
53,Total Current Liabilities,7300000,13300000,15500000,20300000,21000000,20900000,24800000,30800000,33811000,40345000,44682000,46311000,31205000,32814000,23994000,27162000,32160000,34663000,38374000,45775000,59422000,54815000,57515000,54217000,68589000,46385000,46900000,53028000,44518000,49876000,60670000,64277000,71973000,76326000,89794000,93559000
54,Long-Term Debt,6500000,14600000,17300000,14800000,14600000,17700000,20500000,21100000,24917000,27079000,33505000,30663000,47232000,63599000,88216000,71545000,60058000,22857000,25257000,43300000,53659000,39643000,1429000,71000,- -,- -,2726000,- -,24373000,37867000,7886000,- -,- -,- -,411000,291000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4200000,5500000,5100000,4700000,4800000,5100000,7700000,10100000,13816000,17475000,19904000,22588000,24994000,29901000,34018000,39187000,44580000,47541000,56522000,66310000,75835000,74719000,81048000,85643000,95815000,103835000,109074000,113637000,122843000,134364000,147854000,100626000,105977000,122022000,121098000,125163000
57,Other Non-Current Liabilities,100000,-100000,-100000,100000,100000,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,649000,- -,- -
58,Total Non-Current Liabilities,10800000,20000000,22300000,19600000,19500000,22900000,28200000,31300000,38733000,44554000,53409000,53251000,72226000,93500000,122234000,110732000,104638000,70398000,81779000,109610000,129494000,114362000,82477000,85714000,95815000,103835000,111800000,113637000,147216000,172231000,155740000,100626000,105977000,122671000,121509000,125454000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,649000,411000,291000
61,Total Liabilities,18100000,33300000,37800000,39900000,40500000,43800000,53000000,62100000,72544000,84899000,98091000,99562000,103431000,126314000,146228000,137894000,136798000,105061000,120153000,155385000,188916000,169177000,139992000,139931000,164404000,150220000,158700000,166665000,191734000,222107000,216410000,164903000,177950000,198997000,211303000,219013000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,29000,29000,30000,45000,45000,43000,42000,42000,42000,138000,143000,216000,218000,218000,218000,219000,220000,220000,221000,333000,334000,328000,326000,545000,545000,547000,827000,830000
64,Retained Earnings,7600000,10100000,11700000,10300000,12100000,14100000,17500000,23800000,23794000,28803000,30433000,35725000,43299000,49628000,55869000,62383000,68356000,80131000,97667000,122656000,147174000,162142000,180213000,196480000,215345000,237872000,246460000,273727000,300222000,332625000,362837000,448542000,498595000,517577000,534436000,565129000
65,Other Comprehensive Income/Loss,-9300000,-13700000,-15200000,-20800000,-23900000,-28200000,-33400000,-35700000,-38807000,-39261000,-34945000,-42375000,-48514000,-47311000,-61937000,-77301000,-89003000,-93684000,-87067000,-92342000,-98841000,-122246000,-136871000,-149670000,-143563000,-155774000,-156660000,-164916000,-180223000,-196588000,-201728000,-211728000,-228200000,-263843000,- -,- -
66,Other Total Stockholders Equity,20100000,24500000,26000000,31600000,34700000,38900000,44300000,46600000,48088000,48671000,44526000,52309000,58448000,57245000,71871000,87275000,99825000,157949000,157178000,163387000,172442000,196816000,212176000,226147000,221991000,235852000,239339000,249993000,267593000,273056000,275903000,288141000,305014000,343308000,85070000,85718000
67,Total Stockholders Equity,18400000,20900000,22500000,21100000,22900000,24800000,28400000,34700000,33104000,38242000,40044000,45704000,53278000,59605000,65845000,72399000,79220000,144534000,167921000,193917000,220993000,236930000,255736000,273176000,293993000,318170000,329360000,359137000,387926000,409421000,437338000,525500000,575954000,597589000,620333000,651677000
68,Total Liabilities And Stockholders Equity,36500000,54200000,60300000,61000000,63400000,68600000,81400000,96800000,105648000,123141000,138135000,145266000,156709000,185919000,212073000,210293000,216018000,249595000,288074000,349302000,409909000,406107000,395728000,413107000,458397000,468390000,488060000,525802000,579660000,631528000,653748000,690403000,753904000,796586000,831636000,870690000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,431000,913000,1283000,1715000,1731000,1911000,2189000,2563000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,36500000,54200000,60300000,61000000,63400000,68600000,81400000,96800000,105648000,123141000,138135000,145266000,156709000,185919000,212073000,210293000,216018000,249595000,288074000,349733000,410822000,407390000,397443000,414838000,460308000,470579000,490623000,525802000,579660000,631528000,653748000,690403000,753904000,796586000,831636000,870690000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799167/000091205795001979/0000912057-95-001979-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/799167/000091205701505159/0000912057-01-505159-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000091205702012536/0000912057-02-012536-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465903005212/0001104659-03-005212-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465904007404/0001104659-04-007404-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465905010810/0001104659-05-010810-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465906015641/0001104659-06-015641-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465907019535/0001104659-07-019535-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465908017602/0001104659-08-017602-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465909017144/0001104659-09-017144-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000110465910014083/0001104659-10-014083-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774911001540/0001437749-11-001540-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774912002256/0001437749-12-002256-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774913002815/0001437749-13-002815-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774914003910/0001437749-14-003910-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774915004791/0001437749-15-004791-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774916027411/0001437749-16-027411-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774917004526/0001437749-17-004526-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774918004257/0001437749-18-004257-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774919003693/0001437749-19-003693-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774920003828/0001437749-20-003828-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774921004453/0001437749-21-004453-index.htm,https://www.sec.gov/Archives/edgar/data/799167/000143774922004503/0001437749-22-004503-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-1400000,1800000,2100000,3400000,6400000,6375000,5009000,1630000,5307000,7574000,8457000,7928000,6514000,5973000,11842000,17536000,25061000,24518000,14968000,18071000,16267000,19742000,24285000,27267000,30147000,29834000,35745000,33464000,90284000,55027000,61071000,69500000,85428000
74,Depreciation and Amortization,- -,- -,- -,-9600000,-9800000,-10700000,-11400000,-12500000,12660000,14458000,16015000,17239000,18724000,20622000,25154000,26989000,27706000,30046000,32757000,38229000,44360000,47009000,49705000,53069000,51916000,57531000,60904000,64476000,68243000,75323000,82445000,85120000,88585000,95137000,102893000,102562000
75,Deferred Income Tax,- -,- -,- -,-300000,100000,500000,800000,2300000,3325000,3153000,1739000,1970000,3311000,4006000,6007000,4148000,4379000,4224000,6173000,11771000,8866000,-1237000,4842000,5563000,10550000,10240000,5231000,4492000,9581000,15093000,13536000,-47228000,5351000,16045000,-924000,4065000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,666000,586000,1264000,1349000,1225000,1084000,921000,1404000,883000,1250000,3323000,1817000,1851000,2518000
77,Change in Working Capital,- -,- -,- -,1700000,3800000,-800000,-200000,-900000,-3308000,-3829000,-1589000,-1870000,15076000,5716000,13468000,-2579000,-214000,22386000,-12682000,419000,-10206000,8255000,-486000,-6230000,490000,36298000,-6781000,5688000,11345000,-15493000,-17414000,19581000,39214000,-13715000,8024000,7526000
78,Accounts Receivable,- -,- -,- -,-1600000,1000000,-200000,-3000000,-3800000,-1284000,-966000,-1970000,561000,-882000,-7919000,-5814000,1715000,-4714000,-4731000,-5543000,-6896000,-105000,-3251000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,2900000,1300000,- -,- -,700000,480000,119000,597000,650000,-785000,2629000,-786000,-99000,-512000,-1236000,896000,3067000,5008000,1999000,-2066000,3519000,348000,-1585000,1021000,2387000,-723000,-4853000,594000,11000,1800000,5259000,883000,-823000
81,Other Working Capital,- -,- -,- -,-5600000,-1800000,-2600000,-2800000,-3700000,-7008000,-10837000,-12426000,-14296000,780000,6496000,19964000,17385000,17171000,39557000,26875000,27294000,17088000,25343000,24857000,18627000,19117000,55415000,48634000,54322000,65667000,50174000,32760000,52341000,91555000,77840000,85864000,93390000
