,https://roic.ai/company/AEM,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,0.1386,0.1402,0.1880,-0.1296,-0.2727,-0.6661,-1.0582,0.0883,0.1977,0.3524,0.3598,0.0578,-2.1144,-0.1355,-0.8268,-0.1364,-0.0668,0.2818,0.1028,0.3342,0.2382,0.5507,0.3280,0.6110,0.2065,0.4065,-0.3139,0.3385,-0.0810,0.2925,0.3193,0.3816,0.3545,0.0974,0.4851,0.4721,0.4534
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-8100000,-7100000,-6400000,-10000000,-10700000,-14300000,-1000000,2400000,-9700000,-9700000,-5100000,-35600000,100400000,-48300000,-31700000,-50500000,-67700000,-58100000,-65518000,-73372000,-87231000,-65235000,-62222000,-73924000,-54473000,-130559000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21700000,400000,-101600000,-11200000,-23000000,-9000000,-7700000,15100000,-7500000,46000000,35300000,260600000,159300000,96000000,108000000,435200000,-778600000,435100000,-370700000,189138000,82628000,268461000,339289000,-259052000,738742000,767565000,903409000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3370,0.0067,-2.2183,-0.2629,-0.7165,-0.1322,-0.0806,0.1375,-0.0580,0.2438,0.1433,0.5105,0.3453,0.2522,0.1687,0.3059,-0.4274,0.2269,-0.2263,0.0997,0.0416,0.1256,0.1513,-0.1182,0.2961,0.2446,0.2363
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,100000,-13800000,-3400000,-8300000,-3800000,- -,1900000,- -,-1800000,-1700000,99300000,19900000,22800000,21500000,103100000,-209700000,124200000,35800000,106168000,58045000,109637000,98494000,67649000,265576000,255958000,360400000
23,Net Income,- -,4600000,3800000,7500000,-4600000,-8700000,-41100000,-70900000,4900000,5600000,9900000,13600000,200000,-87800000,-7700000,-14700000,-5200000,-7700000,13200000,-7500000,47900000,37000000,161300000,139300000,73200000,86500000,332100000,-568900000,310900000,-406500000,82970000,24583000,158824000,240795000,-326701000,473166000,511607000,543009000
24,Net Income ratio,- -,0.1386,0.1402,0.1880,-0.1296,-0.2727,-0.6661,-1.0582,0.0883,0.0957,0.1813,0.2112,0.0034,-1.9170,-0.1808,-0.4579,-0.0764,-0.0806,0.1202,-0.0580,0.2538,0.1502,0.3160,0.3019,0.1923,0.1351,0.2335,-0.3123,0.1621,-0.2481,0.0437,0.0124,0.0743,0.1074,-0.1491,0.1897,0.1630,0.1420
25,EPS,- -,0.34,0.27,0.52,-0.31,1.17,-1.57,-2.47,0.16,0.16,0.27,0.37,0.01,-1.98,-0.15,-0.28,-0.09,-0.12,0.06,-0.23,0.56,0.42,1.40,1.05,0.51,0.55,2.05,-3.36,1.82,-2.35,0.43,0.11,0.71,1.06,-1.40,2.00,2.12,2.25
26,EPS Diluted,- -,0.34,0.27,0.52,-0.31,1.17,-1.57,-2.47,0.16,0.16,0.27,0.37,0.01,-1.98,-0.15,-0.28,-0.09,-0.12,0.06,-0.23,0.56,0.42,1.35,1.04,0.50,0.55,2.00,-3.36,1.81,-2.35,0.39,0.11,0.70,1.05,-1.40,1.99,2.10,2.23
27,Weighted Average Shares Outstanding,- -,13529412,14074074,14423077,14838710,26178344,26178344,28704453,30625000,35000000,36666667,40810811,30012334,42968097,50000000,53331000,54446693,67722853,67050000,84778261,85498214,88080952,115240714,132709524,144740658,155942151,162386000,169353000,171250000,172893000,195223000,216168000,222737000,230252000,233251000,236934000,241508000,241508000
28,Weighted Average Shares Outstanding Diluted,- -,13529412,14074074,14423077,14838710,26178344,26178344,28704453,30625000,35000000,36666667,40810811,30012334,42968097,50000000,53331000,54446693,67722853,80237000,84778261,85498214,88080952,119508889,133985577,145888728,158620888,165842000,169410000,171486000,172893000,196202000,217101000,225754000,232461000,233251000,238230000,243072000,243072000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2809/000104746905008704/a2153918z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746906004056/a2168598z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746907002366/a2176731z20-f.htm,- -,https://www.sec.gov/Archives/edgar/data/2809/000104746909003515/0001047469-09-003515-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746910002778/0001047469-10-002778-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746911002754/a2202678z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746912003484/0001047469-12-003484-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746913003581/0001047469-13-003581-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746914003006/a2219161zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746915002736/a2223824zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746916011508/0001047469-16-011508-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746917002009/0001047469-17-002009-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746918002083/0001047469-18-002083-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746919001634/0001047469-19-001634-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746920001879/0001047469-20-001879-index.html,https://www.sec.gov/Archives/edgar/data/2809/000110465921023483/0001104659-21-023483-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,38671863,122556359,91300000,63500000,64700000,76500000,22600000,13900000,21200000,152900000,110400000,33000000,61200000,288600000,314800000,68400000,160300000,95600000,179400000,298100000,139100000,177537000,124150000,539974000,632978000,301826000,321897000,402527000,185786000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,9365842,8056352,27400000,38900000,27400000,23300000,5900000,- -,- -,- -,- -,64800000,85300000,208800000,116800000,70400000,115300000,105700000,152000000,53200000,76800000,61089000,39307000,100734000,133694000,82612000,101376000,3936000,5288000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,48037705,130612710,118700000,102400000,92100000,99800000,28500000,13900000,21200000,152900000,110400000,97800000,146500000,497400000,431600000,138800000,275600000,201300000,331400000,351300000,215900000,238626000,163457000,640708000,766672000,384438000,423273000,406463000,191074000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,2400000,17200000,21600000,32600000,42100000,59500000,68800000,106400000,106900000,101600000,137000000,181800000,142200000,135900000,159200000,61374000,8531000,8185000,109191000,121154000,89442000,15523000,21219000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,6500000,9100000,10600000,14200000,26400000,23800000,17300000,23200000,69900000,173800000,267700000,268100000,344700000,351600000,446660000,461976000,443714000,500976000,494150000,580068000,630474000,878944000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4909514,5275841,5100000,7600000,6600000,6500000,3800000,5100000,5200000,7700000,8100000,28100000,4200000,1700000,44400000,41000000,17600000,23400000,79900000,71400000,78100000,161400000,195461000,137572000,84695000,72710000,100777000,194728000,211151000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,52947219,135888551,123800000,110000000,98700000,107000000,40800000,42700000,57100000,203800000,174800000,211800000,243300000,622800000,606100000,351300000,604000000,674200000,821600000,903300000,804800000,908060000,829425000,1230179000,1461534000,1072452000,1193560000,1247188000,1302388000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,88295719,107655673,94100000,113000000,72700000,86000000,114600000,150900000,157600000,195300000,220100000,226100000,435500000,608800000,1845500000,2708600000,3136200000,4564600000,3895400000,4067500000,4049100000,5155865000,5088967000,5106036000,5626552000,6234302000,7003665000,7325418000,7646281000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200100000,229300000,229300000,39000000,696809000,696809000,696809000,696809000,407792000,407792000,407792000,407792000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200100000,229300000,229300000,39000000,696809000,696809000,696809000,696809000,407792000,407792000,407792000,407792000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8300000,6100000,8500000,13600000,21600000,18000000,12200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375103000,343509000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20100000,24200000,8100000,9700000,9700000,18200000,18300000,23800000,41300000,57100000,120200000,169700000,484100000,403400000,493900000,736100000,498600000,611200000,593300000,797192000,802114000,819562000,827341000,796708000,948142000,- -,133608000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2870177,12690536,35100000,47300000,46100000,65100000,107500000,135000000,150300000,169200000,195600000,223200000,177100000,120200000,-200200000,-84500000,13300000,-674600000,-410600000,-555500000,-526800000,-748671000,-734135000,-744635000,-746635000,-658411000,-763274000,259254000,353198000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,91165896,120346209,157600000,190600000,135400000,174400000,253400000,322100000,338400000,388300000,457000000,506400000,732800000,898700000,2129400000,3027500000,3643400000,4826200000,4212700000,4352500000,4154600000,5901195000,5853755000,5877772000,6404067000,6780391000,7596325000,8367567000,8884388000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,144113115,256234761,281400000,300600000,234100000,281400000,294200000,364800000,395500000,592100000,631800000,718200000,976100000,1521500000,2735500000,3378800000,4247400000,5500400000,5034300000,5255800000,4959400000,6809255000,6683180000,7107951000,7865601000,7852843000,8789885000,9614755000,10186776000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,12387081,16183999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68600000,86400000,92000000,104700000,- -,80200000,92275000,132914000,111173000,144135000,163032000,158317000,363801000,414673000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9706000,9878000,- -,- -,11068000,12955000,12035000,74324000,24040000,135431000,3412000,1914000,374693000,20852000,257988000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4501000,14450000,- -,10061000,7523000,19328000,14852000,35070000,16755000,18671000,26166000,102687000,47213000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498572000,611227000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6420134,7771171,23100000,22600000,20500000,13300000,16300000,23900000,14600000,21100000,36400000,34500000,53500000,71900000,124794000,94622000,104100000,211300000,-359940000,-347482000,118465000,165793000,154568000,177018000,186274000,196503000,242628000,131045000,89152000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,18807215,23955170,23100000,22600000,20500000,13300000,16300000,23900000,14600000,21100000,36400000,34500000,53500000,71900000,134500000,173100000,190500000,303300000,254400000,276700000,210700000,332392000,311522000,423622000,333821000,361449000,775638000,515698000,761813000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106728836,94500000,98000000,101500000,105500000,124100000,180700000,147300000,- -,- -,141500000,131100000,- -,- -,200000000,715000000,688000000,946300000,842100000,1011800000,1322461000,1118187000,1072790000,1373766000,1721308000,1466243000,1565241000,1438668000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6873319,12191470,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1036061000,1212750000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3474425,3350872,23900000,33300000,17100000,17800000,18000000,26300000,22300000,28100000,53600000,71900000,136400000,197200000,542100000,488000000,590100000,843600000,630600000,726800000,759700000,1085912000,1112451000,1119065000,1211023000,1220074000,1436490000,814542000,792710000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10347745,122271178,118400000,131300000,118600000,123300000,142100000,207000000,169600000,28100000,53600000,213400000,267500000,197200000,542100000,688000000,1305100000,1531600000,1576900000,1568900000,1771500000,2408373000,2230638000,2191855000,2584789000,2941382000,2902733000,3415844000,3444128000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,20695489,244542356,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9706000,9878000,- -,- -,11068000,25063000,23878000,43279000,19136000,11854000,5327000,1914000,116828000,120275000,131433000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,29154959,146226348,141500000,153900000,139100000,136600000,158400000,230900000,184200000,49200000,90000000,247900000,321000000,269100000,676600000,861100000,1495600000,1834900000,1831300000,1845600000,1982200000,2740765000,2542160000,2615477000,2918610000,3302831000,3678371000,3931542000,4205941000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125100000,127100000,169900000,151700000,153000000,158300000,248000000,441400000,450900000,620700000,764700000,1230700000,1931700000,2299700000,2378800000,3078200000,3181400000,3241900000,3294000000,4599788000,4707940000,4987694000,5288432000,5362169000,5589352000,5751479000,5863512000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-679779,5632317,20800000,17100000,-71600000,-7600000,-27300000,-36900000,-56700000,-66300000,-80600000,-173900000,-143300000,-15000000,88500000,161800000,292100000,493500000,-101800000,180800000,-339000000,-568552000,-604174000,-532474000,-378695000,-849411000,-515092000,-366412000,-165319000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26360313,-31726341,-39900000,-47100000,-52700000,-55400000,-60700000,-66500000,-77100000,-5434000,10292000,15097000,21924000,3608000,-139000,45302000,51049000,28390000,-7106000,-27311000,-15141000,10000000,3328000,32127000,30348000,-58095000,-47922000,85252000,54276000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,141998248,136102437,21141014,55043000,54498000,57942000,74139000,81555000,97115000,28027000,20143000,8329000,11743000,33097000,38873000,10954000,29812000,65360000,130478000,14823000,37290000,27254000,33926000,5127000,6906000,95349000,85176000,212894000,228366000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,114958156,110008413,127141014,152143000,100098000,146642000,139139000,136455000,211315000,397693000,400735000,470226000,655067000,1252405000,2058934000,2517756000,2751761000,3665450000,3202972000,3410212000,2977149000,4068490000,4141020000,4492474000,4946991000,4550012000,5111514000,5683213000,5980835000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,144113115,256234761,268641014,306043000,239198000,283242000,297539000,367355000,395515000,446893000,490735000,718126000,976067000,1521505000,2735534000,3378856000,4247361000,5500350000,5034272000,5255812000,4959349000,6809255000,6683180000,7107951000,7865601000,7852843000,8789885000,9614755000,10186776000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12758986,-5443000,-5098000,-1842000,-3339000,-2555000,-15000,145207000,141065000,74000,33000,-5000,-34000,-56000,39000,50000,28000,-12000,51000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,144113115,256234761,281400000,300600000,234100000,281400000,294200000,364800000,395500000,592100000,631800000,718200000,976100000,1521500000,2735500000,3378800000,4247400000,5500400000,5034300000,5255800000,4959400000,6809255000,6683180000,7107951000,7865601000,7852843000,8789885000,9614755000,10186776000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2809/000104746905008704/a2153918z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746906004056/a2168598z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746907002366/a2176731z20-f.htm,- -,https://www.sec.gov/Archives/edgar/data/2809/000104746909003515/0001047469-09-003515-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746910002778/0001047469-10-002778-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746911002754/a2202678z20-f.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746912003484/0001047469-12-003484-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746913003581/0001047469-13-003581-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746914003006/a2219161zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746915002736/a2223824zex-99_3.htm,https://www.sec.gov/Archives/edgar/data/2809/000104746916011508/0001047469-16-011508-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746917002009/0001047469-17-002009-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746918002083/0001047469-18-002083-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746919001634/0001047469-19-001634-index.html,https://www.sec.gov/Archives/edgar/data/2809/000104746920001879/0001047469-20-001879-index.html,https://www.sec.gov/Archives/edgar/data/2809/000110465921023483/0001104659-21-023483-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,9900000,13600000,200000,-87800000,-7700000,-14700000,-5200000,-7700000,13200000,-7500000,47900000,37000000,161300000,139300000,73200000,86500000,332100000,-568900000,310900000,-406500000,82970000,24583000,158824000,240795000,-326701000,473166000,511607000,543009000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,5966948,9339664,9971844,11529000,11961000,11628000,5460000,10410000,15617000,16838000,22883000,26555000,33076000,25543000,27757000,36133000,72461000,192486000,261781000,271861000,296078000,433628000,608609000,613160000,508739000,553933000,546057000,631101000,738129000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,302124,5703612,7552206,- -,-13920000,-3876000,-7949000,-2518000,1441000,1183000,1090000,2338000,-2777000,81993000,16380000,16681000,20309000,66928000,-275773000,72145000,-16550000,37058000,6550000,7609000,10855000,-30961000,152595000,75756000,178588000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28753000,41635000,48150000,47632000,44904000,37565000,35822000,33804000,43674000,50658000,54261000,54486000,57799000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2068000,15206000,-3245000,-16611000,-7252000,302000,-28334000,7352000,-11142000,-9578000,2993000,-117430000,-98251000,-30271000,-20465000,-58583000,43924000,-43793000,64431000,-71813000,-39888000,14399000,-19075000,-281203000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47930000,-19378000,37050000,8149000,450000,17237000,52019000,-471000,-3815000,1945000,1735000,-3547000,-1678000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,711000,14308000,677000,-2553000,-863000,-3559000,-9875000,2550000,-2493000,-1187000,-45904000,-90772000,-91306000,-43066000,-44145000,-23232000,-1354000,-40547000,20355000,-64889000,-52316000,-91436000,-82949000,-185090000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20928000,-12695000,-3391000,20464000,-35408000,44694000,29034000,84844000,-5522000,-75000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21954000,-14231000,4814000,-313000,- -,- -,13304000,717000,30771000,-2333000,28082000,-31913000,-2291000,22223000,77922000,-62424000
