,https://roic.ai/company/SHEN,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,-4100000,-3400000,5402960,7761830,15629597,14452860,13829426,35814000,18640000,17029000,6253000,11610000,8214000,8433000,8562000,12781000,1841000,1248000,5145000,4148000,5685000,9921000,6662000,13103000,14756000,13690000,49891000,53352000,11650000,10298000
45,Total Non-Current Assets,34800000,36100000,37299165,44588070,64822978,72219072,79517048,116344000,136078000,150763000,143510000,144401000,176730000,184120000,176857000,180388000,193560000,219090000,395637000,415515000,454305000,499032000,490918000,500793000,1322942000,1238965000,1274564000,1621660000,622992000,724366000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44800000,49700000,52464150,59896990,79374097,89407902,93445744,133051000,150353000,166797000,164004000,185364000,211247000,204921000,207720000,221524000,265981000,271725000,466437000,479979000,570740000,597006000,619242000,628740000,1484407000,1411860000,1484766000,1860691000,2031707000,890733000
48,Accounts Payable,500000,500000,307691,813887,2097115,3743701,1149286,2196000,7714000,5394000,5003000,4729000,6003000,6928000,12339000,11528000,5607000,8804000,12237000,11708000,31729000,12604000,11151000,13009000,72810000,28953000,35987000,40295000,19599000,28542000
49,Short-Term Debt,- -,900000,423329,461927,529405,544954,863972,1341000,2403000,10587000,7985000,4230000,4372000,4526000,4109000,4248000,4399000,4561000,14823000,21913000,1977000,5750000,23000000,23000000,32041000,64397000,20618000,31650000,690433000,3318000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8023000,1065000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5151000,- -,- -,10647000,11190000,11661000,12375000,11674000,20427000,21153000,7919000,8358000,8594000,11128000
52,Other Current Liabilities,2200000,2500000,1655223,2982941,1925866,2811167,3003465,7498000,8282000,5660000,6912000,6837000,11471000,11287000,4832000,8280000,9228000,11263000,17838000,11311000,13244000,13979000,12628000,13554000,38985000,23081000,24015000,67033000,489435000,24302000
53,Total Current Liabilities,2700000,3900000,2386243,4258755,4552386,7099822,5016723,11035000,18399000,21641000,19900000,15796000,21846000,22741000,21280000,24056000,24385000,24628000,44898000,55579000,58140000,43994000,59154000,61237000,164263000,137584000,88539000,147336000,1208061000,67290000
54,Long-Term Debt,8500000,9100000,9517880,10097026,24176834,26815706,28398374,31689000,53084000,52049000,47561000,39116000,47919000,31392000,21907000,17659000,36960000,28399000,180289000,158662000,230200000,224250000,201250000,178250000,797224000,757561000,749624000,688464000,47587000,53306000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8933000,14030000,- -,- -,18687000,19749000
56,Deferred Tax Liabilities,- -,- -,3535014,3965318,4908170,5987860,6741121,16062000,9218000,14402000,15859000,20819000,24826000,24599000,22515000,20970000,30401000,29649000,35902000,51675000,57896000,74547000,76777000,74868000,151837000,100879000,127453000,136451000,150652000,86014000
57,Other Non-Current Liabilities,5000000,5500000,1188779,805467,865320,1099824,1477374,1530000,1602000,2265000,2441000,3425000,2859000,4589000,6829000,7715000,6627000,13377000,15043000,16404000,16656000,19900000,23715000,24447000,66256000,51584000,76903000,419018000,24326000,22099000
58,Total Non-Current Liabilities,13500000,14600000,14241673,14867811,29950324,33903390,36616869,49281000,63904000,68716000,65861000,63360000,75604000,60580000,51251000,46344000,73988000,71425000,231234000,226741000,304752000,318697000,301742000,277565000,1024250000,924054000,953980000,1243933000,241252000,181168000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2526000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395100000,49557000,56624000
61,Total Liabilities,16200000,18500000,16627916,19126566,34502710,41003212,41633592,60316000,82303000,90357000,85761000,79156000,97450000,83321000,72531000,70400000,98373000,96053000,276132000,282320000,362892000,362691000,360896000,338802000,1188513000,1061638000,1042519000,1391269000,1449313000,248458000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4700000,4700000,4740677,4740677,4740677,4740677,4734377,4734000,4817000,4950000,5246000,5733000,6319000,8128000,- -,14691000,- -,17890000,19833000,- -,24688000,26759000,29712000,32776000,45482000,44787000,- -,- -,- -,- -
64,Retained Earnings,23900000,26400000,29876064,34301584,37716654,40579090,44173730,48499000,55873000,69610000,71335000,100449000,107413000,113576000,125690000,138172000,154002000,160230000,170472000,175616000,184023000,204962000,227512000,256747000,243624000,297205000,386511000,427004000,539783000,592924000
65,Other Comprehensive Income/Loss,-15400000,-16300000,-17455344,-18862526,-21648820,- -,-29063738,-34407000,-40292000,-47182000,-57126000,-72006000,-74071000,-95144000,-2000000,-2000000,-3000000,-2000000,-212122000,-237902000,-1000000,3000000,1000000,-345085000,7000000,8000000,8000000,-798577000,-4706000,- -
66,Other Total Stockholders Equity,15400000,16400000,17455344,19091538,22319411,1190717,29702357,51449000,45937000,47224000,57122000,72032000,74136000,95040000,11499000,261000,16606000,-448000,212122000,259945000,137000,-406000,122000,345500000,-212000,230000,47736000,840995000,- -,- -
67,Total Stockholders Equity,28600000,31200000,34616741,39271273,43127922,46510484,49546726,70275000,66335000,74602000,76577000,106208000,113797000,121600000,135189000,151124000,167608000,175672000,190305000,197659000,207848000,234315000,258346000,289938000,295894000,350222000,442247000,469422000,582394000,642275000
68,Total Liabilities And Stockholders Equity,44800000,49700000,51244657,58397839,77630632,87513696,91180318,130591000,148638000,164959000,162338000,185364000,211247000,204921000,207720000,221524000,265981000,271725000,466437000,479979000,570740000,597006000,619242000,628740000,1484407000,1411860000,1484766000,1860691000,2031707000,890733000
69,Minority Interest,- -,- -,1219493,1499151,1743465,1894206,2265426,2460000,1715000,1838000,1666000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,44800000,49700000,52464150,59896990,79374097,89407902,93445744,133051000,150353000,166797000,164004000,185364000,211247000,204921000,207720000,221524000,265981000,271725000,466437000,479979000,570740000,597006000,619242000,628740000,1484407000,1411860000,1484766000,1860691000,2031707000,890733000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/354963/000035496395000004/0000354963-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/354963/000035496396000007/0000354963-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/354963/000035496397000004/0000354963-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/354963/000035496398000011/0000354963-98-000011-index.html,https://www.sec.gov/Archives/edgar/data/354963/000035496399000007/0000354963-99-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/354963/000035496301000011/0000354963-01-000011-index.html,https://www.sec.gov/Archives/edgar/data/354963/000089155402001625/0000891554-02-001625-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/354963/000116923207001444/d07-71238_10k.htm,https://www.sec.gov/Archives/edgar/data/354963/000116923208001319/d73843_10-k.htm,https://www.sec.gov/Archives/edgar/data/354963/000116923209001373/0001169232-09-001373-index.html,https://www.sec.gov/Archives/edgar/data/354963/000114036110010477/0001140361-10-010477-index.html,https://www.sec.gov/Archives/edgar/data/354963/000114036111014909/form10k.htm,https://www.sec.gov/Archives/edgar/data/354963/000114036112013424/0001140361-12-013424-index.html,https://www.sec.gov/Archives/edgar/data/354963/000114036113010549/0001140361-13-010549-index.html,https://www.sec.gov/Archives/edgar/data/354963/000114036114010365/form10k.htm,https://www.sec.gov/Archives/edgar/data/354963/000114036115009431/form10k.htm,https://www.sec.gov/Archives/edgar/data/354963/000114036116055078/0001140361-16-055078-index.html,https://www.sec.gov/Archives/edgar/data/354963/000162828017002855/0001628280-17-002855-index.html,https://www.sec.gov/Archives/edgar/data/354963/000162828018003226/0001628280-18-003226-index.html,https://www.sec.gov/Archives/edgar/data/354963/000162828019002261/0001628280-19-002261-index.html,https://www.sec.gov/Archives/edgar/data/354963/000162828020002311/0001628280-20-002311-index.html,https://www.sec.gov/Archives/edgar/data/354963/000162828021003177/0001628280-21-003177-index.htm,https://www.sec.gov/Archives/edgar/data/354963/000162828022004265/0001628280-22-004265-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4000000,4600000,4851019,6230685,4994589,4479563,5603775,6428000,9855000,16372000,4519000,32074000,10243000,10735000,17922000,18803000,24405000,15092000,18075000,12993000,16303000,29586000,33883000,40864000,-895000,66390000,46595000,54935000,126723000,998831000
74,Depreciation and Amortization,2300000,2500000,2730938,2864521,3529554,4650894,5429815,6712000,7318000,11834000,14482000,16631000,19020000,22382000,27290000,29198000,29902000,32630000,42631000,55770000,64413000,60722000,65890000,70702000,143685000,177007000,166405000,160078000,48703000,55206000
75,Deferred Income Tax,- -,-500000,-53324,323680,695921,733644,1121371,-758000,130000,8666000,289000,5664000,5960000,-1511000,-1693000,-1208000,7909000,957000,4628000,15973000,6504000,14266000,2975000,-451000,-52875000,-54055000,6208000,11644000,15310000,22263000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174000,653000,792000,1718000,1842000,1938000,2624000,2333000,3021000,3580000,4959000,3817000,5907000,3408000
77,Change in Working Capital,700000,2400000,3078742,-1728577,-1051432,90275,-1177035,-3239973,-9796000,-1483000,6201000,24573000,-12496000,-14611000,11523000,7497000,30956000,-20029000,-2105000,-17017000,49410000,-4315000,15190000,-2460000,-69508000,38109000,86352000,-29968000,108959000,-34996000
78,Accounts Receivable,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3773000,1292000,-3120000,-1891000,-8246000,-2594000,-6225000,-1047000,14581000,16451000,239000,-7664000,-7318000,163000
79,Inventory,- -,100000,34076,-411084,-952981,-1080082,480654,-601000,1233000,-143000,1147000,-275000,75000,-589000,203000,-2165000,-1662000,470000,-262000,-1080000,-2321000,-927000,1921000,492000,-30288000,33339000,439000,-463000,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-439000,3178000,3528000,-596000,-4690000,-2145000,5040000,2753000,42496000,-36725000,-1377000,12821000,-663000,2976000
81,Other Working Capital,7300000,9700000,12778742,11050165,9998733,10089008,8911973,5672000,-4124000,-5607000,594000,25167000,12671000,-1940000,9583000,17080000,48036000,28007000,25902000,8885000,58295000,53980000,69170000,66710000,-2798000,35311000,121663000,91695000,200654000,-31576000
82,Other Non-Cash Items,300000,-2400000,-3054090,470984,571421,-1483552,46512,6863973,7696000,-18633000,5278000,-25333000,11689000,20254000,-20692000,-10547000,-43272000,44770000,11183000,11490000,-41498000,-7933000,-5569000,8333000,138098000,-8101000,-44872000,58639000,-2735000,-1295646000
83,Cash Provided by Operating Activities,7300000,6600000,7553285,8161293,8740053,8470824,11024438,16006000,15203000,16756000,30769000,53609000,34416000,37249000,34350000,43743000,50074000,74073000,75204000,80927000,96974000,94264000,114993000,119321000,161526000,222930000,265647000,259145000,302867000,-250934000
84,CAPEX,-7200000,-3800000,-3688292,-6736514,-15217862,-10687958,-13664692,-15733000,-44267000,-28395000,-22612000,-12476000,-34095000,-29527000,-21195000,-29084000,-65569000,-53208000,-55936000,-74663000,-89053000,-117028000,-68232000,-69679000,-173231000,-146489000,-136641000,-155534000,-120450000,-160101000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9153000,-600000,- -,- -,-10886000,-601000,-158998000,- -,- -,- -,- -,- -,-657354000,-6000000,-52000000,-10000000,-1890000,- -
86,Purchases of Investments,- -,- -,- -,-1252016,-1134528,-2436818,- -,- -,- -,-1250000,-1775000,-796000,-736000,-536000,-453000,-2872000,-551000,-608000,-127000,-84000,- -,-12000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1482165,- -,- -,3374877,- -,921000,4828000,5842000,3301000,714000,416000,403000,11489000,959000,712000,611000,62000,475000,1227000,121000,43000,54000,2895000,14000,1000,- -,- -,- -
88,Other Investing Activites,900000,300000,-3001656,-1403559,-7242559,1710484,2441591,-593000,154000,1615000,77000,109000,39000,147000,323000,403000,611000,1523000,4258000,3661000,3905000,356000,551000,363000,7677000,980000,840000,-155334000,-153698000,1784354000
89,Cash Used for Investing Activites,-6300000,-3500000,-5207783,-9392089,-23594949,-8039415,-11223101,-15405000,-39285000,-22188000,-21009000,-12449000,-43529000,-30113000,-9836000,-30594000,-75683000,-52283000,-210741000,-70611000,-83921000,-116563000,-67638000,-69262000,-820013000,-151495000,-187800000,-165334000,-155588000,1784354000
90,Debt Repayment,- -,- -,-1253259,-430151,-493403,-553729,-503814,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4248000,-15399000,-28620000,-14538000,-178397000,-1977000,-5750000,-23000000,-213793000,-36375000,-66264000,-53197000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,83000,133000,296000,487000,586000,1169000,1368000,1048000,- -,- -,- -,- -,- -,- -,1147000,1007000,3373000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-636000,- -,- -,- -,-92000,-143000,-1600000,-1785000,-1885000,-5097000,- -,- -,-7231000,- -,- -
93,Dividends Paid,-1000000,-1100000,-1410285,-1805165,-1579519,-1617127,-1915435,-2103000,-2481000,-2635000,-2794000,-2960000,-3279000,-3532000,-5334000,-5803000,-6520000,-7007000,-7313000,-7320000,-7403000,-8191000,-10761000,-11085000,-11705000,-12257000,-12866000,-13943000,-16424000,-940256000
94,Other Financing Activites,-100000,1400000,893000,998000,14584839,3179500,2405500,3767000,22457000,6974000,-7090000,-12200000,-2718000,-16373000,-9680000,-3953000,24372000,7430000,186869000,55000,228102000,1297000,395000,-7201000,845090000,19589000,7784000,-2875000,-37109000,-704217000
