,https://roic.ai/company/AZZ,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-10500000,-2300000,1900000,1800000,2700000,3500000,3300000,3100000,5300000,4400000,6500000,9800000,12900000,11400000,15319550,18965084,18943954,20451382,12608645,13059387,17750865,41344734,52031773,87607846,84647775,84854654,100174741,136804585,155622814,152780000,166940000,149838000,95285000,128221000,128547000,105248000
16,EBITDA ratio,-0.6442,-0.2190,0.1301,0.0845,0.1517,0.1292,0.1093,0.1006,0.1299,0.0987,0.1321,0.1698,0.1709,0.1409,0.1655,0.1562,0.1239,0.1115,0.0926,0.0857,0.0948,0.1588,0.1625,0.2125,0.2371,0.2229,0.2135,0.2398,0.2070,0.1871,0.1848,0.1744,0.1176,0.1383,0.1211,0.1255
17,Operating Income,-1300000,-100000,1200000,1000000,1400000,2600000,2100000,2300000,3900000,3900000,5400000,8300000,9900000,8700000,12205997,15543625,15215257,17765467,8848820,8902182,13430230,34984214,44280404,- -,- -,- -,- -,- -,- -,106825000,122288000,98360000,48248000,76956000,79343000,61614000
18,Operating Income ratio,-0.0798,-0.0095,0.0822,0.0469,0.0787,0.0959,0.0695,0.0747,0.0956,0.0874,0.1098,0.1438,0.1311,0.1075,0.1319,0.1280,0.0995,0.0969,0.0650,0.0584,0.0717,0.1344,0.1383,- -,- -,- -,- -,- -,- -,0.1308,0.1354,0.1145,0.0595,0.0830,0.0747,0.0734
19,Total Other Income Expenses (Gains),-12300000,-3400000,-100000,-100000,400000,-300000,-200000,-500000,-300000,-1300000,-1100000,-1200000,- -,-900000,-1656812,-2416395,-2618090,-3870068,-1971225,-1495671,-1399031,-384468,-447511,-3221196,-6838028,-6039560,-12081103,-3615153,-6202537,-16695000,-17920000,-13611000,-17349000,-13951000,-14453000,-10617000
20,Income Before Tax,-13600000,- -,1100000,900000,1800000,2300000,1900000,1800000,3600000,2600000,4300000,7100000,9900000,7800000,10549185,13127230,12597167,13895399,6877595,7406511,12031199,34599746,43832893,66910132,60383252,54958016,63640905,94368833,93911254,90130000,104368000,84749000,30899000,63005000,64890000,50997000
21,Income Before Tax Ratio,-0.8344,- -,0.0753,0.0423,0.1011,0.0849,0.0629,0.0584,0.0882,0.0583,0.0874,0.1231,0.1311,0.0964,0.1140,0.1081,0.0824,0.0758,0.0505,0.0486,0.0643,0.1329,0.1369,0.1623,0.1691,0.1444,0.1357,0.1654,0.1249,0.1104,0.1156,0.0987,0.0381,0.0680,0.0611,0.0608
22,Income Tax expense (Gain),-5600000,- -,400000,300000,700000,800000,700000,700000,1400000,1000000,1700000,2800000,2700000,2900000,3955945,4955161,4793053,5280252,2614405,2594496,4204312,12910182,16145304,24703907,22655328,19995375,22905109,33912627,34314206,25187000,27578000,23828000,-14270000,11797000,16656000,11383000
23,Net Income,-8000000,-3900000,700000,600000,1100000,1500000,1200000,1100000,2200000,1600000,2600000,4300000,7200000,4900000,6593240,8172069,7804114,8615147,4263190,4812015,7826887,21774908,27687589,42206225,37727924,34962641,40735796,60456206,59597048,64943000,76790000,60921000,45169000,51208000,48234000,39614000
24,Net Income ratio,-0.4908,-0.3714,0.0479,0.0282,0.0618,0.0554,0.0397,0.0357,0.0539,0.0359,0.0528,0.0745,0.0954,0.0606,0.0712,0.0673,0.0510,0.0470,0.0313,0.0316,0.0418,0.0836,0.0865,0.1024,0.1057,0.0918,0.0868,0.1060,0.0793,0.0795,0.0850,0.0709,0.0557,0.0552,0.0454,0.0472
25,EPS,-0.35,-0.17,0.03,0.03,0.06,0.07,0.05,0.05,0.10,0.07,0.12,0.19,0.30,0.22,0.35,0.42,0.38,0.41,0.20,0.22,0.35,0.93,1.15,1.74,1.53,1.41,1.62,2.39,2.34,2.53,2.98,2.35,1.74,1.97,1.84,1.53
26,EPS Diluted,-0.35,-0.17,0.03,0.03,0.06,0.07,0.05,0.05,0.09,0.07,0.11,0.18,0.30,0.21,0.34,0.41,0.38,0.41,0.20,0.22,0.34,0.91,1.13,1.72,1.51,1.39,1.60,2.37,2.32,2.52,2.96,2.33,1.73,1.96,1.84,1.52
27,Weighted Average Shares Outstanding,22535211,22285714,28000000,24000000,20000000,21428571,24000000,22000000,22564103,22857143,22608696,22933333,23801653,22528736,18973353,19573818,20402912,21141465,21315950,21776720,22336312,23198856,24025578,24280304,24578502,24884698,25145553,25295397,25468803,25669170,25768456,25923830,25959195,25993909,26214130,25891503
28,Weighted Average Shares Outstanding Diluted,22535211,22285714,28000000,24000000,20000000,21428571,24000000,22000000,23783784,23703704,23111111,23243243,24201681,22790698,19110841,20054157,20810971,21141465,21585772,22066716,22632168,23677224,24454424,24604352,24952000,25202000,25380558,25561000,25693000,25778000,25937000,26097000,26036000,26107000,26281000,26045000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8947/000119312503006649/0001193125-03-006649-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312504094778/0001193125-04-094778-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312505116167/0001193125-05-116167-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312506110998/0001193125-06-110998-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312507113151/0001193125-07-113151-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894708000006/0000008947-08-000006-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8947/000119312512225281/0001193125-12-225281-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894713000092/0000008947-13-000092-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894714000068/0000008947-14-000068-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894715000035/0000008947-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894716000189/0000008947-16-000189-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894717000050/0000008947-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894718000071/0000008947-18-000071-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894719000058/0000008947-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894720000045/0000008947-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894721000052/0000008947-21-000052-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4900000,2800000,2800000,1400000,2300000,700000,200000,100000,100000,200000,400000,5600000,800000,800000,1328139,1446502,1737876,1983829,1444982,516828,1258945,1703092,2226941,47557711,110607029,138389837,143302666,55597751,27564533,22527000,40191000,11302000,20853000,24005000,36687000,14837000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4900000,2800000,2800000,1400000,2300000,700000,200000,100000,100000,200000,400000,5600000,800000,800000,1328139,1446502,1737876,1983829,1444982,516828,1258945,1703092,2226941,47557711,110607029,138389837,143302666,55597751,27564533,22527000,40191000,11302000,20853000,24005000,36687000,14837000
34,Net Receivables,2500000,1600000,2500000,2000000,2400000,5600000,5200000,6300000,8800000,10900000,9500000,9500000,13200000,13500000,20058346,24009753,37058707,31756659,22133631,28411683,34506474,58563878,51945653,64763982,39431918,77825469,74647303,110735261,143349809,159314000,163703000,159016000,193275000,220448000,209307000,186183000
35,Inventory,1400000,1400000,1700000,3000000,2000000,4500000,4200000,4300000,5300000,7200000,6700000,6300000,14200000,11200000,12553318,13379371,23336228,18596158,17678916,19605778,24137216,45487266,43426468,53775800,40124581,59552000,60281130,82331000,107581000,107697000,102135000,123208000,110761000,124847000,99841000,92912000
36,Other Current Assets,1400000,100000,200000,400000,200000,100000,300000,600000,100000,100000,200000,200000,200000,300000,1017720,1205957,2696732,2719391,2455349,2628235,3548336,6213128,5395781,15926031,17289408,8251829,24504800,13767927,17685381,9096000,3305000,3011000,4265000,9245000,8727000,9560000
37,Total Current Assets,10200000,5900000,7200000,6800000,6900000,10900000,9900000,11300000,14300000,18400000,16800000,21600000,28400000,25800000,34957523,40041583,64829543,55056037,43712878,51162524,63450971,111967364,102994843,182023524,207452936,284019135,302735899,262431939,296180723,298634000,309334000,296537000,329154000,378545000,354562000,303492000
38,PP&E,13400000,11100000,10900000,11500000,11200000,11100000,11100000,10700000,12000000,15300000,16800000,16500000,19300000,23100000,28269959,28750429,38809608,36611781,34201272,35311532,35697305,46628319,48284910,87666693,87364502,125361635,135826703,154476220,197639229,196583000,226333000,228610000,216855000,256097000,256312000,243710000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19120158,41262104,- -,- -,- -,40962104,40962104,40962104,66157000,69420256,113463436,121383863,171886270,278556040,279074000,292527000,306579000,321307000,323756000,356225000,353881000
40,Intangible Assets,- -,500000,500000,500000,400000,1500000,1300000,1000000,5100000,4800000,7300000,6900000,9600000,9000000,20792683,- -,- -,40962104,40962104,40962104,- -,- -,- -,- -,17723464,43680635,46828100,105410385,180877043,162623000,155177000,146113000,160893000,130172000,106732000,95359000
41,Intangible Assets,- -,500000,500000,500000,400000,1500000,1300000,1000000,5100000,4800000,7300000,6900000,9600000,9000000,20792683,19120158,41262104,40962104,40962104,40962104,40962104,40962104,40962104,66157000,87143720,157144071,168211963,277296655,459433083,441697000,447704000,452692000,482200000,453928000,462957000,449240000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,200000,100000,200000,200000,3600000,3700000,2800000,2700000,2300000,1700000,1000000,600000,500000,783576,455475,2142615,1406592,1150241,1199036,915791,1349791,1077423,18868230,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,13400000,11800000,11500000,12200000,11800000,16200000,16100000,14500000,19800000,22400000,25800000,24400000,29500000,32600000,49846218,48326062,82214327,78980477,76313617,77472672,77575200,88940214,90324437,172691923,174508222,282505706,304038666,431772875,657072312,638280000,674037000,681302000,699055000,710025000,719269000,692950000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23600000,17700000,18700000,19000000,18700000,27100000,26000000,25800000,34100000,40800000,42600000,46000000,57900000,58400000,84803741,88367645,147043870,134036514,120026495,128635196,141026171,200907578,193319280,354715447,381961158,566524841,606774565,694204814,953253035,936914000,983371000,977839000,1028209000,1088570000,1073831000,996442000
48,Accounts Payable,- -,- -,- -,- -,- -,2800000,2800000,2800000,3400000,4100000,4100000,2800000,5300000,3800000,7302699,9281228,17150563,11507734,9985612,12488100,18239820,27384110,19834111,17853171,12116783,21713896,24401194,28921539,38832557,49580000,46748000,49816000,54162000,53047000,61987000,41034000
49,Short-Term Debt,1600000,800000,800000,1400000,800000,2000000,1400000,1300000,1200000,1500000,1600000,1800000,1800000,3100000,4367731,4345284,10045000,6675000,5500000,5500000,5500000,- -,- -,- -,- -,- -,14285714,14285714,20848214,21866000,23192000,16629000,14286000,5657000,131327000,6588000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,259734,246602,2838901,998496,568722,5358594,2888000,2697000,778000,144000,632000,5974000,2566000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4775452,1184943,1246225,- -,- -,- -,- -,- -,7436269,12255296,40938328,36751478,33075000,24889000,32808000,24514000,57409000,18673000,16486000
52,Other Current Liabilities,1400000,1200000,2200000,2100000,2000000,800000,900000,1400000,2300000,2700000,3200000,4800000,4600000,3900000,8158817,7683096,10873389,8387339,6833248,7089281,11793688,22330813,22861710,40518270,31511405,29036065,27036373,34753627,47583801,44621000,53576000,42597000,38777000,48658000,68626000,49742000
53,Total Current Liabilities,3000000,2000000,3000000,3500000,2800000,5600000,5100000,5500000,6900000,8300000,8900000,9400000,11700000,10800000,19829247,21309608,38068952,31345525,23503803,26323606,35533508,49714923,42695821,58371441,43628188,58186230,77978577,118899208,144016050,149142000,148405000,141850000,131739000,164771000,280613000,113850000
54,Long-Term Debt,3700000,3200000,2300000,1600000,800000,4500000,3100000,1700000,6600000,10500000,9500000,7500000,11300000,20300000,31075272,22947087,53550000,37875000,25375000,23875000,14375000,35200000,- -,100000000,100000000,225000000,210714286,196428571,384767857,315982000,303790000,254800000,286609000,240745000,77878000,211048000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,300000,500000,700000,900000,600000,1100000,500000,600000,500000,878500,730941,673663,1407269,1850133,3117413,3849022,- -,4466834,9232302,10466932,27320738,30472937,36403283,39435143,51738000,49960000,51550000,32962000,36623000,37926000,39283000
57,Other Non-Current Liabilities,-100000,-100000,-100000,-100000,- -,- -,- -,100000,200000,- -,-100000,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,4844405,- -,- -,- -,- -,- -,8539278,9120723,- -,- -,- -,11696000,42703000,43048000,8969000
58,Total Non-Current Liabilities,3600000,3100000,2200000,1500000,800000,4800000,3600000,2500000,7700000,11100000,10500000,8000000,11900000,20700000,31953772,23678028,54223663,39282269,27225133,26992413,18224022,40044405,4466834,109232302,110466932,252320738,241187223,241371132,433323723,367720000,353750000,306350000,331267000,320071000,158852000,259300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46847000,44441000,39217000
61,Total Liabilities,6600000,5100000,5200000,5000000,3600000,10400000,8700000,8000000,14600000,19400000,19400000,17400000,23600000,31500000,51783019,44987636,92292615,70627794,50728936,53316019,53757530,89759328,47162655,167603743,154095120,310506968,319165800,360270340,577339773,516862000,502155000,448200000,463006000,484842000,439465000,373150000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6304580,6304580,6304580,6304580,6304580,6304580,6304580,12609160,12609160,12609160,12609160,12609160,12609160,25376967,25577205,25732000,25874000,25964000,25959000,26115000,26148000,25108000
64,Retained Earnings,5000000,700000,1400000,1900000,3100000,3200000,2700000,3300000,5000000,6400000,8800000,12800000,19400000,23700000,29559646,37731715,44740066,53355213,57618403,62430419,70257305,91861526,119549115,161755340,196394134,218889963,247059938,294092945,339399556,389446000,450754000,495030000,526018000,560224000,572414000,547289000
65,Other Comprehensive Income/Loss,-4200000,-4100000,-4800000,-5400000,-6100000,-5900000,-6800000,-7600000,-8700000,-10000000,-11400000,-12600000,-14500000,-16800000,-19971944,-23889839,-27781500,-625394,-324306,-55486,44226,28621,-51611396,-3198159,-672858,920063,1303974,-3189350,-11018276,-22832000,-30560000,-29094000,-25220000,-28752000,-30899000,-25084000
66,Other Total Stockholders Equity,16200000,16000000,16900000,17500000,18100000,19400000,21400000,22100000,23200000,25000000,25800000,28400000,29400000,20000000,17128440,23233553,31488109,4374321,5698882,6639664,10662530,6648943,65609746,- -,- -,- -,26635693,17653912,21954777,27706000,35148000,37739000,38446000,46141000,66703000,75979000
67,Total Stockholders Equity,17000000,12600000,13500000,14000000,15100000,16700000,17300000,17800000,19500000,21400000,23200000,28600000,34300000,26900000,33020722,43380009,54751255,63408720,69297559,75319177,87268641,111148250,146156625,187111704,227866038,256017873,287608765,333934474,375913262,420052000,481216000,529639000,565203000,603728000,634366000,623292000
68,Total Liabilities And Stockholders Equity,23600000,17700000,18700000,19000000,18700000,27100000,26000000,25800000,34100000,40800000,42600000,46000000,57900000,58400000,84803741,88367645,147043870,134036514,120026495,128635196,141026171,200907578,193319280,354715447,381961158,566524841,606774565,694204814,953253035,936914000,983371000,977839000,1028209000,1088570000,1073831000,996442000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,23600000,17700000,18700000,19000000,18700000,27100000,26000000,25800000,34100000,40800000,42600000,46000000,57900000,58400000,84803741,88367645,147043870,134036514,120026495,128635196,141026171,200907578,193319280,354715447,381961158,566524841,606774565,694204814,953253035,936914000,983371000,977839000,1028209000,1088570000,1073831000,996442000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8947/000119312503006649/0001193125-03-006649-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312504094778/0001193125-04-094778-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312505116167/0001193125-05-116167-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312506110998/0001193125-06-110998-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000119312507113151/0001193125-07-113151-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894708000006/0000008947-08-000006-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/8947/000119312512225281/0001193125-12-225281-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894713000092/0000008947-13-000092-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894714000068/0000008947-14-000068-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894715000035/0000008947-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894716000189/0000008947-16-000189-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894717000050/0000008947-17-000050-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894718000071/0000008947-18-000071-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894719000058/0000008947-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894720000045/0000008947-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/8947/000000894721000052/0000008947-21-000052-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,1500000,1200000,1100000,2200000,1600000,2600000,4300000,7200000,4900000,6593240,8172069,7804114,8615147,4263190,4812015,7826887,21774908,27687589,42206225,37727924,34962641,40735796,60456206,59597048,64943000,76790000,60921000,45169000,51208000,48234000,39614000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1200000,1400000,1300000,1700000,1800000,2200000,2700000,3000000,3600000,4770365,5837854,6346787,6555983,5731050,5652876,5719666,6659644,8198880,14527991,17426495,22166082,22594687,29363147,43304902,46089000,47417000,50357000,50526000,50245000,50194000,44603000
75,Deferred Income Tax,- -,- -,- -,- -,- -,300000,200000,200000,100000,-200000,200000,-600000,100000,-100000,-380599,-301133,-265807,763855,566281,735869,447126,-1127389,-529264,5568600,-381840,-3383086,2504754,3365810,842265,15818000,2707000,1509000,-20637000,3731000,-2617000,-1561000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1843318,2306330,3146002,2927917,3175050,3703407,4080000,4538000,5870000,6121000,4659000,6290000,7330000
77,Change in Working Capital,- -,- -,- -,- -,- -,100000,-500000,1000000,1600000,2700000,-2200000,4300000,4500000,-1700000,128276,3603699,8028616,-3050079,-3501437,4629843,3078545,34334978,-1953419,-3653942,25256180,-15292613,-225608147678,-81224591,8631942,-2672673,11437000,-6242000,42728000,16359000,-139825000,115693000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16653577,26822381,-1268799,-11211943,-11599297,35954790,-9382000,-843000,-4912000,3492000,-8131000,-1006000,7926000
79,Inventory,- -,- -,- -,- -,- -,- -,300000,-100000,-200000,-1900000,900000,400000,-7200000,3000000,285279,-826053,-477986,4740070,917242,-1926861,-4531439,-17413761,2060797,1998318,14662337,-11291056,307481,-4453680,-6208765,-879000,11124000,-17951000,-9927000,-595000,25875000,2145000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5800477,2653172,2420530,957646,-4149782,11025000,-2236000,1245000,1540000,-171000,10594000,-21521000
81,Other Working Capital,- -,- -,- -,- -,- -,5300000,4800000,5800000,7400000,10100000,7900000,12200000,16700000,15000000,15128276,18731975,26760591,23710512,20209075,24838918,27917463,62252441,60299022,671143,-985767,-6192210,224757322,143532731,152164673,149492000,160929000,154687000,197415000,213774000,73949000,189642000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-100000,1000000,-1500000,-1800000,-5900000,6300000,-3900000,-12100000,2100000,2722151,-4940209,-7763694,10042285,7903509,-9436655,-4278454,-54714620,5522404,-296022,252697,486329,225603449352,77601991,-8804268,-10100327,700000,-1239000,-44998000,-11534000,182483000,-113644000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,3000000,3300000,2100000,3800000,- -,9100000,6800000,2700000,8800000,13833433,12372280,14150016,22927191,14962593,6393948,12793770,6927521,38926190,60196170,82587786,42085355,64064828,92737613,107275296,118157000,143589000,111176000,78909000,114668000,144759000,92035000
84,CAPEX,- -,- -,- -,- -,- -,-1600000,-1400000,-1100000,-1200000,-4900000,-2900000,-2000000,-3400000,-7000000,-4152446,-5098534,-12772087,-3958611,-3644668,-6649185,-6601824,-10658561,-9926198,-20008583,-12036726,-16410874,-19783755,-24922987,-43471526,-29377000,-39861000,-41434000,-29612000,-25616000,-35044000,-37079000
