,https://roic.ai/company/QGEN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,4600000,8722000,7117000,7140000,38319000,44638000,91021000,168480000,118492000,639107000,640309000,752296000,753327000,819487000,853872000,790405000,726914000,636421000,557159000,499318000,475043000,632434000,726194000,627436000
41,Intangible Assets,- -,- -,- -,4600000,8722000,7117000,7140000,38319000,44638000,91021000,168480000,278633000,1746989000,1792414000,2089360000,2105608000,2553209000,2613770000,2646096000,2614877000,2512119000,2482677000,2512222000,2583579000,2772937000,3090225000,2978199000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15425000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1804000,3026000,4604000,3114000,6346000,2409000,72128000,73766000,26387000,37182000,26866000,2323000,5081000,4298000,2036000,68384000,39353000,42896000,56542000,54879000,72896000
44,Other Non-Current Assets,- -,- -,- -,27900000,42264000,82628000,170693000,220124000,243827000,233380000,220215000,247779000,308111000,315588000,347247000,406617000,427946000,478917000,516326000,686447000,713909000,719564000,838968000,966797000,835889000,525313000,348074000
45,Total Non-Current Assets,- -,- -,- -,32500000,50986000,89745000,179637000,261469000,293069000,327515000,395041000,528821000,2127228000,2181768000,2462994000,2549407000,3008021000,3095010000,3167503000,3305622000,3228064000,3270625000,3390543000,3593272000,3665368000,4245214000,4037352000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,106700000,148117000,230261000,356968000,454511000,551930000,714599000,765298000,1212012000,2775174000,2885323000,3796464000,3913995000,3756453000,4087631000,4088392000,4454372000,4189678000,4308194000,5038516000,5748332000,5235616000,5912530000,6146954000
48,Accounts Payable,- -,- -,- -,9200000,10468000,16658000,20262000,23661000,19481000,20157000,15934000,23806000,40379000,48836000,43775000,47803000,59848000,51311000,50869000,46124000,52306000,51218000,59205000,69415000,84767000,118153000,101224000
49,Short-Term Debt,- -,- -,- -,9100000,18153000,8324000,8542000,3274000,9229000,7970000,6916000,7422000,2773000,27984000,50000000,75835000,143946000,948000,207000,131119000,- -,- -,- -,503116000,285244000,42539000,847626000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8934000,12049000,- -,- -,- -,27296000,50642000,49190000,49812000,44629000,49357000,45358000,48525000,57066000,- -
52,Other Current Liabilities,- -,- -,- -,9700000,11297000,17594000,29079000,54553000,66568000,59928000,68821000,85303000,113645000,173506000,281755000,264769000,277863000,187314000,235320000,205193000,166235000,212582000,216230000,354300000,532809000,397328000,568620000
53,Total Current Liabilities,- -,- -,- -,28000000,39918000,42576000,57883000,81488000,95278000,88055000,91671000,116531000,165731000,262375000,375530000,388407000,481657000,266869000,337038000,431626000,268353000,308429000,324792000,972189000,951345000,615086000,1517470000
54,Long-Term Debt,- -,- -,- -,5300000,15213000,10273000,70720000,95733000,100444000,197383000,191447000,489592000,950000000,920000000,870000000,797171000,446005000,846044000,845276000,1040960000,1059587000,1067096000,1758258000,1671090000,1421108000,1880210000,1094144000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,549000,- -,- -,- -,10372000,17570000,21705000,225893000,212589000,212690000,200667000,207112000,191609000,143760000,117264000,75726000,40621000,76727000,63411000,23442000,39216000,37591000
57,Other Non-Current Liabilities,- -,- -,- -,300000,324000,12285000,15390000,14259000,21422000,18413000,14153000,18019000,41422000,36515000,47075000,51397000,63881000,58746000,38447000,206523000,224058000,284952000,337743000,406672000,303130000,580179000,401199000
58,Total Non-Current Liabilities,- -,- -,- -,5600000,15537000,23107000,86110000,109992000,121866000,226168000,223170000,529316000,1217315000,1169104000,1129765000,1049235000,716998000,1096399000,1027483000,1364747000,1359371000,1392669000,2172728000,2141173000,1747680000,2499605000,1532934000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,11107000,13716000,13737000,11101000,12009000,33017000,29718000,30971000,- -,- -,4203000,4719000,1125000,922000,999000,1359000,61000,18739000,23450000,- -
61,Total Liabilities,- -,- -,- -,33600000,55455000,65683000,143993000,191480000,217144000,314223000,314841000,645847000,1383046000,1431479000,1505295000,1437642000,1198655000,1363268000,1364521000,1796373000,1627724000,1701098000,2497520000,3113362000,2699025000,3114691000,3050404000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,300000,351000,1443000,1458000,1478000,1485000,1495000,1513000,1535000,2175000,2212000,2711000,2724000,2739000,2769000,2812000,2812000,2812000,2812000,2702000,2702000,2702000,2702000,2702000
64,Retained Earnings,- -,- -,- -,25800000,38458000,60311000,97278000,120420000,163270000,211975000,274200000,344739000,388779000,477812000,615579000,759890000,855928000,985434000,1054431000,1125686000,1227509000,1263464000,1247945000,1379624000,1178457000,1323091000,1791740000
65,Other Comprehensive Income/Loss,- -,- -,- -,-17200000,-21508000,-30846000,-42726000,-67256000,-92514000,-100356000,-105188000,-131650000,-166479000,-194070000,50000000,65000000,16000000,44000000,-4000000,-135000000,-259000000,-334000000,-221000000,-311000000,-310000000,- -,-326670000
66,Other Total Stockholders Equity,- -,- -,- -,64100000,75092000,133477000,156965000,208389000,262545000,287262000,279932000,351541000,1167100000,1167890000,1622879000,1648739000,1673637000,1682501000,1661089000,1656246000,1588599000,1674820000,1511349000,1563644000,1665432000,1472046000,1628778000
67,Total Stockholders Equity,- -,- -,- -,73000000,92393000,164385000,212975000,263031000,334786000,400376000,450457000,566165000,1391575000,1453844000,2291169000,2476353000,2548304000,2714704000,2714332000,2649744000,2559920000,2607096000,2540996000,2634970000,2536591000,2797839000,3096550000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,106600000,147848000,230068000,356968000,454511000,551930000,714599000,765298000,1212012000,2774621000,2885323000,3796464000,3913995000,3746959000,4077972000,4078853000,4446117000,4187644000,4308194000,5038516000,5748332000,5235616000,5912530000,6146954000
69,Minority Interest,- -,- -,- -,100000,269000,193000,- -,- -,- -,- -,- -,- -,553000,- -,- -,- -,9494000,9659000,9539000,8255000,2034000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,106700000,148117000,230261000,356968000,454511000,551930000,714599000,765298000,1212012000,2775174000,2885323000,3796464000,3913995000,3756453000,4087631000,4088392000,4454372000,4189678000,4308194000,5038516000,5748332000,5235616000,5912530000,6146954000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015820/000092701602001861/0000927016-02-001861-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000092701603001493/0000927016-03-001493-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000119312504050173/0001193125-04-050173-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1015820/000119312507072260/0001193125-07-072260-index.html,- -,https://www.sec.gov/Archives/edgar/data/1015820/000119312509063088/0001193125-09-063088-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000119312510058832/0001193125-10-058832-index.html,- -,https://www.sec.gov/Archives/edgar/data/1015820/000101582012000005/0001015820-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000101582013000005/0001015820-13-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1015820/000101582016000054/0001015820-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000101582017000011/0001015820-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000101582018000010/0001015820-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000101582019000009/0001015820-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000101582020000015/0001015820-20-000015-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2400000,5300000,8800000,12400000,12617000,20106000,34419000,23142000,42850000,48705000,62225000,70539000,50122000,89033000,137767000,144311000,96038000,129506000,69073000,116634000,127103000,80404000,40394000,190380000,-41455000,359188000,512599000
74,Depreciation and Amortization,1800000,2500000,4900000,5800000,7831000,10455000,15059000,24709000,25788000,22961000,24955000,30038000,62583000,105704000,120394000,142779000,167377000,197892000,199355000,200782000,191473000,213056000,216448000,206436000,231458000,205014000,214931000
75,Deferred Income Tax,300000,400000,-900000,-1000000,-1532000,-5378000,-1789000,5027000,12183000,-10474000,-2202000,5210000,-1654000,-17694000,-10610000,-19942000,-31861000,-22767000,-68086000,-41291000,-37194000,-65974000,60176000,-23272000,-55362000,-6706000,-5288000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9747000,13592000,19539000,25356000,37935000,42188000,27565000,28288000,34442000,40113000,65893000,40936000,- -
77,Change in Working Capital,-900000,-4200000,-4700000,-6300000,1024000,-11967000,-5853000,-14312000,-25141000,-20014000,-3753000,-5083000,-55826000,-18072000,-34797000,-15899000,-42917000,-83868000,5665000,-78809000,-24289000,10287000,-87856000,-95159000,-44324000,-72267000,-130012000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25213000,-6884000,-28203000,-14289000,-14921000,-16561000,-24764000,-12238000,-34165000,-41813000,-39578000,-14711000,- -
79,Inventory,-1800000,-4200000,-6000000,-3200000,-3698000,-6587000,-3926000,-18183000,-6396000,2019000,3764000,-4202000,-8738000,-30371000,-21534000,2348000,-15945000,-20376000,-17499000,-41792000,-33194000,-20346000,-21633000,-36918000,-30028000,-107573000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9076000,3482000,7261000,-9945000,-6793000,-5495000,7732000,-1466000,4321000,6993000,9252000,8442000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1773000,1541000,5344000,2271000,-4967000,-9281000,-29459000,28236000,8794000,-808000,27079000,-33962000,-162000,-22509000,62655000,- -
82,Other Non-Cash Items,300000,100000,400000,700000,6236000,25656000,16251000,-1880000,8380000,12620000,10012000,775000,29586000,14027000,-5506000,-14089000,36603000,-1239000,15015000,48461000,32839000,75541000,23175000,40998000,174633000,-68359000,46771000
83,Cash Provided by Operating Activities,3900000,4100000,8500000,11600000,26176000,38872000,58087000,36686000,64060000,53798000,91237000,101479000,84811000,172998000,216995000,250752000,244779000,244880000,258957000,287965000,317497000,341602000,286779000,359496000,330843000,457806000,639001000
84,CAPEX,-1700000,-9700000,-6800000,-10500000,-11811000,-39445000,-102067000,-59136000,-19558000,-12621000,-13728000,-35353000,-58614000,-57917000,-69357000,-123909000,-121388000,-128085000,-118693000,-97003000,-117481000,-93924000,-124405000,-150763000,-274884000,-304237000,-206534000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95000000,-860000000,-151000000,-235000000,-37000000,-457000000,-132000000,-171000000,-160000000,-67000000,-90000000,-51000000,-156000000,-67000000,- -,- -
86,Purchases of Investments,- -,-28100000,-300000,-20400000,-40791000,-28796000,-3080000,-189000,-6000,-37963000,-40445000,-56648000,-46191000,-4175000,-40000000,-110076000,-206101000,-48115000,-24665000,-429584000,-323623000,-519752000,-455341000,-577400000,-299129000,-49770000,-400295000
87,Sales/Maturities of Investments,- -,- -,2200000,21800000,28808000,23647000,16395000,10958000,6489000,14860000,55430000,20000000,299005000,2313000,1476000,51985000,242630000,5999000,63146000,275779000,367714000,533847000,189006000,691765000,396098000,206861000,359560000
88,Other Investing Activites,100000,-500000,-1000000,-2600000,66000,-432000,-2046000,-16425000,-982000,-15425000,-99758000,1529000,6129000,261000,-16041000,-40754000,-33046000,-24774000,-34748000,-7205000,-25513000,-28615000,-56848000,-59948000,-134297000,-467585000,28213000
89,Cash Used for Investing Activites,-1600000,-38300000,-5900000,-11700000,-23728000,-45026000,-90798000,-64792000,-14057000,-51149000,-98501000,-165472000,-659671000,-210518000,-341744000,-215511000,-540322000,-300886000,-251735000,-407601000,-146200000,-179056000,-464264000,-211356000,-222278000,-443281000,-202426000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27991000,-53262000,-473560000,-150782000,-7951000,-391629000,-253033000,-8060000,-1402000,-1308000,-640163000,-592543000,-41345000
91,Common Stock Issued,- -,31100000,700000,900000,2665000,20757000,4089000,2330000,2113000,5132000,7959000,11006000,42282000,18455000,650492000,11241000,8778000,- -,- -,- -,10316000,6269000,6075000,4412000,2075000,7662000,7919000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35653000,-86029000,-126889000,-20818000,- -,-60970000,-104685000,-74450000,-63995000,-99987000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1200000,800000,2500000,900000,930000,-5917000,62156000,3793000,-3997000,90491000,-5004000,292154000,451772000,-5686000,6697000,6793000,154152000,413039000,25221000,711361000,4922000,-8813000,443484000,461989000,73458000,598749000,-16953000
95,Cash Used/Provided by Financing Activities,-1200000,31900000,3200000,1800000,3595000,14840000,66245000,6123000,-1884000,95623000,2955000,303160000,494054000,12769000,629198000,-35228000,-310630000,226604000,-68759000,192843000,-258613000,-10604000,387187000,360408000,-639080000,-50127000,-150366000
96,Effect of Forex Changes on Cash,700000,-1100000,-3500000,300000,-246000,455000,-1082000,10416000,5981000,-890000,-366000,-510000,-2231000,10744000,-12205000,2837000,-1101000,2306000,-2197000,-10843000,-15340000,-2773000,8832000,-7183000,826000,4196000,-3677000
97,Net Change In Cash,1700000,-3300000,2300000,2000000,5797000,9141000,32452000,-11567000,54100000,97382000,-4675000,238657000,-83037000,-14007000,492244000,2850000,-607274000,172904000,-63734000,62364000,-102656000,149169000,218534000,501365000,-529689000,-31406000,282532000
98,Cash at the End of Period,5300000,2000000,4300000,6300000,12140000,21534000,56460000,44893000,98993000,196375000,191700000,430357000,347320000,333313000,825557000,828407000,221133000,394037000,330303000,392667000,290011000,439180000,657714000,1159079000,629390000,597984000,880516000
99,Cash at the Beginning of Period,3600000,5300000,2000000,4300000,6343000,12393000,24008000,56460000,44893000,98993000,196375000,191700000,430357000,347320000,333313000,825557000,828407000,221133000,394037000,330303000,392667000,290011000,439180000,657714000,1159079000,629390000,597984000
100,Free Cash Flow,2200000,-5600000,1700000,1100000,14365000,-573000,-43980000,-22450000,44502000,41177000,77509000,66126000,26197000,115081000,147638000,126843000,123391000,116795000,140264000,190962000,200016000,247678000,162374000,208733000,55959000,153569000,432467000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015820/000092701602001861/0000927016-02-001861-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000092701603001493/0000927016-03-001493-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000119312504050173/0001193125-04-050173-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1015820/000119312507072260/0001193125-07-072260-index.html,- -,https://www.sec.gov/Archives/edgar/data/1015820/000119312509063088/0001193125-09-063088-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000119312510058832/0001193125-10-058832-index.html,- -,https://www.sec.gov/Archives/edgar/data/1015820/000101582012000005/0001015820-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000101582013000005/0001015820-13-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1015820/000101582016000054/0001015820-16-000054-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000101582017000011/0001015820-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000101582018000010/0001015820-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000101582019000009/0001015820-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1015820/000101582020000015/0001015820-20-000015-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
