,https://roic.ai/company/REGN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.6600,-1.3151,-1.5913,-3.6604,-1.2586,-0.2774,-0.7178,-0.2266,-0.3298,-0.6899,-0.4264,-3.8995,-5.5463,-1.7390,0.0324,1.8797,-1.6968,-0.9155,-0.3767,-0.1954,-0.2123,-0.4602,0.3320,0.3611,0.2974,0.3051,0.2738,0.3541,0.3777,0.2810,0.4209,0.5567
19,Total Other Income Expenses (Gains),- -,5200000,- -,- -,- -,-14700000,-14300000,-3400000,4400000,1000000,-4575000,12160000,9435000,4462000,48228000,41021000,16548000,20897000,9471000,2151000,-6996000,-17733000,-43292000,-46668000,-62684000,-26819000,-926000,-1080000,19100000,219300000,233800000,379000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80359000,-71952000,-104468000,-222892000,414421000,713360000,775747000,1225097000,1329815000,2078511000,2553500000,2429100000,3810400000,9325800000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.3370,-0.1897,-0.2276,-0.5000,0.3006,0.3389,0.2751,0.2985,0.2736,0.3540,0.3805,0.3089,0.4484,0.5803
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2351000,-4122000,- -,-1132000,-335848000,288998000,427673000,589041000,434293000,880000000,109100000,313300000,297200000,1250500000
23,Net Income,-3300000,-4500000,-19100000,-39900000,-30700000,-23500000,-32400000,-11600000,-8600000,-23100000,-23215000,-76180000,-124377000,-107458000,41699000,-95446000,-102337000,-105600000,-82710000,-67830000,-104468000,-221760000,750269000,424362000,348074000,636056000,895522000,1198511000,2444400000,2115800000,3513200000,8075300000
24,Net Income ratio,-0.6600,-0.6164,-1.6609,-3.7642,-1.3233,-0.8577,-1.3444,-0.3505,-0.2251,-0.6696,-0.3916,-3.4670,-5.6566,-1.8689,0.2396,-1.4419,-1.6130,-0.8446,-0.3469,-0.1788,-0.2276,-0.4974,0.5443,0.2016,0.1234,0.1550,0.1842,0.2041,0.3642,0.2691,0.4135,0.5025
25,EPS,-0.63,-0.29,-1.24,-2.41,-1.62,-1.19,-1.33,-0.40,-0.28,-0.74,-0.66,-1.81,-2.83,-2.13,0.75,-1.71,-1.77,-1.59,-1.05,-0.85,-1.26,-2.45,7.92,4.33,3.46,6.17,8.55,11.27,22.65,19.38,32.65,76.40
26,EPS Diluted,-0.63,-0.29,-1.24,-2.41,-1.62,-1.19,-1.33,-0.40,-0.28,-0.74,-0.66,-1.81,-2.83,-2.13,0.74,-1.71,-1.77,-1.59,-1.05,-0.85,-1.26,-2.45,6.75,3.81,3.07,5.52,7.70,10.34,21.29,18.46,30.52,71.97
27,Weighted Average Shares Outstanding,15364000,15517241,15403226,16556017,18950617,19747899,24463516,29000000,30714286,31216216,35174242,42088398,43949470,50449765,55598667,55950000,57970000,66334000,78827000,79782000,82926000,90610000,94685000,97917000,100612000,103061000,104719000,106338000,107900000,109200000,107600000,105700000
28,Weighted Average Shares Outstanding Diluted,15364000,15517241,15403226,16556017,18950617,19747899,24463516,29000000,31000000,31449275,35174242,42088398,43949470,50449765,56350000,55950000,57970000,66334000,78827000,79782000,82926000,90610000,115382000,111290000,113413000,115230000,116367000,115954000,114800000,114600000,115100000,112200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/872589/000095012303003582/y84123e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012304003254/y94850e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012305002979/y06183e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012306002365/y17762e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012307003627/y31048e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012308002191/y50008e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000120677409000338/0001206774-09-000338-index.html,https://www.sec.gov/Archives/edgar/data/872589/000120677410000298/0001206774-10-000298-index.html,https://www.sec.gov/Archives/edgar/data/872589/000120677411000263/regeneron_10k.htm,https://www.sec.gov/Archives/edgar/data/872589/000120677412000709/0001206774-12-000709-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217613000004/0001532176-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/regn-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217615000008/regn-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/0001532176-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217617000008/0001532176-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217618000013/0001532176-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217619000009/0001532176-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217620000008/0001532176-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/872589/000180422021000008/0001804220-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000007/0001804220-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,32700000,34500000,28900000,19800000,23700000,30978000,247393000,80077000,118285000,101234000,184508000,237876000,498925000,247796000,207075000,112572000,483610000,230276000,535608000,648719000,809102000,535203000,812733000,1467700000,1617800000,2193700000,2885600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,42500000,86634000,137686000,184194000,175489000,194748000,114037000,221400000,267532000,226954000,134255000,136796000,43332000,77819000,158376000,251761000,236121000,503481000,596847000,1342200000,1596500000,1393300000,2809100000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,32700000,34500000,28900000,19800000,66200000,117612000,385079000,264271000,293774000,295982000,298545000,459276000,766457000,474750000,341330000,249368000,526942000,308095000,693984000,900480000,1045223000,1038684000,1409580000,2809900000,3214300000,3587000000,5694700000
34,Net Receivables,- -,- -,- -,- -,- -,2700000,4300000,6600000,5700000,600000,13835000,2975000,4017000,15529000,43102000,36521000,7493000,18320000,35212000,65568000,93112000,103035000,693120000,891778000,1017399000,1467793000,1611620000,1974340000,2243200000,2672200000,4114700000,6036500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,1915000,3973000,6831000,9006000,3229000,2904000,- -,- -,- -,- -,- -,13556000,28638000,70354000,128861000,238578000,399356000,726138000,1151200000,1415500000,1916600000,1951300000
36,Other Current Assets,- -,- -,- -,- -,- -,13800000,46200000,64100000,67400000,1600000,780000,2159000,1829000,1898000,1642000,3422000,3215000,13052000,11480000,18610000,15142000,9342000,176159000,140818000,120721000,163501000,130528000,224972000,243300000,387100000,160800000,332400000
37,Total Current Assets,- -,- -,- -,- -,- -,49200000,85000000,99600000,92900000,73000000,134142000,394186000,276948000,320207000,343955000,341392000,469984000,797829000,521442000,425508000,357622000,652875000,1206012000,1796934000,2167461000,2915095000,3180188000,4335030000,6447600000,7689100000,9779100000,14014900000
38,PP&E,- -,- -,- -,- -,- -,27900000,34300000,32700000,33000000,36300000,36934000,39448000,76825000,80723000,71239000,60535000,49353000,58304000,87853000,259676000,347450000,367955000,379940000,526983000,974309000,1594120000,2083421000,2358605000,2575800000,2890400000,3221600000,3482200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51061000,47080000,370053000,275887000,271230000,389891000,460154000,632162000,864260000,1486494000,1755000000,3256800000,3135600000,6838000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192022000,231878000,266869000,461945000,825303000,506291000,828700000,824200000,858900000,876900000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,16700000,18300000,36100000,31000000,27700000,37198000,61763000,37801000,78625000,57914000,21574000,65753000,80125000,9682000,8938000,14307000,26866000,31286000,5327000,3034000,5810000,20294000,77866000,127400000,144700000,168100000,222800000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,44600000,52600000,68800000,64000000,64000000,74132000,101211000,114626000,159348000,129153000,82109000,115106000,138429000,148596000,315694000,731810000,670708000,874478000,1154079000,1704366000,2694037000,3793278000,4429256000,5286900000,7116100000,7384200000,11419900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,93800000,137600000,168400000,156900000,137000000,208274000,495397000,391574000,479555000,473108000,423501000,585090000,936258000,670038000,741202000,1089432000,1323583000,2080490000,2951013000,3871827000,5609132000,6973466000,8764286000,11734500000,14805200000,17163300000,25434800000
48,Accounts Payable,- -,- -,- -,- -,- -,6300000,4400000,4700000,5600000,6600000,9446000,14830000,30309000,18933000,18872000,23337000,21471000,8128000,6268000,18638000,- -,27736000,38934000,61936000,99508000,140962000,134984000,178183000,218200000,418100000,475500000,564000000
49,Short-Term Debt,- -,- -,- -,- -,- -,3500000,3600000,1800000,1100000,1400000,612000,426000,150000,13817000,- -,- -,- -,202292000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,719700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19500000,326300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6766000,9659000,40173000,15267000,17020000,23543000,44432000,47504000,44544000,54723000,51640000,50831000,47000000,74025000,153487000,231664000,320138000,452500000,591700000,577700000,442000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,3100000,4000000,4200000,2700000,5300000,3728000,- -,- -,- -,- -,- -,- -,28812000,29900000,30393000,54333000,68895000,73785000,189899000,481127000,516713000,874847000,637162000,772100000,1086800000,1644200000,2206800000
53,Total Current Liabilities,- -,- -,- -,- -,- -,12900000,12000000,10700000,9400000,13300000,13786000,22022000,40118000,72923000,34139000,40357000,45014000,283664000,83672000,93575000,109056000,148271000,163550000,298835000,654660000,811162000,1241495000,1135483000,1442800000,2096600000,2697400000,3932500000
54,Long-Term Debt,- -,- -,- -,- -,- -,6000000,5100000,3800000,3100000,2700000,2069000,200000000,200000000,200000000,200000000,200000000,200000000,- -,5093000,- -,- -,275019000,296518000,320315000,146773000,10802000,- -,- -,- -,- -,2695700000,1980000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162421000,137884000,285856000,248610000,208342000,184199000,176276000,664679000,830772000,629199000,464200000,619000000,57800000,73300000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,7000000,13600000,15000000,13200000,11500000,10289000,7020000,5475000,68989000,56426000,69142000,123452000,192327000,- -,112981000,166705000,165951000,166695000,195588000,351793000,467652000,451954000,855526000,1070200000,999900000,687100000,680200000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,13000000,18700000,18800000,16300000,14200000,12358000,207020000,205475000,268989000,256426000,269142000,323452000,192327000,167514000,250865000,452561000,689580000,671555000,700102000,674842000,1143133000,1282726000,1484725000,1534400000,1618900000,3440600000,2733500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160030000,160514000,160810000,185197000,310938000,362919000,478843000,703453000,708500000,713900000,717200000,719700000
61,Total Liabilities,- -,- -,- -,- -,- -,25900000,30700000,29500000,25700000,27500000,26144000,229042000,245593000,341912000,290565000,309499000,368466000,475991000,251186000,344440000,561617000,837851000,835105000,998937000,1329502000,1954295000,2524221000,2620208000,2977200000,3715500000,6138000000,6666000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000,44000,44000,55000,56000,56000,65000,79000,80000,81000,89000,93000,97000,99000,104000,108000,110000,112000,100000,100000,100000,100000
64,Retained Earnings,- -,- -,- -,- -,- -,-124600000,-157000000,-168600000,-177200000,-200300000,-223518000,-299698000,-424075000,-531533000,-489834000,-585280000,-687617000,-793217000,-875927000,-941095000,-1045563000,-1267323000,-517054000,-92692000,255382000,852700000,1748222000,2946733000,5254300000,7379800000,10893000000,18968300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-5900000,-5900000,-23600000,-26600000,-30400000,-36197000,-42961000,-50368000,-62985000,-77281000,-90097000,-87609000,-96477000,-99283000,1000000,-2000000,-2000000,-1000000,-1000000,52000000,9000000,-13000000,1000000,-12000000,21000000,29300000,-26200000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,198400000,269800000,331100000,335000000,340200000,441808000,608970000,620380000,732106000,749602000,789323000,991785000,1349882000,1393982000,1336776000,1575289000,1754962000,1763342000,2045669000,2234839000,2793029000,2713913000,3196233000,3514900000,3688800000,102900000,-173400000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,67900000,106900000,138900000,131200000,109500000,182130000,266355000,145981000,137643000,182543000,114002000,216624000,460267000,418852000,396762000,527815000,485732000,1245385000,1952076000,2542325000,3654837000,4449245000,6144078000,8757300000,11089700000,11025300000,18768800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,93800000,137600000,168400000,156900000,137000000,208274000,495397000,391574000,479555000,473108000,423501000,585090000,936258000,670038000,741202000,1089432000,1323583000,2080490000,2951013000,3871827000,5609132000,6973466000,8764286000,11734500000,14805200000,17163300000,25434800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,93800000,137600000,168400000,156900000,137000000,208274000,495397000,391574000,479555000,473108000,423501000,585090000,936258000,670038000,741202000,1089432000,1323583000,2080490000,2951013000,3871827000,5609132000,6973466000,8764286000,11734500000,14805200000,17163300000,25434800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/872589/000095012303003582/y84123e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012304003254/y94850e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012305002979/y06183e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012306002365/y17762e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012307003627/y31048e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000095012308002191/y50008e10vk.htm,https://www.sec.gov/Archives/edgar/data/872589/000120677409000338/0001206774-09-000338-index.html,https://www.sec.gov/Archives/edgar/data/872589/000120677410000298/0001206774-10-000298-index.html,https://www.sec.gov/Archives/edgar/data/872589/000120677411000263/regeneron_10k.htm,https://www.sec.gov/Archives/edgar/data/872589/000120677412000709/0001206774-12-000709-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217613000004/0001532176-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217614000008/regn-123113x10k.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217615000008/regn-123114x10k.htm,https://www.sec.gov/Archives/edgar/data/872589/000153217616000045/0001532176-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217617000008/0001532176-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217618000013/0001532176-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217619000009/0001532176-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/872589/000153217620000008/0001532176-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/872589/000180422021000008/0001804220-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/872589/000180422022000007/0001804220-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-4500000,-19100000,-39900000,-30700000,-23500000,-32400000,-11600000,-8600000,-23100000,-23215000,-76180000,-124377000,-107458000,41699000,-95446000,-102337000,-105600000,-82710000,-67830000,-104468000,-221760000,750269000,424362000,348074000,636056000,895522000,1198511000,2444400000,2115800000,3513200000,8075300000
74,Depreciation and Amortization,- -,800000,2000000,3100000,4200000,5900000,6100000,4400000,3000000,3400000,4421000,6077000,8454000,12937000,15362000,15504000,14592000,11487000,11287000,14247000,19687000,31082000,36940000,41204000,52686000,74909000,104745000,145467000,148200000,210300000,235900000,286200000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-340156000,63601000,-66604000,-121623000,-360078000,318809000,-140000000,-130600000,75600000,-147100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32523000,31259000,39897000,56094000,94157000,198399000,307238000,459049000,559878000,507277000,427400000,464300000,432000000,601700000
77,Change in Working Capital,- -,-600000,- -,- -,- -,36300000,36700000,15900000,-5400000,-23800000,60656000,251808000,-135334000,10454000,62532000,-8781000,123935000,89195000,-76395000,-105837000,-83367000,256038000,537858000,455637000,14702000,591132000,-165240000,1260854000,1805253000,587700000,1489200000,-1916500000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16892000,-30356000,-27544000,-21118000,-590085000,-198658000,-62432000,-491421000,-143827000,-362720000,-268900000,-473100000,-1356100000,-1927400000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,4050000,-941000,-1732000,-1049000,6914000,1250000,3594000,- -,- -,- -,- -,- -,- -,-47956000,-60900000,-111825000,-149776000,-314195000,-387900000,-335500000,-529400000,-494300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12959000,- -,- -,10979000,136684000,162236000,303657000,253980000,-23188000,210000000,444500000,118900000,866100000
81,Other Working Capital,- -,- -,- -,- -,- -,36300000,73000000,88900000,83500000,59700000,120356000,372164000,236830000,247284000,309816000,301035000,424970000,514165000,437770000,331933000,248566000,504604000,1042462000,1498099000,1512801000,2103933000,1938693000,3199547000,5004800000,5592500000,7081700000,-120200000
82,Other Non-Cash Items,- -,-2500000,-100000,6700000,6000000,-36900000,-30700000,-14800000,800000,29700000,-69772000,-239025000,140734000,77934000,-136502000,58427000,-13115000,32290000,26209000,55931000,224595000,-263136000,-1153683000,-599555000,87061000,-308743000,438569000,-2123806000,-2490153000,-817500000,-3127800000,181700000
83,Cash Provided by Operating Activities,- -,-6800000,-17200000,-30100000,-20500000,-18200000,-20300000,-6100000,-10200000,-13800000,-27910000,-57320000,-110523000,-6133000,-16909000,-30296000,23075000,27372000,-89086000,-72230000,96344000,-141682000,-74615000,583648000,743157000,1330780000,1473396000,1307112000,2195100000,2430000000,2618100000,7081300000
84,CAPEX,- -,-1000000,-2100000,-10200000,-6900000,-3300000,-8600000,-2100000,-3000000,-5700000,-6495000,-8223000,-34370000,-29656000,-6174000,-4964000,-2811000,-18446000,-34857000,-97318000,-99689000,-57217000,-49337000,-156323000,-333006000,-677933000,-511941000,-272626000,-383100000,-429600000,-614600000,-551900000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-137200000,-71600000,-77300000,-22500000,-28100000,-74600000,-112600000,-88000000,-60100000,-104898000,-191351000,-239977000,-287502000,-276318000,-102990000,-456893000,-594446000,-581139000,-199997000,-612187000,-240391000,-470393000,-577278000,-564188000,-557105000,-809419000,-1277140000,-1845500000,-3202400000,-3241000000,-7048100000
87,Sales/Maturities of Investments,- -,61800000,82800000,68500000,61300000,38800000,38900000,75900000,93500000,83200000,53717000,124189000,215831000,253315000,277909000,223448000,306199000,527169000,646861000,297411000,276601000,426356000,439209000,378146000,476417000,327437000,274456000,544584000,775600000,1604200000,3785000000,2215300000
88,Other Investing Activites,- -,-1200000,-900000,-4600000,- -,- -,- -,-100000,-100000,100000,- -,- -,- -,- -,- -,- -,-1600000,- -,-34907000,-97268000,-98567000,-57494000,-49889000,-156323000,-333006000,-677933000,-511941000,-272626000,-393100000,-429600000,-614600000,-551900000
89,Cash Used for Investing Activites,- -,-77600000,8200000,-23600000,31900000,7400000,-44300000,-38900000,2400000,17500000,-57676000,-75385000,-58516000,-63843000,-4583000,115494000,-155105000,-85723000,30815000,146000,-434153000,128471000,-81073000,-355455000,-420777000,-907601000,-1046904000,-1005182000,-1463000000,-2027800000,-70600000,-5384700000
