,https://roic.ai/company/ICLD,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
82,Other Non-Cash Items,4455,-4458,-5791,-13220,-5533,-16006,676507,-188576,888220,573791,23164775,1590000,47862000,4586000,37262000
83,Cash Provided by Operating Activities,-4652,-39903,-26303,-16819,-1379,-14625,-1749,-1142543,-1172416,-3155003,2792934,-10419000,-1829000,-11029000,-1758000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-181312,-74519,-89258,-124273,-561000,-215000,-128000,-29000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-42234,-13467074,-297321,-15548000,- -,112000,5021000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-19850,10257,- -,- -,- -,- -,188217,- -,-1269000,21014000,485000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-19850,10257,- -,-181312,-116753,-13556332,-233377,-16109000,-1484000,20998000,5477000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-606307,-341150,-4486283,-5070200,-137000,-3604000,-16093000,-5588000
91,Common Stock Issued,- -,- -,- -,- -,20000,- -,- -,- -,55000,- -,5237491,4218000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,- -,1000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-360000,- -,- -,- -,- -
94,Other Financing Activites,1400,47800,19000,16300,1180,4300,1726,1950225,1642128,21755311,18245835,10050000,9391000,-31000,769000
95,Cash Used/Provided by Financing Activities,1400,47800,19000,16300,21180,4300,1726,1343918,1355978,17269028,15053126,14131000,5787000,-16123000,-4819000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3252,7897,-7303,-519,-49,-68,1726,20063,66809,557693,17260530,-12397000,2474000,-6154000,-1100000
98,Cash at the End of Period,65,7962,659,140,91,23,- -,22476,89285,646978,17866532,5470000,7944000,1790000,681000
99,Cash at the Beginning of Period,3317,65,7962,659,140,91,23,2413,22476,89285,606002,17867000,5470000,7944000,1781000
100,Free Cash Flow,-4652,-39903,-26303,-16819,-1379,-14625,-1749,-1323855,-1246935,-3244261,2668661,-10980000,-2044000,-11157000,-1787000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1128725/000121390007000329/f10ksb2006_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390008000679/f10ksb2007_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390009000915/f10k2008_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390010005114/f10k2010_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390011002076/f10k2010_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390012001870/f10k2011_genesis.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390013001503/0001213900-13-001503-index.html,https://www.sec.gov/Archives/edgar/data/1128725/000121390014002235/f10k2013_intercloudsystems.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390015002005/f10k2014_intercloudsys.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390016014344/f10k2015_intercloud.htm,https://www.sec.gov/Archives/edgar/data/1128725/000121390017002256/0001213900-17-002256-index.html,https://www.sec.gov/Archives/edgar/data/1128725/000121390018004602/f10k2017_intercloudsystems.htm
102,false,,,,,,,,,,,,,,,
