,https://roic.ai/company/CLH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,0.0807,- -,0.1156,0.0606,0.0403,0.0878,0.0846,0.0650,0.0521,0.0134,0.0025,- -,0.0309,- -,0.0611,0.0713,0.0366,0.0199,0.0612,0.0721,0.0896,0.0900,0.1048,0.0764,0.1224,0.1097,0.0924,0.0628,0.0329,0.0573,0.0251,0.0434,0.0553,0.0672,0.0799,0.0914
19,Total Other Income Expenses (Gains),- -,-500000,-1100000,-1800000,-1200000,-4500000,-6000000,-7000000,-7300000,-7500000,-12900000,-10200000,-8400000,-9600000,-8600000,-9167000,-9991000,-12553000,-24103000,-30741000,-22143000,-21423000,-13022000,-13995000,-20593000,-27435000,-32987000,-74474000,-76671000,-73288000,-77933000,-60446000,-69086000,-88092000,-81217000,-76786000,-78172000
20,Income Before Tax,- -,2100000,3800000,6700000,4600000,800000,5200000,7900000,5700000,3300000,-10100000,-9700000,-8900000,-3500000,-1900000,5102000,7952000,254000,-11957000,8643000,29116000,52953000,72238000,93977000,61472000,184477000,184678000,127730000,143885000,38522000,109646000,8716000,58689000,94482000,148239000,174550000,269715000
21,Income Before Tax Ratio,- -,0.0652,0.0814,0.0912,0.0481,0.0061,0.0408,0.0448,0.0285,0.0159,-0.0483,-0.0485,-0.0484,-0.0177,-0.0094,0.0219,0.0316,0.0007,-0.0196,0.0134,0.0409,0.0638,0.0763,0.0912,0.0572,0.1066,0.0931,0.0584,0.0410,0.0113,0.0335,0.0032,0.0199,0.0286,0.0434,0.0555,0.0709
22,Income Tax expense (Gain),- -,800000,2100000,3000000,2000000,100000,1600000,2800000,2600000,1600000,-3200000,-2800000,4800000,400000,300000,-2016000,2412000,3787000,5322000,6043000,3495000,6339000,28040000,36491000,26225000,56756000,57426000,-1944000,48319000,66850000,65544000,48589000,-42050000,28846000,50499000,39713000,66468000
23,Net Income,- -,1300000,1700000,3700000,2600000,700000,3600000,5100000,3100000,500000,-6900000,-6900000,-13700000,-3900000,-2200000,7118000,5540000,-28191000,-17345000,2600000,25621000,46675000,44198000,57486000,36686000,130515000,127252000,129674000,95566000,-28328000,44102000,-39873000,100739000,65636000,97740000,134837000,203247000
24,Net Income ratio,- -,0.0404,0.0364,0.0503,0.0272,0.0053,0.0282,0.0289,0.0155,0.0024,-0.0330,-0.0345,-0.0745,-0.0198,-0.0108,0.0305,0.0220,-0.0805,-0.0284,0.0040,0.0360,0.0562,0.0467,0.0558,0.0342,0.0754,0.0641,0.0593,0.0272,-0.0083,0.0135,-0.0145,0.0342,0.0199,0.0286,0.0429,0.0534
25,EPS,- -,0.14,0.17,0.33,0.17,0.04,0.18,0.26,0.15,0.03,-0.39,-0.39,-0.71,-0.21,-0.13,0.30,0.23,-1.21,-0.76,-0.33,0.81,1.19,1.11,1.28,0.74,2.48,2.40,2.41,1.58,-0.47,0.76,-0.69,1.77,1.17,1.75,2.43,3.73
26,EPS Diluted,- -,0.14,0.17,0.33,0.17,0.04,0.18,0.26,0.14,0.02,-0.39,-0.39,-0.71,-0.21,-0.13,0.29,0.20,-1.21,-0.76,-0.33,0.72,1.13,1.07,1.25,0.73,2.46,2.39,2.40,1.57,-0.47,0.76,-0.69,1.76,1.16,1.74,2.42,3.71
27,Weighted Average Shares Outstanding,- -,9629630,10000000,11212121,15757576,17500000,19459459,19615385,20666667,19270000,18950000,19306000,19918000,20618000,21298000,22170000,22808000,24378000,27106000,28198000,31258000,39052000,39654000,44930000,49634000,52622000,52961000,53884000,60574000,60311000,58324000,57532000,57072000,56148000,55845000,55479000,54514000
28,Weighted Average Shares Outstanding Diluted,- -,9629630,10000000,11212121,15757576,17500000,19459459,19615385,22142857,24285714,18950000,19306000,19918000,20618000,21298000,22610000,25352000,24378000,27106000,28198000,35434000,41314000,41260000,45732000,49866000,52934000,53324000,54079000,60728000,60311000,58434000,57532000,57200000,56340000,56129000,55690000,54761000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822818/000095013595000287/0000950135-95-000287-index.html,https://www.sec.gov/Archives/edgar/data/822818/000095010996001820/0000950109-96-001820-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822818/000092701602001496/d10k405.htm,https://www.sec.gov/Archives/edgar/data/822818/000092701603001753/d10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000119312504042394/d10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000104746905008610/a2154703z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000110465906017572/0001104659-06-017572-index.html,https://www.sec.gov/Archives/edgar/data/822818/000104746907001861/a2176682z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000104746908002447/a2183336z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000104746909002140/0001047469-09-002140-index.html,https://www.sec.gov/Archives/edgar/data/822818/000104746910001670/0001047469-10-001670-index.html,https://www.sec.gov/Archives/edgar/data/822818/000104746911001635/a2202164z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000144530512000549/0001445305-12-000549-index.html,https://www.sec.gov/Archives/edgar/data/822818/000144530513000500/0001445305-13-000500-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281814000004/clh-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000082281815000003/clh-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000082281816000033/0000822818-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281817000006/0000822818-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281818000006/0000822818-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281819000003/0000822818-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281820000002/0000822818-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281821000003/0000822818-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/822818/000082281822000008/0000822818-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,600000,300000,300000,300000,- -,600000,800000,1000000,200000,1400000,3900000,1900000,2800000,2629000,6715000,13682000,6331000,31081000,132449000,73550000,119538000,249524000,233546000,302210000,260723000,229836000,310073000,246879000,184708000,306997000,319399000,226507000,371991000,519101000,452575000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,768000,- -,- -,- -,16800000,- -,10240000,850000,175000,2072000,3174000,111000,11778000,12435000,- -,- -,- -,38179000,52856000,42421000,51857000,81724000
33,Cash and Short-Term Investments,- -,- -,600000,300000,300000,300000,- -,600000,800000,1000000,200000,1400000,3900000,1900000,3900000,3397000,6715000,13682000,6331000,47881000,132449000,83790000,120388000,249699000,235618000,305384000,260834000,241614000,322508000,246879000,184708000,306997000,357578000,279363000,414412000,570958000,534299000
34,Net Receivables,- -,10800000,11500000,17200000,25900000,30100000,- -,38500000,47300000,45000000,48400000,42700000,39500000,41400000,43900000,47201000,46545000,139182000,114429000,126263000,156170000,185809000,207829000,180535000,287249000,351795000,478938000,568495000,605962000,597906000,521944000,532416000,564846000,661746000,701064000,667215000,887697000
35,Inventory,- -,- -,- -,- -,- -,2900000,- -,2200000,2400000,2700000,3000000,2900000,2800000,2900000,2800000,3379000,4115000,9629000,9018000,10318000,12723000,20101000,22363000,26905000,41417000,44546000,56242000,171441000,152096000,168663000,149521000,178428000,176012000,199479000,214744000,220498000,250692000
36,Other Current Assets,- -,1700000,1300000,1100000,5600000,5700000,- -,4400000,3500000,3400000,7600000,14600000,4200000,4500000,1100000,4166000,6992000,28129000,36321000,27367000,22706000,33119000,29858000,31913000,55966000,50812000,95854000,105243000,90613000,112985000,65023000,75030000,55620000,61570000,70688000,67051000,68483000
37,Total Current Assets,- -,12500000,13400000,18600000,31800000,39000000,- -,45700000,54000000,52100000,59200000,61600000,50400000,50700000,51700000,58143000,64367000,190622000,166099000,211829000,324048000,322819000,380438000,489052000,620250000,752537000,891868000,1086793000,1171179000,1126433000,921196000,1092871000,1154056000,1202158000,1400908000,1525722000,1741171000
38,PP&E,- -,6900000,18300000,24600000,55500000,61400000,- -,69600000,74100000,69800000,74700000,68800000,61900000,57100000,56200000,55602000,53424000,181674000,166542000,180526000,178524000,244126000,262601000,295461000,589944000,655394000,903947000,1531763000,1602170000,1558834000,1532467000,1611827000,1587365000,1561978000,1750357000,1675639000,2024972000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19032000,21572000,24578000,56085000,60252000,122392000,593771000,570960000,452669000,453105000,465154000,478523000,514189000,525013000,527023000,1227042000
40,Intangible Assets,- -,- -,- -,- -,31000000,38200000,- -,38000000,38600000,37200000,35700000,34100000,32500000,33400000,20600000,19799000,29617000,114726000,98843000,99495000,96835000,65743000,74809000,71754000,114188000,114400000,139644000,572817000,569973000,530080000,506818000,498721000,469128000,441875000,419066000,386620000,644912000
41,Intangible Assets,- -,- -,- -,- -,31000000,38200000,- -,38000000,38600000,37200000,35700000,34100000,32500000,33400000,20600000,19799000,29617000,114726000,98843000,99495000,96835000,84775000,96381000,96332000,170273000,174652000,262036000,1166588000,1140933000,982749000,959923000,963875000,947651000,956064000,944079000,913643000,1871954000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,9000000,6237000,6503000,5437000,4245000,4354000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6594000,488000,1715000,6388000,12176000,5454000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,1000000,1500000,2000000,14200000,19300000,- -,600000,700000,800000,8700000,13500000,10100000,4700000,16700000,16024000,4313000,72668000,102081000,12364000,13242000,10700000,9292000,5800000,14098000,14455000,23707000,36308000,39396000,36262000,17842000,13347000,17498000,18121000,13560000,16516000,15602000
45,Total Non-Current Assets,- -,7900000,19800000,26600000,100700000,118900000,- -,108200000,113400000,107800000,119100000,116400000,104500000,95200000,93500000,91425000,87354000,369068000,374060000,292873000,290316000,347989000,389450000,409284000,780818000,849938000,1193935000,2739013000,2782499000,2577845000,2510232000,2589049000,2552514000,2536163000,2707996000,2605798000,3912528000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,20400000,33200000,45200000,132500000,157900000,- -,153900000,167400000,159900000,178300000,178000000,154900000,145900000,145200000,149568000,151721000,559690000,540159000,504702000,614364000,670808000,769888000,898336000,1401068000,1602475000,2085803000,3825806000,3953678000,3704278000,3431428000,3681920000,3706570000,3738321000,4108904000,4131520000,5653699000
48,Accounts Payable,- -,- -,- -,- -,- -,17300000,- -,12500000,9600000,10700000,18600000,20100000,13800000,18000000,17800000,19100000,19017000,56360000,60611000,70363000,71372000,81432000,81309000,63885000,97923000,136978000,178084000,256468000,316462000,267329000,241183000,229534000,224231000,276461000,298375000,195878000,359866000
49,Short-Term Debt,- -,2900000,6600000,2100000,3800000,11300000,- -,1800000,8900000,1700000,3600000,4400000,4000000,4100000,1300000,52300000,3814000,18105000,22489000,8064000,62375000,1391000,1251000,400000,1923000,7954000,8310000,5092000,1329000,536000,- -,- -,4000000,7535000,48514000,44285000,65149000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7201000,19529000,14863000,35640000,38938000,38297000,37095000,35083000,27330000,25670000,35749000,25843000,29954000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5532000,24273000,22799000,22060000,21784000,29409000,29730000,24190000,21156000,30745000,32297000,50942000,55454000,62966000,61882000,64397000,67822000,61843000,73370000,74066000,83749000
52,Other Current Liabilities,- -,10200000,10400000,11100000,28300000,13800000,- -,15900000,17200000,18900000,25400000,22800000,20900000,17400000,18000000,20217000,24725000,66985000,78158000,60646000,68163000,86122000,98563000,92898000,112318000,130607000,163051000,256550000,266300000,241640000,214055000,210737000,207764000,256439000,299841000,321916000,416550000
53,Total Current Liabilities,- -,13100000,17000000,13200000,32100000,42400000,- -,30200000,35700000,31300000,47600000,47300000,38700000,39500000,37100000,91617000,53088000,165723000,184057000,161133000,223694000,198354000,210853000,181373000,233320000,306284000,381742000,569052000,639545000,572471000,517120000,504668000,503817000,602278000,720100000,636145000,925314000
54,Long-Term Debt,- -,5000000,11800000,10300000,39700000,53400000,- -,64600000,62500000,60500000,70400000,68700000,68000000,68800000,72700000,14958000,44699000,155000000,147209000,148122000,95790000,120522000,120712000,52870000,292433000,264007000,524203000,1400000000,1400000000,1395000000,1382543000,1633272000,1625537000,1565021000,1554116000,1663899000,2635015000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,500000,900000,1300000,2700000,2800000,- -,1100000,1800000,800000,- -,7500000,6900000,- -,- -,- -,2933000,3330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,224456000,246947000,290205000,267637000,293417000,223291000,233352000,277332000,230097000,314853000
57,Other Non-Current Liabilities,- -,- -,- -,- -,-100000,- -,- -,-100000,- -,- -,-100000,900000,1300000,1300000,1200000,1357000,1432000,213855000,199579000,184409000,179222000,178746000,235426000,235048000,261490000,251357000,278871000,200226000,191547000,183731000,167846000,166322000,165723000,167914000,287543000,259828000,264630000
58,Total Non-Current Liabilities,- -,5500000,12700000,11600000,42300000,56200000,- -,65600000,64300000,61300000,70300000,77100000,76200000,70100000,73900000,16315000,49064000,372185000,346788000,332531000,275012000,299268000,356138000,287918000,553923000,515364000,803074000,1824682000,1838494000,1868936000,1818026000,2093011000,2014551000,1966287000,2118991000,2153824000,3214498000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1245000,3412000,3485000,4108000,2648000,1520000,760000,8838000,14793000,14685000,2879000,1435000,536000,- -,- -,- -,- -,161999000,151008000,165605000
61,Total Liabilities,- -,18600000,29700000,24800000,74400000,98600000,- -,95800000,100000000,92600000,117900000,124400000,114900000,109600000,111000000,107932000,102152000,537908000,530845000,493664000,498706000,497622000,566991000,469291000,787243000,821648000,1184816000,2393734000,2478039000,2441407000,2335146000,2597679000,2518368000,2568565000,2839091000,2789969000,4139812000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,113000,115000,123000,139000,143000,194000,197000,203000,237000,262000,264000,532000,604000,607000,589000,576000,573000,565000,558000,558000,548000,544000
64,Retained Earnings,- -,1300000,2900000,6600000,9200000,9900000,- -,5900000,8700000,8800000,1400000,-6000000,-20200000,-24400000,-27100000,-20477000,-15385000,-43576000,-60921000,-59938000,-34317000,12358000,19713000,77199000,113885000,244400000,371652000,501326000,596892000,568564000,612666000,572793000,673082000,737154000,834894000,969731000,1172978000
65,Other Comprehensive Income/Loss,- -,-1200000,-2500000,-4700000,-8400000,-14000000,- -,-32300000,-40900000,-47700000,-54300000,-61300000,-66400000,-73200000,-80800000,-89389000,-98119000,-396000,6452000,8667000,8701000,8939000,17498000,-688000,26829000,50759000,31353000,49632000,-19556000,-110842000,-254892000,-214326000,-172407000,-223371000,-210051000,-211477000,-196012000
66,Other Total Stockholders Equity,- -,1700000,3100000,18500000,57300000,63400000,- -,84500000,99600000,106200000,113300000,120900000,126600000,133900000,142000000,151389000,162958000,65630000,63643000,62165000,141079000,151691000,165483000,352297000,472849000,485404000,497450000,880510000,897696000,804560000,737932000,725201000,686962000,655415000,644412000,582749000,- -
67,Total Stockholders Equity,- -,1800000,3500000,20400000,58100000,59300000,- -,58100000,67400000,67300000,60400000,53600000,40000000,36300000,34200000,41636000,49569000,21782000,9314000,11038000,115658000,173186000,202897000,429045000,613825000,780827000,900987000,1432072000,1475639000,1262871000,1096282000,1084241000,1188202000,1169756000,1269813000,1341551000,1513887000
68,Total Liabilities And Stockholders Equity,- -,20400000,33200000,45200000,132500000,157900000,- -,153900000,167400000,159900000,178300000,178000000,154900000,145900000,145200000,149568000,151721000,559690000,540159000,504702000,614364000,670808000,769888000,898336000,1401068000,1602475000,2085803000,3825806000,3953678000,3704278000,3431428000,3681920000,3706570000,3738321000,4108904000,4131520000,5653699000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,20400000,33200000,45200000,132500000,157900000,- -,153900000,167400000,159900000,178300000,178000000,154900000,145900000,145200000,149568000,151721000,559690000,540159000,504702000,614364000,670808000,769888000,898336000,1401068000,1602475000,2085803000,3825806000,3953678000,3704278000,3431428000,3681920000,3706570000,3738321000,4108904000,4131520000,5653699000
71,SEC Link,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/822818/000095013595000287/0000950135-95-000287-index.html,https://www.sec.gov/Archives/edgar/data/822818/000095010996001820/0000950109-96-001820-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822818/000092701602001496/d10k405.htm,https://www.sec.gov/Archives/edgar/data/822818/000092701603001753/d10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000119312504042394/d10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000104746905008610/a2154703z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000110465906017572/0001104659-06-017572-index.html,https://www.sec.gov/Archives/edgar/data/822818/000104746907001861/a2176682z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000104746908002447/a2183336z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000104746909002140/0001047469-09-002140-index.html,https://www.sec.gov/Archives/edgar/data/822818/000104746910001670/0001047469-10-001670-index.html,https://www.sec.gov/Archives/edgar/data/822818/000104746911001635/a2202164z10-k.htm,https://www.sec.gov/Archives/edgar/data/822818/000144530512000549/0001445305-12-000549-index.html,https://www.sec.gov/Archives/edgar/data/822818/000144530513000500/0001445305-13-000500-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281814000004/clh-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000082281815000003/clh-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/822818/000082281816000033/0000822818-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281817000006/0000822818-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281818000006/0000822818-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281819000003/0000822818-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281820000002/0000822818-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/822818/000082281821000003/0000822818-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/822818/000082281822000008/0000822818-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1300000,- -,3700000,2600000,700000,3600000,5100000,3100000,500000,-6900000,-6900000,-13700000,-3900000,-2200000,7118000,5540000,-28191000,-17345000,2600000,25621000,46675000,44198000,57486000,36686000,130515000,127252000,129674000,95566000,-28328000,44102000,-39873000,100739000,65636000,97740000,134837000,203247000
74,Depreciation and Amortization,- -,700000,- -,2300000,3800000,7200000,6600000,8900000,10300000,10600000,10100000,10500000,10000000,9600000,9800000,10656000,11987000,16795000,28949000,26465000,30302000,36955000,39530000,44471000,64898000,92473000,122663000,161646000,264449000,276083000,274194000,287002000,288422000,298625000,300725000,292915000,298135000
75,Deferred Income Tax,- -,- -,- -,- -,- -,100000,200000,300000,700000,-900000,-3300000,-1100000,4600000,100000,- -,- -,1347000,1676000,-620000,381000,-1242000,-6385000,-7492000,3197000,4830000,4919000,41183000,36709000,32518000,33136000,1848000,16349000,-83335000,19089000,8005000,-9748000,1482000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3565000,968000,7219000,8164000,7494000,8946000,8800000,8550000,10481000,13146000,16792000,17816000,18502000,18839000
77,Change in Working Capital,- -,- -,- -,3000000,-3000000,9000000,-3100000,18900000,2800000,2500000,-9200000,2700000,-2600000,-500000,3400000,-48074000,44753000,13620000,-42857000,68654000,49658000,24111000,45120000,138094000,79251000,59323000,63873000,7615000,13893000,22328000,-149886000,184127000,62036000,-50359000,80928000,208769000,12298000
