,https://roic.ai/company/MTRX,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1500000,5600000,9900000,11500000,15300000,16900000,16700000,16500000,17600000,19700000,16887000,14434000,16345000,20448000,28941000,66503000,28845000,32763000,40566000,47006000,45169000,44014000,47983000,57988000,77866000,78568000,85109000,76144000,84417000,94021000,86276000,69756000
11,COGS and Expenses,15400000,76500000,108100000,97200000,129400000,176000000,179000000,177700000,207200000,212700000,186746000,182824000,213593000,277256000,590532000,474622000,475693000,606723000,696750000,642403000,543061000,596152000,707411000,855860000,1204482000,1334333000,1271035000,1192650000,1084034000,1378750000,1085038000,710389000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330000,79000,71000,26000,32000,112000,468000,190000,132000,381000,1167000,1270000,126000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563000,672000,795000,814000,800000,1436000,1236000,852000,2211000,2600000,1296000,1597000,1559000
14,Depreciation and Amortization,400000,1300000,2400000,3400000,4900000,6000000,5900000,5400000,5400000,4700000,3894000,4540000,4980000,5297000,6840000,7950000,10279000,7941000,8525000,10760000,11751000,11067000,11485000,12782000,18518000,23480000,21441000,21602000,20347000,18224000,19124000,17858000
15,EBITDA,1600000,10900000,18200000,10300000,9500000,5500000,10200000,10500000,-4500000,-7900000,11090000,11600000,14468000,18187000,22910000,-36508000,21873000,39055000,42241000,59082000,19833000,42478000,42789000,49498000,75698000,51963000,65272000,25938000,10799000,57932000,-15923000,-23846000
16,EBITDA ratio,0.0947,0.1260,0.1478,0.0992,0.0712,0.0310,0.0555,0.0573,-0.0209,-0.0374,0.0572,0.0608,0.0650,0.0631,0.0377,-0.0831,0.0443,0.0416,0.0578,0.0857,0.0360,0.0677,0.0579,0.0555,0.0599,0.0387,0.0498,0.0217,0.0099,0.0409,-0.0145,-0.0354
17,Operating Income,1500000,10000000,15000000,6600000,4100000,1500000,4800000,5400000,7700000,-1700000,7007000,7469000,8958000,13088000,18161000,-39138000,17698000,33050000,34551000,47317000,7753000,30900000,31635000,36714000,58607000,8802000,40882000,4859000,-10479000,37930000,-36625000,-43747000
18,Operating Income ratio,0.0888,0.1156,0.1219,0.0636,0.0307,0.0085,0.0261,0.0295,0.0358,-0.0081,0.0362,0.0391,0.0403,0.0454,0.0299,-0.0891,0.0358,0.0352,0.0472,0.0686,0.0141,0.0493,0.0428,0.0411,0.0464,0.0066,0.0312,0.0041,-0.0096,0.0268,-0.0333,-0.0650
19,Total Other Income Expenses (Gains),-300000,-400000,800000,300000,500000,-2000000,-500000,-300000,-6700000,-10300000,189000,-409000,530000,-198000,-2091000,-5320000,-6104000,-1936000,-835000,442000,-343000,-284000,-1145000,-798000,-1796000,-610000,-1229000,-2413000,-1669000,482000,-19000,484000
20,Income Before Tax,1200000,9600000,15800000,6900000,4600000,-500000,4300000,5100000,1000000,- -,7196000,7060000,9488000,12890000,16070000,-44458000,11594000,31114000,33716000,47759000,7410000,30616000,30490000,35916000,56811000,8192000,39653000,2446000,-12148000,38412000,-36644000,-43263000
21,Income Before Tax Ratio,0.0710,0.1110,0.1284,0.0665,0.0345,-0.0028,0.0234,0.0279,0.0047,- -,0.0371,0.0370,0.0426,0.0447,0.0264,-0.1012,0.0235,0.0331,0.0461,0.0692,0.0135,0.0488,0.0413,0.0402,0.0450,0.0061,0.0302,0.0020,-0.0111,0.0271,-0.0333,-0.0642
22,Income Tax expense (Gain),500000,4000000,6600000,2800000,1900000,-300000,1900000,2100000,1700000,- -,580000,2480000,3607000,4712000,6528000,-5628000,3941000,11943000,12302000,17170000,2534000,11634000,13302000,11908000,19934000,10090000,14116000,2308000,-668000,10430000,-3570000,-12039000
23,Net Income,700000,5600000,9200000,4100000,2700000,-200000,2400000,3000000,-11600000,-12600000,6616000,4580000,5881000,8178000,9542000,-38830000,7653000,19171000,21414000,30589000,4876000,18982000,17188000,24008000,35810000,17157000,28863000,-183000,-11480000,27982000,-33074000,-31224000
24,Net Income ratio,0.0414,0.0647,0.0747,0.0395,0.0202,-0.0011,0.0131,0.0164,-0.0540,-0.0597,0.0341,0.0240,0.0264,0.0284,0.0157,-0.0884,0.0155,0.0204,0.0293,0.0443,0.0089,0.0303,0.0233,0.0269,0.0284,0.0128,0.0220,-0.0002,-0.0105,0.0198,-0.0300,-0.0464
25,EPS,0.07,0.38,0.46,0.21,0.14,-0.01,0.13,0.15,-0.61,-0.67,0.38,0.28,0.38,0.52,0.57,-2.24,0.39,0.83,0.81,1.17,0.19,0.72,0.66,0.92,1.36,0.64,1.09,-0.01,-0.43,1.04,-1.24,-1.18
26,EPS Diluted,0.07,0.37,0.46,0.21,0.14,-0.01,0.13,0.15,-0.61,-0.67,0.37,0.27,0.36,0.49,0.54,-2.24,0.35,0.74,0.80,1.16,0.18,0.71,0.65,0.91,1.33,0.63,1.07,-0.01,-0.43,1.01,-1.24,-1.18
27,Weighted Average Shares Outstanding,14758000,14933333,20000000,19523810,18620690,20000000,19058962,19488676,19091958,18880620,17745694,16668766,15437376,15840876,16718737,17327484,19651653,23056000,26427000,26121000,26275000,26406000,25921000,25962000,26288000,26603000,26597000,26533000,26769000,26891000,26621000,26451000
28,Weighted Average Shares Outstanding Diluted,14758000,15135135,20000000,19523810,18620690,20000000,19058962,19959288,19091958,18880620,17985638,17037476,16209914,16710038,17615497,17327484,25741676,26752000,26875000,26390000,26499000,26686000,26298000,26358000,26976000,27177000,27100000,26533000,26769000,27587000,26621000,26451000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866273/000086627396000010/0000866273-96-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866273/000102336300000064/0001023363-00-000064-index.html,https://www.sec.gov/Archives/edgar/data/866273/000093066101501696/0000930661-01-501696-index.html,- -,https://www.sec.gov/Archives/edgar/data/866273/000119312503041447/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312504139665/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312505169705/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312506162096/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312507182493/0001193125-07-182493-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312508166640/0001193125-08-166640-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312509163619/0001193125-09-163619-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312510218700/0001193125-10-218700-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312511243489/0001193125-11-243489-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312512382978/0001193125-12-382978-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627313000057/0000866273-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627314000092/0000866273-14-000092-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627315000080/0000866273-15-000080-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627316000209/mtrx2016-06x30x10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000086627317000091/0000866273-17-000091-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627318000082/0000866273-18-000082-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627319000094/0000866273-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627320000109/0000866273-20-000109-index.htm,https://www.sec.gov/Archives/edgar/data/866273/000086627321000088/0000866273-21-000088-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,8200000,3200000,5500000,2900000,2000000,1900000,1900000,2600000,3000000,1806000,835000,826000,775000,752000,1496000,8585000,9147000,21989000,34553000,50899000,59357000,39726000,63750000,77115000,79239000,71656000,43805000,64057000,89715000,100036000,83878000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,8200000,3200000,5500000,2900000,2000000,1900000,1900000,2600000,3000000,1806000,835000,826000,775000,752000,1496000,8585000,9147000,21989000,34553000,50899000,59357000,39726000,63750000,77115000,79239000,71656000,43805000,64057000,89715000,100036000,83878000
34,Net Receivables,4900000,14300000,25300000,29400000,34500000,36500000,41300000,49100000,52500000,42900000,35217000,42135000,35568000,92333000,115777000,116800000,100371000,144131000,155798000,122930000,89106000,103882000,176596000,217645000,280497000,285799000,294444000,306175000,283379000,314544000,224138000,195769000
35,Inventory,400000,500000,1000000,1100000,3200000,5000000,4100000,5000000,6400000,3100000,3049000,2772000,2815000,2850000,4584000,4739000,4738000,4891000,4255000,4926000,3451000,2249000,2482000,2988000,3045000,2773000,3935000,3737000,5152000,8017000,6460000,7342000
36,Other Current Assets,1000000,12600000,15200000,2500000,1500000,5000000,1900000,1800000,9000000,9700000,2705000,3015000,15711000,5476000,3861000,14544000,9221000,7122000,8565000,47441000,55069000,50062000,11712000,11891000,14891000,13958000,5411000,4913000,4458000,5034000,4526000,4230000
37,Total Current Assets,6600000,35600000,44700000,38500000,42100000,48500000,49200000,57800000,70500000,58700000,42777000,48757000,54920000,101434000,124974000,137579000,122915000,165291000,190607000,209850000,198525000,215550000,230516000,296274000,375548000,381769000,375446000,358630000,357046000,417310000,335160000,291219000
38,PP&E,3200000,5700000,12300000,17100000,27800000,28600000,28900000,30000000,28400000,18200000,21287000,21858000,32422000,47363000,45654000,37076000,37440000,45993000,57247000,58809000,52929000,53311000,54875000,71301000,89172000,85063000,84731000,80274000,72645000,79335000,102123000,91819000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23442000,23357000,23329000,25768000,27216000,29058000,28675000,30836000,69837000,71518000,78293000,113501000,96162000,93368000,60369000,60636000
40,Intangible Assets,4200000,21700000,25200000,25300000,27400000,27400000,27000000,28700000,13200000,11100000,11660000,11258000,10929000,51292000,49666000,24834000,- -,- -,- -,4571000,4141000,6953000,6504000,7551000,28676000,23961000,20999000,26296000,22814000,19472000,8837000,6614000
41,Intangible Assets,4200000,21700000,25200000,25300000,27400000,27400000,27000000,28700000,13200000,11100000,11660000,11258000,10929000,51292000,49666000,24834000,23442000,23357000,23329000,30339000,31357000,36011000,35179000,38387000,98513000,95479000,99292000,139797000,118976000,112840000,69206000,67250000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2073000,3719000,3385000,4848000,2683000,5988000,5295000
44,Other Non-Current Assets,100000,500000,800000,2500000,3600000,1200000,700000,400000,600000,200000,2582000,1848000,2919000,2850000,1253000,2891000,4479000,8268000,3410000,4453000,1997000,1564000,2565000,4016000,5699000,3947000,1779000,3944000,4518000,21226000,4833000,11973000
45,Total Non-Current Assets,7500000,27900000,38300000,44900000,58800000,57200000,56600000,59100000,42200000,29500000,35529000,34964000,46270000,101505000,96573000,64801000,65361000,77618000,83986000,93601000,86283000,90886000,92619000,113704000,193384000,186562000,189521000,227400000,200987000,216084000,182150000,176337000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14100000,63500000,83000000,83400000,100900000,105700000,105800000,116900000,112700000,88200000,78306000,83721000,101190000,202939000,221547000,202380000,188276000,242909000,274593000,303451000,284808000,306436000,323135000,409978000,568932000,568331000,564967000,586030000,558033000,633394000,517310000,467556000
48,Accounts Payable,- -,2600000,6900000,6500000,7600000,10800000,9000000,12300000,12300000,9800000,8759000,10229000,12954000,40684000,27528000,38059000,59201000,86387000,102158000,48668000,44769000,36377000,48931000,68961000,111863000,125792000,141445000,105649000,79439000,114647000,73094000,60920000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,1600000,1500000,2100000,2100000,22000,- -,589000,4892000,4893000,42878000,- -,753000,1042000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5747000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62848000,108440000,96704000,58327000,75127000,120740000,105626000,63889000,53832000
52,Other Current Liabilities,4600000,6500000,8600000,5400000,14500000,10900000,12200000,15700000,15000000,21100000,14622000,14688000,15568000,37571000,28639000,34916000,21058000,26845000,26581000,78722000,58016000,63761000,57032000,32557000,49558000,45064000,46258000,38200000,38286000,55226000,38964000,32903000
53,Total Current Liabilities,4600000,9100000,15500000,11900000,22100000,21700000,22800000,29500000,29400000,33000000,23403000,24917000,29111000,83147000,61060000,115853000,80259000,113985000,129781000,127390000,102785000,100138000,105963000,164366000,269861000,267560000,246030000,218976000,238465000,275499000,175947000,153402000
54,Long-Term Debt,5400000,2900000,2400000,4100000,5200000,8500000,4800000,6400000,13100000,5500000,- -,3515000,9291000,38220000,64209000,30000000,25000000,- -,- -,- -,- -,800000,- -,- -,11621000,8804000,- -,44682000,- -,5347000,9208000,20771000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,200000,900000,4100000,4700000,5100000,4800000,4900000,- -,- -,1983000,2588000,3709000,4949000,4142000,3502000,2512000,5112000,4822000,4179000,5789000,6075000,7450000,5167000,7413000,3198000,128000,429000,298000,61000,34000
57,Other Non-Current Liabilities,2400000,- -,- -,100000,- -,- -,100000,- -,- -,- -,- -,- -,- -,7682000,5614000,4400000,3116000,836000,1000000,850000,259000,38000,- -,- -,- -,- -,173000,435000,296000,293000,24205000,7810000
58,Total Non-Current Liabilities,7800000,3000000,2600000,5100000,9300000,13200000,10000000,11200000,18000000,5500000,- -,5498000,11879000,49611000,74772000,38542000,31618000,3348000,6112000,5672000,4438000,6627000,6075000,7450000,16788000,16217000,3371000,45245000,725000,5938000,33474000,28615000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231000,538000,836000,1000000,1889000,1031000,300000,- -,- -,- -,- -,- -,- -,- -,- -,27565000,26518000
61,Total Liabilities,12400000,12100000,18100000,17000000,31400000,34900000,32800000,40700000,47400000,38500000,23403000,30415000,40990000,132758000,135832000,154395000,111877000,117333000,135893000,133062000,107223000,106765000,112038000,171816000,286649000,283777000,249401000,264221000,239190000,281437000,209421000,182017000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,96000,96000,96000,96000,193000,193000,226000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000,279000
64,Retained Earnings,700000,6300000,15500000,19200000,21700000,21500000,23600000,26300000,14200000,1600000,7785000,12245000,18126000,26304000,35585000,-3307000,4316000,23422000,44809000,75393000,81252000,100231000,117419000,141427000,177237000,194394000,223257000,222974000,211494000,239476000,206402000,175178000
65,Other Comprehensive Income/Loss,-300000,-1100000,-2400000,-4500000,-7100000,-12800000,-17100000,-20900000,-22500000,-18000000,-20211000,-22507000,-25242000,-27743000,-32939000,-35791000,1000000,1000000,2000000,1000000,-61817000,1000000,1000000,-90218000,-103315000,-6000000,-7000000,-7000000,-7000000,-8000000,-8000000,-6749000
66,Other Total Stockholders Equity,1300000,46200000,51800000,51700000,54900000,62100000,66500000,70800000,73600000,66000000,67233000,63472000,67220000,71524000,82876000,86890000,70857000,100875000,91612000,93717000,157871000,98161000,92399000,186674000,206315000,104623000,100206000,105556000,114070000,120202000,109208000,116831000
67,Total Stockholders Equity,1700000,51400000,64900000,66400000,69500000,70800000,73000000,76200000,65300000,49700000,54903000,53306000,60200000,70181000,85715000,47985000,76399000,125576000,138700000,170389000,177585000,199671000,211097000,238162000,280516000,293296000,316742000,321809000,318843000,351957000,307889000,285539000
68,Total Liabilities And Stockholders Equity,14100000,63500000,83000000,83400000,100900000,105700000,105800000,116900000,112700000,88200000,78306000,83721000,101190000,202939000,221547000,202380000,188276000,242909000,274593000,303451000,284808000,306436000,323135000,409978000,567165000,577073000,566143000,586030000,558033000,633394000,517310000,467556000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1767000,-8742000,-1176000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14100000,63500000,83000000,83400000,100900000,105700000,105800000,116900000,112700000,88200000,78306000,83721000,101190000,202939000,221547000,202380000,188276000,242909000,274593000,303451000,284808000,306436000,323135000,409978000,568932000,568331000,564967000,586030000,558033000,633394000,517310000,467556000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866273/000086627396000010/0000866273-96-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866273/000102336300000064/0001023363-00-000064-index.html,https://www.sec.gov/Archives/edgar/data/866273/000093066101501696/0000930661-01-501696-index.html,- -,https://www.sec.gov/Archives/edgar/data/866273/000119312503041447/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312504139665/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312505169705/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312506162096/d10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000119312507182493/0001193125-07-182493-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312508166640/0001193125-08-166640-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312509163619/0001193125-09-163619-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312510218700/0001193125-10-218700-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312511243489/0001193125-11-243489-index.html,https://www.sec.gov/Archives/edgar/data/866273/000119312512382978/0001193125-12-382978-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627313000057/0000866273-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627314000092/0000866273-14-000092-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627315000080/0000866273-15-000080-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627316000209/mtrx2016-06x30x10k.htm,https://www.sec.gov/Archives/edgar/data/866273/000086627317000091/0000866273-17-000091-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627318000082/0000866273-18-000082-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627319000094/0000866273-19-000094-index.html,https://www.sec.gov/Archives/edgar/data/866273/000086627320000109/0000866273-20-000109-index.htm,https://www.sec.gov/Archives/edgar/data/866273/000086627321000088/0000866273-21-000088-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,5600000,9200000,4100000,2700000,-200000,2400000,3000000,-11600000,-12600000,6616000,4580000,5881000,8178000,9542000,-38830000,7653000,19171000,21414000,30589000,4876000,18982000,17188000,24008000,35810000,17157000,28863000,-183000,-11480000,27982000,-33074000,-31224000
74,Depreciation and Amortization,- -,1300000,2400000,3400000,4900000,6000000,5900000,5400000,5400000,4700000,3894000,4540000,4980000,5297000,6840000,7950000,10279000,7941000,8525000,10760000,11751000,11067000,11485000,12782000,18518000,23480000,21441000,21602000,20347000,18224000,19124000,17858000
75,Deferred Income Tax,- -,- -,100000,500000,500000,100000,300000,-400000,-2000000,-1700000,- -,1541000,805000,346000,2226000,-4144000,1316000,-1442000,1484000,-88000,-3556000,3584000,83000,1932000,-3852000,-1052000,1871000,-2556000,-1186000,2061000,-3630000,889000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2206000,2052000,2395000,3504000,3831000,5688000,6302000,6317000,7461000,8618000,11908000,9877000,8156000
77,Change in Working Capital,- -,-3200000,2700000,-2600000,-6600000,6800000,-400000,1900000,12800000,-15400000,-6326000,4466000,1969000,-7522000,45627000,-42188000,20930000,8650000,9520000,21634000,13280000,19672000,9141000,7355000,-26221000,8522000,15207000,10238000,-21073000,23230000,17402000,-21396000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12003000,-16499000,-4575000,-32408000,-31395000,6831000,4152000,-11932000,5504000,-15374000,56603000,11109000
79,Inventory,- -,-100000,- -,-200000,-1300000,-1800000,600000,-800000,-100000,1500000,929000,277000,-43000,48000,-1734000,-155000,-990000,-1369000,636000,-1828000,1238000,1202000,-233000,-1394000,-11000,272000,606000,198000,-1415000,-2872000,1557000,-882000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25063000,1693000,-9326000,12862000,19256000,29234000,12957000,14698000,-37047000,-25883000,32651000,-38915000,-12387000
81,Other Working Capital,- -,26500000,29200000,26600000,20000000,26800000,26400000,28300000,41100000,25700000,19374000,23840000,25809000,18287000,63914000,21726000,42656000,51306000,60826000,82460000,95740000,115412000,124553000,131908000,105687000,114209000,129416000,139654000,118581000,141811000,159213000,137817000
82,Other Non-Cash Items,- -,- -,-14000000,5400000,8600000,-12100000,1400000,-3700000,-1600000,41700000,4231000,-9135000,-4907000,11243000,-92334000,81728000,-4298000,-22962000,4653000,-26477000,-24004000,-32951000,-38460000,7176000,47045000,-29971000,-43373000,-55308000,79445000,-42011000,34386000,22746000
83,Cash Provided by Operating Activities,- -,3700000,400000,10800000,10100000,600000,9600000,6200000,3000000,16700000,8415000,5992000,8728000,17542000,-28099000,4516000,35880000,11358000,45596000,38624000,4399000,22749000,2941000,57084000,76988000,24438000,30326000,-18746000,74671000,41394000,44085000,-2971000
84,CAPEX,- -,-2400000,-7000000,-5000000,-5600000,-5200000,-3400000,-5800000,-2600000,-5400000,-6316000,-5277000,-16432000,-16120000,-4675000,-1814000,-5614000,-13120000,-18302000,-9983000,-5302000,-10416000,-13534000,-23231000,-23589000,-15773000,-13939000,-11908000,-8711000,-19558000,-18539000,-4354000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-851000,- -,- -,- -,- -,- -,- -,- -,- -,-15337000,- -,-3800000,241000,-9394000,-51607000,-5551000,-13049000,-40819000,-1687000,3885000,- -,- -
86,Purchases of Investments,- -,-16200000,-8500000,-300000,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,3700000,13100000,3900000,6500000,300000,- -,- -,- -,- -,- -,- -,- -,152000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-12100000,-3000000,-3000000,-7800000,-600000,-1800000,-2000000,-4400000,-400000,6562000,930000,160000,-35648000,5229000,1784000,7046000,288000,452000,1002000,218000,150000,598000,186000,553000,750000,422000,1308000,1062000,-18333000,-17116000,-2264000
89,Cash Used for Investing Activites,- -,-27000000,-5400000,-4400000,-9400000,-5500000,-5200000,-7800000,-7000000,-5800000,-605000,-4347000,-16272000,-51616000,554000,-30000,1432000,-12832000,-17850000,-24318000,-5084000,-14066000,-12695000,-32439000,-74643000,-20574000,-26566000,-51419000,-9336000,-14448000,-17116000,-2264000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1381000,-1077000,-216000,-10006000,-25607000,-76205000,-13982000,-20875000,-82251000,-130248000,-10896000,-14357000,-11268000
