,https://roic.ai/company/CLRB,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,6326,4091,1694,13306,10424,7976,5249,2213,527529,421644,- -
61,Total Liabilities,217156,1313425,16978056,7050539,35827437,1253973,1082053,1319789,5116389,2673567,5946576,1784708,2117001,1793121,3191402,301740,4156655
62,Preferred Stock,- -,- -,- -,13904100,- -,- -,- -,- -,- -,- -,- -,875572,995782,2526049,1148204,20035849,- -
63,Common Stock,279,392,392,440,697,4529,369,464,574,76,9,104,167,47,94,454,611
64,Retained Earnings,-15398556,-23684612,-43241747,-59693153,-76072088,-73976696,-31480426,-40277400,-51059568,-59165963,-64606700,-70787026,-84349316,-97588343,-111681255,- -,-150897789
65,Other Comprehensive Income/Loss,-29607,-39123,-30834,-44801,-77155,-101143,-2353996,-2848052,-3264948,-3612114,-3945554,-4301090,-5843789,-181192,-309405,- -,- -
66,Other Total Stockholders Equity,20149427,34333277,37401793,40248913,49253008,75279919,43315176,53283363,56023492,73523950,70202048,87752312,99951619,108504400,119901771,34758226,183942332
67,Total Stockholders Equity,4721543,10609934,-5870396,-5584501,-26895538,1206609,9481123,10158375,1699550,10745949,1649803,13539872,10754463,13260961,9059409,54794529,33045154
68,Total Liabilities And Stockholders Equity,4938699,11923359,11107660,1466038,8931899,2460582,10563176,11478164,6815939,13419516,7596379,15324580,12871464,15054082,12250811,55096269,37201809
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3199522,-81214
70,Total Liabilities & Equity,4938699,11923359,11107660,1466038,8931899,2460582,10563176,11478164,6815939,13419516,7596379,15324580,12871464,15054082,12250811,58295791,37120595
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1279704/000095013606009067/0000950136-06-009067-index.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420407013896/0001144204-07-013896-index.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420408017007/v107310_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420409017069/0001144204-09-017069-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420410016672/0001144204-10-016672-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420411022037/v218407_10k.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420412014034/0001144204-12-014034-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420413018332/0001144204-13-018332-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420414016712/v369226_10k.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420415017897/v403920_10k.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420416087438/0001144204-16-087438-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420417014611/0001144204-17-014611-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420418016175/0001144204-18-016175-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420419009973/0001144204-19-009973-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000110465920030742/0001104659-20-030742-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000110465921030445/0001104659-21-030445-index.htm,https://www.sec.gov/Archives/edgar/data/1279704/000141057822000436/0001410578-22-000436-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-3053399,-8286056,-19557135,-16451406,-22273306,2095392,-7435422,-8796974,-10782168,-8106395,-5495030,-6180326,-13562290,-13239027,-14092912,-15094172,-24122362
74,Depreciation and Amortization,3244,9516,15367,16889,32354,35342,584841,497253,424758,367197,362502,356665,1546048,82265,132798,141453,149915
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,453327,864337,337298,907460,1503297,2323233,850350,447300,529159,758757,721209,866791,467541,1124190
77,Change in Working Capital,-181990,5990480,-6575138,-9225080,-2870397,9644537,3763175,-914560,-6152870,9268732,-9036119,12082783,-1735683,3505083,-3713797,45760793,-21795611
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,411717
81,Other Working Capital,4584769,10575249,4000111,-5224969,-8095366,1549171,5312346,4397786,-1755084,7513648,-1522471,10560312,8824629,12329712,8615915,54376708,32581097
82,Other Non-Cash Items,833048,-4183365,12648607,7874375,13628674,-19916852,-3790144,1125960,5032403,-11220363,5508367,-15070499,1972867,-2511622,5113412,-31275615,44643868
83,Cash Provided by Operating Activities,-2399097,-6469425,-13468299,-17331895,-10618338,-7804283,-5970090,-6585024,-9154644,-8840479,-8212980,-8282218,-11020301,-11442092,-11693708,- -,- -
84,CAPEX,-25854,-10716,-24366,-49003,-18000,- -,-118411,-97691,-147812,-29569,-58470,-72251,-346703,-384993,-24542,-62353,-141361
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,905649,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-226318,-1434950,466074,1184702,- -,- -,500000,-2000000,2000000,- -,- -,- -,- -,55000,- -,- -,- -
89,Cash Used for Investing Activites,-252172,-1445666,441708,1135699,-18000,- -,1287238,-2097691,1852188,-29569,-58470,-72251,-346703,-329993,-24542,-62353,-141361
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-677828,-2235,-2397,-619194,-122660,-246079,-89318,-3036,-2213,- -,- -
91,Common Stock Issued,6578868,13847524,13693301,2986738,8938884,1249138,10164546,6838774,4975153,12395965,3300000,12321313,4905945,9075777,9024569,59719256,34873
92,Common Stock Repurchased,- -,- -,-40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-823620,-740280,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,329160,-261120,- -,5470672,9204531,158567,28355,1017761,70539,4097520,-470726,3866063,5112179,5948539,- -,826495,1213924
95,Cash Used/Provided by Financing Activities,6908028,13586404,12829681,7717130,18143415,1407705,9515073,7854300,5043295,15874291,2706614,15941297,9928806,15021280,9022356,60545751,1248797
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4256759,5671313,-196910,-8479066,7507077,-6396578,4832221,-828415,-2259161,7004243,-5564836,7586828,-1438198,3249195,-2695894,46550655,-21461402
98,Cash at the End of Period,4267115,9938428,9741518,1262452,8769529,2372951,5505960,4677545,2418384,9422627,3857791,11444619,10061421,13310616,10614722,57165377,35703975
99,Cash at the Beginning of Period,10356,4267115,9938428,9741518,1262452,8769529,673739,5505960,4677545,2418384,9422627,3857791,11499619,10061421,13310616,10614722,57165377
100,Free Cash Flow,-2424951,-6480141,-13492665,-17380898,-10636338,-7804283,-6088501,-6682715,-9302456,-8870048,-8271450,-8354469,-11367004,-11827085,-11718250,-62353,-141361
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1279704/000095013606009067/0000950136-06-009067-index.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420407013896/0001144204-07-013896-index.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420408017007/v107310_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420409017069/0001144204-09-017069-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420410016672/0001144204-10-016672-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420411022037/v218407_10k.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420412014034/0001144204-12-014034-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420413018332/0001144204-13-018332-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420414016712/v369226_10k.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420415017897/v403920_10k.htm,https://www.sec.gov/Archives/edgar/data/1279704/000114420416087438/0001144204-16-087438-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420417014611/0001144204-17-014611-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420418016175/0001144204-18-016175-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000114420419009973/0001144204-19-009973-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000110465920030742/0001104659-20-030742-index.html,https://www.sec.gov/Archives/edgar/data/1279704/000110465921030445/0001104659-21-030445-index.htm,https://www.sec.gov/Archives/edgar/data/1279704/000141057822000436/0001410578-22-000436-index.htm
102,false,,,,,,,,,,,,,,,,,
