,https://roic.ai/company/LNC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,-57000000,-258600000,82400000,134000000,189700000,11200000,-15100000,-113000000,12100000,-873500000,-336500000,-37075000,63931000,187134000,-139173000,96510000,-14450000,49000000,-45000000,69000000,313000000,-14000000,-73000000,28000000,-40000000,-53000000,97000000,-54000000,34000000,-87000000,105000000,-21000000,-93000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1177300000,1856000000,1362500000,1141236000,627596000,-361432000,1195887000,-470845000,-244689000,82000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45868000000,-58221000000,-66302000000,-71366000000,-86991000000,-97375000000,-93433000000,6596626000,-2760531578000,-2693027132000,-2511535735000,-2199292434000,11159000000,12192000000,8764000000,13737000000,-104848000000,-103408000000,-112191000000,-120702000000,-124432000000,-126314000000,-131299000000,-143752000000,-159278000000,23978000000,1708000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,1885400000,758000000,1080200000,447500000,731800000,46705012000,13731314000,8658157000,5101200000,16203197000,11334669000,-2814817000,-99565825000,2767419576000,-67060582000,-181278986000,-312178560000,-2208703434000,-411000000,4671000000,-3475000000,119325000000,-457000000,8739000000,8066000000,4741000000,2971000000,5065000000,11162000000,15828000000,-186828000000,22268000000,-159000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,2013600000,986800000,1349500000,870500000,1013100000,1186010000,1920300000,1237015000,1111688000,1329872000,1635323000,1985588000,1253030000,489564000,1043953000,1110576000,972054000,3049000000,1955000000,1259000000,937000000,1720000000,1277000000,1269000000,799000000,2526000000,2243000000,1272000000,788000000,1943000000,-2686000000,534000000,151000000
84,CAPEX,- -,- -,- -,- -,-71200000,-66100000,-64200000,-49900000,- -,- -,- -,- -,-11800000,-2285100000,- -,- -,- -,-195000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,417367000,186900000,-71593000,2638153000,-2285081000,-11086000,85000000,2036238000,-195000000,- -,173560000,14231000,- -,- -,648000000,327000000,321000000,- -,- -,- -,- -,75000000,- -,- -,-1422000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-14406200000,-11300200000,-14826500000,-17508100000,-17147700000,-15227803000,-17246778000,-16751541000,-12869144000,-15184942000,-8204311000,-6828958000,-13104490000,-15773984000,-15315222000,-11261397000,-6877788000,-10524000000,-14867000000,-10310000000,-19592000000,-16638000000,-13984000000,-13506000000,-13423000000,-13561000000,-24752000000,-11415000000,-10505000000,-12964000000,-15759000000,-17157000000,-17650000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,11699300000,10582700000,12923200000,15098500000,14677500000,13214738000,16408709000,16568576000,13642703000,13097887000,8302257000,7650793000,10372151000,12704744000,13377680000,11442410000,7548875000,9999000000,13137000000,9779000000,11488000000,11009000000,9915000000,9384000000,9756000000,10819000000,20283000000,8561000000,7682000000,9850000000,13509000000,6951000000,12266000000
88,Other Investing Activites,- -,- -,- -,- -,449700000,-1147300000,-1381100000,310800000,176400000,72166000,-776189000,-150972000,365350000,4882746000,-1225993000,- -,78259000,195000000,-117198000,-1408015000,23231000,-1740000000,-231000000,2454000000,-75000000,-322000000,1944000000,265000000,-1043000000,937000000,171000000,-812000000,-1365000000,-1279000000,-3249000000,725000000,1817000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-2328400000,-1930900000,-3348600000,-2148700000,-2293800000,-1523532000,-1427358000,-405530000,3765262000,-1774490000,-1139133000,906835000,-617842000,-3264240000,-2054740000,-1053442000,708549000,-2265000000,-1961000000,2571000000,-7852000000,-5630000000,-2125000000,-3857000000,-4710000000,-1805000000,-4223000000,-3666000000,-4188000000,-5815000000,-5499000000,-9481000000,-3567000000
90,Debt Repayment,- -,- -,- -,- -,-98700000,-11600000,-11300000,-32900000,-1511900000,-184707000,-14182000,-35074000,-116942000,-99977000,-476000,- -,-99968000,- -,-204987000,-126621000,-240936000,-178000000,-658000000,-300000000,-738000000,-405000000,-525000000,-320000000,- -,-500000000,-250000000,-600000000,- -,-537000000,-391000000,-1143000000,-59000000
91,Common Stock Issued,- -,- -,- -,- -,4900000,1200000,2100000,21000000,342300000,29985000,24096000,- -,33199000,48747000,48014000,32741000,90259000,79424000,12699000,82033000,90824000,166000000,98000000,49000000,652000000,369000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-211700000,- -,- -,- -,-18395000,- -,-32716000,-327585000,-46871000,-377719000,-210021000,-943788000,-688374000,- -,-350229000,-103591000,-1168000000,- -,-476000000,- -,-25000000,-573000000,-492000000,-450000000,-650000000,-900000000,-879000000,-725000000,-900000000,-550000000,-275000000,-1105000000
93,Dividends Paid,- -,- -,- -,- -,-118500000,-119400000,-126000000,-139200000,-156200000,-172157000,-178805000,-191223000,-201927000,-209016000,-218434000,-222661000,-230127000,-234621000,-240348000,-249151000,-255085000,-385000000,-430000000,-430000000,-79000000,-42000000,-61000000,-91000000,-128000000,-170000000,-204000000,-238000000,-262000000,-289000000,-303000000,-311000000,-319000000
94,Other Financing Activites,- -,- -,- -,- -,192800000,1512100000,1884200000,1904100000,2300400000,1014715000,207221000,-913603000,-1613755000,-609621000,-485042000,-2460972000,1716523000,2213301000,1464085000,537324000,-521819000,90000000,1039000000,1588000000,5338000000,2570000000,3776000000,3211000000,2623000000,2154000000,2561000000,3687000000,3293000000,6315000000,9647000000,9821000000,5803000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-19500000,1170600000,1749000000,1753000000,974600000,669441000,38330000,-1172616000,-2227010000,-916738000,-1033657000,-2860913000,532899000,1369730000,1031449000,-106644000,-1030607000,-1475000000,49000000,431000000,5173000000,2467000000,2617000000,2308000000,2045000000,834000000,1207000000,1970000000,2306000000,4589000000,8403000000,8092000000,4320000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-19500000,1170600000,1749000000,1753000000,974600000,331919000,531272000,-341131000,2649940000,-1361356000,-537467000,31510000,1168087000,-1404946000,20662000,-49510000,649996000,-691000000,43000000,4261000000,-1742000000,-1443000000,1769000000,-280000000,-1866000000,1555000000,-773000000,-424000000,-1094000000,717000000,218000000,-855000000,904000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041583000,1572855000,1231724000,3794706000,2433350000,1895883000,1927393000,3095480000,1690534000,1711196000,1661686000,2311682000,1621000000,1665000000,5926000000,4184000000,2741000000,4510000000,4230000000,2364000000,3919000000,3146000000,2722000000,1628000000,2345000000,2563000000,1708000000,2612000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,899100000,564700000,791200000,541000000,1015900000,709664000,1041583000,1572855000,1144766000,3794706000,2433350000,1895883000,1927393000,3095480000,1690534000,1711196000,1661686000,2312000000,1622000000,1665000000,5926000000,4184000000,2741000000,4510000000,4230000000,2364000000,3919000000,3146000000,2722000000,1628000000,2345000000,2563000000,1708000000
100,Free Cash Flow,- -,- -,- -,- -,1942400000,920700000,1285300000,820600000,1013100000,1186010000,1920300000,1237015000,1099888000,-955228000,1635323000,1985588000,1253030000,294564000,1043953000,1110576000,972054000,3049000000,1955000000,1259000000,937000000,1720000000,1277000000,1269000000,799000000,2526000000,2243000000,1272000000,788000000,1943000000,-2686000000,534000000,151000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59558/000005955895000020/0000059558-95-000020-index.html,- -,https://www.sec.gov/Archives/edgar/data/59558/000005955897000032/0000059558-97-000032-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59558/000092881601000123/0000928816-01-000123-index.html,https://www.sec.gov/Archives/edgar/data/59558/000092881602000228/0000928816-02-000228-index.html,https://www.sec.gov/Archives/edgar/data/59558/000095013703001522/c75284e10vk.htm,https://www.sec.gov/Archives/edgar/data/59558/000119312504037322/d10k.htm,https://www.sec.gov/Archives/edgar/data/59558/000119312505047973/d10k.htm,https://www.sec.gov/Archives/edgar/data/59558/000095015906000400/lincoln10k.htm,https://www.sec.gov/Archives/edgar/data/59558/000119312507044247/d10k.htm,https://www.sec.gov/Archives/edgar/data/59558/000119312508043392/d10k.htm,https://www.sec.gov/Archives/edgar/data/59558/000136231009002975/0001362310-09-002975-index.html,https://www.sec.gov/Archives/edgar/data/59558/000005955810000073/0000059558-10-000073-index.html,https://www.sec.gov/Archives/edgar/data/59558/000005955811000029/form10k.htm,https://www.sec.gov/Archives/edgar/data/59558/000005955812000027/0000059558-12-000027-index.html,https://www.sec.gov/Archives/edgar/data/59558/000005955813000034/0000059558-13-000034-index.html,https://www.sec.gov/Archives/edgar/data/59558/000005955814000011/c558-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/59558/000005955815000010/lnc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/59558/000005955816000077/0000059558-16-000077-index.html,https://www.sec.gov/Archives/edgar/data/59558/000005955817000012/0000059558-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/59558/000005955818000009/0000059558-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/59558/000005955819000010/0000059558-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/59558/000005955820000012/0000059558-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/59558/000005955821000011/0000059558-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/59558/000005955822000008/0000059558-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
