,https://roic.ai/company/NSC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/702165/000070216503000077/nsc10k02.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216504000053/nscf10ks.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216505000071/nsc04s.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216506000097/nsc10k052.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216507000067/nsc10k06s.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216508000047/nsc07fnls.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216509000050/0000702165-09-000050-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216510000049/0000702165-10-000049-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216511000047/nsc10s.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216512000043/0000702165-12-000043-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216513000042/0000702165-13-000042-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216514000019/nsc13.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216515000023/nsc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216516000162/0000702165-16-000162-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216517000018/0000702165-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216518000011/0000702165-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216519000012/0000702165-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216520000011/0000702165-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216521000006/0000702165-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216522000007/0000702165-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,67700000,209200000,34000000,5000000,37000000,- -,204000000,184000000,284000000,579000000,289000000,527000000,206000000,618000000,996000000,827000000,276000000,653000000,1443000000,973000000,1101000000,956000000,690000000,358000000,580000000,1115000000,839000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,249700000,261300000,194200000,125000000,58000000,14000000,2000000,- -,- -,- -,90000000,968000000,391000000,- -,- -,90000000,283000000,25000000,15000000,118000000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,306700000,329000000,403400000,159000000,63000000,51000000,2000000,204000000,184000000,284000000,669000000,1257000000,918000000,206000000,618000000,1086000000,1110000000,301000000,668000000,1561000000,973000000,1101000000,956000000,690000000,358000000,580000000,1115000000,839000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,726600000,703500000,704300000,552000000,519000000,857000000,411000000,475000000,683000000,695000000,767000000,931000000,992000000,942000000,870000000,766000000,807000000,1022000000,1109000000,1024000000,1055000000,946000000,945000000,955000000,1009000000,920000000,848000000,976000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,61900000,61700000,63000000,58000000,59000000,100000000,91000000,90000000,97000000,92000000,104000000,132000000,151000000,176000000,194000000,164000000,169000000,209000000,216000000,223000000,236000000,271000000,257000000,222000000,207000000,244000000,221000000,218000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,242300000,248600000,286100000,334000000,272000000,363000000,345000000,278000000,335000000,354000000,427000000,330000000,339000000,351000000,317000000,230000000,385000000,219000000,249000000,267000000,514000000,315000000,133000000,282000000,288000000,337000000,134000000,134000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1337500000,1342800000,1456800000,1103000000,913000000,1371000000,849000000,1047000000,1299000000,1425000000,1967000000,2650000000,2400000000,1675000000,1999000000,2246000000,2471000000,1751000000,2242000000,3075000000,2778000000,2633000000,2291000000,2149000000,1862000000,2081000000,2318000000,2167000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,8987100000,9258800000,9529100000,9904000000,10477000000,10956000000,11105000000,11208000000,11370000000,11779000000,20526000000,20705000000,21098000000,21583000000,22247000000,22643000000,23231000000,24469000000,25736000000,26645000000,27694000000,28992000000,29751000000,30330000000,31091000000,31614000000,31345000000,31653000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-399000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-399000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6178000000,6259000000,805000000,1590000000,1755000000,1974000000,1779000000,2164000000,2193000000,2234000000,2300000000,2439000000,2679000000,2572000000,2777000000,2981000000,3109000000,3428000000,3590000000,3707000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,263200000,303200000,430500000,6343000000,6790000000,6923000000,7022000000,7163000000,1109000000,1133000000,1452000000,916000000,775000000,912000000,272000000,316000000,304000000,84000000,64000000,324000000,90000000,63000000,73000000,251000000,177000000,800000000,1108000000,966000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9250300000,9562000000,9959600000,16247000000,17267000000,17879000000,18127000000,18371000000,18657000000,19171000000,22783000000,23211000000,23628000000,24469000000,24298000000,25123000000,25728000000,26787000000,28100000000,29408000000,30463000000,31627000000,32601000000,33562000000,34377000000,35842000000,35644000000,36326000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,10587800000,10904800000,11416400000,17350000000,18180000000,19250000000,18976000000,19418000000,19956000000,20596000000,24750000000,25861000000,26028000000,26144000000,26297000000,27369000000,28199000000,28538000000,30342000000,32483000000,33241000000,34260000000,34892000000,35711000000,36239000000,37923000000,37962000000,38493000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,704100000,732800000,708900000,624000000,600000000,818000000,925000000,848000000,908000000,948000000,1012000000,1163000000,1181000000,1139000000,1140000000,974000000,1181000000,433000000,777000000,685000000,748000000,602000000,650000000,822000000,828000000,710000000,552000000,1351000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,116900000,130900000,100000000,88000000,141000000,503000000,297000000,605000000,358000000,360000000,662000000,314000000,491000000,369000000,484000000,474000000,458000000,150000000,250000000,545000000,102000000,700000000,650000000,700000000,585000000,316000000,668000000,553000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263000000,305000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,310800000,342100000,381400000,381000000,376000000,603000000,665000000,933000000,587000000,493000000,527000000,444000000,421000000,440000000,481000000,341000000,443000000,1118000000,1054000000,1075000000,930000000,929000000,1039000000,1023000000,1178000000,1274000000,940000000,617000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1131800000,1205800000,1190300000,1093000000,1117000000,1924000000,1887000000,2386000000,1853000000,1801000000,2201000000,1921000000,2093000000,1948000000,2105000000,1789000000,2082000000,1701000000,2081000000,2305000000,1780000000,2231000000,2339000000,2545000000,2591000000,2300000000,2160000000,2521000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1547800000,1553300000,1800300000,7398000000,7483000000,7556000000,7339000000,7027000000,7006000000,6800000000,6863000000,6616000000,6109000000,5999000000,6183000000,6679000000,6567000000,7390000000,8432000000,8903000000,8924000000,9393000000,9562000000,9136000000,10560000000,11880000000,12446000000,13287000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133000000,133000000,280000000,280000000,280000000,280000000,280000000,280000000,534000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2208000000,2299000000,2411600000,2480000000,2545000000,2687000000,2745000000,2781000000,3010000000,3223000000,6550000000,6620000000,6444000000,6431000000,6372000000,6747000000,7088000000,7486000000,7832000000,8542000000,8817000000,9063000000,9140000000,6324000000,6460000000,6815000000,6922000000,7165000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,961900000,965500000,987100000,885000000,1065000000,1101000000,1131000000,1089000000,1542000000,1787000000,1146000000,1415000000,1767000000,2039000000,2030000000,1801000000,1793000000,2050000000,2104000000,1311000000,1032000000,1105000000,1162000000,1067000000,986000000,1464000000,1109000000,1879000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4717700000,4817800000,5199000000,10763000000,11093000000,11344000000,11215000000,10897000000,11558000000,11810000000,14559000000,14651000000,14320000000,14469000000,14585000000,15227000000,15448000000,16926000000,18501000000,18889000000,19053000000,19841000000,20144000000,16807000000,18286000000,20439000000,21011000000,22331000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,538000000,433000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,5849500000,6023600000,6389300000,11856000000,12210000000,13268000000,13102000000,13283000000,13411000000,13611000000,16760000000,16572000000,16413000000,16417000000,16690000000,17016000000,17530000000,18627000000,20582000000,21194000000,20833000000,22072000000,22483000000,19352000000,20877000000,22739000000,23171000000,24852000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,140400000,136300000,132400000,399000000,401000000,404000000,405000000,407000000,410000000,412000000,421000000,431000000,418000000,380000000,368000000,370000000,358000000,332000000,315000000,310000000,310000000,299000000,292000000,285000000,269000000,259000000,254000000,242000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,4154600000,4282400000,4403700000,4826000000,5252000000,5187000000,5053000000,5335000000,5694000000,6112000000,6893000000,7980000000,8283000000,8280000000,8501000000,9027000000,9224000000,8693000000,8643000000,9339000000,10348000000,10191000000,10425000000,14176000000,13440000000,13207000000,12883000000,11586000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4223000000,-4326000000,-4399000000,-4435000000,-4586000000,-4929000000,-5214000000,-5435000000,-5717000000,-5812000000,-6239000000,-77000000,-369000000,-399000000,-942000000,-853000000,-805000000,-1026000000,-1109000000,-381000000,-398000000,-445000000,-487000000,-356000000,-563000000,-491000000,-594000000,-402000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4612800000,4736300000,4840500000,4655000000,4854000000,5270000000,5580000000,5783000000,6113000000,6264000000,6915000000,955000000,1283000000,1466000000,1680000000,1809000000,1892000000,1912000000,1911000000,2021000000,2148000000,2143000000,2179000000,2254000000,2216000000,2209000000,2248000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4684800000,4829000000,4977600000,5445000000,5921000000,5932000000,5824000000,6090000000,6500000000,6976000000,7990000000,9289000000,9615000000,9727000000,9607000000,10353000000,10669000000,9911000000,9760000000,11289000000,12408000000,12188000000,12409000000,16359000000,15362000000,15184000000,14791000000,13641000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,10534300000,10852600000,11366900000,17301000000,18131000000,19200000000,18926000000,19373000000,19911000000,20587000000,24750000000,25861000000,26028000000,26144000000,26297000000,27369000000,28199000000,28538000000,30342000000,32483000000,33241000000,34260000000,34892000000,35711000000,36239000000,37923000000,37962000000,38493000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,53500000,52200000,49500000,49000000,49000000,50000000,50000000,45000000,45000000,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,10587800000,10904800000,11416400000,17350000000,18180000000,19250000000,18976000000,19418000000,19956000000,20596000000,24750000000,25861000000,26028000000,26144000000,26297000000,27369000000,28199000000,28538000000,30342000000,32483000000,33241000000,34260000000,34892000000,35711000000,36239000000,37923000000,37962000000,38493000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/702165/000070216503000077/nsc10k02.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216504000053/nscf10ks.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216505000071/nsc04s.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216506000097/nsc10k052.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216507000067/nsc10k06s.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216508000047/nsc07fnls.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216509000050/0000702165-09-000050-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216510000049/0000702165-10-000049-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216511000047/nsc10s.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216512000043/0000702165-12-000043-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216513000042/0000702165-13-000042-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216514000019/nsc13.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216515000023/nsc1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216516000162/0000702165-16-000162-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216517000018/0000702165-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216518000011/0000702165-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216519000012/0000702165-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216520000011/0000702165-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/702165/000070216521000006/0000702165-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/702165/000070216522000007/0000702165-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,606200000,556100000,29700000,557700000,772000000,667800000,712700000,770400000,721000000,734000000,239000000,172000000,375000000,460000000,535000000,923000000,1281000000,1481000000,1464000000,1716000000,1034000000,1496000000,1916000000,1749000000,1910000000,2000000000,1556000000,1668000000,5404000000,2666000000,2722000000,2013000000,3005000000
74,Depreciation and Amortization,- -,- -,- -,- -,-347000000,-373000000,-381300000,-396600000,-405500000,403800000,413500000,429200000,432000000,450000000,489000000,517000000,527000000,529000000,528000000,609000000,787000000,750000000,786000000,815000000,845000000,826000000,869000000,922000000,922000000,956000000,1059000000,1030000000,1059000000,1104000000,1139000000,1154000000,1181000000
75,Deferred Income Tax,- -,- -,- -,- -,100300000,-2800000,-124100000,64100000,56200000,112700000,66700000,97100000,75000000,114000000,85000000,2000000,44000000,178000000,132000000,200000000,80000000,-8000000,125000000,290000000,338000000,312000000,527000000,366000000,262000000,294000000,320000000,227000000,-2859000000,173000000,330000000,142000000,184000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
