,https://roic.ai/company/OI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.0364,-0.0365,0.0014,0.0219,0.0449,0.0497,0.0360,0.0204,0.0540,-0.0486,0.0593,-0.0799,-0.1621,0.0376,-0.0777,-0.0037,0.1746,0.0328,0.0229,-0.0071,-0.0693,0.0263,0.0264,0.0111,-0.0120,0.0312,0.0262,0.0374,-0.0598,0.0409,0.0234
25,EPS,-3.25,-1.13,0.03,0.64,1.40,1.58,1.25,0.62,1.79,-2.00,2.30,-3.29,-6.89,1.45,-3.85,-0.32,8.55,1.55,0.96,-0.29,-3.11,1.12,1.11,0.87,-0.47,1.29,1.11,1.61,-2.58,1.59,0.95
26,EPS Diluted,-3.25,-1.13,0.03,0.64,1.40,1.58,1.24,0.62,1.78,-2.00,2.30,-3.29,-6.89,1.43,-3.85,-0.32,7.99,1.52,0.95,-0.29,-3.11,1.11,1.11,0.87,-0.47,1.28,1.10,1.59,-2.58,1.57,0.95
27,Weighted Average Shares Outstanding,118982000,118761062,119077491,122343750,120785714,120949367,134320000,174193548,166648045,134850000,155043478,146413374,146923077,147586207,150675325,153125000,154280702,163178000,167687000,164271000,163691000,164474000,164425000,164721000,161169000,161857000,162737000,160125000,155250000,156806000,156806000
28,Weighted Average Shares Outstanding Diluted,118982000,118761062,119077491,122343750,120785714,123676471,135403226,174193548,167584270,134850000,155043478,146413374,146923077,149650350,150675325,153125000,165093867,169677000,170540000,167078000,163691000,165768000,165828000,166047000,161169000,162825000,164647000,162088000,155250000,158785000,156806000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812074/000081207495000006/0000812074-95-000006-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/812074/000091205701506253/0000912057-01-506253-index.html,- -,https://www.sec.gov/Archives/edgar/data/812074/000104746903010557/a2106089z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746904007941/a2130443z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746905006751/a2153665z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465906017125/a06-6864_110k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465907015390/a07-5962_110k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465908014206/a08-2811_110k.htm,https://www.sec.gov/Archives/edgar/data/812074/000110465909010082/0001104659-09-010082-index.html,https://www.sec.gov/Archives/edgar/data/812074/000110465910006102/0001104659-10-006102-index.html,https://www.sec.gov/Archives/edgar/data/812074/000104746911000741/a2201749z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746912000772/0001047469-12-000772-index.html,https://www.sec.gov/Archives/edgar/data/812074/000104746913000991/0001047469-13-000991-index.html,https://www.sec.gov/Archives/edgar/data/812074/000104746914000875/a2218189z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000104746915000716/a2222968z10-k.htm,https://www.sec.gov/Archives/edgar/data/812074/000155837016003216/0001558370-16-003216-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837017000499/0001558370-17-000499-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837018000669/0001558370-18-000669-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837019000652/0001558370-19-000652-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837020001125/0001558370-20-001125-index.html,https://www.sec.gov/Archives/edgar/data/812074/000155837021001009/0001558370-21-001009-index.htm,https://www.sec.gov/Archives/edgar/data/812074/000155837022000923/0001558370-22-000923-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,67400000,81100000,67100000,109400000,109400000,160900000,218200000,271400000,257100000,229700000,155600000,126400000,163400000,277900000,246600000,222700000,387700000,379500000,811700000,640000000,400000000,431000000,383000000,512000000,399000000,492000000,492000000,512000000,551000000,563000000,725000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,32100000,19700000,16400000,17600000,26800000,27600000,51900000,32700000,59800000,25000000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,67400000,81100000,67100000,109400000,109400000,160900000,218200000,271400000,289200000,249400000,172000000,144000000,190200000,305500000,298500000,255400000,447500000,404500000,812600000,640000000,400000000,431000000,383000000,512000000,399000000,492000000,492000000,512000000,551000000,563000000,725000000
34,Net Receivables,360000000,365100000,366500000,447700000,423900000,488800000,681600000,877700000,856400000,770900000,754500000,701900000,769700000,821300000,1006200000,1097800000,1185600000,988800000,1004200000,1075000000,1158000000,968000000,943000000,744000000,757000000,626000000,663000000,549000000,621000000,623000000,692000000
35,Inventory,461800000,565600000,472800000,477100000,502200000,494600000,592400000,838100000,826600000,862400000,836700000,893500000,1010100000,1117700000,940400000,1039000000,1020800000,999500000,900300000,946000000,1012000000,1139000000,1117000000,1035000000,1007000000,983000000,1036000000,1018000000,1045000000,841000000,816000000
36,Other Current Assets,10900000,47300000,53600000,64900000,181300000,140800000,156100000,189900000,137600000,199000000,224000000,147800000,151800000,156300000,37200000,40500000,40700000,51900000,79600000,77000000,124000000,110000000,107000000,80000000,171000000,153000000,229000000,278000000,271000000,270000000,286000000
37,Total Current Assets,900100000,1059100000,960000000,1099100000,1216800000,1285100000,1648300000,2177100000,2109800000,2081700000,1987200000,1887200000,2121800000,2400800000,2282300000,2432700000,2694600000,2444700000,2796700000,2738000000,2694000000,2648000000,2550000000,2371000000,2334000000,2254000000,2420000000,2357000000,2488000000,2297000000,2519000000
38,PP&E,1341000000,1581300000,1497800000,1636500000,1784800000,1941600000,2405400000,3427000000,3444100000,3284900000,3259900000,3324100000,3387000000,3497700000,3152500000,3193700000,2950000000,2645600000,2742300000,3107000000,2877000000,2769000000,2632000000,2445000000,2961000000,2880000000,3131000000,3085000000,3476000000,3045000000,2817000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2995300000,- -,- -,- -,- -,2464700000,2428100000,2207500000,2381000000,2821000000,2082000000,2079000000,2059000000,1893000000,2489000000,2462000000,2590000000,2513000000,1934000000,1951000000,1840000000
40,Intangible Assets,1151500000,1171000000,1083000000,1049400000,1023900000,1003500000,1294900000,3314900000,3294400000,3101000000,- -,2691200000,2280200000,3009100000,2369200000,- -,- -,- -,- -,- -,- -,144000000,137000000,119000000,683000000,549000000,521000000,479000000,445000000,384000000,286000000
41,Intangible Assets,1151500000,1171000000,1083000000,1049400000,1023900000,1003500000,1294900000,3314900000,3294400000,3101000000,2995300000,2691200000,2280200000,3009100000,2369200000,2464700000,2428100000,2207500000,2381000000,2821000000,2082000000,2223000000,2196000000,2012000000,3172000000,3011000000,3111000000,2992000000,2379000000,2335000000,2126000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000000,96000000,81000000,101700000,114300000,299000000,315000000,294000000,315000000,427000000,409000000,433000000,525000000,698000000,694000000,673000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000000,237000000,203000000,177000000,185000000,194000000,191000000,178000000,178000000,- -
44,Other Non-Current Assets,1006500000,1339700000,1360600000,1532600000,1413700000,1875100000,1496500000,2141700000,1908000000,1875600000,1864200000,1966800000,1742300000,1829100000,1602800000,1133600000,1170900000,577000000,693100000,789000000,958000000,380000000,489000000,400000000,368000000,372000000,375000000,376000000,395000000,354000000,1370000000
45,Total Non-Current Assets,3499000000,4092000000,3941400000,4218500000,4222400000,4820200000,5196800000,8883600000,8646500000,8261500000,8119400000,7982100000,7409500000,8335900000,7239500000,6888000000,6630000000,5531800000,5930700000,7016000000,6232000000,5950000000,5869000000,5487000000,7087000000,6881000000,7336000000,7342000000,7122000000,6585000000,6313000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
