,https://roic.ai/company/MEI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,31052632,32222222,31875000,31428571,34000000,32916667,32857143,34222222,34426230,34671000,34967000,35236000,35300000,35268817,35503448,35837037,34590909,36453333,35783636,35961972,36274468,36227778,37153271,36879000,36712000,37128157,38104545,37406386,37973697,38686715,38333484,37283096,37281630,37405298,37574671,38038615
28,Weighted Average Shares Outstanding Diluted,31052632,32222222,31875000,31428571,34000000,32916667,32857143,34222222,34426230,34901961,34967000,35236000,35300000,35268817,35503448,35837037,34590909,36453333,36163000,36071000,36451000,36738028,37503774,36879000,36932000,37838668,38104545,37886626,38216259,39266866,38471613,37485701,37541899,37669560,37844470,38306286
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65270/000095013196003488/0000950131-96-003488-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013197004644/0000950131-97-004644-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013198004476/0000950131-98-004476-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013199004532/0000950131-99-004532-index.html,https://www.sec.gov/Archives/edgar/data/65270/000091205700033674/0000912057-00-033674-index.html,https://www.sec.gov/Archives/edgar/data/65270/000089155401503710/0000891554-01-503710-index.html,https://www.sec.gov/Archives/edgar/data/65270/000091205702028847/0000912057-02-028847-index.html,https://www.sec.gov/Archives/edgar/data/65270/000104746903025450/a2115537z10-k.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013704005575/c86692e10vk.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013705008702/c96693e10vk.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013706007779/c06694e10vk.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013707009955/0000950137-07-009955-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013408012861/0000950134-08-012861-index.html,https://www.sec.gov/Archives/edgar/data/65270/000110465909041502/0001104659-09-041502-index.html,https://www.sec.gov/Archives/edgar/data/65270/000110465910036590/0001104659-10-036590-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527011000008/0000065270-11-000008-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527012000017/mei-4282012x10k.htm,https://www.sec.gov/Archives/edgar/data/65270/000006527013000020/0000065270-13-000020-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527014000023/0000065270-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527015000016/0000065270-15-000016-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527016000055/0000065270-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527017000016/0000065270-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527018000014/0000065270-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527019000019/0000065270-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/65270/000156459020031145/0001564590-20-031145-index.htm,https://www.sec.gov/Archives/edgar/data/65270/000156459021034113/0001564590-21-034113-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6100000,5600000,3300000,2300000,9400000,11100000,19800000,21900000,26800000,40800000,50200000,23100000,24200000,22800000,29427000,42788000,49902000,64261000,61757000,87142000,81646000,60100000,104700000,54000000,63800000,57445000,86800000,65800000,116400000,168100000,227800000,294000000,246100000,83200000,217300000,233200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6100000,5600000,3300000,2300000,9400000,11100000,19800000,21900000,26800000,40800000,50200000,23100000,24200000,22800000,29427000,42788000,49902000,64261000,61757000,87142000,81646000,60100000,104700000,54000000,63800000,57445000,86800000,65800000,116400000,168100000,227800000,294000000,246100000,83200000,217300000,233200000
34,Net Receivables,14800000,16300000,19100000,17700000,20700000,20400000,17700000,25600000,37000000,39500000,48300000,54100000,64500000,88200000,79408000,66124000,64061000,58246000,65360000,65699000,74223000,79200000,85800000,75200000,82600000,88036000,99400000,120100000,173400000,172200000,175500000,165900000,205000000,233600000,201400000,294000000
35,Inventory,14200000,14000000,18700000,21800000,18200000,18500000,14800000,18400000,27600000,32900000,32100000,39900000,49000000,49200000,58917000,51360000,36960000,31936000,29207000,41583000,45681000,54500000,55900000,40400000,29800000,38557000,43600000,59900000,71600000,70900000,66200000,57900000,84100000,116700000,131000000,124200000
36,Other Current Assets,500000,700000,400000,500000,3100000,3900000,7300000,6100000,5600000,6500000,6400000,5700000,7000000,10800000,10834000,17053000,14494000,20720000,13031000,10908000,19722000,15600000,14800000,11600000,8400000,11923000,10600000,12900000,20300000,27100000,26700000,12500000,14800000,20000000,15900000,22600000
37,Total Current Assets,35600000,36600000,41500000,42300000,51400000,53900000,59600000,72000000,97000000,119700000,137000000,122800000,144700000,171000000,178586000,177325000,165417000,175163000,169355000,205332000,221272000,209400000,261200000,181200000,184600000,195961000,240400000,258700000,381700000,438300000,496200000,530300000,550000000,453500000,565600000,674000000
38,PP&E,23300000,25000000,26500000,29100000,29500000,32400000,35300000,44400000,48500000,56200000,66800000,80100000,87000000,90900000,95847000,70124000,69988000,82902000,87755000,92640000,90497000,86900000,90300000,69900000,61900000,61511000,77200000,98400000,101200000,93300000,93000000,90600000,162200000,191900000,225400000,226300000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27629000,- -,- -,- -,- -,28893000,51500000,54500000,11800000,12100000,16422000,16400000,12900000,13000000,1700000,1700000,1600000,59200000,233300000,231600000,235600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,6300000,5600000,4900000,4300000,3600000,38100000,41000000,41400000,50159000,- -,33213000,43535000,43825000,45105000,17540000,43700000,41300000,20500000,18800000,18423000,16600000,16500000,13000000,11300000,8900000,6600000,61000000,264900000,244800000,229400000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,6300000,5600000,4900000,4300000,3600000,38100000,41000000,41400000,50159000,27629000,33213000,43535000,43825000,45105000,46433000,95200000,95800000,32300000,30900000,34845000,33000000,29400000,26000000,13000000,10600000,8200000,120200000,498200000,476400000,465000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11984000,14645000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3776000,2949000,2521000,3893000,5820000,- -,- -,- -,- -,4456000,- -,- -,- -,- -,27700000,- -,18300000,36400000,41600000,41200000
44,Other Non-Current Assets,500000,1400000,1600000,2900000,3900000,3700000,5800000,7400000,10200000,11300000,15900000,12500000,14800000,13300000,16381000,19852000,19532000,10925000,10732000,9711000,10561000,20200000,23300000,21900000,21416000,23326000,53000000,48400000,66600000,61200000,28400000,74900000,65200000,51700000,61600000,60500000
45,Total Non-Current Assets,23800000,26400000,28100000,32000000,33400000,36100000,47400000,57400000,63600000,71800000,86300000,130700000,142800000,145600000,162387000,117605000,126509000,140311000,144833000,151349000,153311000,202300000,209400000,124100000,126200000,138783000,163200000,176200000,193800000,167500000,159700000,173700000,365900000,778200000,805000000,793000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,59400000,63000000,69600000,74300000,84800000,90000000,107000000,129400000,160600000,191500000,223300000,253500000,287500000,316600000,340973000,294930000,291926000,315474000,314188000,356681000,374583000,411700000,470600000,305300000,310800000,334744000,403600000,434900000,575500000,605800000,655900000,704000000,915900000,1231700000,1370600000,1467000000
48,Accounts Payable,- -,- -,- -,- -,8400000,9200000,11100000,14800000,16800000,20000000,23400000,24500000,24900000,26100000,31400000,27658000,27344000,24515000,28542000,32406000,41581000,41000000,42800000,24500000,29700000,37152000,54800000,61500000,82000000,70100000,68200000,75300000,89500000,91900000,73800000,122900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5100000,2900000,1100000,2900000,4700000,1165000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,21000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9131000,628000,1300000,1700000,- -,12700000,18700000,19300000,11600000,20300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6868000,8730000,4928000,2272000,- -,3529000,3313000,8000000,15000000,- -,40000000,42000000,300000,- -,- -
52,Other Current Liabilities,11600000,12500000,14300000,16000000,13500000,12300000,17400000,19200000,21400000,18600000,19700000,18900000,22700000,26300000,22671000,26341000,22852000,24801000,28718000,32819000,32622000,24632000,25570000,24072000,26728000,25703000,33571000,25687000,29100000,45500000,49700000,9100000,25500000,88700000,69985000,78800000
53,Total Current Liabilities,11600000,12500000,14300000,16000000,21900000,21500000,28500000,34000000,38200000,43700000,46000000,44500000,50500000,57100000,55236000,53999000,50196000,49316000,57260000,65225000,74203000,72500000,77100000,53500000,58700000,62855000,91900000,90500000,119100000,130600000,117900000,124400000,157000000,180900000,143800000,222700000
54,Long-Term Debt,5000000,4300000,3400000,3900000,2800000,400000,300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,43500000,48000000,5000000,57000000,27000000,53400000,276900000,336800000,242700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,700000,900000,1200000,1700000,2000000,1900000,1100000,400000,- -,- -,- -,- -,- -,600000,683000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3529000,3313000,8700000,32100000,- -,- -,18300000,36400000,41600000,38300000
57,Other Non-Current Liabilities,1700000,2300000,2500000,2800000,3300000,3900000,9500000,10100000,14500000,12900000,12200000,11800000,11000000,10400000,11222000,11601000,11891000,11153000,8344000,8934000,8671000,15000000,20700000,20000000,15400000,10745000,5171000,8287000,7800000,-20700000,10900000,11500000,57200000,47800000,65000000,45300000
58,Total Non-Current Liabilities,7400000,7500000,7100000,8400000,8100000,6200000,10900000,10700000,14500000,12900000,12200000,11800000,11000000,11000000,11905000,11601000,11891000,11153000,8344000,8934000,8671000,15000000,20700000,20000000,15400000,10745000,56700000,55100000,64500000,16400000,67900000,38500000,128900000,361100000,443400000,326300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25900000,23600000
61,Total Liabilities,19000000,20000000,21400000,24400000,30000000,27700000,39400000,44700000,52700000,56600000,58200000,56300000,61500000,68100000,67141000,65600000,62087000,60469000,65604000,74159000,82874000,87500000,97800000,73500000,74100000,73600000,148600000,145600000,183600000,147000000,185800000,162900000,285900000,542000000,587200000,549000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18014000,18091000,18277000,18316000,17955000,18741000,18850000,19000000,19100000,19100000,19100000,19156000,19200000,19200000,19600000,19900000,19100000,19100000,19100000,19200000,19200000,19800000
64,Retained Earnings,23500000,25600000,30000000,31400000,35700000,42800000,46700000,61200000,81000000,104300000,131100000,161200000,189400000,215100000,238898000,190590000,187210000,201845000,187207000,205488000,215072000,233700000,265800000,143600000,146800000,155989000,154000000,184400000,269200000,356500000,358600000,427000000,472000000,545200000,651900000,746000000
65,Other Comprehensive Income/Loss,-19400000,-23400000,-27700000,-32700000,-38300000,-45000000,-51100000,-57200000,-65000000,-76600000,-85700000,-99000000,-112700000,-126300000,-129649000,-126705000,-131950000,-146684000,-162550000,14000000,11000000,16000000,28000000,16000000,16000000,23000000,16000000,16000000,25000000,-8000000,-8000000,-26000000,14000000,-14000000,-27000000,6100000
66,Other Total Stockholders Equity,36300000,40800000,45900000,51200000,57400000,64500000,72000000,80700000,91900000,107200000,119700000,135000000,149300000,159700000,146569000,147354000,156302000,181528000,205972000,44293000,46787000,55509000,59885000,53076000,54854000,60888000,65844000,69771000,78100000,90400000,100400000,121000000,124900000,139300000,139300000,146100000
67,Total Stockholders Equity,40400000,43000000,48200000,49900000,54800000,62300000,67600000,84700000,107900000,134900000,165100000,197200000,226000000,248500000,273832000,229330000,229839000,255005000,248584000,282522000,291709000,324209000,372785000,231776000,236754000,259033000,255044000,289371000,391900000,458800000,470100000,541100000,630000000,689700000,783400000,918000000
68,Total Liabilities And Stockholders Equity,59400000,63000000,69600000,74300000,84800000,90000000,107000000,129400000,160600000,191500000,223300000,253500000,287500000,316600000,340973000,294930000,291926000,315474000,314188000,356681000,374583000,411709000,470585000,305276000,310854000,332633000,403644000,434971000,575500000,605800000,655900000,704000000,915900000,1231700000,1370600000,1467000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000,15000,24000,-54000,2111000,-44000,-71000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,59400000,63000000,69600000,74300000,84800000,90000000,107000000,129400000,160600000,191500000,223300000,253500000,287500000,316600000,340973000,294930000,291926000,315474000,314188000,356681000,374583000,411700000,470600000,305300000,310800000,334744000,403600000,434900000,575500000,605800000,655900000,704000000,915900000,1231700000,1370600000,1467000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65270/000095013196003488/0000950131-96-003488-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013197004644/0000950131-97-004644-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013198004476/0000950131-98-004476-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013199004532/0000950131-99-004532-index.html,https://www.sec.gov/Archives/edgar/data/65270/000091205700033674/0000912057-00-033674-index.html,https://www.sec.gov/Archives/edgar/data/65270/000089155401503710/0000891554-01-503710-index.html,https://www.sec.gov/Archives/edgar/data/65270/000091205702028847/0000912057-02-028847-index.html,https://www.sec.gov/Archives/edgar/data/65270/000104746903025450/a2115537z10-k.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013704005575/c86692e10vk.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013705008702/c96693e10vk.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013706007779/c06694e10vk.htm,https://www.sec.gov/Archives/edgar/data/65270/000095013707009955/0000950137-07-009955-index.html,https://www.sec.gov/Archives/edgar/data/65270/000095013408012861/0000950134-08-012861-index.html,https://www.sec.gov/Archives/edgar/data/65270/000110465909041502/0001104659-09-041502-index.html,https://www.sec.gov/Archives/edgar/data/65270/000110465910036590/0001104659-10-036590-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527011000008/0000065270-11-000008-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527012000017/mei-4282012x10k.htm,https://www.sec.gov/Archives/edgar/data/65270/000006527013000020/0000065270-13-000020-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527014000023/0000065270-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527015000016/0000065270-15-000016-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527016000055/0000065270-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527017000016/0000065270-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527018000014/0000065270-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/65270/000006527019000019/0000065270-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/65270/000156459020031145/0001564590-20-031145-index.htm,https://www.sec.gov/Archives/edgar/data/65270/000156459021034113/0001564590-21-034113-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,5100000,7900000,4600000,15400000,21000000,26100000,32400000,37200000,35300000,32800000,30888000,19352000,3805000,21872000,19681000,25533000,17049000,26100000,39800000,-112500000,13700000,19500000,8400000,40700000,96100000,101100000,84600000,92900000,57200000,91600000,123400000,122300000
74,Depreciation and Amortization,- -,- -,- -,- -,5700000,6600000,7300000,8700000,10000000,12100000,14000000,16700000,19900000,19900000,20709000,16702000,16263000,16621000,20780000,21434000,22846000,24000000,28159000,37036000,19409000,15756000,16159000,18806000,23900000,23400000,23900000,24300000,28100000,43300000,48300000,51500000
75,Deferred Income Tax,- -,- -,- -,- -,-500000,-500000,-1000000,-1100000,300000,200000,800000,500000,-1000000,-1200000,-770000,-794000,-5300000,504000,572000,633000,-2870000,-1012000,-2948000,8078000,3992000,-5207000,-1939000,-7206000,-29200000,-300000,8200000,-3900000,-12700000,-4400000,8000000,-9600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-553000,871000,3006000,3976000,3252000,3300000,4300000,7400000,12400000,4000000,14000000,300000,6800000
77,Change in Working Capital,- -,- -,- -,- -,5100000,2900000,-1300000,6900000,20800000,17200000,15000000,-12700000,15900000,19700000,9450000,-24000,-8105000,10626000,-13752000,28012000,6962000,-10169000,47200000,-56400000,-1800000,7206000,15394000,19700000,94400000,45100000,70600000,27600000,-12900000,-120400000,149200000,6800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33347000,-12436000,-17846000,-13525000,-21198000,-49700000,-8600000,-6000000,5600000,2800000,1500000,27400000,-81900000
79,Inventory,- -,- -,- -,- -,3600000,500000,900000,-3600000,-8500000,-3700000,1100000,-3000000,-7500000,1600000,-10476000,-3614000,13861000,5789000,3111000,-10879000,-4319000,3004000,-482000,19918000,645000,-8710000,-3278000,-16138000,-11000000,-1600000,4500000,7400000,-7200000,-3900000,-15800000,11300000
