,https://roic.ai/company/PNM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,44200000,30200000,39400000,38300000,41300000,25000000,53964000,88769000,33031000,27889000,52697000,32861000,63970000,3226000,-90816000,28818000,-32255000,121535000,54910000,59513000,69738000,15075000,63278000,130340000,7775000,-25282000,20636000,32582000
23,Net Income,146300000,151000000,95400000,-183500000,82600000,400000,23000000,-104300000,-61500000,80300000,75600000,72600000,81000000,82700000,83100000,100946000,150433000,64272000,95173000,91866000,64359000,121586000,74874000,-270644000,124844000,-44687000,176887000,106075000,101035000,116782000,16168000,117377000,80402000,86170000,77890000,173303000,196357000
24,Net Income ratio,0.1953,0.2163,0.1383,-0.2180,0.0902,0.0005,0.0268,-0.1224,-0.0704,0.0888,0.0935,0.0822,0.0713,0.0757,0.0718,0.0626,0.0640,0.0550,0.0654,0.0573,0.0310,0.0492,0.0391,-0.1381,0.0758,-0.0267,0.1040,0.0790,0.0728,0.0813,0.0112,0.0861,0.0556,0.0600,0.0534,0.1138,0.1103
25,EPS,2.20,2.19,1.33,-3.11,1.15,-0.15,0.21,-1.78,-1.09,1.18,1.15,1.15,1.28,1.31,1.34,1.69,2.55,1.09,1.59,1.45,1.02,1.75,0.98,-3.24,1.36,-0.49,1.98,1.32,1.26,1.46,0.20,1.47,1.00,1.07,0.97,2.16,2.28
26,EPS Diluted,2.20,2.19,1.33,-3.11,1.15,-0.15,0.21,-1.78,-1.09,1.18,1.15,1.15,1.27,1.30,1.34,1.69,2.51,1.07,1.58,1.43,1.00,1.73,0.96,-3.24,1.36,-0.49,1.96,1.31,1.25,1.45,0.20,1.46,1.00,1.07,0.97,2.15,2.27
27,Weighted Average Shares Outstanding,55608559,60516854,62593703,62608181,62483209,62577407,63249625,62552993,62438293,62661000,62661000,62661000,62661000,62661000,61567164,59267717,58686815,58606748,59732008,63355862,63097059,69477714,76402041,83468000,91408824,91557000,89201000,79799000,79845000,79626027,79759000,79758000,79874000,80039252,79754639,79988426,85889912
28,Weighted Average Shares Outstanding Diluted,55608559,60516854,62593703,62608181,62483209,62577407,63249625,62552993,62438293,62676995,62781109,62820702,63141361,63153846,61567164,59501976,59620822,59334783,60236076,64241958,64359000,70280925,77993750,83468000,91408824,91557000,89757000,80417000,80431000,80279445,80139000,80132000,80141447,80039252,79990498,80302542,86110820
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108426/000110842603000009/0001108426-03-000009-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842604000037/0001108426-04-000037-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842605000030/0001108426-05-000030-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842606000040/f10k_123105pnmr.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842607000028/f10k_123106pnmr.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842608000032/f10k_123107pnmr.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842609000022/0001108426-09-000022-index.html,- -,https://www.sec.gov/Archives/edgar/data/1108426/000119312511051990/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842612000014/0001108426-12-000014-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842613000011/0001108426-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842614000016/pnm1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842615000008/pnm1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842616000165/0001108426-16-000165-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842617000006/0001108426-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842618000011/0001108426-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842619000020/0001108426-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842620000014/0001108426-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842621000010/0001108426-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842622000010/0001108426-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,4200000,11100000,8700000,2600000,120400000,107691000,14677000,3702000,12694000,17195000,68199000,123419000,17763000,140619000,14641000,15404000,15091000,8985000,2533000,28274000,46051000,4522000,3974000,2122000,3833000,47928000,1104000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50671000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,4200000,11100000,8700000,2600000,120400000,107691000,14677000,3702000,12694000,17195000,68199000,123419000,17763000,140619000,65312000,15404000,15091000,8985000,2533000,28274000,46051000,4522000,3974000,2122000,3833000,47928000,1104000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,133200000,132400000,215800000,216300000,206200000,216700000,307599000,199945000,173051000,198199000,249701000,280607000,285004000,209221000,273383000,391710000,326710000,311394000,299168000,210032000,196974000,185146000,217967000,172565000,169226000,160403000,198383000,204690000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,59800000,50100000,44000000,46800000,35600000,40000000,36091000,36483000,37230000,40799000,41352000,52037000,63329000,41312000,49397000,50631000,52479000,54231000,59643000,67223000,63628000,67386000,73027000,66502000,71834000,77929000,66417000,65061000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,84100000,103200000,15800000,14000000,63400000,28900000,59021000,77061000,136410000,54271000,55306000,195454000,219123000,337581000,289234000,70552000,149287000,82103000,74395000,121751000,143941000,86987000,82523000,51379000,59342000,51845000,64751000,53745000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,298100000,289900000,286700000,285800000,307800000,406000000,510402000,328166000,350393000,305963000,363554000,596297000,690875000,605877000,752633000,578205000,543880000,462819000,442191000,401539000,432817000,385570000,378039000,294420000,302524000,294010000,377479000,324600000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1731200000,1607800000,1807000000,1878100000,2117600000,1586700000,1620972000,1782741000,1868799000,2640502000,2326023000,2988306000,4196803000,2942353000,3192025000,3340372000,3451777000,3631765000,3750974000,3938264000,4273412000,4538776000,4908119000,4983631000,5238033000,5609680000,6094357000,6857849000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321310000,321310000,278297000,278297000,278297000,278297000,278297000,278297000,278297000,278297000,278297000,278297000,278297000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26567000,26425000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,577667000,597940000,571556000,348477000,347877000,347735000,278297000,278297000,278297000,278297000,278297000,278297000,278297000,278297000,278297000,278297000,278297000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,562000000,444000000,652000000,562000000,495737000,279584000,260107000,252435000,260890000,261445000,259646000,273524000,340537000,355103000,454347000,531054000,552549000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,174000000,138000000,136600000,149800000,151400000,730600000,762859000,696731000,807715000,432164000,798058000,400439000,236006000,1100350000,1292847000,597730000,602107000,571625000,648686000,621220000,583354000,547039000,633101000,749218000,691594000,662440000,658667000,653590000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1905200000,1745800000,1943600000,2027900000,2269000000,2317300000,2383831000,2479472000,2676514000,3072666000,3124081000,4528412000,5474749000,5266259000,5395349000,4781716000,4681203000,4741794000,4930392000,5098671000,5396508000,5623758000,6093041000,6351683000,6563027000,7004764000,7562375000,8342285000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2203300000,2035700000,2230300000,2313700000,2576800000,2723300000,2894233000,2807638000,3026907000,3378629000,3487635000,5124709000,6165624000,5872136000,6147982000,5359921000,5225083000,5204613000,5372583000,5500210000,5829325000,6009328000,6471080000,6646103000,6865551000,7298774000,7939854000,8666885000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,105200000,93700000,130700000,154500000,114000000,150600000,257991000,120918000,97968000,86155000,117645000,206648000,214229000,148955000,174068000,111432000,95969000,103139000,99177000,109666000,110029000,100419000,86705000,121383000,112170000,103118000,169317000,172595000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,125918000,94700000,332200000,764345000,1115119000,950361000,200125000,224252000,85087000,161230000,224200000,438666000,375579000,560448000,562295000,235900000,675368000,634978000,269257000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18176000,13456000,12555000,12216000,11374000,11028000,10695000,10585000,6606000,5095000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,220300000,71700000,169300000,172000000,89300000,88400000,104647000,208719000,145208000,133508000,144272000,184648000,332277000,319995000,303959000,251716000,199903000,185042000,155520000,145349000,143032000,152906000,146581000,140938000,153688000,178410000,166761000,217266000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,325500000,165400000,300000000,326500000,203300000,239000000,362638000,329637000,393176000,345581000,356617000,723496000,1310851000,1584069000,1428388000,563273000,520124000,373268000,434103000,492671000,704282000,641120000,805108000,835644000,512453000,967481000,977662000,664213000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,752100000,728800000,713900000,714000000,1008600000,988500000,953823000,953884000,980092000,987210000,987823000,1746395000,1765907000,1231859000,1379011000,1565206000,1563595000,1671626000,1669760000,1670420000,1642024000,1966969000,2119364000,2180750000,2670111000,2517449000,2800697000,3575573000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,148800000,145500000,172600000,179200000,198700000,204300000,214102000,164867000,167178000,288560000,319888000,485069000,607679000,627012000,596553000,551684000,558195000,660870000,715787000,827263000,891111000,877393000,940650000,547210000,600719000,626058000,694512000,764850000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,499630000,667130000,712189000,871736000,764714000,725229000,986036000,829153000,849721000,830912000,852374000,747729000,785287000,786097000,849557000,1309522000,1318145000,1434507000,1346980000,1427791000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,900900000,874300000,886500000,893200000,1207300000,1192800000,1167925000,1118751000,1646900000,1942900000,2019900000,3103200000,3138300000,2584100000,2961600000,2946043000,2971511000,3163408000,3237921000,3245412000,3318422000,3630459000,3909571000,4037482000,4588975000,4578014000,4842189000,5768214000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2070300000,2029000000,2049700000,2063200000,2693000000,2764400000,2749882000,2687276000,- -,3898644000,4051339000,6217954000,6299777000,5179756000,5936282000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,134580000,108525000,83211000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1494900000,1320100000,1463200000,1496500000,1689000000,1810600000,1944595000,1898162000,2028298000,2301325000,2388056000,3838250000,4472328000,4179725000,4403070000,3509316000,3491635000,3536676000,3672024000,3738083000,4022704000,4271579000,4714679000,4873126000,5101428000,5545495000,5819851000,6432427000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12800000,- -,- -,- -,- -,- -,- -,111529000,100000000,- -,11529000,11529000,11529000,11529000,11529000,11529000,11529000,11529000,11529000,11529000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,208900000,208900000,208900000,208900000,208900000,203500000,195589000,195589000,624119000,- -,- -,- -,- -,- -,- -,1289890000,- -,- -,1182819000,1178369000,1173845000,1166465000,1163661000,1157665000,1153113000,1150552000,1429941000,1429257000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46000000,25200000,77200000,129200000,186200000,227800000,296843000,288388000,444651000,503069000,550566000,564623000,623936000,638229000,327290000,405884000,314943000,447650000,506998000,553340000,609456000,559780000,604742000,633528000,643953000,627523000,698707000,810203000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-925800000,-920600000,-959400000,-1026500000,-1021200000,-1099700000,-1174102000,-1236209000,-1332126000,-1081395000,-1137283000,-92000000,29000000,11000000,31000000,-46057000,-69000000,-67000000,-82000000,-58000000,-62000000,-71000000,-92000000,-96000000,-109000000,-99000000,-79183000,-71936000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1471300000,1402100000,1440400000,1505600000,1500500000,1568300000,1619097000,1650056000,1237405000,1655630000,1686296000,813836000,1040360000,1043182000,1288116000,- -,1402328000,1204864000,370000,-140000,245000,-432000,-451000,60000,316000,-377000,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,708400000,715600000,767100000,817200000,874400000,899900000,937427000,897824000,986849000,1077304000,1099579000,1286459000,1693296000,1692411000,1646406000,1761246000,1648271000,1585514000,1619716000,1685098000,1733075000,1666342000,1687481000,1706782000,1699911000,1690227000,2060994000,2179053000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2203300000,2035700000,2230300000,2313700000,2563400000,2710500000,2882022000,2795986000,3015147000,3378629000,3487635000,5124709000,6165624000,5872136000,6049476000,5270562000,5139906000,5122190000,5291740000,5423181000,5755779000,5937921000,6402160000,6579908000,6801339000,7235722000,7880845000,8611480000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,12800000,12211000,11652000,11760000,- -,- -,- -,- -,- -,98506000,89359000,85177000,82423000,80843000,77029000,73546000,71407000,68920000,66195000,64212000,63052000,59009000,55405000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2203300000,2035700000,2230300000,2313700000,2576800000,2723300000,2894233000,2807638000,3026907000,3378629000,3487635000,5124709000,6165624000,5872136000,6147982000,5359921000,5225083000,5204613000,5372583000,5500210000,5829325000,6009328000,6471080000,6646103000,6865551000,7298774000,7939854000,8666885000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1108426/000110842603000009/0001108426-03-000009-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842604000037/0001108426-04-000037-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842605000030/0001108426-05-000030-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842606000040/f10k_123105pnmr.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842607000028/f10k_123106pnmr.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842608000032/f10k_123107pnmr.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842609000022/0001108426-09-000022-index.html,- -,https://www.sec.gov/Archives/edgar/data/1108426/000119312511051990/d10k.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842612000014/0001108426-12-000014-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842613000011/0001108426-13-000011-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842614000016/pnm1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842615000008/pnm1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842616000165/0001108426-16-000165-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842617000006/0001108426-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842618000011/0001108426-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842619000020/0001108426-19-000020-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842620000014/0001108426-20-000014-index.html,https://www.sec.gov/Archives/edgar/data/1108426/000110842621000010/0001108426-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1108426/000110842622000010/0001108426-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,80300000,75600000,72600000,81000000,82700000,83100000,100946000,150433000,64272000,95173000,91866000,64359000,121586000,74874000,-270644000,124844000,-44687000,176887000,106075000,101035000,116782000,16168000,117377000,80402000,86170000,77890000,173303000,196357000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173446000,186067000,195366000,206499000,208173000,209867000,222861000,242033000,268194000,275641000,301068000,314668000,320210000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,23100000,1600000,31400000,11100000,18300000,- -,- -,- -,47269000,90175000,39966000,28318000,47331000,35423000,-46692000,27727000,35674000,124424000,56243000,60430000,72481000,16451000,63805000,130528000,8019000,-25385000,20405000,30747000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2188000,2894000,6556000,3585000,5320000,5931000,4863000,5634000,6194000,7120000,6414000,8141000,9446000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,151900000,-137800000,-27400000,145200000,62500000,-19236000,-149235000,-41312000,3165000,46555000,-134136000,-492777000,-358216000,302437000,690687000,8824000,65795000,-81463000,-99220000,-180333000,15915000,-171519000,-114155000,331295000,-463542000,73288000,-961000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79546000,- -,- -,-2547000,-7562000,-4975000,-3298000,2543000,-1846000,-8702000,3796000,-42035000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3100000,-26500000,5800000,-2900000,11100000,- -,- -,- -,- -,- -,- -,- -,- -,-104000,-9921000,-1083000,-1848000,-2200000,-5412000,-7580000,5504000,-180000,-4169000,1473000,-5331000,-6095000,11512000,1356000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70540000,-15462000,20969000,14020000,4484000,-2311000,-32269000,3159000,14468000,-20714000,-272000,7403000,10640000
