,https://roic.ai/company/IESC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,- -,4200000,14583000,2931000,770000,3475000,32779000,40201000,22232000,28349000,28166000,69676000,64709000,64174000,32924000,35577000,18729000,20757000,47342000,49360000,32961000,28290000,26247000,18934000,53577000,23105000
34,Net Receivables,- -,18900000,146469000,270726000,368145000,341077000,299945000,314474000,361127000,265522000,194956000,177424000,177849000,127269000,105335000,103672000,93263000,99349000,101492000,122747000,160057000,177744000,207336000,245353000,283831000,371437000
35,Inventory,- -,4200000,6440000,12793000,16861000,21855000,23651000,20473000,22657000,23027000,25989000,15268000,12856000,10155000,12682000,8443000,15141000,20147000,16048000,13977000,13236000,16923000,20966000,21543000,24889000,68573000
36,Other Current Assets,- -,1200000,15558000,48232000,59976000,86107000,81355000,71575000,13307000,34902000,37297000,31049000,8745000,19672000,18015000,13432000,20252000,3772000,3075000,2956000,3474000,8795000,8144000,10625000,9153000,21065000
37,Total Current Assets,- -,28500000,183050000,334682000,445752000,452514000,437730000,446723000,419323000,351800000,286408000,293417000,264159000,221270000,168956000,161124000,147385000,144025000,167957000,189040000,209728000,231752000,262693000,296455000,371450000,484180000
38,PP&E,- -,4100000,23436000,47368000,61367000,70343000,61577000,52697000,44861000,25194000,26904000,22095000,25742000,24367000,19846000,8016000,6480000,10414000,10188000,11683000,15694000,24643000,25364000,25746000,56375000,82297000
39,Goodwill,- -,1000000,293066000,467385000,496212000,482654000,198220000,197884000,98086000,24343000,14589000,14574000,4395000,3981000,3981000,3839000,4446000,13924000,14993000,17249000,39936000,46693000,50702000,50622000,53763000,92395000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4138000,3503000,4723000,31723000,31413000,30590000,26623000,39357000,85619000
41,Intangible Assets,- -,1000000,293066000,467385000,496212000,482654000,198220000,197884000,98086000,24343000,14589000,14574000,4395000,3981000,3981000,3839000,4446000,18062000,18496000,21972000,71659000,78106000,81292000,77245000,93120000,178014000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,919000,919000,919000,919000,558000,558000,408000,- -,10000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1631000,298000,147000,93549000,86211000,46580000,40874000,33803000,19009000
44,Other Non-Current Assets,- -,2200000,2916000,9057000,16659000,27992000,24112000,28870000,18663000,15035000,47614000,23336000,25480000,18807000,12322000,7287000,6402000,4201000,3250000,2949000,2791000,3224000,5507000,4530000,5780000,3112000
45,Total Non-Current Assets,- -,7300000,319418000,523810000,574238000,580989000,283909000,279451000,161610000,64572000,89107000,60005000,55617000,47155000,36149000,19142000,17328000,35227000,33151000,37670000,184612000,192742000,159301000,148803000,189078000,282442000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,35800000,502468000,858492000,1019990000,1033503000,721639000,726174000,580933000,416372000,375515000,353422000,319776000,268425000,205105000,180266000,164713000,179252000,201108000,226710000,394340000,424494000,421994000,445258000,560528000,766622000
48,Accounts Payable,- -,- -,69225000,116121000,202047000,164272000,141398000,- -,187074000,160419000,142842000,74168000,131757000,- -,- -,49556000,39879000,40659000,38639000,47033000,64963000,63246000,75293000,85276000,93315000,136967000
49,Short-Term Debt,- -,- -,3823000,1444000,93903000,679000,570000,256000,43007000,223857000,21000,78000,2905000,2086000,808000,209000,10456000,3562000,- -,4000,- -,- -,- -,- -,11056000,13973000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20676000,21852000,25165000,24229000,29918000,33826000,40563000,55739000,62486000
52,Other Current Liabilities,- -,20700000,34982000,41545000,58159000,50934000,51548000,180056000,- -,979000,7420000,61481000,504000,97620000,84908000,48522000,54049000,33661000,35393000,35877000,43859000,57464000,55298000,67633000,82339000,98174000
53,Total Current Liabilities,- -,20700000,108030000,159110000,354109000,215885000,193516000,180312000,230081000,385255000,150283000,135727000,135166000,99706000,85716000,98287000,104384000,98558000,95884000,108079000,133051000,150628000,164417000,193472000,242449000,311600000
54,Long-Term Debt,- -,1300000,90354000,226949000,150089000,286082000,248439000,248122000,188274000,27000,55744000,45698000,26739000,26601000,10448000,10289000,24000,10210000,10208000,10234000,29257000,29434000,29564000,299000,217000,68395000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2290000,1046000,284000,285000,905000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1200000,1380000,5267000,8043000,2892000,25252000,30183000,19410000,15231000,14845000,18072000,10765000,7280000,6314000,6596000,6863000,7093000,7044000,6983000,8627000,7728000,7606000,5239000,34549000,16080000
58,Total Non-Current Liabilities,- -,2500000,91734000,232216000,158132000,288974000,273691000,278305000,207684000,15258000,70589000,63770000,37504000,36171000,17808000,17169000,7172000,18208000,17252000,17217000,37884000,37162000,37170000,5538000,34766000,84475000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,- -,- -,- -,- -,31586000,42622000
61,Total Liabilities,- -,23200000,199764000,391326000,512241000,504859000,467207000,458617000,437765000,400513000,220872000,199497000,172670000,135877000,103524000,115456000,111556000,116766000,113136000,125296000,170935000,187790000,201587000,199010000,277215000,396075000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,308000,387000,408000,409000,411000,411000,411000,416000,154000,154000,154000,154000,154000,154000,154000,182000,220000,220000,220000,220000,220000,220000,220000,220000
64,Retained Earnings,- -,11700000,10746000,58853000,80009000,108719000,-164632000,-144202000,-271716000,-401348000,-8171000,-12583000,-11480000,-24171000,-56318000,-94011000,-106322000,-109895000,-104571000,-88033000,32745000,46427000,32314000,65600000,107005000,173134000
65,Other Comprehensive Income/Loss,- -,-2600000,- -,- -,- -,- -,- -,- -,-1113000,-1183000,-3936000,-6852000,-8868000,-70000,-88000,- -,-21424000,17000,-2000,- -,-25307000,-27862000,-25613000,-29560000,-34544000,- -
66,Other Total Stockholders Equity,- -,3500000,291650000,407926000,427332000,419516000,418653000,411348000,415586000,417974000,166596000,173206000,167300000,156635000,157833000,158667000,180749000,172182000,192325000,189227000,215747000,217919000,213486000,209988000,210632000,172599000
67,Total Stockholders Equity,- -,12600000,302704000,467166000,507749000,528644000,254432000,267557000,143168000,15859000,154643000,153925000,147106000,132548000,101581000,64810000,53157000,62486000,87972000,101414000,223405000,236704000,220407000,246248000,283313000,345953000
68,Total Liabilities And Stockholders Equity,- -,35800000,502468000,858492000,1019990000,1033503000,721639000,726174000,580933000,416372000,375515000,353422000,319776000,268425000,205105000,180266000,164713000,179252000,201108000,226710000,394340000,424494000,421994000,445258000,560528000,742028000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24594000
70,Total Liabilities & Equity,- -,35800000,502468000,858492000,1019990000,1033503000,721639000,726174000,580933000,416372000,375515000,353422000,319776000,268425000,205105000,180266000,164713000,179252000,201108000,226710000,394340000,424494000,421994000,445258000,560528000,766622000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1048268/000119312504212863/0001193125-04-212863-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000095012905012142/0000950129-05-012142-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000095013406023507/0000950134-06-023507-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000104746907010007/0001047469-07-010007-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000104746908013171/0001047469-08-013171-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000095012309070626/0000950123-09-070626-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000095012310113518/0000950123-10-113518-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312511346104/0001193125-11-346104-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312512503507/0001193125-12-503507-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312513476228/0001193125-13-476228-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312514440606/0001193125-14-440606-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312515400802/0001193125-15-400802-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312516789187/0001193125-16-789187-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312517364439/0001193125-17-364439-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312518344274/0001193125-18-344274-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000104826819000007/0001048268-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000104826820000033/0001048268-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000104826821000162/0001048268-21-000162-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3700000,3700000,-52000,48107000,21156000,28710000,-273351000,20430000,-124864000,-127752000,-8171000,-4412000,684000,-11820000,-32147000,-37693000,-11802000,-3573000,5324000,16538000,120778000,13422000,-14157000,33206000,41599000,66658000
74,Depreciation and Amortization,300000,320000,5557000,16947000,32656000,30345000,18633000,16315000,13635000,16459000,4349000,11135000,9628000,8258000,5291000,6356000,2355000,2552000,2526000,2509000,5664000,9634000,8860000,9557000,12508000,21914000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-4938000,6175000,8179000,8959000,252000,38000,-148000,60000,-1924000,-1244000,-107000,-39000,- -,- -,- -,-98402000,6899000,38151000,5681000,5122000,11724000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2520000,1370000,906000,838000,1430000,711000,524000,1583000,1707000,-136000,2357000,3323000,3522000
77,Change in Working Capital,-180000,7800000,67220000,100552000,-83929000,144986000,7585000,22197000,-77169000,-222697000,169580000,21565000,-28697000,-7429000,-38324000,-20403000,-19836000,2466000,26606000,8888000,-4284000,4447000,17152000,4707000,26018000,-69279000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29567000,17768000,-2761000,11130000,3987000,-4137000,-15115000,-22439000,-7621000,-7574000,-35254000,-25389000,-55371000
79,Inventory,- -,- -,631000,-472000,-2900000,-4979000,-2770000,3011000,-2184000,-3729000,-2589000,10599000,2404000,2701000,-2527000,-537000,-6698000,2523000,3788000,2526000,3897000,-1856000,-3970000,-684000,-2822000,-30517000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8679000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,7800000,75020000,175572000,91643000,236629000,244214000,266411000,189242000,-33455000,136125000,157690000,128993000,121564000,83240000,62837000,43001000,45467000,72073000,80961000,76677000,81124000,98276000,102983000,129001000,6746000
82,Other Non-Cash Items,-30000,-10770000,-64389000,-172614000,73331000,-190469000,294325000,-27818000,185743000,318360000,-146917000,30721000,33031000,21702000,51888000,39089000,21113000,-921000,-22569000,-16953000,-371000,-13760000,-37646000,-16784000,-11829000,3385000
83,Cash Provided by Operating Activities,3790000,1050000,8336000,-7008000,43214000,8634000,53367000,39303000,6304000,-15378000,18879000,58861000,14706000,11307000,-13166000,-11852000,-7371000,1954000,12598000,11506000,24968000,22349000,12224000,38724000,76741000,37924000
84,CAPEX,-900000,-1030000,-4352000,-12888000,-28381000,-25801000,-11895000,-8727000,-6505000,-3682000,-1324000,-2708000,-12985000,-4740000,-924000,-2688000,-1877000,-444000,-1982000,-2779000,-3417000,-4589000,-4563000,-6300000,-4745000,-7401000
85,Acquisitions Net,- -,- -,-128735000,-106476000,-33225000,-233000,7549000,-570000,- -,- -,- -,- -,- -,-2150000,393000,- -,- -,-5155000,- -,-3113000,-59544000,-20213000,-7406000,50000,-28952000,-92463000
86,Purchases of Investments,- -,- -,- -,- -,-1670000,- -,-300000,-900000,-800000,-400000,-1300000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,20000,50000,1177000,753000,2742000,-5382000,312000,2339000,307000,39885000,388000,1344000,21046000,1000000,328000,18031000,- -,829000,- -,- -,2225000,270000,108000,502000,104000,295000
89,Cash Used for Investing Activites,-880000,-980000,-131910000,-118611000,-60534000,-31416000,-4334000,-7858000,-6998000,35803000,-2236000,-1564000,8061000,-5890000,-203000,15343000,-1877000,-4770000,-1982000,-5892000,-60736000,-24532000,-11861000,-5748000,-33593000,-99569000
90,Debt Repayment,- -,- -,-47778000,-157624000,-48278000,-198169000,-97941000,-16309000,- -,- -,- -,- -,- -,-2427000,-18462000,-766000,-264000,-17042000,-3502000,- -,-290000,-5432000,-177000,-119508000,-592971000,-1278852000
91,Common Stock Issued,- -,- -,91513000,1203000,3000,1308000,543000,3095000,6662000,985000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,218000,11000,- -,34000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-10376000,-984000,-10207000,-4340000,- -,- -,-806000,-11028000,-4317000,-172000,-72000,-181000,-436000,-179000,-3622000,-590000,-2367000,-2059000,-9802000,-7697000,-7006000
93,Dividends Paid,- -,- -,-17758000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-450000,-220000,108026000,270388000,63434000,232724000,78653000,-602000,-19597000,-15293000,-6450000,-14981000,-16706000,792000,753000,- -,-7155000,22322000,19650000,26000,20029000,4833000,-181000,89021000,592129000,1317031000
95,Cash Used/Provided by Financing Activities,-450000,-220000,134003000,113967000,15159000,25487000,-19729000,-24023000,-17275000,-14308000,-5450000,-15787000,-27734000,-5952000,-17881000,-838000,-7600000,4844000,15969000,-3596000,19369000,-2748000,-2406000,-40289000,-8505000,31173000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2460000,-150000,10429000,-11652000,-2161000,2705000,29304000,7422000,-17969000,6117000,11193000,41510000,-4967000,-535000,-31250000,2653000,-16848000,2028000,26585000,2018000,-16399000,-4931000,-2043000,-7313000,34643000,-30472000
98,Cash at the End of Period,28707000,-150000,14583000,2931000,770000,3475000,32779000,40201000,22232000,28349000,28166000,69676000,64709000,64174000,32924000,35577000,18729000,20757000,47342000,49360000,32961000,28290000,26247000,18934000,53577000,23105000
99,Cash at the Beginning of Period,26247000,- -,4154000,14583000,2931000,770000,3475000,32779000,40201000,22232000,16973000,28166000,69676000,64709000,64174000,32924000,35577000,18729000,20757000,47342000,49360000,33221000,28290000,26247000,18934000,53577000
100,Free Cash Flow,2890000,20000,3984000,-19896000,14833000,-17167000,41472000,30576000,-201000,-19060000,17555000,56153000,1721000,6567000,-14090000,-14540000,-9248000,1510000,10616000,8727000,21551000,17760000,7661000,32424000,71996000,30523000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1048268/000119312504212863/0001193125-04-212863-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000095012905012142/0000950129-05-012142-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000095013406023507/0000950134-06-023507-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000104746907010007/0001047469-07-010007-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000104746908013171/0001047469-08-013171-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000095012309070626/0000950123-09-070626-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000095012310113518/0000950123-10-113518-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312511346104/0001193125-11-346104-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312512503507/0001193125-12-503507-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312513476228/0001193125-13-476228-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312514440606/0001193125-14-440606-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312515400802/0001193125-15-400802-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312516789187/0001193125-16-789187-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312517364439/0001193125-17-364439-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000119312518344274/0001193125-18-344274-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000104826819000007/0001048268-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000104826820000033/0001048268-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1048268/000104826821000162/0001048268-21-000162-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
