,https://roic.ai/company/FMC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,708900000,726200000,771600000,793800000,855000000,855900000,912000000,1087600000,983500000,1066700000,1136300000,1037700000,977000000,908500000,865900000,666200000,306100000,324300000,348200000,364800000,381800000,409900000,430600000,415100000,511700000,547700000,650700000,639700000,793200000,903300000,707800000,776700000,1164600000,1199700000,1042500000,1018800000
11,COGS and Expenses,2753900000,2870200000,3005800000,3113500000,3415000000,3574700000,3666800000,3696300000,3696100000,4149900000,4608100000,3989700000,4014400000,3736200000,3549000000,2074900000,1666000000,1724800000,1822400000,1870300000,2018300000,2240000000,2565000000,2358700000,2577300000,2758200000,3057800000,3174100000,3455900000,3104400000,2790400000,2554000000,3805500000,3725900000,3632600000,3892300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,200000,200000,100000,100000,200000,200000,1300000,600000,900000,1400000,1900000,100000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32900000,27200000,39500000,39500000,45400000,42400000,59700000,81400000,83300000,80000000,134500000,160400000,151300000,131100000
14,Depreciation and Amortization,192100000,200500000,199300000,197800000,211200000,224900000,233100000,226600000,229000000,248900000,254200000,238400000,206600000,180700000,188900000,131600000,118800000,124600000,134300000,136300000,131800000,133700000,124200000,127200000,133600000,126600000,137800000,127200000,131200000,115700000,137100000,113000000,168200000,150100000,162700000,170900000
15,EBITDA,384700000,401900000,388800000,416100000,422600000,480800000,244400000,259700000,481300000,495800000,569400000,365600000,377300000,451600000,344800000,-372700000,202000000,149300000,250000000,335200000,332500000,295100000,587100000,435900000,477600000,668500000,746100000,612100000,571900000,733500000,523400000,992900000,893600000,899400000,1016400000,1130100000
16,EBITDA ratio,0.1281,0.1280,0.1183,0.1219,0.1135,0.1233,0.0615,0.0692,0.1200,0.1099,0.1121,0.0848,0.0862,0.1099,0.0878,-0.1918,0.1090,0.0777,0.1219,0.1559,0.1417,0.1121,0.1885,0.1542,0.1533,0.1979,0.1991,0.1580,0.1416,0.2239,0.1595,0.3449,0.1890,0.1951,0.2190,0.2240
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-56200000,-67500000,-91600000,-82700000,-95800000,-68800000,-27300000,-19800000,-62400000,-113000000,-149900000,-382600000,-114500000,-100100000,-153900000,-341000000,-100400000,-158600000,-97700000,-86600000,-115200000,-207200000,-95400000,-157500000,-188500000,-69200000,-77900000,-84800000,-96800000,-302600000,-152700000,-143800000,-178600000,-228900000,-279700000,-259100000
20,Income Before Tax,192600000,201400000,189500000,218300000,211400000,255900000,279600000,37800000,252300000,246900000,322600000,-59700000,249500000,274300000,222600000,-472900000,86500000,38000000,131100000,193300000,213500000,185700000,454900000,310000000,350500000,550500000,612600000,615900000,485000000,-130500000,339300000,180800000,743700000,655000000,729800000,893800000
21,Income Before Tax Ratio,0.0641,0.0642,0.0577,0.0639,0.0568,0.0656,0.0704,0.0101,0.0629,0.0547,0.0635,-0.0138,0.0570,0.0667,0.0567,-0.2434,0.0467,0.0198,0.0639,0.0899,0.0910,0.0705,0.1460,0.1097,0.1125,0.1630,0.1634,0.1590,0.1201,-0.0398,0.1034,0.0628,0.1573,0.1421,0.1572,0.1772
22,Income Tax expense (Gain),40100000,10200000,60300000,61600000,56100000,82800000,87000000,-3200000,78900000,31300000,104500000,-35200000,64200000,58300000,45300000,-166600000,17400000,-1800000,-44500000,82300000,68700000,29000000,125400000,53000000,132000000,136500000,146700000,148600000,73500000,47400000,93900000,264100000,88800000,111500000,150900000,91600000
23,Net Income,152500000,191200000,129200000,156700000,155300000,173100000,-75700000,36300000,173400000,215600000,210700000,162400000,106500000,212600000,110600000,-337700000,65800000,26500000,160200000,116600000,132000000,132400000,304600000,228500000,172500000,365900000,416200000,293900000,307500000,489000000,209100000,535800000,502100000,477400000,551500000,736500000
24,Net Income ratio,0.0508,0.0609,0.0393,0.0459,0.0417,0.0444,-0.0191,0.0097,0.0432,0.0478,0.0415,0.0377,0.0243,0.0517,0.0282,-0.1738,0.0355,0.0138,0.0781,0.0542,0.0562,0.0503,0.0978,0.0809,0.0554,0.1083,0.1110,0.0758,0.0762,0.1492,0.0637,0.1861,0.1062,0.1036,0.1188,0.1460
25,EPS,0.20,0.57,0.47,0.57,0.56,0.62,-0.27,0.13,1.17,1.43,1.39,1.10,0.78,1.69,0.91,-2.71,0.49,0.19,1.11,0.78,0.86,0.88,2.06,1.57,1.19,2.56,3.01,2.16,2.30,3.66,1.56,3.99,3.72,3.64,4.24,5.72
26,EPS Diluted,0.20,0.56,0.45,0.54,0.54,0.60,-0.27,0.13,1.16,1.43,1.39,1.10,0.76,1.64,0.88,-2.71,0.48,0.19,1.07,0.74,0.83,0.85,2.01,1.56,1.18,2.55,3.00,2.16,2.29,3.66,1.56,3.99,3.69,3.62,4.22,5.69
27,Weighted Average Shares Outstanding,180144000,180696000,137020000,137996000,139052000,141080000,143492000,144724000,148841202,150769231,152129964,147301587,136102236,125985185,121873278,124383057,134285714,141333333,144650113,150451613,153043478,150454545,147600000,144400000,144400000,142000000,137700000,135200000,133300000,133700000,133900000,134300000,134400000,130800000,129700000,128313000
28,Weighted Average Shares Outstanding Diluted,180144000,180696000,137020000,137996000,139052000,141080000,143492000,144724000,149161290,150769231,152129964,147301587,139672131,129436834,126400000,124383057,137083333,141333333,149719626,157037037,158083832,154853801,151600000,146600000,146200000,143400000,138800000,136100000,134300000,133700000,134500000,134300000,135900000,132000000,130600000,128991000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37785/000095013196001103/0000950131-96-001103-index.html,https://www.sec.gov/Archives/edgar/data/37785/000095013197002068/0000950131-97-002068-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37785/000093066102000678/0000930661-02-000678-index.html,- -,https://www.sec.gov/Archives/edgar/data/37785/000119312504039049/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312505049229/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312506048313/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312507039630/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312508036999/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312509035095/0001193125-09-035095-index.html,https://www.sec.gov/Archives/edgar/data/37785/000119312510036348/0001193125-10-036348-index.html,https://www.sec.gov/Archives/edgar/data/37785/000119312511041464/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778512000004/0000037785-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778513000008/0000037785-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778514000006/fmc201310k.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778515000008/fmc201410k.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778516000081/0000037785-16-000081-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778517000011/0000037785-17-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/37785/000003778519000039/0000037785-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778520000035/0000037785-20-000035-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778521000024/0000037785-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778522000025/0000037785-22-000025-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,98400000,70900000,74800000,62700000,61700000,64000000,25100000,23400000,89600000,57000000,212400000,206400000,165500000,75500000,52400000,76600000,161500000,158900000,77100000,123200000,109500000,78600000,64200000,283000000,161700000,339100000,568900000,6500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29100000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,98400000,70900000,74800000,62700000,61700000,64000000,25100000,23400000,89600000,57000000,212400000,206400000,165500000,75500000,52400000,76600000,161500000,158900000,77100000,123200000,109500000,78600000,64200000,283000000,190800000,339100000,568900000,6500000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,642800000,837800000,1001900000,834200000,840600000,635400000,635500000,441700000,462200000,478200000,479700000,494300000,537900000,599700000,687700000,749600000,852900000,931300000,1184200000,1565300000,1840700000,1975400000,1957700000,2174000000,2507700000,2460400000,2528000000,2809900000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,403900000,615000000,835300000,524100000,517700000,457700000,426200000,207200000,178800000,192600000,217500000,215700000,219400000,275000000,380800000,350500000,347800000,470300000,675700000,688400000,636500000,800200000,703500000,992500000,1097300000,1017000000,1095600000,1405700000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,231200000,281200000,281100000,294600000,261700000,259400000,243000000,148000000,445100000,281900000,163100000,150900000,145000000,243900000,311900000,311000000,284000000,308900000,244800000,568100000,347700000,117700000,123800000,203200000,234400000,258300000,183100000,715500000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1376300000,1804900000,2193100000,1715600000,1681700000,1416500000,1329800000,820300000,1175700000,1009700000,1072700000,1067300000,1067800000,1194100000,1432800000,1487700000,1646200000,1869400000,2181800000,2945000000,2934400000,2971900000,2849200000,3652700000,4030200000,4074800000,4375600000,4937600000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,1537400000,1829600000,1959300000,1679300000,1727500000,1691900000,1616100000,1087800000,1075500000,1128100000,1111900000,1012000000,1025100000,934700000,939200000,964500000,918500000,986800000,1136200000,1248300000,1308500000,1016400000,1002100000,1025200000,1032600000,922700000,919000000,952200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163600000,180200000,197000000,209500000,194400000,225900000,294400000,389400000,352500000,776100000,777500000,1198900000,1468100000,1467500000,1468900000,1463300000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,345600000,498800000,420400000,399100000,505700000,494600000,116300000,129700000,156300000,169800000,148600000,- -,- -,- -,- -,- -,187300000,248500000,304800000,280300000,873500000,828200000,2658400000,2767500000,2746000000,2783200000,2665700000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,345600000,498800000,420400000,399100000,505700000,494600000,116300000,129700000,156300000,169800000,148600000,163600000,180200000,197000000,209500000,194400000,413200000,542900000,694200000,632800000,1649600000,1605700000,3857300000,4235600000,4213500000,4252100000,4129000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,22000000,21000000,20600000,22400000,22400000,28300000,40200000,26800000,25100000,2500000,1000000,1400000,700000,700000,3100000,9200000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294800000,297900000,322200000,448600000,374600000,330800000,259000000,243600000,240700000,314700000,246900000,233300000,91400000,200100000,352500000,325400000,319900000,318400000,257400000,229600000,218500000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,437800000,321000000,338600000,297800000,358100000,381700000,305400000,158000000,193200000,212500000,175400000,112500000,125700000,144400000,160700000,211400000,223700000,198900000,239500000,229500000,239600000,333000000,355900000,349800000,356800000,403600000,407000000,334800000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1975200000,2496200000,2796700000,2397500000,2484700000,2579300000,2416100000,1656900000,1696300000,1819100000,1905700000,1672700000,1667200000,1539300000,1561100000,1648500000,1673700000,1874100000,2192100000,2290200000,2406100000,3354000000,3290100000,5553600000,5944100000,5797900000,5810800000,5643700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,3351500000,4301100000,4989800000,4113100000,4166400000,3995800000,3745900000,2477200000,2872000000,2828800000,2978400000,2740000000,2735000000,2733400000,2993900000,3136200000,3319900000,3743500000,4373900000,5235200000,5340500000,6325900000,6139300000,9206300000,9974300000,9872700000,10186400000,10581300000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,676900000,848500000,886000000,663500000,685800000,665500000,657300000,327700000,286500000,299500000,342900000,301000000,301400000,327400000,372300000,290500000,389300000,458300000,443200000,475200000,433500000,403600000,355400000,714200000,867500000,900100000,946700000,1135000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,131000000,487000000,566000000,200400000,155300000,358800000,176600000,271700000,249300000,16800000,101000000,80400000,106200000,125600000,30700000,55900000,134900000,46500000,56300000,697800000,525200000,112600000,94200000,192600000,547700000,259200000,363900000,464300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24600000,3600000,15400000,15500000,32900000,35300000,22200000,19900000,12300000,99200000,86800000,62200000,82200000,65400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140300000,178900000,190200000,249900000,239800000,446300000,561500000,601900000,452900000,712700000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,461000000,457200000,569400000,600600000,570800000,551700000,566000000,479800000,338800000,411200000,376200000,277900000,294900000,298400000,356100000,362800000,439200000,415100000,495600000,634800000,761500000,687200000,748800000,856300000,1016700000,962700000,1065500000,1208300000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1268900000,1792700000,2021400000,1464500000,1411900000,1576000000,1399900000,1079200000,874600000,727500000,820100000,659300000,702500000,751400000,759100000,709200000,963400000,919900000,1135400000,1986700000,1910400000,1453300000,1438200000,2209400000,2993400000,2723900000,2829000000,3520300000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1207700000,1259000000,1268400000,1140200000,1326400000,945100000,872100000,651800000,1035900000,1033400000,822200000,639800000,523500000,419600000,592900000,588000000,503000000,779100000,908800000,1154100000,1153400000,2036300000,1798800000,3015500000,2179000000,3031100000,3080600000,2871700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243900000,327600000,206000000,89400000,10300000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73100000,51300000,173200000,167400000,173200000,330800000,333200000,350000000,342400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,358900000,438600000,704800000,689800000,625200000,684900000,626500000,482600000,510700000,431300000,408800000,430100000,430500000,439700000,675500000,705900000,664300000,740400000,774900000,449200000,661400000,754800000,741900000,857200000,933100000,1017100000,853200000,784700000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,1566600000,1697600000,1973200000,1830000000,1951600000,1630000000,1498600000,1134400000,1546600000,1464700000,1231000000,1069900000,954000000,859300000,1268400000,1293900000,1167300000,1519500000,1683700000,1676400000,1866100000,2964300000,2708100000,4289800000,3770500000,4587400000,4373200000,4009100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31800000,32400000,33600000,34300000,28000000,22500000,17300000,194700000,176700000,163500000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2835500000,3490300000,3994600000,3294500000,3363500000,3206000000,2898500000,2213600000,2421200000,2192200000,2051100000,1729200000,1656500000,1610700000,2027500000,2003100000,2130700000,2439400000,2819100000,3663100000,3776500000,4417600000,4146300000,6499200000,6763900000,7311300000,7202200000,7529400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,3900000,3900000,4300000,4300000,4500000,4600000,4600000,9300000,9300000,9300000,9300000,9300000,18600000,18600000,18600000,18600000,18600000,18600000,18600000,18600000,18600000,18600000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,380500000,596100000,806800000,969200000,1075700000,1288300000,1398900000,691800000,748100000,774600000,945600000,1062200000,1166400000,1255800000,1524700000,1716900000,1853000000,2176200000,2536500000,2757300000,2984500000,3385000000,3505500000,3952400000,4334300000,4188800000,4506400000,4991300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-2360100000,-2341600000,-2324900000,-1975900000,-2097200000,-2032100000,-1790100000,-1450400000,-172900000,-21800000,32700000,-46100000,-57100000,-9900000,-276100000,-279200000,-311700000,-390000000,-408900000,-201900000,-375800000,-457300000,-478400000,-240300000,-308900000,-412000000,-282200000,-315700000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,2495600000,2556300000,2513300000,1825300000,1824400000,1529800000,1234700000,1018300000,-173500000,-168800000,-106600000,-61400000,-94400000,-190900000,-355000000,-370600000,-419100000,-554900000,-665900000,-1054200000,-1096800000,-1080600000,-1088000000,-1048900000,-922900000,-1263100000,-1281000000,-1661700000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,516000000,810800000,995200000,818600000,802900000,789800000,847400000,263600000,406000000,588300000,876200000,959300000,1019500000,1064300000,902900000,1076400000,1131500000,1240600000,1480300000,1519800000,1530500000,1865700000,1957700000,2681800000,3121100000,2532300000,2961800000,3032500000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,3351500000,4301100000,4989800000,4113100000,4166400000,3995800000,3745900000,2477200000,2827200000,2780500000,2927300000,2688500000,2676000000,2675000000,2930400000,3079500000,3262200000,3680000000,4299400000,5182900000,5307000000,6283300000,6104000000,9181000000,9885000000,9843600000,10164000000,10561900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44800000,48300000,51100000,51500000,59000000,58400000,63500000,56700000,57700000,63500000,74500000,52300000,33500000,42600000,35300000,25300000,89300000,29100000,22400000,19400000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,3351500000,4301100000,4989800000,4113100000,4166400000,3995800000,3745900000,2477200000,2872000000,2828800000,2978400000,2740000000,2735000000,2733400000,2993900000,3136200000,3319900000,3743500000,4373900000,5235200000,5340500000,6325900000,6139300000,9206300000,9974300000,9872700000,10186400000,10581300000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/37785/000095013196001103/0000950131-96-001103-index.html,https://www.sec.gov/Archives/edgar/data/37785/000095013197002068/0000950131-97-002068-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/37785/000093066102000678/0000930661-02-000678-index.html,- -,https://www.sec.gov/Archives/edgar/data/37785/000119312504039049/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312505049229/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312506048313/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312507039630/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312508036999/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000119312509035095/0001193125-09-035095-index.html,https://www.sec.gov/Archives/edgar/data/37785/000119312510036348/0001193125-10-036348-index.html,https://www.sec.gov/Archives/edgar/data/37785/000119312511041464/d10k.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778512000004/0000037785-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778513000008/0000037785-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778514000006/fmc201310k.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778515000008/fmc201410k.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778516000081/0000037785-16-000081-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778517000011/0000037785-17-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/37785/000003778519000039/0000037785-19-000039-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778520000035/0000037785-20-000035-index.html,https://www.sec.gov/Archives/edgar/data/37785/000003778521000024/0000037785-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/37785/000003778522000025/0000037785-22-000025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,156700000,155300000,173100000,-75700000,36300000,173400000,215600000,210700000,162400000,106500000,212600000,110600000,-337700000,65800000,26500000,160200000,116600000,132000000,132400000,304600000,228500000,172500000,365900000,416200000,293900000,307500000,489000000,209100000,535800000,502100000,477400000,551500000,736500000
74,Depreciation and Amortization,- -,- -,- -,197800000,211200000,224900000,233100000,226600000,229000000,248900000,254200000,238400000,206600000,180700000,188900000,131600000,118800000,124600000,134300000,136300000,131800000,133700000,124200000,127200000,133600000,126600000,137800000,127200000,131200000,115700000,137100000,113000000,168200000,150100000,162700000,170900000
75,Deferred Income Tax,- -,- -,- -,-40400000,-22600000,-4300000,-3000000,-38900000,30300000,-3700000,52000000,-15800000,27400000,20600000,-7900000,-200300000,7200000,-17300000,-60100000,56400000,57200000,6500000,96900000,49900000,32100000,89800000,57300000,19600000,-61000000,19900000,58100000,104200000,-47400000,46100000,33600000,9700000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,15800000,17400000,14200000,14800000,15400000,20200000,21100000,23000000,25600000,18900000,17800000
77,Change in Working Capital,- -,- -,- -,29700000,- -,- -,- -,- -,107400000,-95200000,159500000,79400000,18700000,-429300000,89400000,-188800000,560000000,-18900000,-29600000,155400000,-42700000,77400000,231000000,104800000,-95700000,266700000,96900000,-88100000,65700000,494600000,-107600000,32300000,-406500000,314100000,195700000,-121800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99000000,-59300000,-109900000,-77900000,-193700000,-394500000,-276900000,140900000,-6100000,-262400000,-302200000,-123500000,-71800000,-241100000
79,Inventory,- -,- -,- -,-27600000,16700000,75700000,33100000,37500000,-46200000,-217900000,-234300000,-39900000,8200000,57000000,-16700000,-40900000,37400000,11600000,-5900000,4700000,21900000,-39600000,-91600000,20200000,-7900000,-110500000,-198000000,5100000,33100000,78300000,72500000,-96800000,-224200000,6400000,-59700000,-331100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,-71500000,106600000,69300000,41200000,40400000,-21000000,-292500000,-24100000,331700000,182300000,103000000,61800000,144400000
