,https://roic.ai/company/BKD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82286000,131288000,-84905000,-165206000,-31083000,-270045000,-594249000,-44498000,-97692000,-216936000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0297,0.0454,-0.0222,-0.0333,-0.0062,-0.0569,-0.1311,-0.0110,-0.0285,-0.0790
19,Total Other Income Expenses (Gains),10988000,9040000,-22753000,-59815000,-43302000,-101214000,-222425000,-219829000,-139034000,-159402000,-170925000,-145887000,-133116000,-245826000,-385158000,-368175000,-318076000,16441000,-226263000,184989000,109409000
20,Income Before Tax,10690000,20383000,-2509000,-10056000,-67530000,-145907000,-263632000,-459972000,-99181000,-80333000,-65835000,-63601000,-1828000,-330731000,-550364000,-399258000,-588121000,-577808000,-270761000,87297000,-107527000
21,Income Before Tax Ratio,0.0863,0.1262,-0.0113,-0.0152,-0.0854,-0.1114,-0.1433,-0.2386,-0.0490,-0.0363,-0.0268,-0.0230,-0.0006,-0.0863,-0.1109,-0.0802,-0.1239,-0.1275,-0.0667,0.0255,-0.0392
22,Income Tax expense (Gain),4503000,8666000,139000,11111000,-97000,-38491000,-101260000,-86731000,-32926000,-31432000,2340000,2044000,1756000,-181305000,-92209000,5378000,-16515000,-49456000,-2269000,5352000,-8163000
23,Net Income,3409000,6455000,-8963000,-9794000,-67433000,-108087000,-161979000,-373241000,-66255000,-48901000,-68175000,-65645000,-3584000,-148990000,-457477000,-404397000,-571419000,-528258000,-267931000,82019000,-99290000
24,Net Income ratio,0.0275,0.0400,-0.0403,-0.0148,-0.0853,-0.0825,-0.0881,-0.1936,-0.0327,-0.0221,-0.0277,-0.0237,-0.0012,-0.0389,-0.0922,-0.0813,-0.1204,-0.1166,-0.0660,0.0240,-0.0362
25,EPS,0.06,0.62,0.80,-0.16,-0.41,-1.34,-1.60,-3.67,-0.60,-0.41,-0.56,-0.54,-0.03,-1.01,-2.48,-2.18,-3.07,-2.82,-1.44,0.45,-0.54
26,EPS Diluted,0.06,0.62,0.80,-0.16,-0.41,-1.34,-1.60,-3.67,-0.60,-0.41,-0.56,-0.54,-0.03,-1.01,-2.48,-2.18,-3.07,-2.82,-1.44,0.44,-0.54
27,Weighted Average Shares Outstanding,60877000,10411000,60877000,60877000,59710000,80842000,101511000,101667000,111288000,120010000,121161000,121991000,123671000,148185000,184333000,185653000,186155000,187468000,185907000,183498000,183498000
28,Weighted Average Shares Outstanding Diluted,60877000,10411000,60877000,60877000,60877000,80842000,101511000,101667000,111288000,120010000,121161000,121991000,123671000,148185000,184333000,185653000,186155000,187468000,185907000,184386000,184386000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1332349/000095013607001693/0000950136-07-001693-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234908000010/0001332349-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234909000006/0001332349-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234910000006/0001332349-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234911000010/0001332349-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234912000008/0001332349-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234913000012/0001332349-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234914000006/0001332349-14-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1332349/000133234916000072/0001332349-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234917000005/0001332349-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234918000033/0001332349-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234919000040/0001332349-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234920000045/0001332349-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234921000045/0001332349-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234922000009/0001332349-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1067000,2172000,56468000,86858000,77682000,68034000,100904000,53973000,66370000,81827000,30836000,69240000,58511000,104083000,88029000,216397000,222647000,398267000,240227000,380420000,347031000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,291796000,14855000,68567000,172905000,182393000
33,Cash and Short-Term Investments,1067000,2172000,56468000,86858000,77682000,68034000,100904000,53973000,66370000,81827000,30836000,69240000,58511000,104083000,88029000,216397000,514443000,413122000,308794000,553325000,529424000
34,Net Receivables,- -,- -,9472000,8062000,10623000,58987000,66807000,91646000,82604000,88033000,98697000,100401000,104262000,149730000,144053000,141705000,128961000,133905000,133613000,109221000,51137000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,74838000,40383000,57572000,143211000,124124000,135166000,168447000,158249000,151342000,139397000,132089000,360976000,265861000,261402000,258468000,226989000,153768000,111057000,118433000
37,Total Current Assets,- -,- -,140778000,135303000,145877000,270232000,291835000,280785000,317421000,328109000,280875000,309038000,294862000,614789000,497943000,619504000,901872000,774016000,596175000,773603000,698994000
38,PP&E,- -,- -,1401161000,523619000,1408732000,3658788000,3760453000,3694784000,3857774000,3736842000,3694064000,3438374000,3460463000,8389505000,7247942000,6674305000,5257397000,4797600000,5952461000,5552307000,5534715000
39,Goodwill,- -,- -,44650000,8961000,- -,324750000,328852000,109967000,109835000,109693000,109553000,109553000,109553000,736805000,725696000,705476000,505783000,154131000,154131000,154131000,27321000
40,Intangible Assets,- -,- -,- -,- -,65646000,292448000,257135000,231589000,198043000,171341000,154136000,601545000,593769000,154773000,912620000,788007000,662725000,529299000,352309000,341131000,- -
41,Intangible Assets,- -,- -,44650000,8961000,65646000,617198000,585987000,341556000,307878000,281034000,263689000,711098000,703322000,891578000,1638316000,1493483000,1168508000,683430000,506440000,495262000,27321000
42,Investments,- -,- -,19484000,14805000,14000000,61000000,42000000,28000000,93602000,20196000,64519000,31386000,44103000,312925000,371639000,167826000,129794000,27528000,21210000,4898000,67424000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279000
44,Other Non-Current Assets,- -,- -,50509000,63937000,63556000,135237000,131347000,104133000,69268000,164289000,162914000,176082000,235007000,312566000,292724000,262569000,217878000,184686000,118147000,75688000,81734000
45,Total Non-Current Assets,- -,- -,1515804000,611322000,1551934000,4472223000,4519787000,4168473000,4328522000,4202361000,4185186000,4356940000,4442895000,9906574000,9550621000,8598183000,6773577000,5693244000,6598258000,6128155000,5711473000
46,Other Assets,570323000,730298000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,570323000,730298000,1656582000,746625000,1697811000,4742455000,4811622000,4449258000,4645943000,4530470000,4466061000,4665978000,4737757000,10521363000,10048564000,9217687000,7675449000,6467260000,7194433000,6901758000,6410467000
48,Accounts Payable,- -,- -,6588000,7437000,9253000,15860000,23359000,29105000,51612000,36302000,54134000,43184000,65840000,76314000,128006000,77356000,91825000,95049000,104721000,71233000,76125000
49,Short-Term Debt,- -,- -,113315000,3888000,132000,20869000,18007000,162929000,166185000,71676000,47654000,509543000,201954000,272265000,235604000,215255000,602501000,317561000,596146000,234654000,233918000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24647000,27240000,45834000,40471000,36820000,33379000,28084000,27339000,29301000,27804000
51,Deferred Revenue,- -,- -,- -,- -,13093000,47056000,- -,253647000,287953000,318814000,327808000,361360000,388400000,101613000,99277000,106946000,68358000,60414000,79402000,96995000,67080000
52,Other Current Liabilities,- -,- -,147940000,106677000,148965000,425120000,508401000,200331000,183559000,179566000,191354000,207416000,214650000,427570000,377261000,331585000,333092000,300307000,266703000,287851000,254831000
53,Total Current Liabilities,- -,- -,267843000,118002000,171443000,508905000,549767000,646012000,689309000,606358000,620950000,1121503000,870844000,877762000,840148000,731142000,1095776000,773331000,1046972000,690733000,631954000
54,Long-Term Debt,- -,- -,895444000,367149000,754169000,1852474000,2317217000,2390000000,2459341000,2498620000,2350971000,2169826000,2434624000,5993691000,3769371000,3413998000,3375324000,3345754000,3215710000,3847103000,4992099000
55,Deferred Revenue,- -,- -,9886000,138402000,- -,- -,- -,- -,72026000,69075000,72485000,79010000,86862000,5877000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,51365000,- -,- -,399134000,266583000,178647000,140313000,113956000,112736000,99851000,81299000,243474000,69051000,80646000,70644000,18371000,15397000,9557000,- -
57,Other Non-Current Liabilities,- -,- -,38718000,51582000,141760000,213329000,258517000,273998000,198372000,182464000,268711000,193071000,243191000,518318000,2911267000,2914169000,1603414000,1311391000,2217629000,1551636000,86791000
58,Total Non-Current Liabilities,- -,- -,995413000,557133000,895929000,2464937000,2842317000,2842645000,2870052000,2864115000,2804903000,2541758000,2845976000,6761360000,6749689000,6408813000,5049382000,4675516000,5448736000,5408296000,5078890000
59,Other Liabilities,392971000,546491000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2649226000,2489588000,2485520000,1271554000,874476000,2305345000,1528962000,1384805000
61,Total Liabilities,392971000,546491000,1263256000,675135000,1067372000,2973842000,3392084000,3488657000,3559361000,3470473000,3425853000,3663261000,3716820000,7639122000,7589837000,7139955000,6145158000,5448847000,6495708000,6099029000,5710844000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,650000,1013000,1050000,1053000,1232000,1243000,1254000,1267000,1277000,1870000,1883000,1900000,1913000,1968000,1996000,1983000,1975000
64,Retained Earnings,- -,- -,- -,- -,-62626000,-170713000,-332692000,-700720000,-766975000,-815876000,-884051000,-949696000,-959011000,-1108001000,-1565478000,-1969875000,-2541294000,-3069272000,-3393088000,-3311184000,-3410474000
65,Other Comprehensive Income/Loss,- -,- -,-33628000,-33674000,1429000,-891000,-1401000,-1396000,-865000,-327000,-1015000,- -,-1822256000,- -,-2543035000,-2884846000,-3064320000,-3047375000,-3237011000,- -,- -
66,Other Total Stockholders Equity,177352000,183807000,426954000,105164000,690950000,1934603000,1752581000,1661664000,1853190000,1874957000,1924020000,1951146000,3800927000,3987855000,6565518000,6930803000,7134429000,7133582000,7324459000,4109635000,4105901000
67,Total Stockholders Equity,177352000,183807000,237744000,40091000,630403000,1764012000,1419538000,960601000,1086582000,1059997000,1040208000,1002717000,1020937000,2881724000,2458888000,2077982000,1530728000,1018903000,696356000,800434000,697402000
68,Total Liabilities And Stockholders Equity,570323000,730298000,1501000000,715226000,1697775000,4737854000,4811622000,4449258000,4645943000,4530470000,4466061000,4665978000,4737757000,10520846000,10048725000,9217937000,7675886000,6467750000,7192064000,6899463000,6408246000
69,Minority Interest,- -,- -,155582000,31399000,36000,4601000,- -,- -,- -,- -,- -,- -,- -,517000,-161000,-250000,-437000,-490000,2369000,2295000,2221000
70,Total Liabilities & Equity,570323000,730298000,1656582000,746625000,1697811000,4742455000,4811622000,4449258000,4645943000,4530470000,4466061000,4665978000,4737757000,10521363000,10048564000,9217687000,7675449000,6467260000,7194433000,6901758000,6410467000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1332349/000095013607001693/0000950136-07-001693-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234908000010/0001332349-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234909000006/0001332349-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234910000006/0001332349-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234911000010/0001332349-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234912000008/0001332349-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234913000012/0001332349-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234914000006/0001332349-14-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1332349/000133234916000072/0001332349-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234917000005/0001332349-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234918000033/0001332349-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234919000040/0001332349-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234920000045/0001332349-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234921000045/0001332349-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234922000009/0001332349-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3409000,- -,-8963000,-9794000,-67433000,-108087000,-161979000,-373241000,-66255000,-48901000,-68175000,-65645000,-3584000,-148990000,-457477000,-404397000,-571419000,-528258000,-267931000,82019000,-99290000
74,Depreciation and Amortization,11230000,- -,22480000,52307000,17855000,180696000,283406000,327688000,255434000,301304000,281933000,270362000,285811000,544512000,736516000,529802000,494758000,455212000,383490000,365654000,345062000
75,Deferred Income Tax,- -,- -,-290000,10630000,150000,-39267000,-103180000,-89498000,-31684000,-33295000,943000,- -,-183000,-182371000,-95261000,3248000,-15309000,-52367000,-2654000,-5840000,-9837000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,26935000,20759000,19856000,25520000,25978000,28299000,31651000,32285000,27832000,26067000,23026000,20747000,16270000
77,Change in Working Capital,- -,- -,-127065000,144366000,-42867000,-213107000,-19259000,-107295000,-6661000,93639000,-61826000,-472390000,236483000,313009000,-79232000,230567000,-82266000,194589000,-451482000,533667000,-50494000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,11784000,-7956000,-5367000,-3415000,-5449000,3510000,5608000,1581000,12747000,-4964000,292000,24277000,502000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-127065000,17301000,-25566000,-238673000,-257932000,-365227000,-371888000,-278249000,-340075000,-812465000,-575982000,-262973000,-342205000,-111638000,-193904000,685000,-450797000,82870000,18519000
82,Other Non-Cash Items,-14639000,- -,147949000,-147381000,101388000,265677000,200674000,379113000,59451000,-105262000,95696000,533122000,-178384000,-311807000,156169000,-25773000,513068000,108718000,531963000,-790598000,-296345000
83,Cash Provided by Operating Activities,- -,- -,34111000,50128000,9093000,85912000,199662000,136767000,237220000,228244000,268427000,290969000,366121000,242652000,292366000,365732000,366664000,203961000,216412000,205649000,-94634000
84,CAPEX,- -,- -,-7291000,-37951000,-25872000,-2036704000,-341657000,-189028000,-321590000,-93681000,-160131000,-208412000,-257527000,-304245000,-411051000,-333647000,-213887000,-225473000,-304092000,-185871000,-176657000
85,Acquisitions Net,- -,- -,- -,- -,-79979000,- -,- -,369000,8843000,15000,-83166000,-5368000,-17172000,1930000,-69297000,-13377000,-199017000,-9124000,-4346000,-4082000,-5436000
86,Purchases of Investments,- -,- -,- -,- -,- -,-2071000,-1985000,-2779000,-65786000,-660000,-46714000,-1557000,- -,- -,- -,- -,-291187000,-14823000,-186224000,-378269000,-362257000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,12668000,2627000,1431000,35124000,- -,- -,- -,- -,- -,293273000,134000000,275000000,352988000
88,Other Investing Activites,- -,- -,113206000,562682000,7220000,36089000,-14777000,24999000,14433000,-44806000,84681000,-483533000,-247634000,-316812000,-499680000,190202000,-111103000,19448000,-168969000,-317760000,196162000
89,Cash Used for Investing Activites,- -,- -,105915000,524731000,-98631000,-2002686000,-358419000,-166439000,-351432000,-136505000,-203899000,-455334000,-264806000,-314882000,-568977000,176825000,-601307000,288774000,-225539000,-425111000,181457000
90,Debt Repayment,- -,- -,-112322000,-314701000,- -,- -,- -,- -,-261186000,-545247000,-1075605000,-551953000,-1199635000,-968196000,-1467806000,-2065059000,-1154713000,-1109292000,-427923000,-705240000,-441571000
91,Common Stock Issued,- -,- -,- -,- -,151269000,1354063000,- -,- -,163771000,- -,- -,- -,- -,330386000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-29187000,- -,- -,-17613000,- -,- -,- -,- -,-9640000,- -,-4256000,-23955000,-18123000,- -
93,Dividends Paid,- -,- -,- -,-304577000,-14355000,-104183000,-196827000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,26592000,74809000,-29445000,657246000,388454000,11928000,224024000,468965000,977699000,754722000,1087591000,755612000,1728363000,1660510000,1395606000,788485000,312484000,1106276000,327914000
95,Cash Used/Provided by Financing Activities,- -,- -,-85730000,-544469000,107469000,1907126000,191627000,-17259000,126609000,-76282000,-115519000,202769000,-112044000,117802000,260557000,-414189000,240893000,-325063000,-139394000,382913000,-113657000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,54296000,30390000,17931000,-9648000,32870000,-46931000,12397000,15457000,-50991000,38404000,-10729000,45572000,-16054000,128368000,6250000,167672000,-148521000,163451000,-26834000
98,Cash at the End of Period,- -,- -,56468000,86858000,77682000,68034000,100904000,53973000,66370000,81827000,30836000,69240000,58511000,104083000,88029000,216397000,222647000,450218000,301697000,465148000,438314000
99,Cash at the Beginning of Period,- -,- -,2172000,56468000,59751000,77682000,68034000,100904000,53973000,66370000,81827000,30836000,69240000,58511000,104083000,88029000,216397000,282546000,450218000,301697000,465148000
100,Free Cash Flow,- -,- -,26820000,12177000,-16779000,-1950792000,-141995000,-52261000,-84370000,134563000,108296000,82557000,108594000,-61593000,-118685000,32085000,152777000,-21512000,-87680000,19778000,-271291000
101,SEC Link,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1332349/000095013607001693/0000950136-07-001693-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234908000010/0001332349-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234909000006/0001332349-09-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234910000006/0001332349-10-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234911000010/0001332349-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234912000008/0001332349-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234913000012/0001332349-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234914000006/0001332349-14-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1332349/000133234916000072/0001332349-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234917000005/0001332349-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234918000033/0001332349-18-000033-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234919000040/0001332349-19-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234920000045/0001332349-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234921000045/0001332349-21-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1332349/000133234922000009/0001332349-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
