,https://roic.ai/company/IO,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
38,PP&E,- -,4800000,5100000,5700000,10500000,14200000,24100000,56000000,78400000,69300000,63000000,- -,47538000,39255000,27607000,45239000,28997000,38129000,36951000,59129000,78555000,20145000,24771000,33772000,46684000,69840000,72027000,67488000,52153000,13041000,45734000,45012000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156091000,153145000,49772000,52052000,51333000,53963000,55349000,55876000,27388000,26274000,22208000,24089000,22915000,23585000,19565000
40,Intangible Assets,- -,6200000,5700000,6200000,6700000,8700000,9900000,64200000,61000000,68400000,87600000,- -,45584000,33758000,35025000,224578000,222123000,99378000,50528000,196962000,61766000,20317000,17716000,245156000,250031000,125457000,137047000,109038000,90966000,73544000,60384000,50914000
41,Intangible Assets,- -,6200000,5700000,6200000,6700000,8700000,9900000,64200000,61000000,68400000,87600000,- -,45584000,33758000,35025000,224578000,222123000,255469000,203673000,246734000,113818000,71650000,71679000,300505000,305907000,152845000,163321000,131246000,115055000,96459000,83969000,70479000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4000000,- -,- -,- -,95173000,72626000,73925000,53865000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40745000,- -,- -,480000,3183000,6197000,2872000,11757000,26422000,8998000,17645000,28414000,14650000,8604000,- -,- -,1753000,7191000,8734000,- -
44,Other Non-Current Assets,- -,3100000,4000000,5200000,4200000,8100000,10700000,34800000,42500000,49600000,42500000,- -,13409000,20013000,18845000,17215000,25504000,5222000,64643000,20422000,133890000,115844000,185090000,9796000,14648000,10612000,6305000,2845000,1119000,2435000,2130000,2926000
45,Total Non-Current Assets,- -,14100000,14800000,17100000,21400000,31000000,44700000,155000000,181900000,187300000,193100000,- -,147276000,93026000,81477000,287512000,283807000,309017000,308139000,338042000,352685000,311810000,371811000,446412000,435754000,241901000,241653000,201579000,170080000,119126000,140567000,118417000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,30800000,40900000,46300000,61500000,132000000,165500000,355500000,384700000,489700000,451700000,- -,383171000,248445000,248055000,479116000,537861000,655136000,709149000,861431000,748186000,624442000,674058000,820583000,864671000,617257000,438416000,313216000,301069000,244749000,233194000,193593000
48,Accounts Payable,- -,- -,3100000,1600000,3900000,6300000,8400000,19500000,13100000,33100000,10500000,- -,10169000,18927000,14591000,40856000,31938000,47844000,44674000,94586000,40189000,30940000,22296000,28688000,22654000,36863000,29799000,26889000,24951000,34913000,49316000,33418000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,900000,1000000,1100000,- -,2312000,2142000,2687000,6564000,4405000,6566000,14871000,38399000,271132000,6073000,5770000,3496000,5906000,7649000,7912000,14581000,40024000,2228000,13162000,151301000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8348000,5845000,8865000,- -,1306000,1868000,7577000,5367000,3512000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8423000,11939000,37442000,21278000,17767000,13802000,22887000,33802000,26899000,20682000,8262000,6560000,3709000,8910000,7710000,4551000,3648000
52,Other Current Liabilities,- -,10700000,4900000,5800000,6500000,7200000,7500000,15700000,18400000,28700000,33300000,- -,18814000,19410000,15833000,26686000,52011000,83925000,99665000,105482000,129396000,73466000,76702000,150395000,130818000,100483000,59332000,49903000,65732000,60667000,49159000,37722000
53,Total Current Liabilities,- -,10700000,8000000,7400000,10400000,13500000,15900000,35200000,32400000,62800000,44900000,- -,31295000,40479000,33111000,82529000,100293000,175777000,180488000,256234000,454519000,133366000,138570000,209478000,180060000,153257000,103603000,95082000,139617000,105518000,116188000,226089000
54,Long-Term Debt,- -,5900000,100000,500000,400000,- -,- -,- -,11000000,10000000,8900000,- -,20088000,51430000,78516000,79387000,71541000,70974000,9842000,253510000,6249000,102587000,99342000,101832000,214246000,182945000,178408000,144209000,116720000,119513000,119352000,38372000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1100000,1500000,900000,1200000,1200000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4304000,4142000,3384000,22713000,1262000,688000,- -,- -,- -,- -,4734000,3679000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,1900000,2000000,100000,1600000,1600000,2300000,3100000,2700000,1200000,900000,- -,751000,5199000,3813000,2688000,4340000,34575000,39195000,3904000,3688000,7354000,7719000,10254000,212480000,145343000,39631000,16848000,13926000,11894000,32286000,222000
58,Total Non-Current Liabilities,- -,8900000,3600000,1500000,3200000,2800000,2900000,3100000,13700000,11200000,9800000,- -,20839000,56629000,82329000,82075000,80185000,109691000,52421000,280127000,11199000,110629000,107061000,112086000,426726000,328288000,222773000,164736000,130646000,131407000,151638000,38594000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41888000,46676000
61,Total Liabilities,- -,19600000,11600000,8900000,13600000,16300000,18800000,38300000,46100000,74000000,54700000,- -,52134000,97108000,115440000,164604000,180478000,285468000,232909000,536361000,465718000,243995000,245631000,321564000,606786000,481545000,326376000,259818000,270263000,236925000,267826000,264683000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29838000,- -,- -,68786000,68786000,27000000,27000000,27000000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,516000,519000,522000,795000,807000,810000,948000,996000,1187000,1529000,1555000,1564000,1637000,1645000,107000,118000,120000,140000,142000,143000
64,Retained Earnings,- -,2200000,7900000,15700000,24800000,41300000,65700000,104100000,121100000,177900000,72500000,- -,-15713000,-136534000,-159685000,-161516000,-150007000,-123095000,-82839000,-376552000,-411548000,-448386000,-423612000,-360297000,-606157000,-734409000,-759531000,-824679000,-854921000,-926092000,-974291000,-1011516000
65,Other Comprehensive Income/Loss,- -,-1700000,-2300000,-2500000,-3500000,-3500000,-7400000,-17300000,-27700000,-33600000,-40300000,- -,-67334000,-2721000,941000,232000,-4519000,4859000,5460000,-55859000,-36320000,-15530000,-16193000,-11886000,-11138000,-12807000,-14781000,-21748000,-18879000,-20442000,-19318000,-19913000
66,Other Total Stockholders Equity,- -,10700000,23700000,24200000,26600000,77900000,88400000,230400000,245200000,271400000,364300000,- -,413568000,290073000,290837000,475001000,481264000,487094000,552671000,687699000,660363000,815834000,836706000,842104000,873404000,881184000,886164000,899198000,903247000,952626000,956647000,958584000
67,Total Stockholders Equity,- -,11200000,29300000,37400000,47900000,115700000,146700000,317200000,338600000,415700000,397000000,- -,331037000,151337000,132615000,314512000,357383000,369668000,476240000,325070000,282468000,380447000,425456000,498485000,257746000,135613000,111959000,52889000,29567000,6232000,-36820000,-72702000
68,Total Liabilities And Stockholders Equity,- -,30800000,40900000,46300000,61500000,132000000,165500000,355500000,384700000,489700000,451700000,- -,383171000,248445000,248055000,479116000,537861000,655136000,709149000,861431000,748186000,624442000,671087000,820049000,864532000,617158000,438335000,312707000,299830000,243157000,231006000,191981000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2971000,534000,139000,99000,81000,509000,1239000,1592000,2188000,1612000
70,Total Liabilities & Equity,- -,30800000,40900000,46300000,61500000,132000000,165500000,355500000,384700000,489700000,451700000,- -,383171000,248445000,248055000,479116000,537861000,655136000,709149000,861431000,748186000,624442000,674058000,820583000,864671000,617257000,438416000,313216000,301069000,244749000,233194000,193593000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/866609/000095012904001245/0000950129-04-001245-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012905002516/0000950129-05-002516-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012906003519/0000950129-06-003519-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012907001389/0000950129-07-001389-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000114420408012074/0001144204-08-012074-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012909000701/0000950129-09-000701-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012310019337/0000950123-10-019337-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000095012311017936/0000950123-11-017936-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000119312512078454/0001193125-12-078454-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660913000007/0000866609-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660914000010/0000866609-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660915000010/0000866609-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000162828016010990/0001628280-16-010990-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000162828017001062/0001628280-17-001062-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660918000006/0000866609-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660919000033/0000866609-19-000033-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000086660920000017/0000866609-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/866609/000143774921002669/0001437749-21-002669-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,5700000,7800000,9100000,16600000,24500000,38700000,16600000,56900000,-105600000,-10306000,9341000,-119874000,-23152000,-2979000,18779000,29341000,42644000,-221038000,-110059000,-36838000,24774000,63315000,-245860000,-128252000,-25122000,-65148000,-30242000,-71171000,-48199000,-37225000
74,Depreciation and Amortization,- -,- -,1100000,1100000,1900000,3300000,5600000,11900000,13200000,17300000,22200000,11652000,17781000,28776000,11222000,25593000,36704000,47047000,64429000,113584000,96360000,110735000,13917000,105282000,104874000,92030000,62311000,55310000,63694000,57751000,43198000,26296000
75,Deferred Income Tax,- -,- -,400000,-600000,200000,- -,-600000,-1600000,-2000000,200000,-43700000,- -,-976000,59992000,- -,- -,-718000,-1014000,2960000,-17549000,-38150000,22207000,-8131000,3686000,4844000,-437000,7444000,-1181000,-5420000,-6252000,-1940000,8547000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12671000,8147000,6344000,6598000,7476000,8707000,5486000,3267000,2552000,3337000,4701000,2043000
77,Change in Working Capital,- -,- -,-4500000,3700000,7900000,57800000,17400000,60400000,5100000,69200000,-25900000,-4769000,23234000,-89660000,18527000,-24392000,44686000,16581000,50180000,46633000,-326173000,238284000,-15589000,1016000,84164000,-26758000,-128939000,-76605000,-25183000,28733000,-43666000,8200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53552000,4006000,-27571000,41943000,69491000,20426000,1692000,-7024000,-3265000,19608000
79,Inventory,- -,- -,-4500000,100000,-800000,-5200000,-5900000,-29100000,-13600000,-13400000,-20700000,- -,1143000,19423000,-4877000,-40508000,7999000,-32697000,-11270000,-89998000,18582000,-16138000,-6641000,-7039000,-8906000,-13892000,2251000,2312000,190000,-353000,1067000,280000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,18100000,21800000,29700000,87500000,104900000,165300000,170400000,239600000,213700000,-900000,204600000,114940000,133467000,109075000,153761000,170342000,220522000,267155000,-59018000,179266000,163677000,164693000,248857000,222099000,93160000,16555000,-8628000,20105000,-23561000,1279000
82,Other Non-Cash Items,- -,- -,100000,-4700000,-26900000,-58200000,-57400000,-130400000,-52800000,-68500000,132000000,-308000,-31839000,135030000,-39667000,-18265000,-97576000,-33981000,-66453000,190085000,417337000,-209167000,108669000,-10816000,192089000,184490000,62296000,85928000,22629000,-5300000,80056000,1298000
83,Cash Provided by Operating Activities,- -,- -,2800000,7300000,-7800000,19500000,-10500000,-21000000,-19900000,75100000,-21000000,-3731000,17541000,14264000,-33070000,-20043000,1875000,57974000,93760000,111715000,51986000,133368000,129984000,169081000,147587000,129780000,-16524000,1571000,28030000,7098000,34150000,9159000
84,CAPEX,- -,- -,-1000000,-1800000,-3700000,-4000000,-11500000,-130700000,-27000000,-17800000,-15600000,-2837000,-9202000,-8230000,-4587000,-5022000,-5304000,-52791000,-11375000,-127901000,-2966000,-7372000,-11060000,-160504000,-131496000,-76049000,-64799000,-16372000,-24773000,-29790000,-31215000,-28368000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7608000,-3151000,- -,-174657000,-1850000,- -,- -,-232158000,- -,- -,-330000,- -,-29755000,-2074000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-49100000,-65300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,-700000,- -,-89694000,-64926000,-86500000,-3773000,-2000000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,114400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000000,20000000,4150000,14051000,- -,2698000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1000000,-900000,-7100000,-3700000,-2600000,-800000,-500000,- -,- -,2032000,501000,-2944000,5998000,-20353000,2966000,-63893000,5434000,1022000,99790000,-143732000,-145627000,-114454000,-52463000,-44295000,-14854000,-23710000,-28276000,-28804000,-27247000
89,Cash Used for Investing Activites,- -,- -,-1000000,-2800000,-4600000,-60200000,33900000,-133300000,-27800000,-18300000,-15600000,-2837000,-14778000,-10880000,-7531000,-173681000,-28007000,-49825000,-75968000,-354625000,-91638000,27492000,-181622000,-144277000,-158973000,-48750000,-63536000,-13644000,-24773000,-29790000,-31215000,-28368000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-106517000,-338987000,-6145000,-152702000,-101611000,-62998000,-7452000,-28634000,-4816000,-40807000,-42553000,-7159000
91,Common Stock Issued,- -,- -,- -,- -,1000000,1400000,4600000,131300000,4700000,13800000,40800000,823000,2775000,1815000,470000,155548000,32402000,4435000,13038000,41323000,- -,38039000,- -,- -,- -,- -,- -,- -,- -,46999000,- -,- -
