,https://roic.ai/company/PESI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,200000,7100000,12100000,29100000,37100000,31100000,27500000,30000000,44348000,57326000,69073000,76964000,77270000,88221000,85579000,81696000,53585000,73847000,91250000,91595000,106873000,131918000,80737000,58445000,61330000,56905000,53845000,53189000,70487000,102069000,78958000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,29000,16000,8000,3000,133000,285000,312000,226000,145000,65000,58000,41000,35000,27000,53000,110000,140000,295000,337000,140000,26000
13,Interest Expense (Gain),- -,200000,200000,400000,1000000,800000,- -,300000,- -,2657000,6004000,3947000,3911000,4211000,1912000,1539000,1498000,1454000,1940000,1167000,864000,818000,894000,808000,717000,597000,350000,251000,432000,398000,247000
14,Depreciation and Amortization,- -,300000,600000,1700000,2400000,2300000,2000000,2100000,2778000,3651000,4616000,4244000,4865000,5469000,4754000,4858000,3867000,4866000,4746000,4530000,4961000,5470000,4126000,4240000,3717000,4165000,3803000,1455000,1342000,1596000,1687000
15,EBITDA,-200000,-800000,-1100000,600000,-5700000,2700000,-1900000,2900000,4348000,5752000,10018000,10393000,11894000,-9681000,10837000,11615000,-3845000,8241000,14386000,10151000,18934000,1266000,-31580000,4240000,3927000,-11637000,-812000,-651000,4246000,4665000,-1285000
16,EBITDA ratio,-2.0000,-0.1333,-0.1089,0.0213,-0.1633,0.0871,-0.0669,0.0948,0.0936,0.0973,0.1345,0.1246,0.1401,-0.1161,0.1193,0.1321,-0.0711,0.1091,0.1429,0.1038,0.1596,0.0099,-0.4244,0.0743,0.0629,-0.2272,-0.0163,-0.0131,0.0578,0.0442,-0.0178
17,Operating Income,-100000,-1100000,-2000000,-900000,-2200000,-100000,900000,600000,2116000,1813000,5419000,6440000,7622000,-4848000,5287000,6233000,517000,2164000,9426000,6195000,11737000,-4424000,-34229000,-1719000,1133000,-15792000,-4736000,-3604000,2969000,3328000,-6769000
18,Operating Income ratio,-1.0000,-0.1833,-0.1980,-0.0319,-0.0630,-0.0032,0.0317,0.0196,0.0455,0.0307,0.0727,0.0772,0.0898,-0.0581,0.0582,0.0709,0.0096,0.0287,0.0936,0.0634,0.0990,-0.0347,-0.4600,-0.0301,0.0182,-0.3083,-0.0952,-0.0728,0.0404,0.0316,-0.0938
19,Total Other Income Expenses (Gains),- -,- -,300000,- -,-5800000,600000,-300000,200000,54000,247000,-46000,-307000,-601000,-10488000,-1786000,-1364000,- -,-1234000,-1776000,-1078000,-892000,-876000,-867000,-856000,-653000,-465000,-87000,1594000,-80000,-368000,3971000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3501000,4869000,517000,930000,7650000,5117000,10845000,-5300000,-35096000,-2575000,480000,-16257000,-4823000,-2010000,2889000,2960000,-2798000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0385,0.0554,0.0096,0.0123,0.0760,0.0523,0.0914,-0.0416,-0.4716,-0.0451,0.0077,-0.3174,-0.0969,-0.0406,0.0393,0.0281,-0.0388
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,432000,507000,- -,10000,-1922000,1846000,-955000,1250000,-625000,417000,543000,-2994000,-1285000,-936000,157000,-189000,-3890000
23,Net Income,-200000,-1300000,-1900000,-1500000,-9100000,-400000,-3900000,500000,1570000,-556000,-602000,2202000,3118000,-19361000,3739000,4711000,-9210000,1911000,9622000,2608000,14064000,-6272000,-35975000,-1225000,-1050000,-13405000,-3680000,-1421000,2315000,2860000,671000
24,Net Income ratio,-2.0000,-0.2167,-0.1881,-0.0532,-0.2607,-0.0129,-0.1373,0.0163,0.0338,-0.0094,-0.0081,0.0264,0.0367,-0.2322,0.0411,0.0536,-0.1702,0.0253,0.0956,0.0267,0.1186,-0.0492,-0.4835,-0.0215,-0.0168,-0.2617,-0.0739,-0.0287,0.0315,0.0271,0.0093
25,EPS,-0.35,-2.50,-2.20,-1.00,-5.75,-0.25,-2.00,-0.30,0.40,-0.20,-0.15,0.30,0.40,-2.40,0.40,0.50,-0.90,0.20,0.90,0.25,1.25,-0.55,-3.18,-0.11,-0.09,-1.15,-0.31,-0.12,0.19,0.24,0.06
26,EPS Diluted,-0.35,-2.50,-2.20,-1.00,-5.75,-0.25,-2.00,-0.30,0.35,-0.20,-0.15,0.25,0.40,-2.40,0.40,0.50,-0.90,0.20,0.90,0.25,1.25,-0.55,-3.18,-0.11,-0.09,-1.15,-0.31,-0.12,0.19,0.23,0.05
27,Weighted Average Shares Outstanding,571429,520000,863636,1000000,1582609,1752200,2130000,2405600,3497600,4311600,5447000,6843400,6996400,8095600,8521000,9631400,10509800,10760600,10847600,10989400,11059000,11225000,11319000,11443000,11516000,11608000,11706000,11855000,12046000,12139000,12139000
28,Weighted Average Shares Outstanding Diluted,571429,520000,863636,1000000,1582609,1752200,2142857,2666667,4244800,4311600,5447000,8523600,7887200,8095600,8960800,9753600,10658800,10800600,10905200,11006000,11063400,11225000,11319000,11443000,11552000,11608000,11706000,11855000,12060000,12347000,12347000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891532/0000948600-99-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891532/000094860002000029/0000948600-02-000029-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891532/000127528707001609/0001275287-07-001609-index.html,https://www.sec.gov/Archives/edgar/data/891532/000114420408019772/0001144204-08-019772-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114420409017702/0001144204-09-017702-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114420410013171/0001144204-10-013171-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114036111016053/0001140361-11-016053-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114036112015922/0001140361-12-015922-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114036113013725/0001140361-13-013725-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114036114016704/0001140361-14-016704-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000143774915006469/0001437749-15-006469-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000143774916028356/0001437749-16-028356-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000143774917005194/0001437749-17-005194-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000149315218003480/0001493152-18-003480-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000149315219004464/0001493152-19-004464-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000149315220004463/0001493152-20-004463-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000149315221007032/0001493152-21-007032-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000149315222009260/0001493152-22-009260-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,300000,800000,771000,498000,860000,212000,411000,215000,94000,1863000,102000,129000,141000,101000,12055000,4368000,333000,3680000,1435000,163000,1063000,810000,390000,7924000,4440000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,300000,800000,771000,498000,860000,212000,411000,215000,94000,1863000,102000,129000,141000,101000,12055000,4368000,333000,3680000,1435000,163000,1063000,810000,390000,7924000,4440000
34,Net Receivables,- -,- -,- -,- -,- -,5500000,6800000,6000000,13027000,16193000,17191000,21820000,24052000,27237000,28594000,29739000,23857000,26520000,22999000,17977000,29889000,20237000,13158000,15449000,14242000,11631000,12487000,10840000,21162000,24112000,11372000
35,Inventory,- -,- -,- -,- -,- -,100000,100000,100000,229000,655000,756000,682000,589000,882000,842000,847000,233000,344000,351000,465000,573000,473000,520000,498000,377000,370000,393000,449000,- -,610000,680000
36,Other Current Assets,- -,- -,- -,- -,- -,1600000,1500000,1100000,998000,2572000,1813000,2855000,2759000,4560000,3348000,3126000,8402000,2730000,5182000,6673000,9258000,5369000,6098000,3500000,4214000,2443000,3370000,2659000,3574000,3989000,13482000
37,Total Current Assets,- -,- -,- -,- -,- -,7200000,8700000,8000000,15025000,19918000,20620000,25569000,27811000,32894000,32878000,35575000,32594000,29723000,28673000,25216000,51775000,30447000,20109000,23127000,20268000,14607000,17313000,14758000,25126000,36635000,29974000
38,PP&E,- -,- -,- -,- -,- -,12600000,11000000,11900000,23270000,30689000,48373000,49925000,53069000,47261000,44480000,45920000,47309000,48085000,46378000,44652000,41485000,35314000,27427000,22824000,19993000,17115000,14870000,15739000,19121000,20070000,21069000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1330000,9046000,11320000,12352000,15330000,27063000,29186000,1330000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,8800000,8400000,4700000,15698000,20178000,27148000,27284000,22896000,14225000,14518000,13395000,18005000,17125000,18079000,18053000,21112000,20409000,19724000,2435000,18827000,10195000,9906000,9721000,9855000,875000,894000
41,Intangible Assets,- -,- -,- -,- -,- -,8800000,8400000,4700000,15698000,20178000,27148000,27284000,22896000,14225000,14518000,14725000,27051000,28445000,30431000,33383000,48175000,49595000,21054000,2435000,18827000,10195000,9906000,9721000,9855000,22133000,894000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,17424000,19354000,21272000,21307000,21334000,21380000,21487000,15676000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272000,- -,1295000,1103000,- -,- -,- -,- -,- -,- -,- -,- -,3527000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,400000,500000,4100000,651000,1986000,2996000,3047000,5869000,6075000,6649000,4777000,19077000,17459000,20321000,4640000,2019000,3300000,1703000,18916000,2597000,1931000,1773000,17224000,12413000,81000,21837000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,21800000,19900000,20700000,39619000,52853000,78517000,80256000,81834000,67561000,65647000,70422000,93437000,93989000,97402000,100099000,112328000,110584000,71491000,65509000,62797000,50728000,42225000,42684000,41389000,42284000,47327000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,29000000,28600000,28700000,54644000,72771000,99137000,105825000,109645000,100455000,98525000,105997000,126031000,123712000,126075000,125315000,164103000,141031000,91600000,88636000,83065000,65335000,59538000,57442000,66515000,78919000,77301000
48,Accounts Payable,- -,- -,- -,- -,- -,3700000,2300000,2400000,7587000,7763000,7167000,9759000,6359000,6529000,6053000,3922000,5010000,11076000,4927000,4891000,13117000,8657000,5462000,5350000,6109000,4244000,3537000,5497000,9277000,15382000,11975000
49,Short-Term Debt,- -,- -,- -,- -,- -,800000,900000,900000,2365000,6402000,2989000,3373000,2896000,6376000,2678000,2403000,15292000,2022000,3050000,3612000,3936000,2794000,2876000,3733000,2458000,1184000,1184000,1184000,1300000,273000,1132000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5115000,5169000,3575000,4978000,- -,8949000,3527000,6260000,3695000,4149000,4873000,2631000,2691000,4311000,6595000,5456000,4614000,5580000
52,Other Current Liabilities,- -,- -,- -,- -,- -,3500000,4800000,4300000,6473000,8582000,9633000,11706000,14397000,15371000,13062000,12865000,24468000,20511000,10257000,10857000,16913000,11994000,10580000,8414000,5979000,8619000,10549000,8235000,9067000,12694000,7227000
53,Total Current Liabilities,- -,- -,- -,- -,- -,8000000,8000000,7600000,16425000,22747000,19789000,24838000,23652000,33391000,26962000,22765000,49748000,33609000,27183000,22887000,40226000,27140000,23067000,22370000,17177000,16738000,19581000,21511000,25100000,32963000,25914000
54,Long-Term Debt,- -,- -,- -,- -,- -,4900000,4000000,4000000,12937000,19088000,28157000,27142000,26192000,12580000,10697000,5926000,2724000,14181000,9331000,6637000,15007000,11402000,11372000,7639000,7530000,7649000,2663000,2118000,2580000,3595000,3513000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1012000,5391000,5424000,2362000,1694000,586000,590000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,3500000,4400000,1100000,5463000,8916000,8065000,7975000,8074000,12236000,13713000,12853000,14831000,13001000,16042000,18572000,15607000,15137000,7848000,8186000,8517000,7715000,8439000,7094000,9009000,9910000,7290000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,8400000,8400000,5100000,18400000,28004000,36222000,35117000,34266000,24816000,24410000,18779000,17555000,27182000,25373000,25209000,30614000,26539000,20232000,21216000,21471000,17726000,12796000,9798000,12179000,13505000,10803000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449000,3523000,3530000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,16400000,16400000,12700000,34825000,50751000,56011000,59955000,57918000,58207000,51372000,41544000,67303000,60791000,52556000,48096000,70840000,53679000,43299000,43586000,38648000,34464000,32377000,31309000,37279000,46468000,10803000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1285000,1285000,- -,- -,- -,- -,1285000,- -,- -,56000,1285000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,21000,23000,35000,35000,37000,43000,46000,52000,54000,54000,55000,55000,- -,56000,11000,11000,11000,11000,12000,12000,12000,12000,13000
64,Retained Earnings,- -,- -,- -,- -,- -,-14300000,-20600000,-22200000,-20707000,-21469000,-22216000,-20172000,-17243000,-36794000,-33211000,-28500000,-37710000,-35799000,-26177000,-23569000,-9505000,-16005000,-55078000,-59758000,-60808000,-74213000,-77893000,-79630000,-77315000,-74455000,-73620000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-4600000,-5600000,-5800000,-7690000,-9961000,-11940000,-15219000,-19195000,-21282000,-25767000,-29942000,-20084000,-23762000,-28441000,-31753000,-35666000,-40376000,-43616000,-47123000,-49707000,-53323000,-56383000,-26532000,-26919000,-207,-28000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,31500000,38400000,44000000,48195000,53427000,77247000,79941000,86843000,100281000,106085000,122843000,116468000,121143000,128082000,132486000,138042000,141820000,146984000,150811000,155058000,159121000,162600000,133778000,135077000,108636207,114219000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,12600000,12200000,16000000,19819000,22020000,43126000,45870000,51727000,42248000,47153000,64453000,58728000,62921000,73519000,77219000,92871000,86780000,48301000,43941000,44554000,31596000,28336000,27628000,30855000,34193000,40584000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,29000000,28600000,28700000,54644000,72771000,99137000,105825000,109645000,100455000,98525000,105997000,126031000,123712000,126075000,125315000,163711000,140459000,91600000,87527000,83202000,66060000,60713000,58937000,68134000,80661000,51387000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,392000,572000,- -,1109000,-137000,-725000,-1175000,-1495000,-1619000,-1742000,25914000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,29000000,28600000,28700000,54644000,72771000,99137000,105825000,109645000,100455000,98525000,105997000,126031000,123712000,126075000,125315000,164103000,141031000,91600000,88636000,83065000,65335000,59538000,57442000,66515000,78919000,77301000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/891532/0000948600-99-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891532/000094860002000029/0000948600-02-000029-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891532/000127528707001609/0001275287-07-001609-index.html,https://www.sec.gov/Archives/edgar/data/891532/000114420408019772/0001144204-08-019772-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114420409017702/0001144204-09-017702-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114420410013171/0001144204-10-013171-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114036111016053/0001140361-11-016053-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114036112015922/0001140361-12-015922-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114036113013725/0001140361-13-013725-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000114036114016704/0001140361-14-016704-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000143774915006469/0001437749-15-006469-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000143774916028356/0001437749-16-028356-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000143774917005194/0001437749-17-005194-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000149315218003480/0001493152-18-003480-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000149315219004464/0001493152-19-004464-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000149315220004463/0001493152-20-004463-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000149315221007032/0001493152-21-007032-index.htm,https://www.sec.gov/Archives/edgar/data/891532/000149315222009260/0001493152-22-009260-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-200000,-1300000,-1900000,-1500000,-9100000,-400000,-3900000,500000,1570000,-556000,-602000,2202000,3118000,-19361000,3739000,4711000,-9210000,1911000,9622000,2608000,14064000,-6272000,-35975000,-1225000,-1050000,-13405000,-3680000,-1421000,2315000,2860000,671000
74,Depreciation and Amortization,- -,300000,600000,1700000,2400000,2300000,2000000,2100000,2778000,3651000,4616000,4244000,4865000,5469000,4754000,4858000,3867000,4866000,4746000,4530000,4961000,5470000,4126000,4240000,3717000,4165000,3803000,1455000,1342000,1596000,1687000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2426000,1819000,-3090000,1630000,-639000,539000,418000,-3062000,-668000,-1108000,4000,-119000,-3860000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,531000,964000,343000,345000,191000,125000,34000,92000,98000,144000,198000,179000,236000,250000
77,Change in Working Capital,100000,- -,- -,- -,- -,-800000,1500000,-300000,-1800000,-1429000,3660000,-100000,3428000,-4656000,6413000,6894000,-29964000,13268000,5376000,839000,9220000,-8242000,-6265000,3715000,2334000,-5222000,-137000,-4485000,6779000,3646000,388000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1358000,-77000,3215000,7125000,5929000,3769000,-713000,-968000,1070000,515000,139000,-5829000,3620000,-1739000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1147000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4217000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-800000,700000,400000,-1400000,-2829000,831000,731000,4159000,-497000,5916000,12810000,-17154000,-3886000,1490000,2329000,11549000,3307000,-2958000,757000,3091000,-2131000,-2268000,-6753000,26000,3672000,4060000
82,Other Non-Cash Items,- -,-500000,-600000,-2600000,6800000,-2400000,400000,-500000,-2811000,-1893000,-7878000,-733000,-7452000,25445000,-7512000,-14790000,42005000,-20111000,-9784000,-2409000,-4741000,3814000,35912000,-8735000,-6669000,17530000,980000,7321000,-15302000,-8219000,-5452000
83,Cash Provided by Operating Activities,-100000,-1500000,-1900000,-2400000,100000,-1300000,- -,1800000,-263000,-227000,-204000,5613000,3959000,6897000,7394000,1673000,6698000,465000,8498000,7730000,20759000,-3409000,-2716000,-1432000,-1158000,104000,442000,1960000,-4683000,- -,-6316000
84,CAPEX,- -,-600000,-1200000,-1900000,-2900000,-2100000,-1500000,-2000000,-1834000,-3170000,-4081000,-4761000,-2178000,-2736000,-2099000,-6347000,-2724000,-981000,-1518000,-1571000,-2303000,-412000,-944000,-464000,-623000,-436000,-439000,-1432000,-1535000,-1715000,-1577000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,7000000,- -,- -,-16000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-2000000,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4869000,-2944000,-1930000,-1918000,-35000,-27000,-46000,-107000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-300000,-2200000,-1300000,300000,100000,1100000,- -,300000,-1383000,-1978000,-9934000,4000,-1230000,-4018000,-425000,-495000,-1853000,-4267000,31000,-533000,7248000,1619000,-1452000,7074000,177000,128000,5910000,114000,123000,4000,13000
89,Cash Used for Investing Activites,-300000,-4800000,-2900000,800000,-2800000,-1000000,-1500000,-1700000,-3217000,-5148000,-14015000,-4757000,-3408000,-6754000,-2524000,-6842000,-7577000,1752000,-6356000,-5048000,-12985000,-711000,-1487000,6583000,-492000,-415000,5471000,-1318000,-1412000,-1711000,-1564000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9177000,-6496000,-3757000,-13348000,-3532000,-2796000,-2963000,-69085000,-59030000,-50185000,-55330000,-61267000,-615000,-75655000
91,Common Stock Issued,500000,6900000,1100000,3600000,- -,6400000,3500000,- -,143000,1516000,10635000,512000,2684000,10951000,1106000,12079000,472000,184000,631000,509000,1000000,- -,- -,1194000,981000,220000,- -,- -,- -,232000,427000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1800000,- -,- -,-800000,-4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,200000,3400000,-700000,-1600000,2400000,-2500000,-1700000,400000,4177000,3545000,3946000,-2016000,-3036000,-11290000,-6097000,-5141000,-2019000,6787000,3735000,601000,16528000,-35000,2964000,-35000,67614000,57854000,45163000,54750000,62259000,2275000,80171000
95,Cash Used/Provided by Financing Activities,700000,10300000,400000,2000000,2400000,2100000,1800000,400000,3520000,5057000,14581000,-1504000,-352000,-339000,-4991000,6938000,-1547000,-2206000,-2130000,-2647000,4180000,-3567000,168000,-1804000,-490000,-956000,-5022000,-580000,992000,1892000,4943000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105000,-5000,9000,-20000,19000,6000,-1000
97,Net Change In Cash,700000,10300000,400000,2000000,2400000,- -,- -,- -,40000,-318000,362000,-648000,199000,-196000,-121000,1769000,-2426000,11000,12000,35000,11954000,-7687000,-4035000,3347000,-2245000,-1272000,900000,42000,-5084000,7673000,-3459000
