,https://roic.ai/company/R,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,351500000,452300000,531100000,513900000,418100000,365100000,320800000,367600000,335200000,-3278219000,-3595274000,-4476957000,-3405154000,-3684117000,-3610152000,-3686588000,-2316396000,-2115967000,-2172964000,-2362140000,-1406210000,-2247992000,-3195421000,565580000,426173000,287572000,344234000,350909000,394074000,439805000,505909000,545258000,476278000,601421000,341148000,230495000,521598000
18,Operating Income ratio,0.1210,0.1200,0.1152,0.1022,0.0824,0.0707,0.0634,0.0708,0.0795,-0.6996,-0.6958,-0.8111,-0.6958,-0.7100,-0.7290,-0.6908,-0.4627,-0.4430,-0.4525,-0.4586,-0.2449,-0.3564,-0.4867,0.0912,0.0872,0.0560,0.0569,0.0561,0.0614,0.0662,0.0770,0.0803,0.0650,0.0715,0.0382,0.0274,0.0540
19,Total Other Income Expenses (Gains),-149400000,-174900000,-228300000,-290000000,-328300000,-226600000,-205900000,-169000000,-125400000,3538738000,3859660000,4459334000,3669106000,3941073000,3727646000,3827909000,2347102000,2291850000,2385439000,2693262000,1763298000,2640965000,3600885000,-215658000,-282404000,-101267000,-64847000,-47792000,-25179000,-101256000,-36694000,-138877000,-162492000,-227560000,-383419000,-360855000,171042000
20,Income Before Tax,202100000,277400000,302800000,223900000,89800000,138500000,114900000,198600000,209800000,260519000,264386000,-17623000,263952000,256956000,117494000,141321000,30706000,175883000,212475000,331122000,357088000,392973000,405464000,349922000,143769000,186305000,279387000,303117000,368895000,338549000,469215000,406381000,313786000,373861000,-42271000,-130360000,692640000
21,Income Before Tax Ratio,0.0696,0.0736,0.0657,0.0445,0.0177,0.0268,0.0227,0.0383,0.0498,0.0556,0.0512,-0.0032,0.0539,0.0495,0.0237,0.0265,0.0061,0.0368,0.0442,0.0643,0.0622,0.0623,0.0618,0.0564,0.0294,0.0363,0.0462,0.0484,0.0575,0.0510,0.0714,0.0599,0.0428,0.0445,-0.0047,-0.0155,0.0717
22,Income Tax expense (Gain),76800000,116500000,115700000,89200000,37600000,56300000,49200000,80700000,95100000,106990000,108961000,13664000,103714000,97885000,44577000,52289000,12028000,63318000,76916000,115513000,129460000,144014000,151603000,150041000,53652000,61697000,108019000,102218000,125699000,118090000,163226000,141741000,-477229000,98254000,-18999000,-18364000,171042000
23,Net Income,125300000,160900000,187100000,134700000,52200000,42700000,14000000,123900000,-61400000,153529000,147666000,-41318000,175685000,159071000,419678000,89032000,18678000,93666000,131436000,215609000,226929000,248959000,253861000,199881000,61945000,118170000,169777000,209979000,237792000,218575000,304768000,262477000,790558000,273298000,-24410000,-122250000,519041000
24,Net Income ratio,0.0431,0.0427,0.0406,0.0268,0.0103,0.0083,0.0028,0.0239,-0.0146,0.0328,0.0286,-0.0075,0.0359,0.0307,0.0847,0.0167,0.0037,0.0196,0.0274,0.0419,0.0395,0.0395,0.0387,0.0322,0.0127,0.0230,0.0281,0.0336,0.0370,0.0329,0.0464,0.0387,0.1079,0.0325,-0.0027,-0.0145,0.0537
25,EPS,1.73,2.09,2.29,1.61,0.50,0.43,0.05,1.51,-1.15,1.95,1.86,-0.51,2.28,2.18,6.12,1.49,0.31,1.52,2.09,3.35,3.56,4.09,4.28,3.59,1.16,2.31,3.32,4.09,4.46,4.12,5.70,4.91,14.93,5.15,-0.46,-2.28,9.87
26,EPS Diluted,1.73,2.09,2.29,1.61,0.50,0.43,0.05,1.51,-1.15,1.95,1.86,-0.51,2.25,2.16,6.11,1.49,0.31,1.50,2.06,3.28,3.52,4.04,4.24,3.52,1.11,2.25,3.28,4.09,4.46,4.11,5.70,4.90,14.87,5.15,-0.47,-2.34,9.66
27,Weighted Average Shares Outstanding,72427746,76985646,79475983,79875776,89200000,74651163,70000000,75099338,56521739,78732821,79390323,81015686,77054825,72968349,68574837,59753020,60251613,61622368,62888038,64360896,63744101,60873000,59324000,56552000,55339000,51174757,51143946,51371696,53335386,53039688,53490603,53463118,52955314,53116485,53278316,53732033,52338000
28,Weighted Average Shares Outstanding Diluted,72427746,76985646,79475983,79875776,89200000,74651163,70000000,75099338,56521739,78732821,79390323,81071429,78082222,73643981,68687070,59753020,60251613,62444000,63803883,65734451,64468466,61578000,59845000,56800000,55339000,51900000,51143946,51371696,53335386,53039688,53490603,53463118,53167451,53116485,53278316,53732033,53508000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/85961/000095014403002557/g80847e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014404001726/g87267e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014405001833/g93160e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014406001313/g99593e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014407001288/g05335e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014408000905/g11625e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014409001161/0000950144-09-001161-index.html,https://www.sec.gov/Archives/edgar/data/85961/000095012310012013/0000950123-10-012013-index.html,https://www.sec.gov/Archives/edgar/data/85961/000095012311013941/g25403e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000119312512065540/0001193125-12-065540-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596113000007/0000085961-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596114000006/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/85961/000008596115000012/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/85961/000008596116000079/0000085961-16-000079-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596117000013/0000085961-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596118000035/0000085961-18-000035-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596119000033/0000085961-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596120000089/0000085961-20-000089-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596121000073/0000085961-21-000073-index.htm,https://www.sec.gov/Archives/edgar/data/85961/000008596122000055/0000085961-22-000055-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,75878000,92857000,191384000,78370000,138353000,112993000,121970000,117866000,104237000,140627000,100971000,128727000,128639000,116459000,120305000,98525000,213053000,104572000,66392000,61562000,50092000,60945000,58801000,78348000,68111000,73584000,151294000,233961000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,75878000,92857000,191384000,78370000,138353000,112993000,121970000,117866000,104237000,140627000,100971000,128727000,128639000,116459000,120305000,98525000,213053000,104572000,66392000,61562000,50092000,60945000,58801000,78348000,68111000,73584000,151294000,233961000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,316855000,374689000,561927000,625955000,559141000,725815000,399623000,556309000,640309000,640769000,732835000,820825000,883478000,843662000,635376000,598661000,615003000,754644000,775765000,777370000,794864000,835489000,831947000,1010908000,1219426000,1228490000,1182350000,1464737000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,57124000,59699000,61345000,66006000,67605000,69845000,77810000,65366000,59104000,54806000,59284000,59579000,59318000,58810000,48324000,50146000,58701000,65912000,64146000,64298000,66007000,63725000,69529000,73543000,79228000,80822000,61191000,68677000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,308965000,356816000,333110000,321654000,344600000,300738000,328873000,242952000,220521000,270898000,334579000,154624000,190381000,203131000,147191000,133041000,136544000,163045000,133934000,159263000,165234000,138143000,141280000,159483000,201626000,179155000,200694000,693239000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,758822000,884061000,1147766000,1091985000,1109699000,1209391000,928276000,982493000,1024171000,1107100000,1227669000,1163755000,1261816000,1222062000,951196000,880373000,1023301000,1088173000,1040237000,1062493000,1076197000,1098302000,1101557000,1322282000,1568391000,1562051000,1595529000,2460614000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,3729392000,4437250000,3901199000,3727166000,3809920000,3676556000,3625432000,3045997000,3028491000,3552938000,3811309000,4281212000,5008300000,5020125000,5112040000,4722569000,4808061000,5673851000,6234155000,6996422000,7607677000,8735609000,8764574000,9026995000,10210718000,12208079000,9572496000,9261433000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155785000,159244000,166570000,198253000,216444000,355842000,377306000,384216000,383719000,393029000,389135000,386772000,395504000,475206000,475025000,475245000,570905000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,302600000,302700000,281900000,275000000,312600000,232200000,228118000,189163000,182560000,177594000,182424000,22462000,14387000,19231000,36705000,39120000,72269000,84820000,80475000,72406000,66619000,55192000,48249000,42930000,59075000,50905000,43216000,170205000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,302600000,302700000,281900000,275000000,312600000,232200000,228118000,189163000,182560000,177594000,182424000,178247000,173631000,185801000,234958000,255564000,428111000,462126000,464691000,456125000,459648000,444327000,435021000,438434000,534281000,525930000,518461000,741110000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26748000,25276000,16950000,19686000,17404000,18696000,22426000,32519000,38681000,41720000,48451000,61425000,59403000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6736000,14153000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,223659000,269804000,314524000,414909000,476382000,652303000,693097000,705958000,531760000,440971000,416531000,410050000,358428000,401385000,374364000,381638000,375497000,374989000,557470000,556223000,493783000,647851000,552851000,596359000,664138000,179274000,1245468000,1371166000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4255651000,5009754000,4497623000,4417075000,4598902000,4561059000,4546647000,3941118000,3742811000,4171503000,4410264000,4869509000,5567107000,5632587000,5738312000,5379457000,5629073000,6529662000,7278742000,8041289000,8599789000,9869507000,9800897000,10129949000,11482693000,12913283000,11336425000,11373709000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5014473000,5893815000,5645389000,5509060000,5708601000,5770450000,5474923000,4923611000,4766982000,5278603000,5637933000,6033264000,6828923000,6854649000,6689508000,6259830000,6652374000,7617835000,8318979000,9103782000,9675986000,10967809000,10902454000,11452231000,13051084000,14475334000,12931954000,13834323000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,422532000,380264000,321468000,305337000,399495000,334103000,379155000,255924000,277001000,299725000,384016000,414336000,515121000,383808000,295083000,262712000,294380000,391827000,398983000,475364000,560852000,502373000,445470000,599303000,731876000,594712000,547389000,747898000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,118103000,212077000,199958000,301361000,483334000,574253000,412738000,317087000,162369000,366411000,389550000,269438000,332745000,222698000,384262000,232617000,420124000,274366000,367975000,259438000,12207000,634530000,791410000,826069000,929952000,1154564000,595366000,1433595000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168881000,175149000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,871000,- -,- -,47711000,20698000,73228000,70977000,71147000,74907000,75289000,83907000,96211000,247778000,263314000,277332000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,552518000,527834000,633529000,482811000,479835000,541156000,510411000,440915000,422706000,407941000,681290000,569721000,419756000,411984000,431820000,354945000,369304000,486932000,432479000,425360000,449385000,468445000,431900000,503499000,534282000,628299000,647079000,742038000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1093153000,1120175000,1154955000,1089509000,1362664000,1449512000,1302304000,1013926000,862076000,1074077000,1454856000,1253495000,1267622000,1019361000,1111165000,850274000,1131519000,1173823000,1272665000,1231139000,1093591000,1680255000,1744069000,2012778000,2292321000,2625353000,2053148000,3200863000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1794795000,2411024000,2237010000,2267554000,2099697000,1819136000,1604242000,1391597000,1389099000,1449489000,1393666000,1915928000,2484198000,2553431000,2478537000,2265074000,2326878000,3107779000,3452821000,3929987000,4500275000,4883326000,4599864000,4583582000,5693646000,6770224000,6280084000,5501879000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12184000,- -,6236000,6239000,5929000,5085000,4569000,3638000,3390000,441547000,449279000,410657000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,570653000,648373000,686143000,726025000,807623000,1011095000,1017304000,1003145000,933713000,893699000,870669000,849117000,907166000,984361000,917365000,1035874000,1108856000,1121493000,1177074000,1390881000,1475970000,1587522000,1688681000,1208766000,1304844000,1161444000,1125733000,1274804000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,426848000,474218000,461275000,365264000,343003000,285802000,298365000,284274000,473879000,516953000,408554000,487268000,449158000,409907000,837280000,681613000,668624000,896587000,942696000,648822000,780747000,824510000,812996000,808451000,846556000,1000456000,768153000,648174000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2792296000,3533615000,3384428000,3358843000,3250323000,3116033000,2919911000,2679016000,2796691000,2860141000,2672889000,3252313000,3840522000,3947699000,4233182000,3982561000,4116542000,5125859000,5578827000,5975929000,6762921000,7300443000,7106110000,6604437000,7848436000,9373671000,8623249000,7835514000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223646000,265214000,355805000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3885449000,4653790000,4539383000,4448352000,4612987000,4565545000,4222215000,3692942000,3658767000,3934218000,4127745000,4505808000,5108144000,4967060000,5344347000,4832835000,5248061000,6299682000,6851492000,7207068000,7856512000,8980698000,8850179000,8617215000,10140757000,11999024000,10676397000,11036377000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,539101000,550197000,496292000,328117000,610543000,513083000,524432000,537556000,575503000,626087000,32155000,30935000,30220000,28883000,27829000,- -,25587000,25572000,25686000,26667000,26520000,26745000,26732000,26478000,26559000,26639000,26866000,26896000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,603226000,703520000,613887000,743713000,504105000,714544000,767802000,750232000,806761000,897841000,963482000,1038364000,1123789000,1160132000,1105369000,1036178000,1019785000,1090363000,1221190000,1390756000,1450896000,1667080000,1827026000,2465022000,2710696000,2177513000,1912942000,2265957000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2646000000,-512900000,-513500000,-475300000,-534100000,-574800000,-2048278000,-2275067000,-2840711000,-3212409000,-3442923000,-203000000,-146000000,-31000000,-544000000,-379000000,-377000000,-567000000,-588000000,-438000000,-620000000,-713000000,-834000000,-708000000,-912000000,-836000000,-817205000,-689241000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2632697000,499208000,509327000,464178000,515066000,552078000,2008752000,2217948000,2566662000,3032866000,3957474000,661157000,712770000,729574000,755963000,769817000,735941000,769218000,808611000,917291000,962058000,1006286000,1032517000,1051516000,1085072000,1108158000,1132954000,1194334000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1129024000,1240025000,1106006000,1060708000,1095614000,1204905000,1252708000,1230669000,1108215000,1344385000,1510188000,1527456000,1720779000,1887589000,1345161000,1426995000,1404313000,1318153000,1467487000,1896714000,1819474000,1987111000,2052275000,2835016000,2910327000,2476310000,2255557000,2797946000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5014473000,5893815000,5645389000,5509060000,5708601000,5770450000,5474923000,4923611000,4766982000,5278603000,5637933000,6033264000,6828923000,6854649000,6689508000,6259830000,6652374000,7617835000,8318979000,9103782000,9675986000,10967809000,10902454000,11452231000,13051084000,14475334000,12931954000,13834323000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5014473000,5893815000,5645389000,5509060000,5708601000,5770450000,5474923000,4923611000,4766982000,5278603000,5637933000,6033264000,6828923000,6854649000,6689508000,6259830000,6652374000,7617835000,8318979000,9103782000,9675986000,10967809000,10902454000,11452231000,13051084000,14475334000,12931954000,13834323000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/85961/000095014403002557/g80847e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014404001726/g87267e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014405001833/g93160e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014406001313/g99593e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014407001288/g05335e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014408000905/g11625e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000095014409001161/0000950144-09-001161-index.html,https://www.sec.gov/Archives/edgar/data/85961/000095012310012013/0000950123-10-012013-index.html,https://www.sec.gov/Archives/edgar/data/85961/000095012311013941/g25403e10vk.htm,https://www.sec.gov/Archives/edgar/data/85961/000119312512065540/0001193125-12-065540-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596113000007/0000085961-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596114000006/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/85961/000008596115000012/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/85961/000008596116000079/0000085961-16-000079-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596117000013/0000085961-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596118000035/0000085961-18-000035-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596119000033/0000085961-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596120000089/0000085961-20-000089-index.html,https://www.sec.gov/Archives/edgar/data/85961/000008596121000073/0000085961-21-000073-index.htm,https://www.sec.gov/Archives/edgar/data/85961/000008596122000055/0000085961-22-000055-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,52200000,42700000,14000000,123900000,-61400000,153529000,147666000,-41318000,175685000,159071000,419678000,89032000,18678000,93666000,131436000,215609000,226929000,248959000,253861000,199881000,61945000,118170000,169777000,209979000,237792000,218575000,304768000,262477000,790558000,273298000,-24410000,-122250000,519041000
74,Depreciation and Amortization,- -,- -,- -,- -,-625200000,-616100000,-603400000,-573500000,-543300000,591669000,664073000,713344000,592279000,604281000,566765000,580356000,545485000,552491000,624580000,706028000,754771000,757394000,814011000,868481000,922517000,874741000,912190000,988886000,1013530000,1087522000,1210684000,1255310000,1267289000,1426117000,1980218000,2142932000,1811355000
75,Deferred Income Tax,- -,- -,- -,- -,-6400000,-21900000,-1700000,20500000,44900000,56648000,93807000,-8448000,124516000,108806000,250041000,73239000,-1889000,52615000,51467000,9815000,-24910000,76235000,64396000,128246000,92683000,41097000,90016000,87102000,113581000,104761000,154042000,124886000,-499783000,104602000,-32331000,-32865000,126153000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13643000,16754000,17076000,16404000,16543000,17423000,18864000,19310000,20905000,21181000,18664000,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-17300000,- -,- -,- -,- -,-334331000,98217000,228925000,9665000,-255441000,12844000,-133907000,342595000,193528000,-129072000,-260210000,137447000,83934000,208507000,-362670000,190068000,-138317000,22568000,-146778000,63782000,151252000,-564559000,-60559000,-47984000,-33434000,-339372000,605683000,-309881000
