,https://roic.ai/company/MSM,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,3500000,5900000,7800000,9200000,14407000,16880000,15989000,15360000,12714000,13533000,15403000,26031000,27349000,26950000,26049000,29159000,34723000,49479000,64946000,69729000,71930000,62980000,63154000,65377000,69079000,68846000
15,EBITDA,37500000,65400000,86000000,90000000,102507000,90680000,76177000,99760000,145800000,195317000,237184000,305495000,340665000,232497000,268044000,378761000,447075000,435072000,448378000,449210000,449468000,443342000,483806000,465464000,419361000,370705000
16,EBITDA ratio,0.1228,0.1493,0.1475,0.1381,0.1293,0.1043,0.0959,0.1181,0.1526,0.1776,0.1800,0.1810,0.1914,0.1561,0.1584,0.1873,0.1898,0.1770,0.1609,0.1543,0.1570,0.1535,0.1510,0.1384,0.1314,0.1143
17,Operating Income,34500000,58800000,76100000,81700000,93298000,87463000,59975000,82938000,130708000,177660000,220866000,290883000,319528000,204718000,241819000,349765000,412216000,385526000,383184000,379529000,375960000,379000000,420553000,399996000,350740000,301769000
18,Operating Income ratio,0.1130,0.1342,0.1305,0.1254,0.1177,0.1006,0.0755,0.0982,0.1368,0.1615,0.1676,0.1723,0.1795,0.1374,0.1429,0.1730,0.1750,0.1569,0.1375,0.1304,0.1313,0.1312,0.1313,0.1189,0.1099,0.0930
19,Total Other Income Expenses (Gains),-500000,700000,2100000,-900000,-5198000,-13663000,213000,1462000,2292000,4140000,934000,-11383000,-6128000,-2818000,-1019000,-465000,-116000,-2097000,-3684000,-6388000,-4229000,-11008000,-14364000,-16867000,-16490000,-13390000
20,Income Before Tax,34000000,59500000,78200000,80800000,88100000,73800000,60188000,84400000,133000000,181800000,221800000,279500000,313400000,201900000,240800000,349300000,412100000,383429000,379500000,373141000,371731000,367992000,406189000,383129000,334250000,288379000
21,Income Before Tax Ratio,0.1114,0.1358,0.1341,0.1240,0.1111,0.0849,0.0758,0.0999,0.1392,0.1653,0.1683,0.1656,0.1761,0.1355,0.1423,0.1728,0.1749,0.1560,0.1362,0.1282,0.1298,0.1274,0.1268,0.1139,0.1047,0.0889
22,Income Tax expense (Gain),13400000,23500000,30900000,31900000,35200000,33300000,23773000,32300000,51886000,69484000,85381000,105564000,117116000,76818000,90455000,130544000,153111000,145434000,143458000,141833000,140515000,136561000,76966000,94332000,82492000,70442000
23,Net Income,20600000,36000000,47300000,48900000,52900000,40500000,36415000,52100000,81200000,112300000,136400000,173900000,196200000,125100000,150400000,218800000,259000000,237995000,236100000,231308000,231216000,231431000,329223000,288865000,251117000,216907000
24,Net Income ratio,0.0675,0.0822,0.0811,0.0751,0.0667,0.0466,0.0459,0.0617,0.0850,0.1021,0.1035,0.1030,0.1102,0.0840,0.0889,0.1082,0.1099,0.0968,0.0847,0.0795,0.0807,0.0801,0.1028,0.0859,0.0787,0.0669
25,EPS,0.48,0.53,0.70,0.73,0.79,0.59,0.53,0.78,1.21,1.65,2.04,2.64,3.08,2.02,2.39,3.45,4.12,3.77,3.78,3.75,3.78,4.08,5.84,5.23,4.53,3.89
26,EPS Diluted,0.48,0.53,0.69,0.72,0.78,0.58,0.51,0.77,1.17,1.61,2.00,2.59,3.04,2.00,2.37,3.43,4.09,3.75,3.76,3.74,3.77,4.05,5.80,5.20,4.51,3.87
27,Weighted Average Shares Outstanding,60869565,66750000,67571429,66986301,67215000,68198000,68918000,66537000,67056000,67934000,66827000,65800000,63743000,61798000,62438000,62902000,62434000,62695000,62026000,61292000,60908000,56591000,56355000,55245000,55472000,55737000
28,Weighted Average Shares Outstanding Diluted,60869565,66750000,68550725,67916667,68203000,69449000,70783000,67912000,69548000,69889000,68319000,67057000,64659000,62580000,62930000,63324000,62803000,63011000,62339000,61487000,61076000,56971000,56707000,55508000,55643000,56093000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1003078/000088981296001842/0000889812-96-001842-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000088981297002541/0000889812-97-002541-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000088981298002747/0000889812-98-002747-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000100547799005467/0001005477-99-005467-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000100547700007902/0001005477-00-007902-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000095013601501744/0000950136-01-501744-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000095013602003339/0000950136-02-003339-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000104746903036188/0001047469-03-036188-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000110465904034382/0001104659-04-034382-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000110465905054215/0001104659-05-054215-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000110465906073559/0001104659-06-073559-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000104746907008197/0001047469-07-008197-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000104746908011298/0001047469-08-011298-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000114420409054200/0001144204-09-054200-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000114420410055172/0001144204-10-055172-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000114420411059451/0001144204-11-059451-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000114420412058651/0001144204-12-058651-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000114420413057653/0001144204-13-057653-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307814000013/0001003078-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307815000093/0001003078-15-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307816000362/0001003078-16-000362-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307817000307/0001003078-17-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307818000281/0001003078-18-000281-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307819000232/0001003078-19-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307820000283/0001003078-20-000283-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307821000199/0001003078-21-000199-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1700000,13400000,8600000,2700000,3200000,12500000,59978000,114300000,39500000,41000000,7700000,7800000,42800000,225600000,121200000,96000000,168500000,55876000,47200000,38267000,52890000,16083000,46217000,32286000,125211000,40536000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,6000000,4300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1700000,13400000,8600000,2700000,3200000,12500000,59978000,114300000,45500000,45300000,7700000,7800000,42800000,225600000,121200000,96000000,168500000,55876000,47200000,38267000,52890000,16083000,46217000,32286000,125211000,40536000
34,Net Receivables,41000000,56100000,72900000,90000000,98800000,95300000,94322000,93600000,114100000,126500000,185700000,204200000,216400000,165400000,221000000,266500000,297200000,345366000,382800000,403468000,392463000,471795000,523892000,541091000,491743000,560373000
35,Inventory,152600000,163000000,158100000,225500000,264500000,233100000,205563000,201600000,225400000,231200000,298400000,338400000,320400000,246600000,286000000,344900000,393400000,419012000,449800000,506631000,444221000,464959000,518496000,559136000,543106000,624169000
36,Other Current Assets,17300000,11500000,14800000,9800000,8700000,11000000,11029000,23100000,26400000,29000000,35700000,39400000,43100000,45100000,48300000,51000000,61000000,73235000,81600000,83710000,91917000,52742000,58902000,67099000,77710000,89167000
37,Total Current Assets,212600000,244000000,254400000,328000000,375200000,351900000,370892000,432600000,411400000,432000000,527500000,589800000,622700000,682700000,676500000,758400000,920100000,893489000,961400000,1032076000,981491000,1005579000,1147507000,1199612000,1237770000,1314245000
38,PP&E,39000000,49700000,77500000,106800000,116400000,121100000,112721000,106900000,103300000,102200000,122100000,127600000,128900000,131900000,143600000,148800000,174600000,251536000,294300000,291156000,320544000,316305000,311685000,310854000,358152000,347427000
39,Goodwill,- -,34300000,58600000,67100000,65100000,63400000,- -,63200000,63200000,63200000,271700000,272800000,272100000,271800000,271800000,277400000,289100000,630318000,629300000,623626000,624081000,633728000,674998000,677266000,677579000,692704000
40,Intangible Assets,8200000,- -,- -,- -,- -,- -,63202000,- -,- -,- -,76300000,70800000,62900000,55800000,48800000,48300000,51200000,155324000,138300000,119805000,105307000,110429000,122724000,116668000,104873000,101854000
41,Intangible Assets,8200000,34300000,58600000,67100000,65100000,63400000,63202000,63200000,63200000,63200000,348000000,343600000,335000000,327600000,320600000,325700000,340300000,785642000,767600000,743431000,729388000,744157000,797722000,793934000,782452000,794558000
42,Investments,- -,- -,- -,- -,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,3300000,6800000,8500000,12400000,16100000,- -,28800000,25200000,27600000,29300000,32000000,42000000,56800000,63200000,79100000,85100000,- -,112800000,131210000,148201000,115056000,99714000,- -,- -,- -
44,Other Non-Current Assets,5700000,3500000,4400000,4000000,2900000,1400000,16133000,-12500000,126300000,26600000,-12600000,-17700000,-25900000,-41500000,-50600000,-67600000,-75200000,12336000,-75400000,-97687000,-114673000,-82185000,-67901000,6837000,4056000,5885000
45,Total Non-Current Assets,52900000,90800000,147300000,186400000,205800000,202000000,192056000,186400000,318000000,219600000,486800000,485500000,480000000,474800000,476800000,486000000,524800000,1049514000,1099300000,1068110000,1083460000,1093333000,1141220000,1111625000,1144660000,1147870000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,265500000,334800000,401700000,514400000,581000000,553900000,562948000,619000000,729400000,651600000,1014300000,1075300000,1102700000,1157500000,1153300000,1244400000,1444900000,1943003000,2060700000,2100186000,2064951000,2098912000,2288727000,2311237000,2382430000,2462115000
48,Accounts Payable,2500000,11500000,14700000,23500000,30200000,25800000,31561000,30100000,36200000,36600000,56900000,69600000,54500000,55300000,81200000,95500000,96600000,113636000,116300000,114328000,110601000,121266000,145133000,160110000,125775000,186330000
49,Short-Term Debt,13300000,- -,- -,- -,- -,- -,213000,169000,142000,151000,7843000,33471000,91000000,95000000,39361000,- -,1007000,14184000,70000000,188000000,217000000,331986000,224097000,175453000,144063000,216360000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14110000,25866000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,11051000,10000000,10166000,14289000,18705000,23807000,27956000,27849000,28531000,31718000,- -,41253000,44643000,46627000,115056000,99714000,- -,- -,- -
52,Other Current Liabilities,33000000,42200000,55900000,57300000,48300000,37900000,39858000,37280000,38658000,45883000,73668000,51524000,81293000,77544000,41890000,48169000,41175000,85759000,81647000,75016000,104374000,-10583000,21579000,111353000,138895000,159238000
53,Total Current Liabilities,48800000,53700000,70600000,80800000,78500000,63700000,71632000,78600000,85000000,92800000,152700000,173300000,250600000,255800000,190300000,172200000,170500000,213579000,309200000,421987000,478602000,557725000,490523000,446916000,408733000,561928000
54,Long-Term Debt,42200000,2700000,2400000,69500000,68400000,1500000,1308000,1100000,1000000,800000,193000000,142200000,98500000,39400000,- -,- -,2200000,241566000,240200000,214119000,339772000,200991000,311236000,266431000,531397000,620045000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1800000,- -,- -,- -,- -,- -,15329000,- -,- -,- -,- -,- -,- -,- -,- -,79109000,85061000,97475000,112785000,131210000,148201000,115056000,99714000,114011000,121727000,108827000
57,Other Non-Current Liabilities,100000,3400000,6900000,8500000,12400000,16100000,- -,28900000,25200000,27600000,29300000,32000000,42000000,56800000,63100000,-9000,39000,- -,15000,- -,- -,- -,- -,- -,- -,9443000
58,Total Non-Current Liabilities,44100000,6100000,9300000,78000000,80800000,17600000,16637000,30000000,26200000,28400000,222300000,174200000,140500000,96200000,63100000,79100000,87300000,339041000,353000000,345329000,487973000,316047000,410950000,380442000,653124000,738315000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3196000,- -,- -,- -,- -,- -,- -,- -,56194000,50356000
61,Total Liabilities,92900000,59800000,79900000,158800000,159300000,81300000,88269000,108600000,111200000,121200000,375000000,347500000,391100000,352000000,253400000,251300000,257800000,552620000,662200000,767316000,966575000,873772000,901473000,827358000,1061857000,1300243000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,100000,100000,100000,100000,70000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,69000,100000,69000,65000,66000,65000,56000,57000,57000
64,Retained Earnings,29500000,65500000,112800000,161700000,213600000,253700000,283348000,331600000,393300000,376300000,477300000,609700000,758300000,577300000,676000000,775100000,971000000,1132868000,1286100000,1232381000,1040148000,1168812000,1325822000,946651000,749515000,532315000
65,Other Comprehensive Income/Loss,-14200000,-3400000,-2400000,-1400000,-400000,-55300000,-69624000,-84900000,-2600000,-11200000,-116900000,1000000,-1000000,-2000000,-3000000,-2000000,-2000000,-4000000,-5000000,-17000000,-19000000,-17000000,-20000000,-23000000,-21418000,-17984000
66,Other Total Stockholders Equity,157300000,212900000,211300000,195200000,208400000,274100000,260885000,263555000,227406000,165216000,278773000,117077000,-45788000,230136000,226780000,219912000,218011000,261446000,117363000,117420000,77163000,73262000,81367000,554843000,586791000,636483000
67,Total Stockholders Equity,172600000,275000000,321800000,355600000,421700000,472600000,474679000,510355000,618206000,530416000,639273000,727877000,711612000,805536000,899880000,993112000,1187111000,1390383000,1398563000,1332870000,1098376000,1225140000,1387254000,1478550000,1314945000,1150871000
68,Total Liabilities And Stockholders Equity,265500000,334800000,401700000,514400000,581000000,553900000,562948000,618955000,729406000,651616000,1014273000,1075377000,1102712000,1157536000,1153280000,1244412000,1444911000,1943003000,2060763000,2100186000,2064951000,2098912000,2288727000,2305908000,2376802000,2451114000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,45000,-6000,-16000,27000,-77000,-12000,-36000,20000,-12000,-11000,- -,-63000,- -,- -,- -,- -,5329000,5628000,11001000
70,Total Liabilities & Equity,265500000,334800000,401700000,514400000,581000000,553900000,562948000,619000000,729400000,651600000,1014300000,1075300000,1102700000,1157500000,1153300000,1244400000,1444900000,1943003000,2060700000,2100186000,2064951000,2098912000,2288727000,2311237000,2382430000,2462115000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1003078/000088981296001842/0000889812-96-001842-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000088981297002541/0000889812-97-002541-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000088981298002747/0000889812-98-002747-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000100547799005467/0001005477-99-005467-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000100547700007902/0001005477-00-007902-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000095013601501744/0000950136-01-501744-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000095013602003339/0000950136-02-003339-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000104746903036188/0001047469-03-036188-index.html,https://www.sec.gov/Archives/edgar/data/1003078/000110465904034382/0001104659-04-034382-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000110465905054215/0001104659-05-054215-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000110465906073559/0001104659-06-073559-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000104746907008197/0001047469-07-008197-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000104746908011298/0001047469-08-011298-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000114420409054200/0001144204-09-054200-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000114420410055172/0001144204-10-055172-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000114420411059451/0001144204-11-059451-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000114420412058651/0001144204-12-058651-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000114420413057653/0001144204-13-057653-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307814000013/0001003078-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307815000093/0001003078-15-000093-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307816000362/0001003078-16-000362-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307817000307/0001003078-17-000307-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307818000281/0001003078-18-000281-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307819000232/0001003078-19-000232-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307820000283/0001003078-20-000283-index.htm,https://www.sec.gov/Archives/edgar/data/1003078/000100307821000199/0001003078-21-000199-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,20600000,36000000,47300000,48900000,52900000,40500000,36415000,52100000,81200000,112300000,136400000,173900000,196200000,125100000,150400000,218800000,259000000,237995000,236100000,231308000,231216000,231431000,329223000,288865000,251117000,216907000
74,Depreciation and Amortization,3500000,5900000,7800000,9200000,14407000,16880000,15989000,15360000,12714000,13533000,15403000,26031000,27349000,26950000,26049000,29159000,34723000,49479000,64946000,69729000,71930000,62980000,63154000,65377000,69079000,68846000
75,Deferred Income Tax,-7800000,2200000,1400000,7500000,4830000,2903000,-406000,6798000,-2617000,2213000,-2361000,-1765000,4975000,4389000,6456000,15270000,2765000,6360000,11829000,15035000,15007000,13482000,-19577000,14297000,7719000,-13611000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10904000,13525000,7412000,15262000,15824000,16688000,14195000,13985000,13925000,14934000,16283000,16932000,17721000
77,Change in Working Capital,-56200000,26500000,-6500000,63400000,49500000,-8500000,11060000,54740000,-27600000,12800000,35600000,41700000,-44400000,54800000,59300000,100000000,163400000,-69690000,-27710000,-42111000,-107200000,-55035000,209130000,95712000,76341000,-76720000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45877000,-57884000,-38304000,-30213000,-15630000,-41460000,-29347000,2595000,-72230000,-49827000,-26948000,36772000,-73041000
79,Inventory,-59900000,5900000,9200000,-64000000,-38952000,31363000,27568000,3961000,-23825000,-5772000,-19172000,-39484000,16991000,72868000,-39748000,-46895000,-45306000,23409000,-30342000,-59008000,61047000,-15871000,-33235000,-32528000,16462000,-107037000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,163800000,190300000,183800000,247200000,296700000,288200000,299260000,354000000,326400000,339200000,374800000,416500000,372100000,426900000,486200000,586200000,749600000,679910000,652200000,610089000,502889000,447854000,656984000,752696000,829037000,752317000
82,Other Non-Cash Items,9000000,-24800000,-3200000,-134400000,-101270000,39122000,21812000,-45322000,3220000,-15714000,-51534000,-74683000,34431000,63305000,-105873000,-160679000,-240866000,85469000,-29447000,-38365000,176165000,-19942000,-257206000,-152108000,-24449000,11319000
83,Cash Provided by Operating Activities,-30900000,45800000,46800000,-5400000,20367000,90905000,84870000,83676000,66917000,125132000,133508000,165183000,218555000,285448000,149857000,209962000,234284000,325437000,272406000,249791000,401103000,246841000,339658000,328426000,396739000,224462000
84,CAPEX,-26900000,-13500000,-32500000,-35500000,-21626000,-20228000,-7848000,-9623000,-8664000,-11412000,-22837000,-26457000,-20839000,-22740000,-30304000,-25479000,-47691000,-89252000,-70617000,-51405000,-87930000,-46548000,-44919000,-51773000,-46991000,-53746000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-356095000,-12734000,- -,- -,- -,-28948000,-33451000,-548769000,1434000,- -,- -,-42345000,-87000000,-11625000,-2286000,-22000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-200127000,-106795000,-132131000,- -,- -,- -,- -,- -,- -,- -,-25023000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,56070000,205573000,177290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27025000,- -,- -
88,Other Investing Activites,-10500000,-33900000,-19400000,-12800000,-9411000,-1809000,- -,- -,- -,- -,- -,- -,1711000,448000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53746000
89,Cash Used for Investing Activites,-37400000,-47400000,-51900000,-48300000,-31037000,-22037000,-7848000,-9623000,-152721000,87366000,-333773000,-39191000,-19128000,-22292000,-30304000,-54427000,-81142000,-638021000,-94206000,-51405000,-87930000,-88893000,-131919000,-36373000,-49277000,-75746000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43729000,-154109000,-39361000,-1385000,-121300000,-79351000,-245290000,-302090000,-619675000,-350000000,-479370000,-938189000,-401784000
91,Common Stock Issued,132600000,65900000,1600000,2500000,13036000,7300000,14846000,6396000,37423000,23687000,17050000,15302000,9730000,2644000,2598000,2983000,- -,3785000,3998000,4285000,4084000,4243000,4461000,4600000,- -,- -
92,Common Stock Repurchased,- -,-500000,-400000,-21400000,-749000,- -,-44146000,-22598000,-6754000,-104759000,-20839000,-81534000,-187187000,-1206000,-48244000,-69279000,-44711000,-3773000,-191359000,-33414000,-383798000,-49182000,-82369000,-84611000,-3444000,-91261000
93,Dividends Paid,-63100000,- -,- -,- -,- -,- -,- -,-3315000,-19480000,-129765000,-36336000,-42298000,-47609000,-49879000,-51726000,-119257000,-63024000,-75860000,-82607000,-284231000,-105778000,-102216000,-125430000,-145709000,-444171000,-362650000
94,Other Financing Activites,-200000,-52000000,-800000,66600000,-1133000,-66911000,-210000,-220000,-162000,-158000,207088000,-17469000,60801000,11905000,27577000,44101000,28502000,397209000,162280000,351605000,489214000,572084000,375752000,399461000,1131186000,621948000
95,Cash Used/Provided by Financing Activities,69300000,13400000,400000,47700000,11154000,-59611000,-29510000,-19737000,11027000,-210995000,166963000,-125999000,-164265000,-80265000,-223904000,-180813000,-80618000,200061000,-187039000,-207045000,-298368000,-194746000,-177586000,-305629000,-254618000,-233747000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000,-116000,-162000,-30000,46000,-30000,-54000,117000,-228000,-182000,-9000,-19000,-355000,81000,356000
97,Net Change In Cash,69300000,13400000,400000,-5900000,484000,9257000,47512000,54316000,-74777000,1503000,-33302000,79000,35046000,182729000,-104381000,-25232000,72494000,-112577000,-8722000,-8887000,14623000,-36807000,30134000,-13931000,92925000,-84675000
98,Cash at the End of Period,- -,- -,- -,2700000,3209000,12466000,59978000,114294000,39517000,41020000,7718000,7797000,42843000,225572000,121191000,95959000,168453000,55876000,47154000,38267000,52890000,16083000,46217000,32286000,125211000,40536000
99,Cash at the Beginning of Period,700000,1700000,13400000,8600000,2725000,3209000,12466000,59978000,114294000,39517000,41020000,7718000,7797000,42843000,225572000,121191000,95959000,168453000,55876000,47154000,38267000,52890000,16083000,46217000,32286000,125211000
100,Free Cash Flow,-57800000,32300000,14300000,-40900000,-1259000,70677000,77022000,74053000,58253000,113720000,110671000,138726000,197716000,262708000,119553000,184483000,186593000,236185000,201789000,198386000,313173000,200293000,294739000,276653000,349748000,170716000
