,https://roic.ai/company/KAI,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,8300000,7700000,12400000,13200000,8700000,- -,9800000,8800000,18200000,10300000,9700000,- -,10800000,25999000,13000000,12300000,- -,17000000,8400000,14078000,16700000,19500000,- -,19200000,11881000,13667000,12193000,19173000,- -,18208000
37,Total Current Assets,101000000,87300000,109100000,142300000,182400000,- -,247500000,256300000,251800000,212500000,120400000,- -,161800000,155361000,168400000,207300000,- -,177000000,131300000,174291000,175600000,206300000,- -,183700000,207350000,266023000,252761000,297576000,- -,289820000
38,PP&E,13700000,22400000,21500000,21200000,26500000,- -,28300000,31700000,29600000,28500000,25500000,- -,25800000,32907000,40900000,41900000,- -,41600000,38400000,40095000,39200000,44900000,- -,45000000,47704000,79723000,80157000,113171000,- -,84642000
39,Goodwill,- -,- -,- -,- -,39500000,- -,128700000,126800000,119100000,116300000,72200000,- -,73500000,- -,137100000,140800000,- -,95000000,97600000,105959000,107900000,131900000,- -,127900000,151455000,268001000,258174000,336032000,- -,351753000
40,Intangible Assets,16000000,31400000,30800000,34900000,900000,- -,3700000,3300000,9600000,6900000,5400000,- -,4500000,160687000,34700000,32900000,- -,30100000,28100000,29053000,26100000,47900000,- -,47000000,52730000,133036000,113347000,173896000,- -,160965000
41,Intangible Assets,16000000,31400000,30800000,34900000,40400000,- -,132400000,130100000,128700000,123200000,77600000,- -,78000000,160687000,171800000,173700000,- -,125100000,125700000,135012000,134000000,179800000,- -,174900000,204185000,401037000,371521000,509928000,- -,512718000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,3200000,- -,4300000,6200000,8000000,9000000,900000,- -,1600000,- -,8800000,8900000,- -,10300000,8200000,- -,8800000,17500000,- -,19000000,- -,29085000,22962000,19736000,- -,- -
44,Other Non-Current Assets,800000,1500000,1000000,1300000,4700000,- -,6400000,2800000,-3900000,-5500000,7100000,- -,4500000,6856000,3200000,5300000,- -,2900000,4100000,9000000,1300000,-6300000,- -,-8900000,11452000,-14774000,-1652000,-1024000,- -,40391000
45,Total Non-Current Assets,30500000,55300000,53300000,57400000,74800000,- -,171400000,170800000,162400000,155200000,111100000,- -,109900000,200450000,224700000,229800000,- -,179900000,176400000,184107000,183300000,235900000,- -,230000000,263341000,495071000,472988000,641811000,- -,637751000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,131500000,142600000,162400000,199700000,257200000,- -,418900000,427100000,414200000,367700000,231500000,- -,271700000,355811000,393100000,437100000,- -,356900000,307700000,358398000,358900000,442200000,- -,413700000,470691000,761094000,725749000,939387000,- -,927571000
48,Accounts Payable,12500000,14300000,15900000,20700000,34400000,- -,27200000,22800000,23200000,18700000,18100000,- -,23900000,20229000,32900000,37100000,- -,24200000,17600000,28624000,23100000,28400000,- -,27200000,23929000,35461000,35720000,45852000,- -,32264000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585000,- -,598000,9000000,9330000,10240000,- -,3289000,500000,500000,625000,625000,- -,611000,643000,696000,1668000,2851000,- -,1474000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2739000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1617000,- -,8761000,8899000,- -,10322000,8240000,- -,3918000,4402000,- -,18960000,21168000,7316000,5534000,19736000,- -,37946000
52,Other Current Liabilities,31300000,35600000,38300000,50700000,32400000,- -,43300000,40000000,55500000,34400000,27015000,- -,28685000,50686000,36909000,43561000,- -,41189000,38060000,66668000,47657000,66373000,- -,40429000,43173000,88757000,86067000,77730000,- -,63004000
53,Total Current Liabilities,43800000,49900000,54200000,71400000,66800000,- -,70500000,62800000,78700000,53100000,45700000,- -,54800000,79915000,87900000,99800000,- -,79000000,64400000,95792000,75300000,99800000,- -,87200000,88913000,132230000,128989000,146169000,- -,134688000
54,Long-Term Debt,16200000,15800000,15400000,15000000,- -,- -,153000000,153000000,154700000,119300000,600000,- -,- -,20726000,44700000,30500000,- -,52100000,22800000,11750000,6300000,38000000,- -,25300000,65768000,241384000,174153000,298174000,- -,232000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,200000,- -,200000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10204000,8793000,17457000,- -,18960000,14631000,29085000,22962000,19736000,- -,21669000
57,Other Non-Current Liabilities,1500000,1400000,1700000,100000,59600000,- -,57300000,60400000,10200000,11700000,4000000,- -,5200000,46500000,22500000,28000000,- -,33100000,27700000,17022000,20007000,17443000,- -,18040000,17100000,27404000,26677000,49613000,- -,42309000
58,Total Non-Current Liabilities,17900000,17200000,17300000,18100000,59600000,- -,210300000,213400000,164900000,131000000,4600000,- -,5200000,67226000,67200000,58500000,- -,85200000,50500000,38976000,35100000,72900000,- -,62300000,97499000,297873000,223792000,367523000,- -,295978000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4917000,5069000,4387000,- -,- -,- -
61,Total Liabilities,61700000,67100000,71500000,89500000,126400000,- -,280800000,276200000,243600000,184100000,50300000,- -,60000000,147141000,155100000,158300000,- -,164200000,114900000,134768000,110400000,172700000,- -,149500000,186412000,430103000,352781000,513692000,- -,430666000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,600000,- -,600000,600000,600000,100000,100000,- -,100000,146000,100000,100000,- -,100000,100000,146000,100000,100000,- -,100000,146000,146000,146000,146000,- -,146000
64,Retained Earnings,7700000,15100000,26000000,46300000,66200000,- -,82600000,100600000,133500000,143500000,116700000,- -,128500000,136050000,153100000,175100000,- -,152500000,146600000,198706000,230300000,248200000,- -,270200000,321050000,342893000,393578000,435249000,- -,479400000
65,Other Comprehensive Income/Loss,-19600000,-20200000,-24400000,-28800000,-3000000,- -,-15000000,-15400000,-39000000,-40000000,-13251000,- -,-2570000,-1614000,6071000,15898000,- -,-6188000,252000,-7955000,-3315000,710000,- -,-17146000,-49637000,-26715000,-39376000,-37620000,- -,-19492000
66,Other Total Stockholders Equity,81700000,80600000,89300000,92700000,67100000,- -,69900000,65100000,75500000,80000000,77708000,- -,85728000,73043000,78694000,87653000,- -,46303000,45756000,31583000,21498000,20486000,- -,11137000,11070000,14667000,18620000,27920000,- -,35305000
67,Total Stockholders Equity,69800000,75500000,90900000,110200000,130900000,- -,138100000,150900000,170600000,183600000,181257000,- -,211758000,207625000,237965000,278751000,- -,192715000,192708000,222480000,248583000,269496000,- -,264291000,282629000,330991000,372968000,425695000,- -,495359000
68,Total Liabilities And Stockholders Equity,131500000,142600000,162400000,199700000,257300000,- -,418900000,427100000,414200000,367700000,231557000,- -,271758000,354766000,393065000,437051000,- -,356915000,307608000,357248000,358983000,442196000,- -,413791000,469041000,761094000,725749000,939387000,- -,926025000
69,Minority Interest,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,-57000,- -,-58000,1045000,35000,49000,- -,-15000,92000,1150000,-83000,4000,- -,-91000,1650000,- -,- -,- -,- -,1546000
70,Total Liabilities & Equity,131500000,142600000,162400000,199700000,257200000,- -,418900000,427100000,414200000,367700000,231500000,- -,271700000,355811000,393100000,437100000,- -,356900000,307700000,358398000,358900000,442200000,- -,413700000,470691000,761094000,725749000,939387000,- -,927571000
71,SEC Link,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/886346/000119312506056303/d10k.htm,https://www.sec.gov/Archives/edgar/data/886346/000119312507053347/d10k.htm,https://www.sec.gov/Archives/edgar/data/886346/000119312508053030/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/886346/000119312509048875/0001193125-09-048875-index.html,https://www.sec.gov/Archives/edgar/data/886346/000119312510058296/0001193125-10-058296-index.html,- -,https://www.sec.gov/Archives/edgar/data/886346/000114036113012297/0001140361-13-012297-index.html,https://www.sec.gov/Archives/edgar/data/886346/000088634614000013/form10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/886346/000088634615000088/kai201410k.htm,https://www.sec.gov/Archives/edgar/data/886346/000088634617000054/0000886346-17-000054-index.html,https://www.sec.gov/Archives/edgar/data/886346/000088634618000018/0000886346-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/886346/000088634619000019/0000886346-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/886346/000088634620000019/0000886346-20-000019-index.html,undefined,https://www.sec.gov/Archives/edgar/data/886346/000088634621000021/0000886346-21-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7700000,7400000,10900000,20200000,19900000,- -,16400000,18000000,15100000,10000000,-26800000,- -,11800000,6877000,17100000,22700000,- -,-22600000,-5900000,33575000,31600000,23400000,- -,28700000,32077000,31092000,60413000,52068000,- -,55196000
74,Depreciation and Amortization,3100000,3600000,4200000,4800000,5000000,- -,7500000,9100000,9540000,9296000,5177000,- -,5145000,6931000,7758000,7363000,- -,7530000,7448000,7936000,8384000,9775000,- -,11189000,14326000,19375000,23568000,32390000,- -,31334000
75,Deferred Income Tax,- -,-500000,200000,1100000,2000000,- -,2000000,2100000,108000,431000,-1019000,- -,2540000,1511000,5065000,4930000,- -,4051000,892000,-1886000,-4868000,-1061000,- -,2951000,-613000,578000,-4240000,-2491000,- -,142000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2669000,3934000,4766000,5216000,- -,5813000,5069000,5803000,7027000,6815000,- -,6776000
77,Change in Working Capital,-7200000,-19800000,17500000,16000000,44700000,- -,61400000,16500000,14400000,-13700000,-84700000,- -,32300000,-38154000,5054000,27000000,- -,-9500000,-31100000,-501000,21801000,6200000,- -,-10000000,9945000,15356000,-10021000,27635000,- -,3725000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25361000,-11662000,1157000,-2197000,- -,8429000,1003000,-10907000,-7016000,6553000,- -,7116000
79,Inventory,800000,2700000,-2400000,-3100000,3100000,- -,-1200000,3300000,-1436000,-803000,5349000,- -,-1380000,4362000,-3126000,-3827000,- -,-10202000,18833000,-6966000,9156000,-2005000,- -,5067000,3553000,1163000,-6577000,-3076000,- -,-89000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6657000,4469000,-5868000,2552000,- -,652000,-5238000,-522000,5419000,7358000,- -,-15620000
81,Other Working Capital,57200000,37400000,54900000,70900000,115600000,- -,177000000,193500000,173100000,159400000,74700000,- -,107000000,75446000,80500000,107500000,- -,98000000,66900000,78499000,100300000,106500000,- -,96500000,118437000,133793000,123772000,151407000,- -,155132000
82,Other Non-Cash Items,2700000,18700000,-14800000,-23700000,-44500000,- -,-66400000,-13800000,-20710000,6778000,134336000,- -,-28743000,40538000,-23670000,-27756000,- -,40681000,69117000,-8743000,-32575000,-3454000,- -,10219000,-9801000,-7040000,-13762000,-19004000,- -,-4289000
83,Cash Provided by Operating Activities,6300000,9400000,18000000,18400000,27100000,- -,20900000,31900000,18438000,12805000,26994000,- -,23042000,17703000,11307000,34237000,- -,20162000,43126000,34315000,29108000,40076000,- -,48872000,51003000,65164000,62985000,97413000,- -,92884000
84,CAPEX,-3500000,-2400000,-3100000,-3500000,-3900000,- -,-3800000,-8800000,-6355000,-4589000,-3344000,- -,-4022000,-3245000,-4097000,-4908000,- -,-6198000,-2804000,-8030000,-4250000,-6261000,- -,-6755000,-5804000,-17281000,-16559000,-9957000,- -,-7595000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-4502000,- -,- -,- -,- -,-103180000,-18340000,-2867000,- -,-2119000,-1354000,-15694000,85000,-65594000,- -,-11984000,-56617000,-204731000,- -,-177798000,- -,-7095000
86,Purchases of Investments,-4200000,-500000,-4300000,- -,- -,- -,-48100000,-70900000,-132058000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1300000,4700000,2800000,- -,12300000,59200000,92424000,69480000,16625000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-15000000,-26100000,800000,-12200000,-18300000,- -,-103300000,-500000,92942000,6465000,-1015000,- -,790000,5554000,4367000,184000,- -,3014000,115000,1839000,800000,3699000,- -,242000,428000,130000,195000,398000,- -,145000
89,Cash Used for Investing Activites,-22700000,-29000000,-5300000,-11000000,-19400000,- -,-142900000,-21000000,42451000,71356000,12266000,- -,-3232000,-100871000,-18070000,-7591000,- -,-5303000,-4043000,-21885000,-3365000,-68156000,- -,-18497000,-61993000,-221882000,-16364000,-187357000,- -,-14545000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54153000,-16017000,-10375000,-21849000,- -,-36953000,-18429000,-67696000,-109642000,-126315000,- -,-99547000
91,Common Stock Issued,39700000,- -,400000,200000,55900000,- -,1100000,400000,1204000,2584000,18171000,- -,5108000,1393000,11909000,9225000,- -,3825000,544000,390000,358000,337000,- -,1119000,2350000,- -,813000,5176000,- -,3207000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-24000000,-6600000,-34603000,- -,-1461000,- -,- -,-9116000,-7181000,-5185000,- -,-47623000,-3722000,-16088000,-14491000,-5367000,- -,-15136000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4189000,- -,-6339000,-8038000,-9011000,-9644000,-10196000,- -,-10903000
94,Other Financing Activites,-400000,4600000,-5200000,10100000,-10400000,- -,149800000,- -,-313000,-46334000,-118082000,- -,-567000,52122000,-1691000,-10712000,- -,14083000,22027000,4671000,5188000,53638000,- -,24984000,46783000,228063000,44318000,243785000,- -,22687000
95,Cash Used/Provided by Financing Activities,39300000,4600000,-4800000,10300000,45500000,- -,126900000,-6200000,-33712000,-43750000,-101372000,- -,4541000,44399000,3037000,-6672000,- -,-29715000,-35304000,-27044000,-19320000,22570000,- -,-32325000,22666000,151356000,-74155000,112450000,- -,-84556000
96,Effect of Forex Changes on Cash,-900000,-1600000,1800000,2100000,-400000,- -,-3100000,-1000000,-3970000,-65000,3734000,- -,5671000,-2498000,2538000,1945000,- -,-6558000,1757000,-241000,1180000,989000,- -,-2704000,-5714000,9300000,-3195000,-350000,- -,4584000
97,Net Change In Cash,39300000,4600000,-4800000,10300000,45500000,- -,126900000,-6200000,23207000,40346000,-58378000,- -,30022000,-41267000,-1188000,21919000,- -,-21414000,5536000,-14855000,7603000,-4521000,- -,-4654000,5957000,3938000,-30729000,22156000,- -,-1633000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,62461000,102807000,44429000,- -,74451000,40822000,39634000,61553000,- -,40139000,45675000,46950000,54553000,50032000,- -,45378000,71487000,75425000,46117000,68273000,- -,66640000
99,Cash at the Beginning of Period,22200000,44200000,27600000,37300000,57000000,- -,109800000,111600000,39254000,62461000,102807000,- -,44429000,82089000,40822000,39634000,- -,61553000,40139000,61805000,46950000,54553000,- -,50032000,65530000,71487000,76846000,46117000,- -,68273000
100,Free Cash Flow,2800000,7000000,14900000,14900000,23200000,- -,17100000,23100000,12083000,8216000,23650000,- -,19020000,14458000,7210000,29329000,- -,13964000,40322000,26285000,24858000,33815000,- -,42117000,45199000,47883000,46426000,87456000,- -,85289000
