,https://roic.ai/company/STAA,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,901000,896000,523000,291000,- -,170000,154000,115000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1500000,900000,500000,600000,800000,900000,1300000,1500000,- -,2300000,3500000,4200000,3730124,3623000,- -,3104000,2693000,2472000,2372000,2508000,- -,3640000,2406000,2266000,1961000,- -,2151000,2460000,2892000,3354000,2464000,- -,3699000,3642000
15,EBITDA,-2100000,-3500000,6600000,-10700000,-4300000,3500000,7400000,8900000,- -,12500000,15200000,7300000,-21769876,-14977000,- -,-4896000,-7582000,-7528000,-12328000,-12592000,- -,-17659000,3787000,5489000,1652000,- -,3421000,-6031000,-9437000,-4600000,9103000,- -,16725000,34946000
16,EBITDA ratio,-0.3088,-0.7778,1.4667,-2.4884,-0.4216,0.1741,0.2701,0.2565,- -,0.2962,0.3341,0.1237,-0.4002,-0.2954,- -,-0.1014,-0.1467,-0.1467,-0.3444,-0.3537,- -,-0.3546,0.0689,0.0874,0.0259,- -,0.0474,-0.0804,-0.1145,-0.0508,0.0734,- -,0.1114,0.1516
17,Operating Income,-2700000,-3600000,-4100000,-11200000,-4600000,1900000,5500000,7100000,- -,10100000,9300000,4000000,-20181958,-17786000,- -,-7113000,-10158000,-10812000,-13602000,-14119000,- -,-20387000,-2602000,2783000,-1220000,- -,700000,-8027000,-12655000,-3631000,6595000,- -,11852000,33339000
18,Operating Income ratio,-0.3971,-0.8000,-0.9111,-2.6047,-0.4510,0.0945,0.2007,0.2046,- -,0.2393,0.2044,0.0678,-0.3710,-0.3508,- -,-0.1473,-0.1965,-0.2108,-0.3799,-0.3966,- -,-0.4094,-0.0473,0.0443,-0.0191,- -,0.0097,-0.1070,-0.1535,-0.0401,0.0532,- -,0.0789,0.1447
19,Total Other Income Expenses (Gains),-800000,- -,10000000,-100000,2700000,700000,600000,300000,- -,100000,2400000,-900000,-5218042,-714000,- -,-787000,-88000,812000,-1398000,-2181000,- -,-3513000,-1079000,-83000,720000,- -,400000,-618000,211000,1335000,44000,- -,1174000,-2035000
20,Income Before Tax,-3500000,- -,5900000,- -,- -,2600000,6100000,7400000,- -,10200000,11700000,3100000,-25400000,-18500000,- -,-7900000,-10246000,-10000000,-15000000,-16300000,- -,-23900000,-3681000,2700000,-500000,- -,1100000,-8645000,-12444000,-2296000,6639000,- -,13026000,31304000
21,Income Before Tax Ratio,-0.5147,- -,1.3111,- -,- -,0.1294,0.2226,0.2133,- -,0.2417,0.2571,0.0525,-0.4669,-0.3649,- -,-0.1636,-0.1982,-0.1949,-0.4190,-0.4579,- -,-0.4799,-0.0670,0.0430,-0.0078,- -,0.0152,-0.1153,-0.1510,-0.0253,0.0536,- -,0.0867,0.1358
22,Income Tax expense (Gain),200000,- -,2600000,- -,- -,100000,-2200000,-100000,- -,3300000,4300000,900000,-6600000,-3600000,- -,8800000,1057000,1200000,300000,900000,- -,1000000,432000,1400000,1200000,- -,700000,-253000,-315000,-5815000,1671000,- -,-1022000,6803000
23,Net Income,-3800000,-4400000,3500000,-11300000,-5100000,2500000,8300000,7500000,- -,6900000,7400000,2200000,-18900000,-15000000,- -,-16800000,-11332000,-11200000,-15000000,-16000000,- -,-23200000,53000,1300000,-1800000,- -,400000,-8392000,-12129000,-2139000,4968000,- -,14048000,24501000
24,Net Income ratio,-0.5588,-0.9778,0.7778,-2.6279,-0.5000,0.1244,0.3029,0.2161,- -,0.1635,0.1626,0.0373,-0.3474,-0.2959,- -,-0.3478,-0.2193,-0.2183,-0.4190,-0.4494,- -,-0.4659,0.0010,0.0207,-0.0282,- -,0.0055,-0.1119,-0.1471,-0.0236,0.0401,- -,0.0935,0.1063
25,EPS,-6.56,-6.56,1.44,-3.20,-0.50,0.21,0.84,0.55,- -,0.50,0.57,0.15,-1.23,-0.87,- -,-1.00,-0.58,-0.47,-0.60,-0.57,- -,-0.79,0.00,0.04,-0.05,- -,0.01,-0.22,-0.30,-0.05,0.12,- -,0.32,0.52
26,EPS Diluted,-6.56,-6.56,1.44,-3.20,-0.50,0.20,0.80,0.55,- -,0.50,0.53,0.15,-1.23,-0.87,- -,-1.00,-0.58,-0.47,-0.60,-0.57,- -,-0.79,0.00,0.04,-0.05,- -,0.01,-0.22,-0.30,-0.05,0.11,- -,0.30,0.49
27,Weighted Average Shares Outstanding,2501000,2762000,4056000,9285000,10200000,11904762,9880952,13636364,- -,13800000,12982456,14666667,15367154,17049425,- -,17158000,19602000,23704000,25227000,28121000,- -,29474000,34825000,35434000,36253000,- -,36706000,38091000,40329000,41004000,42587000,- -,44493000,47483000
28,Weighted Average Shares Outstanding Diluted,2501000,2762000,4056000,9285000,10200000,12500000,10375000,13636364,- -,13800000,13962264,14666667,15367154,17049425,- -,17159000,19602000,23704000,25227000,28121000,- -,29474000,34825000,36878000,36253000,- -,38607000,38091000,40329000,41004000,45257000,- -,46895000,49592000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718937/000089843096001034/0000898430-96-001034-index.html,undefined,https://www.sec.gov/Archives/edgar/data/718937/000089843097001373/0000898430-97-001373-index.html,https://www.sec.gov/Archives/edgar/data/718937/000089843098001283/0000898430-98-001283-index.html,- -,https://www.sec.gov/Archives/edgar/data/718937/000091205701008706/0000912057-01-008706-index.html,https://www.sec.gov/Archives/edgar/data/718937/000089843002001104/d10k.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/718937/000095012905003017/a06720e10vk.htm,https://www.sec.gov/Archives/edgar/data/718937/000095012906002678/a15268e10vk.htm,https://www.sec.gov/Archives/edgar/data/718937/000095015007000013/a28372e10vk.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420408014809/v106516_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/718937/000114420409018646/0001144204-09-018646-index.html,https://www.sec.gov/Archives/edgar/data/718937/000114420411012356/v213096_10k.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420412013710/0001144204-12-013710-index.html,https://www.sec.gov/Archives/edgar/data/718937/000114420413014619/0001144204-13-014619-index.html,undefined,https://www.sec.gov/Archives/edgar/data/718937/000114420414015041/v369981_10k.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420415016000/v403257_10k.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420417012557/0001144204-17-012557-index.html,https://www.sec.gov/Archives/edgar/data/718937/000114420418011838/0001144204-18-011838-index.html,https://www.sec.gov/Archives/edgar/data/718937/000156459019003674/0001564590-19-003674-index.html,undefined,https://www.sec.gov/Archives/edgar/data/718937/000156459020006791/0001564590-20-006791-index.html,https://www.sec.gov/Archives/edgar/data/718937/000156459022006264/0001564590-22-006264-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,100000,- -,700000,2300000,1500000,1400000,3200000,3800000,- -,6500000,6300000,3300000,6100000,900000,- -,1000000,4187000,12700000,7800000,10900000,- -,5000000,9376000,16600000,21700000,- -,23000000,13013000,13999000,18520000,103877000,- -,119968000,199706000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,- -,700000,2300000,1500000,1400000,3200000,3800000,- -,6500000,6300000,3300000,6100000,900000,- -,1000000,9312000,12700000,7800000,10900000,- -,5000000,9376000,16600000,21700000,- -,23000000,13013000,13999000,18520000,103877000,- -,119968000,199706000
34,Net Receivables,1100000,700000,400000,1000000,2300000,3800000,5300000,7500000,- -,6800000,11200000,11500000,12600000,7500000,- -,6000000,6217000,5100000,6500000,6900000,- -,8400000,8219000,9400000,8900000,- -,11300000,11775000,18271000,21486000,27708000,- -,32722000,46558000
35,Inventory,4800000,3900000,2200000,2700000,4800000,8000000,8600000,9600000,- -,12400000,14700000,22300000,20800000,15200000,- -,11800000,15084000,14700000,12900000,12700000,- -,16700000,10543000,10900000,11700000,- -,12500000,15717000,14825000,13674000,16704000,- -,17142000,17274000
36,Other Current Assets,200000,200000,300000,800000,400000,400000,3000000,4200000,- -,3900000,3200000,6500000,6000000,11000000,- -,2800000,1969000,1800000,2100000,1800000,- -,2200000,1848000,1800000,1800000,- -,3300000,4392000,2422000,2756000,3283000,- -,4834000,7873000
37,Total Current Assets,6200000,4800000,3600000,6800000,9000000,13600000,20100000,25100000,- -,29600000,35400000,43600000,45500000,34600000,- -,21600000,32582000,34300000,29300000,32300000,- -,32300000,29986000,38700000,44100000,- -,50100000,44897000,49517000,56436000,151572000,- -,174666000,271411000
38,PP&E,2900000,2400000,1000000,900000,2100000,2400000,4000000,6400000,- -,8900000,10000000,12700000,13600000,8700000,- -,7400000,6163000,5600000,5800000,5800000,- -,6000000,3732000,4200000,5400000,- -,7400000,10066000,11790000,9776000,11451000,- -,25616000,67728000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,6400000,6000000,- -,6400000,- -,7500000,7500000,7500000,- -,7500000,1786000,1800000,1800000,- -,1800000,1786000,1786000,1786000,1786000,- -,1786000,1786000
40,Intangible Assets,- -,- -,- -,900000,900000,1300000,1900000,3500000,- -,8900000,11100000,22300000,10500000,9900000,- -,9000000,12934000,4900000,4400000,4000000,- -,5600000,3672000,3000000,2100000,- -,1400000,870000,473000,271000,243000,- -,296000,218000
41,Intangible Assets,- -,- -,- -,900000,900000,1300000,1900000,3500000,- -,8900000,12100000,22300000,16900000,15900000,- -,15400000,12934000,12400000,11900000,11500000,- -,13100000,5458000,4800000,3900000,- -,3200000,2656000,2259000,2057000,2029000,- -,2082000,2004000
42,Investments,- -,- -,- -,- -,- -,- -,- -,2100000,- -,2500000,2700000,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,900000,202000,700000,900000,- -,1700000,1704000,915000,350000,1022000,- -,- -,3813000
44,Other Non-Current Assets,7000000,6100000,6000000,800000,800000,1500000,2900000,1700000,- -,2200000,2200000,6700000,4200000,5100000,- -,800000,294000,500000,800000,4000000,- -,300000,1207000,600000,500000,- -,-500000,-412000,996000,1859000,1265000,- -,4501000,822000
45,Total Non-Current Assets,9900000,8500000,7000000,2600000,3800000,5200000,8800000,13700000,- -,22500000,27000000,41700000,34700000,30200000,- -,23600000,19391000,18500000,18500000,21900000,- -,20300000,10599000,10300000,10700000,- -,11800000,14014000,15960000,14042000,15767000,- -,32199000,74367000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16100000,13300000,10600000,9400000,12800000,18800000,28900000,38800000,- -,52100000,62400000,85300000,80200000,64800000,- -,45200000,51973000,52800000,47800000,54200000,- -,52600000,40585000,49000000,54800000,- -,61900000,58911000,65477000,70478000,167339000,- -,206865000,345778000
48,Accounts Payable,- -,- -,1100000,1100000,1600000,1400000,1100000,1400000,- -,1600000,1500000,7400000,6200000,5600000,- -,4400000,5313000,4000000,5100000,4800000,- -,6600000,3717000,4300000,5100000,- -,6300000,6620000,8311000,6033000,6524000,- -,8050000,8699000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,3500000,- -,7500000,1000000,2700000,7900000,8200000,- -,5800000,3004000,1700000,1800000,- -,- -,2200000,2460000,2600000,5900000,- -,4800000,4150000,4283000,4438000,3780000,- -,1827000,3410000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,451000,- -,485000,867000,1095000,210000,1105000,- -,2710000,3089000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1763042000,5304000,- -,- -,- -,- -,- -,102000,- -,282000,- -,152000,187000,- -,373000,596000,391000,1242000,1278000,- -,3750000,- -
52,Other Current Liabilities,6400000,6200000,3100000,3100000,3200000,4900000,4800000,3900000,- -,5500000,8000000,7900000,-1755942000,-1304000,- -,4300000,5162000,5800000,8000000,6398000,- -,12418000,7270000,6948000,6713000,- -,6927000,5005000,8082000,9921000,16146000,- -,20851000,36693000
53,Total Current Liabilities,6400000,6200000,4200000,4200000,4800000,6300000,5900000,8800000,- -,14600000,10500000,18000000,21200000,17800000,- -,14500000,13479000,11500000,14900000,11300000,- -,21500000,13447000,14000000,17900000,- -,18400000,16371000,21067000,21634000,27728000,- -,34478000,48802000
54,Long-Term Debt,8700000,10400000,700000,- -,- -,- -,600000,1200000,- -,800000,6700000,13700000,- -,- -,- -,- -,- -,100000,1000000,5500000,- -,5700000,- -,1100000,500000,- -,100000,468000,1339000,531000,459000,- -,366000,28651000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000,172000,188000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3087772000,3982000,- -,- -,- -,- -,- -,570000,- -,897000,488000,708000,885000,- -,1654000,1704000,881000,350000,1022000,- -,3810000,811000
57,Other Non-Current Liabilities,5000000,4700000,5600000,900000,700000,500000,400000,100000,- -,100000,400000,400000,-3087272000,-3282000,- -,200000,632000,800000,100000,630000,- -,1703000,4223000,3692000,3715000,- -,2946000,3269000,4226000,4855000,5516000,- -,8327000,8956000
58,Total Non-Current Liabilities,13700000,15100000,6300000,900000,700000,500000,1000000,1300000,- -,900000,7100000,14100000,500000,700000,- -,200000,632000,900000,1100000,6700000,- -,8300000,4711000,5500000,5100000,- -,4700000,5441000,6505000,5908000,7185000,- -,12503000,38418000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,957000,1311000,- -,2324000,1834000,1721000,1317000,- -,429000,867000,2537000,1809000,1557000,- -,7712000,32061000
61,Total Liabilities,20100000,21300000,10500000,5100000,5500000,6800000,6900000,10100000,- -,15500000,17600000,32100000,21700000,18500000,- -,14700000,14111000,12400000,16000000,18000000,- -,29800000,18158000,19500000,23000000,- -,23100000,21812000,27572000,27542000,34913000,- -,46981000,87220000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,100000,100000,200000,200000,- -,200000,207000,200000,300000,300000,- -,300000,351000,400000,400000,- -,400000,384000,407000,414000,442000,- -,448000,477000
64,Retained Earnings,-13000000,-17400000,-11400000,-22700000,-27800000,-25300000,-16900000,-9400000,- -,-2600000,4900000,9500000,-9400000,-24300000,- -,-40800000,-60478000,-71700000,-86700000,-102700000,- -,-125900000,-132038000,-130700000,-132500000,- -,-132100000,-140447000,-159109000,-161248000,-156280000,- -,-141804000,-111390000
65,Other Comprehensive Income/Loss,-2000000,-2600000,-3000000,-3100000,-3600000,-4400000,-5400000,-6600000,- -,-8300000,-1400000,-14800000,-3200000,-3400000,- -,-200000,-15429000,200000,1000000,2000000,- -,3000000,2000000,2000000,2000000,- -,-1000000,-2000000,-1000000,-1000000,-1000000,- -,-6000000,-4048000
66,Other Total Stockholders Equity,11000000,12000000,14500000,30100000,38700000,41700000,44300000,44600000,- -,47400000,41200000,57900000,70900000,73800000,- -,71351000,113540000,111666000,117160000,136625000,- -,138627000,152114000,157758000,161842000,- -,171552000,179162000,197607000,204770000,289264000,- -,307240000,- -
67,Total Stockholders Equity,-4000000,-8000000,100000,4300000,7300000,12000000,22000000,28700000,- -,36600000,44800000,52700000,58500000,46300000,- -,30551000,37840000,40366000,31760000,36225000,- -,16027000,22427000,29458000,31742000,- -,38852000,37099000,37905000,42936000,132426000,- -,159884000,258558000
68,Total Liabilities And Stockholders Equity,16100000,13300000,10600000,9400000,12800000,18800000,28900000,38800000,- -,52100000,62400000,84800000,80200000,64800000,- -,45251000,51951000,52766000,47760000,54225000,- -,45827000,40585000,48958000,54742000,- -,61952000,58911000,65477000,70478000,167339000,- -,206865000,345778000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,-51000,22000,34000,40000,-25000,- -,6773000,- -,42000,58000,- -,-52000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16100000,13300000,10600000,9400000,12800000,18800000,28900000,38800000,- -,52100000,62400000,85300000,80200000,64800000,- -,45200000,51973000,52800000,47800000,54200000,- -,52600000,40585000,49000000,54800000,- -,61900000,58911000,65477000,70478000,167339000,- -,206865000,345778000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/718937/000089843096001034/0000898430-96-001034-index.html,undefined,https://www.sec.gov/Archives/edgar/data/718937/000089843097001373/0000898430-97-001373-index.html,https://www.sec.gov/Archives/edgar/data/718937/000089843098001283/0000898430-98-001283-index.html,- -,https://www.sec.gov/Archives/edgar/data/718937/000091205701008706/0000912057-01-008706-index.html,https://www.sec.gov/Archives/edgar/data/718937/000089843002001104/d10k.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/718937/000095012905003017/a06720e10vk.htm,https://www.sec.gov/Archives/edgar/data/718937/000095012906002678/a15268e10vk.htm,https://www.sec.gov/Archives/edgar/data/718937/000095015007000013/a28372e10vk.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420408014809/v106516_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/718937/000114420409018646/0001144204-09-018646-index.html,https://www.sec.gov/Archives/edgar/data/718937/000114420411012356/v213096_10k.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420412013710/0001144204-12-013710-index.html,https://www.sec.gov/Archives/edgar/data/718937/000114420413014619/0001144204-13-014619-index.html,undefined,https://www.sec.gov/Archives/edgar/data/718937/000114420414015041/v369981_10k.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420415016000/v403257_10k.htm,https://www.sec.gov/Archives/edgar/data/718937/000114420417012557/0001144204-17-012557-index.html,https://www.sec.gov/Archives/edgar/data/718937/000114420418011838/0001144204-18-011838-index.html,https://www.sec.gov/Archives/edgar/data/718937/000156459019003674/0001564590-19-003674-index.html,undefined,https://www.sec.gov/Archives/edgar/data/718937/000156459020006791/0001564590-20-006791-index.html,https://www.sec.gov/Archives/edgar/data/718937/000156459022006264/0001564590-22-006264-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,3500000,-11300000,-5100000,2500000,8300000,7500000,- -,6900000,7400000,2200000,-18900000,-15000000,- -,-16800000,-11332000,-11200000,-15000000,-16000000,- -,-23200000,53000,1300000,-1800000,- -,400000,-8392000,-12129000,-2139000,4968000,- -,14048000,24501000
74,Depreciation and Amortization,- -,- -,500000,600000,800000,900000,1300000,1500000,- -,2300000,3500000,4200000,3730124,3623000,- -,3104000,2693000,2472000,2372000,2508000,- -,3640000,2406000,2266000,1961000,- -,2151000,2460000,2892000,3354000,2464000,- -,3699000,3642000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-2400000,- -,- -,- -,3300000,- -,-6632214,-4435000,- -,9286000,- -,- -,179000,493000,- -,238000,253000,367000,143000,- -,104000,-841000,-1364000,-547000,441000,- -,-3481000,1495000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1513000,1248000,1914000,3208000,- -,4489000,4663000,8558000,3161000,6762000,- -,10547000,14605000
77,Change in Working Capital,- -,- -,-1300000,3200000,1600000,3100000,6900000,2100000,- -,-1300000,9900000,-1300000,-1300000,-7500000,- -,-9700000,3203000,3697000,-8400000,6600000,- -,-10200000,3039000,8161000,1500000,- -,5500000,-3174000,-2736000,6352000,89042000,- -,16344000,-2392000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-891000,-207000,-435000,224000,- -,-2938000,-934000,-771000,-1857000,-6040000,- -,-4502000,-8868000
79,Inventory,- -,- -,- -,- -,-2100000,- -,- -,-100000,- -,- -,-2300000,- -,-4019779,-1316000,- -,3108000,-2282000,270000,1896000,861000,- -,1125000,1521000,-85000,-1020000,- -,-1603000,-3943000,1823000,312000,-4194000,- -,-950000,66000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1870000,-1204000,480000,1014000,- -,367000,972000,1007000,-2501000,243000,- -,1084000,108000
81,Other Working Capital,- -,- -,-600000,2600000,4200000,7300000,14200000,16300000,- -,15000000,24900000,25600000,24300000,16800000,- -,7100000,19103000,22800000,14400000,21000000,- -,10800000,16539000,24700000,26200000,- -,31700000,28526000,28450000,34802000,123844000,- -,140188000,- -
82,Other Non-Cash Items,- -,- -,-2800000,2600000,-400000,-7500000,-10100000,-6100000,- -,600000,-16500000,-200000,17729514,20754000,- -,14679000,-3368000,-1945000,12202000,-4785000,- -,19781000,-11416000,-8662000,-1795000,- -,-9289000,-2667000,5828000,-7328000,-90910000,- -,-15362000,2111000
83,Cash Provided by Operating Activities,- -,- -,-100000,-4900000,-3100000,-1000000,4000000,5000000,- -,8500000,7600000,4900000,-5372576,-2558000,- -,569000,-8804000,-6976000,-8647000,-11184000,- -,-8228000,-4417000,5346000,3217000,- -,3355000,-7951000,1049000,2853000,12767000,- -,25795000,43962000
84,CAPEX,- -,- -,-500000,-500000,-1900000,-1100000,-2200000,-3500000,- -,-4300000,-2800000,-5000000,-3339107,-1180000,- -,-874000,-1705000,-1194000,-779000,-691000,- -,-1092000,-320000,-962000,-2271000,- -,-3448000,-4054000,-3205000,-1046000,-2245000,- -,-10178000,-13645000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000,- -,- -,- -,- -,2215000,11824000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000000,-15300000,-193000,- -,- -,-212000,-219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2875000,20425000,43000,- -,- -,- -,87000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-100000,-800000,-1900000,-2600000,- -,-6400000,-4600000,-5700000,-460511,493000,- -,468000,-448000,146000,1074000,-3984000,- -,210000,7399000,73000,125000,- -,- -,- -,- -,- -,- -,- -,-83000,- -
89,Cash Used for Investing Activites,- -,- -,-500000,100000,-2000000,-1900000,-4100000,-6100000,- -,-10700000,-7400000,-10700000,-3799618,-687000,- -,-406000,-7294000,4077000,145000,-4675000,- -,1121000,18771000,-889000,-2146000,- -,-3448000,-4054000,-3205000,-1046000,-2245000,- -,-10178000,-13645000
