,https://roic.ai/company/SIEB,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,- -,- -,20940000,20943588,20949484,20998406,22725452,22886100,22438719,22403990,22305369,22113228,22093369,22129566,22206346,22208372,22193845,22167218,22114121,22100759,22087324,22085126,22085126,22085126,22507798,27157188,27157188,30637794,30637794
28,Weighted Average Shares Outstanding Diluted,- -,- -,20940000,20943588,21111111,21641860,23238100,23265897,22698934,22403990,22453538,22276562,22127940,22252851,22273550,22208372,22193845,22167218,22114121,22100759,22087324,22085126,22085126,22085126,22507798,27157188,27157188,30637794,30637794
29,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/65596/000100009697000184/0001000096-97-000184-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65596/000108935504000075/0001089355-04-000075-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935505000047/0001089355-05-000047-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935506000025/0001089355-06-000025-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935507000019/0001089355-07-000019-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935508000014/0001089355-08-000014-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935509000096/0001089355-09-000096-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935510000009/0001089355-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935511000005/0001089355-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000135448812001532/0001354488-12-001532-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000135448813001619/0001354488-13-001619-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000135448814001493/0001354488-14-001493-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000135448815002485/0001354488-15-002485-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000135448816006819/0001354488-16-006819-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000101905617000358/0001019056-17-000358-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000101905618000547/0001019056-18-000547-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000115752319000710/0001157523-19-000710-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000115752320000435/0001157523-20-000435-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000115752321000321/0001157523-21-000321-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000089109222001113/0000891092-22-001113-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,160000,231029,4394142,6499000,22882000,26370000,25670000,22498000,24732000,28748000,30980000,32606000,34589000,29617000,24184000,22646000,21167000,18902000,15424000,6749000,9420000,2730000,3765000,7229000,3082000,3632000,3758000
32,Short-Term Investments,- -,- -,- -,10100000,6600000,4500000,2700000,6271000,6079000,5225000,1226000,- -,- -,6765000,6641000,758000,1607000,1116000,250000,255000,- -,- -,- -,- -,- -,- -,- -,908408000,- -
33,Cash and Short-Term Investments,- -,- -,160000,10331029,10994142,10999000,25582000,32641000,31749000,27723000,25958000,28748000,30980000,39371000,41230000,30375000,25791000,23762000,21417000,19157000,15424000,6749000,9420000,2730000,3765000,7229000,3082000,912040000,3758000
34,Net Receivables,- -,- -,- -,1141439,2134839,4572000,2358000,124000,1572000,1100000,1487000,2371000,2404000,2468000,1683000,1682000,1954000,1563000,1033000,1923000,1105000,2645000,6764000,606000,1679000,3297000,7476000,112865000,85327000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,3540000,4855000,-2109000,3381000,2839000,2292000,-4254000,-3666000,1300000,1532000,1532000,1532000,2177000,2283000,2250000,634000,342000,234000,470000,734000,327828000,1283148000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,36305000,38176000,26714000,30826000,33958000,35676000,37585000,39247000,33357000,29277000,26857000,23982000,23257000,18812000,11644000,16818000,3678000,5678000,10996000,11292000,1352733000,1372233000
38,PP&E,- -,- -,240000,450254,475553,657000,729000,1956000,1703000,2616000,1863000,1305000,828000,510000,1037000,1481000,1569000,1246000,757000,312000,712000,609000,374000,46000,347000,468000,3941000,3052000,7463000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1989000,1989000,1989000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2375000,2250000,2302000,2346000,2017000,1494000,1182000,871000,775000,750000,648000,638000,328000,18000,8000,- -,- -,- -,1137000,2910000,2143000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,2375000,2250000,2302000,2346000,2017000,1494000,1182000,871000,775000,750000,648000,638000,328000,18000,8000,- -,- -,- -,1137000,4899000,4132000,1989000
42,Investments,- -,- -,13750000,- -,- -,- -,- -,- -,- -,7973000,4438000,3779000,4428000,6765000,5902000,6480000,9040000,9816000,8619000,9559000,8428000,8467000,593000,92000,- -,- -,3360000,- -,850000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,846000,553000,501000,601000,827000,867000,1148000,1323000,- -,- -,- -,- -,- -,- -,- -,- -,5576000,4981000,4857000,4294000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2338000,2124000,1536000,827000,- -,- -,- -,- -,- -,- -,- -,- -,8213000,17406000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,4331000,3953000,13737000,9200000,7602000,7351000,9284000,8677000,12222000,14806000,13246000,10841000,10199000,9158000,9084000,967000,138000,347000,7181000,17181000,20254000,32002000
46,Other Assets,- -,- -,16290000,14372708,17881589,20210000,32305000,- -,- -,54188000,49226000,49162000,50378000,56153000,56601000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,16290000,14372708,17881589,20210000,32305000,40636000,42129000,40451000,40026000,41560000,43027000,46869000,47924000,45579000,44083000,40103000,34823000,33456000,27970000,20728000,17785000,3816000,6025000,18177000,28473000,1372987000,1404235000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,561000,699000,1473000,3777000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,932344000,10931000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000,- -,- -,- -,1748000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,9150000,4270000,5210000,4190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4995000,4695000,3477000,3599000,2416000,2861000,2176000,2102000,738000,252000,133000,105000,393925000,- -
53,Total Current Liabilities,- -,- -,9150000,4270000,5210000,4190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4995000,4695000,3477000,3599000,2416000,2861000,2176000,2102000,738000,813000,832000,1578000,1330046000,10931000
54,Long-Term Debt,- -,- -,2000000,- -,3000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000,6114000,4955000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,489000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,825000,- -,- -,- -,- -,1342798000
58,Total Non-Current Liabilities,- -,- -,2000000,3000000,3000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,825000,- -,171000,6114000,4955000,1342798000
59,Other Liabilities,- -,- -,- -,6001143,- -,- -,2851000,3952000,4829000,4784000,4891000,6460000,5975000,6460000,5704000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000,3114000,2612000,- -
61,Total Liabilities,- -,- -,11150000,7271143,8209032,6255000,2851000,3952000,4829000,4784000,4891000,6460000,5975000,6460000,5704000,4995000,4695000,3477000,3599000,2416000,2861000,2176000,2102000,1563000,813000,1003000,7692000,1335001000,1353729000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,50000,52359,52376,209000,228000,229000,229000,229000,229000,229000,230000,232000,232000,232000,232000,232000,232000,232000,232000,232000,232000,221000,271000,271000,271000,309000,324000
64,Retained Earnings,- -,- -,5090000,278157,2878090,7032000,11644000,19522000,22010000,20377000,20500000,21033000,22896000,25962000,27660000,25432000,24249000,21609000,16230000,16059000,10147000,3590000,721000,-4857000,-2700000,9262000,12869000,15909000,20942
65,Other Comprehensive Income/Loss,- -,- -,-140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-720000,-977000,-1342000,-1602000,-240000,-247000,-504000,-594000,-300000,-70000,-129000,-562000,- -,- -
66,Other Total Stockholders Equity,- -,- -,140000,6771049,6742091,6714000,17582000,16933000,15061000,15061000,14406000,13838000,13926000,14215000,14328000,15640000,15884000,16127000,16364000,14989000,14977000,15234000,15324000,7189000,7711000,7770000,8203000,21768000,48918058
67,Total Stockholders Equity,- -,- -,5140000,7101565,9672557,13955000,29454000,36684000,37300000,35667000,35135000,35100000,37052000,40409000,42220000,40584000,39388000,36626000,31224000,31040000,25109000,18552000,15683000,2253000,5212000,17174000,20781000,37986000,49263000
68,Total Liabilities And Stockholders Equity,- -,- -,16290000,14372708,17881589,20210000,32305000,40636000,42129000,40451000,40026000,41560000,43027000,46869000,47924000,45579000,44083000,40103000,34823000,33456000,27970000,20728000,17785000,3816000,6025000,18177000,28473000,1372987000,1402992000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1243000
70,Total Liabilities & Equity,- -,- -,16290000,14372708,17881589,20210000,32305000,40636000,42129000,40451000,40026000,41560000,43027000,46869000,47924000,45579000,44083000,40103000,34823000,33456000,27970000,20728000,17785000,3816000,6025000,18177000,28473000,1372987000,1404235000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/65596/000100009697000184/0001000096-97-000184-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/65596/000108935504000075/0001089355-04-000075-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935505000047/0001089355-05-000047-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935506000025/0001089355-06-000025-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935507000019/0001089355-07-000019-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935508000014/0001089355-08-000014-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935509000096/0001089355-09-000096-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935510000009/0001089355-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000108935511000005/0001089355-11-000005-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000135448812001532/0001354488-12-001532-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000135448813001619/0001354488-13-001619-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000135448814001493/0001354488-14-001493-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000135448815002485/0001354488-15-002485-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000135448816006819/0001354488-16-006819-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000101905617000358/0001019056-17-000358-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000101905618000547/0001019056-18-000547-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000115752319000710/0001157523-19-000710-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000115752320000435/0001157523-20-000435-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000115752321000321/0001157523-21-000321-index.htm,https://www.sec.gov/Archives/edgar/data/65596/000089109222001113/0000891092-22-001113-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,700000,1964435,2618101,4313000,4603000,7999000,2488000,-1633000,123000,533000,1863000,3425000,2258000,-1760000,-1183000,-2640000,-5379000,-171000,-5912000,-6557000,-2869000,-5578000,2157000,11962000,3607000,2975000,5033000
74,Depreciation and Amortization,- -,- -,70000,108460,157010,177000,382000,518000,1366000,1718000,1778000,1464000,1128000,780000,690000,479000,482000,525000,520000,284000,130000,267000,284000,277000,115000,144000,983000,1566000,1445000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-303000,-1335000,293000,52000,-100000,-226000,-40000,-281000,-175000,1323000,- -,- -,- -,- -,- -,- -,- -,-5576000,595000,479000,523000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000,622000,20000,10000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-9150000,4880000,-940000,1020000,4190000,36305000,1871000,-11462000,4112000,3132000,1718000,1909000,1662000,-10885000,-3780000,-1202000,-2997000,458000,-4890000,9468000,5248000,-11776000,1925000,5299000,-450000,12973000,1338615000
78,Accounts Receivable,- -,- -,- -,-3100000,2400000,1100000,2900000,-1473000,-1256000,359000,-378000,604000,514000,-284000,321000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9027000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,400000,900000,-2100000,-1300000,838000,384000,448000,101000,1575000,-485000,485000,-756000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199000,138000,-579000,1334000,-100000
81,Other Working Capital,- -,- -,-9150000,-4270000,-5210000,-4190000,- -,36305000,38176000,26714000,30826000,33958000,35676000,37585000,39247000,28362000,24582000,23380000,20383000,20841000,15951000,9468000,14716000,2940000,4865000,10164000,9714000,22687000,1361302000
82,Other Non-Cash Items,- -,- -,10270000,-7566087,4249420,-3005000,25000,-36518000,-4514000,10497000,-2269000,-1165000,-1965000,-3923000,-1101000,8156000,-344000,872000,6380000,-2585000,7728000,-11872000,-4055000,13816000,-2745000,-6963000,596000,78724000,-1340073000
83,Cash Provided by Operating Activities,- -,- -,1890000,-613192,6084531,2505000,9200000,8304000,908000,-2215000,4037000,4016000,2644000,1965000,3553000,-3669000,-4980000,-1112000,-1470000,-2014000,-2944000,-8694000,-1392000,-3261000,1452000,4866000,5331000,96717000,5543000
84,CAPEX,- -,- -,-100000,-319850,-182309,-358000,-318000,-4004000,-331000,-2683000,-1310000,-577000,-128000,-150000,-906000,-827000,-545000,-200000,-21000,-262000,-520000,-154000,-41000,-38000,-417000,-1402000,-2272000,-410000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,493000,- -,- -,-7248000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-392000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,125000,- -,- -,24000,- -,- -,4000000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1300000,- -,998000,-2321000,609000,681000,-973000,745000,-373000,37000,-133000,- -,- -,-94000,41000,- -,5000,173000,-3896000,- -,- -,-1125000,-1110000,-397000,-8371000
89,Cash Used for Investing Activites,- -,- -,-100000,-319850,-1874309,-358000,680000,-3950000,278000,-957000,-1133000,568000,-501000,-113000,-1039000,-805000,-420000,-294000,20000,-238000,-515000,19000,4063000,455000,-417000,-1402000,-9368000,-410000,-8368000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2800000,-642000
91,Common Stock Issued,- -,- -,- -,- -,- -,38000,747000,58000,46000,84000,36000,- -,133000,449000,27000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-803000,-1932000,-84000,-706000,-568000,-44000,-367000,-27000,-30000,-33000,-132000,-29000,-13000,-19000,- -,- -,- -,- -,- -,- -,- -,-850000
93,Dividends Paid,- -,- -,- -,- -,-18168,-100000,-400000,-121000,- -,- -,- -,- -,- -,-359000,-560000,-468000,- -,- -,- -,- -,- -,- -,- -,-4494000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-2000000,1000000,-28941,20000,6920000,- -,- -,- -,- -,- -,- -,51000,29000,- -,- -,- -,- -,- -,- -,- -,- -,610000,803000,- -,- -,4655000,6345000
95,Cash Used/Provided by Financing Activities,- -,- -,-2000000,1000000,-47109,-42000,6267000,-866000,-1886000,- -,-670000,-568000,89000,-226000,-531000,-498000,-33000,-132000,-29000,-13000,-19000,- -,- -,-3884000,803000,- -,- -,2655000,4853000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-200000,66958,4163113,2105000,16147000,3488000,-700000,-3172000,2234000,4016000,2232000,1626000,1983000,-4972000,-5433000,-1538000,-1479000,-2265000,-3478000,-8675000,2671000,-6690000,1035000,3464000,-4037000,98962000,2028000
98,Cash at the End of Period,- -,- -,-200000,231029,4394142,6499000,22882000,26370000,25670000,22498000,24732000,28748000,30980000,32606000,34589000,29617000,24184000,22646000,21167000,18902000,15424000,6749000,9420000,2730000,3765000,7229000,3192000,328556000,330584000
99,Cash at the Beginning of Period,- -,- -,- -,164071,231029,4394000,6735000,22882000,26370000,25670000,22498000,24732000,28748000,30980000,32606000,34589000,29617000,24184000,22646000,21167000,18902000,15424000,6749000,9420000,2730000,3765000,7229000,229594000,328556000
100,Free Cash Flow,- -,- -,1790000,-933042,5902222,2147000,8882000,4300000,577000,-4898000,2727000,3439000,2516000,1815000,2647000,-4496000,-5525000,-1312000,-1491000,-2276000,-3464000,-8848000,-1433000,-3299000,1035000,3464000,3059000,96307000,5543000
