,https://roic.ai/company/APT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884269/000110465904006318/0001104659-04-006318-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465905010174/0001104659-05-010174-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465906018916/0001104659-06-018916-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465907017711/0001104659-07-017711-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465908018897/0001104659-08-018897-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465909016330/0001104659-09-016330-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465910013514/0001104659-10-013514-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465911014897/0001104659-11-014897-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774912002336/0001437749-12-002336-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774913002367/0001437749-13-002367-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774914003563/0001437749-14-003563-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774915004304/0001437749-15-004304-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774916026648/0001437749-16-026648-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774917004000/0001437749-17-004000-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774918004389/0001437749-18-004389-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774919004169/0001437749-19-004169-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774920004678/0001437749-20-004678-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774921005551/0001437749-21-005551-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774922005979/0001437749-22-005979-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,275000,490000,43000,800000,1131000,1372000,2879000,3427000,4875000,1163000,1837000,4064000,4578000,9753000,5316000,7503000,4554000,8215000,5495000,9681000,9456000,8763000,7007000,6548000,23292000,16307000
32,Short-Term Investments,39000,21000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293000,1606000,2840000,656000,607000,343000,258000,335000,5549000,- -
33,Cash and Short-Term Investments,314000,511000,43000,800000,1131000,1372000,2879000,3427000,4875000,1163000,1837000,4064000,4578000,9753000,5316000,7503000,4847000,9821000,8335000,10337000,10063000,9106000,7265000,6883000,28841000,16307000
34,Net Receivables,2175000,2810000,3038000,3300000,3359000,2455000,2286000,2707000,4261000,3954000,6157000,4422000,5091000,8593000,3816000,4725000,6350000,5071000,5666000,2770000,4822000,4958000,5318000,4292000,9037000,4780000
35,Inventory,2942000,3697000,2999000,3000000,2399000,3581000,3358000,6015000,4802000,10499000,12713000,14111000,12057000,13094000,17318000,15566000,17164000,14140000,16544000,16398000,10994000,10249000,9878000,11303000,16749000,24969000
36,Other Current Assets,183000,393000,150000,100000,497000,716000,699000,607000,1410000,1145000,1590000,2007000,1850000,3249000,4162000,2815000,2853000,3608000,4958000,3576000,3784000,2665000,3999000,4485000,676000,6943000
37,Total Current Assets,5614000,7411000,6230000,7200000,7386000,8124000,9222000,12756000,15348000,16761000,22297000,24604000,23576000,34689000,30612000,30609000,31214000,32640000,35503000,33081000,29663000,26978000,26460000,26963000,55303000,52999000
38,PP&E,1615000,2084000,2125000,2300000,2777000,3535000,3283000,3166000,3256000,3389000,3355000,3439000,3942000,3843000,4162000,3636000,3419000,3068000,3315000,2907000,2646000,3158000,3244000,6223000,7888000,8712000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
40,Intangible Assets,219000,- -,305000,300000,254000,189000,179000,174000,185000,119000,151000,180000,202000,184000,164000,135000,113000,92000,71000,51000,34000,21000,16000,11000,7000,3000
41,Intangible Assets,219000,305000,305000,300000,254000,189000,179000,174000,185000,174000,206000,235000,257000,239000,219000,190000,168000,147000,126000,106000,89000,76000,71000,66000,62000,58000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1393000,1701000,1941000,2435000,2498000,2708000,3008000,3040000,3538000,3893000,4480000,4839000,5549000,6120000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,- -,- -,- -,- -
44,Other Non-Current Assets,33000,185000,278000,200000,87000,56000,91000,- -,- -,1547000,994000,1208000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,1867000,2574000,2708000,2800000,3118000,3780000,3553000,3340000,3441000,5110000,4555000,4882000,5592000,5783000,6322000,6261000,6085000,5923000,6449000,6053000,6273000,7146000,7795000,11128000,13499000,14890000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7481000,9985000,8938000,10000000,10504000,11904000,12775000,16096000,18789000,21871000,26852000,29486000,29168000,40472000,36934000,36870000,37299000,38563000,41952000,39134000,35936000,34124000,34255000,38091000,68802000,67889000
48,Accounts Payable,1619000,2142000,983000,1300000,932000,882000,453000,956000,1363000,648000,1213000,457000,620000,2963000,487000,702000,860000,689000,1099000,1027000,1005000,1236000,578000,501000,1983000,528000
49,Short-Term Debt,1081000,1051000,1009000,900000,172000,194000,127000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,882000,867000,883000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126000,178000,192000,207000,556000,232000,269000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209000,- -
52,Other Current Liabilities,714000,606000,587000,600000,467000,603000,1592000,1539000,1074000,1928000,1466000,1478000,1263000,2732000,296000,169000,793000,1036000,1195000,1128000,1460000,1565000,1342000,920000,2793000,1250000
53,Total Current Liabilities,3414000,3799000,2579000,2800000,1571000,1679000,2172000,2495000,2437000,2576000,2679000,1935000,1883000,5695000,783000,871000,1653000,1725000,2294000,2155000,2465000,2801000,1920000,2303000,5852000,2661000
54,Long-Term Debt,112000,320000,247000,200000,363000,770000,288000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1817000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,340000,551000,541000,574000,652000,652000,693000,747000,819000,906000,639000,823000,813000,1257000,1752000,867000,807000,- -,141000,224000,211000,791000
57,Other Non-Current Liabilities,105000,229000,159000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2337000,2719000,- -
58,Total Non-Current Liabilities,217000,549000,406000,100000,703000,1321000,829000,574000,652000,652000,693000,747000,819000,906000,639000,823000,813000,1257000,1752000,867000,807000,- -,141000,2561000,2930000,2608000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3219000,3586000,2700000
61,Total Liabilities,3631000,4348000,2985000,2900000,2274000,3000000,3001000,3069000,3089000,3228000,3372000,2682000,2702000,6601000,1422000,1694000,2466000,2982000,4046000,3022000,3272000,2801000,2061000,4864000,8782000,5269000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,207000,241000,241000,200000,239000,235000,226000,227000,235000,238000,245000,256000,239000,224000,224000,211000,200000,189000,183000,178000,154000,143000,135000,129000,135000,132000
64,Retained Earnings,-18013000,-18942000,-18626000,-17500000,-16037000,-15251000,-13586000,-10575000,-8728000,-6278000,-2539000,-122000,1442000,10483000,11784000,12717000,13694000,15773000,18515000,19556000,22724000,26223000,29390000,32390000,59476000,62488000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1400000,-1779000,-2169000,-2586000,-3073000,-3519000,-3980000,-3987000,-4457000,-5014000,-5650000,-6465000,-7066000,24000,625000,1375000,-148000,-204000,-458000,- -,-11113000,- -,- -
66,Other Total Stockholders Equity,21656000,24338000,24338000,25800000,25807000,26089000,25720000,26448000,27712000,28663000,29761000,31127000,29799000,28814000,29969000,29314000,20915000,18994000,17833000,16526000,9990000,5415000,2669000,11821000,409000,- -
67,Total Stockholders Equity,3850000,5637000,5953000,7100000,8230000,8904000,9774000,13027000,15700000,18643000,23480000,26804000,26466000,33871000,35512000,35176000,34833000,35581000,37906000,36112000,32664000,31323000,32194000,33227000,60020000,62620000
68,Total Liabilities And Stockholders Equity,7481000,9985000,8938000,10000000,10504000,11904000,12775000,16096000,18789000,21871000,26852000,29486000,29168000,40472000,36934000,36870000,37299000,38563000,41952000,39134000,35936000,34124000,34255000,38091000,68802000,67889000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7481000,9985000,8938000,10000000,10504000,11904000,12775000,16096000,18789000,21871000,26852000,29486000,29168000,40472000,36934000,36870000,37299000,38563000,41952000,39134000,35936000,34124000,34255000,38091000,68802000,67889000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884269/000110465904006318/0001104659-04-006318-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465905010174/0001104659-05-010174-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465906018916/0001104659-06-018916-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465907017711/0001104659-07-017711-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465908018897/0001104659-08-018897-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465909016330/0001104659-09-016330-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465910013514/0001104659-10-013514-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000110465911014897/0001104659-11-014897-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774912002336/0001437749-12-002336-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774913002367/0001437749-13-002367-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774914003563/0001437749-14-003563-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774915004304/0001437749-15-004304-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774916026648/0001437749-16-026648-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774917004000/0001437749-17-004000-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774918004389/0001437749-18-004389-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774919004169/0001437749-19-004169-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774920004678/0001437749-20-004678-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774921005551/0001437749-21-005551-index.htm,https://www.sec.gov/Archives/edgar/data/884269/000143774922005979/0001437749-22-005979-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2145000,-929000,316000,1100000,1460000,786000,1665000,3011000,1847000,2450000,3739000,2417000,1564000,9041000,1301000,933000,977000,2079000,2742000,1041000,3168000,2633000,3625000,3000000,27086000,6756000
74,Depreciation and Amortization,254000,319000,402000,400000,405000,476000,447000,509000,517000,499000,448000,494000,586000,665000,844000,818000,764000,722000,721000,703000,544000,571000,525000,602000,729000,817000
75,Deferred Income Tax,- -,- -,- -,- -,93000,-6000,92000,36000,-21000,31000,76000,30000,-19000,140000,-253000,55000,-6000,-3000,267000,-48000,21000,-378000,159000,83000,-13000,228000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,223000,209000,193000,268000,228000,150000,33000,24000,190000,296000,432000,451000,375000,315000
