,https://roic.ai/company/LEU,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,4300000,11100000,7400000,7000000,6800000,6800000,6800000,6800000,6800000,- -,119200000,105800000,93300000,82700000,76000000,69500000,62000000,54000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135100000,168300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,42100000,50800000,52500000,73500000,100600000,156200000,180100000,273300000,270300000,204500000,- -,- -,- -,26000000,- -,- -,- -,- -,- -,- -,41000000
44,Other Non-Current Assets,- -,- -,720500000,540700000,524200000,520100000,389500000,262600000,182200000,98800000,177900000,13300000,2000000,151400000,163500000,51700000,65600000,192600000,53400000,53600000,20800000,7000000,13100000,- -,7000000
45,Total Non-Current Assets,- -,- -,887100000,700000000,756100000,761800000,627100000,518400000,465100000,452300000,657200000,1164600000,1562500000,1594100000,1357400000,109500000,73500000,341300000,162700000,152900000,108400000,87200000,86300000,66000000,107000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,2360200000,2084400000,2207500000,2049500000,2053800000,1999400000,2080800000,1861400000,3087800000,3055300000,3532100000,3848200000,3549300000,2266400000,1705500000,1183700000,820700000,713500000,675300000,571700000,455900000,472000000,572000000
48,Accounts Payable,- -,- -,214100000,164400000,166200000,195700000,221500000,201000000,217400000,173900000,47300000,36600000,27400000,36300000,20200000,230900000,8700000,10400000,5400000,11500000,6300000,3900000,7000000,50000000,- -
49,Short-Term Debt,- -,- -,50000000,50000000,- -,- -,- -,- -,288800000,- -,- -,95700000,- -,- -,85000000,83200000,530000000,- -,- -,- -,- -,34400000,8600000,8500000,-95000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,- -,10900000,4700000,3200000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,91000000,45000000,25800000,20200000,132900000,129400000,116400000,196700000,325000000,179100000,205200000,125500000,195900000,100900000,83900000,123600000,191800000,204500000,266300000,151000000,143000000
52,Other Current Liabilities,- -,- -,265700000,141600000,169900000,129400000,164300000,134200000,113900000,121800000,552100000,387400000,730200000,1053100000,1265500000,1175200000,1060100000,365100000,261000000,190600000,205300000,195900000,54900000,156500000,345000000
53,Total Current Liabilities,- -,- -,529800000,356000000,427100000,370100000,411600000,355400000,753000000,425100000,715800000,716400000,1082600000,1268500000,1575900000,1614800000,1794700000,476400000,350300000,325700000,403400000,438700000,336800000,366000000,393000000
54,Long-Term Debt,- -,- -,500000000,500000000,500000000,500000000,500000000,475000000,150000000,150000000,725000000,575000000,575000000,738200000,530000000,530000000,- -,240400000,247600000,234100000,157500000,120200000,114100000,108000000,101000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,29400000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,195000000,281100000,307600000,265000000,256000000,244400000,270200000,300300000,337500000,601500000,598900000,527700000,691000000,594500000,369000000,445300000,388500000,389800000,333300000,319700000,312500000,32000000,220000000
58,Total Non-Current Liabilities,- -,- -,695000000,781100000,807600000,765000000,756000000,719400000,420200000,450300000,1062500000,1176500000,1173900000,1265900000,1221000000,1124500000,369000000,685700000,636100000,623900000,490800000,454900000,456000000,140000000,321000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,580000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,2500000,2400000,- -
61,Total Liabilities,- -,- -,1224800000,1137100000,1234700000,1135100000,1167600000,1074800000,1173200000,875400000,1778300000,1892900000,2256500000,2534400000,2796900000,2739300000,2163700000,1162100000,986400000,949600000,894200000,893600000,792800000,806000000,714000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4600000,4600000,4600000,100000,- -
63,Common Stock,- -,- -,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,12300000,12300000,12300000,12300000,13000000,13000000,500000,900000,900000,900000,900000,900000,900000,1000000,1000000
64,Retained Earnings,- -,- -,71900000,4900000,39000000,-15300000,-4600000,62200000,31300000,137500000,215200000,263900000,322400000,329900000,-210800000,-1361800000,-1520700000,-42300000,-229700000,-296700000,-284500000,-388500000,-405000000,- -,-284000000
65,Other Comprehensive Income/Loss,- -,- -,-79200000,-57600000,-77600000,-1600000,-500000,-2300000,-4800000,-36600000,-11300000,-213900000,-167400000,-144100000,-212900000,-291900000,-120100000,4400000,4100000,200000,100000,-100000,1100000,800000,- -
66,Other Total Stockholders Equity,- -,- -,1132700000,990000000,1001400000,- -,881300000,854700000,871100000,875100000,1093300000,1100100000,1108300000,1115700000,1163100000,1167800000,1182100000,58600000,59000000,59500000,60000000,61200000,61500000,-322500000,142000000
67,Total Stockholders Equity,- -,- -,1135400000,947300000,972800000,914400000,886200000,924600000,907600000,986000000,1309500000,1162400000,1275600000,1313800000,752400000,-472900000,-458200000,21600000,-165700000,-236100000,-218900000,-321900000,-336900000,-320600000,-141000000
68,Total Liabilities And Stockholders Equity,- -,- -,2360200000,2084400000,2207500000,2049500000,2053800000,1999400000,2080800000,1861400000,3087800000,3055300000,3532100000,3848200000,3549300000,2266400000,1705500000,1183700000,820700000,713500000,675300000,571700000,455900000,485400000,573000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13400000,-1000000
70,Total Liabilities & Equity,- -,- -,2360200000,2084400000,2207500000,2049500000,2053800000,1999400000,2080800000,1861400000,3087800000,3055300000,3532100000,3848200000,3549300000,2266400000,1705500000,1183700000,820700000,713500000,675300000,571700000,455900000,472000000,572000000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1065059/000095013304000869/0000950133-04-000869-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095013305001062/0000950133-05-001062-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095013306000887/0000950133-06-000887-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095013307000816/0000950133-07-000816-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095013308000773/0000950133-08-000773-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095013309000485/0000950133-09-000485-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095012310019237/0000950123-10-019237-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505911000014/0001065059-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505912000013/0001065059-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505913000010/0001065059-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505914000016/0001065059-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505915000012/0001065059-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505916000061/0001065059-16-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505917000009/0001065059-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505918000006/0001065059-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505919000005/0001065059-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505920000005/0001065059-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505921000009/0001065059-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505922000012/0001065059-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,68400000,152400000,8900000,78400000,16200000,10700000,23500000,22300000,106200000,96600000,48700000,58500000,7500000,-540700000,-1200600000,-158900000,297800000,-187400000,-67000000,12200000,-104100000,-16500000,54000000,174000000
74,Depreciation and Amortization,- -,16100000,16400000,20400000,22600000,23900000,29300000,31800000,35000000,36700000,39500000,34200000,31900000,43300000,50100000,37500000,27600000,8700000,13800000,13100000,12000000,7400000,7000000,7300000,8000000
75,Deferred Income Tax,- -,- -,-49500000,- -,-31400000,-9400000,-1700000,1600000,-43200000,-13400000,-40600000,3100000,-1600000,44300000,301600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000
77,Change in Working Capital,- -,-78200000,943300000,85100000,-4100000,-106700000,97500000,110500000,-262900000,121300000,730800000,-540500000,-287300000,98600000,-369600000,-73900000,-704800000,528700000,-58300000,-72800000,-71400000,-117700000,-13000000,7200000,32000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98800000,-37300000,-117200000,146600000,1400000,-28200000,110000000,29300000,6500000,-17600000,9700000,29300000,-8600000,- -
79,Inventory,- -,-142500000,51200000,122300000,-274000000,236700000,117700000,-17000000,76300000,176100000,36200000,-270600000,269900000,25100000,-75200000,238700000,160100000,200000000,90900000,89500000,44700000,61000000,100000,25800000,4000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44600000,23500000,-10600000,30100000,- -,-92300000,-1800000,10400000,-43800000,3700000,-12300000,1500000,-4000000
81,Other Working Capital,- -,- -,943300000,1028400000,1024300000,917600000,1015100000,1125600000,862700000,984000000,1714800000,1174300000,887000000,985600000,616000000,542100000,-162700000,366000000,307700000,234900000,163500000,45800000,32800000,40000000,72000000
82,Other Non-Cash Items,- -,67000000,-832200000,148400000,142100000,338400000,9100000,-114800000,437700000,27300000,-717100000,349600000,641900000,-171200000,614900000,1379900000,917300000,-945300000,240400000,164400000,22100000,140000000,33800000,-1400000,-137000000
83,Cash Provided by Operating Activities,- -,73300000,230400000,262800000,207600000,262400000,144900000,52600000,188900000,278100000,109200000,-104900000,443400000,22500000,56300000,142900000,81200000,-110100000,8500000,37700000,-25100000,-74400000,11300000,67100000,50000000
84,CAPEX,- -,-36500000,-51100000,-75900000,-53100000,-42400000,-24900000,-20200000,-26300000,-44800000,-137200000,-441900000,-441300000,-162200000,-152800000,-4300000,- -,- -,-300000,-3000000,-500000,-100000,-100000,-1400000,-1000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,43200000,10500000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35300000,-22500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-21400000,- -,-8100000,- -,-34800000,-33200000,-441900000,-441300000,-144600000,-163200000,124800000,-17500000,5000000,6700000,-1200000,4200000,400000,600000,-1400000,-1000000
89,Cash Used for Investing Activites,- -,-36500000,-51100000,-75900000,-53100000,-63800000,-24900000,-34300000,-26300000,-79600000,-170400000,-477200000,-463800000,-144600000,-163200000,124800000,25700000,15500000,6700000,-1200000,4200000,400000,600000,-1400000,-1000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102600000,-292300000,-38700000,-80900000,-123600000,-83200000,- -,- -,-9800000,-27600000,-5000000,-27500000,- -,-6000000
91,Common Stock Issued,- -,- -,- -,- -,2300000,2700000,3200000,14300000,8800000,2500000,214300000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23100000,42000000
92,Common Stock Repurchased,- -,- -,-14800000,-124600000,-13000000,- -,- -,- -,- -,- -,- -,- -,-400000,-18200000,-6500000,-10600000,- -,-100000,- -,- -,- -,- -,- -,-61600000,- -
93,Dividends Paid,- -,-120000000,-1791900000,-75900000,-44300000,-44600000,-45200000,-46300000,-47300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,536200000,- -,-50000000,- -,- -,-25600000,-39800000,-288700000,561600000,47000000,195900000,198700000,80900000,121800000,-2400000,-700000,- -,- -,-3400000,-6100000,-7500000,-5900000,-45000000
95,Cash Used/Provided by Financing Activities,- -,-120000000,-1270500000,-200500000,-105000000,-41900000,-42000000,-57600000,-78300000,-286200000,775900000,-55500000,-96800000,141800000,-6500000,-12400000,-85600000,-800000,- -,-9800000,-31000000,-11100000,-35000000,-44400000,-9000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-120000000,-1091200000,-13600000,49500000,156700000,78000000,-39300000,84300000,-87700000,714700000,-637600000,-117200000,19700000,-113400000,255300000,21300000,-95400000,15200000,26700000,-51900000,-85100000,-23100000,21300000,38100000
98,Cash at the End of Period,- -,- -,86600000,73000000,122500000,279200000,249100000,174800000,259100000,171400000,886100000,248500000,131300000,151000000,37600000,292900000,314200000,218800000,234000000,260700000,208800000,159700000,136600000,157900000,196000000
99,Cash at the Beginning of Period,- -,1261000000,1177800000,86600000,73000000,122500000,171100000,214100000,174800000,259100000,171400000,886100000,248500000,131300000,151000000,37600000,292900000,314200000,218800000,234000000,260700000,244800000,159700000,136600000,157900000
100,Free Cash Flow,- -,36800000,179300000,186900000,154500000,220000000,120000000,32400000,162600000,233300000,-28000000,-546800000,2100000,-139700000,-96500000,138600000,81200000,-110100000,8200000,34700000,-25600000,-74500000,11200000,65700000,49000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1065059/000095013304000869/0000950133-04-000869-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095013305001062/0000950133-05-001062-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095013306000887/0000950133-06-000887-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095013307000816/0000950133-07-000816-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095013308000773/0000950133-08-000773-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095013309000485/0000950133-09-000485-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000095012310019237/0000950123-10-019237-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505911000014/0001065059-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505912000013/0001065059-12-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505913000010/0001065059-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505914000016/0001065059-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505915000012/0001065059-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505916000061/0001065059-16-000061-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505917000009/0001065059-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505918000006/0001065059-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505919000005/0001065059-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505920000005/0001065059-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505921000009/0001065059-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1065059/000106505922000012/0001065059-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
