,https://roic.ai/company/MLP,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,4113000,7177000,7483000,9400000,13000000,15800000,9366000,21234000,1857000,20793000,9129000,37555000,23315000,25646000,-76745000,-92386000,42394000,11401000,1194000,4207000,22419000,11640000,20088000,13027000,-2506000,-3673000,-1068000,-2241000
16,EBITDA ratio,0.0327,0.0572,0.0549,0.0720,0.0912,0.1081,0.0669,0.1230,0.0119,0.1233,0.0596,0.2012,0.1303,0.1665,-0.9735,-1.8347,1.0105,0.7840,0.0739,0.2766,0.6792,0.5108,0.4241,0.5344,-0.2271,-0.3657,-0.1416,-0.1801
17,Operating Income,-1056000,3996000,2452000,-400000,8500000,9400000,3016000,15364000,-5526000,9024000,878000,23854000,15689000,-1392000,-71590000,-35867000,21772000,-7282000,-2393000,-540000,19905000,9332000,23470000,11090000,-3831000,-796000,-2552000,1637000
18,Operating Income ratio,-0.0084,0.0318,0.0180,-0.0031,0.0596,0.0643,0.0215,0.0890,-0.0355,0.0535,0.0057,0.1278,0.0877,-0.0090,-0.9081,-0.7123,0.5189,-0.5008,-0.1480,-0.0355,0.6031,0.4095,0.4955,0.4549,-0.3471,-0.0792,-0.3385,0.1316
19,Total Other Income Expenses (Gains),-5682000,-7021000,-3575000,1800000,-3000000,-2000000,-2652000,-4356000,-3689000,-2546000,-1863000,-562000,-4748000,15170000,-20722000,-57147000,-9362000,-2402000,-2563000,-2491000,-2270000,-2519000,-1656000,-190000,-670000,-1214000,285000,-5057000
20,Income Before Tax,-6738000,-3025000,-1123000,1400000,5500000,7400000,364000,11008000,-9215000,6478000,-985000,23292000,10941000,13778000,-92312000,-93014000,12410000,-9684000,-4956000,-3031000,17635000,6813000,21814000,10900000,-4501000,-2010000,-2267000,-3420000
21,Income Before Tax Ratio,-0.0535,-0.0241,-0.0082,0.0107,0.0386,0.0506,0.0026,0.0638,-0.0593,0.0384,-0.0064,0.1248,0.0612,0.0894,-1.1710,-1.8472,0.2958,-0.6659,-0.3066,-0.1993,0.5343,0.2990,0.4606,0.4471,-0.4078,-0.2001,-0.3007,-0.2749
22,Income Tax expense (Gain),-2829000,-1466000,-376000,500000,1200000,2700000,-88000,3440000,-3506000,2612000,-528000,8723000,3716000,5767000,-12916000,-4583000,-251000,-134000,- -,- -,- -,- -,-6372000,- -,-4999000,4999000,- -,- -
23,Net Income,-3909000,-1559000,-747000,900000,3600000,4700000,452000,7568000,-5709000,5997000,-383000,14569000,7225000,8011000,-79396000,-123281000,24752000,5078000,-4602000,-1164000,17635000,6813000,21814000,10900000,498000,-10366000,-2604000,-3420000
24,Net Income ratio,-0.0311,-0.0124,-0.0055,0.0069,0.0253,0.0321,0.0032,0.0439,-0.0367,0.0356,-0.0025,0.0780,0.0404,0.0520,-1.0071,-2.4483,0.5900,0.3492,-0.2847,-0.0765,0.5343,0.2990,0.4606,0.4471,0.0451,-1.0320,-0.3454,-0.2749
25,EPS,-0.55,-0.22,-0.10,0.12,0.50,0.65,0.06,1.05,-0.79,0.83,-0.05,2.02,1.00,1.03,-9.98,-15.33,1.99,0.27,-0.25,-0.06,0.94,0.36,1.15,0.57,0.03,-0.54,-0.14,-0.18
26,EPS Diluted,-0.55,-0.22,-0.10,0.12,0.50,0.65,0.06,1.05,-0.79,0.83,-0.05,1.99,0.98,1.02,-9.98,-15.33,1.99,0.27,-0.25,-0.06,0.94,0.36,1.15,0.57,0.03,-0.54,-0.14,-0.18
27,Weighted Average Shares Outstanding,7172477,7167816,7114286,7500000,7188500,7188840,7195800,7195800,7195800,7195800,7197808,7229457,7259534,7802282,7959472,8041403,12425509,18539591,18618356,19400000,18760638,18925000,18923622,19122807,19091679,19201663,18600000,19361852
28,Weighted Average Shares Outstanding Diluted,7172477,7167816,7114286,7500000,7188500,7188840,7195800,7195800,7195800,7205969,7197808,7309043,7347694,7862956,7959472,8041403,12425509,18539591,18618356,19400000,18760638,18925000,18923622,19122807,19091679,19201663,18600000,19361852
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/63330/000006333096000011/0000063330-96-000011-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63330/000006333001500006/0000063330-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/63330/000006333002000004/0000063330-02-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/63330/000104746905008076/0001047469-05-008076-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000110465906016549/0001104659-06-016549-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000110465907017428/0001104659-07-017428-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746908002846/0001047469-08-002846-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746909003536/0001047469-09-003536-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746910002804/0001047469-10-002804-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746911002101/0001047469-11-002101-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746912002068/0001047469-12-002068-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746913002084/0001047469-13-002084-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746914002732/0001047469-14-002732-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774915003690/0001437749-15-003690-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774916026175/0001437749-16-026175-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774917003225/0001437749-17-003225-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774918003251/0001437749-18-003251-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774919003802/0001437749-19-003802-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774920004231/0001437749-20-004231-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774921004630/0001437749-21-004630-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774922004848/0001437749-22-004848-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2269000,166000,453000,1600000,3400000,2700000,351000,2173000,658000,7863000,11531000,7216000,1143000,1991000,13668000,1881000,2095000,890000,829000,359000,415000,1087000,602000,1029000,624000,683000,869000,5596000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2269000,166000,453000,1600000,3400000,2700000,351000,2173000,658000,7863000,11531000,7216000,1143000,1991000,13668000,1881000,2095000,890000,829000,359000,415000,1087000,602000,1029000,624000,683000,869000,5596000
34,Net Receivables,13507000,13142000,14343000,12700000,13000000,15100000,16032000,15992000,22315000,24141000,12716000,19605000,25440000,10227000,10171000,8015000,1850000,1464000,1138000,1203000,1272000,1528000,1503000,940000,3396000,1173000,1362000,1103000
35,Inventory,20537000,19675000,16484000,18600000,15500000,16900000,24256000,26425000,23365000,13263000,15100000,17305000,18024000,11168000,9737000,3387000,1617000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4647000,3571000,4028000,4200000,3700000,4800000,5498000,4510000,8385000,6021000,8023000,5271000,1813000,3735000,19563000,15604000,12857000,2964000,2949000,1340000,170000,470000,649000,371000,249000,7698000,7520000,3477000
37,Total Current Assets,40960000,36554000,35308000,37100000,35600000,39500000,46137000,49100000,54723000,51288000,47370000,49397000,46420000,27121000,53139000,28887000,18419000,5318000,4916000,2902000,1857000,3085000,2754000,2340000,4269000,9554000,9751000,10176000
38,PP&E,180194000,88557000,86610000,87600000,89900000,101000000,109725000,113046000,112198000,95048000,93897000,96935000,129849000,140547000,116240000,84714000,61425000,48641000,45501000,40182000,36066000,32518000,25744000,30679000,29221000,19719000,18511000,51235000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,60000000,41683000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,14257000,11974000,10933000,10000000,10700000,12900000,14089000,14287000,17274000,15344000,19656000,39667000,33930000,43508000,37138000,14447000,10561000,10113000,11068000,10669000,11348000,10996000,10385000,11782000,14610000,9846000,10208000,-23492000
45,Total Non-Current Assets,194451000,100531000,97543000,97600000,100600000,113900000,123814000,127333000,129472000,110392000,113553000,136602000,173779000,244055000,195061000,99161000,71986000,58754000,56569000,50851000,47414000,43514000,36129000,42461000,43831000,29565000,28719000,27743000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,235411000,137085000,132851000,134700000,136200000,153400000,169951000,176433000,184195000,161680000,160923000,185999000,220199000,271176000,248200000,128048000,90405000,64072000,61485000,53753000,49271000,46599000,38883000,44801000,48100000,39119000,38470000,37919000
48,Accounts Payable,5596000,5761000,7661000,6200000,6600000,12500000,8476000,10534000,13057000,12434000,12703000,18418000,16145000,15776000,8183000,6581000,4877000,1217000,1341000,995000,968000,675000,569000,696000,2024000,1356000,899000,580000
49,Short-Term Debt,- -,- -,53000,3000000,2800000,3100000,3508000,3759000,6846000,3850000,3314000,837000,1410000,1631000,45000000,- -,- -,- -,4068000,49000000,2533000,40565000,- -,- -,1235000,- -,200000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,988000,- -,- -,13018000,11380000,1205000,- -,- -,4267000,24098000,108000,- -,- -,- -,- -,- -,- -,- -,- -,260000,217000
52,Other Current Liabilities,36461000,7365000,8127000,7700000,7200000,10900000,14849000,8356000,9318000,11437000,7151000,9862000,8657000,10898000,14401000,17195000,15168000,11172000,9276000,4601000,2463000,2619000,1829000,1151000,1439000,1596000,1588000,1600000
53,Total Current Liabilities,42057000,13126000,15841000,16900000,16600000,26500000,26833000,23637000,29221000,27721000,36186000,40497000,27417000,28305000,67584000,28043000,44143000,12497000,14685000,54596000,5964000,43859000,2398000,1847000,4698000,2952000,2947000,2397000
54,Long-Term Debt,96138000,34500000,27347000,29500000,23600000,25500000,41012000,38295000,42256000,22298000,13568000,10284000,49657000,58453000,88959000,94224000,45200000,45521000,45200000,- -,47643000,- -,6857000,1235000,- -,1035000,200000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4991000,- -,- -,- -,- -,- -,- -,811000,409000,215000,- -,- -,1767000,1633000
56,Deferred Tax Liabilities,1847000,504000,850000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4566000,9462000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,34940000,30085000,30780000,29400000,33500000,34600000,35780000,40512000,48792000,34787000,39044000,43521000,37652000,44689000,54978000,82722000,25307000,32307000,35963000,26388000,10846000,12868000,11477000,10360000,12483000,12440000,13489000,7902000
58,Total Non-Current Liabilities,132925000,65089000,58977000,58900000,57100000,60100000,76792000,78807000,91048000,57085000,52612000,53805000,91875000,112604000,148928000,176946000,70507000,77828000,81163000,26388000,58489000,13679000,18743000,11810000,12483000,13475000,15456000,9535000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,996000,698000,385000,- -,59000,1624000,3032000,2417000,174000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,174982000,78215000,74818000,75800000,73700000,86600000,103625000,102444000,120269000,84806000,88798000,94302000,119292000,140909000,216512000,204989000,114650000,90325000,95848000,80984000,64453000,57538000,21141000,13657000,17181000,16427000,18403000,11932000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,12318000,12318000,12318000,- -,- -,12500000,12455000,12455000,12455000,12455000,13335000,14186000,15168000,- -,- -,- -,- -,- -,76410000,76810000,77105000,77628000,78123000,78584000,79411000,80606000,81485000,82378000
64,Retained Earnings,48111000,46552000,45715000,46600000,50200000,53900000,53498000,61066000,55357000,61354000,60971000,75540000,82765000,90576000,6558000,-116723000,-91971000,-87828000,-92430000,-93594000,-75959000,-69146000,-47332000,-36432000,-35934000,-46300000,-48904000,-52324000
65,Other Comprehensive Income/Loss,-94296000,-96618000,-104389000,-112000000,-120000000,-124000000,-132452000,-142260000,-152449000,-153990000,-146569000,-1000000,-2000000,-1000000,-18000000,-5000000,-17000000,-24000000,-28000000,-20000000,-26000000,-29000000,-22000000,-20000000,-22000000,-21000000,-21698000,-15648000
66,Other Total Stockholders Equity,94296000,96618000,104389000,124300000,132300000,124000000,132421000,142158000,147376000,151725000,143884000,2454000,4436000,40691000,43130000,44782000,84726000,85575000,9657000,9553000,9672000,9579000,8951000,8992000,9442000,9386000,9184000,9184000
67,Total Stockholders Equity,60429000,58870000,58033000,58900000,62500000,66400000,65922000,73419000,62739000,71544000,71621000,91180000,100369000,130267000,31688000,-76941000,-24245000,-26253000,-34363000,-27231000,-15182000,-10939000,17742000,31144000,30919000,22692000,20067000,23590000
68,Total Liabilities And Stockholders Equity,235411000,137085000,132851000,134700000,136200000,153000000,169547000,175863000,183008000,156350000,160419000,185482000,219661000,271176000,248200000,128048000,90405000,64072000,61485000,53753000,49271000,46599000,38883000,44801000,48100000,39119000,38470000,35522000
69,Minority Interest,- -,- -,- -,- -,- -,400000,404000,570000,1187000,5330000,504000,517000,538000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2397000
70,Total Liabilities & Equity,235411000,137085000,132851000,134700000,136200000,153400000,169951000,176433000,184195000,161680000,160923000,185999000,220199000,271176000,248200000,128048000,90405000,64072000,61485000,53753000,49271000,46599000,38883000,44801000,48100000,39119000,38470000,37919000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/63330/000006333096000011/0000063330-96-000011-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63330/000006333001500006/0000063330-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/63330/000006333002000004/0000063330-02-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/63330/000104746905008076/0001047469-05-008076-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000110465906016549/0001104659-06-016549-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000110465907017428/0001104659-07-017428-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746908002846/0001047469-08-002846-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746909003536/0001047469-09-003536-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746910002804/0001047469-10-002804-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746911002101/0001047469-11-002101-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746912002068/0001047469-12-002068-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746913002084/0001047469-13-002084-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000104746914002732/0001047469-14-002732-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774915003690/0001437749-15-003690-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774916026175/0001437749-16-026175-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774917003225/0001437749-17-003225-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774918003251/0001437749-18-003251-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774919003802/0001437749-19-003802-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774920004231/0001437749-20-004231-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774921004630/0001437749-21-004630-index.htm,https://www.sec.gov/Archives/edgar/data/63330/000143774922004848/0001437749-22-004848-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-3909000,-1559000,-747000,900000,3600000,4700000,452000,7568000,-5709000,5997000,-383000,14569000,7225000,8011000,-79396000,-123281000,24752000,5078000,-4602000,-1164000,17635000,6813000,21814000,10900000,498000,-10366000,-2604000,-3420000
74,Depreciation and Amortization,10851000,10202000,8606000,8000000,8200000,8400000,9002000,10226000,11072000,12184000,10040000,14263000,12374000,11868000,13131000,25026000,8487000,4028000,3219000,2870000,2514000,2308000,2990000,1937000,1839000,1496000,1402000,1301000
75,Deferred Income Tax,-851000,-1471000,-389000,-5300000,-500000,600000,-776000,1792000,-349000,589000,-1317000,6151000,-906000,1910000,-4085000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2752000,1497000,735000,646000,489000,425000,271000,187000,315000,448000,563000,705000,676000,705000
77,Change in Working Capital,-4101000,24525000,-3961000,733000,-1200000,-6000000,6304000,6159000,39000,-1935000,-12383000,-2284000,10103000,-20187000,-13261000,15289000,-26568000,18545000,-2590000,-41925000,47587000,-36667000,41130000,137000,-922000,7031000,202000,975000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1030000,2059000,1895000,131000,326000,-65000,-69000,-256000,25000,563000,43000,-184000,-388000,191000
79,Inventory,575000,862000,3191000,-1200000,5200000,-2400000,-6660000,-2169000,3015000,10102000,-699000,-2205000,-719000,6856000,1520000,6350000,1770000,1558000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4412000,-1724000,-1448000,-3392000,257000,-354000,4000,-293000,-106000,127000,1328000,-668000,-457000,-319000
81,Other Working Capital,-1097000,23428000,19467000,20200000,19000000,13000000,19304000,25463000,25502000,23567000,11184000,8900000,19003000,-1184000,-14445000,844000,-25724000,-7179000,-9769000,-51694000,-4107000,-40774000,356000,493000,-429000,6602000,6804000,7779000
82,Other Non-Cash Items,9546000,-29555000,8245000,-833000,7500000,10800000,-13290000,-9792000,-2052000,-649000,31663000,-22832000,-49028000,-9182000,29062000,65598000,-16795000,-38522000,-289000,36208000,-70743000,37980000,-32372000,-5072000,-1096000,2906000,2524000,1826000
83,Cash Provided by Operating Activities,11536000,2142000,11754000,3500000,17600000,18500000,1692000,15953000,3001000,16186000,27620000,9867000,-20232000,-7580000,-51797000,-15871000,-9389000,-10225000,-3773000,-3586000,-2736000,10621000,33877000,8350000,882000,1772000,2200000,1387000
84,CAPEX,-43488000,-5679000,-5284000,-8400000,-8200000,-18200000,-18179000,-13356000,-10401000,-6738000,-11360000,-16887000,-45874000,-24443000,-13909000,-1201000,-4276000,-1025000,-209000,-4000,-31000,- -,-268000,- -,-311000,-712000,-81000,4203000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-4981000,-3260000,-275000,-1800000,-1600000,-2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,7906000,15312000,4848000,6300000,100000,-100000,-141000,624000,-1490000,20519000,-1840000,8885000,19382000,8800000,-3320000,4948000,6435000,10199000,311000,3795000,2209000,43000,-63000,-1521000,-395000,-278000,-436000,-103000
89,Cash Used for Investing Activites,-40563000,6373000,-711000,-3900000,-9700000,-21000000,-18320000,-12732000,-11891000,13781000,-13200000,-8002000,-26492000,-15643000,-17229000,3747000,2159000,9174000,102000,3791000,2178000,43000,-331000,-1521000,-706000,-990000,-517000,4100000
90,Debt Repayment,-26485000,-27006000,-29466000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71025000,-66266000,-72168000,-10553000,-1453000,-8068000,-2324000,-10211000,-61208000,-5922000,-500000,-1700000,-2232000,-1589000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16366000,- -,- -,40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-662000,-560000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-90000,- -,- -,-900000,-899000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,56558000,16388000,18800000,1600000,-6100000,2700000,15221000,-1399000,7375000,-22762000,-10752000,-6180000,40651000,7705000,151728000,66603000,39612000,10399000,5063000,7393000,2938000,219000,27177000,-480000,-81000,977000,1397000,1389000
95,Cash Used/Provided by Financing Activities,30073000,-10618000,-10756000,1600000,-6100000,1800000,14322000,-1399000,7375000,-22762000,-10752000,-6180000,40651000,24071000,80703000,337000,7444000,-154000,3610000,-675000,614000,-9992000,-34031000,-6402000,-581000,-723000,-1497000,-760000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1046000,-2103000,287000,- -,- -,-700000,-2306000,1822000,-1515000,7205000,3668000,-4315000,-6073000,848000,11677000,-11787000,214000,-1205000,-61000,-470000,56000,672000,-485000,427000,-405000,59000,186000,4727000
98,Cash at the End of Period,2269000,166000,453000,- -,- -,2700000,351000,2173000,658000,7863000,11531000,7216000,1143000,1991000,13668000,1881000,2095000,890000,829000,359000,415000,1087000,602000,1029000,624000,683000,869000,5596000
99,Cash at the Beginning of Period,1223000,2269000,166000,500000,1600000,3400000,2657000,351000,2173000,658000,7863000,11531000,7216000,1143000,1991000,13668000,1881000,2095000,890000,829000,359000,415000,1087000,602000,1029000,624000,683000,869000
100,Free Cash Flow,-31952000,-3537000,6470000,-4900000,9400000,300000,-16487000,2597000,-7400000,9448000,16260000,-7020000,-66106000,-32023000,-65706000,-17072000,-13665000,-11250000,-3982000,-3590000,-2767000,10621000,33609000,8350000,571000,1060000,2119000,5590000
