,https://roic.ai/company/EXC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,234000000,-232000000,57000000,243000000,-97000000,-318000000,240000000,-432000000,-426000000,-565000000,-243000000,697000000,-703000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,18200000,-10900000,-2700000,28600000,14200000,-43400000,49000000,-33000000,-37000000,-54000000,-60000000,-118000000,-59000000,9000000,-109000000,51000000,-62000000,-58000000,26000000,-100000000,-380000000,4000000,7000000,-72000000,-37000000,-87000000,-85000000,-141000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-632000000,-90000000,209000000,-121000000,771000000,-390000000,551000000,- -,-343000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,52900000,9600000,-25000000,58500000,54300000,- -,-467000000,-635000000,-1856000000,-1108000000,-956000000,-1926000000,-803000000,-944000000,1288000000,1203000000,2158000000,500000000,2349000000,2409000000,3335000000,6216000000,-1045000000,1038000000,1956000000,-2148000000,-209000000,-4749000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,791400000,514200000,522800000,2469000000,1040000000,352800000,784000000,2423000000,3117000000,2068000000,2180000000,1701000000,2047000000,2005000000,-426000000,882000000,-1330000000,1224000000,626000000,2292000000,-908000000,-736000000,9972000000,-1840000000,1469000000,2894000000,-6503000000,-1132000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1294700000,1264100000,1172200000,1038200000,1432900000,888400000,1096000000,3615000000,3614000000,3384000000,4398000000,2147000000,4835000000,4496000000,6551000000,6094000000,5244000000,4853000000,6131000000,6343000000,4457000000,7616000000,8445000000,7480000000,8644000000,6659000000,4235000000,3012000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-570900000,-577900000,-548900000,-490200000,-415300000,-491100000,-752000000,-2041000000,-2150000000,-1954000000,-1921000000,-2165000000,-2418000000,-2674000000,-3117000000,-3273000000,-3326000000,-4042000000,-5789000000,-5395000000,-6077000000,-7624000000,-8553000000,-7584000000,-7594000000,-7248000000,-8048000000,-7981000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-222500000,-752000000,-30000000,-445000000,-272000000,- -,-97000000,- -,- -,- -,- -,-893000000,-387000000,371000000,- -,-386000000,-40000000,-6934000000,-208000000,-154000000,-41000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,-60500000,-114100000,-83300000,-46700000,-66500000,- -,- -,- -,- -,- -,- -,- -,- -,-17487000000,-23172000000,-3929000000,-6336000000,-7496000000,-4454000000,-7554000000,-7147000000,-9738000000,-8113000000,-8997000000,-10087000000,-3464000000,-6673000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,- -,- -,287000000,263000000,329000000,- -,- -,95000000,17202000000,22946000000,3792000000,6145000000,7293000000,4239000000,7738000000,6895000000,9856000000,7845000000,8762000000,10051000000,3341000000,6532000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150000000,- -,- -,-100000,-117500000,301000000,-321000000,-230000000,-146000000,-144000000,-225000000,-344000000,-330000000,-3093000000,-3232000000,-2864000000,-4025000000,-4744000000,-5179000000,-4397000000,-7530000000,-8687000000,-7458000000,-7445000000,-7183000000,-4213000000,-3176000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-588900000,-488400000,-663000000,-573500000,-462100000,-885400000,-1203000000,-2392000000,-2538000000,-2109000000,-1736000000,-2487000000,-2762000000,-2909000000,-3378000000,-3458000000,-3894000000,-4603000000,-4576000000,-5394000000,-4599000000,-7822000000,-15503000000,-7934000000,-7834000000,-7260000000,-4336000000,-3317000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2841000000,-2538000000,-1634000000,-789000000,-1357000000,-1799000000,-1545000000,-2687000000,-2751000000,-3751000000,-2125000000,-1412000000,-6440000000,-1990000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,96600000,11300000,50100000,128800000,14000000,- -,39000000,78000000,381000000,240000000,222000000,184000000,215000000,- -,- -,- -,- -,- -,- -,- -,1868000000,- -,1150000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-238800000,-78100000,- -,-61900000,-80800000,-1742400000,-515000000,-17000000,-18000000,-300000000,-82000000,-362000000,-186000000,-1287000000,-436000000,- -,- -,- -,- -,-93000000,- -,- -,-190000000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-381100000,-384700000,-409900000,-422800000,-236300000,-208100000,-157000000,-583000000,-563000000,-620000000,-831000000,-1070000000,-1071000000,-1180000000,-1335000000,-1385000000,-1389000000,-1393000000,-1716000000,-1249000000,-1065000000,-1105000000,-1166000000,-1236000000,-1332000000,-1408000000,-1492000000,-1497000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88200000,-435800000,-102000000,-25900000,-767900000,2113700000,417000000,-703000000,-589000000,-701000000,-1954000000,1191000000,-916000000,752000000,2399000000,2026000000,1275000000,1336000000,1988000000,2315000000,3021000000,6754000000,5298000000,4554000000,3238000000,2762000000,8077000000,4245000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-705800000,-802000000,-500600000,-460500000,-956200000,177200000,-255000000,-1264000000,-1092000000,-1240000000,-2627000000,-19000000,-1989000000,-1500000000,-2213000000,-1897000000,-1748000000,-846000000,-1085000000,-826000000,411000000,4830000000,1191000000,717000000,-219000000,-58000000,145000000,758000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-26400000,8600000,4200000,14700000,180100000,-362000000,-41000000,-16000000,35000000,35000000,-359000000,84000000,87000000,960000000,739000000,-398000000,-596000000,470000000,123000000,269000000,4624000000,-5867000000,263000000,591000000,-659000000,44000000,453000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,20600000,29200000,33400000,48100000,228200000,840000000,485000000,469000000,504000000,528000000,140000000,224000000,311000000,1271000000,2010000000,1612000000,1016000000,1486000000,1609000000,1878000000,6502000000,635000000,898000000,1781000000,1122000000,1166000000,1619000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,46900000,47000000,20600000,29200000,33400000,48100000,1202000000,526000000,485000000,469000000,493000000,499000000,140000000,224000000,311000000,1271000000,2010000000,1612000000,1016000000,1486000000,1609000000,1878000000,6502000000,635000000,1190000000,1781000000,1122000000,1166000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,723800000,686200000,623300000,548000000,1017600000,397300000,344000000,1574000000,1464000000,1430000000,2477000000,-18000000,2417000000,1822000000,3434000000,2821000000,1918000000,811000000,342000000,948000000,-1620000000,-8000000,-108000000,-104000000,1050000000,-589000000,-3813000000,-4969000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78100/000095015901000191/0000950159-01-000191-index.html,https://www.sec.gov/Archives/edgar/data/22606/000095013702001929/0000950137-02-001929-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000104746903009677/0001047469-03-009677-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312504027301/0001193125-04-027301-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312505035141/0001193125-05-035141-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312506032686/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312507029587/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312508022265/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312509021261/0001193125-09-021261-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312510023280/0001193125-10-023280-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312511030543/d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312512049043/0001193125-12-049043-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312513069749/0001193125-13-069749-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000119312514051838/d666092d10k.htm,https://www.sec.gov/Archives/edgar/data/1109357/000119312515049964/d858551d10k.htm,https://www.sec.gov/Archives/edgar/data/1168165/000119312516457652/0001193125-16-457652-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000119312517039639/0001193125-17-039639-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000162828018001324/0001628280-18-001324-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000162828019001107/0001628280-19-001107-index.html,https://www.sec.gov/Archives/edgar/data/1168165/000110935720000053/0001109357-20-000053-index.html,https://www.sec.gov/Archives/edgar/data/1109357/000110935721000022/0001109357-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1109357/000110935722000039/0001109357-22-000039-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
