,https://roic.ai/company/HLIO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,45200000,49300000,55900000,64200000,- -,72600000,62900000,61100000,67100000,82200000,97577000,117200000,133700000,141900000,- -,95300000,148902000,150000000,149100000,163602000,- -,162475000,281348000,432491000,464550000,- -,455757000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,562000,- -,1368000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,562000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13286000
14,Depreciation and Amortization,2600000,2900000,3700000,4400000,- -,5594000,5426000,5100000,5152000,5465000,5604000,5849000,6341000,7096000,- -,6968000,6721000,7186000,7227000,8718000,- -,11318000,19190000,39714000,35215000,- -,39695000
15,EBITDA,12100000,7400000,11000000,12900000,- -,11494000,6826000,7714000,8453000,17167000,24741000,30729000,40681000,44790000,- -,9591000,64307000,63041000,64415000,74460000,- -,46219000,66734000,96109000,110522000,- -,77028000
16,EBITDA ratio,0.2184,0.1355,0.1713,0.1794,- -,0.1437,0.1050,0.1196,0.1194,0.1817,0.2119,0.2159,0.2430,0.2512,- -,0.0985,0.3150,0.3084,0.3138,0.3270,- -,0.2347,0.1947,0.1892,0.1993,- -,0.1473
17,Operating Income,10200000,5300000,8300000,7700000,- -,7356000,2060000,3420000,3683000,12294000,19180000,25051000,33635000,36377000,- -,2143000,55269000,54409000,56171000,64071000,- -,34459000,61491000,75554000,90115000,- -,35412000
18,Operating Income ratio,0.1841,0.0971,0.1293,0.1071,- -,0.0920,0.0317,0.0530,0.0520,0.1301,0.1643,0.1760,0.2009,0.2040,- -,0.0220,0.2707,0.2662,0.2736,0.2814,- -,0.1750,0.1794,0.1487,0.1625,- -,0.0677
19,Total Other Income Expenses (Gains),-700000,-800000,-1000000,800000,- -,-1456000,-760000,-820000,-383000,-594000,-43000,-151000,765000,1323000,- -,-143000,2317000,1491000,1029000,1671000,- -,442000,-13947000,-19159000,-14808000,- -,-11365000
20,Income Before Tax,9500000,4500000,7300000,8500000,- -,5900000,1300000,2600000,3300000,11700000,19137000,24900000,34400000,37700000,- -,2000000,57586000,55900000,57200000,65742000,- -,34901000,47544000,56395000,75307000,- -,24047000
21,Income Before Tax Ratio,0.1715,0.0824,0.1137,0.1182,- -,0.0737,0.0200,0.0403,0.0466,0.1238,0.1639,0.1750,0.2055,0.2114,- -,0.0205,0.2820,0.2735,0.2786,0.2888,- -,0.1772,0.1387,0.1110,0.1358,- -,0.0460
22,Income Tax expense (Gain),3600000,1600000,2600000,2900000,- -,2000000,400000,814000,1101000,3902000,6329000,8680000,12240000,11994000,- -,161000,19909000,18455000,19188000,21967000,- -,11597000,15986000,9665000,15039000,- -,9829000
23,Net Income,5900000,2900000,4700000,5600000,- -,3900000,1000000,1800000,2200000,7800000,12808000,16200000,22100000,25700000,- -,1900000,37677000,37400000,38000000,43775000,- -,23304000,31558000,46730000,60268000,- -,14218000
24,Net Income ratio,0.1065,0.0531,0.0732,0.0779,- -,0.0488,0.0154,0.0279,0.0311,0.0825,0.1097,0.1138,0.1320,0.1441,- -,0.0195,0.1845,0.1830,0.1851,0.1923,- -,0.1183,0.0920,0.0920,0.1087,- -,0.0272
25,EPS,0.68,0.08,0.22,0.26,- -,0.18,0.04,0.08,0.10,0.34,0.52,0.66,0.90,1.03,- -,0.07,1.47,1.44,1.45,1.65,- -,0.87,1.17,1.49,1.88,- -,0.44
26,EPS Diluted,0.64,0.08,0.22,0.26,- -,0.18,0.04,0.08,0.10,0.34,0.52,0.66,0.89,1.03,- -,0.07,1.47,1.44,1.45,1.65,- -,0.87,1.17,1.49,1.88,- -,0.44
27,Weighted Average Shares Outstanding,8686724,18225006,21289500,21414375,- -,21549375,21573000,21711375,22109625,23105250,24360750,24475500,24655500,24904500,- -,25255500,25642000,25944000,26206000,26456000,- -,26892000,27031000,31309000,32015000,- -,32088000
28,Weighted Average Shares Outstanding Diluted,9252377,18225006,21934125,22042125,- -,22187250,22119750,22237875,22264875,23277375,24565500,24612750,24747000,24951000,- -,25305000,25684000,25971000,26206000,26456000,- -,26892000,27031000,31309000,32015000,- -,32088000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024795/000095014499003560/0000950144-99-003560-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000095014401003470/0000950144-01-003470-index.html,- -,https://www.sec.gov/Archives/edgar/data/1024795/000095014403003974/0000950144-03-003974-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000095014404003085/0000950144-04-003085-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000095014405003028/0000950144-05-003028-index.html,- -,https://www.sec.gov/Archives/edgar/data/1024795/000119312507054557/d10k.htm,https://www.sec.gov/Archives/edgar/data/1024795/000119312508053713/d10k.htm,https://www.sec.gov/Archives/edgar/data/1024795/000119312509050407/0001193125-09-050407-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000119312510056507/0001193125-10-056507-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000119312512113092/0001193125-12-113092-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000119312513103067/0001193125-13-103067-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000102479514000010/snhy-20131228x10k.htm,https://www.sec.gov/Archives/edgar/data/1024795/000102479515000007/snhy-20141227x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000156459017002829/0001564590-17-002829-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000156459018003418/0001564590-18-003418-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000156459019004297/0001564590-19-004297-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000156459020006215/0001564590-20-006215-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000156459021010095/0001564590-21-010095-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2400000,1000000,1200000,1600000,- -,2700000,3600000,4000000,4800000,9300000,5417000,9400000,19200000,35200000,- -,30300000,51262000,34500000,54900000,56843000,- -,74221000,63882000,23477000,22123000,- -,25216000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000,21832000,37700000,38700000,38729000,- -,6825000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2400000,1000000,1200000,1600000,- -,2700000,3600000,4000000,4800000,9300000,5417000,9400000,19200000,35200000,- -,38100000,73094000,72200000,93600000,95572000,- -,81046000,63882000,23477000,22123000,- -,25216000
34,Net Receivables,3600000,3500000,4600000,5300000,- -,6100000,5400000,5700000,6200000,8600000,10975000,13900000,17000000,13900000,- -,11400000,16347000,14500000,17900000,17501000,- -,26242000,37503000,77355000,72669000,- -,98726000
35,Inventory,4500000,4500000,6800000,8100000,- -,9000000,7200000,6800000,6600000,7100000,7870000,10400000,11400000,10000000,- -,7800000,12829000,12600000,13900000,14098000,- -,30000000,41545000,85989000,85195000,- -,110372000
36,Other Current Assets,200000,1200000,900000,1000000,- -,600000,1100000,800000,1200000,1600000,2295000,1300000,1700000,1600000,- -,2600000,1660000,3100000,3700000,8376000,- -,3980000,3846000,10035000,12602000,- -,19705000
37,Total Current Assets,10700000,10200000,13500000,16000000,- -,18400000,17300000,17300000,18800000,26600000,26557000,35000000,49300000,60700000,- -,59900000,103930000,102400000,129100000,135547000,- -,141268000,146776000,196856000,192589000,- -,254019000
38,PP&E,23100000,37200000,39800000,44000000,- -,45000000,43600000,44000000,42800000,43700000,45181000,50400000,57000000,57700000,- -,56600000,56959000,64700000,75700000,77716000,- -,80515000,91931000,126868000,145854000,- -,163177000
39,Goodwill,- -,- -,- -,- -,- -,800000,700000,700000,700000,700000,- -,700000,700000,700000,- -,700000,2691000,4500000,5200000,5141000,- -,103583000,108869000,383131000,377569000,- -,443533000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,200000,200000,- -,400000,300000,300000,- -,- -,- -,2500000,2900000,3706000,- -,112565000,104131000,320548000,294651000,- -,419375000
41,Intangible Assets,- -,- -,- -,- -,- -,800000,700000,700000,900000,900000,- -,1100000,1000000,1000000,- -,700000,2691000,7000000,8100000,8847000,- -,216148000,213000000,703679000,672220000,- -,862908000
42,Investments,- -,- -,- -,- -,- -,200000,200000,200000,300000,300000,- -,600000,3300000,2858000,- -,2413000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,4100000,3800000,4100000,4700000,5000000,- -,4500000,5100000,4900000,- -,5200000,- -,7200000,7700000,8501000,- -,3705000,2068000,57783000,49290000,- -,6645000
44,Other Non-Current Assets,100000,1000000,100000,1000000,- -,-4100000,-3800000,-4000000,-4200000,-4700000,1823000,-4400000,-4900000,-4758000,- -,-4913000,3948000,-6200000,-7100000,-7847000,- -,3141000,5991000,-43021000,-38202000,- -,10230000
45,Total Non-Current Assets,23200000,38200000,39900000,45000000,- -,46000000,44500000,45000000,44500000,45200000,47004000,52200000,61500000,61700000,- -,60000000,63598000,72700000,84400000,87217000,- -,303509000,312990000,845309000,829162000,- -,1042960000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,33900000,48400000,53400000,61000000,- -,64400000,61800000,62300000,63300000,71800000,73561000,87200000,110800000,122400000,- -,119900000,167528000,175100000,213500000,222764000,- -,444777000,459766000,1042165000,1021751000,- -,1296979000
48,Accounts Payable,3000000,3300000,2800000,2900000,- -,1800000,1300000,1700000,2400000,2500000,4822000,4800000,5700000,3300000,- -,2400000,4402000,4600000,4600000,4873000,- -,10166000,15469000,40879000,29730000,- -,59477000
49,Short-Term Debt,- -,- -,1800000,4900000,- -,- -,- -,1421000,937000,1058000,398000,426000,417000,147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,5215000,7623000,- -,16229000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,559000,- -,265000,1878000,2697000,4941000,- -,1489000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,4092000,4456000,392000,- -,219000,301000,259000,- -,575000,- -,248000,474000,467000,- -,- -,4654000,9463000,5803000,- -,- -
52,Other Current Liabilities,3400000,5900000,2800000,2500000,- -,3900000,3200000,-2713000,-1893000,5950000,4946000,5555000,6682000,6794000,- -,3425000,9784000,7352000,8926000,10392000,- -,20910000,25740000,37433000,33297000,- -,52306000
53,Total Current Liabilities,6400000,9200000,7400000,10300000,- -,5700000,4500000,4500000,5900000,9900000,10166000,11000000,13100000,10500000,- -,6400000,14186000,12200000,14000000,15732000,- -,31076000,45863000,92990000,76453000,- -,128012000
54,Long-Term Debt,5200000,14200000,7800000,7000000,- -,10200000,9300000,8200000,17300000,11200000,1986000,600000,300000,100000,- -,- -,- -,- -,- -,- -,- -,140000000,116000000,347470000,292770000,- -,445841000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,2600000,3200000,3700000,- -,- -,- -,- -,- -,- -,4688000,- -,- -,- -,- -,- -,6917000,7230000,7747000,8501000,- -,9501000,2068000,57783000,49290000,- -,78864000
57,Other Non-Current Liabilities,700000,100000,- -,- -,- -,4600000,4200000,4400000,5000000,5300000,281000,4800000,5500000,5200000,- -,5900000,1149000,370000,353000,272000,- -,27803000,23162000,13154000,25602000,- -,36472000
58,Total Non-Current Liabilities,6000000,16900000,11000000,10700000,- -,14800000,13500000,12600000,22300000,16500000,6955000,5400000,5800000,5300000,- -,5900000,8066000,7600000,8100000,8773000,- -,177304000,141230000,418407000,367662000,- -,561177000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,12400000,26100000,18400000,21000000,- -,20500000,18000000,17100000,28200000,26400000,17121000,16400000,18900000,15800000,- -,12300000,22252000,19800000,22100000,24505000,- -,208380000,187093000,511397000,444115000,- -,689189000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,2300000,- -,- -,11000,- -,- -,- -,- -,- -,26000,- -,- -,27000,- -,27000,27000,32000,32000,- -,32000
64,Retained Earnings,18700000,17500000,10700000,15400000,- -,19100000,19000000,19800000,7500000,13900000,23406000,35300000,51800000,70100000,- -,64400000,98426000,97200000,123400000,128818000,- -,162485000,183770000,219056000,267658000,- -,270320000
65,Other Comprehensive Income/Loss,-11700000,-14300000,-15100000,-19500000,- -,600000,-32400000,453000,-494000,2958000,906000,4543000,5632000,-1602000,- -,1004000,-2120000,603000,2591000,-4085000,- -,-15833000,-6478000,-46253000,-55364000,- -,-34340000
66,Other Total Stockholders Equity,14500000,19100000,39400000,44100000,- -,24100000,57100000,20346000,25400000,25500000,- -,30500000,34100000,38500000,- -,41200000,48944000,57100000,65000000,73499000,- -,89718000,95354000,357933000,365310000,- -,371778000
67,Total Stockholders Equity,21500000,22300000,35000000,40000000,- -,43800000,43700000,42899000,35063000,45403000,56440000,70800000,91882000,106556000,- -,107614000,145276000,155273000,191428000,198259000,- -,236397000,272673000,530768000,577636000,- -,607790000
68,Total Liabilities And Stockholders Equity,33900000,48400000,53400000,61000000,- -,64300000,61700000,59999000,63263000,71803000,73561000,87200000,110782000,122356000,- -,119914000,167528000,175073000,213528000,222764000,- -,444777000,459766000,1042165000,1021751000,- -,1296979000
69,Minority Interest,- -,- -,- -,- -,- -,100000,100000,2301000,37000,-3000,- -,- -,18000,44000,- -,-14000,- -,27000,-28000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,33900000,48400000,53400000,61000000,- -,64400000,61800000,62300000,63300000,71800000,73561000,87200000,110800000,122400000,- -,119900000,167528000,175100000,213500000,222764000,- -,444777000,459766000,1042165000,1021751000,- -,1296979000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024795/000095014499003560/0000950144-99-003560-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000095014401003470/0000950144-01-003470-index.html,- -,https://www.sec.gov/Archives/edgar/data/1024795/000095014403003974/0000950144-03-003974-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000095014404003085/0000950144-04-003085-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000095014405003028/0000950144-05-003028-index.html,- -,https://www.sec.gov/Archives/edgar/data/1024795/000119312507054557/d10k.htm,https://www.sec.gov/Archives/edgar/data/1024795/000119312508053713/d10k.htm,https://www.sec.gov/Archives/edgar/data/1024795/000119312509050407/0001193125-09-050407-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000119312510056507/0001193125-10-056507-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000119312512113092/0001193125-12-113092-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000119312513103067/0001193125-13-103067-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000102479514000010/snhy-20131228x10k.htm,https://www.sec.gov/Archives/edgar/data/1024795/000102479515000007/snhy-20141227x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000156459017002829/0001564590-17-002829-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000156459018003418/0001564590-18-003418-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000156459019004297/0001564590-19-004297-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000156459020006215/0001564590-20-006215-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000156459021010095/0001564590-21-010095-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5900000,2900000,4700000,5600000,- -,3900000,1000000,1800000,2200000,7800000,12808000,16200000,22100000,25700000,- -,1900000,37677000,37400000,38000000,43775000,- -,23304000,31558000,46730000,60268000,- -,14218000
74,Depreciation and Amortization,2600000,2900000,3700000,4400000,- -,5594000,5426000,5100000,5152000,5465000,5604000,5849000,6341000,7096000,- -,6968000,6721000,7186000,7227000,8718000,- -,11318000,19190000,39714000,35215000,- -,39695000
75,Deferred Income Tax,-100000,- -,600000,500000,- -,-19000,-258000,244000,364000,138000,-688000,326000,575000,-195000,- -,4000,1419000,237000,-12000,1128000,- -,190000,-6791000,-1455000,-551000,- -,-3631000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,896000,- -,960000,1608000,2333000,3117000,3934000,- -,4858000,4042000,4271000,5207000,- -,5781000
77,Change in Working Capital,1300000,-3300000,5100000,-400000,- -,3900000,100000,- -,100000,3800000,-309000,7609000,12200000,14000000,- -,3300000,23544000,456000,24900000,4715000,- -,-35144000,-9279000,2953000,12270000,- -,9871000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4650000,- -,2555000,741000,1903000,-3210000,-572000,- -,-3158000,-11063000,-5976000,5657000,- -,727000
79,Inventory,-700000,- -,-2300000,-900000,- -,-902000,1481000,493000,225000,-594000,-669000,-2673000,-1286000,1359000,- -,2202000,-1593000,678000,-1226000,-208000,- -,-1380000,-13063000,-11703000,-1450000,- -,570000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2410000,- -,-816000,499000,-742000,24000,243000,- -,2566000,5780000,5894000,-10750000,- -,10569000
81,Other Working Capital,4300000,1000000,6100000,5700000,- -,12700000,12800000,12800000,12900000,16700000,16391000,24000000,36200000,50200000,- -,53500000,89744000,90200000,115100000,119815000,- -,110192000,100913000,103866000,116136000,- -,126007000
82,Other Non-Cash Items,3000000,4500000,-7600000,-1500000,- -,-3842000,994000,344000,1475000,-2241000,-406000,-10374000,-12975000,-8970000,- -,535000,-21425000,4586000,-26109000,576000,- -,33980000,10662000,-14763000,-21929000,- -,42622000
83,Cash Provided by Operating Activities,12700000,7000000,6500000,8600000,- -,9533000,7262000,7488000,9291000,14962000,17009000,19610000,28241000,38527000,- -,13667000,49544000,52198000,47123000,62846000,- -,38506000,49382000,77450000,90480000,- -,108556000
84,CAPEX,-7700000,-17000000,-6500000,-8100000,- -,-4374000,-4022000,-5870000,-3076000,-4987000,-8813000,-9525000,-12591000,-10874000,- -,-5096000,-10143000,-13359000,-17935000,-11742000,- -,-7414000,-22205000,-28380000,-25025000,- -,-15445000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1451000,-1140000,-923000,- -,- -,-200056000,-500000,-534662000,- -,- -,-217029000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,- -,-2375000,- -,- -,-10600000,-20181000,-40495000,-28356000,-51236000,- -,-24699000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2863000,7517000,32912000,26764000,44765000,- -,62374000,6684000,- -,2478000,- -,- -
88,Other Investing Activites,- -,- -,200000,-1000000,- -,8000,70000,148000,33000,61000,5000,28000,192000,-10775000,- -,-5096000,-10108000,-13303000,-17705000,-11705000,- -,-7407000,-22158000,-30853000,-24829000,- -,-18869000
89,Cash Used for Investing Activites,-7700000,-17000000,-6300000,-9100000,- -,-4366000,-3952000,-5722000,-3043000,-4926000,-9208000,-9497000,-14774000,-10775000,- -,-12833000,-21321000,-22026000,-20220000,-18176000,- -,-169788000,-15974000,-565515000,-22351000,- -,-235898000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-416000,- -,-261000,-100000,-169000,- -,- -,- -,- -,-24000000,-150656000,-182215000,- -,-85567000
91,Common Stock Issued,100000,100000,19300000,200000,- -,- -,16000,268000,1108000,2285000,2644000,400000,559000,359000,- -,392000,574000,700000,859000,846000,- -,1039000,1156000,241338000,1650000,- -,1344000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-781000,-1588000,-2951000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-3400000,-3000000,-11800000,-1000000,- -,-1021000,-1022000,-1029000,-14404000,-1482000,-2701000,-4349000,-5167000,-7465000,- -,-7547000,-9596000,-40900000,-9435000,-38357000,- -,-10744000,-10260000,-11003000,-11525000,- -,-11550000
94,Other Financing Activites,-1800000,11100000,-7600000,1600000,- -,-2330000,-1349000,-1052000,8596000,-5953000,-9870000,-931000,377000,142000,- -,20000,205000,-184000,298000,152000,- -,137928000,-16897000,367661000,120347000,- -,233514000
95,Cash Used/Provided by Financing Activities,-5100000,8200000,-100000,800000,- -,-3351000,-2355000,-1813000,-4700000,-5931000,-11515000,-7831000,-4231000,-7380000,- -,-7396000,-8917000,-40553000,-8278000,-37359000,- -,128223000,-50001000,447340000,-71743000,- -,137741000
96,Effect of Forex Changes on Cash,- -,400000,100000,100000,- -,-240000,-42000,394000,-287000,438000,-218000,1385000,604000,-4406000,- -,1705000,-1335000,2025000,1809000,-5380000,- -,-4652000,6254000,318000,2261000,- -,-7304000
97,Net Change In Cash,-5100000,8200000,-100000,800000,- -,1576000,913000,347000,1261000,4543000,-3932000,3667000,9840000,15966000,- -,-4857000,17971000,-8356000,20434000,1931000,- -,-7711000,-10339000,-40407000,-1353000,- -,3095000
98,Cash at the End of Period,- -,- -,- -,- -,- -,2698000,3611000,3958000,5219000,9762000,5830000,9497000,19337000,35303000,- -,30446000,51308000,34478000,54912000,56843000,- -,74221000,63882000,23515000,22162000,- -,25257000
99,Cash at the Beginning of Period,2400000,2400000,1000000,1200000,- -,1122000,2698000,3611000,3958000,5219000,9762000,5830000,9497000,19337000,- -,35303000,33337000,42834000,34478000,54912000,- -,81932000,74221000,63922000,23515000,- -,22162000
100,Free Cash Flow,5000000,-10000000,- -,500000,- -,5159000,3240000,1618000,6215000,9975000,8196000,10085000,15650000,27653000,- -,8571000,39401000,38839000,29188000,51104000,- -,31092000,27177000,49070000,65455000,- -,93111000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024795/000095014499003560/0000950144-99-003560-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000095014401003470/0000950144-01-003470-index.html,- -,https://www.sec.gov/Archives/edgar/data/1024795/000095014403003974/0000950144-03-003974-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000095014404003085/0000950144-04-003085-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000095014405003028/0000950144-05-003028-index.html,- -,https://www.sec.gov/Archives/edgar/data/1024795/000119312507054557/d10k.htm,https://www.sec.gov/Archives/edgar/data/1024795/000119312508053713/d10k.htm,https://www.sec.gov/Archives/edgar/data/1024795/000119312509050407/0001193125-09-050407-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000119312510056507/0001193125-10-056507-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000119312512113092/0001193125-12-113092-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000119312513103067/0001193125-13-103067-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000102479514000010/snhy-20131228x10k.htm,https://www.sec.gov/Archives/edgar/data/1024795/000102479515000007/snhy-20141227x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000156459017002829/0001564590-17-002829-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000156459018003418/0001564590-18-003418-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000156459019004297/0001564590-19-004297-index.html,https://www.sec.gov/Archives/edgar/data/1024795/000156459020006215/0001564590-20-006215-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1024795/000156459021010095/0001564590-21-010095-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
