,https://roic.ai/company/MBI,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,-24500000,-5400000,-4700000,-9100000,-6800000,-4100000,-4900000,-9200000,-13700000,-22900000,-58700000,-16363000,-5551000,-15401000,-11089000,-8740000,-9356000,-10913000,-8216000,-10991000,-5860000,-4713000,-5000000,-7000000,-3000000,-13000000,-3000000,-1000000,-1000000,-1000000,- -,- -,-1000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51000000,-26000000,239000000,7000000,1000000,18000000,-7000000,70000000,- -,- -
86,Purchases of Investments,- -,- -,-353600000,-527000000,-959200000,-962000000,-1456000000,-2652731000,-3393170000,-3396506000,-3552821000,-5084456000,-9535115000,-12953897000,-26697112000,-19971186000,-27851845000,-26810053000,-17323420000,-23508643000,-32930440000,-15311965000,-10688585000,-10109566000,-7744000000,-4463000000,-4332000000,-2125000000,-2536000000,-2860000000,-2074000000,-2454000000,-2291000000,-1312000000,-1534000000
87,Sales/Maturities of Investments,- -,- -,330400000,291400000,704600000,441000000,537800000,1328337000,1925136000,2296805000,2927323000,4068102000,8230769000,11871977000,24525010000,18067701000,23988256000,24484107000,15142559000,18710483000,26903770000,33421628000,15670925000,13352839000,12270000000,9013000000,4012000000,2075000000,2563000000,5151000000,3150000000,2658000000,3669000000,2907000000,1397000000
88,Other Investing Activites,- -,- -,-246000000,- -,18000000,-31700000,- -,25000,-23000,-45000,-15491000,-8107000,11196000,8297000,499000,206000,2150000,2255000,1310000,2171000,-275914000,-18098673000,37000,1772804000,-231000000,-304000000,340000000,623000000,783000000,132000000,108000000,1009000000,-181000000,143000000,76000000
89,Cash Used for Investing Activites,- -,- -,-293700000,-241000000,-241300000,-561800000,-925000000,-1328469000,-1472957000,-1108946000,-654689000,-1047361000,-1351850000,-1089986000,-2177154000,-1918680000,-3872528000,-2332431000,-2188907000,-4806902000,-6310800000,- -,4976517000,5011364000,4295000000,4195000000,-6000000,812000000,817000000,2424000000,1202000000,1206000000,1267000000,1738000000,-61000000
90,Debt Repayment,- -,- -,- -,- -,-200000000,- -,-27400000,-1786600000,-1251500000,-1628300000,-1939400000,-2115300000,-2791650000,-2698879000,-4173487000,-3484385000,-4094385000,-4318116000,-8090926000,-9629277000,-11083911000,-8565390000,-4575512000,-3460203000,-1302000000,-1871000000,-1312000000,-777000000,-619000000,-2363000000,-539000000,-683000000,-972000000,-1029000000,-456000000
91,Common Stock Issued,- -,- -,2300000,54700000,5400000,158000000,7100000,1986000,16338000,81471000,139037000,30708000,14616000,23683000,24273000,16322000,25806000,63390000,23249000,44221000,38897000,1628405000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-18400000,-5400000,- -,- -,-15300000,-14411000,- -,- -,- -,- -,-24698000,-77955000,-8982000,-208945000,-82404000,-375030000,-372614000,-63562000,-745679000,-220784000,-26515000,-59150000,-50000000,- -,- -,-32000000,-303000000,-108000000,-330000000,-44000000,-106000000,-200000000,-1000000
93,Dividends Paid,- -,- -,-11500000,-16600000,-22600000,-28700000,-37300000,-45513000,-53179000,-60501000,-66841000,-85667000,-79764000,-80708000,-87112000,-97154000,-110999000,-132072000,-147247000,-162851000,-172753000,-42640000,-9818000,-1005000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,153000000,5100000,197100000,98900000,518300000,2802018000,2425533000,2253962000,2055581000,2530036000,3862897000,3283905000,5721947000,4787815000,7255018000,6315759000,9863793000,14008934000,17246622000,4200545000,350987000,92133000,-464000000,-940000000,-254000000,-83000000,-92000000,-71000000,258000000,-25000000,-18000000,-36000000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,125400000,37800000,-20100000,228200000,445400000,957480000,1137192000,646632000,188377000,359777000,981401000,450046000,1476639000,1013653000,2993036000,1553931000,1276255000,4197465000,5283176000,- -,-4260858000,-3428225000,-1816000000,-2811000000,-1566000000,-892000000,-1014000000,-2542000000,-611000000,-752000000,-1096000000,-1265000000,-457000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,-8000000,-8000000,-2000000,-2000000,-1000000,- -,1000000,- -
97,Net Change In Cash,- -,- -,125400000,37800000,-20100000,228200000,445400000,5448000,15318000,-15902000,15825000,-5539000,72802000,403000,21078000,-31822000,99199000,138692000,-133190000,47567000,-5545000,2016051000,-1476540000,326489000,-497000000,357000000,268000000,-476000000,-260000000,-335000000,-41000000,134000000,-197000000,84000000,-7000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,7940000,23258000,7356000,23181000,20757000,93559000,93962000,115040000,83218000,182417000,366236000,233046000,269277000,263732000,2279783000,803243000,1129732000,633000000,990000000,1258000000,782000000,522000000,187000000,146000000,280000000,83000000,167000000,160000000
99,Cash at the Beginning of Period,- -,- -,600000,1300000,5100000,4400000,11200000,2492000,7940000,23258000,7356000,26296000,20757000,93559000,93962000,115040000,83218000,227544000,366236000,221710000,269277000,263732000,2279783000,803243000,1130000000,633000000,990000000,1258000000,782000000,522000000,187000000,146000000,280000000,83000000,167000000
100,Free Cash Flow,- -,- -,144400000,201600000,256000000,331400000,464100000,372337000,346183000,437212000,468437000,659145000,384551000,623980000,716042000,857804000,967602000,893735000,771788000,652597000,1013863000,-10991000,-2198059000,-1261363000,-2981000000,-1034000000,1826000000,-346000000,-58000000,-143000000,-631000000,-320000000,-368000000,-390000000,510000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814585/000081458595000002/0000814585-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/814585/000081458596000001/0000814585-96-000001-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814585/000095013003002644/0000950130-03-002644-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312504039476/0001193125-04-039476-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312505052662/0001193125-05-052662-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312506048353/0001193125-06-048353-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312507043147/0001193125-07-043147-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312508042602/0001193125-08-042602-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312509042548/0001193125-09-042548-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312510044879/0001193125-10-044879-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312511052366/0001193125-11-052366-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312512089406/0001193125-12-089406-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312513080289/0001193125-13-080289-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312514080397/0001193125-14-080397-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312515073382/0001193125-15-073382-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312516485560/0001193125-16-485560-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312517065856/0001193125-17-065856-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312518067440/0001193125-18-067440-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312519057808/0001193125-19-057808-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312520052873/0001193125-20-052873-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312521063676/0001193125-21-063676-index.htm,https://www.sec.gov/Archives/edgar/data/814585/000119312522058160/0001193125-22-058160-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
