,https://roic.ai/company/ASXC,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,3600000,6400000,5200000,9000000,9400000,4900000,3400000,1600000,4800000,4529000,6353000,3315000,2651000,2199000,3555000,3528000,631000,561000,871000,3032000,298000,275000,10014000,34766000,38449000,24165000,91217000,21061000,9598000,16363000,18129000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6191000,- -,- -,- -,- -,51790000,- -,- -,80262000
33,Cash and Short-Term Investments,- -,3600000,6400000,5200000,9000000,9400000,4900000,3400000,1600000,4800000,4529000,6353000,3315000,2651000,2199000,3555000,3528000,631000,561000,871000,3032000,298000,275000,16205000,34766000,38449000,24165000,91217000,72851000,9598000,16363000,98391000
34,Net Receivables,200000,800000,1100000,1400000,1700000,500000,11600000,3200000,2900000,2600000,853000,545000,532000,11000,- -,- -,- -,- -,13000,21000,64000,66000,71000,256000,134000,618000,1976000,3038000,8595000,3336000,3985000,749000
35,Inventory,300000,200000,100000,600000,500000,1900000,8300000,6400000,1000000,600000,1096000,531000,95000,- -,- -,- -,- -,- -,- -,- -,91000,- -,1600000,701000,- -,3923000,7883000,10817000,10941000,10653000,10034000,8634000
36,Other Current Assets,100000,300000,200000,200000,300000,900000,800000,400000,100000,200000,471000,205000,51000,13000,- -,- -,- -,99000,151000,131000,117000,143000,140000,593000,789000,6153000,3992000,7922000,9196000,4368000,3631000,5523000
37,Total Current Assets,600000,4900000,7800000,7400000,11500000,12700000,25600000,13400000,5600000,8200000,6949000,7634000,3993000,2675000,2199000,3555000,3528000,730000,725000,1023000,3304000,507000,2086000,17755000,35689000,49143000,38016000,112994000,101583000,27955000,34013000,113297000
38,PP&E,800000,800000,1000000,1000000,1300000,2300000,3200000,4000000,1900000,900000,963000,477000,151000,- -,- -,- -,- -,196000,168000,147000,337000,470000,332000,1864000,3120000,4408000,5772000,6670000,6337000,4706000,10342000,16319000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93842000,93842000,130869000,68697000,71368000,80131000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2751000,2248000,63409000,53010000,52638000,50463000,31066000,22267000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96593000,96090000,194278000,121707000,124006000,130594000,31066000,22267000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37435000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307000,288000
44,Other Non-Current Assets,700000,900000,1300000,1500000,2700000,3400000,3600000,3300000,600000,1100000,1758000,1779000,- -,6000,- -,- -,- -,1758000,853000,257000,53000,16000,2000,502000,312000,773000,10754000,6581000,793000,11052000,11329000,19134000
45,Total Non-Current Assets,1500000,1700000,2300000,2500000,4000000,5700000,6800000,7300000,2500000,2000000,2825000,2356000,151000,6000,- -,- -,- -,1954000,1021000,404000,390000,486000,334000,98959000,99522000,199459000,138233000,137257000,137724000,46824000,44245000,73176000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2100000,6600000,10100000,9900000,15500000,18400000,32400000,20700000,8100000,10200000,9774000,9990000,4144000,2681000,2199000,3555000,3528000,2684000,1746000,1427000,3694000,993000,2420000,116714000,135211000,248602000,176249000,250251000,239307000,74779000,78258000,186473000
48,Accounts Payable,- -,500000,400000,700000,1000000,1200000,6400000,2800000,1400000,900000,545000,847000,644000,115000,86000,81000,258000,253000,- -,- -,- -,- -,- -,1804000,1768000,4450000,3984000,3771000,4433000,3579000,1965000,3448000
49,Short-Term Debt,4788000,4788000,4788000,4788000,4788000,4788000,4788000,4788000,4788000,4788000,4788000,4788000,- -,- -,- -,- -,- -,- -,- -,50000,49000,- -,912000,3879000,610000,6727000,7997000,4788000,- -,1112000,1914000,2049000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3112000,2676000,3192000,383000,326000,351000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8588000,1733000,818000,789000,543000
52,Other Current Liabilities,-4388000,-4288000,-4588000,-4688000,-3988000,-4388000,3012000,-788000,-1188000,-1188000,-3827000,-4524000,97000,61000,- -,- -,- -,- -,273000,93000,221000,469000,1263000,1406000,1769000,19895000,18708000,11693000,15653000,7514000,5615000,3810000
53,Total Current Liabilities,400000,1000000,600000,800000,1800000,1600000,14200000,6800000,5000000,4500000,1506000,1111000,741000,176000,86000,81000,258000,253000,273000,143000,270000,469000,2175000,7089000,4147000,31072000,30689000,28840000,21819000,13023000,10283000,9850000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,4602000,9275000,12990000,4995000,8385000,28937000,- -,1587000,10012000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000,27000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16263000,10397000,8389000,4720000,1392000,- -,- -
57,Other Non-Current Liabilities,1700000,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -,- -,- -,- -,- -,2523000,- -,- -,- -,11000000,12298000,25789000,15201000,4802000,4819000,-2635000
58,Total Non-Current Liabilities,1700000,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -,10000,- -,- -,- -,2523000,- -,4602000,9275000,40253000,27690000,42563000,48967000,6221000,6406000,7377000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1112000,686000,- -
61,Total Liabilities,2100000,1000000,600000,800000,1800000,1700000,14200000,6800000,5000000,4500000,1506000,1111000,741000,176000,86000,83000,258000,263000,273000,143000,270000,2992000,2175000,11691000,13422000,71325000,58379000,71403000,70786000,19244000,16689000,17227000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000,23000,23000,25000,25000,46000,5000,16000,18000,18000,28000,28000,50000,244000,63000,100000,115000,199000,216000,21000,116000,235000
64,Retained Earnings,- -,-2500000,-4000000,-5200000,-3700000,-3600000,-11000000,-16000000,-26900000,-24300000,-21731000,-21120000,-26596000,-27563000,-28007000,-28235000,-28439000,-4177000,-9362000,-11728000,-17031000,-22789000,-29513000,-98264000,-135916000,-182864000,-302844000,-447640000,-509406000,-663600000,-722912000,-785374000
65,Other Comprehensive Income/Loss,-300000,-500000,-800000,-1200000,-1500000,-1500000,-2800000,-4000000,-3100000,-3400000,-3090000,-1194000,-448000,- -,- -,- -,- -,-4000,-59000,-115000,-202000,-328000,-495000,-3452000,-4150000,-3166000,-5769000,5028000,1338000,-1370000,2968000,-264000
66,Other Total Stockholders Equity,- -,8600000,14300000,15500000,18900000,21800000,32000000,33900000,33100000,33400000,33066000,31170000,30424000,30043000,30095000,31661000,31704000,6586000,10876000,13089000,20629000,21090000,30203000,206495000,261792000,363207000,426368000,621261000,676373000,720484000,781397000,954649000
67,Total Stockholders Equity,- -,5600000,9500000,9100000,13700000,16700000,18200000,13900000,3100000,5700000,8268000,8879000,3403000,2505000,2113000,3472000,3270000,2421000,1473000,1284000,3424000,-1999000,245000,105023000,121789000,177277000,117870000,178848000,168521000,55535000,61569000,169246000
68,Total Liabilities And Stockholders Equity,2100000,6600000,10100000,9900000,15500000,18400000,32400000,20700000,8100000,10200000,9774000,9990000,4144000,2681000,2199000,3555000,3528000,2684000,1746000,1427000,3694000,993000,2420000,116714000,135211000,248602000,176249000,250251000,239307000,74779000,78258000,186473000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2100000,6600000,10100000,9900000,15500000,18400000,32400000,20700000,8100000,10200000,9774000,9990000,4144000,2681000,2199000,3555000,3528000,2684000,1746000,1427000,3694000,993000,2420000,116714000,135211000,248602000,176249000,250251000,239307000,74779000,78258000,186473000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876378/000114420409016594/0001144204-09-016594-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/876378/000119312512140593/0001193125-12-140593-index.htm,https://www.sec.gov/Archives/edgar/data/876378/000119312513135883/0001193125-13-135883-index.htm,https://www.sec.gov/Archives/edgar/data/876378/000119312514127785/0001193125-14-127785-index.htm,https://www.sec.gov/Archives/edgar/data/876378/000119312515056500/0001193125-15-056500-index.htm,https://www.sec.gov/Archives/edgar/data/876378/000119312516491817/0001193125-16-491817-index.htm,https://www.sec.gov/Archives/edgar/data/876378/000156459017003498/0001564590-17-003498-index.htm,- -,https://www.sec.gov/Archives/edgar/data/876378/000156459019004924/0001564590-19-004924-index.htm,https://www.sec.gov/Archives/edgar/data/876378/000162828020003672/0001628280-20-003672-index.htm,https://www.sec.gov/Archives/edgar/data/876378/000143774921005730/0001437749-21-005730-index.htm,https://www.sec.gov/Archives/edgar/data/876378/000143774922005043/0001437749-22-005043-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-1000000,-1500000,-1200000,1500000,100000,-7400000,-5000000,-10900000,2600000,2552000,611000,-5476000,-967000,-444000,-228000,-204000,-3041000,-5185000,-2366000,-5303000,-5758000,-6724000,-28358000,-37652000,-46948000,-119980000,-144796000,-61777000,-154201000,-59312000,-62462000
74,Depreciation and Amortization,- -,400000,800000,1000000,1000000,1600000,1900000,3200000,4900000,1200000,694000,574000,337000,129000,- -,- -,- -,287000,55000,56000,87000,140000,167000,1483000,1310000,3433000,8909000,10344000,13288000,12467000,13699000,14111000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1024000,-5562000,-3300000,-3377000,-3224000,-1516000,225000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000,195000,471000,335000,448000,941000,1840000,3311000,5033000,7078000,9039000,11508000,7911000,9429000
77,Change in Working Capital,- -,-100000,-600000,3100000,1400000,300000,-4800000,-6000000,3100000,1743000,1080000,-3271000,-753000,-386000,1361000,-204000,-2793000,-25000,428000,2154000,-2996000,-127000,10755000,20876000,-13471000,-10744000,76827000,-4390000,-64832000,8798000,101656000,-21939000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402000,55000,133000,-1041000,-381000,-7225000,6083000,-447000,174000
79,Inventory,- -,100000,100000,-400000,100000,-1500000,-6300000,- -,800000,200000,-504000,565000,436000,95000,- -,- -,- -,- -,- -,- -,-144000,5000,-1798000,731000,701000,-1928000,-6647000,-2981000,-2145000,-16404000,-7198000,-492000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,794000,641000,-36000,1096000,-356000,-531000,767000,-668000,-1758000,1614000
81,Other Working Capital,- -,7200000,6600000,9700000,11100000,11400000,6600000,600000,3700000,5443000,6523000,3252000,2499000,2113000,3474000,3270000,477000,452000,880000,3034000,38000,-89000,10666000,31542000,18071000,7327000,84154000,79764000,14932000,23730000,125386000,103447000
82,Other Non-Cash Items,- -,- -,100000,-3800000,-700000,-1200000,- -,9400000,1500000,-1343000,-3300000,3965000,2862000,520000,-1369000,213000,2970000,-167000,432000,-2629000,3208000,543000,-11585000,-16178000,14745000,13463000,-17613000,95269000,59166000,51168000,-109113000,19977000
83,Cash Provided by Operating Activities,- -,-700000,-1200000,-900000,3200000,800000,-10300000,1600000,-1400000,4200000,1026000,1879000,-3030000,-704000,-452000,-219000,-27000,-2946000,-4031000,-2590000,-4533000,-4867000,-6939000,-21236000,-33228000,-38509000,-52386000,-39795000,-48493000,-73484000,-46675000,-40659000
84,CAPEX,- -,-300000,-600000,-400000,-700000,-1600000,-1700000,-2000000,-200000,- -,-684000,-72000,-11000,- -,- -,- -,- -,-200000,-27000,-35000,-277000,-293000,-29000,-1377000,-2174000,-1234000,-1361000,-1991000,-770000,-437000,-3000,-1368000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000,- -,- -,- -,- -,- -,3192000,- -,- -,- -,- -,- -,246000,- -,-25000000,- -,- -,-5800000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6240000,- -,- -,- -,- -,-55439000,-12883000,- -,-122330000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,- -,- -,- -,- -,- -,- -,- -,903000,- -,- -,- -,904000,6191000,- -,- -,- -,4000000,65000000,- -,-118300000
88,Other Investing Activites,- -,-1600000,-700000,-800000,-1800000,-1700000,-1400000,-1800000,-300000,-1000000,-643000,39000,3000,40000,- -,- -,- -,4000,- -,- -,- -,- -,- -,- -,25000,- -,- -,-425000,4528000,15965000,- -,122330000
89,Cash Used for Investing Activites,- -,-1900000,-1300000,-1200000,-2500000,-3300000,-3100000,-3800000,-500000,-1000000,-1327000,-55000,-8000,40000,- -,- -,- -,2996000,-27000,868000,-277000,-293000,-29000,-6467000,4042000,-26234000,-1361000,-1991000,-53481000,67645000,-3000,-119668000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-921000,-71000,-49000,-2975000,-1519000,-2877000,- -,-6902000,-13343000,-15305000,-31425000,- -,-1063000
91,Common Stock Issued,- -,1300000,5400000,800000,3200000,2900000,8800000,800000,- -,- -,43000,- -,- -,- -,- -,1575000,- -,35000,3988000,- -,4974000,- -,8319000,- -,52433000,58331000,58029000,77579000,3279000,25777000,47325000,131929000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,2953000,2068000,2475000,1600000,30340000,4382000,10073000,-1184000,40135000,38478000,39000,6045000,30839000
95,Cash Used/Provided by Financing Activities,- -,6200000,5400000,800000,3200000,2900000,8800000,800000,- -,- -,43000,- -,- -,- -,- -,1575000,- -,35000,3988000,2032000,6971000,2426000,6944000,28821000,53938000,68404000,49943000,104371000,26452000,-5609000,53370000,161705000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,-55000,431000,-433000,364000,270000,376000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,-258000,1824000,-3038000,-664000,-452000,1356000,-27000,85000,-70000,310000,2161000,-2734000,-23000,1118000,24752000,3683000,-3859000,63016000,-75955000,-11084000,6962000,1754000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,4529000,6353000,3315000,2651000,2199000,3555000,3528000,631000,561000,871000,3032000,298000,275000,10014000,34766000,38449000,34590000,97606000,21651000,10567000,17529000,19283000
99,Cash at the Beginning of Period,- -,- -,3600000,6400000,5200000,9000000,9400000,4900000,3400000,1600000,4787000,4529000,6353000,3315000,2651000,2199000,3555000,546000,631000,561000,871000,3032000,298000,8896000,10014000,34766000,38449000,34590000,97606000,21651000,10567000,17529000
100,Free Cash Flow,- -,-1000000,-1800000,-1300000,2500000,-800000,-12000000,-400000,-1600000,4200000,342000,1807000,-3041000,-704000,-452000,-219000,-27000,-3146000,-4058000,-2625000,-4810000,-5160000,-6968000,-22613000,-35402000,-39743000,-53747000,-41786000,-49263000,-73921000,-46678000,-42027000
