,https://roic.ai/company/INUV,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-615,-10998,653053,253730,-1288714,729961,-489907,-2468741,319567,2939966,-3621,565191,-1107825,-82850281,-5391114,-5006249,-8976371,-7022845,477216,2105114,2339774,-772584,-3057700,-5890832,-4488107,-7304569,-7600649
24,Net Income ratio,-Infinity,-Infinity,0.0735,0.0281,-0.1167,0.0735,-0.0702,-0.6091,0.0450,0.1369,-0.0001,0.0079,-0.0151,-1.6065,-0.1044,-0.1022,-0.2506,-0.1316,0.0087,0.0424,0.0332,-0.0108,-0.0384,-0.0803,-0.0729,-0.1636,-0.1270
25,EPS,-0.00,-0.05,1.00,0.30,-1.30,0.70,-0.30,-1.50,0.10,1.20,-0.00,0.20,-0.20,-12.40,-0.80,-0.59,-0.96,-0.34,0.02,0.09,0.10,-0.03,-0.11,-0.19,-0.11,-0.09,-0.06
26,EPS Diluted,-0.00,-0.05,1.00,0.30,-1.30,0.70,-0.30,-1.50,0.10,1.00,-0.00,0.20,-0.20,-12.40,-0.80,-0.59,-0.96,-0.34,0.02,0.09,0.10,-0.03,-0.11,-0.19,-0.11,-0.09,-0.06
27,Weighted Average Shares Outstanding,135172,215172,637647,827418,980868,1085991,1475339,1640180,2255997,2433296,3946706,4872228,6712266,6654932,6679319,8496284,9364038,21004235,23281439,23527872,24249852,24660995,28155320,31019623,40454779,77473479,117613845
28,Weighted Average Shares Outstanding Diluted,135172,215172,637647,827418,980868,1085991,1475339,1640180,2255997,3026430,3946706,4872228,6712266,6654932,6679319,8496284,9364038,21004235,23281439,24145823,24539555,24660995,28155320,31019623,40454779,77473479,117613845
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829323/000110465906004910/a06-3893_110ksba.htm,https://www.sec.gov/Archives/edgar/data/829323/000110465906021360/a06-8019_110ksb.htm,https://www.sec.gov/Archives/edgar/data/829323/000135448807000385/f10kver5.htm,https://www.sec.gov/Archives/edgar/data/829323/000135448808000411/thinkpartnership10k.htm,https://www.sec.gov/Archives/edgar/data/829323/000111650209000485/0001116502-09-000485-index.html,https://www.sec.gov/Archives/edgar/data/829323/000111650210000266/0001116502-10-000266-index.html,https://www.sec.gov/Archives/edgar/data/829323/000135448811000983/inuv_10k.htm,https://www.sec.gov/Archives/edgar/data/829323/000135448812001498/0001354488-12-001498-index.html,https://www.sec.gov/Archives/edgar/data/829323/000144530513000597/0001445305-13-000597-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932314000012/a10-kdecember312013.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932315000014/a10-kdecember312014.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932316000064/0000829323-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932317000010/0000829323-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932318000008/0000829323-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932319000032/0000829323-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932320000042/inuv-20191231.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932321000010/0000829323-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932322000015/0000829323-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,68945,303144,17160520,2609114,3031488,2578246,360315,4843128,118561,4413,3381018,3137153,3714525,4257204,3946804,4084686,228956,372989,7891,10476
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,68945,303144,17160520,2609114,3031488,2578246,360315,4843128,118561,4413,3381018,3137153,3714525,4257204,3946804,4084686,228956,372989,7891,10476
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,791912,4160016,4694124,6030742,12113575,14743974,8429258,4991009,4560775,5476061,5458509,3634297,5129841,7017491,7594773,10763580,6723349,7535598,6228,9266
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,310800,421134,1201798,1768709,2020942,2418083,3911201,3176096,654451,1857069,1097780,510968,299873,345752,284469,395861,259712,238075,413,3336
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,1171657,4884294,23056442,10408565,17166005,19740303,12700774,13010233,5333787,7337543,9937307,7282418,9144239,11620447,11826046,15244127,7212017,8146662,14532,23078
38,PP&E,- -,- -,- -,- -,- -,- -,- -,104075,80890,1307398,3253078,4010647,4679541,5468990,4881168,2749098,1590011,2110771,1188566,959475,1805561,1615223,2306279,2123672,1374152,1187,2148
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,7717068,32959252,79140787,79799635,3351405,3351405,3351405,1776544,5760808,5760808,5760808,5760808,5760808,9853342,9853342,9853342,9853,9853
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100626,10300248,19819652,16522212,5100314,3805707,2511918,390000,11138330,10324326,9530322,9320951,8343876,10808018,9441681,10451593,8586,6721
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8817694,43259500,98960439,96321847,8451719,7157112,5863323,2166544,16899138,16085134,15291130,15081759,14104684,20661360,19295023,20304935,18439,16574
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1928
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,1017924,1494611,700626,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,137182,97500,251132,573176,260048,383822,2598325,776657,79324,2243,182387,379513,211833,224759,15186,36070,35170,865179,-0,269
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,1259181,1673001,11076850,47085754,103231134,101385210,16519034,12814937,8691745,3758798,19192296,17653213,16462438,17112079,15735093,23003709,21453865,22544266,19626,20919
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,2430838,6557295,34133292,57494319,120397139,121125513,29219808,25825170,14025532,11096341,29129603,24935631,25606677,28732526,27561139,38247836,28665882,30690928,34158,43997
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,180048,303917,706467,3443603,6335623,5823294,5149681,4598383,5479796,6198921,10196930,6235533,5714158,10080315,9280779,13614053,9499541,7520567,4048,4845
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,811016,1315079,571773,429761,245659,1338863,1648970,4238367,2562024,509581,1377620,2599538,994323,46313,31210,5109940,2308622,4361077,464464,443
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25765,267905,13803,10313,25905,14109,11445,8305,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,705394,2688550,933370,2831656,2076537,1274177,18676,549635,19921,18083,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,23709,216578,1658211,2089440,2485474,2855928,3778687,1757208,1599625,2625595,1828435,2335021,3670083,3123132,2658430,2677876,2291065,3796683,-459783,5374
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,1720167,4524124,3869821,8794460,11143293,11292262,10596014,11143593,9661366,9352180,13402985,11170092,10378564,13249760,11970419,21401869,14099228,15678327,8729,10663
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,114900,697064,- -,7471077,11738205,11099463,8266112,6457975,- -,2454303,6488889,3595300,2666667,- -,- -,- -,1000000,- -,- -,301
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,214875,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2307853,3890218,2494539,- -,- -,- -,- -,4099000,3788903,3552500,3799600,3738500,2331900,2339832,2019200,- -,107
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,974297,273399,4161382,594263,575826,- -,356509,300124,932377,1039470,735211,722722,326428,426725,193007,452051,574,-10544
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,114900,697064,974297,10052329,19789805,14188265,9056813,6457975,356509,2754427,11520266,8423673,6954378,4522322,4064928,2758625,3532839,2471251,574,-10136
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11737,6555,- -,262248,- -,- -,57581,44287,103428,50002,77523,31210,491410,279738,837796,946792,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,1835067,5221188,4844118,18846789,30933098,25480527,19652827,17601568,10017875,12106607,24923251,19593765,17332942,17772082,16035347,24160494,17632067,18149578,1163,527
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,19012,23289,33984,38222,66877,70295,71125,89959,9110,10422,23586,23763,24087,24752,25300,28996,32759,52223,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-4092609,-3773042,-863076,-3320016,-12986723,-11245536,-94095817,-100665417,-105671666,-114648037,-121670882,-121193666,-119088552,-116748778,-117521362,-120579062,-126469894,-130958001,- -,-143951
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-23652,-37622,-227094,94004,172678,1139715,-116961,- -,-6592664,-6622835,418,- -,-10582738,-11534082,-6012609,-7529752,-9259625,-10674671,- -,54
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,4693020,5123482,30345360,41835320,102211209,105680512,103708634,108799060,116262877,120250184,125853230,126511769,137920938,139218552,135034463,142167160,146730575,154121799,25289114,176705
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,595771,1336107,29289174,38647530,89464041,95644986,9566981,8223602,4007657,-1010266,4206352,5341866,8273735,10960444,11525792,14087342,11033815,12541350,25289114,32808
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,2430838,6557295,34133292,57494319,120397139,121125513,29219808,25825170,14025532,11096341,29129603,24935631,25606677,28732526,27561139,38247836,28665882,30690928,25290277,33335
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25256119,10663
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,2430838,6557295,34133292,57494319,120397139,121125513,29219808,25825170,14025532,11096341,29129603,24935631,25606677,28732526,27561139,38247836,28665882,30690928,34158,43997
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/829323/000110465906004910/a06-3893_110ksba.htm,https://www.sec.gov/Archives/edgar/data/829323/000110465906021360/a06-8019_110ksb.htm,https://www.sec.gov/Archives/edgar/data/829323/000135448807000385/f10kver5.htm,https://www.sec.gov/Archives/edgar/data/829323/000135448808000411/thinkpartnership10k.htm,https://www.sec.gov/Archives/edgar/data/829323/000111650209000485/0001116502-09-000485-index.html,https://www.sec.gov/Archives/edgar/data/829323/000111650210000266/0001116502-10-000266-index.html,https://www.sec.gov/Archives/edgar/data/829323/000135448811000983/inuv_10k.htm,https://www.sec.gov/Archives/edgar/data/829323/000135448812001498/0001354488-12-001498-index.html,https://www.sec.gov/Archives/edgar/data/829323/000144530513000597/0001445305-13-000597-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932314000012/a10-kdecember312013.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932315000014/a10-kdecember312014.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932316000064/0000829323-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932317000010/0000829323-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932318000008/0000829323-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932319000032/0000829323-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932320000042/inuv-20191231.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932321000010/0000829323-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932322000015/0000829323-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-615,-10998,653053,253730,-1288714,729961,-489907,-2468741,319567,2939966,-3621,565191,-1107825,-82850281,-5391114,-5006249,-8976371,-7022845,477216,2105114,2339774,-772584,-3057700,-5890832,-4488107,-7304569,-7600649
74,Depreciation and Amortization,- -,- -,106950,111876,240066,413670,485500,2496150,26470,297961,2226462,6427826,8748398,8210433,5704004,5067982,4213771,7321679,3055182,1749538,1807350,2209738,3029801,3181619,3422385,3605911,- -
75,Deferred Income Tax,- -,- -,- -,918,- -,26987,- -,-579578,-725733,1115669,-73788,679647,-1623801,-3022347,- -,- -,- -,-444000,-310097,- -,-172973,-61100,-1406600,7931,-334394,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-823673,434827,790304,1530487,842752,686745,991948,707544,1264266,1279807,915469,789914,858683,11381279
77,Change in Working Capital,- -,- -,- -,- -,- -,186585,-186585,-548510,908680,18826451,-17572516,4408607,2425329,-6343281,-238120,-6194219,2312942,-1451041,-421996,2653349,-394988,1484940,-6013369,-729469,-644454,7537468,6613
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403443,2548432,-320384,-1008991,1811832,1961574,-1519421,-2001613,-583082,-1216611,4058591,- -,1317508,- -
79,Inventory,- -,- -,-43120,20722,-197604,-27206,-29191,31686,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2167685,-587317,1048511,- -,244396,-3501924,-518881,4545906,-622548,437241,-4114512,-1978974,-2271578,- -
81,Other Working Capital,- -,- -,- -,- -,- -,186585,- -,-548510,360170,19186621,1614105,6022712,8448041,2104760,1866640,-4327579,-2014637,-3465678,-3887674,-1234325,-1629313,-144373,-6157742,-6887211,-7531665,5803,12415
82,Other Non-Cash Items,615,- -,16665,-1240768,-743745,84444,1056978,632447,-311001,-20595774,15662684,-10393523,-4460143,90885055,4167946,8689166,396935,1744129,-1677427,-3556156,1819565,-3072241,5019780,415115,-4083727,-10296828,-3787243
83,Cash Provided by Operating Activities,- -,-10998,776668,-874244,-1792393,1441647,865986,-468232,217983,2584273,239221,1687748,3981958,6055906,4677543,3346984,-522236,990674,1809623,3943793,6106272,1053019,-1148281,-2100167,-5338383,-5599335,- -
84,CAPEX,- -,- -,-139825,-81617,-385054,-14304,- -,-39174,-3285,-1203136,-1702401,-3831235,-5717744,-2230173,-1376790,-3104049,-3029143,-3959984,-677526,-839867,-1525888,-1116371,-1558693,-1634919,-1194164,-1185335,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-437525,- -,- -,- -,-19315790,-27035236,- -,-3257911,-2099897,- -,- -,2432642,- -,- -,- -,- -,235763,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,58014,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,7500,- -,- -,365000,-1375195,-217549,- -,524690,-308088,393178,-89418,9082,749985,-989657,-2567029,-3065569,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-132325,-81617,-385054,350696,-1812720,-256723,-45271,-678446,-21326279,-30473293,-5807162,-5479002,-2726702,-1649108,-3029143,-1527342,-677526,-839867,-1525888,-1116371,-1322930,-1634919,-1194164,-1185335,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42742295,-44126517,-46489443,-6373296,-5995315,-8939302,-7120449,-7702697,-7996313,-158782,-5111671,-448960,-3814194,- -
91,Common Stock Issued,1195,10000,48510,- -,81000,225000,57500,134040,100769,17149266,- -,24881895,229845,- -,4674433,- -,2635796,- -,- -,- -,- -,- -,- -,2000583,4414123,16432190,- -
92,Common Stock Repurchased,- -,- -,-81500,- -,- -,-350000,-50000,-140000,- -,- -,-61209,- -,- -,-160375,- -,- -,- -,- -,- -,- -,- -,-22499,-44772,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-100920,- -,- -,- -,- -,- -,- -,- -,- -,-1112944,-279917,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,6805,-603,-418458,929279,2065952,-1201561,429380,726742,-39282,-2197717,6596861,5443019,1397930,40114228,41984056,40067000,7174731,9908170,7563758,4593895,3664992,7771764,2812647,2990444,2711417,1684350,- -
95,Cash Used/Provided by Financing Activities,8000,9397,-552368,929279,2146952,-1326561,436880,720782,61487,14951549,6535652,29211970,1347858,-2788442,2531972,-6422443,3437231,3912855,-1375544,-2526554,-4037705,-247048,2609093,-120644,6676580,14302346,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4051,24104,-6393,- -,- -,- -,418,-418,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,8000,-2101,91975,-26582,-30495,465782,-509854,-4173,234199,16857376,-14551406,422374,-453242,-2217931,4482813,-4724567,-114148,3376605,-243865,577372,542679,-310400,137882,-3855730,144033,7517676,- -
98,Cash at the End of Period,8000,5899,164853,147685,117190,582972,73118,68945,303144,17160520,2609114,3031488,2578246,360315,4843128,118561,4413,3381018,3137153,3714525,4257204,3946804,4084686,228956,372989,7890665,- -
99,Cash at the Beginning of Period,- -,8000,72878,174267,147685,117190,582972,73118,68945,303144,17160520,2609114,3031488,2578246,360315,4843128,118561,4413,3381018,3137153,3714525,4257204,3946804,4084686,228956,372989,7890665
100,Free Cash Flow,- -,-10998,636843,-955861,-2177447,1427343,865986,-507406,214698,1381137,-1463180,-2143487,-1735786,3825733,3300753,242935,-3551379,-2969310,1132097,3103926,4580384,-63352,-2706974,-3735086,-6532547,-6784670,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/829323/000110465906004910/a06-3893_110ksba.htm,https://www.sec.gov/Archives/edgar/data/829323/000110465906021360/a06-8019_110ksb.htm,https://www.sec.gov/Archives/edgar/data/829323/000135448807000385/f10kver5.htm,https://www.sec.gov/Archives/edgar/data/829323/000135448808000411/thinkpartnership10k.htm,https://www.sec.gov/Archives/edgar/data/829323/000111650209000485/0001116502-09-000485-index.html,https://www.sec.gov/Archives/edgar/data/829323/000111650210000266/0001116502-10-000266-index.html,https://www.sec.gov/Archives/edgar/data/829323/000135448811000983/inuv_10k.htm,https://www.sec.gov/Archives/edgar/data/829323/000135448812001498/0001354488-12-001498-index.html,https://www.sec.gov/Archives/edgar/data/829323/000144530513000597/0001445305-13-000597-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932314000012/a10-kdecember312013.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932315000014/a10-kdecember312014.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932316000064/0000829323-16-000064-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932317000010/0000829323-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932318000008/0000829323-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932319000032/0000829323-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/829323/000082932320000042/inuv-20191231.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932321000010/0000829323-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/829323/000082932322000015/0000829323-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
