,https://roic.ai/company/ACU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1016,0.0398,0.0630,0.0617,0.0106,0.1018,0.1046,0.0509,0.0459,0.0720,-0.1034,-0.0063,0.0302,0.0274,0.0903,0.0805,0.0892,0.0410,0.0868,0.1388,0.1132,0.1372,0.1239,0.1176,0.0765,0.0646,0.0738,0.0774,0.0804,0.0839,0.0841,0.0866,0.0823,0.0776,0.0829,0.0886,0.1024
17,Operating Income,2500000,400000,1500000,800000,-1100000,2300000,3100000,600000,500000,1700000,-7500000,-2000000,400000,-800000,881249,2428996,2469589,556006,2486364,5490448,5342201,6713020,6751764,6878794,3026623,2980156,4284964,5360520,5879096,7394461,7347006,8442056,7796053,7456906,8429348,11412664,12771000
18,Operating Income ratio,0.0687,0.0114,0.0411,0.0214,-0.0292,0.0520,0.0649,0.0113,0.0096,0.0322,-0.1437,-0.0421,0.0086,-0.0219,0.0255,0.0706,0.0683,0.0180,0.0711,0.1266,0.1070,0.1181,0.1069,0.1001,0.0512,0.0472,0.0585,0.0635,0.0656,0.0690,0.0669,0.0678,0.0597,0.0543,0.0592,0.0696,0.0701
19,Total Other Income Expenses (Gains),-400000,-1200000,-600000,100000,-900000,-300000,-600000,-1400000,-1500000,-1500000,-1800000,-1100000,-100000,-1600000,-1064239,-1333160,-757363,-458730,-144093,-150132,-576135,-363943,-449089,-202693,426331,-69309,-258944,-363474,-385205,-591736,-732609,-945353,-1302756,-1925682,-1886184,-1585936,2404000
20,Income Before Tax,2100000,-800000,900000,- -,-2000000,2000000,2500000,-800000,-1000000,200000,-9300000,-3100000,300000,-2400000,-182990,1095836,1712226,97276,2342271,5340316,4766066,6349077,6302675,6676101,3452954,2910847,4026020,4997046,5493891,6802725,6614397,7496703,6493297,5531224,6543164,9826728,15175000
21,Income Before Tax Ratio,0.0577,-0.0227,0.0247,- -,-0.0531,0.0452,0.0523,-0.0151,-0.0191,0.0038,-0.1782,-0.0653,0.0065,-0.0658,-0.0053,0.0318,0.0473,0.0031,0.0670,0.1231,0.0954,0.1117,0.0998,0.0972,0.0584,0.0461,0.0549,0.0592,0.0613,0.0634,0.0602,0.0602,0.0497,0.0403,0.0459,0.0599,0.0833
22,Income Tax expense (Gain),900000,-300000,400000,100000,-500000,700000,1200000,-300000,-400000,100000,-600000,100000,100000,- -,-26554,35211,431822,-562218,1120440,2101911,1828756,2463415,2280417,2209030,610867,337883,1214827,1447815,1490986,2013720,1820872,1645705,2440818,932874,1029556,1727962,1519000
23,Net Income,1200000,-500000,500000,- -,-1500000,1300000,1300000,-500000,-600000,100000,-8700000,-3200000,200000,-1700000,2168404,1060625,1280404,659494,1221831,3238405,2937310,3885662,4022258,4467071,2842087,2572964,2811193,3549231,4002905,4789005,4793525,5850998,4052479,4598350,5513608,8098766,13656000
24,Net Income ratio,0.0330,-0.0142,0.0137,- -,-0.0398,0.0294,0.0272,-0.0094,-0.0115,0.0019,-0.1667,-0.0674,0.0043,-0.0466,0.0627,0.0308,0.0354,0.0214,0.0349,0.0747,0.0588,0.0683,0.0637,0.0650,0.0480,0.0407,0.0384,0.0421,0.0447,0.0447,0.0437,0.0470,0.0310,0.0335,0.0387,0.0494,0.0750
25,EPS,0.38,-0.14,0.16,0.01,-0.46,0.40,0.41,-0.16,-0.18,0.04,-2.61,-0.95,0.06,-0.49,0.64,0.30,0.37,0.19,0.37,0.96,0.84,1.11,1.14,1.28,0.86,0.82,0.91,1.14,1.26,1.48,1.44,1.76,1.21,1.36,1.65,2.42,4.09
26,EPS Diluted,0.38,-0.14,0.16,0.01,-0.46,0.40,0.41,-0.16,-0.18,0.04,-2.61,-0.95,0.06,-0.49,0.64,0.30,0.36,0.19,0.34,0.85,0.78,1.05,1.09,1.24,0.85,0.81,0.91,1.13,1.22,1.36,1.30,1.64,1.09,1.30,1.60,2.31,3.89
27,Weighted Average Shares Outstanding,3157895,3571429,3125000,3173000,3260870,3250000,3170732,3125000,3333333,2500000,3384620,3434620,3333333,3469388,3388131,3535417,3460551,3471021,3302246,3373339,3496798,3500596,3528296,3486370,3289000,3128509,3099982,3116000,3168000,3240000,3335000,3328000,3356000,3371000,3352000,3342630,3342630
28,Weighted Average Shares Outstanding Diluted,3157895,3571429,3125000,3173000,3260870,3250000,3170732,3125000,3333333,2500000,3384620,3434620,3333333,3718000,3388131,3640000,3556678,3471021,3593621,3809888,3765782,3700630,3690145,3611873,3353000,3194314,3099983,3133000,3283000,3526000,3687000,3578000,3725000,3542000,3495000,3509497,3509497
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2098/000000209896000003/0000002098-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660897000026/0001026608-97-000026-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660898000010/0001026608-98-000010-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660899000031/0001026608-99-000031-index.html,- -,https://www.sec.gov/Archives/edgar/data/2098/000102660801500005/0001026608-01-500005-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660802000007/0001026608-02-000007-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2098/000102660809000026/0001026608-09-000026-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660810000024/0001026608-10-000024-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660811000025/0001026608-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660812000017/0001026608-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660813000014/0001026608-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660814000011/0001026608-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660815000007/0001026608-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660816000091/0001026608-16-000091-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660817000009/0001026608-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660818000010/0001026608-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660819000011/0001026608-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000156459020010850/0001564590-20-010850-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000156459021017128/0001564590-21-017128-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000156459022012597/0001564590-22-012597-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,800000,200000,300000,500000,1600000,1400000,900000,300000,500000,500000,400000,- -,- -,88468,21510,171536,597670,1390641,1930394,1076489,3838172,4987991,5224564,6519065,6601416,7853343,9749864,11643764,2285660,2425891,5910770,9338269,4409042,6821883,4167376,4843000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,400000,800000,200000,300000,500000,1600000,1400000,900000,300000,500000,500000,400000,- -,- -,88468,21510,171536,597670,1390641,1930394,1076489,3838172,4987991,5224564,6519065,6601416,7853343,9749864,11643764,2285660,2425891,5910770,9338269,4409042,6821883,4167376,4843000
34,Net Receivables,4100000,3900000,5200000,5600000,5600000,7200000,7100000,7100000,8100000,7900000,8100000,7000000,7400000,7700000,6702148,5973324,6438951,6410210,7075099,8884807,9391546,10852037,12726647,10564097,10703433,12330665,12904168,16441970,15629275,19477128,19565088,20020984,26012368,25101663,25484865,27173431,34221000
35,Inventory,16100000,15500000,16500000,18500000,15200000,17900000,21500000,21800000,19900000,21000000,18000000,10400000,14100000,13300000,8297631,10022290,8802631,6674654,8179081,8389228,12530454,15677294,18934977,21769304,17400270,22292909,24494992,30292120,28218882,33671198,35507591,37237861,40086871,41332137,39261105,50704197,53552000
36,Other Current Assets,600000,1200000,1100000,1300000,1500000,1400000,1300000,600000,1200000,1000000,700000,400000,200000,500000,508011,432537,1047586,1249819,546185,763733,866910,1119559,1210544,1088394,1133187,1402345,1269861,1925212,1493685,2077420,2134917,2293579,2380137,2149295,1578248,1640904,2635000
37,Total Current Assets,21200000,21400000,23000000,25700000,22800000,28100000,31300000,30400000,29500000,30400000,27300000,18200000,21700000,21500000,15596258,16449661,16460704,14932353,17191006,19968162,23865399,31487062,37860159,38646359,35755955,42627335,46522364,58409166,56985606,57511406,59633487,65463194,77817645,72992137,73146101,83685908,95251000
38,PP&E,7300000,6500000,6400000,5700000,4400000,9000000,9200000,8700000,8100000,8500000,7300000,6700000,6800000,6000000,3986152,3121603,2258984,2281448,2384791,2295431,2786040,2540045,2479358,2269443,2088168,2215756,2506124,2353236,5936261,6930541,7401478,7972900,13728139,14542624,17024816,39193259,27157000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192510,- -,- -,- -,- -,- -,88828,88828,88828,88828,- -,- -,- -,- -,- -,1375000,1406000,3948235,4696370,4696370,4696370,4799829,4800000
40,Intangible Assets,1700000,1600000,1400000,1300000,300000,500000,500000,900000,900000,900000,800000,800000,500000,500000,- -,172096,157017,364667,447100,745010,857612,877796,1658880,1845391,1863648,1866231,3284663,4240401,4071897,12554611,11950991,13988186,17882005,17044400,15792738,18721423,17231000
41,Intangible Assets,1700000,1600000,1400000,1300000,300000,500000,500000,900000,900000,900000,800000,800000,500000,500000,192510,172096,157017,364667,447100,745010,946440,966624,1747708,1934219,1863648,1866231,3284663,4240401,4071897,13929611,13356991,17936421,22578375,21740770,20489108,23521252,22031000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35528,- -,- -,- -,27235,135168,574051,621270,943606,1053926,967892,945709,812649,880917,668641,509646,113353,- -,- -,599280
44,Other Non-Current Assets,- -,100000,100000,100000,300000,200000,100000,3700000,3500000,3100000,1600000,1600000,900000,900000,992530,1374855,1296665,- -,- -,- -,596087,- -,- -,2000000,1980432,1928090,1854659,1857121,139506,123879,148493,24936,96001,88902,88828,- -,-599280
45,Total Non-Current Assets,9000000,8200000,7900000,7100000,5000000,9700000,9800000,13300000,12500000,12500000,9700000,9100000,8200000,7400000,5171192,4668554,3712666,2681643,2831891,3040441,4328567,3533904,4362234,6777713,6553518,6953683,8699372,9418650,11093373,21796680,21787879,26602898,36912161,36485649,37602752,62714511,49188000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30200000,29600000,30900000,32800000,27800000,37800000,41100000,43700000,42000000,42900000,37000000,27300000,29900000,28900000,20767450,21118215,20173370,17613996,20022897,23008603,28193966,35020966,42222393,45424072,42309473,49581018,55221736,67827816,68078979,79308086,81421366,92066092,114729806,109477786,110748853,146400419,144439000
48,Accounts Payable,- -,- -,- -,- -,- -,2600000,1700000,2400000,3200000,2500000,3200000,2500000,3500000,4400000,2763272,2259719,2038524,1295974,1742655,2316480,2174051,2357715,4575118,3668689,3546139,5678910,4935495,6480146,4788717,7773021,6664160,7338798,11150960,7982620,6692692,7601123,8977000
49,Short-Term Debt,200000,200000,- -,- -,- -,2300000,2400000,12800000,2400000,4000000,3700000,5300000,3700000,9800000,2722831,2589054,2840707,3093187,2176462,1420513,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266667,266667,1314165,1139575,1389000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,459596,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110221,- -
52,Other Current Liabilities,2200000,2900000,3100000,3400000,3300000,2800000,3600000,2500000,2600000,2900000,4400000,4500000,4500000,3600000,3153674,3138821,2821333,2027282,2494492,4682360,5356250,3668769,3907194,5157990,3257062,3538649,3768525,5250071,5087233,7590159,5272593,5480950,5365344,5115400,8576248,-266667,9880000
53,Total Current Liabilities,2400000,3100000,3100000,3400000,3300000,7700000,7700000,17700000,8200000,9400000,11300000,12300000,11700000,17800000,8639777,7987594,7700564,6416443,6413609,8419353,7540301,6026484,8482312,8826679,6803201,9217559,8704020,11730217,9875950,15363180,11936753,12819748,16782971,13364687,16583105,8584252,20246000
54,Long-Term Debt,5900000,6500000,6900000,8700000,6300000,9800000,11800000,6200000,14700000,14400000,14900000,8400000,11900000,6400000,5012634,4924834,2874875,2032486,2751960,55307,5577382,10217931,10186721,11749191,9154000,13522000,17568484,24319829,22911829,24146841,25912652,32935858,47161459,43727560,36418185,38767167,47111000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599280
56,Deferred Tax Liabilities,800000,800000,1000000,1000000,100000,500000,900000,800000,1000000,1000000,1400000,- -,- -,- -,- -,- -,520996,- -,155829,131228,140774,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49284,- -,599280
57,Other Non-Current Liabilities,- -,-100000,- -,- -,-100000,- -,100000,- -,100000,- -,-100000,100000,- -,- -,197048,313167,405036,685262,522875,420251,870515,645192,506617,1960539,1811022,1489648,1174305,911467,285955,370009,388400,190140,847383,53128,1993298,- -,-1198560
58,Total Non-Current Liabilities,6700000,7200000,7900000,9700000,6300000,10300000,12800000,7000000,15800000,15400000,16200000,8500000,11900000,6400000,5209682,5238001,3800907,2717748,3430664,606786,6588671,10863123,10693338,13709730,10965022,15011648,18742789,25231296,23197784,24516850,26301052,33125998,48008842,43780688,38460767,38767167,47111000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97334208,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3008494,2526933,3364000
61,Total Liabilities,9100000,10300000,11000000,13100000,9600000,18000000,20500000,24700000,24000000,24800000,27500000,20800000,23600000,24200000,13849459,13225595,11501471,9134191,9844273,9026139,14128972,16889607,19175650,22536409,17768223,24229207,27446809,36961513,33073734,39880030,38237805,45945746,64791813,57145375,55043872,67151293,67357000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,8600000,8700000,8700000,9030155,9033280,9033280,9130780,9132030,9623780,10404560,10482060,10668185,10732555,10782555,10935676,11134303,11218055,11407180,11632805,11876895,11971657,12094413,12094413,12094413,12100663,12654787
64,Retained Earnings,12500000,11000000,11200000,10700000,9300000,10000000,10800000,9600000,8900000,9000000,300000,-2900000,-2700000,-4400000,-2212080,-1151455,128949,788443,2010274,5033879,7546559,11015450,14472662,18319191,20507878,22398714,24403020,27082118,30099449,33784270,37340395,41861675,44467077,47549650,51571420,58033252,69873377
65,Other Comprehensive Income/Loss,-6400000,-7500000,-8700000,-10000000,-10700000,-12100000,-12500000,-12000000,-11500000,-12900000,-13100000,-12500000,-12900000,-12600000,-6868588,-5610250,-5592575,-2316814,-1370441,-1031587,-1071236,-941042,285842,-1663361,-812970,-875157,-1038319,-786893,-684521,-1647098,-2530790,-2336201,-1633999,-2057985,-1987870,-825967,-1380648
66,Other Total Stockholders Equity,15000000,15800000,17400000,19000000,19600000,21900000,22300000,21400000,20600000,22000000,13800000,13300000,13200000,13000000,6968504,5621045,5102245,877396,406761,356392,-2814889,-2425109,-2379946,-4500722,-5936213,-7107422,-6724077,-6646977,-5816863,-4341921,-3502939,-5376785,-4989498,-5253667,-5972982,-6591505,-4065516
67,Total Stockholders Equity,21100000,19300000,19900000,19700000,18200000,19800000,20600000,19000000,18000000,18100000,9500000,6500000,6300000,4700000,6917991,7892620,8671899,8479805,10178624,13982464,14064994,18131359,23046743,22887663,24541250,25351811,27774927,30866303,35005245,39428056,43183561,46120346,49937993,52332411,55704981,62716443,77082000
68,Total Liabilities And Stockholders Equity,30200000,29600000,30900000,32800000,27800000,37800000,41100000,43700000,42000000,42900000,37000000,27300000,29900000,28900000,20767450,21118215,20173370,17613996,20022897,23008603,28193966,35020966,42222393,45424072,42309473,49581018,55221736,67827816,68078979,79308086,81421366,92066092,114729806,109477786,110748853,129867736,144439000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16532683,- -
70,Total Liabilities & Equity,30200000,29600000,30900000,32800000,27800000,37800000,41100000,43700000,42000000,42900000,37000000,27300000,29900000,28900000,20767450,21118215,20173370,17613996,20022897,23008603,28193966,35020966,42222393,45424072,42309473,49581018,55221736,67827816,68078979,79308086,81421366,92066092,114729806,109477786,110748853,146400419,144439000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2098/000000209896000003/0000002098-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660897000026/0001026608-97-000026-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660898000010/0001026608-98-000010-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660899000031/0001026608-99-000031-index.html,- -,https://www.sec.gov/Archives/edgar/data/2098/000102660801500005/0001026608-01-500005-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660802000007/0001026608-02-000007-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2098/000102660809000026/0001026608-09-000026-index.html,https://www.sec.gov/Archives/edgar/data/2098/000102660810000024/0001026608-10-000024-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660811000025/0001026608-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660812000017/0001026608-12-000017-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660813000014/0001026608-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660814000011/0001026608-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660815000007/0001026608-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660816000091/0001026608-16-000091-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660817000009/0001026608-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660818000010/0001026608-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000102660819000011/0001026608-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000156459020010850/0001564590-20-010850-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000156459021017128/0001564590-21-017128-index.htm,https://www.sec.gov/Archives/edgar/data/2098/000156459022012597/0001564590-22-012597-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1200000,-500000,- -,- -,-1500000,1300000,1300000,-500000,-600000,100000,-8700000,-3200000,200000,-1700000,2168404,1060625,1280404,659494,1221831,3238405,2937310,3885662,4022258,4467071,2842087,2572964,2811193,3549231,4002905,4789005,4793525,5850998,4052479,4598350,5513608,8098766,13655679
74,Depreciation and Amortization,1100000,1500000,- -,1500000,1400000,1400000,1300000,1800000,1800000,1900000,1900000,1300000,1100000,1200000,979710,748936,724006,562487,458051,522347,652772,835128,871248,1007970,917889,870156,978837,1089697,1204882,1700058,2052853,2421746,2894860,3229200,3432722,3751980,2557680
75,Deferred Income Tax,- -,- -,- -,- -,- -,300000,500000,-100000,200000,- -,-700000,- -,- -,- -,- -,- -,349965,-548467,540600,-56958,-462621,442033,104859,-213353,-280188,-348713,-185162,-34860,94010,207024,-201553,100529,660703,396233,162637,60937,489059
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277577,308337,385732,428439,427877,490060,561856,513986,440536,684351,869055,968467,1259079,1806758
77,Change in Working Capital,- -,1600000,- -,2400000,-2800000,900000,3200000,-10900000,8600000,-300000,-5000000,-10100000,4100000,-6300000,3256481,1505586,298073,-244230,2261487,771412,4776289,9135480,3917269,441833,-866926,4457022,4408568,8860605,430707,-4961430,5548508,4946712,8391228,-1407224,-3064454,18538660,-96656
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1842262,49438,-1635185,-76021,-3556267,785952,-1729980,-16948,499940,-5230159,807988,-784562,-2028341,-7228368
79,Inventory,- -,- -,- -,- -,- -,-1900000,-1300000,300000,1800000,-800000,- -,5400000,-4000000,800000,1648394,-1706739,1219659,2103118,-1017075,-64949,-4248853,-2940755,-2645310,-3473436,4668500,-5015837,-1127005,-5310860,2056469,-4391815,-2599728,-1483785,-1846765,-1580151,2089861,-10049513,-3209330
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-854450,-149341,2208634,-1031524,1484949,-1751664,1879889,-1065428,610498,3733667,-3066106,-1525060,460179,1497258
81,Other Working Capital,18300000,19900000,- -,22300000,19500000,20400000,23600000,12700000,21300000,21000000,16000000,5900000,10000000,3700000,6956481,8462067,8760140,8515910,10777397,11548809,16325098,25460578,29377847,29819680,28952754,33409776,37818344,46678949,47109656,42148226,47696734,52643446,61034674,59627450,56562996,75101656,75005000
