,https://roic.ai/company/GCO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
15,EBITDA,-17300000,34900000,19000000,23500000,28000000,10300000,9700000,22400000,-43500000,-71100000,17500000,24400000,17500000,39000000,52414000,63000000,70839000,78014000,66280000,108108000,137166000,150777000,76261000,304808000,101665000,132482000,196688000,233158000,230354000,233004000,234146000,232048000,-18324000,56159000,134975000,-60481000,198408000
16,EBITDA ratio,-0.0321,0.0678,0.0468,0.0508,0.0569,0.0216,0.0206,0.0415,-0.0759,-0.1536,0.0403,0.0529,0.0326,0.0709,0.0914,0.0926,0.0949,0.0942,0.0792,0.0972,0.1068,0.1032,0.0508,0.1965,0.0646,0.0740,0.0858,0.0895,0.0878,0.0815,0.0775,0.1148,-0.0086,0.0257,0.0614,-0.0339,0.0819
17,Operating Income,1100000,11000000,8800000,19500000,25000000,7600000,4900000,21200000,-40900000,6700000,18300000,27600000,36100000,36000000,47930000,60187000,63428000,66694000,55203000,88064000,112827000,121045000,45161000,263192000,60422000,86083000,143870000,167970000,163435000,167266000,151251000,141960000,-96249000,81817000,83318000,-107249000,155567000
18,Operating Income ratio,0.0020,0.0214,0.0217,0.0421,0.0508,0.0160,0.0104,0.0393,-0.0714,0.0145,0.0421,0.0598,0.0673,0.0655,0.0835,0.0885,0.0849,0.0805,0.0659,0.0791,0.0879,0.0829,0.0301,0.1696,0.0384,0.0481,0.0628,0.0645,0.0623,0.0585,0.0500,0.0702,-0.0452,0.0374,0.0379,-0.0600,0.0642
19,Total Other Income Expenses (Gains),-30900000,4200000,-1500000,-3800000,-5200000,-6200000,-4300000,-7500000,200000,-24400000,-12100000,-10900000,-17000000,-4900000,-6030000,-7187000,-7528000,-7894000,-9870000,-10964000,-10327000,-9945000,-12461000,-9410000,-9922000,-1083000,-5070000,-3170000,-4535000,-10277000,282000,-29202000,165238000,-3558000,-883000,-4420000,-2576000
20,Income Before Tax,-29800000,15200000,7300000,15700000,19800000,1400000,600000,13700000,- -,-17700000,- -,16700000,- -,31100000,41900000,53000000,55900000,58800000,45333000,77100000,102500000,111100000,32700000,253782000,50500000,85000000,138800000,164800000,158900000,156989000,151533000,112758000,68989000,78259000,82435000,-111669000,152991000
21,Income Before Tax Ratio,-0.0553,0.0295,0.0180,0.0339,0.0402,0.0029,0.0013,0.0254,- -,-0.0382,- -,0.0362,- -,0.0566,0.0730,0.0779,0.0749,0.0710,0.0541,0.0693,0.0798,0.0761,0.0218,0.1636,0.0321,0.0475,0.0606,0.0633,0.0605,0.0549,0.0501,0.0558,0.0324,0.0358,0.0375,-0.0625,0.0632
22,Income Tax expense (Gain),6000000,9600000,3400000,500000,900000,100000,100000,4000000,- -,800000,- -,-400000,- -,-23800000,16000000,20200000,17500000,22400000,15715000,28642000,39844000,42871000,24247000,95683000,21402000,30414000,55794000,51935000,65878000,57616000,56152000,53555000,9769000,27035000,20678000,-55641000,38044000
23,Net Income,-33900000,15200000,8000000,15200000,18900000,1300000,500000,9100000,-54200000,-81200000,10100000,17100000,8600000,53100000,25900000,29600000,37100000,36300000,28730000,48200000,62700000,67600000,6900000,152636000,28800000,53200000,82000000,112400000,92700000,97725000,94569000,97431000,-111839000,-51930000,61384000,-56429000,114947000
24,Net Income ratio,-0.0630,0.0295,0.0197,0.0328,0.0384,0.0027,0.0011,0.0169,-0.0946,-0.1754,0.0232,0.0371,0.0160,0.0966,0.0451,0.0435,0.0497,0.0438,0.0343,0.0433,0.0488,0.0463,0.0046,0.0984,0.0183,0.0297,0.0358,0.0432,0.0353,0.0342,0.0313,0.0482,-0.0526,-0.0237,0.0279,-0.0316,0.0475
25,EPS,-2.39,1.09,0.51,0.76,0.83,0.04,0.01,0.38,-2.26,-3.35,0.40,0.66,0.33,2.07,1.14,1.36,1.68,1.65,1.31,2.18,2.74,2.98,0.30,7.93,1.20,2.28,3.52,4.68,3.98,4.16,4.21,4.85,-5.82,-2.68,3.95,-3.97,8.03
26,EPS Diluted,-2.39,1.05,0.48,0.73,0.80,0.04,0.01,0.38,-2.26,-3.35,0.40,0.66,0.31,1.83,1.05,1.23,1.49,1.47,1.29,1.91,2.38,2.59,0.29,7.93,1.20,2.24,3.43,4.60,3.92,4.12,4.19,4.83,-5.82,-2.68,3.92,-3.97,7.86
27,Weighted Average Shares Outstanding,15062762,12018349,15686275,20000000,22771084,18000000,20000000,23157895,23982301,24238806,25250000,25909091,26060606,25700483,22738596,21768382,21890476,21809697,21706870,21998624,22778467,22614094,22226667,19401000,20868000,23209000,23234000,23584000,23297000,23507000,22880000,20076000,19218000,19351000,15544000,14216000,14314000
28,Weighted Average Shares Outstanding Diluted,15062762,12476190,16666667,20821918,23625000,18000000,20000000,23157895,23982301,24256927,25625000,25909091,27741935,29071038,24687619,24069106,24681879,24480272,22043411,25108377,26223950,26019305,22993103,24170000,21086000,23716000,23848000,24037000,23615000,23708000,23000000,20172000,19218000,19495000,15671000,14216000,14616000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18498/000095014495001146/0000950144-95-001146-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014496001826/0000950144-96-001826-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18498/000095014400005624/0000950144-00-005624-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014401501533/0000950144-01-501533-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014402004726/0000950144-02-004726-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014403006057/g82515e10vk.htm,https://www.sec.gov/Archives/edgar/data/18498/000095014404003909/g88468e10vk.htm,https://www.sec.gov/Archives/edgar/data/18498/000095014405003867/g94487e10vk.htm,https://www.sec.gov/Archives/edgar/data/18498/000095014406003491/g00831e10vk.htm,https://www.sec.gov/Archives/edgar/data/18498/000095014407003135/0000950144-07-003135-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014408002576/0000950144-08-002576-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014409002839/0000950144-09-002839-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095012310030948/0000950123-10-030948-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095012311030819/g26642e10vk.htm,https://www.sec.gov/Archives/edgar/data/18498/000119312512137534/0001193125-12-137534-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849813000012/0000018498-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849814000012/0000018498-14-000012-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849815000014/0000018498-15-000014-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849816000065/0000018498-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849817000009/0000018498-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849818000016/0000018498-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849819000016/0000018498-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849820000016/0000018498-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/18498/000156459021016951/0001564590-21-016951-index.htm,https://www.sec.gov/Archives/edgar/data/18498/000095017022004397/0000950170-22-004397-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,23100000,33700000,46500000,41800000,36500000,3400000,7200000,4800000,3600000,10200000,35600000,43400000,49300000,58700000,57900000,60400000,46400000,55900000,81549000,60100000,60500000,16700000,17700000,17672000,82100000,55900000,53800000,59800000,59400000,112867000,133288000,48301000,39937000,167355000,81418000,215091000,320525000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,23100000,33700000,46500000,41800000,36500000,3400000,7200000,4800000,3600000,10200000,35600000,43400000,49300000,58700000,57900000,60400000,46400000,55900000,81549000,60100000,60500000,16700000,17700000,17672000,82100000,55900000,53800000,59800000,59400000,112867000,133288000,48301000,39937000,167355000,81418000,215091000,320525000
34,Net Receivables,59100000,109800000,54500000,58600000,58600000,63100000,54300000,71700000,66000000,32100000,32100000,30400000,20400000,26300000,23600000,22700000,19900000,19400000,12515000,17900000,21200000,24100000,24300000,23744000,27200000,44500000,43700000,48200000,52600000,55263000,47265000,43525000,43292000,132390000,29195000,31410000,39509000
35,Inventory,124000000,94500000,106000000,114400000,124900000,122700000,111500000,151500000,155100000,82900000,84900000,95900000,106000000,117200000,109800000,134200000,142900000,168600000,167234000,207200000,230600000,261000000,300500000,306078000,291000000,359700000,435100000,505300000,567300000,598145000,529758000,563677000,542625000,366667000,365269000,290966000,278200000
36,Other Current Assets,2900000,3200000,3700000,3800000,7000000,7200000,7100000,8500000,5900000,58200000,4300000,4500000,18900000,26100000,23700000,26400000,20600000,25500000,22468000,20700000,28900000,33300000,41200000,50625000,49800000,53000000,62700000,69000000,77600000,81383000,89775000,61470000,67234000,64634000,32301000,130128000,71564000
37,Total Current Assets,209100000,241200000,210700000,218600000,227000000,196400000,180100000,236500000,230600000,183400000,156900000,174200000,194600000,228300000,215000000,243700000,229800000,269400000,283766000,305900000,341200000,335100000,383700000,398119000,450100000,513100000,595300000,682300000,756900000,847658000,800086000,716973000,693088000,731046000,508183000,667595000,709798000
38,PP&E,69400000,42400000,44000000,41700000,43800000,45200000,45000000,47200000,42900000,28100000,28600000,34500000,45400000,58400000,68700000,87700000,112600000,127500000,121667000,168700000,188000000,222300000,247200000,239681000,216300000,198700000,227700000,241700000,280000000,305752000,323328000,330611000,382629000,277375000,973364000,829569000,760097000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97200000,96200000,107700000,107600000,111680000,119000000,153300000,259800000,273800000,288100000,296865000,281385000,271222000,100308000,93081000,122184000,38550000,38556000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,19200000,18600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54300000,52000000,54200000,52900000,53831000,56500000,65100000,93100000,89000000,86700000,93848000,90309000,86719000,89692000,31847000,36364000,30929000,29855000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,19200000,18600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151500000,148200000,161900000,160500000,165511000,175500000,218400000,352900000,362800000,374800000,390713000,371694000,357941000,190000000,124928000,158548000,69479000,68411000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18137000,- -,- -,- -,- -,7132000,- -,- -,- -,- -,- -,31000,- -,- -,- -,- -,- -,- -,1466000
44,Other Non-Current Assets,6200000,6500000,3800000,5100000,9000000,9800000,12100000,15000000,17300000,32400000,12300000,9000000,6800000,20500000,17500000,20800000,21200000,22300000,6617000,9500000,8700000,10100000,13200000,7584000,21800000,30900000,61400000,39300000,27600000,38933000,46082000,35474000,49636000,47732000,40383000,20725000,22327000
45,Total Non-Current Assets,75600000,48900000,47800000,46800000,52800000,55000000,57100000,81400000,78800000,60500000,40900000,43500000,52200000,78900000,86200000,108500000,133800000,149800000,146421000,329700000,344900000,394300000,420900000,419908000,413600000,448000000,642000000,643800000,682400000,735429000,741104000,724026000,622265000,450035000,1172295000,919773000,852301000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,284700000,290100000,258500000,265400000,279800000,251400000,237200000,317900000,309400000,243900000,197800000,217700000,246800000,307200000,301200000,352200000,363600000,419200000,430187000,635600000,686100000,729400000,804600000,818027000,863700000,961100000,1237300000,1326100000,1439300000,1583087000,1541190000,1440999000,1315353000,1181081000,1680478000,1587368000,1562099000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,68100000,61100000,43700000,- -,72000000,33300000,33000000,37600000,26100000,43700000,47921000,65600000,73900000,65100000,75300000,73143000,92700000,117000000,138900000,118400000,145500000,176307000,154241000,170751000,140962000,158603000,135784000,150437000,152484000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,1200000,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8773000,5675000,6793000,13152000,14182000,9175000,1766000,8992000,142695000,173505000,145088000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,634000,- -,13259000,16390000,29100000,28435000,46886000,40857000,30669000,17602000,19522000,11773000,16252000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11909000,- -,2699000,8649000,12940000,18702000,- -,17314000,19130000,22541000,23725000,23089000,- -,28965000,21194000,25077000,21335000,19475000,- -,- -
52,Other Current Liabilities,68400000,68100000,46300000,52200000,57200000,52800000,47300000,67600000,2400000,19300000,3900000,58700000,3100000,39200000,44000000,61200000,48100000,32691000,44521000,61401000,73651000,56660000,51598000,65839000,59686000,98270000,134286000,127400000,130218000,216457000,126229000,108266000,87263000,87299000,63981000,78991000,134156000
53,Total Current Liabilities,68400000,68100000,46300000,52200000,57200000,52800000,47300000,67600000,70500000,82700000,48800000,58700000,75300000,72500000,77000000,98800000,74200000,88300000,92442000,129700000,156200000,134700000,145600000,138982000,169700000,234400000,304500000,275200000,305600000,405916000,323617000,309386000,255068000,276229000,361935000,402933000,431728000
54,Long-Term Debt,114200000,92200000,69000000,59600000,50500000,31700000,22500000,67100000,102900000,85100000,76500000,75700000,75000000,103500000,103500000,103500000,103200000,103200000,86250000,161300000,106300000,109300000,155200000,118520000,- -,- -,31900000,45000000,26900000,16003000,97583000,73730000,86619000,56751000,14393000,560535000,487557000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28152000,18731000,3342000,- -,959000,85000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,71000000,83600000,87000000,51600000,36300000,32000000,18300000,28100000,37300000,46700000,38600000,22800000,24600000,14600000,12400000,11600000,25000000,44900000,35897000,72500000,74900000,80100000,82300000,113591000,111600000,102400000,157348000,165269000,187258000,162391000,163875000,136745000,144492000,110550000,684807000,57141000,- -
58,Total Non-Current Liabilities,185200000,175800000,156000000,111200000,86800000,63700000,40800000,95200000,140200000,131800000,115100000,98500000,99600000,118100000,115900000,115100000,128200000,148100000,122147000,233800000,181200000,189400000,237500000,232111000,111600000,102400000,217400000,229000000,217500000,178394000,262417000,210560000,231111000,167301000,699200000,617676000,487557000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,790644000,701054000,- -
61,Total Liabilities,253600000,243900000,202300000,163400000,144000000,116500000,88100000,162800000,210700000,214500000,163900000,157200000,174900000,190600000,192900000,213900000,202400000,236400000,214589000,363500000,337400000,324100000,383100000,371093000,281300000,336800000,521900000,504200000,523100000,584310000,586034000,519946000,486179000,443530000,1061135000,1020609000,919285000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7599000,7580000,7474000,6695000,6602000,5338000,5203000,5220000,5183000,4957000,3924000,1305000,1274000,1077000,1060000,1052000,1060000,1009000,1009000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25200000,- -,24300000,21700000,22200000,22300000,22200000,22212000,22900000,23700000,23200000,23300000,19732000,24600000,24200000,24800000,24500000,24400000,24515000,22323000,20354000,20392000,19591000,15186000,15438000,14256000
64,Retained Earnings,-38700000,-18200000,-6800000,8200000,25600000,22300000,22500000,31300000,-23200000,-104600000,-94500000,-77400000,-75500000,-23900000,1700000,31000000,67800000,103800000,132215000,176800000,239200000,306600000,309000000,432324000,452200000,505200000,587000000,669200000,734500000,820563000,768222000,731111000,603902000,508555000,378572000,320920000,350206000
65,Other Comprehensive Income/Loss,-93700000,-67900000,-48900000,-50700000,-50600000,-51400000,-53500000,-56600000,-75600000,-53800000,-57200000,-61000000,-57200000,-54000000,-51100000,-52900000,-34600000,-30452000,-25164000,-26302000,-26204000,-21327000,-16010000,-30698000,-28804000,-24305000,-32966000,-28241000,-16767000,-40576000,-42613000,-51292000,-29192000,-37936000,-31668000,-35059000,-36408000
66,Other Total Stockholders Equity,163500000,132300000,111900000,144500000,160800000,164000000,180100000,180400000,197500000,187800000,185600000,173700000,204600000,170200000,135900000,137900000,105700000,79632000,78755000,91193000,105360000,90151000,99787000,20373000,129097000,114040000,131570000,139208000,172752000,191031000,206147000,219820000,233020000,246281000,256244000,264451000,274414000
67,Total Stockholders Equity,31100000,46200000,56200000,102000000,135800000,134900000,149100000,155100000,98700000,29400000,33900000,60500000,71900000,116600000,108200000,138200000,161200000,182779000,215598000,272065000,348751000,405226000,421415000,446934000,582313000,624318000,715361000,808591000,916190000,996807000,955156000,921053000,829174000,737551000,619343000,566759000,642814000
68,Total Liabilities And Stockholders Equity,284700000,290100000,258500000,265400000,279800000,251400000,237200000,317900000,309400000,243900000,197800000,217700000,246800000,307200000,301100000,352100000,363600000,419179000,430187000,635565000,686151000,729326000,804515000,818027000,863613000,961118000,1237261000,1312791000,1439290000,1581117000,1541190000,1440999000,1315353000,1181081000,1680478000,1587368000,1562099000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,21000,- -,35000,-51000,74000,85000,- -,87000,-18000,39000,13309000,10000,1970000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,284700000,290100000,258500000,265400000,279800000,251400000,237200000,317900000,309400000,243900000,197800000,217700000,246800000,307200000,301200000,352200000,363600000,419200000,430187000,635600000,686100000,729400000,804600000,818027000,863700000,961100000,1237300000,1326100000,1439300000,1583087000,1541190000,1440999000,1315353000,1181081000,1680478000,1587368000,1562099000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18498/000095014495001146/0000950144-95-001146-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014496001826/0000950144-96-001826-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/18498/000095014400005624/0000950144-00-005624-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014401501533/0000950144-01-501533-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014402004726/0000950144-02-004726-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014403006057/g82515e10vk.htm,https://www.sec.gov/Archives/edgar/data/18498/000095014404003909/g88468e10vk.htm,https://www.sec.gov/Archives/edgar/data/18498/000095014405003867/g94487e10vk.htm,https://www.sec.gov/Archives/edgar/data/18498/000095014406003491/g00831e10vk.htm,https://www.sec.gov/Archives/edgar/data/18498/000095014407003135/0000950144-07-003135-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014408002576/0000950144-08-002576-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095014409002839/0000950144-09-002839-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095012310030948/0000950123-10-030948-index.html,https://www.sec.gov/Archives/edgar/data/18498/000095012311030819/g26642e10vk.htm,https://www.sec.gov/Archives/edgar/data/18498/000119312512137534/0001193125-12-137534-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849813000012/0000018498-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849814000012/0000018498-14-000012-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849815000014/0000018498-15-000014-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849816000065/0000018498-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849817000009/0000018498-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849818000016/0000018498-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849819000016/0000018498-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/18498/000001849820000016/0000018498-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/18498/000156459021016951/0001564590-21-016951-index.htm,https://www.sec.gov/Archives/edgar/data/18498/000095017022004397/0000950170-22-004397-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,500000,9100000,-54200000,-81200000,10100000,17100000,8600000,53100000,25900000,29600000,37100000,36300000,28730000,48200000,62700000,67600000,6900000,152636000,28800000,53200000,82000000,112400000,92700000,97725000,94569000,97431000,-111839000,-51930000,61384000,-56429000,114947000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,9100000,9300000,10700000,9300000,7400000,7700000,8900000,9700000,10514000,13200000,16239000,19314000,21835000,31266000,34622000,40306000,45114000,46757000,47033000,47738000,53737000,63697000,67135000,74326000,79011000,75768000,78326000,76939000,49574000,46499000,42969000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-200000,-800000,2300000,1400000,- -,-400000,-500000,-28800000,10687000,351000,6071000,2362000,259000,6061000,-5065000,-6129000,-12683000,7837000,3680000,-11866000,-2012000,-17831000,14983000,5212000,-2125000,5394000,-15584000,272000,660000,39142000,-18710000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8031000,6969000,8006000,7660000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
