,https://roic.ai/company/ITRI,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/780571/000103221003000460/d10k.htm,https://www.sec.gov/Archives/edgar/data/780571/000119312504040650/d10k.htm,https://www.sec.gov/Archives/edgar/data/780571/000119312505047028/d10k.htm,https://www.sec.gov/Archives/edgar/data/780571/000119312506038135/d10k.htm,https://www.sec.gov/Archives/edgar/data/780571/000119312507037418/d10k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/780571/000119312511045950/d10k.htm,https://www.sec.gov/Archives/edgar/data/780571/000078057112000006/0000780571-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057113000004/0000780571-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057114000014/itri10k123113.htm,https://www.sec.gov/Archives/edgar/data/780571/000078057115000010/itri10k123114.htm,https://www.sec.gov/Archives/edgar/data/780571/000078057116000059/itri10k12312015.htm,https://www.sec.gov/Archives/edgar/data/780571/000078057117000003/0000780571-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057118000013/0000780571-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057119000007/0000780571-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057120000004/0000780571-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057121000009/0000780571-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/780571/000078057122000004/0000780571-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12300000,11000000,6400000,2200000,3000000,2700000,1500000,21216000,20582000,32564000,6240000,11624000,33638000,361405000,91988000,144390000,121893000,169477000,133086000,136411000,124805000,112371000,131018000,133565000,176274000,120221000,149904000,206933000,162579000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,22199000,- -,- -,- -,- -,34583000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12300000,11000000,6400000,2200000,3000000,2700000,1500000,21216000,42781000,32564000,6240000,11624000,33638000,395988000,91988000,144390000,121893000,169477000,133086000,136411000,124805000,112371000,131018000,133565000,176274000,120221000,149904000,206933000,162579000
34,Net Receivables,22900000,26700000,37000000,44400000,69800000,75800000,49100000,52912000,52345000,57571000,70782000,90097000,104428000,109924000,339018000,321278000,337948000,371662000,371641000,375326000,356709000,348389000,330895000,351506000,398029000,437161000,472925000,369828000,298459000
35,Inventory,15400000,11900000,18100000,33800000,32000000,20700000,15300000,17196000,16281000,15660000,16037000,45459000,49456000,52496000,169238000,164210000,170084000,208157000,195837000,170719000,177467000,154504000,190465000,163049000,193835000,220674000,227896000,182377000,165799000
36,Other Current Assets,18000000,35600000,31000000,10300000,7700000,9200000,42200000,5752000,5326000,8697000,16230000,28210000,34135000,38037000,53192000,87839000,95991000,132921000,139790000,138494000,140385000,143422000,106562000,84346000,81604000,118085000,146526000,171124000,123092000
37,Total Current Assets,68600000,85200000,92500000,90700000,112500000,108400000,108100000,97076000,116733000,114492000,109289000,175390000,221657000,596445000,653436000,717717000,725916000,882217000,840354000,820950000,799366000,758686000,758940000,732466000,849742000,896141000,997251000,930262000,749929000
38,PP&E,9900000,12900000,30500000,71300000,91900000,93100000,37600000,34954000,38836000,41757000,42818000,59690000,77623000,88689000,323003000,307717000,318217000,299242000,262670000,255212000,246820000,207789000,190256000,176458000,200768000,226551000,313001000,284092000,228707000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116032000,126266000,1266133000,1285853000,1305599000,1209376000,636910000,701016000,548578000,500820000,468122000,452494000,555762000,1116533000,1103907000,1131916000,1098975000
40,Intangible Assets,19600000,19900000,19900000,22300000,21500000,18100000,15200000,12836000,11035000,62492000,113364000,279608000,123293000,112682000,695900000,481886000,388212000,291670000,239500000,238771000,195840000,139909000,101932000,72151000,95228000,257583000,185097000,132955000,92529000
41,Intangible Assets,19600000,19900000,19900000,22300000,21500000,18100000,15200000,12836000,11035000,62492000,113364000,279608000,239325000,238948000,1962033000,1767739000,1693811000,1501046000,876410000,939787000,744418000,640729000,570054000,524645000,650990000,1374116000,1289004000,1264871000,1191504000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,24952000,24050000,31755000,27252000,48955000,47400000,75243000,45783000,89932000,35050000,22144000,44584000,58880000,74598000,109387000,94113000,49971000,64830000,63899000,76142000,181472000
44,Other Non-Current Assets,800000,1100000,4100000,3100000,14300000,28200000,31200000,33024000,11135000,4455000,6263000,15211000,11324000,17040000,36851000,32258000,26745000,28242000,62704000,28908000,33027000,28503000,52726000,50129000,354676000,47344000,44686000,51656000,42178000
45,Total Non-Current Assets,30300000,33900000,54500000,96700000,127700000,139400000,84000000,80814000,85958000,132754000,194200000,381761000,377227000,392077000,2397130000,2153497000,2128705000,1863580000,1223928000,1268491000,1083145000,951619000,922423000,845345000,1256405000,1712841000,1710590000,1676761000,1643861000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,98900000,119100000,147000000,187400000,240200000,247800000,192100000,177890000,202691000,247246000,303489000,557151000,598884000,988522000,3050566000,2871214000,2854621000,2745797000,2064282000,2089441000,1882511000,1710305000,1681363000,1577811000,2106147000,2608982000,2707841000,2607023000,2393790000
48,Accounts Payable,12800000,11600000,16200000,20700000,26600000,25300000,34700000,30171000,24689000,25526000,40175000,37439000,46215000,43922000,198997000,200725000,219255000,241949000,246775000,227739000,199769000,184132000,185827000,172711000,262166000,309951000,328128000,215639000,193129000
49,Short-Term Debt,- -,- -,- -,33100000,1600000,14000000,4200000,242000,229000,691000,48245000,35647000,4376000,- -,11980000,10769000,10871000,228721000,15000000,18750000,26250000,30000000,11250000,14063000,19688000,28438000,- -,18359000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18595000,14377000,19725000,11526000,9305000,10700000,21951000,14859000,10451000,16100000,14753000,22193000,15804000,12208000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,13559000,11580000,12004000,22991000,22758000,27449000,20912000,24329000,40140000,28258000,37369000,42712000,37163000,43436000,73301000,64976000,41438000,93621000,99556000,112928000,82816000
52,Other Current Liabilities,12700000,11300000,12600000,10700000,15900000,14900000,24900000,18269000,11610000,25659000,10711000,21190000,32229000,32213000,171968000,188598000,173118000,204806000,211578000,178172000,191830000,239207000,207396000,161296000,184491000,220697000,243707000,202973000,225399000
53,Total Current Liabilities,25500000,22900000,28800000,64500000,44100000,54200000,63800000,48682000,50087000,63456000,111135000,117267000,105578000,103584000,403857000,424421000,443384000,703734000,510722000,467373000,455012000,496775000,477774000,413046000,507783000,652707000,671391000,549899000,501344000
54,Long-Term Debt,300000,100000,5600000,6400000,72200000,69600000,63500000,58533000,58173000,- -,- -,242588000,162553000,469324000,1578561000,1179249000,770893000,382220000,437502000,398750000,352500000,293969000,359962000,290460000,593572000,988185000,932482000,969400000,507542000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173500000,102720000,80695000,54412000,31699000,16682000,7326000,3808000,1723000,3073000,1525000,1543000,1809000,1921000,2000000
57,Other Non-Current Liabilities,1800000,1700000,2100000,2300000,3500000,9000000,17300000,16632000,18379000,22189000,15110000,12866000,13219000,24632000,135846000,129433000,159135000,177136000,177434000,197123000,194702000,201272000,219201000,220879000,197635000,232499000,301344000,245530000,240145000
58,Total Non-Current Liabilities,2100000,1800000,9400000,8700000,75700000,78600000,80800000,75165000,76552000,22189000,15110000,255454000,175772000,493956000,1887907000,1411402000,1010723000,613768000,646635000,612555000,554528000,499049000,580886000,514412000,792732000,1222227000,1235635000,1216851000,749687000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68919000,66823000,57314000
61,Total Liabilities,27600000,24700000,38200000,73200000,119800000,132800000,144600000,123847000,126639000,85645000,126245000,372721000,281350000,597540000,2291764000,1835823000,1454107000,1317502000,1157357000,1079928000,1009540000,995824000,1058660000,927458000,1300515000,1874934000,1907026000,1766750000,1251031000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,107600000,109730000,120316000,195546000,200567000,211920000,312046000,- -,- -,- -,- -,- -,- -,1294213000,1290629000,1270045000,1246671000,1270467000,1294767000,1334364000,1357600000,1389419000,1779775000
64,Retained Earnings,-3600000,4400000,14500000,15300000,16300000,10100000,-58500000,-53847000,-42348000,-33665000,-23187000,-28444000,4617000,38376000,22232000,50291000,30250000,135020000,-375137000,-266862000,-413671000,-436591000,-441306000,-409536000,-337873000,-425396000,-376390000,-434345000,-515600000
65,Other Comprehensive Income/Loss,- -,-19900000,-23800000,-30000000,-38000000,-55300000,-66100000,-56474000,-57891000,-280000,-136000,954000,871000,1588000,126668000,34093000,71130000,-34974000,-37160000,-34384000,-21722000,-136514000,-200607000,-229327000,-170478000,-196305000,-204672000,-138526000,-148098000
66,Other Total Stockholders Equity,74900000,109900000,118100000,128900000,142100000,160200000,64500000,54634000,55975000,- -,- -,- -,- -,350606000,- -,- -,- -,1328275000,1319062000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,71300000,94400000,108800000,114200000,120400000,115000000,47500000,54043000,76052000,161601000,177244000,184430000,317534000,390982000,758802000,1035391000,1400514000,1428295000,906925000,992967000,855236000,696940000,604758000,631604000,786416000,712663000,776538000,816548000,1116077000
68,Total Liabilities And Stockholders Equity,98900000,119100000,147000000,187400000,240200000,247800000,192100000,177890000,202691000,247246000,303489000,557151000,598884000,988522000,3050566000,2871214000,2854621000,2745797000,2064282000,2072895000,1864776000,1692764000,1663418000,1559062000,2086931000,2587597000,2683564000,2583298000,2367108000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16546000,17735000,17541000,17945000,18749000,19216000,21385000,24277000,23725000,26682000
70,Total Liabilities & Equity,98900000,119100000,147000000,187400000,240200000,247800000,192100000,177890000,202691000,247246000,303489000,557151000,598884000,988522000,3050566000,2871214000,2854621000,2745797000,2064282000,2089441000,1882511000,1710305000,1681363000,1577811000,2106147000,2608982000,2707841000,2607023000,2393790000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/780571/000103221003000460/d10k.htm,https://www.sec.gov/Archives/edgar/data/780571/000119312504040650/d10k.htm,https://www.sec.gov/Archives/edgar/data/780571/000119312505047028/d10k.htm,https://www.sec.gov/Archives/edgar/data/780571/000119312506038135/d10k.htm,https://www.sec.gov/Archives/edgar/data/780571/000119312507037418/d10k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/780571/000119312511045950/d10k.htm,https://www.sec.gov/Archives/edgar/data/780571/000078057112000006/0000780571-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057113000004/0000780571-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057114000014/itri10k123113.htm,https://www.sec.gov/Archives/edgar/data/780571/000078057115000010/itri10k123114.htm,https://www.sec.gov/Archives/edgar/data/780571/000078057116000059/itri10k12312015.htm,https://www.sec.gov/Archives/edgar/data/780571/000078057117000003/0000780571-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057118000013/0000780571-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057119000007/0000780571-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057120000004/0000780571-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/780571/000078057121000009/0000780571-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/780571/000078057122000004/0000780571-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4300000,8000000,10100000,-1500000,1000000,-6200000,-68600000,4657000,13450000,8683000,10478000,-5257000,33061000,33759000,-16144000,28059000,-2249000,104770000,-510157000,108275000,-146809000,-22920000,12678000,31770000,57298000,-99250000,49006000,-57955000,-81255000
74,Depreciation and Amortization,6100000,6600000,8000000,10500000,16800000,19900000,18500000,13010000,9900000,10184000,19040000,40617000,56603000,50760000,139966000,173673000,155737000,131205000,129466000,109471000,98845000,98463000,75993000,68318000,63215000,122497000,114400000,97290000,84153000
75,Deferred Income Tax,1600000,900000,800000,-1500000,100000,-4600000,-28100000,4445000,3053000,4731000,5315000,-6590000,-22017000,1624000,-36373000,-38074000,-64216000,-17992000,-12985000,-6775000,-26757000,-31542000,1488000,13790000,50667000,-19130000,-192000,-12939000,-85574000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16582000,16982000,19107000,16411000,19512000,18850000,17860000,14089000,18035000,21407000,31263000,26960000,25053000,23618000
77,Change in Working Capital,-3800000,19200000,1400000,-37500000,42200000,-14200000,-9900000,4094000,18252000,-15610000,-52882000,59969000,57956000,376782000,-243282000,43717000,-10764000,-104049000,151149000,23945000,-9223000,-82443000,19255000,38254000,22539000,-98525000,82426000,54503000,89572000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19864000,-2962000,-45612000,-22770000,36300000,13652000,-16789000,-9009000,-27162000,-17573000,15524000,-39467000,108256000,60242000
79,Inventory,-5400000,3400000,-5500000,-15800000,3200000,11300000,5400000,277000,915000,621000,-377000,-3600000,-3997000,-1599000,19419000,4914000,3535000,-41417000,6389000,28253000,-10861000,6021000,-52737000,22343000,-16242000,-25613000,-9389000,35403000,-3721000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9873000,- -,- -,-47367000,-7702000,55924000,-7060000,-37312000,78463000,20101000,9177000,-111724000,-23391000
81,Other Working Capital,43100000,62300000,63700000,26200000,68400000,54200000,44300000,48394000,66646000,51036000,-1846000,58123000,116079000,492861000,249579000,293296000,282532000,178483000,329632000,353577000,344354000,261911000,281166000,319420000,341959000,243434000,325860000,380363000,-20449000
82,Other Non-Cash Items,- -,-21900000,-10700000,13100000,-63300000,3200000,112600000,-25012000,-12318000,41238000,28305000,-35684000,-45986000,-368152000,289160000,-30811000,45297000,121550000,478474000,-49338000,170515000,153555000,-50153000,-54325000,-23772000,172900000,-99760000,3562000,124280000
83,Cash Provided by Operating Activities,8200000,12800000,9600000,-16900000,-3200000,-1900000,24500000,1194000,32337000,49226000,10256000,53055000,79617000,94773000,133327000,193146000,140787000,254591000,252358000,205090000,105421000,132973000,73350000,115842000,191354000,109755000,172840000,109514000,154794000
84,CAPEX,-3800000,-7300000,-16500000,-27500000,-36800000,-6400000,-17300000,-8987000,-7642000,-10536000,-9630000,-12788000,-31973000,-31739000,-40602000,-63430000,-52906000,-62822000,-60076000,-50543000,-60020000,-44495000,-43918000,-43543000,-49495000,-59952000,-60749000,-46208000,-34682000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42917000,- -,-253050000,- -,-21121000,-1716253000,-6897000,-4317000,- -,-20092000,-79017000,-860000,- -,-5754000,-951000,-99386000,-803075000,- -,1133000,-5528000
86,Purchases of Investments,-12800000,-17900000,- -,- -,- -,- -,- -,- -,-30371000,-26922000,- -,- -,- -,-204995000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,5600000,25100000,- -,- -,- -,- -,8172000,48979000,- -,- -,- -,170434000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1200000,-3200000,-6600000,-22400000,2700000,-10700000,1200000,32369000,-8188000,8044000,-75549000,-1263000,1402000,1922000,42439000,3252000,3229000,6548000,1427000,4115000,4109000,2999000,721000,-3034000,702000,369000,12569000,4039000,5326000
89,Cash Used for Investing Activites,-17800000,-28400000,-17500000,-24800000,-34100000,-17100000,-16100000,23382000,-38029000,-23352000,-85179000,-267101000,-30571000,-85499000,-1714416000,-67075000,-53994000,-56274000,-78741000,-125445000,-56771000,-41496000,-48951000,-47528000,-148179000,-862658000,-48180000,-41036000,-34884000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-388371000,-275796000,-155163000,-848054000,-115002000,-73750000,-102438000,-62998000,-79119000,-29063000,-363359000,-137657000,-414063000,-946094000
91,Common Stock Issued,31400000,13600000,3600000,4600000,6200000,2400000,1600000,2127000,7817000,7666000,3706000,8338000,84727000,15250000,247617000,324494000,166372000,8776000,4625000,4781000,5299000,3647000,2663000,2891000,3609000,9171000,24390000,8886000,394499000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1600000,- -,- -,-1908000,-12555000,- -,- -,- -,- -,- -,- -,- -,- -,-29428000,-47441000,-26977000,-39665000,-38283000,- -,- -,- -,-25000000,- -,-8028000
93,Dividends Paid,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-10000000,700000,-200000,33100000,31900000,17900000,-11200000,-7025000,-851000,-9003000,44893000,211092000,-111759000,303243000,1062743000,501000,-4697000,-2250000,663404000,80134000,37990000,46579000,106358000,13205000,327413000,750009000,40748000,393601000,406736000
95,Cash Used/Provided by Financing Activities,21400000,14300000,3400000,37500000,38100000,18700000,-9600000,-4898000,5058000,-13892000,48599000,219430000,-27032000,318493000,1310360000,-63376000,-114121000,-148637000,-209453000,-77528000,-57438000,-91877000,7740000,-63023000,301959000,395821000,-97519000,-11576000,-152887000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1312000,-10293000,4831000,-2096000,-555000,1208000,-2818000,-12034000,-13492000,-2744000,8636000,-7925000,435000,127000,-1627000
97,Net Change In Cash,21400000,14300000,3400000,37500000,38100000,18700000,-1200000,19678000,-634000,11982000,-26324000,5384000,22014000,327767000,-269417000,52402000,-22497000,47584000,-36391000,3325000,-11606000,-12434000,18647000,2547000,353770000,-365007000,27576000,57029000,-44354000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1500000,21216000,20582000,32564000,6240000,11624000,33638000,361405000,91988000,144390000,121893000,169477000,133086000,136411000,124805000,112371000,131018000,133565000,487335000,122328000,149904000,206933000,162579000
